# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:44:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67192cd8d0.json
# init = 2 (Default)
# random
#   seed = 401460594
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141844-2-2398d3.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141844-2-44d899.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00166417
# Diagonal elements of inverse mass matrix:
# 0.0158428, 0.00920563, 0.0182617, 0.0234977, 0.0146127, 0.0124221, 0.0288789, 0.0291438, 0.0546646, 0.0201754, 0.0266343, 0.028576, 0.0202846, 0.0134325, 0.0575704, 0.0407698, 0.517724, 0.456095, 0.450311, 0.447463, 0.412131, 0.335303, 0.329499, 0.415856, 0.438828, 0.319715, 0.252056, 0.286904, 0.362363, 0.309528, 0.401937, 0.328684, 0.383313, 0.31257, 0.317868, 0.303776, 0.304326, 0.254073, 0.284248, 0.255472, 0.27987, 0.298689, 0.262799, 0.273997, 0.266945, 0.246832, 0.313504, 0.258362, 0.553784, 0.366184, 0.286382, 0.36276, 0.331281, 0.280061, 0.268131, 0.252565, 0.300256, 0.278998, 0.275729, 0.266974, 0.277726, 0.228009, 0.310221, 0.263958, 0.412296, 0.510857, 0.51133, 0.507459, 0.423364, 0.507698, 0.483867, 0.412394, 0.377075, 0.517489, 0.403364, 0.400932, 0.413255, 0.372389, 0.428687, 0.433841, 0.272002, 0.413707, 0.417103, 0.312313, 0.38612, 0.301215, 0.437845, 0.470355, 0.468436, 0.377841, 0.347007, 0.517745, 0.438424, 0.435769, 0.594, 0.488871, 8.63336, 135.265, 0.972379
-19712.117,0.99977923,0.0016641667,10,1023,0,19749.443,-0.13198964,-0.020006288,-0.10744052,0.088245359,-0.12250378,-0.060440376,-0.071017026,-0.086752765,-0.50336274,-0.01574931,-0.21692216,0.1024573,-0.27819067,-0.12076326,-0.094319626,-0.10841023,0.049833374,0.1268027,0.27308781,0.17461785,0.12360944,0.10706554,0.1388255,0.14115385,0.64329628,0.27408545,0.15952154,0.273986,0.67356712,0.070124447,0.13079782,0.19452262,1.6906946,-2.4039201,0.15944744,0.012144161,-0.69914884,-1.1776678,0.17469055,-1.1479846,-0.046039653,-0.050482561,0.59294599,-0.31791577,-0.85891404,-1.575704,0.073652556,-1.5924248,0.74433972,-0.66325291,0.89344023,-0.60206861,0.1638976,-0.66049654,1.3952392,-0.81094262,0.21294081,-0.38308791,0.91864288,-1.5050739,-0.21348166,-0.13485937,0.24897747,-1.2982366,0.56873488,0.65255451,0.72446296,0.2885726,-0.28931714,-0.43646552,0.12206212,-1.0115048,0.4959268,0.94761535,1.7423603,-0.43745879,-0.6161394,-0.72488263,-0.27184159,-1.6310217,0.28233205,0.15133189,0.46277427,-0.042523444,0.78117368,-0.10196917,2.0245467,-1.6140791,0.48248604,0.020983627,1.2783647,-1.7968554,0.17871601,0.095046291,0.92632729,-1.1519022,0.21823882,0.29126152,0.06139872,-0.047736623,-0.25178509,-0.12404384,-0.13138445,-0.10866025,-0.16933775,0.0021449449,-0.16557383,-0.12001339,-0.1212267,0.054485798,-0.19425945,-0.061736367,-0.1869007,0.10110641,-0.18982044,-0.030496361,-0.2044881,-0.01206613,-0.19692514,-0.04289259,-0.1311568,0.088941666,-0.14726439,-0.041455411,-0.1241994,0.056514031,-0.27995966,-0.11688652,-0.10578868,-0.051608638,-0.27000386,-0.1374977,-0.083576854,-0.037318415,-0.31772506,-0.095046927,-0.13537816,0.01770614,-0.29298805,-0.13781116,-0.065757107,0.06102182,-0.28670626,-0.066356264,-0.096150386,0.027976514,-0.34441979,-0.088021083,-0.17625848,0.033518869,-0.30683306,-0.06598389,-0.12791379,0.021206957,-0.23394967,-0.031211506,-0.091575014,0.07288768,-0.32934439,-0.073645921,-0.089921575,0.071781386,-0.33248128,0.2599616,0.23924771,0.243268,0.26539447
-19712.028,0.99403912,0.0016641667,10,1023,0,19755.218,-0.11811088,-0.055097686,-0.12202292,0.053889693,-0.1065864,-0.071056475,-0.067908668,-0.096721535,-0.51076074,-0.0062741692,-0.26009345,0.12842181,-0.27680122,-0.078053949,-0.11088493,-0.093267267,0.053529379,0.13023384,0.2175326,0.15808537,0.15287139,0.12804685,0.12706967,0.17500472,0.61359618,0.27917736,0.1691099,0.26879378,0.67973045,0.072127268,0.13803768,0.18389108,1.8490141,-2.5225057,0.11966027,0.016703737,-0.68271017,-1.1511286,0.17051111,-0.95406512,-0.055236166,-0.094991911,0.43548634,-0.43619932,-0.98027316,-1.5706632,0.068170116,-1.4921308,0.6950073,-0.65446622,0.86041985,-0.65376129,0.062486949,-0.6595636,1.1520321,-0.80201727,0.089782139,-0.39682122,0.82354853,-1.6154112,-0.20408991,-0.14648534,0.34627973,-1.3671029,0.6656019,0.66305799,0.72057012,0.34469536,-0.33169989,-0.35224034,0.17380079,-0.98161401,0.54530181,0.97877966,1.9252302,-0.32982332,-0.65721275,-0.70510591,-0.1726116,-1.7269411,0.34983724,0.086939686,0.41834469,-0.01287896,0.71219705,0.10553129,2.0099,-1.5789706,0.43884901,-0.014013988,1.3779298,-1.5811422,0.18460592,0.0060261353,0.82990568,-1.1070643,-0.21573039,2.1908155,0.048562861,-0.019134306,-0.25313904,-0.11170554,-0.11721674,-0.14400966,-0.20501358,-0.032891369,-0.17934925,-0.13403859,-0.14268676,-0.027290444,-0.21691049,-0.10107715,-0.19440919,0.064666391,-0.18199435,-0.00033966614,-0.20663555,0.02494718,-0.20652779,-0.063055218,-0.15551152,0.076457608,-0.17375226,-0.056500082,-0.11833261,0.036739368,-0.27317843,-0.13243823,-0.12235716,-0.036120949,-0.33597099,-0.10234996,-0.10391089,-0.06862167,-0.29925698,-0.098877268,-0.1046117,0.042247077,-0.28031857,-0.16787751,-0.094572117,0.065482041,-0.31586984,-0.048232887,-0.061106269,0.082024888,-0.33576923,-0.039006193,-0.21770567,0.007560403,-0.28555544,-0.026685121,-0.070442265,0.066914644,-0.19194079,-0.050307232,-0.11281939,0.079321312,-0.32914214,-0.059319884,-0.092159115,0.059344985,-0.29684652,0.26026541,0.23572096,0.24733653,0.25856
-19712.343,0.99721731,0.0016641667,10,1023,0,19749.328,-0.1258226,-0.11966336,-0.12290825,0.035716559,-0.10701564,0.02909449,-0.12134645,-0.069644631,-0.53311308,-0.011143697,-0.24403895,0.13752351,-0.22039101,-0.034522259,-0.16531318,-0.078871798,0.026898826,0.2248594,0.16881145,0.13965117,0.12341389,0.28531799,0.17053146,0.18634352,1.008658,0.63828782,0.16639069,0.29421178,0.88859881,0.071858996,0.20529734,0.1131942,1.3792153,-1.828448,0.64561861,0.39026977,-0.15317213,-0.3508909,0.30620401,-0.29828621,0.19723399,-0.046021124,0.63572224,-0.41840159,-0.66345847,-1.6702526,0.0040663267,-1.8324655,0.57490997,-0.593003,1.1905825,-0.76378302,-0.3496399,-0.49402573,0.23649721,-0.61648057,0.17835222,0.16264978,1.1903648,-1.1082116,-0.74484781,-0.4308076,0.16881635,-1.180817,0.42546837,0.47008071,0.48401144,0.2230041,-0.20076046,-0.17321111,0.048854039,-0.43950268,0.15197587,1.0503912,1.9001335,-0.23292421,-0.49898284,-0.78927062,-0.15875229,-1.6231887,0.15398726,0.047907631,0.28248438,-0.099883547,0.035541941,-0.39863152,1.2759984,-2.111753,0.6642941,0.21884241,1.3095672,-0.85726783,-0.12111167,0.21733524,1.8930134,-2.1574744,0.093927607,0.96524426,0.0506047,-0.08872333,-0.17500571,-0.10845622,-0.1153248,-0.15410555,-0.19856448,-0.05081051,-0.18673582,-0.089612893,-0.13067714,-0.015591055,-0.19353922,-0.05693619,-0.19753616,0.036284426,-0.22018938,-0.036063765,-0.18020045,0.039918775,-0.20127708,-0.070664063,-0.11185994,0.096571396,-0.1467985,-0.090931783,-0.093609544,0.081648203,-0.31033139,-0.20844219,-0.14992283,-0.038186798,-0.28968222,-0.103961,-0.058962413,-0.044911073,-0.30817821,-0.13928665,-0.12170224,0.020039241,-0.2916729,-0.21875158,-0.06926363,0.072125572,-0.28279537,-0.0092831194,-0.094689201,0.090816715,-0.34003772,-0.08355812,-0.17782035,0.030624268,-0.30914742,-0.031968251,-0.06316752,0.0571697,-0.18627071,-0.028935374,-0.12038542,0.10353747,-0.34130799,-0.092580937,-0.054270709,0.13540635,-0.32308539,0.25909114,0.2388469,0.25072297,0.26134
-19717.338,0.9954472,0.0016641667,10,1023,0,19760.648,-0.119814,-0.087684902,-0.1387922,-0.062113744,-0.093568024,-0.10845537,-0.12027875,-0.060513965,-0.39923952,0.07357997,-0.16772411,-0.0074043404,-0.31469558,-0.051341864,-0.16980193,-0.10843788,0.040824738,0.30245813,0.15440383,0.061260563,0.13321506,0.3069969,0.14813333,0.16042897,0.50160002,0.58848266,0.1747677,0.21610364,0.88536087,0.093332073,0.1868367,0.097063316,1.0803721,-2.6968609,0.63872899,0.10516622,-0.19848965,-0.38032654,0.37717621,-0.24090798,-0.18703108,-0.042901142,0.75421473,-0.37866362,-0.97578562,-2.5129143,0.2233093,-1.6872811,0.52441869,-0.72745479,0.74990128,-0.71181983,0.025220468,-0.015882717,0.71397294,-0.14308358,0.54469333,-0.096220561,1.4108445,-1.0742535,-0.71117792,-0.46271506,0.25566747,-1.6081218,0.55394811,0.6386436,0.77783981,0.23586567,-0.37624493,-0.33386188,-0.093296517,-0.63050623,-0.12802726,0.45328163,1.0939105,-0.73907379,-0.34231954,-0.49147711,0.25908207,-1.7162275,0.29282431,0.10042004,0.35618859,-0.00031000556,-0.023908175,-0.24292779,0.69933345,-2.5372375,0.75635213,0.24929002,1.3176037,-0.9654177,0.57106274,0.29555611,2.2134673,-2.5260938,0.017215155,1.0261865,0.048736032,-0.075708091,-0.22991264,-0.093738055,-0.11552062,-0.14771971,-0.20271776,0.026395108,-0.16054948,-0.16767052,-0.14541631,-0.022338564,-0.19725932,-0.12189092,-0.21605629,-0.048433691,-0.16547753,-0.023707557,-0.19047596,0.0063301203,-0.18839315,-0.10071276,-0.11333131,0.11073211,-0.15238159,-0.039591511,-0.13453222,0.088714344,-0.2794115,-0.17460751,-0.13474687,-0.019497494,-0.31850329,-0.12137913,-0.078895872,-0.0090750508,-0.28092929,-0.14783365,-0.12289196,0.018676587,-0.29746201,-0.19009914,-0.088505125,0.023456108,-0.29689034,-0.081380838,-0.11361433,0.048584236,-0.37828735,-0.055440396,-0.22578761,0.0006598643,-0.31497005,-0.053573263,-0.074014818,0.013928377,-0.2881475,-0.028487594,-0.12322541,0.076374803,-0.35017739,-0.053008634,-0.07975022,0.1064086,-0.35362892,0.26160139,0.24045753,0.24910348,0.27152997
-19719.752,0.99649349,0.0016641667,10,1023,0,19768.148,-0.17613116,-0.1022226,-0.17454737,-0.06221634,-0.18723175,-0.18059737,-0.20924881,-0.053593947,-0.35312172,0.058271721,-0.080842065,0.051900778,-0.28607086,-0.044661065,-0.17117915,-0.12030205,0.10315836,0.15223762,0.16258684,0.073542443,0.17908073,0.24774258,0.20626674,0.16332738,0.37010294,0.32823412,0.15821377,0.34728864,0.79960629,0.092182982,0.23242308,0.09245356,1.3189977,-0.090172301,0.40085831,0.49477491,-0.11053285,-0.52543592,0.76175324,-0.54838622,0.78427439,0.20636686,1.0559623,-0.17681236,-0.55381512,-1.8377022,0.83292606,-1.9903922,0.80856322,-0.18039637,1.1648965,0.15977921,0.29637494,0.21877935,1.0053847,0.085809341,0.7827888,0.50454406,1.431336,-0.17893279,-0.84693378,-0.33407951,0.25240982,-1.7590303,0.68860381,0.76672087,0.81236946,0.12876834,-0.52459232,-0.56658954,-0.15131399,-1.1101134,-0.77945529,0.048211095,1.1314305,-1.3772074,-0.29006583,-0.38037516,0.1122187,-1.0906362,0.26387503,0.062068201,0.36061558,0.030986595,-0.13360604,-0.86726584,1.4842739,-2.3143484,0.52853569,0.24138829,1.2193665,-0.73689734,0.0018401417,0.55548505,2.215087,-1.7249739,1.4646058,-4.7554407,0.10799077,-0.040065518,-0.18543318,-0.13477927,-0.12509099,-0.11904986,-0.18221372,0.013744898,-0.18570762,-0.04703468,-0.14099484,-0.002861798,-0.20329473,-0.10294526,-0.19736545,-0.00096092222,-0.20859465,-0.042433663,-0.21953727,0.021378751,-0.15861838,-0.10717268,-0.12639641,0.068479238,-0.15933874,-0.047785516,-0.10517815,0.085988206,-0.24615669,-0.19192142,-0.10815828,-0.012368513,-0.34089176,-0.098267424,-0.06935607,-0.052461392,-0.30546418,-0.11391738,-0.1277023,0.0086053045,-0.30610538,-0.20416263,-0.073214406,0.098165828,-0.29873524,-0.04883579,-0.080199193,0.090873057,-0.32686478,-0.075074728,-0.23644074,0.002279623,-0.26129379,-0.056977268,-0.12460822,0.092163733,-0.2580046,-0.048335257,-0.11507494,0.11222978,-0.3424511,-0.12013192,-0.068945481,0.084490626,-0.27978203,0.25743611,0.23929151,0.24741817,0.27242861
-19723.097,0.99702832,0.0016641667,10,1023,0,19782.64,-0.17911216,-0.081849193,-0.16942458,-0.10225021,-0.07622073,-0.18641338,-0.15181668,-0.11596079,-0.14413651,-0.032829831,-0.10427919,-0.032715011,-0.40383453,-0.011898754,-0.15976131,-0.15958691,0.050539271,0.19570138,0.096487955,0.068282225,0.21091047,0.20438423,0.16079874,0.20657149,0.093627516,0.13704484,0.1218713,0.18515603,0.40034911,0.117692,0.25353185,0.10746382,1.4787843,-0.60569059,1.4723961,1.0754106,-0.26590637,-0.27848524,0.32403655,-0.50609547,-0.34805693,0.31877651,1.3597835,-0.47034987,0.56307737,-1.4039732,0.99055049,-0.58822065,0.2124619,-0.6864327,0.52361732,-0.66825583,0.5069901,0.29682032,1.3812568,0.073476227,0.69098446,0.21333284,1.5388839,-0.8421568,-0.19296852,-0.038447324,0.42891041,-1.0833647,0.22864775,0.64403027,1.2316164,-1.541115,-0.58028711,-0.72452431,0.22753184,-1.8700565,-0.58230425,0.33828225,1.1340582,-1.6467986,-0.14477114,-0.36112456,0.26815879,-1.8255604,0.81418148,0.53703671,1.0681138,0.34859861,-0.06867271,-0.58405326,0.066022384,-2.1597586,0.56537343,0.22324146,0.7898636,-0.75639307,0.8796959,0.73507119,2.571129,-1.7360312,-1.4499893,6.8639349,0.049619047,-0.10437548,-0.20972332,-0.10469833,-0.12476169,-0.13388744,-0.13634914,-0.018434791,-0.18089278,-0.20300788,-0.13866648,-0.038221844,-0.21480768,-0.063802035,-0.19811662,-0.03461322,-0.14241523,-0.031410291,-0.22099657,0.034215646,-0.21716288,-0.082792595,-0.12574798,0.095893728,-0.171396,-0.040707251,-0.11751303,0.095633908,-0.28723443,-0.15582259,-0.12390292,-0.027360131,-0.33975305,-0.12272879,-0.083837558,-0.028823325,-0.28842728,-0.11235519,-0.13212215,-0.0016477661,-0.28911142,-0.17524536,-0.063052293,0.03392995,-0.30497667,-0.059520259,-0.099579399,0.016936205,-0.37072853,-0.077877694,-0.18883235,0.023783881,-0.26427338,-0.019980982,-0.080637148,-0.0041284475,-0.26608505,-0.016421137,-0.10316249,0.040494271,-0.35153105,-0.065051424,-0.080593348,0.11671643,-0.34614744,0.25717948,0.23384604,0.25531201,0.26063278
