# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:56:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f6723b3d049.json
# init = 2 (Default)
# random
#   seed = 1565564064
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141856-1-027e8f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141856-1-0a1538.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000734931
# Diagonal elements of inverse mass matrix:
# 0.0127478, 0.0142009, 0.00832177, 0.0203975, 0.0180851, 0.0461039, 0.0147151, 0.0222745, 0.0140816, 0.0251933, 0.029022, 0.0375256, 0.033837, 0.0266153, 0.0584209, 0.0288533, 0.486072, 0.502922, 0.399603, 0.43216, 0.390525, 0.416979, 0.268611, 0.363582, 0.309726, 0.385828, 0.361886, 0.339502, 0.324869, 0.352474, 0.398085, 0.331474, 0.441312, 0.355824, 0.288852, 0.31308, 0.329496, 0.318793, 0.23088, 0.278052, 0.270909, 0.288837, 0.343764, 0.263079, 0.318878, 0.272249, 0.268462, 0.26622, 0.476585, 0.332612, 0.270717, 0.420702, 0.362585, 0.396722, 0.224331, 0.279106, 0.292105, 0.269052, 0.290728, 0.255039, 0.294121, 0.24575, 0.252104, 0.259602, 0.364444, 0.569835, 0.501708, 0.510163, 0.474446, 0.479284, 0.389828, 0.432899, 0.344531, 0.459656, 0.441066, 0.361538, 0.436528, 0.397217, 0.399589, 0.479285, 0.31886, 0.389939, 0.384062, 0.360093, 0.386026, 0.431791, 0.42203, 0.525152, 0.522075, 0.482027, 0.498452, 0.530298, 0.433215, 0.401142, 0.511425, 0.473381, 177.405, 2908.87, 1.79989
-19709.116,0.9998176,0.00073493142,10,1023,0,19750.078,-0.082152078,-0.54287094,-0.13494891,0.068420019,-0.10838494,-0.09922714,-0.062578378,-0.1482075,-0.2661616,-0.22241965,-0.25146029,-0.44414294,-0.33324882,0.13638058,-0.11874322,-0.15945758,0.085273985,0.39830902,0.064650548,0.29742611,0.13228221,0.1129719,0.24735981,0.12769296,0.5479928,0.083583386,0.16968203,0.57947511,0.39213038,0.55210775,0.12699744,1.0361041,0.74611891,-1.2811541,-0.39146696,-0.47196846,1.1440203,0.96634318,1.5028267,0.93432799,-0.29145127,-0.074583845,1.7216895,-0.75090289,-0.37696264,-0.88707535,-0.12750935,-0.8186046,0.30039376,-0.38659559,0.87218398,-0.68171025,0.24091998,-0.42257485,1.498251,-0.46290435,-0.11063708,-0.33000404,0.47310504,-1.0150969,-0.29051379,0.48227861,1.2772509,-1.3201474,0.27284057,0.34596542,0.45557558,-0.098604125,1.6211656,0.82919795,2.4128047,-0.41112603,0.36575433,1.1223299,1.6813426,-0.027312394,0.63247313,0.61097867,0.87074141,0.075034214,0.74801415,0.29839149,0.8924624,0.031266224,-0.32223658,-0.39180468,-0.087163546,-0.7547857,0.52089742,-0.057974239,1.3584205,-1.5939314,0.096897561,0.076490768,0.22713115,-0.120689,-2.7385238,12.412775,0.1661351,-0.018527545,-0.1914012,-0.11553403,-0.12239871,-0.087197333,-0.15796774,0.055718486,-0.17071968,-0.15379139,-0.13977079,-0.02364074,-0.18349519,-0.04369851,-0.19541935,0.03049541,-0.17505436,-0.068648191,-0.15952466,0.0069894827,-0.19856308,-0.072009952,-0.14696622,0.070033123,-0.15152233,-0.089945544,-0.14420811,0.054448796,-0.31367256,-0.18530407,-0.086623918,0.014888443,-0.31678104,-0.11664694,-0.076575044,-0.016509466,-0.32019595,-0.086917138,-0.15311248,-0.020749267,-0.25678296,-0.18939835,-0.061021072,0.03383335,-0.25609471,-0.077640502,-0.090096008,0.060430032,-0.40066248,-0.039929746,-0.21624045,0.016712801,-0.32098838,-0.04152873,-0.079937819,0.088256911,-0.28034245,-0.052590585,-0.1261058,0.053772699,-0.32116843,-0.059061625,-0.080205187,0.075873927,-0.28450395,0.24313272,0.24947921,0.23915041,0.25160548
-19707.885,0.9770625,0.00073493142,10,1023,0,19770.642,-0.096563178,-0.52474049,-0.12756004,0.051482783,-0.10257081,-0.1158079,-0.039675556,-0.1366181,-0.26993667,-0.21812453,-0.24709727,-0.41429946,-0.35564249,0.1367935,-0.13074791,-0.17761789,0.095387534,0.40157766,0.069568979,0.36173166,0.10855335,0.095538951,0.23328806,0.12267458,0.56576452,0.086809541,0.15805343,0.47880849,0.3951104,0.53886793,0.1433945,1.1078874,0.66085066,-1.3894433,-0.49263535,-0.40707533,1.0765325,0.93846592,1.1605992,0.94850481,-0.16437116,-0.05353347,1.6669763,-0.64736522,-0.34915009,-0.71327793,-0.028857816,-0.54567352,0.46004022,-0.56606297,1.285196,-0.78408333,0.11092194,-0.50519973,1.5721143,-0.32970971,-0.17426893,-0.26604141,0.39162738,-0.84048197,-0.32608154,0.44965796,1.0972812,-1.3262621,0.2684302,0.281225,0.41599747,-0.064933835,1.5816453,0.8154337,2.569661,-0.45232263,0.54888118,0.99525226,1.7089357,-0.2501937,0.7131064,0.59088715,0.93423265,0.15442494,0.6673579,0.36572541,0.85832202,0.14052013,-0.37573143,-0.45886478,-0.17925781,-0.6942748,0.59631893,-0.029348612,1.4157692,-1.4033551,0.1141743,0.078366739,0.23909388,-0.080838326,-2.7986344,12.427248,0.081432529,-0.033526263,-0.22909875,-0.14355445,-0.13539309,-0.092429068,-0.14787354,-0.058669773,-0.14384214,-0.13899517,-0.13128431,-0.011590199,-0.17259658,-0.074815859,-0.20653242,0.041043998,-0.1459046,-0.052631898,-0.16401884,0.036941527,-0.18768568,-0.10521054,-0.16407415,0.034390251,-0.14730802,-0.080330416,-0.10173984,0.051686436,-0.23574997,-0.17662002,-0.081456496,-0.0020095814,-0.29931675,-0.11806838,-0.11082954,-0.03458006,-0.30667393,-0.08082263,-0.14733711,0.0049465549,-0.25739045,-0.16034471,-0.089794232,0.023005885,-0.28664124,-0.072858061,-0.13137768,0.033019064,-0.34035949,-0.091962446,-0.21114058,-0.016510538,-0.30012152,-0.065676116,-0.11047401,0.040197219,-0.23732892,-0.045239055,-0.13495634,0.072265607,-0.33198131,-0.051125619,-0.090796369,0.087271212,-0.26717766,0.24796817,0.25257647,0.24708666,0.2468755
-19703.406,0.99928427,0.00073493142,10,1023,0,19765.734,-0.087381884,-0.46545527,-0.11297697,0.0089611595,-0.073050788,-0.10242653,-0.084642903,-0.16466399,-0.29510741,-0.27920447,-0.24294982,-0.22028612,-0.43065947,0.14230365,-0.079522299,-0.3765661,0.086818627,0.37625428,0.088032635,0.27652587,0.12842484,0.088185624,0.20792874,0.12911478,0.68541692,0.15343387,0.18540361,0.51080242,0.46291837,0.44940888,0.16147014,1.0286365,0.26756018,-1.0936438,-0.69011977,-0.45538328,0.99680484,0.82057936,1.1459344,0.7685503,-0.052506342,-0.5114537,0.97917292,-1.1066135,-0.3510132,-0.72770694,0.07782197,-0.56111185,0.50548225,-0.64422045,0.75042444,-0.57586718,0.3503809,-0.78718863,1.8131933,-0.52291289,0.040575457,-0.26251689,0.57764476,-0.83715755,-0.29149556,0.31938068,1.4138257,-0.79505534,0.22256003,0.2915069,0.39129396,0.024293202,1.1652274,1.1066016,2.0227209,-0.023860571,0.11270846,0.96787806,1.7185989,-0.056507147,0.36095929,0.26490351,0.63632788,-0.27791737,0.88133746,0.45997438,0.9674809,0.34579441,-0.31884031,-0.50559474,-0.16536008,-0.83028579,0.31053809,-0.3226124,0.87920119,-1.5677258,0.24772972,0.30340969,0.46388824,0.036000004,1.9359068,-6.6255631,0.040322995,-0.064152677,-0.18233054,-0.14729714,-0.12691764,-0.090403187,-0.15670878,-0.034292537,-0.17628494,-0.11759924,-0.15800159,-0.026777795,-0.21039507,-0.088103072,-0.19226864,0.030480948,-0.14620079,-0.0081343106,-0.1557847,0.023322351,-0.14700644,-0.071527968,-0.17184525,0.057471053,-0.14853993,-0.076206099,-0.13922771,0.035466046,-0.25871202,-0.20230037,-0.12342723,0.017881802,-0.26731738,-0.142561,-0.095303653,-0.026907907,-0.27845644,-0.10041913,-0.1094143,0.031149421,-0.28286549,-0.22205327,-0.063501737,0.075684623,-0.25342645,-0.035907242,-0.084972766,0.1047517,-0.36224698,-0.022672169,-0.21772888,0.017205212,-0.27058489,-0.00098601623,-0.084915113,0.067989365,-0.23083415,-0.029379672,-0.13161457,0.062442439,-0.33266321,-0.12174226,-0.064467805,0.10060629,-0.33953518,0.23353187,0.25794235,0.24901124,0.23745718
-19702.854,0.94334573,0.00073493142,10,1023,0,19757.961,-0.096530638,-0.44969083,-0.087431567,-0.020905607,-0.10598995,-0.082266099,-0.059662834,-0.20588256,-0.32113185,-0.26723178,-0.25422422,-0.2597928,-0.42312806,0.22558531,-0.085713083,-0.33443989,0.060205914,0.30505398,0.13648704,0.29562251,0.1363023,0.09905585,0.21398178,0.13551397,0.74997117,0.14540169,0.18252289,0.45115429,0.35570056,0.54261191,0.17542194,0.78467826,0.24943787,-1.7335402,-0.30861223,-0.8422085,0.97172435,0.94443558,1.4108562,0.84141518,0.14695427,-0.50812086,0.66142511,-0.64226894,-0.082131733,-0.51946058,0.1497996,-0.52945105,0.57896215,-0.53184105,1.0717558,-0.82210771,0.12190447,-0.38514564,1.9774321,-0.70919203,-0.044300236,-0.29719231,0.78604406,-1.1237377,-0.10206714,0.59860851,1.4779667,-0.58633943,0.23413612,0.30576828,0.39041029,-0.010480287,1.2523644,0.80892018,1.872605,-0.0069043589,0.56421762,1.1342653,1.6854412,-0.15452776,0.40239022,0.36479185,0.69256654,-0.30494034,0.94291529,0.62487913,1.1980279,0.22321642,-0.44908467,-0.57768249,-0.27080139,-0.85551118,0.32407455,-0.16820581,0.98888861,-1.4116819,0.3028974,0.34073059,0.60066249,-0.032966003,-3.863574,16.786095,0.052389903,-0.081513003,-0.20090001,-0.11511092,-0.14723657,-0.15326244,-0.16158699,-0.019303524,-0.19301377,-0.067374214,-0.15678348,0.0028443891,-0.17509295,-0.045185597,-0.17446985,0.023378526,-0.17742326,-0.027076073,-0.17848111,0.040092831,-0.21804512,-0.070190748,-0.12041703,0.11361012,-0.15251572,-0.069142278,-0.12325658,0.10853628,-0.30012223,-0.21971408,-0.12476275,-0.0055974224,-0.28533974,-0.14553651,-0.091814461,-0.028335389,-0.32899177,-0.085135888,-0.14961342,0.0050481475,-0.26823569,-0.15124159,-0.047194846,0.053407376,-0.28242908,-0.078252729,-0.095215396,0.052661562,-0.39736795,-0.087732565,-0.2008582,0.0030111313,-0.34372985,-0.018093375,-0.087872084,0.078645256,-0.23862524,-0.028863295,-0.11522007,0.08775968,-0.33335307,-0.096762888,-0.067076003,0.13688691,-0.3603076,0.24233459,0.25092351,0.24330876,0.2494506
-19704.874,0.99706927,0.00073493142,10,1023,0,19750.583,-0.07856641,-0.40351377,-0.10821656,-0.040218212,-0.11768654,-0.080155256,-0.06610888,-0.19264942,-0.2732005,-0.24019896,-0.26768493,-0.23580516,-0.40810173,0.20181319,-0.095487052,-0.32028728,0.050607483,0.25086432,0.11661992,0.27702393,0.1341513,0.085761256,0.1601189,0.12450341,0.64669846,0.11660423,0.18664517,0.46982509,0.37829439,0.62583525,0.17700316,0.72619651,0.38587564,-1.841153,-0.21210945,-1.0952832,1.1162765,0.91724659,1.3730635,0.85028363,-0.0050139815,-0.49885332,0.82742797,-0.87127415,-0.21465356,-0.60460128,0.12857602,-0.42611241,0.77724547,-0.75497447,0.88225312,-0.49916532,-0.062502669,-0.58516054,1.9971002,-0.6124037,0.10238191,-0.39645605,0.67177544,-1.2424547,-0.18782035,0.83450075,1.6408616,-0.69438777,0.24806097,0.29382356,0.32590352,-0.036774397,1.2581778,0.91825006,2.1097108,-0.35339378,0.59553444,0.76844947,1.724591,0.032509578,0.34872451,0.26398115,0.64010173,-0.32104067,0.82282712,0.52839162,1.0464024,0.34083209,-0.35018474,-0.45705603,-0.21553073,-0.72696313,0.42297674,-0.16801356,0.86866337,-1.2440128,0.38155966,0.33913701,0.60623722,-0.05664987,-0.042561156,1.23835,0.089281482,-0.059038216,-0.17174253,-0.089300736,-0.13399594,-0.12347984,-0.17340933,-0.059061136,-0.19020795,-0.10880129,-0.1663928,-0.011721979,-0.20982449,-0.099682384,-0.20770724,-0.0045995781,-0.15826155,-0.013418049,-0.21896735,0.00066886362,-0.18465022,-0.085515563,-0.13033936,0.091118564,-0.13267577,-0.049715601,-0.12958899,0.041455064,-0.26504935,-0.21603369,-0.088751227,0.011643449,-0.27910306,-0.11277985,-0.083185259,-0.062439193,-0.29698245,-0.093490107,-0.13312712,0.005802249,-0.28140616,-0.1565313,-0.12425755,0.054201646,-0.26161718,-0.07196564,-0.1117802,0.064930691,-0.38663813,-0.096830844,-0.20821414,-0.012253578,-0.27916686,-0.017344771,-0.08422859,0.066926457,-0.25314597,-0.020618834,-0.12522598,0.058269105,-0.31568125,-0.043199993,-0.074007171,0.11996007,-0.36142622,0.24043378,0.25670531,0.24752372,0.24198447
-19706.02,0.98960946,0.00073493142,10,1023,0,19756.552,-0.090050219,-0.4270846,-0.11328031,-0.031407765,-0.089103443,-0.10240399,-0.047730884,-0.22335449,-0.29335416,-0.25928305,-0.32308624,-0.18485545,-0.42999467,0.19240196,-0.12904866,-0.32301114,0.05889633,0.23277559,0.077469859,0.21594431,0.10978268,0.094410231,0.16361256,0.13731057,0.74711408,0.15635302,0.24702783,0.51641283,0.43814924,0.78264426,0.19473184,0.7508183,-0.021140961,-2.185186,-0.19287899,-1.0342778,1.3595665,1.1569765,1.8618987,1.1144384,0.2849954,-0.44845643,1.0495172,-0.95111196,-0.1019699,-0.62087875,0.15676208,-0.72718529,0.50874115,-0.82046435,1.0102111,-0.80448916,-0.17889893,-0.60644712,2.0867624,-0.70484416,-0.036696829,-0.56672426,0.77438678,-1.585652,0.07173634,0.95874686,1.3460118,-0.46103084,0.23447878,0.27636114,0.3194902,-0.028304513,0.9401971,0.60902061,1.9115286,-0.10221494,0.42216142,1.1026688,1.2880911,-0.025221126,0.30099012,0.2116038,0.54282316,-0.36301323,0.84815368,0.54862761,1.1215997,0.29538872,-0.3024162,-0.37434183,-0.17383849,-0.53708401,0.48128389,0.011288102,1.0437999,-1.070305,0.34469521,0.2804321,0.52475257,0.063370694,0.98842811,-2.9028792,0.04861836,-0.091295344,-0.21874965,-0.10141008,-0.15096538,-0.1106107,-0.15776872,0.0063199622,-0.16767055,-0.091201753,-0.14802216,-0.031974356,-0.18696282,-0.053427585,-0.165483,0.0024441156,-0.18843929,-0.033252475,-0.17917622,0.021800241,-0.17742242,-0.11929388,-0.1596588,0.094607735,-0.16894849,-0.053734946,-0.14045409,0.07896852,-0.30716347,-0.21350433,-0.091708407,-0.038532838,-0.2866589,-0.11817177,-0.086880862,-0.054658535,-0.31450086,-0.11228039,-0.16406084,0.039590229,-0.27526466,-0.21880062,-0.050696356,-0.004891887,-0.32931656,-0.029420294,-0.075580535,0.095465392,-0.37232014,-0.058376782,-0.1896139,0.06143337,-0.30057033,-0.044282346,-0.10057453,0.056348264,-0.22794376,-0.035327368,-0.12685051,0.074212401,-0.33747113,-0.064207669,-0.11245759,0.070982691,-0.27543126,0.23764368,0.24842784,0.24867271,0.24235027
