# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:56:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f6723b3d049.json
# init = 2 (Default)
# random
#   seed = 1565564064
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141856-2-027e8f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141856-2-0a1538.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00410846
# Diagonal elements of inverse mass matrix:
# 0.00346066, 0.00321907, 0.00994915, 0.00607385, 0.0216328, 0.018832, 0.0211793, 0.0105242, 0.0190731, 0.0456592, 0.0170833, 0.0269808, 0.0231655, 0.0156985, 0.051387, 0.0210749, 0.518727, 0.361234, 0.494504, 0.351709, 0.445023, 0.439272, 0.361821, 0.316001, 0.321943, 0.516149, 0.277122, 0.328262, 0.340007, 0.333083, 0.372625, 0.303914, 0.37508, 0.32143, 0.30822, 0.217629, 0.334837, 0.232639, 0.237927, 0.249369, 0.309909, 0.358897, 0.29277, 0.218641, 0.28338, 0.264438, 0.255167, 0.250535, 0.457073, 0.320964, 0.294906, 0.319509, 0.419675, 0.288163, 0.241259, 0.24313, 0.335482, 0.352148, 0.267166, 0.212303, 0.236498, 0.259322, 0.224857, 0.247338, 0.352535, 0.477726, 0.504788, 0.369634, 0.43105, 0.517812, 0.372385, 0.402668, 0.394063, 0.471322, 0.418916, 0.321171, 0.432487, 0.352953, 0.402047, 0.416917, 0.277457, 0.370858, 0.429918, 0.270614, 0.439404, 0.312505, 0.51141, 0.478602, 0.46912, 0.643107, 0.424871, 0.425715, 0.361959, 0.501405, 0.466884, 0.447188, 8.84871, 145.156, 0.797694
-19730.599,0.95476414,0.0041084627,9,795,1,19787.25,-0.083985166,-0.12262309,-0.14345712,-0.099204497,-0.1327372,0.022801789,-0.088278364,-0.17749594,-0.14521152,0.1209537,0.19574319,-0.049892832,-0.13626443,-0.18012181,-0.07587345,0.2934178,0.10166034,0.062274641,0.16066968,0.069917868,0.10109009,0.20528705,0.1696834,0.12203986,0.33044944,0.49377032,0.4256315,0.10404409,0.11855937,0.10082667,0.35899047,0.45674671,0.052800171,-0.82916609,-0.69814154,-0.53986767,-0.55849329,0.21827384,1.2306683,-1.3764389,-0.083552596,-0.091231053,0.62863962,-0.29909479,-0.34292564,-1.9314108,0.87978695,-0.60143217,0.92624722,-0.6685176,1.798762,-0.61037797,-0.38862542,-0.90602275,0.2322168,-0.90755688,0.045068187,-0.3437579,0.52604338,-0.98464396,-0.47979423,0.510052,0.85202426,-0.90324648,0.18421564,0.23501307,0.25427366,-0.60185886,-0.42125616,-0.54626754,-0.25290275,-0.84319082,-0.92380085,-0.58648175,-0.22407484,-1.1473515,-0.19614237,-0.72289513,1.0442557,-2.9052199,0.70271928,-0.34587951,1.2537912,-1.5467145,1.2022639,0.8106309,1.9528316,-0.70482875,0.070661804,-0.090492197,0.42946933,-0.73893025,-0.82610171,-0.83368156,-0.34194531,-1.3618171,-0.48782358,3.2497599,0.11335596,-0.078617482,-0.16827847,-0.15495847,-0.1388683,-0.15740306,-0.10903016,-0.04598366,-0.20834033,-0.15688149,-0.15811518,-0.042453789,-0.19151258,-0.12318113,-0.23424462,-0.037691669,-0.14125535,-0.039102779,-0.2003177,0.049099823,-0.19444036,-0.056977978,-0.16319295,0.070472891,-0.16350789,-0.080631041,-0.14660837,0.00098246495,-0.2553561,-0.23604996,-0.11524926,-0.073515016,-0.28772802,-0.084337567,-0.067551583,-0.061186933,-0.34409545,-0.087050091,-0.148777,-0.0039221779,-0.29538891,-0.19745556,-0.05388192,0.10036988,-0.29260575,-0.070300285,-0.1251058,0.058755792,-0.35216378,-0.052950473,-0.17727168,0.01238426,-0.31964192,-0.05890155,-0.098388602,0.016775684,-0.25118735,-0.050506535,-0.10835929,0.078301948,-0.34114237,-0.083901436,-0.087363508,0.13723541,-0.3285877,0.24316987,0.25167667,0.24439083,0.24228026
-19720.634,0.9554698,0.0041084627,10,1023,0,19789.771,-0.070367873,-0.11074571,-0.11276424,-0.072578648,-0.13708285,0.014879862,-0.05531216,-0.18676357,-0.1169066,0.19677204,0.11607677,-0.028653511,-0.15179387,-0.17381104,-0.082240052,0.35202568,0.14332289,0.043020757,0.21536352,0.073758549,0.10634479,0.29906924,0.19234742,0.12968065,0.25248352,0.50364128,0.32519385,0.11656267,0.11253609,0.11668456,0.6658694,0.68272679,0.35827464,-0.82087088,-0.55973948,-0.41478777,-0.93560468,0.053949699,0.57010376,-0.94677985,0.0069389936,-0.05405585,0.608806,-0.48288341,-0.13458128,-2.178521,1.0943197,-1.1411034,1.1863549,-0.33464952,0.9616861,-0.37623198,-0.42217853,-0.46395193,0.19989595,-0.58779105,-0.22758052,-0.11864754,0.60544894,-0.89219423,0.044586069,0.76902989,1.1634917,-1.078532,-0.096097362,0.13926163,0.44851626,-0.80394438,-0.48092491,-0.64536297,-0.34445465,-0.89281622,-0.807832,-0.49905625,-0.25388221,-1.266154,0.024329372,-0.66443407,0.93125317,-2.7486809,0.72199787,-0.64440838,1.4047176,-1.1564224,1.1332757,0.54306928,1.7945811,-0.43239552,0.057924725,-0.031513135,0.23081497,-0.39040053,-0.63889187,-0.64495807,-0.35141406,-0.93666433,0.21393578,0.71366732,0.17364996,-0.019018914,-0.18801746,-0.15059135,-0.12981646,-0.15099613,-0.10842475,-0.08621941,-0.15147689,-0.11126984,-0.1244059,0.018350359,-0.21675971,-0.082505169,-0.2332632,0.0081367866,-0.15674478,-0.010920185,-0.17267109,-0.034812546,-0.17709316,-0.11138075,-0.12387389,0.074662591,-0.16091036,-0.099086686,-0.078133708,0.061144382,-0.22692342,-0.18098162,-0.087035272,-0.035881205,-0.3266283,-0.1411696,-0.081745334,-0.0036636366,-0.31988931,-0.045441594,-0.12825939,0.023290462,-0.25288706,-0.14662523,-0.046213258,0.033515834,-0.29566873,-0.025817615,-0.10610172,0.079895842,-0.34904709,-0.07054305,-0.22431307,0.0062875646,-0.28193312,-0.041575267,-0.11044324,0.035588861,-0.22426492,-0.04366975,-0.10322368,0.071452571,-0.34219582,-0.084162917,-0.088304475,0.11210589,-0.28746016,0.24911508,0.25753608,0.25386716,0.24514925
-19717.27,0.95746824,0.0041084627,10,1023,0,19768.678,-0.10867892,-0.1500487,-0.21740087,-0.14777368,-0.071422971,-0.034396255,-0.10617723,-0.26519061,-0.11192718,-0.16904388,-0.030550857,-0.19271976,-0.11192661,-0.0060437799,-0.22176568,-0.23429205,0.068706524,0.038926275,0.20146025,0.11853454,0.067283952,0.12867531,0.13563116,0.13893372,0.16897916,0.092483146,0.1590217,0.31951228,0.36747815,0.18499357,0.22315051,0.39789651,0.61619989,-1.4908066,-0.67900055,-0.044399796,1.633111,-0.85322058,1.1081884,-0.90946847,0.24191374,0.41784532,0.96096443,0.014394426,0.34611724,-0.38312561,1.2021615,-0.31852261,0.18491434,-1.5402991,1.0250222,-1.3981497,-0.2832007,-0.85963229,0.7716661,-0.95051101,0.14578493,-0.020992312,0.95463253,-1.4915886,0.59513901,0.88748097,2.3880816,-0.23152827,0.059151533,0.11677547,0.080484448,-1.2751564,0.61056482,0.33247568,1.9857871,-1.2958429,-0.78535606,-0.29398199,0.51769925,-1.6203034,0.29417944,0.32653455,0.85601685,-0.50371357,0.14012309,-0.21453661,0.29321292,-0.51074793,-0.25504214,-0.19778863,0.1384504,-1.1896351,0.80920768,0.48585253,1.3152014,-0.45204704,0.34016783,0.3451666,0.85762232,-0.24172037,-6.8009336,28.464769,0.37352485,-0.066341965,-0.21110705,-0.15533069,-0.11172947,-0.08647777,-0.18326139,-0.10691105,-0.18545092,-0.16866487,-0.13322165,-0.02380474,-0.21450097,-0.10674683,-0.1931873,-0.005276023,-0.18552961,-0.058981203,-0.17506038,-0.0024554283,-0.16549601,-0.070837192,-0.1450097,0.064898116,-0.15670355,-0.086404254,-0.10902444,0.023300684,-0.30848313,-0.18250574,-0.14188958,0.066594438,-0.2973577,-0.10193181,-0.092194564,-0.09832699,-0.32740203,-0.11257693,-0.13829548,0.014607959,-0.28888751,-0.15543951,-0.077300373,0.051774558,-0.28821426,-0.098725809,-0.088387956,0.080788144,-0.35366243,-0.060434439,-0.19076413,-0.0041772739,-0.29961532,-0.053224936,-0.042633405,0.019568653,-0.22611861,-0.04119058,-0.11334745,0.071722179,-0.32264021,-0.098940459,-0.096951468,0.10695287,-0.33047174,0.23982354,0.24917933,0.25192442,0.23892365
-19708.241,0.9961271,0.0041084627,10,1023,0,19757.65,-0.071489991,-0.16090205,-0.1419085,-0.17713564,0.015610647,-0.04316065,0.093401149,-0.10674006,-0.1391137,-0.23810228,0.086897554,-0.078765292,-0.21098655,-0.065387969,-0.30430546,0.14367793,0.055234036,0.040651034,0.13624837,0.14286582,0.22262121,0.092776882,0.26631692,0.13003617,0.15841135,0.32142987,0.27192646,0.26285703,0.32008596,0.1252902,0.2930319,0.47472832,0.27362169,-1.907014,0.098268818,-1.220011,0.46158855,0.5646485,1.1594397,-0.27525963,-0.015937517,0.22731874,1.0438559,-0.55458309,0.89699657,-0.37455929,1.3643084,-0.2411311,-0.21553656,-0.79738489,-0.085839596,-0.84555631,-0.13205505,-0.93707167,1.0422215,-1.3127688,-0.71844415,-0.86511712,-0.10436033,-1.4199784,-0.22839154,0.23210482,0.58099489,-1.5497834,0.024581184,0.19204827,0.59069269,-0.85658908,0.43930142,0.42162756,0.87058399,-0.12230942,-0.90514218,-0.60182974,-0.048349299,-1.3705111,0.14952564,-0.095414949,0.56980443,-0.96121658,0.47010203,0.032206889,0.65696534,-0.28245645,0.13570478,0.00019331066,1.0936846,-1.6465977,0.8865356,0.58209516,1.4150849,-0.18738661,-0.47163009,-0.49388367,-0.10550127,-0.93265722,3.4071144,-12.26897,0.10123619,-0.056376761,-0.17682207,-0.066062207,-0.13887612,-0.142138,-0.13794851,-0.11376963,-0.17209164,-0.14407996,-0.1109367,0.00031516506,-0.21746955,-0.048985494,-0.23064736,0.017777391,-0.21158503,-0.032372365,-0.16190415,-0.003499068,-0.17262813,-0.055412306,-0.13009924,0.053533412,-0.16495524,-0.097932682,-0.13699418,0.065608228,-0.28476313,-0.13643922,-0.076558036,-0.031189705,-0.30826797,-0.13521976,-0.10869107,-0.045541269,-0.27480713,-0.096897688,-0.10257859,0.041729412,-0.27741618,-0.15923455,-0.076755877,0.073750101,-0.28578067,-0.039461426,-0.10384578,0.071011807,-0.33142783,-0.060513484,-0.20067757,-0.00070116475,-0.30139689,-0.048385491,-0.065363749,0.071639985,-0.27169052,-0.044522248,-0.13373301,0.11035957,-0.35921572,-0.080218231,-0.090782633,0.09359349,-0.29908086,0.24076573,0.25727608,0.25351123,0.24434811
-19719.38,0.96686095,0.0041084627,10,1023,0,19765.799,-0.16240204,-0.11403717,-0.13434032,-0.23264469,-0.063039083,-0.0053330329,0.066482253,-0.064538373,-0.19088255,-0.046823503,0.28923728,-0.3652421,-0.086468728,-0.22816805,0.086407468,0.21473634,0.040828071,0.030234773,0.27276384,0.1491632,0.14371001,0.15557531,0.18790694,0.17542123,0.088984977,0.15564005,0.37848015,0.36319016,0.40503299,0.26406974,0.2062355,0.22373512,1.5852708,-0.98051483,0.34278999,0.21867413,-0.82598726,-1.2500014,1.2766907,-1.3447643,-0.044426394,0.028237139,0.68301747,-0.2793726,0.90402661,0.31693068,1.795109,0.16227555,0.14444054,-0.95076603,0.62440213,-0.97810027,-0.30509271,-1.1820929,0.69696075,-1.0099733,-0.69105073,-0.91708305,0.14815936,-1.8865709,-0.66906765,-0.50252956,0.54360543,-1.313692,0.63536949,1.3862009,1.2429874,-1.557675,-0.34995007,-0.60275446,0.30701347,-1.4904796,-1.2566106,-0.90812944,-0.79871783,-1.5203079,0.88427006,0.70260117,1.1995716,0.077160677,0.039657904,-0.25448381,0.26936493,-0.57636819,0.75453687,0.54529867,1.1188608,-0.15721858,-0.58328551,-1.092795,-0.055186026,-1.8143108,-1.4482147,-1.2624715,-0.62168171,-2.3765425,2.764733,-9.9496624,0.10315581,-0.097678492,-0.20243457,-0.14840659,-0.153474,-0.1390107,-0.15183067,-0.075436712,-0.15469581,-0.14645823,-0.12663824,0.051962154,-0.21054306,-0.097797193,-0.1853703,0.035119512,-0.20843915,-0.042281532,-0.19967368,0.026693756,-0.20360189,-0.052797925,-0.1892375,0.10309685,-0.16245994,-0.063370972,-0.10584401,0.094322425,-0.28801751,-0.18190704,-0.15269273,0.030821559,-0.29498783,-0.13434421,-0.067531496,-0.080275341,-0.32949223,-0.10128975,-0.14063624,0.00096008895,-0.27880183,-0.1863649,-0.054471689,-0.013061564,-0.28616908,-0.04408391,-0.11006426,0.070430492,-0.3372181,-0.070405968,-0.18954307,0.022632957,-0.31991686,-0.02891769,-0.084171169,0.067289231,-0.26968472,-0.033886712,-0.13896566,0.075026151,-0.28776783,-0.10928015,-0.067722864,0.075644312,-0.31697968,0.239969,0.25297044,0.24292154,0.24709801
-19720.629,0.96413723,0.0041084627,10,1023,0,19770.367,-0.13676572,-0.12685115,-0.18187766,-0.19921068,-0.063625305,-0.031237873,0.051859173,-0.084813587,-0.20939287,-0.051187193,0.23674032,-0.27376095,-0.079857498,-0.17873907,0.026259413,0.27723842,0.063237094,0.034250717,0.17283137,0.12244138,0.12987453,0.13346476,0.21707151,0.20346222,0.099047537,0.14413039,0.30102413,0.28774918,0.29182912,0.3025182,0.1765193,0.25917774,1.3431294,-0.80587488,0.33552764,0.50050591,-0.92368838,-0.97714279,1.5212865,-1.4031476,0.52094517,0.30586269,0.82639314,-0.057951753,0.84648061,0.11208739,0.93984208,0.15267535,0.37475502,-0.74529017,0.54885589,-0.88910086,-0.28960954,-0.66858218,0.3269132,-0.89461102,-0.66304769,-0.82903031,-0.029422395,-1.5557138,-0.37554678,-0.036309106,0.19137867,-1.1254606,0.65097581,1.0209087,1.7590182,-0.82999687,-0.30006279,-0.63920257,0.38120752,-1.5490252,-1.4970725,-1.0654213,-0.58330706,-1.8290821,0.64160028,0.64357132,1.239938,-0.22348158,0.097209478,-0.29003637,0.31247789,-0.76969954,0.55132879,0.32742686,0.81987515,-0.27341278,-0.44251924,-0.6918856,0.1050404,-1.8749653,-1.3498221,-1.3830396,-0.54559436,-2.397886,3.060093,-11.36333,0.053774668,-0.051830125,-0.18772691,-0.11554793,-0.10511519,-0.15848814,-0.160319,-0.074746002,-0.17490996,-0.091841992,-0.12901499,-0.039050999,-0.19189354,-0.095566429,-0.18548655,-0.084135123,-0.1805169,-0.014954172,-0.16041952,0.0076570955,-0.17909686,-0.069890543,-0.12047004,0.012393519,-0.15063692,-0.092069588,-0.12809969,0.04547241,-0.28584196,-0.16122317,-0.092201118,-0.045875258,-0.3138023,-0.14491531,-0.10827437,-0.035166449,-0.29160201,-0.094435358,-0.14331571,0.0037563939,-0.2744488,-0.21391462,-0.083977187,0.061150818,-0.31385754,-0.089140998,-0.088573831,0.083030183,-0.33806759,-0.051488941,-0.16449856,0.011332651,-0.30447824,-0.011952074,-0.079686484,0.069288088,-0.26145141,-0.051853774,-0.09587175,0.04480107,-0.30470816,-0.072605422,-0.081214656,0.13583251,-0.34424025,0.23738378,0.2482758,0.24514371,0.24488526
