# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 18:08:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67294819dd.json
# init = 2 (Default)
# random
#   seed = 1210391712
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141908-1-6d85dc.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141908-1-92b532.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00396115
# Diagonal elements of inverse mass matrix:
# 0.00382723, 0.00343886, 0.00691519, 0.0109056, 0.00804447, 0.0080604, 0.0278869, 0.0133582, 0.0158003, 0.0147588, 0.0237075, 0.0385613, 0.0491533, 0.0129203, 0.0796761, 0.128022, 0.340843, 0.35252, 0.441899, 0.329545, 0.259489, 0.377379, 0.315098, 0.292372, 0.34627, 0.233114, 0.401463, 0.320479, 0.389831, 0.247042, 0.337341, 0.442338, 0.3774, 0.27709, 0.257233, 0.286407, 0.318684, 0.24156, 0.309666, 0.26555, 0.25294, 0.273864, 0.292404, 0.288022, 0.35141, 0.274882, 0.232321, 0.30307, 0.393847, 0.262786, 0.243315, 0.339981, 0.309173, 0.265448, 0.297808, 0.256043, 0.25878, 0.266674, 0.231535, 0.287286, 0.297996, 0.249607, 0.226557, 0.300233, 0.42339, 0.472174, 0.470147, 0.521398, 0.393592, 0.55038, 0.516312, 0.390103, 0.316199, 0.361984, 0.39688, 0.384948, 0.579823, 0.400852, 0.312682, 0.399739, 0.266867, 0.283766, 0.351775, 0.298605, 0.346628, 0.284774, 0.471901, 0.443743, 0.549702, 0.434384, 0.421489, 0.574777, 0.391357, 0.396818, 0.455026, 0.592028, 4.58401, 77.5648, 1.08443
-19715.334,0.99286432,0.0039611452,10,1023,0,19790.069,0.043600513,-0.15052726,-0.18795298,-0.19545497,-0.09776142,-0.14372439,-0.03528015,-0.095116405,-0.21706682,-0.033537542,-0.50123779,-0.3227258,0.30017802,0.034302455,-0.15341739,-0.057599638,0.20968006,0.042562729,0.088983382,0.12909766,0.065414969,0.10557991,0.15221887,0.12143527,0.17606608,0.3163153,0.28949497,0.44839515,0.45884574,0.29207533,0.25885131,0.32385032,-0.58549272,-1.3180656,-0.65312449,-0.75187559,1.8895961,-0.72146524,2.2916438,-0.42134397,0.32395272,0.78533746,2.1708203,-0.02691007,0.94419801,0.12300688,1.5383611,-0.023476497,0.54434134,-1.2308687,1.4590975,-1.1565049,0.6270472,0.17525965,2.2216845,-0.22151207,0.0011722432,-0.45596941,0.66368156,-1.6755949,-0.54345287,-0.28693651,0.45065183,-1.471717,0.56791366,0.71441179,0.9655215,-0.3515002,-0.17394151,-0.24962858,0.17180321,-0.9424833,0.8464206,1.4609471,1.9187491,0.83311235,0.57235263,0.49987845,0.85358177,-0.028348653,-0.82650744,-1.0842548,-0.71453055,-1.3465648,-0.28570204,-0.40124703,0.18678944,-0.92985104,0.28091731,0.16512985,0.71894054,-0.66029886,-0.12638174,0.049068817,0.48309393,-0.71624942,2.3622907,-8.5136875,0.029581378,-0.079165637,-0.23277157,-0.09334667,-0.11405281,-0.070100888,-0.18123479,-0.052988643,-0.16846081,-0.15912657,-0.118071,0.0052139511,-0.19034753,-0.073561222,-0.17957507,0.0031438439,-0.19848573,-0.062153348,-0.17827866,-0.0023145991,-0.17341416,-0.077520806,-0.12522049,0.090840862,-0.16711162,-0.035101713,-0.1046873,0.065744707,-0.29033731,-0.16111075,-0.12996062,-0.040391376,-0.27383476,-0.11707649,-0.091283138,-0.047071237,-0.27895408,-0.088557904,-0.11249888,0.020806442,-0.33165943,-0.25620329,-0.078300968,0.054230423,-0.26005596,-0.066085651,-0.098582723,0.060016129,-0.3354372,-0.079061399,-0.19732768,-0.027681278,-0.31768749,-0.049144062,-0.082891903,0.088859041,-0.23728409,-0.080701578,-0.11067332,0.032681308,-0.32433662,-0.098528404,-0.041708686,0.098850489,-0.28955724,0.24764921,0.23646236,0.23815328,0.23668363
-19713.741,0.99812762,0.0039611452,10,1023,0,19758.427,-0.10819237,-0.18316877,-0.11914398,-0.19414856,-0.0087800445,-0.12265438,0.018494985,-0.061045961,-0.19658732,-0.095448505,-0.34780372,0.020850242,0.24682053,0.19375937,-0.19349981,-0.36494347,0.11307934,0.060907283,0.095172666,0.13920428,0.1359517,0.20634572,0.1901664,0.15598892,0.13231802,0.30663582,0.13112769,0.21015549,0.50486743,0.82894059,0.16415864,0.4703561,0.34524698,-1.136117,0.26590102,-0.24655806,0.4197216,0.78036986,2.8400976,0.036644371,-0.087380143,-0.15728661,0.79596982,-0.53460742,0.84598341,0.16478591,1.3519884,0.078846843,-0.30304765,-1.3183343,0.38025057,-1.3515461,0.054233683,0.088233939,0.95725833,-0.17604829,-0.36604938,-0.83564038,0.28364827,-1.3926228,-0.60657449,-0.21430197,0.46825032,-1.4683874,0.48637803,0.82012923,0.93709397,-0.72971512,0.13782853,-0.056525522,0.36217133,-0.70249114,0.93491257,2.1214106,2.7649936,0.58554916,-0.28845191,-0.39815534,0.31952023,-1.7159583,-0.60600197,-0.87346082,-0.60264632,-1.0068147,-0.25097676,-0.31559292,-0.18683346,-0.55022038,0.64419746,0.46722045,1.5820754,-0.86934317,0.52934533,0.56335635,1.0416518,0.11740499,-2.1780476,10.279481,0.093858664,-0.069152066,-0.23666373,-0.078124455,-0.13607299,-0.15760467,-0.13563856,-0.010186143,-0.18093686,-0.12746018,-0.13411337,-0.043389412,-0.170024,-0.076384049,-0.17120966,-0.0059459873,-0.18317274,-0.049979886,-0.18800983,0.042915666,-0.19252503,-0.11146349,-0.10444768,0.074871784,-0.15898119,-0.051115307,-0.14041574,0.072435355,-0.24633509,-0.15566486,-0.094474694,0.011995902,-0.29009812,-0.13223074,-0.088069444,-0.072592902,-0.29314178,-0.053185339,-0.11278126,0.015606198,-0.31085746,-0.22521079,-0.069628046,0.014763511,-0.27102201,-0.039769511,-0.06282429,0.087999174,-0.33976783,-0.059130128,-0.19416139,-0.057435967,-0.26148744,-0.014285458,-0.06784842,0.038885528,-0.26234064,-0.087749229,-0.11680153,0.066211546,-0.33621001,-0.11596266,-0.09996537,0.12500381,-0.30972132,0.24624355,0.23665329,0.23351127,0.24860953
-19721.901,0.98882525,0.0039611452,10,1023,0,19766.982,-0.18058584,-0.10565977,-0.11591753,-0.11520825,-0.10478967,-0.13943608,-0.16534496,-0.14659304,-0.17573049,-0.086156062,-0.13111917,-0.26956484,-0.17674102,-0.42651721,-0.1542614,-0.093429061,0.093140733,0.11603179,0.086837015,0.072586512,0.26546639,0.10493236,0.16952567,0.64788188,0.16583309,0.20245121,0.16168925,0.21051681,0.051866699,0.52381261,0.13450502,0.28399357,0.92719036,-0.26075315,1.2304329,0.87822139,-0.13451251,-0.70389115,0.69561609,-0.77140394,-0.17943228,-0.38750064,0.94115506,-0.47360657,-0.062291212,-0.91843215,1.7459811,-0.65935959,0.15512568,-0.2674415,0.55268809,-0.36534624,0.57370522,0.13127782,2.0260633,-0.13998397,0.4250438,0.2258006,1.5707608,-0.63811823,-0.053625789,0.078309898,0.28184122,-0.17995289,0.18717131,0.60125486,0.54737602,-0.69146434,-0.10086147,-0.16209481,0.46880543,-0.95039441,-0.0082349577,0.3444133,1.0834835,-0.93151601,0.87676998,0.82187676,1.4843676,-0.45415654,2.2207031,0.3967112,2.8969077,-1.59861,0.78795014,0.66657407,0.89277196,0.38842763,0.75323322,-0.100422,1.2117774,-1.2842278,0.057110499,0.075717265,0.59508005,-0.76349586,4.4428298,-17.189033,0.093152054,-0.09422665,-0.20487258,-0.065982413,-0.098787655,-0.1212675,-0.18733352,-0.024946189,-0.19516715,-0.13149889,-0.14956693,-0.03419043,-0.15704411,-0.11972975,-0.18187404,0.011526427,-0.16306886,-0.063609013,-0.1757864,0.041930444,-0.20177682,-0.079235843,-0.12566079,0.073163515,-0.15412493,-0.093289128,-0.12706596,0.10093931,-0.27352239,-0.18133622,-0.095857477,0.036006779,-0.26318126,-0.14469129,-0.076022536,-0.08495743,-0.29039816,-0.10657559,-0.11897235,0.0087541629,-0.27856456,-0.13245067,-0.075431239,0.04406847,-0.28173529,-0.084990023,-0.09654597,0.042919477,-0.36517243,-0.061560481,-0.15616492,-0.02648798,-0.25965564,-0.013778985,-0.077357302,0.041128004,-0.22305391,-0.05294775,-0.16776866,0.0087287489,-0.3269965,-0.077210046,-0.071925844,0.075569845,-0.31025697,0.24982025,0.24387515,0.23942702,0.24521012
-19728.967,0.99656714,0.0039611452,10,1023,0,19770.411,-0.13006926,-0.062453151,-0.15662728,-0.13980358,-0.10958035,-0.17124434,-0.1468212,-0.16503587,-0.19815574,-0.021710395,-0.23093567,-0.57978454,-0.10515517,-0.65747388,-0.072920647,0.1119839,0.04505804,0.090184282,0.054801736,0.1987337,0.086759183,0.20371263,0.17301218,0.1229616,0.1751473,1.4815852,0.22973878,1.2305281,0.1764627,0.75112797,0.12079837,0.26547525,0.77189923,-2.0226353,-0.19054632,-0.57990598,-0.7044822,-1.0252884,0.18657281,-1.0498612,0.49982677,-0.10407722,2.0154264,-0.636176,0.44029105,-0.17729755,0.47758184,-0.18318705,0.73398054,-0.83555598,1.7209865,-0.91153892,0.3556663,0.39909877,1.2416587,0.16842363,0.42472354,-0.013753494,1.2940916,-0.65670352,-0.2188628,0.23321505,1.3363744,-1.116405,0.40841309,0.61690815,1.0950227,-0.68945978,-0.073655131,-0.083178536,0.02502654,-0.17590251,0.44124978,0.64154297,1.2939545,-0.24727495,0.45839144,0.41999015,0.51313016,0.20591891,0.23609756,-0.67706733,-0.074803668,-1.1643874,0.83911569,0.76879336,0.92120076,0.60530876,0.2842944,-0.029406011,1.2705006,-1.6581049,-0.7434535,-0.64925608,-0.20593844,-1.6305649,2.4842275,-8.5222156,0.32197899,-0.095288989,-0.22120524,-0.1386549,-0.15619868,-0.12598637,-0.15491805,-0.045627215,-0.15713413,-0.12923591,-0.16233089,-0.046178416,-0.19149083,-0.052302911,-0.17503858,-0.044891974,-0.17620902,-0.045900797,-0.1820725,0.039731035,-0.18866472,-0.098790627,-0.089942884,0.081697223,-0.13693432,-0.07333886,-0.14920073,0.077072403,-0.26043891,-0.19194759,-0.13635937,-0.00071314037,-0.30231081,-0.1266233,-0.090105949,-0.0063654707,-0.31891276,-0.13083674,-0.14494648,0.015368556,-0.28232494,-0.12956349,-0.083548373,0.066335867,-0.28774432,-0.015720977,-0.062974845,0.051636555,-0.32639553,-0.063492757,-0.2246323,-0.11835523,-0.31062612,-0.02719062,-0.080011689,0.034465775,-0.20280954,-0.038578346,-0.076472845,0.080553759,-0.27321702,-0.085384602,-0.060377518,0.057312346,-0.32089073,0.25065231,0.2335343,0.22324116,0.23406819
-19727.445,0.99943329,0.0039611452,10,1023,0,19777.09,-0.16843428,-0.18081011,-0.10568527,-0.14383727,-0.095335746,-0.07244623,-0.097350907,-0.069168427,-0.11950556,-0.23569796,-0.11704863,-0.34860513,-0.11863247,-0.10670984,-0.27564368,-0.22100506,0.10683987,0.060060529,0.089720267,0.079841638,0.13745159,0.089523429,0.17222866,0.58398077,0.2913546,0.16491313,0.091999344,0.23429454,0.081586687,0.12408954,0.23285434,0.20936624,0.70785504,-0.18888793,0.77859042,0.049980891,0.64567786,0.49422217,2.2317066,0.34174581,0.13585771,-0.48823515,0.96599949,-1.1546465,0.91474632,-0.83259892,1.4110938,-0.26949736,0.79267402,-0.32335517,0.85597766,-0.93296909,-0.18093961,-0.51817869,1.9202459,-1.1134434,0.029057758,-0.27849184,1.0499552,-0.9643313,-0.18551278,-0.071375085,0.17353182,-0.36486202,-0.071937389,0.12665925,0.43833898,-0.61533413,0.82930874,0.59893083,1.4604481,-0.30897196,-0.58941979,0.28132997,1.3706747,-2.0627306,1.2688747,1.0209941,1.7776039,-0.032628987,0.35285002,-0.90732071,0.79061538,-1.8335697,0.70812171,0.30405592,1.1526813,-1.0293571,1.0541134,0.77980073,1.3848564,0.015979836,0.71156575,0.5940062,1.6238943,-0.35865942,-0.55832978,3.9616153,0.25854042,-0.092807135,-0.18861504,-0.085249776,-0.16309432,-0.14203036,-0.15112687,-0.046772633,-0.16028468,-0.093496076,-0.14948985,-0.019015534,-0.20928045,-0.070802423,-0.21031333,-0.031173226,-0.16535438,0.013618557,-0.13978143,0.022319744,-0.22357383,-0.088644564,-0.11883536,0.099460767,-0.1721255,-0.092346329,-0.14531519,0.083481479,-0.2634364,-0.17750433,-0.1108501,0.032170822,-0.28224083,-0.14046485,-0.082602805,0.0082065209,-0.29878599,-0.098934056,-0.1369264,0.0051491187,-0.28665149,-0.17127486,-0.091166456,0.0090525413,-0.30681849,-0.051314722,-0.10939178,0.067877755,-0.35624992,-0.089844606,-0.19265776,-0.054128781,-0.26822735,-0.018839341,-0.068979681,0.036325856,-0.2344423,-0.030188805,-0.094063695,0.046826137,-0.2719227,-0.072027217,-0.096640218,0.11898357,-0.29609623,0.23960454,0.23566762,0.236117,0.24619795
-19730.267,0.96368307,0.0039611452,10,1023,0,19781.985,-0.14125934,-0.20648172,-0.030196715,-0.14568244,-0.083132223,0.013085179,-0.35646131,-0.16713633,-0.1285636,-0.051524385,-0.058656882,-0.13784607,-0.080686172,-0.070303419,-0.2947272,-0.21726177,0.070299938,0.1371457,0.19148477,0.10663728,0.052899535,0.061362992,0.31069087,0.082839,0.23316537,0.12632503,0.17020272,0.31559849,0.16150852,0.10844149,0.27192071,0.17584205,1.2001042,-0.22223833,0.8547169,0.19234206,0.092529448,0.3496928,1.1205866,0.20567772,-0.70893536,-0.40675776,0.075614062,-0.95701539,0.65460762,-0.37941145,1.6762683,-0.30715947,0.66094805,-0.89756235,1.2592083,-2.0312894,-1.4193443,-2.6034954,0.91799712,-2.259181,0.98878344,0.90980854,1.349542,0.20292546,-0.033006567,0.76899078,2.0092847,-1.7134663,0.053973658,0.25597547,0.53345312,-0.70101772,-0.27821105,-0.64848679,0.39754137,-1.6144182,-0.36421831,-0.20594589,0.3173472,-1.5258163,0.088447402,0.11034339,0.6576663,-0.70661431,0.29764766,-0.7522205,0.31135874,-1.4832983,0.29967459,-0.11103338,0.83206367,-1.4300643,0.95406135,0.64060251,1.4018522,-0.10788944,0.79132105,0.6959698,1.9317369,-0.45834195,-0.40451186,2.8499558,0.062763256,-0.056892088,-0.15688268,-0.081172796,-0.12773771,-0.1937917,-0.15852285,-0.052798086,-0.1782739,-0.16594704,-0.10808463,-0.015717774,-0.21345059,-0.075876862,-0.18614184,0.033070257,-0.17843709,-0.048168379,-0.13061285,-0.016520691,-0.19058649,-0.074010034,-0.14667309,0.069416229,-0.12554493,-0.049255326,-0.073792106,0.06282906,-0.29341422,-0.16987056,-0.1034339,-0.00068919575,-0.30907817,-0.11597881,-0.068878985,-0.0041808066,-0.29201665,-0.086669405,-0.1334445,-0.0013049583,-0.25546582,-0.12064783,-0.093709433,-0.0046435247,-0.31835496,-0.1099322,-0.10302186,0.069712419,-0.36085247,-0.032613539,-0.20217619,-0.030399082,-0.32025149,-0.03780626,-0.082344044,0.019926806,-0.22538172,-0.035298153,-0.1205341,0.086465453,-0.32406457,-0.078114256,-0.094881015,0.12241881,-0.29785756,0.25466253,0.23404719,0.24419366,0.23229381
