# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 18:08:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67294819dd.json
# init = 2 (Default)
# random
#   seed = 1210391712
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141908-2-6d85dc.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141908-2-92b532.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0020291
# Diagonal elements of inverse mass matrix:
# 0.00454772, 0.00545006, 0.0257213, 0.018536, 0.0138343, 0.0141879, 0.0173088, 0.0207251, 0.0159562, 0.012616, 0.0300438, 0.0696607, 0.134202, 0.0718666, 0.0239434, 0.0475164, 0.343239, 0.432536, 0.59277, 0.369179, 0.372167, 0.362635, 0.323743, 0.355556, 0.313676, 0.277912, 0.37584, 0.365885, 0.579342, 0.552858, 0.265881, 0.401128, 0.429574, 0.313088, 0.278069, 0.32413, 0.298278, 0.305724, 0.226829, 0.280602, 0.22162, 0.227371, 0.350579, 0.282861, 0.317208, 0.311152, 0.278707, 0.266984, 0.4329, 0.341645, 0.268827, 0.379523, 0.366618, 0.352317, 0.217676, 0.284822, 0.240181, 0.212766, 0.300233, 0.26997, 0.388415, 0.295575, 0.252558, 0.266977, 0.350633, 0.499989, 0.585492, 0.557903, 0.380542, 0.50227, 0.383007, 0.458288, 0.278073, 0.342897, 0.465729, 0.404, 0.418387, 0.469971, 0.421324, 0.39921, 0.269193, 0.405765, 0.318613, 0.322894, 0.378157, 0.383437, 0.406905, 0.441082, 0.571773, 0.391388, 0.518529, 0.426134, 0.577637, 0.532363, 0.490545, 0.592862, 15.892, 271.811, 1.11236
-19712.896,0.95355915,0.002029102,10,1023,0,19760.469,-0.11630623,-0.13120116,-0.13216148,-0.22620111,-0.0027783746,-0.15503124,-0.082740468,-0.082001377,-0.1003288,-0.12645312,-0.35196904,0.26203734,-0.24016885,-0.13203113,0.060975027,0.073289165,0.13886805,0.094487183,0.044473849,0.22077854,0.1829382,0.36769718,0.16659042,0.1002405,0.11756187,0.077330602,0.3112759,0.96366709,0.29167617,0.11100376,0.28769577,1.2592891,0.74035432,-0.83806198,0.11648754,0.14220711,0.2598342,-0.43331178,0.68389933,-0.56566822,-0.70682967,0.28909125,3.1334797,-2.0409109,0.71931714,0.04928478,1.317468,0.2421259,-0.022684547,-1.0535462,-0.08221635,-1.0719776,0.16577956,0.053153894,0.51389607,0.090286389,0.06290441,-0.055582214,0.97602002,-1.0566531,-0.60674675,-0.56734054,0.88224011,-1.9687974,0.22420806,-0.05499427,0.63364129,-1.6044971,0.40741964,0.17525225,1.3300214,-2.0814113,0.49577438,0.93341949,1.2392008,0.21731245,-0.32146622,-0.36718,-0.23582376,-0.62982232,0.4322788,0.093998996,0.96043145,-0.30112616,1.0044857,0.14943257,1.7806541,-0.64008211,-0.36815083,-0.71332684,0.13191337,-1.472169,-0.091736429,-0.11716415,-0.0040414602,-0.30473235,0.61638464,-1.2542135,0.025862178,-0.013494668,-0.23268627,-0.10012983,-0.096558207,-0.10665016,-0.17214357,-0.066581436,-0.18464955,-0.16359692,-0.11930448,0.0071964186,-0.22292865,-0.067391318,-0.21532009,0.064667561,-0.1727449,-0.0069282449,-0.19551223,-0.017818886,-0.19888404,-0.09407456,-0.1354867,0.0339269,-0.12183319,-0.072261195,-0.091999932,0.07985512,-0.25876875,-0.14282197,-0.13887188,0.0064348134,-0.27935462,-0.073970481,-0.10679403,-0.025836744,-0.28895648,-0.094947117,-0.11290076,-0.023601771,-0.28740991,-0.19764642,-0.061418046,0.033764316,-0.28432491,-0.047749079,-0.091801938,0.034781746,-0.3449017,-0.11408342,-0.21275158,0.039966124,-0.32800017,-0.020529441,-0.11544355,0.065628169,-0.20308265,-0.044940409,-0.14424609,0.098925944,-0.36256175,-0.042233523,-0.074254378,0.068199798,-0.31045697,0.23637882,0.2367091,0.25586851,0.23189467
-19698.665,0.83637192,0.002029102,10,1023,0,19751.986,-0.13653034,-0.12664563,-0.10745823,-0.19515009,-0.021420127,-0.110698,-0.10666372,-0.10285228,-0.11575675,-0.13151346,-0.26995652,0.17865841,-0.25986442,-0.15805973,0.06115977,0.037490164,0.092515495,0.092106005,0.037350888,0.19730369,0.20352918,0.26770752,0.22681034,0.12847869,0.13633026,0.13359735,0.22755904,1.0525933,0.22430123,0.13619149,0.22685948,0.9946433,0.36820462,-0.58993957,0.24617948,-0.10361007,-0.11149683,-0.84680066,0.84742008,-0.46095301,-1.0912331,0.088715363,2.4373133,-1.6741825,0.55384152,0.10065764,0.98248864,0.053750842,-0.26438867,-0.82081146,0.28172831,-0.78054952,-0.040458326,-0.093192721,0.64722574,-0.13371244,0.20768372,-0.12377165,0.71233012,-0.7972293,-0.55881845,-0.1197774,0.90721807,-1.6739281,-0.093362982,0.20791566,0.34953752,-1.4160763,0.22058248,-0.019798511,1.1768186,-1.1378234,0.40657923,0.82709365,1.5090354,-0.062705185,-0.2525915,-0.2793041,-0.099757113,-0.4765824,0.71602187,0.22491492,1.1443567,-0.30872474,0.6948763,0.70834299,1.5190954,-0.7710517,-0.43201247,-0.77548176,0.068634565,-1.8746727,-0.16537449,-0.097971585,0.075355357,-0.34778293,1.6125446,-5.4169324,0.04401693,-0.10246571,-0.1911089,-0.11375493,-0.14611588,-0.13691516,-0.20464105,-0.04859315,-0.16910217,-0.14821675,-0.10414463,-0.016422412,-0.16999043,-0.085875111,-0.17528996,-0.001301452,-0.18454485,-0.075230937,-0.18847921,0.035919806,-0.18028473,-0.121529,-0.13564639,0.062569203,-0.14649382,-0.059558908,-0.13473641,0.054900111,-0.28748357,-0.17464854,-0.11824113,0.013705902,-0.31791637,-0.12848495,-0.087411553,-0.068104208,-0.30881081,-0.10204422,-0.13415849,0.025706383,-0.28352365,-0.17743574,-0.081743885,0.07343812,-0.28422565,-0.087217701,-0.11533521,0.073654747,-0.32298902,-0.099259835,-0.20941573,-0.0031838025,-0.32911176,-0.063423491,-0.061589442,0.048828144,-0.26307042,-0.036846355,-0.11476562,0.076730172,-0.36412751,-0.12699846,-0.059956617,0.11244186,-0.30842979,0.24642526,0.23481729,0.24256666,0.23389699
-19697.698,0.8934621,0.002029102,10,1023,0,19746.518,-0.17952869,-0.070242275,-0.11530604,-0.14410683,-0.07708352,-0.06469668,-0.15617365,-0.0040433829,-0.12067187,-0.093711661,-0.23853271,0.036901117,-0.010919232,-0.12751292,-0.033737825,-0.14208443,0.1034359,0.090633925,0.040949797,0.098007088,0.11880741,0.24583949,0.15749735,0.22904925,0.26366263,0.091950232,0.15247695,0.67982748,0.32329669,0.16786109,0.37448417,0.40083216,1.088348,-0.96996462,0.85847497,0.44689416,-0.2797271,-0.66737233,0.57420339,-1.3004691,-0.2764312,-0.63913005,2.2711758,-1.5940053,0.81888801,-0.38941787,1.4972183,-0.38145114,0.16402692,-0.74826098,0.54481562,-1.0014346,-0.12575143,-0.082927007,0.59970447,-0.41454,0.41558764,0.26007091,1.3115043,-0.77139795,-0.65980304,-0.47523184,0.055832036,-1.3021502,0.050388772,0.044888915,0.45582037,-0.76266424,0.19838326,-0.2573543,0.85142392,-1.8848708,0.592481,1.0117088,1.9152249,-0.33284617,-0.13899858,-0.16315721,-0.027073439,-0.53822097,-0.13910453,-0.45902728,0.087475472,-0.79096701,0.53222112,0.15011988,1.0271622,-0.46475108,-0.031272589,-0.2943136,0.22501807,-0.74033183,0.21704333,0.17312986,0.58869028,-0.39291434,1.8406585,-6.1795528,0.015707908,-0.066954434,-0.27985785,-0.090731554,-0.13330379,-0.095595041,-0.13072885,-0.018199968,-0.18810889,-0.12662585,-0.14147829,-0.022301856,-0.18058024,-0.063849999,-0.18227254,0.0026311768,-0.18149174,-0.057595907,-0.16598247,-0.012355389,-0.19606137,-0.095611346,-0.085083413,0.082734361,-0.16660698,-0.090719693,-0.11521317,0.050384802,-0.27766678,-0.15517077,-0.11289488,0.008744903,-0.3022999,-0.10738623,-0.10883634,-0.00048906992,-0.32175792,-0.075470274,-0.11737545,-0.015423033,-0.26702597,-0.14819301,-0.08427044,0.05349494,-0.28928408,-0.05759394,-0.074017638,0.01849585,-0.32899629,-0.055891265,-0.15932123,0.017361298,-0.26663624,-0.038173701,-0.10231363,0.044907645,-0.20552654,-0.045448914,-0.14395361,0.050527878,-0.31098037,-0.055086484,-0.072688417,0.093881565,-0.29957713,0.25020118,0.24420843,0.25211798,0.24179407
-19715.266,0.18925006,0.002029102,10,1023,0,19758.188,-0.25341588,-0.077525437,-0.13053652,0.036530735,-0.19906243,0.035358542,-0.12809511,0.08981713,-0.11199948,-0.13270136,-0.15837482,0.65982993,-0.16849896,-0.10573441,-0.097903788,-0.081462376,0.17507489,0.067840239,0.081115236,0.17041859,0.62722123,0.1388965,0.16569462,0.41740255,0.1257117,0.13556529,0.14361248,0.66672871,0.19575237,0.15829298,0.13556568,0.28698826,1.1350095,-0.23542521,1.0406432,0.75815893,-0.22650275,-0.98970547,0.34135096,-1.9632907,0.34662733,0.33489147,1.2011648,-1.3722643,-0.50988784,-1.2796361,-0.12908711,-1.0686509,0.28444768,0.10496285,0.34888064,0.010769577,-0.58954402,-1.2974261,0.55879795,-1.331428,0.23120248,0.051795984,1.2225305,-1.0091803,-0.52442732,-0.46403061,-0.23192606,-0.95282643,0.079423319,0.0097858735,0.85437505,-1.6371025,0.36063257,0.21734537,1.1064426,-1.078079,0.045559013,0.45837497,1.6153162,-0.92997065,-1.0645089,-1.1114708,-0.91056249,-1.5499968,0.56959948,-0.26064322,1.0889804,-0.55060599,0.42290415,0.17114143,0.80466144,-0.62248685,0.30559274,-0.40541565,0.9553825,-1.5036497,-0.051224249,0.059481695,0.7552995,-0.73947399,2.4265925,-8.702327,0.17495223,-0.054704208,-0.29463292,-0.071225386,-0.12068129,-0.092891438,-0.14466729,-0.054368106,-0.21071555,-0.10241977,-0.10337172,-0.033103759,-0.24184807,-0.050363634,-0.18154305,0.014531892,-0.14558725,-0.020650811,-0.1332275,0.019762907,-0.19230753,-0.046527057,-0.14484939,0.11297362,-0.14957214,-0.089786102,-0.11951279,0.074471615,-0.29531085,-0.12908017,-0.10387043,-0.006989398,-0.30789505,-0.10201504,-0.11076928,-0.0045945448,-0.31780242,-0.083812105,-0.10323688,0.01729385,-0.27885146,-0.15183198,-0.092546458,0.073604738,-0.29193021,-0.049908745,-0.081219579,0.052731775,-0.37359744,-0.056998517,-0.21952049,0.044671524,-0.27628139,-0.038791656,-0.078643926,0.021637842,-0.20426971,-0.0564759,-0.15286424,0.031613294,-0.30174709,-0.096163134,-0.064391828,0.13529972,-0.29368273,0.24820469,0.22910963,0.25473668,0.24040186
-19723.042,0.99833017,0.002029102,10,1023,0,19767.465,-0.20799543,-0.084055585,-0.18610512,-0.0060884426,-0.22304929,0.076317778,-0.20895468,0.070396868,-0.088787856,-0.16999691,-0.14255433,0.59169932,-0.11358721,-0.03343144,-0.069263853,-0.1402997,0.14607204,0.043290112,0.097848319,0.17590872,0.3484271,0.18426946,0.18703997,0.43351191,0.1708474,0.21085162,0.1168865,0.95386144,0.21599731,0.20265955,0.13953658,0.19062367,0.86763055,-0.13855359,0.46974538,0.73733679,-1.0924583,-1.8969757,1.526852,-1.234881,-0.21854416,0.23130605,2.1910619,0.010631648,-0.21990193,-1.0140242,0.11039332,-0.81865638,0.62819418,0.038266439,0.71268319,0.059963438,-0.95000588,-0.98661218,0.3534807,-1.2156008,0.82137129,0.49292,1.4870394,-0.31700201,-0.54133024,-0.4391151,-0.20301474,-0.85352342,-0.34212334,-0.061099525,-0.02310307,-1.1164031,0.35065783,0.21392496,0.55674881,-0.69287103,-0.5791287,0.58919858,1.7160024,-1.1525136,-0.6775326,-0.72156411,-0.5588184,-0.97774207,0.28556261,-0.51694796,0.74609341,-0.70251614,-0.012905368,-0.42320228,0.30519626,-0.89151948,0.22149626,-0.76898676,1.313061,-2.0405152,0.54390972,0.27319595,1.0922694,-1.0235403,-0.34274841,2.7512306,0.044100647,-0.081258868,-0.22823423,-0.13937876,-0.10029114,-0.13134823,-0.16617588,-0.017957991,-0.13751372,-0.2074893,-0.16347222,0.028286604,-0.18506483,-0.044771109,-0.18446414,0.013330704,-0.15009724,-0.0041694151,-0.20971622,0.025268846,-0.2021564,-0.098739295,-0.10548472,0.14145348,-0.14768033,-0.055325421,-0.11675894,0.069181116,-0.26824673,-0.16427624,-0.11996476,-0.017612438,-0.2996157,-0.14723874,-0.099226551,-0.092734956,-0.27952243,-0.09606014,-0.12489049,-0.052605522,-0.31608989,-0.21024665,-0.073684965,0.058023188,-0.2772676,-0.054572904,-0.096572859,0.058664001,-0.34093114,-0.051906452,-0.22524657,0.047566961,-0.2653288,-0.036046836,-0.11919742,0.028419497,-0.21410638,-0.038357023,-0.17656563,0.11395619,-0.35399037,-0.036617633,-0.088222087,0.067912698,-0.33541072,0.24865183,0.23623391,0.25882163,0.24580454
-19707.207,0.99872014,0.002029102,10,1023,0,19765.313,-0.27139422,-0.096278888,-0.14754879,-0.055648784,-0.18793263,0.053162736,-0.19757746,0.015394287,-0.12123071,-0.11184178,-0.1334137,0.12848003,-0.10520545,-0.025045409,-0.075614453,-0.16701519,0.18581351,0.056898547,0.083853197,0.12020539,0.18743401,0.18106035,0.19050328,0.21900137,0.18540618,0.11205091,0.10422411,1.2914655,0.16826785,0.1924908,0.14272248,0.12733176,0.74508676,0.11775543,0.9017587,0.87200094,-0.19992005,-1.0291592,1.1091829,-1.6021791,0.095005897,0.52527557,1.6216063,-0.71044019,-0.35995827,-1.2320454,0.55872735,-1.1214366,0.74648366,-0.14715567,0.93719629,0.037897595,-0.55468947,-1.0353901,0.24106839,-1.0848924,0.51311091,0.39947252,1.5032672,-0.45665127,-0.75808524,-0.63944885,0.066543229,-1.4189214,-0.012128992,0.16275146,0.28378929,-0.90527194,-0.13629585,-0.3732098,1.3998572,-1.6103151,-0.38558165,0.50386169,1.5780467,-1.6105399,-0.14410307,-0.16569401,-0.04034446,-0.38672158,0.17482294,-0.8457184,0.7165325,-1.035524,0.079753048,-0.38555609,0.29961369,-1.2545383,0.24674517,-0.18629937,0.99654469,-1.6513457,0.50558189,0.87279566,2.1804465,-1.1158541,1.1273032,-3.2199797,0.096827382,-0.13294704,-0.24951368,-0.10383528,-0.10936467,-0.10765405,-0.15483655,-0.033167991,-0.18744055,-0.13958224,-0.10350275,-0.011571918,-0.20712147,-0.098917708,-0.20374728,0.011513255,-0.1904515,-0.048016207,-0.21551461,-0.012270174,-0.18082933,-0.047269535,-0.13430536,0.096810663,-0.14326827,-0.099828145,-0.12147663,0.088799872,-0.28457103,-0.15062742,-0.12464589,0.029967345,-0.29535144,-0.1234795,-0.091055584,-0.068614421,-0.28907373,-0.12711385,-0.15366028,0.045013503,-0.29227906,-0.1736006,-0.080899162,0.031056817,-0.30127078,-0.057624113,-0.085508068,0.076376553,-0.37095757,-0.075788366,-0.24751266,0.015363937,-0.27945084,-0.0096936812,-0.099261409,0.032627469,-0.26653248,-0.040398371,-0.10220356,0.066614873,-0.3112986,-0.10263856,-0.055880586,0.1106249,-0.30909886,0.24712967,0.23306126,0.24874068,0.2436704
