# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 17:57:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8ccc71893.json
# init = 2 (Default)
# random
#   seed = 1341516224
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191857-1-5b200e.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191857-1-30b6f3.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00546224
# Diagonal elements of inverse mass matrix:
# 0.00433912, 0.00375159, 0.017353, 0.0134752, 0.0109721, 0.0179491, 0.0242016, 0.0254343, 0.0205252, 0.0164823, 0.0669405, 0.0590081, 0.034075, 0.0464054, 0.0374373, 0.0388391, 0.39367, 0.473473, 0.455102, 0.467364, 0.328196, 0.482068, 0.314396, 0.414353, 0.334816, 0.345219, 0.423311, 0.375854, 0.335812, 0.436906, 0.339627, 0.300753, 0.454043, 0.295645, 0.29505, 0.297435, 0.321664, 0.273487, 0.258655, 0.28142, 0.291318, 0.280795, 0.328816, 0.279719, 0.284923, 0.290434, 0.210134, 0.243803, 0.472264, 0.339963, 0.282805, 0.420222, 0.337891, 0.316403, 0.250585, 0.295409, 0.29904, 0.273696, 0.334836, 0.275783, 0.304023, 0.262949, 0.199923, 0.244795, 0.375402, 0.44184, 0.428995, 0.501813, 0.438835, 0.508696, 0.401246, 0.451577, 0.346643, 0.425315, 0.539573, 0.422445, 0.386833, 0.458626, 0.341301, 0.459922, 0.313086, 0.346088, 0.42267, 0.368458, 0.356855, 0.352373, 0.45586, 0.493539, 0.593009, 0.498965, 0.431266, 0.536443, 0.432928, 0.469727, 0.45767, 0.360521, 1.13352, 18.8176, 0.955217
-19715.913,0.91919135,0.0054622425,7,173,1,19767.829,-0.13154189,-0.14382526,-0.082107507,-0.10990822,-0.12744218,-0.1498521,-0.18904501,-0.06408283,-0.20947761,-0.012858283,-0.25300334,-0.03578148,-0.099779519,0.0081505688,-0.36734088,0.021339421,0.028762742,0.18434475,0.094025439,0.3754179,0.10123214,0.12174996,0.21211815,0.25986918,0.089681837,0.31854794,0.22211412,0.31496978,0.29777647,1.5511909,0.24676154,0.46089405,1.4160344,-1.3791037,-1.3523328,-0.29363843,0.032212959,-0.054451259,0.70974346,-0.16714378,-0.2396726,-0.072835556,0.61503111,-1.122499,0.042529303,-0.2789724,0.33020785,-0.18934761,0.47455425,-0.66389438,1.5504975,-0.76710049,0.7468263,-0.03554491,1.669675,-0.0086608521,0.57031007,0.22578933,1.3294975,-0.27616523,-0.46757104,-0.070468954,0.25830993,-0.94383581,0.45958489,1.0556987,2.0332945,-0.94625712,-0.19323139,-0.26194093,0.19452415,-0.86580635,0.16174622,0.73514872,1.3703732,-0.13498274,-0.1037535,-0.14093663,0.36087635,-1.1684462,0.18382939,-0.50686192,0.41781733,-0.63309629,-0.02765756,-0.1008844,0.052468148,-0.15412359,1.4650458,1.0708627,1.7854777,0.021314539,-0.097285855,-0.20595438,0.18497611,-0.77552268,0.61484647,-1.339044,0.095017848,-0.090812853,-0.17120869,-0.17043868,-0.13998773,-0.13788697,-0.15386307,-0.012987782,-0.17463734,-0.10464283,-0.088955902,-0.024278937,-0.18765097,-0.093941958,-0.21463945,0.014057721,-0.1809927,-0.079402042,-0.19464963,0.029517996,-0.20509741,-0.058926035,-0.15417969,0.053430759,-0.15090656,-0.068071894,-0.141151,0.092965548,-0.24762467,-0.18559013,-0.08239554,0.0030439604,-0.30935667,-0.16826119,-0.11480061,-0.027128021,-0.29433969,-0.074411744,-0.096299025,0.049106985,-0.28865911,-0.21707722,-0.089716431,0.051375891,-0.28298492,-0.068460696,-0.080172258,0.077883665,-0.40380672,-0.045039451,-0.25071107,0.024636651,-0.2883007,-0.034751588,-0.1483404,0.089538685,-0.23092454,-0.0058239403,-0.10309316,0.073246346,-0.36208127,-0.02349905,-0.073583728,0.10659381,-0.33609436,0.25104856,0.2504903,0.21626093,0.2554338
-19716.494,0.99892791,0.0054622425,10,1023,0,19757.488,-0.1244322,-0.27006471,-0.068754356,-0.42354031,-0.083086922,-0.066521362,-0.17042362,-0.10550936,-0.12847463,-0.15896584,-0.060689374,-0.070496227,-0.15346393,0.019756604,-0.21359736,-0.056884895,0.036308108,0.2556406,0.094836374,0.7003603,0.090902832,0.3005378,0.13548201,0.08404523,0.12480307,0.1280191,0.39048367,0.23239005,0.11919356,0.094406493,0.27149716,0.1066717,0.46037065,-0.33846349,0.54426908,-0.067294116,0.57087877,0.34391975,0.87291621,0.42922222,-0.81225511,-0.41600566,0.49559393,-1.4547324,0.52339678,0.34859501,0.64698869,0.37186674,0.59080704,-0.88891203,0.7121318,-1.0023555,0.095026578,-0.28819826,0.49861013,-0.31027031,0.63511565,0.37068662,1.9012033,-0.55190919,-1.005426,-0.11522617,0.95576849,-2.2250099,-0.1521708,0.331536,0.84246019,-1.760501,0.31900811,0.18657444,1.2886709,-1.0385169,-0.25201044,0.0012839287,0.32716783,-0.5983336,-0.090458518,0.0059489437,0.61948338,-1.3927618,0.58451982,-0.4304096,1.279251,-1.0855841,-0.75810826,-1.1659541,0.48201963,-2.8165834,0.58982828,0.38185966,0.86125044,-0.39420756,-0.31328423,-0.14262842,1.3941049,-2.3146078,0.57268876,-0.84229986,0.057559754,-0.10771702,-0.13672117,-0.10467082,-0.12687552,-0.12412492,-0.18214486,-0.046911881,-0.16033808,-0.14578569,-0.10820682,-0.021754025,-0.2067159,-0.056973994,-0.17939821,0.029584875,-0.16309962,-0.029380889,-0.16389154,-0.018352124,-0.17420387,-0.037962283,-0.15313583,0.08332983,-0.15976932,-0.084376871,-0.12020225,0.087155227,-0.24519738,-0.19001062,-0.11519357,-0.025181573,-0.29251083,-0.14746602,-0.087097924,-0.023333018,-0.34819056,-0.11812671,-0.13508075,0.0060086415,-0.29191584,-0.15909533,-0.060188021,0.06706432,-0.29432887,-0.091517887,-0.069113751,0.07346555,-0.39416021,-0.083792934,-0.20476599,-0.00098544512,-0.28285857,-0.051813738,-0.090317036,0.065262388,-0.24614716,-0.053460657,-0.10992355,0.020229686,-0.3206236,-0.090303457,-0.072099312,0.091826647,-0.30378805,0.24342606,0.25657258,0.22675844,0.25646572
-19706.361,0.99334322,0.0054622425,10,1023,0,19758.697,-0.059696602,-0.45964095,-0.091000127,-0.36166152,-0.19221615,-0.077819494,-0.20232489,-0.31807182,-0.22027706,-0.011933725,0.043753568,-0.10619634,-0.12503321,-0.080851524,-0.094467617,-0.28555477,0.049295907,0.36660987,0.12142445,0.85572333,0.12810115,0.083182517,0.2094553,0.37308085,0.212483,0.74384448,0.26417461,0.21890277,0.26440566,0.45387646,0.1354433,0.85101932,0.020907904,-2.1732878,-1.0094315,-1.785014,1.0592224,0.88209533,1.2235068,0.76151939,-0.67026436,-0.35936835,1.0046797,-0.84346382,0.30746397,0.19630386,0.4469365,0.19961494,1.0775368,-0.36976158,1.9612222,-0.20886291,0.18248734,-0.80932096,1.4560746,-0.91071824,0.47723692,0.46196113,1.0721136,-0.49923842,0.45404969,0.55199613,0.72322465,0.019154111,0.50662614,0.66153077,1.0162466,-0.51893552,-0.095328663,-0.16008322,0.0055432591,-0.31054105,-0.93466361,-0.41453147,0.14334086,-1.2593276,0.30628229,0.055431708,0.83846138,-1.0222574,0.22467841,-0.29614935,0.5642693,-0.74546193,0.074979854,-0.017000738,0.40015359,-0.4187807,0.36871269,-0.16767922,1.0501154,-1.9736843,0.18843485,0.26872957,0.50411208,-0.038102721,0.35925078,-0.3102012,0.056533812,-0.058665928,-0.1668308,-0.10945744,-0.14769049,-0.071319557,-0.13625609,-0.01109126,-0.18046042,-0.17238661,-0.13463623,0.030992555,-0.19341726,-0.098557427,-0.19367973,0.02079247,-0.19084637,-0.054182441,-0.23958303,0.059018671,-0.21897172,-0.062639738,-0.14514085,0.043300459,-0.15357533,-0.10236509,-0.10556469,0.022234974,-0.30689303,-0.14867458,-0.11213263,-0.048250549,-0.31092579,-0.11262762,-0.079713018,-0.0043419379,-0.33054203,-0.082843424,-0.13101074,-0.007810402,-0.24292797,-0.20316083,-0.065755123,0.081620584,-0.2889288,-0.039150295,-0.094062184,0.077345185,-0.32997132,-0.065626964,-0.20333677,0.024162789,-0.32213756,-0.046819933,-0.088567758,0.10076877,-0.27092622,-0.044527953,-0.11717864,0.047763475,-0.36178993,-0.12519307,-0.056860715,0.14345435,-0.31798092,0.25352695,0.24835575,0.22688482,0.25512445
-19713.523,0.98473157,0.0054622425,10,1023,0,19761.68,-0.15979249,-0.40818563,-0.13166801,-0.56475564,-0.033532617,-0.055241416,-0.15975169,-0.17542723,-0.15580467,-0.12937829,-0.22086342,-0.11447604,0.46087575,-0.11708057,-0.15236035,-0.10316958,0.034404603,0.4315005,0.086873907,0.54887492,0.06987743,0.15378646,0.10285282,0.18446974,0.10063943,0.17885785,0.17956594,0.20685701,0.52947452,0.099904292,0.1740978,0.17987503,1.1560844,-0.86288304,1.3664499,1.2648152,0.59161241,0.56014029,0.74015105,0.53860717,-0.064065524,-0.028140451,0.89093465,-1.241617,0.92568509,0.67536662,1.0434473,0.73831691,-0.029043491,-2.0631431,0.8685958,-1.9353685,0.018237111,-0.6116775,0.61303655,-0.53032556,0.67957741,0.29579272,2.1372543,-1.4801862,0.15557553,0.24694666,1.0393129,-0.61952039,0.13908026,0.69072529,1.5375788,-1.3957809,0.13122224,0.028116829,0.85065455,-0.87900948,0.13103917,0.68615299,1.2250731,-0.2283657,0.24037303,0.0023924456,0.94458797,-0.95633568,-1.0029399,-1.2539692,-0.88155652,-1.3877222,0.60614687,0.1598686,1.6824982,-1.166308,0.52471914,0.2459882,1.3613066,-0.94453075,0.15296955,0.032876618,1.1251033,-1.2893725,-0.19966552,2.1958567,0.026266382,-0.12001787,-0.18947964,-0.11278033,-0.11627703,-0.15290458,-0.16648481,-0.088810079,-0.17577636,-0.13723363,-0.13411268,-0.054269032,-0.23953213,-0.056670307,-0.19406384,0.0079664413,-0.15951201,-0.035562102,-0.17769976,0.027162625,-0.16877119,-0.052436795,-0.14930914,0.039035308,-0.13679831,-0.089855231,-0.12932857,0.060070955,-0.31199302,-0.14672825,-0.12987304,0.016294565,-0.28970999,-0.14180771,-0.086290475,-0.0010636227,-0.29627526,-0.10590816,-0.12434937,0.022767961,-0.28659604,-0.19733325,-0.097653717,-0.00088202763,-0.26187013,-0.064753194,-0.11398115,0.0809186,-0.31230078,-0.070155371,-0.20306897,-0.0058859628,-0.27388779,-0.056523899,-0.10110901,0.051008215,-0.23359975,-0.061007902,-0.10953435,0.084640136,-0.31680108,-0.075654183,-0.097255902,0.09920841,-0.3350955,0.24372635,0.24632509,0.23166678,0.25775785
-19704.469,0.99739091,0.0054622425,10,1023,0,19759.649,-0.12611179,-0.246122,-0.20190812,-0.14349434,-0.2469894,-0.10728728,-0.36790761,-0.370856,-0.28505932,-0.083101955,-0.40245941,-0.26786619,0.29954653,-0.17413908,-0.11870598,-0.12831992,0.062150048,0.10844588,0.12390606,0.35477124,0.39138868,0.15856019,0.52199266,0.31075317,0.28781803,0.22235812,0.222307,0.25521198,0.87302524,0.20681074,0.13338891,0.16371746,1.1228575,-0.42353674,0.43401606,-0.045786336,1.0476322,0.62488456,2.1061709,0.53880774,0.62893941,0.46049859,1.3704895,-0.22272363,0.1178816,-0.1083758,0.48053779,-0.088200135,0.58383524,0.090652849,0.77216887,0.26530119,0.076656793,-0.13670236,1.0997554,-0.24407774,0.52300638,0.45602808,0.83534578,0.14141696,0.68380931,0.78911193,1.2302858,0.19772991,0.72400894,0.69845325,0.64969685,-0.090463241,-0.020604156,-0.14808057,0.58756804,-0.78258591,0.82975183,1.2741871,1.9804579,0.63229204,0.73898554,0.57297539,1.4101693,-0.35266668,-0.42559614,-0.52081276,-0.32179798,-0.6960361,0.56803929,0.26918641,0.91913632,-0.4166819,0.83939964,-0.066830543,1.2782203,-1.684242,0.23484451,0.39993365,1.4091215,-0.93249156,0.12741861,0.64036179,0.049730511,-0.05632614,-0.15243462,-0.099137669,-0.12895741,-0.13251061,-0.17835585,-0.017716459,-0.18769053,-0.12397872,-0.14484956,-0.032096168,-0.22950493,-0.10167334,-0.18194295,0.026986652,-0.17478521,-0.018482892,-0.2115089,0.055228756,-0.14315351,-0.09513256,-0.12896283,0.067090144,-0.14598829,-0.09490212,-0.1298643,0.068136752,-0.294089,-0.15836009,-0.12563697,0.011459216,-0.30941081,-0.076676494,-0.084031881,-0.098064854,-0.31109627,-0.087683456,-0.11602887,0.047548568,-0.25711629,-0.21799978,-0.1191987,0.037810231,-0.26189647,-0.079268227,-0.12163601,0.092025916,-0.35787095,-0.072009647,-0.15513616,0.018608766,-0.30811056,-0.056662455,-0.11846844,0.015948183,-0.26031338,-0.0067393774,-0.12762043,0.051794433,-0.34336518,-0.089871777,-0.062843801,0.10237787,-0.28098508,0.26012891,0.2519473,0.22726792,0.25764708
-19718.13,0.99539903,0.0054622425,10,1023,0,19763.861,-0.18654005,-0.26958613,-0.0097916011,-0.085623017,-0.053563603,0.0038947266,0.10764364,-0.1416151,-0.058232907,-0.24585551,-0.14984003,-0.18561295,1.1547676,-0.045782692,-0.15063193,-0.14554028,0.054981445,0.60814199,0.24477092,0.26396315,0.085171691,0.15626331,0.27940008,0.088737919,0.10627189,0.25986978,0.11846067,0.13384723,0.90345507,0.30126061,0.14581871,0.12216963,1.2073628,-1.2261538,0.77408512,0.73876263,0.20809131,0.13095178,0.46420215,0.10465947,-0.76466007,-0.56164916,-0.09303285,-0.83187224,0.043113292,-0.36411219,0.34997429,-0.30234393,-0.0099032438,-1.8846652,0.9235957,-1.9668363,-0.45114971,-0.75819764,0.42392811,-1.063418,-0.65458883,-0.75290375,-0.12965041,-1.4032691,-0.31507306,0.60260427,1.4592111,-1.670105,-0.34808877,-0.13790538,-0.094144315,-2.1197717,0.57081499,0.6258053,1.0789738,-0.10723829,-0.077714381,0.8968678,1.3024994,-0.91742714,0.80803215,0.55636646,1.8508993,-1.2143295,-1.3610007,-1.4657995,-1.2254435,-1.6171056,0.010647731,-0.17376467,0.43991161,-0.64230972,0.68449317,0.13379466,1.7597825,-1.1750446,0.4063937,0.90524383,1.6067807,-1.2495259,0.14111106,0.61909653,0.048468784,-0.1201575,-0.25395576,-0.14397973,-0.14592181,-0.14303706,-0.18994885,0.012714692,-0.20593831,-0.19695815,-0.14726698,-0.032563337,-0.21340973,-0.074242697,-0.18173522,0.0067572996,-0.16543067,-0.054407079,-0.21408373,0.025100605,-0.22108238,-0.06660342,-0.11458375,0.070139136,-0.16227848,-0.075248532,-0.10271773,0.071419305,-0.28442985,-0.16957402,-0.088141247,-0.012127738,-0.28981674,-0.095224958,-0.072888372,-0.068237801,-0.28350504,-0.097517948,-0.083227628,0.034537156,-0.2737235,-0.15904613,-0.04359647,0.0044549203,-0.25851907,-0.077460089,-0.11114484,0.06212478,-0.34814759,-0.07483542,-0.16951641,0.047634363,-0.30621466,-0.04257495,-0.098131143,0.086745351,-0.23928531,-0.050820014,-0.13112216,0.10597729,-0.32197541,-0.095891308,-0.034946973,0.050759523,-0.29819439,0.24513532,0.23307069,0.21876578,0.25600291
