# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 17:57:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8ccc71893.json
# init = 2 (Default)
# random
#   seed = 1341516224
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191857-4-5b200e.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191857-4-30b6f3.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00616044
# Diagonal elements of inverse mass matrix:
# 0.004417, 0.0043489, 0.0106104, 0.0124817, 0.01292, 0.0132243, 0.0144361, 0.0146103, 0.0176198, 0.0124357, 0.0226363, 0.0348703, 0.0255675, 0.0199051, 0.0232003, 0.0315446, 0.458674, 0.401766, 0.387515, 0.376976, 0.354969, 0.334519, 0.328904, 0.331488, 0.362343, 0.368576, 0.355517, 0.317659, 0.271764, 0.377171, 0.312567, 0.289121, 0.399614, 0.288879, 0.299388, 0.325435, 0.307064, 0.267508, 0.240905, 0.26605, 0.266099, 0.265031, 0.265749, 0.259001, 0.305341, 0.2509, 0.274682, 0.26825, 0.48199, 0.361435, 0.290743, 0.423261, 0.377411, 0.301942, 0.247029, 0.270624, 0.298225, 0.259766, 0.264032, 0.244891, 0.304864, 0.242174, 0.251651, 0.274501, 0.356418, 0.480504, 0.470151, 0.471734, 0.405883, 0.528239, 0.381559, 0.501431, 0.386259, 0.449834, 0.465172, 0.383194, 0.402505, 0.386067, 0.42177, 0.433301, 0.310846, 0.377828, 0.44374, 0.380159, 0.365515, 0.308711, 0.443234, 0.425232, 0.540755, 0.521468, 0.397118, 0.510174, 0.423124, 0.46657, 0.465082, 0.469419, 0.418956, 6.90667, 0.879523
-19699.506,0.95124323,0.006160441,10,1023,0,19747.002,-0.10175303,-0.13513349,-0.10607351,-0.13119981,-0.1618383,-0.19211248,-0.061190948,-0.14798651,0.058398386,-0.03067897,-0.0059175638,-0.35910476,-0.14082579,-0.17535675,-0.073245585,-0.0097846619,0.15251001,0.099241056,0.076806861,0.23457489,0.18592645,0.15453905,0.48794184,0.072766163,0.23256907,0.33185277,0.18281466,0.41873433,0.13228629,0.1506685,0.23662477,0.13545881,0.39296251,-0.84499193,-0.046519485,-0.12575766,0.16512321,-0.020767812,0.91470779,-0.48530819,-0.50008854,-0.62307731,0.89945454,-1.2050974,0.23698006,-0.25173384,0.40350572,-0.18136348,0.68120853,-0.35508342,1.0008958,-0.22623769,0.54692052,0.35952139,1.9741453,0.25354926,-0.057467436,-0.19421557,0.25483482,-0.43890378,-0.076407741,-0.10789804,2.0036987,-1.4493081,-0.70407669,-0.5930351,-0.39967445,-1.5647466,-0.13612758,-0.18515058,0.18057007,-0.7791214,-1.085228,-0.40814284,0.24550666,-1.5354205,0.66041038,0.63526505,1.0432671,0.10225793,0.56719592,-0.58454354,1.0910938,-1.0200347,0.89523018,0.49687999,1.6730739,-0.34146392,0.031646978,-0.16872694,0.61533927,-1.1259166,-0.8542538,-0.66473833,0.63437305,-2.1910792,0.28446144,0.056310552,0.041900487,-0.041822315,-0.23062276,-0.10884772,-0.12093233,-0.11874649,-0.13719451,-0.044356927,-0.18329599,-0.14448374,-0.15393012,-0.036989232,-0.19863326,-0.075610237,-0.19025025,-0.036547497,-0.17374313,-0.035183612,-0.2278577,0.02425471,-0.20390187,-0.1075919,-0.13655238,0.11297007,-0.15292922,-0.089231715,-0.15595685,0.063153623,-0.27535047,-0.15354641,-0.15583784,-0.0021850507,-0.2534471,-0.10534807,-0.079523233,-0.034553528,-0.30551327,-0.075853283,-0.092121703,0.029243708,-0.28923256,-0.20431314,-0.080532057,0.038964651,-0.28661493,-0.082568264,-0.09309748,0.077746975,-0.31628586,-0.065793547,-0.21815289,0.0035109602,-0.2757624,-0.040473759,-0.10049258,0.076722783,-0.2268046,-0.065757126,-0.11317056,0.072358927,-0.33966533,-0.12550086,-0.099829325,0.076146756,-0.30658564,0.26115912,0.23597331,0.22779367,0.25929507
-19693.74,0.96852591,0.006160441,10,1023,0,19739.455,-0.18488161,-0.11899733,-0.078952078,-0.048835695,-0.024007612,-0.094935838,-0.050001246,-0.15773825,-0.097410178,-0.13246648,-0.091051733,-0.095970272,-0.24800926,-0.090011606,-0.14189007,0.067134978,0.11806498,0.072198877,0.16289156,0.18245114,0.19776373,0.26029904,0.12447452,0.098433523,0.15183519,0.14995722,0.18612599,0.21707892,0.18027393,0.11422772,0.22432862,0.53769695,0.84883971,-0.097756672,0.40984806,0.75437893,0.020934184,-0.23306421,1.3868727,-0.881324,-0.13722691,-0.29038717,0.3380354,-0.96504213,-0.070554828,-0.85647281,0.54268828,-0.66605553,-0.081659926,-0.93948872,0.19063794,-0.92225379,0.083352883,-0.22697942,0.44935347,-0.26142442,-0.36601734,-0.51848838,1.0843164,-1.763758,-0.062681334,0.051546266,1.3023148,-1.3121396,-0.20006885,0.10688563,0.39777593,-1.6011317,0.27811187,0.015443253,1.0091108,-1.005285,-0.4572774,0.11730386,0.81850982,-0.93188874,0.14219281,-0.048086643,0.73282315,-1.0699141,1.2043915,0.26413024,1.3898574,-0.35503657,0.32598517,-0.095058013,1.4581973,-1.1739,0.36658981,0.19840246,0.94422114,-0.68081896,-0.32205725,-0.245784,0.080451173,-0.77013146,-0.058143389,1.4625179,0.012736924,-0.084663364,-0.19642325,-0.13649291,-0.095815874,-0.11748591,-0.13582431,-0.018866678,-0.18262794,-0.10130518,-0.1262537,-0.023888965,-0.23614929,-0.061708504,-0.20510014,0.050178402,-0.17035829,-0.040156984,-0.20980441,0.013693657,-0.20639596,-0.073239162,-0.15401836,0.022030439,-0.16298436,-0.095561078,-0.11453984,0.084968519,-0.26954418,-0.16390819,-0.15266437,-0.029546812,-0.28689677,-0.12778767,-0.081181178,-0.037013795,-0.34051832,-0.090761604,-0.13015066,0.018856968,-0.28321622,-0.17616294,-0.069218436,0.06129422,-0.26450045,-0.06510321,-0.10640887,0.063110189,-0.32822607,-0.030888856,-0.20039346,0.0025458009,-0.3120131,-0.052775065,-0.10086987,0.076554946,-0.22410352,-0.059653489,-0.097382724,0.069925747,-0.29461725,-0.10603422,-0.065022327,0.11039333,-0.34696236,0.24984882,0.24407209,0.22213169,0.26454641
-19699.321,0.97348016,0.006160441,10,1023,0,19741.75,-0.1783307,-0.12813892,-0.10708566,-0.11308094,0.1994435,-0.09104704,-0.20552849,-0.1028866,-0.19420174,-0.21302576,-0.10505354,-0.078129707,-0.054270515,-0.022712816,0.060211297,-0.12946127,0.13201877,0.059715444,0.11928575,0.20431094,0.46678231,0.074579961,0.23882783,0.18885444,0.17637811,0.59039942,0.17250851,0.19640344,0.24663728,0.11381131,0.27289384,0.19895657,0.91580302,-0.59339562,0.7846076,0.28218586,-0.33529197,-0.82462783,1.9197915,-0.82095145,-0.0048501138,-0.51346294,0.90586435,-0.70525325,0.21052297,-0.36555742,0.50994159,-0.21876784,-0.52486083,-0.90976665,-0.39948176,-0.8594481,0.031344734,-0.31527153,1.6258518,-1.0423881,0.35863317,0.33200859,1.26041,-0.30483088,-0.58145953,-0.15603129,0.71312595,-0.8629249,0.64035612,0.66512188,0.96785874,-0.71545947,0.21458725,0.15238156,0.39155996,-0.11064177,-0.72699833,0.063156487,1.0316702,-1.0219935,0.01369569,-0.052136736,0.59367757,-1.431628,-0.038869253,-0.71631499,0.033276421,-1.0865909,0.04965448,-0.43688902,0.68709721,-1.8432508,-0.31813454,-0.78539519,-0.048692147,-1.4608953,0.20219714,0.15230327,1.1015719,-0.96698738,0.079181234,0.96097544,0.019119358,-0.057427512,-0.25667006,-0.07474777,-0.14107687,-0.14816103,-0.17738193,-0.013497718,-0.1771624,-0.10766421,-0.16833447,0.00097104392,-0.19121232,-0.070068791,-0.18776831,-0.0088942926,-0.1577776,-0.045552253,-0.22521948,0.012972481,-0.20173167,-0.088709351,-0.11455998,0.03020892,-0.16878831,-0.11987691,-0.1262356,0.095492507,-0.27833059,-0.21269782,-0.13235381,0.0317904,-0.2658538,-0.081256941,-0.076888802,-0.023492648,-0.32039313,-0.086333571,-0.12305977,0.018151019,-0.27834859,-0.23046694,-0.094158505,0.072918362,-0.28135612,-0.075439826,-0.088369541,0.038470612,-0.35930638,-0.063857122,-0.2309405,-0.046063309,-0.32226433,-0.017061574,-0.072435728,0.055486617,-0.23249561,-0.02660566,-0.15411821,0.04692351,-0.33845805,-0.089232826,-0.099159538,0.089703689,-0.32184976,0.2584045,0.2322044,0.23574356,0.25505879
-19712.653,0.96067243,0.006160441,10,1023,0,19752.034,-0.20362087,-0.14708013,-0.11560163,-0.14640977,0.29235308,-0.060693626,-0.21521433,-0.15117445,-0.25558908,-0.17029689,-0.1202374,-0.071607367,-0.039697114,-0.062729857,0.021687064,-0.014661491,0.10413616,0.049967786,0.09755931,0.21108223,0.4651921,0.11194291,0.13710847,0.1128998,0.16421501,0.29545347,0.09996588,0.12616099,0.22893323,0.13364115,0.20553209,0.30099709,0.88674126,0.051583609,0.74765782,0.75237435,-0.014008984,-0.69118762,1.9983595,-0.38358473,-0.3104574,-0.023654044,0.54009107,-0.72498761,0.3792129,-0.15299714,0.79134719,-0.10021912,-0.69528558,-1.0736597,-0.60221517,-0.94867269,-0.25720131,-1.1331541,1.1915138,-0.74982423,1.1333695,0.63087169,2.0419272,-0.27857033,0.15769517,0.30287002,0.86814432,-1.22179,0.59251207,1.0734593,1.2689533,-0.40440789,0.23424915,0.18471811,0.5066943,-0.28292902,-0.52208357,0.37933429,1.3236097,-1.581461,-0.088124077,-0.19442172,1.1152165,-2.452459,0.055717453,-0.67192379,0.086211711,-1.0892056,0.086702674,-0.29963888,0.92395355,-1.6001,-0.22351437,-0.83263072,0.24502303,-1.8186917,-0.26664575,-0.2695714,0.31476024,-1.0556747,-0.31786658,2.5799517,0.036813635,-0.11127904,-0.19824915,-0.12576266,-0.12527149,-0.14778012,-0.18161724,-0.047226523,-0.16624701,-0.14588964,-0.1179093,-0.06291072,-0.18633092,-0.06636467,-0.17870475,0.020629552,-0.16756425,-0.031088282,-0.20710492,0.012207337,-0.14896197,-0.08948549,-0.18754219,0.072687897,-0.14463113,-0.059819771,-0.12871648,0.064751184,-0.25340868,-0.1333707,-0.11698049,-0.053161133,-0.28911429,-0.1582897,-0.079310955,-0.047207905,-0.32199892,-0.10108717,-0.11572128,-0.020592297,-0.25388925,-0.17242795,-0.082316916,0.01207841,-0.27832954,-0.082725187,-0.096135803,0.069089443,-0.38101202,-0.026941537,-0.1935228,-0.019960388,-0.28905247,-0.051142813,-0.10277394,0.060748355,-0.27656906,-0.024252311,-0.14944527,0.072047159,-0.35211244,-0.094921087,-0.095801699,0.080080424,-0.33241651,0.24800799,0.24708,0.22427236,0.25645837
-19699.701,0.98377942,0.006160441,9,646,1,19755.147,-0.2119983,-0.17915624,-0.12674192,-0.092496657,0.15947399,-0.02561825,-0.20822839,-0.21817453,-0.19565901,-0.2857335,-0.049740544,0.01839168,-0.15057216,-0.15790693,-0.029047576,0.085645953,0.090806987,0.13256926,0.11242493,0.093817293,0.27699193,0.14601281,0.16416216,0.19323464,0.11828633,0.39123902,0.20883085,0.21582571,0.12008531,0.22144439,0.23557849,0.2098495,1.0372008,-0.24423283,0.91247525,1.0875917,0.40608285,-0.030259949,0.49899374,-0.08308797,0.047622454,-0.003203776,0.99829845,-0.42404258,0.38324518,-0.94845769,1.3063763,-0.90433878,-0.72395554,-1.1624619,-0.58055306,-1.2228048,-0.57099877,-0.82887136,0.74753093,-0.8651233,0.75116429,0.46891767,1.8052096,-0.51963341,0.51250547,0.56788756,0.99081458,-0.40091483,0.43801948,0.80251305,0.89999431,-0.82274395,0.4669297,0.48022692,0.84134383,0.017167193,-0.50985703,-0.042860231,0.49725681,-1.1805669,-0.43723046,-0.34000916,0.32782049,-1.6201149,0.50980529,-0.36346286,0.96856421,-1.0475849,0.68167223,0.36608904,1.1154342,-0.32159773,-0.060112994,-0.32794533,0.4532319,-1.240438,-0.85767368,-0.67974368,0.11790295,-1.8691564,-0.077347299,1.582122,0.016101484,-0.11781323,-0.23417635,-0.12913917,-0.11323737,-0.12532214,-0.18316778,-0.11300501,-0.19017115,-0.12138797,-0.1271021,-0.014508284,-0.17441487,-0.056541631,-0.18147839,0.030064032,-0.17733927,-0.041055851,-0.16251857,-0.001334521,-0.17923307,-0.10899138,-0.14664408,0.083530839,-0.15193733,-0.08491564,-0.13124985,0.088118714,-0.29353254,-0.11914072,-0.10843899,-0.026714835,-0.29564517,-0.14384729,-0.10073268,-0.089201984,-0.29297837,-0.10305238,-0.097849996,0.043433032,-0.27901703,-0.15621442,-0.058691082,0.054102019,-0.29627933,-0.075973896,-0.054991039,0.089143771,-0.33127076,-0.089352035,-0.19421871,-0.034261828,-0.27637171,-0.0069544364,-0.076838563,0.089099725,-0.22912294,-0.043208904,-0.10630444,0.077724111,-0.3212681,-0.094336436,-0.056997916,0.11038783,-0.30659557,0.24602862,0.23821318,0.22594695,0.26137641
-19697.289,0.92495216,0.006160441,10,1023,0,19737.23,-0.08741164,-0.13453935,-0.082422442,0.028078749,-0.13134356,0.028884918,-0.14813924,-0.01389316,-0.12197442,-0.22711593,-0.1559316,-0.12777981,-0.12457717,0.02396533,-0.038480552,-0.23415769,0.054318873,0.048075629,0.16093966,0.3540838,0.12786855,0.20083549,0.35146013,0.1808484,0.1107788,0.32079467,0.23702398,0.1652023,0.14282489,0.12334345,0.27121998,0.29441981,0.16323953,-1.5996591,0.11406688,-0.57080681,0.24760259,-0.51470116,1.0308961,-0.7296003,-0.27712228,-0.10230011,0.41596896,-0.76481908,-0.24806621,-0.65360412,-0.077857939,-0.60414199,0.84941358,-0.52736594,1.298456,-0.40846255,-0.45670501,-0.91930969,0.23707663,-0.95771048,0.25159588,0.033447984,0.61613704,-0.44056013,-0.75431015,-0.55770723,0.11296508,-1.7411799,0.011796766,0.33063811,0.29867633,-1.8411996,0.31316711,0.3731551,0.78355323,-0.15966989,0.085009439,0.36739294,0.78704873,-0.42823554,0.53047268,0.35121953,1.1643245,-1.1977766,0.15348478,-0.4717382,1.1549596,-1.1619822,-0.26832611,-0.82016092,0.53832912,-2.044321,0.10132931,-0.30966397,0.29639159,-1.1709234,0.41650571,0.53842696,1.2171292,-0.25486391,-0.050579698,1.4859522,0.01450531,-0.078544653,-0.17430332,-0.081215656,-0.11841722,-0.1226357,-0.15928393,-0.084978373,-0.16961535,-0.12702241,-0.098886588,-0.015476539,-0.20551217,-0.059757475,-0.20335188,0.00051051464,-0.18583814,-0.022730275,-0.19877708,0.034688127,-0.18357307,-0.062837657,-0.1557451,0.07649832,-0.16345734,-0.059713317,-0.1363836,0.068408366,-0.30297856,-0.15030895,-0.11475362,0.0065363944,-0.32878277,-0.12066758,-0.085346721,-0.088887409,-0.32594031,-0.1266536,-0.10740977,0.024243763,-0.27833718,-0.13578233,-0.068850667,0.030617819,-0.2574337,-0.040144504,-0.069757536,0.064569268,-0.32565525,-0.10265572,-0.19195312,0.040379806,-0.29053714,-0.0091309367,-0.077196145,0.0903647,-0.22818828,-0.010998019,-0.12246761,0.041906771,-0.35605839,-0.11153016,-0.075634132,0.12418926,-0.30919467,0.25052218,0.24967333,0.23517049,0.26035895
