# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 18:13:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc1a9b0ba7.json
# init = 2 (Default)
# random
#   seed = 1690523049
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191913-1-28ff19.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191913-1-191e87.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00212204
# Diagonal elements of inverse mass matrix:
# 0.0100641, 0.00987284, 0.00773139, 0.0150091, 0.0261131, 0.0141296, 0.0366994, 0.0320075, 0.0261274, 0.0149957, 0.0560702, 0.0578638, 0.0326089, 0.0153917, 0.0515442, 0.0400873, 0.537315, 0.527266, 0.367333, 0.354055, 0.447995, 0.371441, 0.400236, 0.452574, 0.427975, 0.303902, 0.426787, 0.377532, 0.382641, 0.277451, 0.393853, 0.350723, 0.461094, 0.337966, 0.313162, 0.302796, 0.304193, 0.291677, 0.27204, 0.334795, 0.279214, 0.254359, 0.32052, 0.285123, 0.299364, 0.25732, 0.250395, 0.239264, 0.519381, 0.388636, 0.282718, 0.368436, 0.375123, 0.378817, 0.26854, 0.309267, 0.297366, 0.238492, 0.307615, 0.268299, 0.254926, 0.247281, 0.259941, 0.246059, 0.431997, 0.581395, 0.551812, 0.485533, 0.417834, 0.548043, 0.499424, 0.44041, 0.373941, 0.409209, 0.505656, 0.393994, 0.46211, 0.359741, 0.34127, 0.389561, 0.334306, 0.380705, 0.426585, 0.318902, 0.402731, 0.406819, 0.475662, 0.604018, 0.54337, 0.430081, 0.444291, 0.481384, 0.371328, 0.424298, 0.548254, 0.466907, 13.9828, 230.318, 0.864851
-19706.875,0.99636394,0.0021220419,10,1023,0,19760.706,-0.15427476,-0.13029909,0.022597343,-0.061260571,-0.072682925,0.065859615,-0.019872271,-0.36279817,-0.1565458,-0.17955959,0.19396758,-0.082730789,-0.056514443,-0.17283137,-0.11914439,0.29631135,0.062213123,0.043233927,0.14891905,0.10593485,0.10671772,0.2523544,0.24548179,0.23187645,0.1735502,0.19355868,0.55197834,0.16640208,0.19516141,0.20181338,0.19756633,0.9174942,1.4858493,-0.98877065,0.42050976,0.39054209,-0.2216984,-1.3898576,1.3911394,-0.78445513,-0.75328519,-0.91798884,-0.34342357,-1.6406809,-0.004061136,-1.0360817,1.3103284,-1.0883696,0.49686064,-0.79359548,0.81817151,-1.0261926,-0.69782722,-0.70893698,0.0023710641,-0.82431212,-0.19713515,-0.50023663,0.28562174,-1.0753387,0.77140767,0.99019394,1.5236357,0.078966854,0.26269488,0.25090086,0.96750134,-0.95636475,0.38160195,0.30060035,1.0063853,-0.49784357,-0.75445064,-0.48328067,-0.33229212,-0.84760811,0.20221167,-0.15661608,0.90833845,-1.5949452,-0.1055981,-0.61784929,0.19646421,-1.1838862,0.64385525,0.40137914,0.8022599,-0.21677613,0.39784774,-0.096997016,0.99425927,-0.91870143,-0.43086822,-0.40965367,-0.21699349,-0.68984857,-2.9250121,12.689964,0.13899692,-0.061835427,-0.21578927,-0.12811353,-0.12997791,-0.13988398,-0.19038809,-0.070154665,-0.16421416,-0.089581169,-0.11410868,-0.028544967,-0.2217313,-0.061690786,-0.17101773,0.077548878,-0.17655685,-0.019659089,-0.15737363,0.014630475,-0.18219586,-0.11024015,-0.11304375,0.066457963,-0.14215917,-0.068265361,-0.14267126,0.050242667,-0.28384835,-0.1839269,-0.13319552,-0.0095029398,-0.34448762,-0.11095505,-0.1130019,0.011364255,-0.3225231,-0.10569722,-0.12137578,0.015235025,-0.27592153,-0.22247283,-0.072792875,0.010549534,-0.27389373,-0.049082347,-0.10879203,0.068418619,-0.34813299,-0.077123117,-0.17709478,-0.018172212,-0.28756334,-0.042892759,-0.091827683,-0.010924582,-0.21657969,-0.040543071,-0.13830773,0.077287767,-0.30064886,-0.099007746,-0.079543514,0.097221085,-0.33662071,0.23851581,0.24540528,0.23533609,0.24722721
-19718.707,0.99867799,0.0021220419,10,1023,0,19761.529,-0.15444321,-0.10853823,0.029067406,-0.095829751,-0.084900349,0.057376097,0.0030246388,-0.33078442,-0.20950042,-0.1523205,0.10668802,-0.067189214,0.036639334,-0.18432122,-0.15165626,0.23618639,0.059250831,0.068833258,0.17753488,0.063138202,0.1687934,0.22176814,0.23451842,0.20063273,0.11072454,0.15331376,0.35891405,0.13547353,0.46734179,0.23261793,0.20845222,0.95488049,0.93813131,-1.150558,0.82568785,0.52684794,-0.21619737,-0.86537006,1.6641033,-1.2411913,-1.0956684,-0.87579085,-0.095524899,-1.0314266,-0.16011204,-1.1095039,1.8388587,-0.6080962,0.34956781,-0.94555658,0.38056878,-0.61742616,-0.55420042,-1.0162315,0.14580054,-1.0136594,-0.45166787,-0.51134574,0.20296152,-1.2624542,0.7774918,1.0688815,1.6654157,0.084026732,0.60804523,1.2178954,1.1914529,-0.59023623,0.42193055,0.34113795,1.2029246,-0.8488286,-0.86912611,-0.49413626,-0.19483133,-1.069732,0.15651297,-0.075666029,1.0971365,-2.0295862,-0.18789323,-0.64393433,-0.087633478,-0.61802339,0.54388156,0.41607651,1.1577458,-0.22067416,0.48278719,0.24018985,0.96608525,-0.80710793,-0.3217975,-0.32348288,-0.077909444,-0.57963848,-2.7690305,13.059278,0.1100488,-0.098858153,-0.22261473,-0.10552052,-0.12322703,-0.1234198,-0.16810447,0.0060074222,-0.19397347,-0.16545194,-0.12641601,0.012108405,-0.15404678,-0.10593894,-0.16588183,0.020272482,-0.13422385,-0.025895607,-0.24450406,-0.020662848,-0.18911781,-0.065527901,-0.16799167,0.089710011,-0.16742127,-0.1028998,-0.11689536,0.050622854,-0.29304413,-0.17479412,-0.11633181,0.0033524723,-0.31392591,-0.14217489,-0.074649513,-0.077577348,-0.27485406,-0.087632737,-0.10001935,0.032104388,-0.2824576,-0.20525356,-0.070664429,0.036760319,-0.27725383,-0.04598585,-0.077439958,0.081443735,-0.34214442,-0.051171024,-0.26429809,-0.0043154529,-0.25218883,-0.057804615,-0.087534362,0.084991208,-0.23565398,-0.0510182,-0.10158815,0.049726355,-0.3198997,-0.07109176,-0.072701101,0.16179218,-0.31729908,0.24377753,0.25321028,0.25024154,0.24028136
-19708.304,0.99997189,0.0021220419,10,1023,0,19761.715,-0.14116786,-0.13197023,-0.0011888931,-0.1391309,-0.06071083,-0.028003418,0.026549444,-0.32027308,-0.26671913,-0.18158334,-0.016469875,-0.051467823,0.02501224,-0.2855642,-0.15888241,0.22442614,0.087569241,0.043423728,0.14925636,0.11613696,0.11724145,0.1992626,0.28049891,0.18801425,0.1363889,0.1547636,0.35825834,0.15813575,0.36238533,0.28829119,0.2253629,0.58014411,0.94515293,-0.94239192,0.64284425,0.10166103,-0.32369094,-0.80687013,0.94702021,-1.4083171,-0.753936,-0.89097592,-0.094269077,-1.6509329,0.20468688,-0.49191208,1.4202293,-0.4839865,-0.088043002,-0.7281217,0.71982774,-1.1878872,-0.53967724,-0.50356435,0.30944311,-0.65172565,-0.47002752,-0.36373883,0.11343632,-1.0034242,0.92151227,1.1432967,1.832817,0.14872365,1.0888597,1.3665999,1.4601832,-0.48476123,0.56715327,0.35048554,1.1008907,-0.64936868,-0.47112247,-0.14758331,0.13536218,-0.76344757,-0.019702671,-0.2752495,0.73917636,-1.9173726,-0.21339579,-0.65908248,0.0048040454,-0.90609601,0.79435158,0.73451923,1.1904673,0.14886378,0.70334206,0.0097177947,1.1497358,-0.76403914,-0.53694511,-0.50697824,-0.2385474,-0.90031969,-4.777959,20.588259,0.17782384,-0.058401531,-0.2236924,-0.084874474,-0.13226548,-0.1460261,-0.16700754,-0.090847087,-0.19312461,-0.11371864,-0.13417272,-0.015259153,-0.24760113,-0.11535919,-0.19626008,0.025810213,-0.19533962,-0.071033119,-0.14607687,0.023682819,-0.19998045,-0.13554091,-0.12834496,0.033657021,-0.15786797,-0.10529277,-0.075478903,0.058368208,-0.25490995,-0.14701564,-0.10531701,0.024322617,-0.29231092,-0.11821075,-0.080330075,-0.067566352,-0.33283518,-0.093808661,-0.12734094,-0.011205542,-0.28208197,-0.18525343,-0.069342828,0.032024756,-0.28998134,-0.054583519,-0.094994608,0.065422383,-0.35467297,-0.052319265,-0.21382958,0.026753155,-0.30334366,-0.056559638,-0.073808775,0.057637046,-0.24264809,-0.00037520708,-0.15669238,0.10022537,-0.33106848,-0.087079402,-0.069694299,0.086034271,-0.29788903,0.24193974,0.25281365,0.23461449,0.24411546
-19701.335,0.99763229,0.0021220419,10,1023,0,19749.805,-0.17383659,-0.13195575,-0.057025138,-0.22398754,-0.095228645,0.0069624045,-0.21122754,-0.23773773,-0.20983409,-0.1597397,-0.064363723,0.0020360582,0.0034329487,-0.35993545,-0.08430056,0.40315131,0.21353061,0.056781568,0.090485285,0.29469686,0.095802303,0.156991,0.2026736,0.095864875,0.10982574,0.56479026,0.25864803,0.78678111,0.47218112,0.4507092,0.13194951,1.5615656,0.63742026,-0.29260631,0.43091155,0.28222152,-0.27025419,-1.343718,0.69734986,-0.70657466,-0.61313333,-0.75449609,0.69655191,-1.8082641,0.44025479,0.29425391,0.94557493,0.23463486,0.66337296,-1.0184526,1.2892891,-1.0280928,-0.65356106,-0.87893943,0.76699058,-1.1820557,0.43502449,0.41460444,1.5054002,-0.4002619,0.97054033,0.95171761,2.0945136,-0.71477413,0.91090845,1.1647511,0.95239515,-0.90884563,0.15458457,0.081285633,0.27943243,-0.20400705,-0.42003818,-0.025258723,0.58708548,-0.90411471,-0.084546106,-0.12052063,0.076367368,-0.4489941,-0.20745257,-0.47181843,0.074365932,-0.65630813,0.73137739,0.53470608,0.9045543,0.25654092,0.41384802,-0.2053004,1.1989256,-1.7163117,-0.30879388,-0.31903114,-0.17451372,-0.44311342,1.5120489,-4.9725659,0.06383097,-0.03772785,-0.23631699,-0.08182378,-0.11357365,-0.1473012,-0.20825416,-0.092359127,-0.17207616,-0.11250468,-0.12529593,0.0060025598,-0.22064643,-0.094245835,-0.13727184,0.054670423,-0.15484138,-0.031675987,-0.19279875,0.02828822,-0.1937223,-0.095640799,-0.13102318,0.12737302,-0.1786097,-0.12305956,-0.12719817,0.093877323,-0.29235006,-0.144697,-0.14650144,-0.036947439,-0.30625946,-0.10979289,-0.081914433,-0.10523658,-0.30964874,-0.072431842,-0.11383037,-0.0019189894,-0.2749609,-0.17300577,-0.070896842,0.08748478,-0.29821121,-0.064483221,-0.092787294,0.062120461,-0.35122402,-0.094522239,-0.21935081,0.038547138,-0.30646336,-0.030296928,-0.1189385,0.047755497,-0.24431009,-0.029693518,-0.11138985,0.073897087,-0.31076704,-0.079050583,-0.095036739,0.13063669,-0.28879935,0.23678121,0.24235485,0.22651482,0.24563268
-19693.986,0.99136396,0.0021220419,10,1023,0,19738.307,-0.11021826,-0.13084342,-0.082081799,-0.13241292,-0.15370968,-0.049561272,-0.078746675,-0.17374869,-0.16968225,-0.33620351,0.13064531,-0.011786682,0.23182999,-0.34001435,-0.11718648,0.60149988,0.22565747,0.034186784,0.083329352,0.14648976,0.12855802,0.13469962,0.1508337,0.21322954,0.12842385,0.45766187,0.36228477,0.58729361,0.75579121,0.47709861,0.14086777,0.88995078,0.10710097,-0.34430119,0.26979381,-0.011082614,-0.070322612,-0.18343556,1.539044,-1.2571616,-0.61524628,-0.66091931,1.2859713,-1.2931108,0.3069486,-0.34998538,1.2400986,-0.16909455,0.95144614,-0.071092415,1.2635371,-0.2150128,-0.50268909,-0.70937425,0.92734976,-0.84076514,-0.094180001,-0.088440138,0.89900151,-1.061142,0.19489495,0.20316035,0.83607652,-0.58461818,0.32705706,0.58514294,1.2961676,-1.0021151,0.53047901,0.46357461,0.67864893,0.11176195,-0.97800726,-0.61820943,-0.21147104,-1.0678521,-0.063503356,-0.16493352,0.14441588,-0.58346711,-0.39540781,-0.56858289,-0.23775057,-0.7842236,0.69117471,0.49408647,0.78692946,0.21844109,0.52975288,-0.14086612,1.1340433,-1.3728102,-0.78070378,-0.78554151,-0.53862706,-1.0243869,0.23626708,0.38950473,0.046063,-0.086050129,-0.1879124,-0.049337275,-0.11271914,-0.13324753,-0.1371145,-0.078228458,-0.17382174,-0.13334987,-0.13715578,0.025077356,-0.18983589,-0.087448096,-0.1836822,0.049248819,-0.15718354,-0.031393653,-0.16284918,0.0087281372,-0.1813513,-0.1172733,-0.14511371,0.075352389,-0.16281202,-0.092952193,-0.092086428,0.056853045,-0.23880264,-0.13219133,-0.1304289,0.0045275222,-0.29840656,-0.12768032,-0.094535937,-0.0032234076,-0.29837773,-0.093423497,-0.12404309,-0.025611775,-0.28505433,-0.22367183,-0.093322554,0.054032568,-0.25622125,-0.049081798,-0.10865109,0.073027842,-0.35445319,-0.067015757,-0.19789996,0.052140196,-0.36087932,-0.010255863,-0.10428639,0.035428597,-0.23579641,-0.042561368,-0.13702997,0.042563683,-0.31057118,-0.093288062,-0.097593403,0.12214831,-0.31015401,0.24323231,0.25660743,0.23087897,0.24444762
-19700.946,0.97677106,0.0021220419,10,1023,0,19744.407,-0.11012371,-0.093295181,-0.088346861,-0.12207428,-0.1944482,-0.04979876,-0.048066812,-0.19829777,-0.13341488,-0.34869223,-0.0127811,-0.15834772,-0.034485393,-0.21878685,-0.15588707,0.57336716,0.082326903,0.089629124,0.041114048,0.12873037,0.14349518,0.13355143,0.12531623,0.26123524,0.088945464,0.23314838,0.35522412,1.9767979,0.19141633,0.99227728,0.10254439,0.94061033,0.29695955,-1.2126627,0.13697412,-0.31822154,-0.41355101,-0.92929988,0.75580296,-0.9308139,-1.9920861,-0.31155095,0.82434683,-1.9914221,0.48549401,-0.77128691,1.1724526,-0.45085074,1.1740973,0.13935588,1.6440462,0.051015362,-0.30100437,-0.84415926,0.7548518,-0.83793185,-0.32735881,-0.46602802,0.72813862,-1.7060234,0.19755905,0.31734073,0.6442697,-0.26465781,0.23261392,0.5117628,0.65433744,-1.9563379,1.0331098,1.0418082,1.4121651,0.21478514,-0.5385457,-0.18933551,0.15221614,-0.7121722,0.057861219,0.040195867,0.10397355,-0.10665817,0.016260645,-0.88926288,0.26601254,-1.3188391,0.17694717,0.16606306,0.30189847,-0.0049641864,0.92916509,0.43751957,1.9438929,-1.4908141,-0.68281888,-0.69444159,-0.51420929,-0.94490025,0.16613185,0.69903915,0.048960958,-0.085675947,-0.20995847,-0.098847052,-0.1363219,-0.1303614,-0.17658752,-0.025553223,-0.17672322,-0.17024959,-0.10115598,-0.054454626,-0.17022229,-0.059576455,-0.22136233,0.028855981,-0.18011246,-0.025970887,-0.1744513,0.041464508,-0.18712774,-0.089998323,-0.16253743,0.051012776,-0.16170576,-0.089090184,-0.10646769,0.043180774,-0.26185923,-0.14668838,-0.11539718,-0.029991813,-0.26743571,-0.11272493,-0.087895905,-0.075214537,-0.30742227,-0.10782436,-0.10579634,-0.019448214,-0.29861542,-0.20408552,-0.080037642,0.041289744,-0.26576184,-0.043967778,-0.07888861,0.047186985,-0.36918936,-0.03137284,-0.20470483,0.01643375,-0.28693273,-0.043206193,-0.054006244,0.080780141,-0.2237127,-0.060606402,-0.11102189,0.043448252,-0.3087617,-0.068899327,-0.079831767,0.089696593,-0.31541578,0.24037086,0.25396556,0.24601349,0.24673229
