# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 18:13:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc1a9b0ba7.json
# init = 2 (Default)
# random
#   seed = 1690523049
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191913-2-28ff19.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191913-2-191e87.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00300153
# Diagonal elements of inverse mass matrix:
# 0.00213324, 0.00612723, 0.0137762, 0.00516892, 0.00867772, 0.0226424, 0.0245764, 0.190821, 0.0165016, 0.0381249, 0.0276068, 0.0302535, 0.00948671, 0.017806, 0.0627029, 0.0304779, 0.387259, 0.379305, 0.442011, 0.255392, 0.264494, 0.409046, 0.347158, 0.835748, 0.334374, 0.420456, 0.467189, 0.360357, 0.268972, 0.374829, 0.383175, 0.259275, 0.396381, 0.320987, 0.317377, 0.262278, 0.291343, 0.287918, 0.266807, 0.250078, 0.229351, 0.248166, 0.29144, 0.24533, 0.338918, 0.349525, 0.313969, 0.244148, 0.463537, 0.374393, 0.296972, 0.332319, 0.321442, 0.334139, 0.255841, 0.326752, 0.232028, 0.221009, 0.301046, 0.237646, 0.237482, 0.31585, 0.288077, 0.239856, 0.309872, 0.399284, 0.769647, 0.424499, 0.357454, 0.440161, 0.5214, 0.739748, 0.301069, 0.450811, 0.550977, 0.337846, 0.552572, 0.580357, 0.459747, 0.323797, 0.265947, 0.444931, 0.373384, 0.276038, 0.330818, 0.354006, 0.434668, 0.21665, 0.409198, 0.418936, 0.385584, 0.588533, 0.338396, 0.490497, 0.49788, 0.431319, 16.94, 277.036, 0.815794
-19711.274,0.96818128,0.0030015255,10,1023,0,19758.671,-0.079520833,-0.1078079,-0.10557068,-0.26951693,-0.21493793,-0.015002691,-0.13393375,-0.21740445,-0.1479856,-0.15410353,-0.097936359,-0.12653485,-0.1526003,0.0050319189,-0.063443917,-0.070530222,0.070428405,0.092160531,0.12491141,0.2913467,0.19413591,0.090960023,0.09085504,0.12310291,0.1041715,0.11867505,0.13749684,0.35156299,0.28388124,0.21722222,0.36117961,0.22312869,0.027757624,-2.2215084,0.13995314,-0.69519944,-0.068687577,-0.58682391,1.1955603,-0.94206462,-0.026349903,0.033259019,0.8397014,-0.75007396,0.50534968,0.23989049,1.0434479,0.3283167,0.96244822,0.33254456,1.0338451,0.18968991,-0.81824233,-1.4865929,0.49522095,-1.3578599,0.41880183,-0.29529468,2.1426765,-1.5432232,0.72450991,0.71438383,1.9703913,-0.61936292,0.51122297,0.50207575,0.63926941,-1.6007531,0.51770038,0.13358164,1.1431445,-1.0026533,-0.25747631,0.3594791,0.70369934,-1.1932109,0.16330262,0.0007648629,0.65175359,-0.5971758,0.32368859,-0.1132516,0.50368721,-0.49363124,-0.23398436,-0.44798562,0.12768643,-1.0942625,0.12298268,-0.11331013,0.36354825,-0.5919388,-0.046087962,0.089656888,0.66596953,-0.93830647,1.4176675,-4.3804422,0.039464181,-0.077565907,-0.23597813,-0.069664156,-0.12848262,-0.11413818,-0.1618899,0.0023755744,-0.19462907,-0.10886208,-0.10141625,-0.00068239047,-0.19926348,-0.12228496,-0.19962562,0.034488183,-0.17386294,-0.028092169,-0.15037909,-0.014231469,-0.17811231,-0.089430032,-0.15022322,0.030042618,-0.13851366,-0.095883493,-0.16076276,0.060739213,-0.27414336,-0.12821517,-0.12946172,0.025156464,-0.29364983,-0.094730738,-0.095683617,-0.081391949,-0.31473844,-0.092665411,-0.13825072,-0.0184408,-0.27309347,-0.13333854,-0.048509117,-0.0011799214,-0.26199909,-0.069123691,-0.12626595,0.10259759,-0.33647976,-0.060711179,-0.1847503,-0.0096129464,-0.29273295,-0.045794682,-0.09228051,0.032768248,-0.23266621,-0.019025081,-0.10436923,0.067862298,-0.27724014,-0.080813768,-0.050525198,0.078066687,-0.27989332,0.24666074,0.25619399,0.2505524,0.24113316
-19708.891,0.98508098,0.0030015255,10,1023,0,19759.639,-0.096794566,-0.096384019,-0.1589651,-0.42813621,-0.22185574,0.11577693,-0.19850239,-0.011661019,-0.142876,-0.18968763,-0.12682818,-0.20551884,0.20144272,-0.001535568,-0.22511853,-0.15466894,0.11031032,0.084499836,0.11911321,0.38626281,0.60908014,0.23677999,0.17836739,0.48198097,0.12388033,0.13659092,0.097028924,0.2246493,0.39710472,0.166763,0.28000503,0.26186639,0.38983061,-1.0758568,-0.2784652,-0.34549045,-0.36671671,-1.029843,0.60745293,-0.99955092,0.17773339,0.095748856,1.0088246,-0.38233892,0.81762547,0.67483261,1.2381187,0.6270578,0.28996223,0.016127099,0.47471543,0.10467041,-0.76322041,-0.94842757,-0.024609464,-1.2312333,0.62174394,0.25220882,1.6569691,-0.24050221,-0.39026106,-0.24481767,0.063653038,-0.54973289,-0.044906792,0.47367684,1.022547,-1.2448658,0.85679274,0.41041443,1.3560039,-0.4307766,-0.85829225,0.57849981,1.6380088,-1.6154747,0.68907065,0.3944495,1.3714483,-0.58410895,-0.63636711,-0.89882404,-0.31343794,-1.2087015,-0.3148922,-0.6222131,0.48455176,-1.3350212,0.73076477,0.39998198,1.0188346,-0.58398808,0.34187101,0.20475839,1.1716868,-0.64312893,-1.2698548,6.4397317,0.03654211,-0.053792228,-0.21547267,-0.12751215,-0.13490573,-0.12737152,-0.18340558,-0.045054346,-0.18084591,-0.13779471,-0.14756015,-0.038800768,-0.20450671,-0.1123179,-0.16747348,0.050103002,-0.18592711,-0.045245507,-0.21203304,0.067284003,-0.15810307,-0.064938393,-0.10879174,0.1099499,-0.17575448,-0.087603542,-0.15351656,0.097046878,-0.24140014,-0.19975942,-0.12965848,0.019018534,-0.27662181,-0.14843906,-0.084196753,-0.016202535,-0.29709038,-0.072657518,-0.13362874,-0.0044698076,-0.2485278,-0.21010736,-0.07069697,0.032106048,-0.28357596,-0.050719596,-0.11690603,0.10257606,-0.33673851,-0.051261657,-0.15548455,0.076975041,-0.27853833,-0.054047934,-0.10529769,0.079269735,-0.22416771,-0.020500721,-0.11312157,0.060160292,-0.38863813,-0.065144408,-0.1010496,0.15215645,-0.32308278,0.24061918,0.24618601,0.23875778,0.24709369
-19706.857,0.8442284,0.0030015255,10,1023,0,19761.961,-0.12764169,-0.04135734,-0.1397519,-0.50856127,-0.17026979,0.022593197,-0.19945142,-0.042215575,-0.11872564,-0.2658612,-0.12595044,-0.21094917,0.19547429,-0.038753753,-0.23599077,-0.10056929,0.095032908,0.11482276,0.18083209,0.42464562,0.3708282,0.15553803,0.14311804,0.33910014,0.075517884,0.21299607,0.1266055,0.19390402,0.3675486,0.30094074,0.28272646,0.18523573,0.14258204,-1.0842834,0.15865496,0.11396914,-0.68372902,-0.85756157,0.24745465,-1.0174966,0.0074569338,0.10968995,0.86746614,-0.29903891,0.93394667,0.7911782,1.2727302,0.8235833,0.37335774,0.012676491,0.45299099,9.5363827e-05,-0.72081157,-1.0954984,0.39196084,-1.0536676,0.98522347,0.82606374,1.7344861,-0.46409274,-0.42146936,-0.16751484,0.1337044,-0.68909454,-0.10977625,0.4623788,1.1152206,-2.2416894,0.63970668,0.71244753,1.1150814,0.0047805822,-0.2592237,0.39096013,1.2858712,-1.1236127,0.70138837,0.75110443,1.351503,-0.90121277,-0.75431969,-1.105946,-0.44140026,-1.481944,-0.057952591,-0.12874129,0.088291501,-0.6330414,0.68285814,0.41996659,0.86897736,-0.37154603,0.045525753,0.333505,1.0821235,-1.2872127,1.063888,-3.1275748,0.08386416,-0.11409171,-0.2306843,-0.11256425,-0.11681087,-0.119865,-0.13982493,-0.012943913,-0.15818911,-0.13840345,-0.11991644,0.017113814,-0.19382773,-0.1119649,-0.17259091,0.031898039,-0.15883022,-0.031818209,-0.16556899,-0.0022879543,-0.17023442,-0.089520418,-0.14779846,0.083558016,-0.14129218,-0.058448161,-0.08122679,0.048784846,-0.26587146,-0.18513589,-0.09901988,0.0031236065,-0.27588763,-0.12701571,-0.083807775,-0.034506545,-0.28801328,-0.12960619,-0.11411268,-0.028353237,-0.26484295,-0.15876959,-0.07645274,0.036847924,-0.26820599,-0.074947142,-0.065306998,0.051112698,-0.38569795,-0.081774853,-0.2110146,0.033238247,-0.34921215,-0.056194049,-0.077497253,-0.012183243,-0.2292617,-0.042928704,-0.1172551,0.009692124,-0.34103666,-0.092136292,-0.038792246,0.099878647,-0.33900707,0.24724745,0.25819983,0.24677007,0.2463876
-19710.113,0.7203797,0.0030015255,9,767,0,19755.845,-0.11825756,-0.12578343,-0.15006909,-0.44989937,-0.1760619,-0.039732045,-0.22523954,-0.14328687,-0.11270554,-0.27519512,-0.095435543,-0.24004148,0.28324676,-0.019370001,-0.22081377,-0.12805589,0.10118206,0.14373529,0.19867832,0.5255803,0.26159476,0.094895406,0.13463676,0.25534624,0.10541225,0.22308492,0.13281665,0.21401397,0.41131328,0.27893925,0.24346531,0.17529611,0.98020793,-0.82741713,0.14199878,-0.19542266,0.15831304,-0.24606364,0.5415075,-0.39245466,0.098869745,0.039551569,0.58411026,-0.33817803,0.72714144,0.40397701,0.95437239,0.54725552,0.54163395,-0.0010014483,0.72613507,-0.064717793,-0.49783353,-0.90988343,0.72826985,-1.103133,1.2267121,0.72805338,2.3109548,-0.19750533,-0.13472305,0.17161822,0.64338351,-0.59563159,-0.11500526,-0.14989917,1.004503,-1.9094621,0.93107682,0.63262502,1.2793307,0.12080911,-0.62763901,0.21677888,1.0944413,-1.2291213,0.86320278,0.54765318,1.5233917,-0.55683375,-0.97529683,-1.1450881,-0.68809604,-1.3720372,-0.017312622,-0.10727284,0.20958274,-0.88472426,0.84040355,0.48187544,1.2306614,-0.69964275,0.29524585,0.19364341,1.5827052,-1.1546473,0.29733346,-0.1654448,0.16045268,-0.019078103,-0.20197734,-0.10388983,-0.13803083,-0.10302826,-0.16115146,-0.047949691,-0.18219301,-0.13042581,-0.14221105,-0.034019039,-0.21725773,-0.067728147,-0.23757701,0.051699962,-0.16227265,-0.034373299,-0.17632388,0.013891227,-0.19299174,-0.08697416,-0.1260758,0.029377417,-0.1444143,-0.060078991,-0.12721679,0.085899939,-0.25183102,-0.1776879,-0.099464805,0.02099869,-0.29537916,-0.12482851,-0.12850675,-0.0068186164,-0.31398624,-0.06748592,-0.13406602,0.010204264,-0.24824443,-0.17879645,-0.066643699,0.049924488,-0.25868331,-0.055304028,-0.12283605,0.085985627,-0.35921168,-0.11790577,-0.18774316,0.00022372732,-0.28109035,-0.02419917,-0.049292607,0.039090852,-0.26615433,-0.016204656,-0.10349382,0.078809606,-0.39115251,-0.076300442,-0.094110954,0.14938618,-0.33046107,0.24156405,0.2549644,0.24208533,0.24367817
-19711.959,0.97875391,0.0030015255,10,1023,0,19760.246,-0.020943359,-0.072609347,-0.13430987,-0.32027373,-0.22709011,-0.072472199,-0.13667567,-0.29254502,-0.14626488,-0.36495499,-0.22943911,-0.26800601,0.075942058,-0.098430937,-0.26082945,-0.062303812,0.093521709,0.47182584,0.14428194,0.20341262,0.24479507,0.11310403,0.22554278,0.19853855,0.12248101,0.31610651,0.53761571,0.18485488,0.38249105,0.08907928,0.22787774,0.1421048,-0.39539076,-2.0243697,-0.59402098,-1.1886037,-0.15416581,-0.10423321,0.073331592,-0.23880616,0.17501541,0.016112357,0.90842524,-0.31026625,1.2137243,0.70684155,1.6922179,0.7657848,0.91679347,0.29327643,1.1246771,0.083880545,-0.33164699,-0.37777312,1.4472342,-0.87065101,0.40874248,0.083470263,0.7812777,-0.66528077,0.58220071,0.98948414,1.5086083,-0.097206627,0.51492916,0.63020343,0.62999642,-1.3025822,0.86130997,0.59734498,1.2218213,0.27014552,0.15938786,0.3114296,0.66124343,-0.074255792,1.0534124,1.0639271,1.6931359,-0.52402098,-0.26944694,-0.73200483,-0.11739179,-1.0051152,0.63832288,-0.021203159,1.4063891,-1.3302666,0.92483637,0.59854376,1.2201699,-0.069870499,-0.026965523,-0.20217747,1.2711674,-1.6430675,0.76570928,-1.7077872,0.036781053,-0.057920979,-0.21026588,-0.076497216,-0.13210361,-0.14534876,-0.12178927,-0.038009607,-0.18528426,-0.10905831,-0.13198515,-0.0032405121,-0.17907569,-0.073386875,-0.17649323,0.023944755,-0.16450343,-0.0026635909,-0.15529749,0.0482253,-0.20655657,-0.10998281,-0.11519986,0.091215815,-0.17094633,-0.044486756,-0.11784956,0.039535874,-0.28672495,-0.17695574,-0.096094273,0.0069718964,-0.31184429,-0.083195833,-0.069076924,-0.069102279,-0.30580647,-0.092689295,-0.17613035,0.021270675,-0.27956023,-0.14374969,-0.062009662,0.12605575,-0.26936019,-0.073277587,-0.071333894,0.044978418,-0.36487385,-0.027118985,-0.20404324,0.031040749,-0.30850552,-0.041569594,-0.1003197,0.026849193,-0.21693012,-0.050079832,-0.12443465,0.017220115,-0.27675138,-0.066135742,-0.0910342,0.11833517,-0.29579159,0.23798324,0.25848469,0.2401477,0.24449521
-19706.203,0.99999609,0.0030015255,10,1023,0,19760.966,0.092907519,-0.077674122,-0.16971073,-0.21418164,-0.13001945,0.011378109,-0.12663802,-0.22731374,-0.12061287,-0.28975637,-0.21287468,-0.10878695,-0.078918536,-0.042132301,-0.20030224,-0.18857528,0.32440815,0.1484868,0.14144043,0.17411511,0.16067401,0.1898164,0.10438867,0.30308272,0.085236152,0.28417674,0.187274,0.1294925,0.18943902,0.25470916,0.13552954,0.21456009,-0.58651611,-1.0552808,-0.46081362,-0.61006111,-0.24266443,-0.63027772,0.44534558,-0.69793629,0.47701245,0.43613473,1.1324447,-0.003522419,0.76815119,0.0078471858,1.3418941,0.13295098,0.39373172,-0.1080713,0.82581885,-0.36505342,-0.75074282,-0.74440793,0.36289914,-0.82672015,0.57105065,-0.17843789,1.8253717,-1.3095656,0.21632548,0.37175564,0.81005116,-0.27016145,-0.56093169,0.71282568,0.70268806,-1.879157,0.57367642,0.64773705,1.0505444,-0.011855353,0.017457385,0.71575634,1.2983637,-0.33776032,0.28614858,-0.074683307,1.3612259,-1.9251411,0.22632696,-0.74315596,0.32329021,-1.2178444,-0.04545415,-0.03438812,0.41952317,-0.8107294,1.1948672,0.49034843,1.994188,-0.99160523,0.42420798,0.55504749,1.1453237,-0.56262286,1.0202401,-3.0714499,0.061482548,-0.097363089,-0.24943419,-0.056584174,-0.10500128,-0.11370659,-0.17126205,-0.01154618,-0.18130845,-0.10224189,-0.10802365,-0.0095372659,-0.17020895,-0.080434911,-0.21281532,0.01946239,-0.19103286,-0.066756999,-0.1473837,0.0026681716,-0.18867405,-0.13112519,-0.12992273,0.080262317,-0.14554694,-0.067026807,-0.14526492,0.063910101,-0.26334183,-0.16174923,-0.11464103,0.018198767,-0.30919501,-0.16842453,-0.05985435,-0.060718442,-0.28078498,-0.12673087,-0.10568457,0.0087839207,-0.29312539,-0.20960537,-0.078832126,0.030275087,-0.27612841,-0.071732853,-0.11845787,0.067481587,-0.35807827,-0.03604338,-0.21970127,-0.017674757,-0.30962578,-0.053709889,-0.05089127,0.064724093,-0.24863251,-0.038362436,-0.13384555,0.069969132,-0.33469404,-0.097557175,-0.069484236,0.057165485,-0.30929169,0.24795183,0.25469212,0.24488134,0.24354452
