# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 18:31:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc75baa9bf.json
# init = 2 (Default)
# random
#   seed = 1742600059
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191931-1-902d24.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191931-1-94e750.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00131933
# Diagonal elements of inverse mass matrix:
# 0.00615919, 0.00340517, 0.00186081, 0.00526462, 0.0088871, 0.00689676, 0.00919009, 0.00953106, 0.0145108, 0.0035802, 0.0382779, 0.0183496, 0.0353623, 0.0665708, 0.0111863, 0.148261, 0.646765, 0.416215, 0.179567, 0.32991, 0.243615, 0.475919, 0.29611, 0.200457, 0.222117, 0.125939, 0.371326, 0.198544, 0.365773, 0.691357, 0.182076, 0.863331, 0.360841, 0.491834, 0.214017, 0.184861, 0.214028, 0.153386, 0.164732, 0.333093, 0.283373, 0.119497, 0.199712, 0.235094, 0.361609, 0.172267, 0.138817, 0.352199, 0.637492, 0.518821, 0.15744, 0.287789, 0.256123, 0.185538, 0.145455, 0.257218, 0.292908, 0.116758, 0.238356, 0.243427, 0.301938, 0.178347, 0.119883, 0.363043, 0.404131, 0.701264, 0.271874, 0.301619, 0.31322, 0.425384, 0.318662, 0.298635, 0.326868, 0.165059, 0.452729, 0.278036, 0.486192, 0.248759, 0.231696, 0.592189, 0.307138, 0.535286, 0.253052, 0.313538, 0.262293, 0.205628, 0.334482, 0.547283, 0.570423, 0.229009, 0.273497, 0.466232, 0.387631, 0.442849, 0.291999, 0.789804, 6.98271, 111.743, 1.02735
-19709.855,0.999667,0.0013193328,10,1023,0,19766.536,-0.15889383,-0.20133143,-0.10914494,-0.0084456993,-0.062518334,-0.11206225,-0.13248884,-0.11892179,-0.26947323,-0.19779666,-0.1092236,-0.086763282,-0.29316727,-0.074339835,0.06177119,0.21822645,0.039627398,0.097108581,0.22523133,0.095713668,0.14920994,0.10284065,0.23093403,0.16086666,0.56947969,0.16374741,0.2179766,0.15517215,0.21185663,0.11499855,0.26940177,0.52211354,1.3212801,-1.1714871,1.3322792,0.74197829,0.5891532,0.7070322,1.8029674,0.56756592,0.19090393,-0.20229354,0.5520787,-0.31185275,-0.82795433,-1.8625623,0.45274029,-1.6703078,0.12514122,-0.75670433,0.87530065,-0.85705792,0.10660774,-0.26588579,1.9046573,-0.4015382,0.28194187,0.071423883,0.90486872,-0.50409939,-0.35405689,-0.096635608,0.52188265,-1.2029916,0.29931226,0.34806328,0.3485587,-0.027703331,0.74827152,0.36011781,0.8706272,-0.57505735,-0.60315582,0.11559348,0.81119376,-0.73253327,0.0597822,0.035974299,0.58490449,-1.6615071,1.0754594,0.52696655,1.5896246,-0.027079851,0.16231635,-0.13382768,0.97469629,-1.3761988,-0.48120533,-0.59558537,-0.0024928015,-1.479852,-0.60285739,-0.57312067,-0.20269696,-0.90451401,1.0318841,-2.8864082,0.020003994,-0.10653494,-0.20531682,-0.10609907,-0.12949116,-0.1441196,-0.13267254,-0.026247825,-0.14621591,-0.066147394,-0.15470778,0.015200483,-0.17938395,-0.087692245,-0.18671837,0.034887734,-0.16831699,-0.043846019,-0.17542614,0.068085226,-0.1903999,-0.10109864,-0.13940612,0.083813946,-0.1533567,-0.067378867,-0.11599463,0.076476144,-0.24890254,-0.17587774,-0.13446724,-0.034968269,-0.31244303,-0.099020974,-0.071258256,-0.07097613,-0.28524971,-0.075269132,-0.1388283,-0.055233706,-0.29196081,-0.24069745,-0.084026925,0.067597657,-0.26889871,-0.077486749,-0.081181072,0.0039976051,-0.34458291,-0.065324057,-0.18152591,0.043605241,-0.29890432,-0.05567369,-0.089729824,0.037748825,-0.23260071,-0.067866378,-0.098680564,0.061099625,-0.33690355,-0.096533547,-0.081007607,0.11239563,-0.25403256,0.25554847,0.24476474,0.25911171,0.24527783
-19721.489,0.98160546,0.0013193328,10,1023,0,19771.782,-0.13835003,-0.17505367,-0.1364109,-0.0058414552,-0.088055178,-0.1191668,-0.16244983,-0.047412033,-0.37249583,-0.17411872,-0.080911305,-0.080253328,-0.30622097,-0.052831102,0.061174153,0.12701693,0.023884959,0.080710353,0.17861911,0.11292861,0.12355454,0.12993684,0.20754523,0.21587914,0.58003269,0.15212295,0.24161576,0.18522117,0.18787655,0.1618023,0.24521491,0.38371764,1.6022891,-1.3139067,1.1387748,0.9297126,0.90132186,0.51264929,1.4545602,-0.56261493,-0.14891074,0.025578969,0.65687247,-0.49782872,-0.67539515,-1.9626616,0.082448096,-1.3763994,0.30893807,-0.7692863,0.72468876,-1.008089,0.014344373,-0.26409625,1.752552,-0.15696588,0.42809046,0.13852767,1.0424359,-0.73606816,-0.45713454,-0.44481478,0.4035923,-1.2256775,0.44665085,0.48550236,0.51886067,0.096669697,0.74515534,0.50973534,0.7276679,-0.66622737,-0.31814836,0.070143438,0.58860135,-0.78386396,0.13670592,-0.22422904,0.87175653,-1.5437692,1.2413104,0.47573286,1.5275378,0.23923792,-0.19053529,-0.1737259,1.1340335,-1.1721444,-0.28797184,-0.88422225,0.10102115,-1.6135917,-0.59730628,-0.52035317,-0.017630646,-1.2528138,0.029111249,1.1091527,0.023725959,-0.10007942,-0.16973263,-0.11115044,-0.11614388,-0.10230767,-0.13367757,-0.057655601,-0.22046252,-0.1630092,-0.13184201,-0.019080928,-0.22533262,-0.082112894,-0.22748211,0.003469294,-0.16127633,-0.049884478,-0.18310399,0.0014834071,-0.21260915,-0.11730294,-0.15348263,0.10855427,-0.13956245,-0.073601698,-0.13369908,0.053902768,-0.31521727,-0.14609785,-0.14343827,0.039715127,-0.31201025,-0.11342374,-0.090888591,-0.071539682,-0.31642425,-0.060763493,-0.096576278,-0.063423734,-0.2754672,-0.15778096,-0.063963545,0.061304058,-0.27030519,-0.054932497,-0.12178529,0.081214433,-0.36619206,-0.073007851,-0.21684192,-0.019232445,-0.26127377,-0.083660151,-0.080940353,0.13065813,-0.24248676,-0.0094408373,-0.15565033,0.085946044,-0.3345026,-0.10218003,-0.072651766,0.12025174,-0.35370984,0.25460688,0.23614977,0.25360011,0.2493362
-19715.912,0.99710821,0.0013193328,10,1023,0,19775.514,-0.15042044,-0.17418787,-0.10021716,0.004425255,-0.082318434,-0.08433341,-0.10687835,-0.037834397,-0.43410474,-0.14745311,-0.12125043,-0.027956452,-0.25778769,-0.040287312,0.10067507,0.14863322,0.031317726,0.047735108,0.14518379,0.099116312,0.1082778,0.20278765,0.15373288,0.20982324,0.74404346,0.13726019,0.2395479,0.22422441,0.24763279,0.10870636,0.26380906,0.27382103,2.5209754,-1.55359,0.6369026,0.60326403,0.40107473,0.33580496,1.7921473,0.15709319,-0.31666889,-0.30402598,0.81129564,-0.62596428,-0.47449918,-1.6850147,-0.26550035,-1.865498,0.35425292,-0.84237899,0.59877294,-1.1663044,0.24170868,-0.23727021,0.70846935,-0.42266982,0.28960239,-0.085770502,1.2461589,-1.2278345,-0.65533223,-0.23571746,0.023073628,-1.1186167,0.41696059,0.47516139,0.53812997,0.10439265,0.39136614,0.16981209,0.92951365,-1.0294071,-0.34912827,0.15017097,0.81808019,-0.60563789,-0.092365945,-0.1899997,0.38908793,-1.457676,0.67510535,0.27887113,0.83219487,-0.12640806,0.30775936,-0.14996876,0.78486343,-2.0712144,-0.69098909,-0.69430887,-0.085809026,-1.5899545,-0.96146355,-0.87025326,-0.17249193,-1.809891,1.6514517,-5.320833,0.033763948,-0.071469217,-0.19907534,-0.13047409,-0.13152758,-0.15504253,-0.15815819,-0.088639529,-0.16668901,-0.14619235,-0.14435681,0.017569814,-0.19109703,-0.042605354,-0.16258719,-0.021890161,-0.18047602,-0.043960705,-0.17352938,-0.017484614,-0.20860332,-0.035317874,-0.13244888,0.059335426,-0.17004563,-0.062356938,-0.12006409,0.084697259,-0.29563688,-0.17533833,-0.087293397,-0.032993014,-0.27254618,-0.12386794,-0.080564014,-0.03371265,-0.35643207,-0.093734121,-0.12414467,-0.019867889,-0.28874973,-0.20488338,-0.085277292,0.074718961,-0.26632972,-0.048667152,-0.070559022,0.059286559,-0.35480298,-0.09060947,-0.18873005,-0.051708954,-0.28909047,-0.0068319123,-0.056589869,0.045032333,-0.26544149,-0.081614114,-0.082489902,0.078037872,-0.31876933,-0.11463572,-0.089660428,0.1014013,-0.346953,0.25823003,0.25004967,0.25528773,0.24542686
-19712.11,0.99947757,0.0013193328,10,1023,0,19765.972,-0.14727916,-0.16444188,-0.085450078,0.012669625,-0.086307627,-0.12383511,-0.15327085,-0.046208608,-0.51631582,-0.16612743,-0.12521362,-0.09252464,-0.31489423,-0.043222282,0.10529623,0.14295288,0.037694355,0.057878478,0.1277743,0.092673002,0.10397354,0.18807848,0.14110033,0.21123589,0.96920062,0.12746943,0.21859543,0.24767932,0.34925649,0.099226939,0.256175,0.30016901,2.6131681,-0.92146709,0.88845756,0.3193901,0.26074466,-0.17064586,2.6965985,0.075990204,-0.23449686,-0.44906408,0.66816201,-0.94421491,-0.73124332,-2.197636,-0.063103272,-2.2002088,0.50361475,-1.0048547,1.1357075,-0.95559676,0.096092723,-0.34884804,0.908814,-0.14035945,0.31989938,0.11661761,1.5679088,-0.86037636,-0.37536266,-0.35410916,0.42049775,-1.1111412,0.42399073,0.44610685,0.52576481,0.25680729,0.70507732,0.22780847,1.3016983,-0.76905665,-0.21201693,0.23092468,0.62935674,-0.71213761,0.13174546,0.00017654186,0.79679101,-1.1069486,0.75428004,0.27495242,1.0630653,0.066022731,-0.15015226,-0.46243661,0.99038665,-1.5896727,-0.37505936,-0.94443765,-0.033184198,-1.6713706,-0.69325376,-0.6233358,-0.11834254,-1.4106929,1.0831637,-3.0675213,0.028971054,-0.048777475,-0.18201327,-0.11378933,-0.13523996,-0.14935038,-0.17431861,-0.0083668672,-0.16004369,-0.11541275,-0.14282893,-7.6147433e-05,-0.20609647,-0.055096889,-0.1909919,0.0068216551,-0.19123033,-0.033945017,-0.19078593,0.03177591,-0.18566441,-0.10576213,-0.18944592,0.047093248,-0.1502337,-0.10813295,-0.13681607,0.067961585,-0.27467024,-0.12549867,-0.12100917,0.042615607,-0.28092151,-0.10538375,-0.08394879,-0.0067442393,-0.26741804,-0.076251623,-0.13708881,-0.0002006862,-0.26415865,-0.17155955,-0.07473454,0.012360889,-0.28088365,-0.059894014,-0.092480914,0.10482401,-0.36669292,-0.051457032,-0.21886531,0.056388226,-0.29183536,-0.058121432,-0.089108452,0.055050753,-0.20096064,0.009215395,-0.13664509,0.096795265,-0.32286715,-0.06514042,-0.044153213,0.10743011,-0.28049343,0.25859918,0.24830043,0.25559769,0.24206545
-19704.282,0.99996424,0.0013193328,10,1023,0,19752.555,-0.15947288,-0.1265283,-0.10515195,-0.075468208,-0.10534744,-0.098805873,-0.12762685,-0.16570744,-0.34263277,-0.21499703,-0.24409357,-0.22864713,-0.43130433,-0.026201363,0.065536439,0.13332271,0.057980412,0.077684044,0.12294199,0.066969568,0.12346702,0.099791566,0.18354905,0.18791468,0.73002176,0.15941079,0.42998538,0.31471866,0.46558149,0.148088,0.1722248,0.43481529,1.704507,-1.3126702,0.92117161,0.9002315,0.2639565,-0.09070633,1.0793969,-0.59428638,-0.46600982,-0.25861751,0.786411,-0.93969426,-0.62782621,-1.6763127,1.1498403,-1.3210297,0.52760773,-0.59657941,0.98291557,-0.75489406,0.21940955,-0.16640315,1.4633372,-0.53377179,0.48882518,0.13362626,1.0746693,-0.8856169,-0.11298395,0.29886066,0.8234976,-0.78018291,0.27709235,0.35517115,0.36289116,0.013639107,0.76299169,0.69121524,1.7106929,-0.59243515,0.1390619,0.37471693,0.63044442,-0.12772193,0.48090494,0.3581378,0.97157293,-0.29751234,0.81634747,0.5365685,1.0085879,0.25709611,0.13162251,-0.21858456,0.5277432,-1.6722108,-0.71137202,-0.86967997,0.23286361,-2.3798342,-0.44254005,-0.38319734,-0.028634166,-1.0372201,1.679055,-5.5046787,0.042633667,-0.060644865,-0.23558204,-0.10606297,-0.10727709,-0.10602309,-0.13357473,-0.04267638,-0.17269487,-0.16244412,-0.1369469,-0.008469017,-0.22067983,-0.11751346,-0.18773014,0.0015360969,-0.163937,-0.040205286,-0.17900532,0.016010215,-0.19855196,-0.076910651,-0.1154115,0.047222836,-0.1520718,-0.037903448,-0.10309987,0.069627681,-0.29018099,-0.18693878,-0.10954713,-0.010960151,-0.31231526,-0.14034933,-0.083350102,-0.077714327,-0.33267593,-0.093367925,-0.10480986,0.057705871,-0.30943758,-0.18429899,-0.082970772,0.026988308,-0.29901214,-0.077297369,-0.11593448,0.077125006,-0.32227982,-0.051228052,-0.18148796,0.038275531,-0.31160514,-0.0067096491,-0.058571113,0.051951071,-0.27383571,-0.056979462,-0.084244017,0.10564133,-0.34433001,-0.059100467,-0.03329735,0.12087214,-0.31767644,0.24321954,0.24486269,0.25631268,0.24621372
-19717.113,0.99994332,0.0013193328,10,1023,0,19768.564,-0.14144357,-0.15462945,-0.094487761,-0.089465417,-0.089502364,-0.092018139,-0.14775042,-0.13132262,-0.36230025,-0.24226274,-0.23814445,-0.27345972,-0.37391216,-0.045472058,0.046093871,-0.031984616,0.043812984,0.04330169,0.12930413,0.04811149,0.14262189,0.11817384,0.21512513,0.23778596,0.71240635,0.16947013,0.25679734,0.2356655,0.38128262,0.10906967,0.15920885,0.51475329,1.0734854,-1.9392939,0.9194702,0.98254201,0.59180429,-0.29703154,1.3522677,-0.52413342,-0.0038296415,-0.40581488,0.70272142,-0.63720017,-0.51555139,-1.7371098,1.6380487,-1.5455386,0.26106487,-0.96747726,0.79858891,-0.63503033,-0.23912274,-0.18770761,1.6382922,-0.37509373,0.2043146,0.16131955,1.1259194,-0.57721495,-0.047932475,-0.082143452,0.52004016,-0.76120939,0.39374025,0.38676711,0.47019521,0.099487509,0.78514652,0.80081382,1.5934463,-0.029721371,0.18075196,0.65235165,1.1641819,-0.054414228,0.86116294,0.89795828,1.2256115,-0.32820906,0.83811272,0.53055074,1.0295468,0.11776139,-0.17456157,-0.20405393,0.54807649,-1.561008,-0.41867397,-1.173069,-0.080585489,-2.2915119,-0.051131642,-0.080572352,0.36388341,-0.55474335,0.15368563,0.62993163,0.036597727,-0.094410974,-0.22640983,-0.10115884,-0.098395477,-0.12900332,-0.16749142,-0.09607397,-0.17732531,-0.09498295,-0.1469613,-0.0036229778,-0.17688038,-0.11426936,-0.17304036,-0.010656455,-0.16382358,-0.052268798,-0.2274858,0.0243939,-0.18007159,-0.12027619,-0.11420027,0.10158515,-0.13634441,-0.10379722,-0.11304653,0.094463144,-0.27192386,-0.14272029,-0.15085518,-0.007664375,-0.31232753,-0.081797199,-0.086764908,-0.027330198,-0.29142472,-0.10920385,-0.10654871,0.027778823,-0.24729962,-0.19172783,-0.070622289,0.060814362,-0.25211788,-0.070513325,-0.061841931,0.015374627,-0.35080727,-0.054354344,-0.17162238,0.018636159,-0.32901179,-0.064511431,-0.067728152,0.014306465,-0.21573069,-0.020562728,-0.14066908,0.033263948,-0.31873509,-0.058304797,-0.0734595,0.15532557,-0.31754058,0.25003487,0.24911566,0.25313994,0.24497404
