# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 18:31:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc75baa9bf.json
# init = 2 (Default)
# random
#   seed = 1742600059
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191931-4-902d24.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191931-4-94e750.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00180587
# Diagonal elements of inverse mass matrix:
# 0.00891046, 0.00716435, 0.00924828, 0.0173238, 0.0130219, 0.0126491, 0.0184289, 0.0175774, 0.0355894, 0.0190615, 0.0281985, 0.0423012, 0.0271458, 0.00861627, 0.0303541, 0.0419651, 0.696016, 0.419798, 0.355131, 0.484802, 0.271813, 0.417824, 0.343863, 0.275713, 0.365975, 0.331704, 0.382901, 0.32999, 0.283533, 0.255644, 0.289734, 0.32591, 0.442905, 0.224917, 0.231638, 0.272088, 0.299024, 0.20713, 0.27255, 0.266036, 0.302332, 0.352109, 0.230781, 0.252354, 0.252735, 0.244187, 0.244103, 0.242962, 0.466513, 0.262404, 0.206824, 0.32876, 0.360478, 0.237742, 0.262993, 0.261372, 0.313439, 0.348594, 0.239035, 0.240944, 0.261781, 0.239659, 0.237636, 0.245029, 0.310893, 0.426627, 0.421954, 0.563805, 0.366504, 0.499035, 0.432311, 0.421418, 0.338583, 0.501235, 0.427293, 0.393661, 0.350125, 0.332121, 0.35168, 0.393237, 0.275869, 0.278929, 0.345429, 0.361711, 0.367239, 0.260599, 0.489153, 0.434886, 0.539326, 0.485242, 0.339847, 0.489472, 0.397514, 0.512845, 0.465163, 0.478396, 2.3552, 37.191, 3.15719
-19705.312,0.99942013,0.0018058653,10,1023,0,19772.447,-0.17192659,-0.20083061,-0.16646208,-0.14348841,-0.075443204,-0.238401,-0.0412606,-0.066730653,-0.15420143,-0.10394404,-0.18978752,-0.4825942,-0.088666719,-0.067376969,-0.050332824,-0.21798386,0.063814526,0.13353957,0.1013231,0.21295373,0.18505685,0.16648197,0.12219036,0.36046775,0.13081042,0.15805587,0.14037483,0.44082464,0.11159036,0.11351459,0.41957709,0.25093508,1.3906522,-1.1662863,-0.21798481,0.75182276,0.54594552,0.18196457,1.0654685,0.33014086,0.29876428,0.79398915,1.9564368,-0.12516554,0.22314139,-0.27535006,0.6829267,-0.27615755,0.29409999,-0.77858531,0.9745102,-0.65438074,0.64796668,0.55644799,1.8829522,0.44438777,-0.086916218,-0.69107262,0.69411206,-2.3159691,-0.2587163,-0.22266891,0.19483918,-0.62740765,0.36073651,0.39600428,0.64760666,-1.0456894,0.035747148,-0.055748039,0.9217939,-1.046587,0.11216874,0.79245247,1.6480537,-0.5754928,0.98826644,0.91340564,1.249712,0.2764398,0.064910966,-0.95644142,1.0374508,-1.6003942,0.11129275,-0.15448032,0.9583344,-1.4510979,0.054294146,-0.11566202,0.28321826,-0.74209576,0.61425269,0.6449981,1.2859855,-0.29978511,1.0996233,-3.1642903,0.0074923149,-0.083182774,-0.2463526,-0.18583719,-0.12394938,-0.12792528,-0.17653114,-0.058548412,-0.15674375,-0.13619035,-0.086012633,0.031770173,-0.17914424,-0.095969621,-0.20212524,0.0019433773,-0.2022972,-0.021017984,-0.21952575,0.10489659,-0.19654084,-0.13052623,-0.14576244,0.075076593,-0.16441845,-0.051880924,-0.12570301,0.043553201,-0.3242497,-0.15998953,-0.14699561,0.0035025869,-0.29289088,-0.10701334,-0.10239995,-0.069487734,-0.29098851,-0.098293991,-0.11275534,0.041750896,-0.26936325,-0.17404185,-0.078547134,0.041557744,-0.27057222,-0.046942006,-0.079942492,0.068309635,-0.36073273,-0.081423281,-0.19539636,0.027102784,-0.26725528,-0.054743618,-0.084912738,0.041407965,-0.23209775,-0.027552244,-0.098861958,0.06849907,-0.36169921,-0.063846311,-0.056131207,0.10471501,-0.29321046,0.25332796,0.24748541,0.2600123,0.23999745
-19702.704,0.89211077,0.0018058653,7,232,1,19750.872,-0.17038221,-0.20072018,-0.17684653,-0.14049461,-0.083235015,-0.23260985,-0.031501058,-0.054257057,-0.16657685,-0.10242265,-0.17960099,-0.49663245,-0.097990566,-0.077702785,-0.040389447,-0.24201,0.060363338,0.13710511,0.10070104,0.20643127,0.17421928,0.16558525,0.11579075,0.35412197,0.14281733,0.16119057,0.14192923,0.43633425,0.1196311,0.11269535,0.4264148,0.22614032,1.4020015,-1.2136218,-0.13161468,0.75868234,0.60214109,0.3197262,1.1673801,0.24827432,0.29408014,0.85965105,1.9999272,-0.039408624,0.22939777,-0.27685642,0.76395283,-0.22356101,0.23443256,-0.65646025,0.86950199,-0.65652765,0.61352428,0.58356744,1.9535009,0.42041944,-0.071997798,-0.65019898,0.77129001,-2.287087,-0.24168289,-0.23894463,0.28302805,-0.66735091,0.40970595,0.43160898,0.63518749,-1.1591548,0.031095177,-0.059503373,0.92628392,-0.95793513,0.12101754,0.81883373,1.6474356,-0.56522651,0.97795387,0.93953632,1.2908345,0.27879937,0.010288928,-0.95298675,1.0965747,-1.5912394,0.07584729,-0.14729261,0.91067916,-1.4257856,0.039161912,-0.12689052,0.31890131,-0.73642484,0.64713793,0.68289401,1.2975034,-0.38088597,1.1012184,-3.1758503,0.0089377211,-0.085752722,-0.24364047,-0.17832691,-0.12458561,-0.11816356,-0.15688408,-0.040666397,-0.1666805,-0.14723235,-0.090278772,0.024548225,-0.18081502,-0.093139737,-0.19764643,0.017209142,-0.18664459,-0.042392342,-0.19760305,0.068248997,-0.19761479,-0.13101928,-0.13597969,0.090861079,-0.16299459,-0.039837737,-0.10678809,0.057807189,-0.29632458,-0.13984228,-0.1388726,0.045969395,-0.29058068,-0.10806374,-0.10493561,-0.075861069,-0.33212424,-0.097410405,-0.11201404,0.046885577,-0.25683276,-0.16242506,-0.063384544,0.054218285,-0.25982315,-0.069917682,-0.086680575,0.066602836,-0.37498273,-0.09675969,-0.21199742,0.033193873,-0.28835228,-0.069155148,-0.094301977,0.02492652,-0.23838219,-0.023690229,-0.094497442,0.09559479,-0.3544119,-0.095666021,-0.08758013,0.051407845,-0.32814368,0.25345138,0.24628965,0.26024092,0.24342025
-19714.279,0.80322744,0.0018058653,10,1023,0,19754.77,-0.13282245,-0.2100795,-0.15629382,0.033464634,-0.093459871,-0.22103859,-0.047764761,-0.12192606,-0.14344562,-0.15596694,-0.28553928,-0.12442773,-0.050094198,-0.060660824,-0.082907882,-0.30314241,0.021473873,0.10190932,0.066609716,0.40591934,0.22769778,0.2683735,0.15131472,0.22671601,0.13056773,0.12522619,0.1809822,0.25992698,0.14308102,0.1027366,0.36770938,0.18155582,1.4211346,-2.9207555,-0.44463752,0.25740767,0.86270605,0.53184138,1.6625396,0.49577981,0.22129033,0.39561275,2.0267529,-1.1235005,-0.2376024,-0.52594003,-0.031970436,-0.46731957,0.13039317,-0.43314871,0.57715943,-0.34496147,0.34480925,0.29605506,1.1739727,0.28439672,-0.37142422,-0.40862492,0.73333445,-1.5420063,-0.18918792,0.067299,0.33682673,-0.72744414,0.1945601,0.36824256,1.0647121,-1.2411362,0.39335354,0.34012127,1.3410821,-1.5062347,0.50875068,1.1960038,2.079659,0.12649737,0.15912149,0.13666613,0.70412056,-0.84528417,-0.054751927,-1.0068892,0.058605573,-1.8531844,0.02549918,-0.50088467,0.75840171,-1.6803732,0.06383522,-0.1060179,0.32455616,-0.67860376,1.1736799,1.1687148,2.0147618,-0.23665134,1.366859,-4.2565854,0.049223921,-0.10230519,-0.19554238,-0.14237054,-0.12729491,-0.12216171,-0.1558799,-0.040651213,-0.15955491,-0.14155373,-0.12994217,-0.021292385,-0.23112987,-0.062982774,-0.18002459,0.020487216,-0.15622942,-0.063769637,-0.19208687,0.037958049,-0.17200683,-0.12850093,-0.14158526,0.094024568,-0.14471405,-0.10396671,-0.10959572,0.063199534,-0.28109301,-0.16481799,-0.1066683,-0.045562045,-0.2868493,-0.11804235,-0.095365019,-0.0044285719,-0.30549796,-0.10670878,-0.11337485,0.011971668,-0.34458697,-0.19346446,-0.069083886,0.090841984,-0.26264551,-0.083067761,-0.088904516,0.058592199,-0.34413989,-0.057928159,-0.19416093,-0.041708852,-0.31524971,-0.058041126,-0.11212001,0.017254785,-0.23329665,-0.059435073,-0.12189166,0.036434459,-0.33243685,-0.090053993,-0.090955433,0.06264933,-0.34610784,0.26037864,0.24702165,0.25861754,0.24767071
-19703.144,0.97168471,0.0018058653,10,1023,0,19754.68,-0.13652893,-0.19924331,-0.13591126,0.060740219,-0.053316903,-0.22744383,-0.030594371,-0.12793184,-0.16031702,-0.15711054,-0.22311738,-0.094074357,0.03235464,-0.056647543,-0.15844978,-0.21605598,0.047395945,0.12085895,0.059125677,0.20822758,0.17246259,0.26661774,0.17980451,0.34681104,0.1802387,0.24240089,0.14108387,0.20615076,0.19312806,0.12915877,0.43867064,0.16946123,2.2445527,-2.7357343,0.24951795,0.13881925,0.66417177,0.40928688,1.3228056,0.23360444,0.33105798,0.27943954,1.8369479,-1.0494374,-0.63706346,-1.2533719,-0.0954843,-1.2938639,-0.15247801,-0.76889155,0.42807112,-0.73612811,0.5745524,0.23703829,1.269602,0.22436872,-0.19173262,-0.5465158,0.5222547,-1.3349943,-0.044519164,0.11619409,0.28343421,-0.51207615,0.23617651,0.43483814,0.45450911,-0.82741104,0.21448297,0.14303711,0.6902064,-0.74352386,0.2706287,1.0183447,1.7569049,-0.5526134,0.14151637,0.074262805,0.79649791,-1.3583553,-0.48108055,-1.2419299,0.1916296,-1.5238832,0.11983975,-0.12670037,0.80746547,-1.1377611,0.13139988,0.077797225,0.54797022,-0.37430944,0.5994712,0.77557924,1.723953,-0.6236033,1.2632422,-3.8325212,0.0058022572,-0.030146229,-0.26619164,-0.12470279,-0.12994946,-0.11897221,-0.14977733,-0.039370415,-0.17101012,-0.11633723,-0.11938921,-0.027300471,-0.19795996,-0.071913962,-0.20024638,0.040857755,-0.20867792,-0.079613655,-0.18592193,0.02050935,-0.18027146,-0.074257973,-0.16424522,0.11105459,-0.16762315,-0.06506876,-0.12886038,0.063309381,-0.27063237,-0.14337158,-0.087634447,-0.029633725,-0.3055255,-0.11774887,-0.081942356,-0.078396887,-0.3094485,-0.10511968,-0.12243822,0.010196106,-0.33734138,-0.18493603,-0.079445365,0.024753564,-0.30108221,-0.06490065,-0.078765024,0.070124291,-0.37410034,-0.060555512,-0.20749687,0.069363693,-0.26194996,-0.041169187,-0.073012007,0.047643707,-0.20359938,-0.10080851,-0.12432242,0.081928669,-0.32264834,-0.11446885,-0.08462537,0.076087204,-0.32173256,0.25035407,0.24847168,0.26021042,0.24025722
-19697.058,0.65049911,0.0018058653,10,1023,0,19739.893,-0.14848354,-0.2663306,-0.11132117,-0.076368253,-0.13226554,-0.26400805,-0.067650519,-0.28998676,0.024088813,-0.13567266,-0.14692705,-0.10773598,0.056630806,-0.0026439961,-0.11409339,-0.23679522,0.087605757,0.64543092,0.095940162,0.087513515,0.22105703,0.19461715,0.15017349,0.2875146,0.19864166,0.17803235,0.096821743,0.25196763,0.18388953,0.21482924,0.28441295,0.26542101,0.78430031,-1.3430162,0.68820154,0.3885776,0.25530079,0.13668581,0.25447747,0.12846319,-0.37957464,-0.26060533,1.1274449,-0.65643567,0.062029584,-1.1528277,0.98803489,-0.95600943,0.43472055,-0.23744741,0.76024782,-0.34022754,1.0004323,0.6531392,1.62565,0.62097723,0.011782778,-0.50705541,0.87043091,-1.3962262,0.29777791,0.66515269,0.87720269,-0.043627113,-0.64933296,-0.53635405,-0.50625712,-1.6124597,0.35767127,0.2093735,1.1349368,-0.82112252,-0.53773887,0.6304923,2.1000078,-1.1227686,0.15258543,0.029549014,0.67730577,-0.90441501,-0.67051306,-1.4579043,0.034792303,-1.7433309,-0.17595146,-0.37121723,0.28835331,-1.0772176,0.27936461,-0.16480474,0.57895645,-0.89799511,0.48645871,0.54890442,1.2750072,-0.34932637,1.7817913,-5.8529425,0.01627193,-0.079774313,-0.26613949,-0.088193118,-0.1144419,-0.10155157,-0.17810935,-0.10208297,-0.18341648,-0.14773762,-0.13632369,-0.0031539245,-0.17429972,-0.070939826,-0.17725625,0.010098154,-0.160032,-0.036167506,-0.18475496,0.035792585,-0.20747523,-0.06930676,-0.13689596,0.052371322,-0.14315523,-0.065881058,-0.1437968,0.063065131,-0.27732668,-0.20437127,-0.098745654,-0.037778183,-0.3025302,-0.10489576,-0.082453445,-0.076474942,-0.29621286,-0.071995601,-0.098397401,0.066382803,-0.28185903,-0.19899186,-0.085881684,0.056399373,-0.25563546,-0.069289396,-0.10029059,0.062923144,-0.33561929,-0.066669525,-0.21146253,0.063028747,-0.2639495,-0.040443513,-0.08239231,0.059302725,-0.23406184,-0.034638483,-0.160966,0.050569317,-0.36949483,-0.10767886,-0.091104454,0.10161848,-0.32951378,0.25235378,0.25282625,0.26018314,0.24749093
-19714.67,0.99994583,0.0018058653,10,1023,0,19756.957,-0.13377977,-0.21172583,-0.09330068,-0.10604471,-0.17178095,-0.15327424,-0.068035825,-0.26469155,0.0027113986,-0.15382498,-0.17520866,-0.18467699,0.086693291,0.019391323,-0.25160545,-0.11501829,0.022715668,0.62784213,0.08218054,0.07233565,0.16187875,0.078318212,0.14400702,0.2881794,0.17044735,0.17428953,0.10675242,0.28100897,0.24502493,0.22166665,0.29280948,0.15623133,0.91230968,-1.0783039,0.51562512,0.47624367,0.21028508,0.11885153,0.33262714,0.069893626,-0.55477597,-0.29796048,1.1567371,-1.3724907,-0.129154,-0.58969726,1.8143884,-0.86633299,0.86069581,-0.24031909,1.02304,-0.27874467,0.69452484,0.26391131,2.4879546,0.2428347,-0.14303089,-0.17706872,0.85942892,-1.641626,0.23099238,0.47301189,0.75847794,-0.20876685,-0.96967862,-0.47136588,-0.14343954,-1.6952909,0.48460952,0.16322275,1.2157193,-0.67884629,0.48511508,0.79915353,1.8266749,-0.99420323,0.43991261,0.32156746,0.98723071,-0.54064849,-0.71876328,-1.203197,-0.23333867,-1.5499618,-0.29503564,-0.53898474,0.18249362,-1.1083588,0.76413561,0.31831091,1.0996869,-0.18932271,0.12873454,0.19149641,1.4052059,-1.4256791,0.43382016,-0.54620406,0.029862445,-0.11305605,-0.15827417,-0.122067,-0.12296158,-0.079699996,-0.13710584,-0.0028884961,-0.16784367,-0.13889247,-0.11778723,0.0017606012,-0.20609271,-0.11538715,-0.14870084,0.025200259,-0.16871147,-0.032452584,-0.2106835,-0.0061725145,-0.21690379,-0.098880296,-0.13260518,0.041577914,-0.13425586,-0.088633277,-0.093534964,0.05572797,-0.30444149,-0.1981243,-0.12837927,-0.046113829,-0.32485385,-0.16256776,-0.077631668,-0.021737491,-0.28624645,-0.069362616,-0.12537697,0.058062158,-0.27214078,-0.12342145,-0.089897087,0.019793304,-0.28134226,-0.061057606,-0.094313654,0.092743691,-0.33660407,-0.089421634,-0.20811998,0.029519498,-0.29308599,-0.046008236,-0.10008362,0.059844073,-0.22629485,-0.027859299,-0.158401,0.070393296,-0.30704093,-0.094905924,-0.085100553,0.10451889,-0.33775403,0.24659032,0.2488577,0.25961363,0.24493374
