# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 18:48:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc277bf429.json
# init = 2 (Default)
# random
#   seed = 1962328366
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191948-1-724a93.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191948-1-486b9c.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00242699
# Diagonal elements of inverse mass matrix:
# 0.00914147, 0.00459161, 0.00664251, 0.0143701, 0.00958379, 0.0144642, 0.0278417, 0.0612582, 0.025981, 0.0650875, 0.0328564, 0.0468793, 0.0173485, 0.0167645, 0.0329015, 0.0979553, 0.434754, 0.448397, 0.366256, 0.340101, 0.276661, 0.393428, 0.343066, 0.429583, 0.396229, 0.470308, 0.366509, 0.36595, 0.311739, 0.334237, 0.323912, 0.494302, 0.458823, 0.3074, 0.301409, 0.282068, 0.324926, 0.254682, 0.269745, 0.318253, 0.247505, 0.287121, 0.288584, 0.262293, 0.286427, 0.257921, 0.249605, 0.273909, 0.461351, 0.352156, 0.286299, 0.294191, 0.327815, 0.284514, 0.256456, 0.343292, 0.279696, 0.275883, 0.277814, 0.249026, 0.298688, 0.241725, 0.24332, 0.276002, 0.402593, 0.530211, 0.512143, 0.482754, 0.428264, 0.577306, 0.471813, 0.540949, 0.373509, 0.438857, 0.494149, 0.409533, 0.408204, 0.350146, 0.366284, 0.430721, 0.324547, 0.390379, 0.391252, 0.297284, 0.344064, 0.317336, 0.486916, 0.510017, 0.4637, 0.555285, 0.408077, 0.495288, 0.48883, 0.506407, 0.487925, 0.54188, 2.68291, 39.8405, 1.12368
-19689.43,0.84912943,0.0024269906,10,1023,0,19728.327,-0.15719773,-0.1571146,-0.082566525,-0.10658836,-0.064725063,-0.082888269,-0.53393693,-0.063168678,-0.084867539,-0.21963924,-0.24469218,-0.065230555,-0.21307538,-0.043711728,-0.36006353,-0.87637559,0.12327602,0.11694914,0.10329914,0.058877703,0.069516416,0.38063515,0.33499157,0.18673755,0.30598673,0.10481578,0.33468037,0.2953016,0.23070803,0.14568391,0.50983714,3.0063515,0.5693788,-0.2545454,0.44118227,0.28296223,0.23529732,-0.38880096,1.0329308,-0.25545371,-0.24486827,-0.36057724,0.63796234,-1.4779166,0.6015845,-1.1797491,2.1329588,-1.0022438,0.21522559,-1.3413371,1.1860718,-1.3913669,0.016049911,-0.1218019,0.4592924,-0.26585764,1.3726603,1.2913645,1.6990732,0.82163424,-0.60130518,-0.23404892,0.32842863,-1.2121001,-0.20047195,-0.026928027,0.03349783,-0.76980408,1.2533964,0.77280793,2.1803233,-0.61808019,0.28579594,0.52971186,0.84506809,-0.08541041,0.039524375,-0.048287607,0.44053674,-0.97790439,0.67104716,0.01609783,0.99629079,-0.42239552,0.095039558,-0.3190586,0.36526066,-1.1974161,0.63671437,0.48392952,0.878947,0.085885189,0.25818937,0.26224891,0.32418109,0.19851342,0.96388455,-2.561813,0.011250869,-0.087006978,-0.18857707,-0.10281054,-0.12231527,-0.12959678,-0.20258453,-0.03631423,-0.18698969,-0.10786121,-0.11981384,-0.016665564,-0.23523403,-0.071168447,-0.17604928,0.018995354,-0.16559817,-0.049763351,-0.15797001,0.017726396,-0.16144791,-0.076779109,-0.12925035,0.091934563,-0.18408303,-0.0741073,-0.10134071,0.035238254,-0.25869639,-0.17545494,-0.1068744,-0.0018387187,-0.28951328,-0.14620929,-0.093107158,-0.074617647,-0.32041737,-0.088263517,-0.13863677,0.0088930443,-0.28442379,-0.14904189,-0.067408017,0.038135525,-0.27327737,-0.053558944,-0.079489963,0.06486065,-0.35400729,-0.058259413,-0.20936148,0.016776904,-0.31052542,-0.029865994,-0.090193434,0.009500874,-0.21815599,-0.035442894,-0.11333829,0.088056295,-0.31627607,-0.10016759,-0.087963178,0.09822671,-0.27957448,0.25354946,0.26137174,0.27530491,0.24512991
-19689.75,0.99959822,0.0024269906,10,1023,0,19728.338,-0.17477811,-0.086988576,-0.13367214,-0.10452811,-0.053996618,-0.1587467,-0.65620412,-0.065080817,0.0065759339,-0.18517495,-0.33855456,-0.10017843,-0.19371261,-0.09015063,-0.2798262,-0.54700532,0.11397576,0.15897519,0.049249667,0.08832585,0.11095074,0.33293939,0.43849169,0.15339738,0.30485558,0.097862563,0.37144378,0.33315634,0.27709212,0.17109463,0.6214036,3.4111626,0.90793892,-0.62631279,0.60764686,0.39940093,-0.35525054,-0.2398449,0.33687089,-0.7116542,0.34643554,-0.30601795,1.6400114,-1.2871732,0.58675521,-0.94576108,1.7315873,-0.60980891,0.19764263,-1.5699404,0.72701549,-1.363182,0.26861572,0.0021795986,0.62873981,-0.00076054874,1.2927924,1.2162376,1.620195,0.93466876,-0.66266685,-0.3548311,0.55292876,-1.565809,-0.40655682,-0.36952448,-0.18504738,-1.0622014,0.93946917,0.93338956,2.1539131,-0.81791154,0.36677585,0.71498742,1.1562881,0.21100544,0.077675649,0.032199932,0.49048811,-0.7809571,0.42390595,-0.086711495,0.71562223,-0.30850771,0.093407786,0.036105149,0.72207564,-0.84934204,0.40651018,0.28687443,0.54025963,-0.091114557,0.1379706,0.13134848,0.18058554,0.068667688,0.98165653,-2.6573107,0.017657441,-0.071295083,-0.24616259,-0.1055211,-0.12925609,-0.1434646,-0.12511797,-0.033434462,-0.20012394,-0.11661031,-0.14874342,-0.052902126,-0.19706499,-0.052702453,-0.18806326,0.048415813,-0.15839,-0.032068021,-0.22818267,0.026666291,-0.20524267,-0.069313947,-0.15802103,0.050585546,-0.15899992,-0.089325385,-0.12289403,0.054237943,-0.24635963,-0.16673218,-0.11951098,0.019737008,-0.30527182,-0.11736518,-0.10607567,-0.049836791,-0.3172421,-0.093236087,-0.093831053,0.02561251,-0.26521787,-0.20231795,-0.072976923,0.09094148,-0.2601779,-0.074300299,-0.089450823,0.063230791,-0.36035925,-0.076251613,-0.21773968,0.0045806701,-0.27919767,-0.07416906,-0.083973233,0.03339263,-0.23546849,-0.027219317,-0.1015614,0.055893072,-0.33644512,-0.076365167,-0.098954295,0.069001318,-0.31276867,0.25359452,0.25513548,0.26506121,0.25059448
-19689.959,0.99099238,0.0024269906,10,1023,0,19736.72,-0.15859731,-0.17634653,-0.13111709,-0.1286947,-0.028981559,-0.16679928,-0.71159112,-0.12327852,0.15116161,-0.20987899,-0.26742014,-0.056990702,-0.16017705,-0.020254209,-0.3004955,-0.79563908,0.12677407,0.20746689,0.10592335,0.068191575,0.092678067,0.31713948,0.54856998,0.22823381,0.46566834,0.14292021,0.36433184,0.20399145,0.27244515,0.10711018,0.5334332,1.1852062,0.75252292,-0.3121954,0.32148587,0.26655081,0.2715409,-0.0030005518,0.83808706,0.071604029,0.53719637,-0.18850267,1.0238188,-0.66142143,0.56659261,-1.4558978,1.630918,-0.29228148,0.14824904,-1.2551201,0.27421109,-1.6592489,0.18102757,0.17282525,0.83807156,0.031577071,1.1811162,1.0865623,1.4396746,0.68728303,-0.20766262,0.018160394,0.51971956,-0.73199263,-0.55269645,-0.52384744,-0.41478503,-0.99729584,1.0036171,0.47572285,1.6677166,-0.53793493,0.24473788,0.57777197,0.92683984,0.0327833,-0.022886964,-0.098782795,0.59111731,-1.4104093,0.38395068,-0.21904854,0.69139076,-0.53743717,-0.25300731,-0.81744147,0.36396977,-1.9619141,0.48039449,0.30552822,0.74847933,-0.060500439,0.59560675,0.59949578,0.76589297,0.4255061,0.4013487,-0.37153462,0.034449791,-0.063196925,-0.19817559,-0.11784124,-0.12480558,-0.12001079,-0.17696905,-0.0024712166,-0.16149107,-0.074215457,-0.15108393,-0.022670779,-0.20117706,-0.090057857,-0.22797466,-0.017479835,-0.14862583,-0.015242125,-0.14530367,-0.0035682057,-0.18275754,-0.10938829,-0.11198957,0.098986297,-0.15678494,-0.063666253,-0.11553564,0.07817114,-0.33456828,-0.17067415,-0.1191337,-0.0046609396,-0.29034398,-0.10621163,-0.092777554,-0.041990644,-0.31324749,-0.066441824,-0.14188858,0.028471422,-0.28676077,-0.17825434,-0.056919419,0.070257118,-0.25547614,-0.061659448,-0.077141549,0.063592178,-0.34470215,-0.055571555,-0.21985577,0.028189003,-0.3065992,-0.047353868,-0.10781051,0.018730659,-0.23039518,-0.044237127,-0.1375166,0.098768228,-0.33276844,-0.08972228,-0.085112978,0.112102,-0.29132662,0.24653453,0.26702279,0.27788209,0.24777046
-19692.226,0.98052351,0.0024269906,9,745,1,19735.614,-0.022416188,-0.1729349,-0.13655362,-0.14423673,-0.060387912,-0.12576503,-0.5991364,-0.35931306,-0.024472549,-0.19021697,-0.17054125,-0.09018724,-0.19977443,0.030472759,-0.27458788,-0.11793478,0.18126852,0.16830489,0.090028184,0.085596149,0.079803404,0.10999585,0.50311127,0.37120858,0.19643067,0.11385595,0.4046617,0.23501773,0.23043227,0.14035128,0.4950887,0.41268565,-0.3220734,-0.99659713,-0.17887247,-0.58461391,0.1396413,0.073380534,1.1787538,-0.0043262657,-0.16144408,0.20986081,1.6173868,-0.83983543,0.82969444,-0.052454299,1.6751635,-0.48217459,0.25632039,-1.506595,1.2145005,-1.1949148,0.39942613,-0.15626231,1.6723397,-0.31299914,1.0490315,0.96931033,1.257253,0.6843728,0.52597756,0.70411083,1.0156083,0.14533274,-0.60455794,-0.42494149,-0.15094879,-1.520356,0.52142389,0.64247057,1.6739038,-0.74225585,0.011664725,0.27598985,0.62256606,-0.2833027,0.045394785,-0.051587778,0.54468986,-1.1651721,0.66814907,0.049566247,0.80518014,-0.42390035,-0.54093467,-1.0736218,0.15047562,-1.9805282,0.4673769,0.27394012,0.6946605,-0.086375331,0.098801035,0.080428082,0.51709304,-0.45701296,1.5184736,-4.7504871,0.020580597,-0.080797957,-0.20306788,-0.054840136,-0.12838829,-0.14943259,-0.1605846,0.025455124,-0.17366304,-0.15108814,-0.11766023,0.0090567807,-0.21216248,-0.073218085,-0.14872662,-0.00084918815,-0.18550902,-0.039932672,-0.18061932,0.03653336,-0.15574618,-0.081829817,-0.14295324,0.058185386,-0.16019364,-0.071356834,-0.11146545,0.033401744,-0.25482073,-0.16406567,-0.097941073,0.017689441,-0.3053643,-0.14322627,-0.10794409,-0.054123521,-0.3231171,-0.13084976,-0.11706787,0.00036693506,-0.27472721,-0.16582098,-0.058858727,0.081387388,-0.285183,-0.079518661,-0.10231128,0.037824531,-0.36402334,-0.045811317,-0.18835276,-0.014234938,-0.29745475,-0.045448114,-0.12021144,0.051592204,-0.2474969,-0.043194852,-0.13896322,0.069330688,-0.31735133,-0.077161014,-0.084743268,0.095462095,-0.30653747,0.25352958,0.25520471,0.26290871,0.25037934
-19693.823,0.9762823,0.0024269906,9,900,1,19737.591,-0.005241045,-0.17451788,-0.13215834,-0.22237861,-0.057682844,-0.18710652,-0.58881304,-0.40656977,0.0064296482,-0.18740782,-0.18865275,-0.11894404,-0.15211301,0.053925838,-0.26184532,-0.026134881,0.19113706,0.13637749,0.085257008,0.12102912,0.078859612,0.13180124,0.62068642,0.39339472,0.25628257,0.15221234,0.67060074,0.23119867,0.16427597,0.17141252,0.47100901,0.32961327,-0.33626841,-1.0499478,-0.41310804,-0.62842667,0.3558147,0.26213082,0.87220735,-0.047335369,-0.13913137,0.22323951,1.1262749,-0.74927501,1.1502726,0.05481102,1.8233651,0.45344088,0.32153298,-1.5619739,1.3270594,-1.3529037,1.0150339,0.42050741,1.77657,0.35904086,0.79426815,0.79724321,1.0685923,0.56120499,0.61064257,0.74759569,1.0080477,0.27581738,-0.50524796,-0.40431836,-0.23426134,-1.4264754,0.68443768,0.42639471,1.4476094,-0.65635422,0.0019799516,0.15701005,0.35745404,-0.12935857,0.33453938,0.19509108,0.79166515,-0.79885853,0.3256902,-0.29689743,1.1193763,-0.76816574,-0.57047346,-0.75777633,-0.22202695,-1.6512675,0.51550346,0.34870301,0.68493919,-0.20103989,-0.053590144,-0.086974741,0.46840529,-0.80242207,1.2691021,-3.7031717,0.017627521,-0.069514398,-0.20592497,-0.084201299,-0.12535667,-0.12599276,-0.13876914,-0.055568431,-0.18097336,-0.14402026,-0.1131256,-0.03613551,-0.19603928,-0.083162119,-0.21574488,-0.0016983295,-0.16749905,-0.032326878,-0.1808595,0.046968546,-0.16437231,-0.053323788,-0.13168312,0.047047617,-0.13978449,-0.095821584,-0.093975,0.074447681,-0.24048072,-0.1663462,-0.11246957,-0.010009142,-0.29806467,-0.1230566,-0.097190099,-0.05360745,-0.35915113,-0.083227961,-0.12250528,0.0329362,-0.28731303,-0.18732499,-0.083361692,0.051056191,-0.2754007,-0.041598978,-0.073839239,0.064087892,-0.30363907,-0.098609937,-0.20088612,0.031773626,-0.27830418,-0.043860453,-0.07596651,0.015867639,-0.22912208,-0.019038551,-0.097603062,0.060767206,-0.35653692,-0.043798903,-0.05480291,0.12825772,-0.29062384,0.25743665,0.26036509,0.26796031,0.25336685
-19701.135,0.92602341,0.0024269906,10,1023,0,19754.631,0.066605123,-0.11269272,-0.15079694,-0.10144881,-0.088240351,-0.16616985,-0.39956801,-0.39198678,-0.10227028,-0.14622517,-0.070736671,-0.23334346,-0.17554118,0.096749777,-0.31736686,-0.13711075,0.24995396,0.15188316,0.086357675,0.11173634,0.085424383,0.17099867,0.51868006,0.22270722,0.114819,0.092630539,0.15748867,0.30205112,0.21517777,0.18643832,0.56743138,0.73253107,-0.46107406,-1.1449066,-0.63441635,-0.73215472,-0.069352961,-0.25740547,0.4008775,-0.43054112,0.14177046,0.14094588,1.787251,-0.30843429,-0.046448022,-0.56564895,1.0446194,-0.62112463,0.87498202,-1.3130608,1.3746864,-1.4346752,0.50914691,0.093562244,1.3392694,0.041517537,0.70636212,0.54429006,0.89311601,0.25248335,0.87767324,1.1108181,1.6876994,0.37161486,-0.33209866,-0.19826149,0.38819487,-1.8981248,0.55729982,0.33649872,1.7476845,-1.2805655,-0.66683746,-0.071647142,0.65075474,-1.2651937,0.61158405,0.5137115,1.032553,-0.28699088,0.65431458,0.035613946,1.0952026,-0.50733257,-0.78807493,-0.9260627,-0.55988311,-1.5753171,0.54113325,0.37044418,0.63576866,0.007794354,0.089733793,0.13031338,0.3542249,-0.20006393,1.2637831,-3.7780667,0.022118936,-0.048642165,-0.21956881,-0.091969758,-0.11639985,-0.12322626,-0.15178827,-0.051806177,-0.17808466,-0.13855397,-0.13862518,0.0035459028,-0.1774326,-0.10663874,-0.16465235,0.015273142,-0.170851,-0.013495552,-0.20040776,0.029191382,-0.21079659,-0.079106407,-0.15017083,0.062843433,-0.15907041,-0.033192064,-0.11725561,0.063673454,-0.26860993,-0.19652261,-0.14459957,-0.016123946,-0.30922547,-0.14040151,-0.12503446,-0.057698127,-0.32021107,-0.094602183,-0.11505511,0.015663792,-0.26484464,-0.17575601,-0.082020284,0.031749826,-0.26999034,-0.048613819,-0.078176332,0.078540334,-0.32002938,-0.034747225,-0.16787785,0.060122083,-0.28470787,-0.050177588,-0.075903794,-0.0076338882,-0.19694969,-0.010310879,-0.10716521,0.043388219,-0.3129441,-0.071377961,-0.04165215,0.12237,-0.2836638,0.25248601,0.2552999,0.27013906,0.24918716
