# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 18:48:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc277bf429.json
# init = 2 (Default)
# random
#   seed = 1962328366
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608191948-4-724a93.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608191948-4-486b9c.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00315178
# Diagonal elements of inverse mass matrix:
# 0.00723123, 0.00514526, 0.00723762, 0.0128658, 0.00772645, 0.0102449, 0.031378, 0.0150743, 0.0250435, 0.0180712, 0.0723486, 0.0420709, 0.0198568, 0.0149571, 0.0433165, 0.0351768, 0.470938, 0.387455, 0.401969, 0.357268, 0.288782, 0.349455, 0.355635, 0.321193, 0.370919, 0.385905, 0.368348, 0.356352, 0.346248, 0.301752, 0.352996, 0.303366, 0.401699, 0.342676, 0.307813, 0.319612, 0.25495, 0.290625, 0.295427, 0.288946, 0.272406, 0.249012, 0.334337, 0.27403, 0.290117, 0.314331, 0.28153, 0.292705, 0.463898, 0.355766, 0.28126, 0.438429, 0.362968, 0.339025, 0.29138, 0.275256, 0.279178, 0.226947, 0.33481, 0.268587, 0.273529, 0.278396, 0.283491, 0.311281, 0.445304, 0.518693, 0.488136, 0.476988, 0.349931, 0.495408, 0.441223, 0.426408, 0.315144, 0.414653, 0.485383, 0.412836, 0.444091, 0.427007, 0.378638, 0.527236, 0.296496, 0.39516, 0.377552, 0.402265, 0.387502, 0.371102, 0.482818, 0.485449, 0.611605, 0.502672, 0.439173, 0.480447, 0.421234, 0.423328, 0.530571, 0.38341, 3.05209, 46.2966, 0.86968
-19706.874,0.99815304,0.0031517796,10,1023,0,19753.252,-0.15700716,-0.098766573,-0.19442398,-0.45737491,-0.054096232,0.05577148,-0.1329558,-0.15194444,-0.092893184,0.069367236,-0.10001903,0.105622,-0.11394832,-0.13071975,-0.011568155,-0.20334438,0.063404735,0.16965497,0.085523426,0.68945306,0.083311287,0.32708029,0.19363163,0.11346349,0.15923353,0.24905942,0.072045404,0.42797935,0.47361192,0.082929093,0.39804828,0.13631205,0.59806522,-1.0479996,1.0118585,0.56247383,-0.15203718,-0.59398275,0.22185468,-0.468816,1.1068643,0.61721291,2.2290952,-0.055601006,0.58895429,0.39320851,0.68641028,0.43031645,0.29825947,-1.8496506,0.79913269,-1.5930364,-0.51133307,-0.54789498,-0.036786716,-0.65162834,0.26536278,0.080166973,1.14151,-0.72300834,-0.058632537,0.18199651,1.2397212,-0.94742013,-0.054016655,0.010005032,0.49912089,-1.2953883,-0.59215758,-0.8626375,-0.26683903,-1.457173,-1.3126471,0.20517686,1.7603405,-2.6949553,-0.3687365,-0.45737666,-0.032564113,-1.1311393,0.15840034,-0.14295906,0.35361202,-0.42562029,1.4055839,0.48412268,2.0738567,-1.1968219,-0.11428939,-0.26192857,0.18465929,-0.81610687,0.50436924,0.68659604,2.2365816,-0.80396918,-0.18303669,1.7775797,0.092027183,-0.11908699,-0.22345529,-0.092850538,-0.12134365,-0.12456044,-0.1995387,-0.061127824,-0.17830354,-0.099761152,-0.14163781,-0.003784116,-0.19917917,-0.05131858,-0.1862761,0.015872754,-0.16069192,-0.029247852,-0.208193,0.01248054,-0.18681415,-0.11147549,-0.12343417,0.04373927,-0.15736331,-0.081573168,-0.11743293,0.088076652,-0.27295308,-0.15859709,-0.13129448,-0.011281339,-0.25944203,-0.10149445,-0.091300048,-0.013416401,-0.29916244,-0.078115188,-0.14548076,0.0029084614,-0.29355544,-0.19458922,-0.085236976,0.026805415,-0.29417817,-0.052189604,-0.090125763,0.091685236,-0.37848225,-0.038928035,-0.18165544,0.053526544,-0.31552716,-0.014155954,-0.090571894,0.041263306,-0.22997111,-0.057060849,-0.11582837,0.061935159,-0.33641809,-0.13459278,-0.10975307,0.10152863,-0.31293507,0.24743773,0.2652077,0.267002,0.24921307
-19704.18,0.99005113,0.0031517796,10,1023,0,19746.663,-0.14676378,-0.071804622,-0.23157797,-0.59996724,-0.056491796,0.040033546,-0.1592128,-0.20695861,-0.14423612,0.17204826,-0.089535692,0.096763507,0.016000983,-0.12929127,0.022469202,-0.15033955,0.075617616,0.15200271,0.12580326,0.59928216,0.10145415,0.18665017,0.18051108,0.16846645,0.14854198,0.40990259,0.07625014,0.8501175,0.4436607,0.079755481,0.48446011,0.1469041,0.98482957,-1.0222557,0.96237895,0.23935316,-0.28824641,-0.22888602,0.43383964,-0.60237089,0.88072736,1.0394514,1.6517838,0.49103163,0.86579334,0.65481271,0.98985673,0.67806537,0.036061625,-1.1099143,0.74857717,-1.2505241,-0.75851655,-0.89096563,0.012201319,-0.99121191,0.51887767,0.25367887,1.2524106,-0.5963729,0.14479601,0.51770372,0.84742519,-0.42745199,0.16669698,0.50364142,0.68453275,-1.0555864,-0.61384766,-0.80216882,-0.40347802,-1.1190913,-1.3663439,-0.092471159,1.7802083,-2.3358396,-0.1801562,-0.21001491,-0.075281135,-0.53340224,-0.16091572,-0.50704029,-0.014088704,-0.76052063,1.1217202,0.57446121,1.9399036,-1.2808686,-0.13278105,-0.24309535,0.13586581,-0.73446701,0.75590302,0.68613725,1.674127,-1.0615623,-1.933907,8.8184749,0.10351318,-0.072293318,-0.22406432,-0.07399098,-0.12866447,-0.11561886,-0.10659592,-0.005859823,-0.16336663,-0.12077959,-0.1008116,-0.023778176,-0.16980459,-0.081112732,-0.20754966,-0.0067637565,-0.19361476,-0.052833195,-0.16909721,0.019454464,-0.18336265,-0.1015437,-0.12626534,0.042310925,-0.14497633,-0.065549633,-0.11342096,0.066861178,-0.26686472,-0.18256534,-0.1197429,-0.064195895,-0.27896993,-0.11947462,-0.069424228,-0.042554273,-0.30103502,-0.079569487,-0.15676282,0.0066615721,-0.28667018,-0.19371961,-0.096586631,0.04620544,-0.26764379,-0.056390433,-0.081773842,0.032765697,-0.35669107,-0.055390997,-0.20895287,0.0097503787,-0.32141213,-0.039827935,-0.083474841,0.025426674,-0.23144757,-0.04185792,-0.095300799,0.088290766,-0.33335077,-0.039294305,-0.049543181,0.095596557,-0.30628741,0.24774877,0.25983293,0.26348465,0.25311657
-19707.62,0.99530415,0.0031517796,10,1023,0,19755.465,-0.23250624,-0.1001189,-0.27166856,-0.10957619,0.048828436,-0.11916862,0.11899615,-0.19366319,-0.11316317,0.41249321,0.18201533,-0.088742247,0.048735873,-0.1484666,-0.13819478,-0.18733436,0.12625699,0.06953575,0.16963824,0.12396562,0.52408872,0.10347177,0.70750819,0.14775606,0.42385235,0.27674621,0.50976576,0.43763536,0.89422695,0.14841075,0.16011104,0.31128449,1.4182384,0.01690792,0.91488129,0.93180869,-0.60077553,-0.58665512,0.96258683,-1.0902238,0.85980756,0.99053697,1.5631521,0.65494003,0.21060626,-0.66061774,1.0954097,-0.47204513,-0.16713589,-0.52048614,0.00019069886,-0.43175021,0.4717009,-0.62942616,1.3592602,-0.47202045,-0.20575357,-0.3007868,-0.042561167,-0.560224,0.15011551,0.36239724,1.476121,-0.93715487,-0.052785107,0.082723702,0.27153957,-0.42526412,-1.8329622,-1.9426055,-1.4720723,-2.498113,-0.76355532,-0.6197052,-0.24998823,-0.85565404,0.10966901,-0.0099189711,0.36762308,-0.58165077,-0.14137222,-0.27662439,-0.010708897,-0.40065932,0.72675945,0.78615352,1.0297731,-0.75863051,0.5210679,0.21431922,1.2850386,-1.1585328,0.39925233,0.29806615,0.97155185,-0.37337537,2.9772999,-10.372854,0.042527848,-0.053443725,-0.2303715,-0.11699608,-0.11485888,-0.14189428,-0.1409124,-0.033184702,-0.17592842,-0.12581232,-0.10363561,-0.0064981865,-0.16056568,-0.083468252,-0.19147008,0.026216962,-0.16809356,-0.038765596,-0.22395247,0.048928379,-0.17744698,-0.070360893,-0.18429646,0.021476433,-0.16800941,-0.026576193,-0.093812975,0.088883771,-0.27736692,-0.17148272,-0.1401168,0.024442635,-0.33213351,-0.13553626,-0.078100537,0.0019295118,-0.29341237,-0.094772122,-0.1251155,0.0051027714,-0.27885009,-0.20721903,-0.13388917,0.054579887,-0.25416781,-0.040747211,-0.093083139,0.072142615,-0.34329319,-0.077682975,-0.19862911,0.039159689,-0.30954449,-0.04060768,-0.031792962,0.0043628077,-0.26105552,-0.054766051,-0.1038799,0.067554086,-0.32368867,-0.063053303,-0.094550991,0.11509466,-0.30356033,0.25412932,0.25049088,0.26162635,0.24712003
-19706.672,0.99935607,0.0031517796,10,1023,0,19764.266,-0.30012679,-0.04101887,-0.14735371,-0.10332208,-0.0020484631,-0.26672227,-0.087557961,-0.18386368,-0.12854419,0.20452591,-0.042441066,-0.12911262,0.16636764,-0.045276353,-0.14245981,-0.33287341,0.12885442,0.10531258,0.079326931,0.11365228,0.34744764,0.21678972,0.2051467,0.15261854,0.10108171,0.35013272,0.17265659,0.16066812,0.96295069,0.13763682,0.10926803,0.30443716,1.6502694,0.40764448,1.6812511,1.3135654,-0.46593529,-0.95477804,0.25676682,-1.2103697,0.22873393,0.14264073,1.1733744,-0.067188358,0.31521257,-0.77274064,1.4248719,-0.51068276,-0.045506733,-0.53288924,0.1641611,-0.55472422,0.81414051,0.55033576,1.5797946,0.48319742,0.13952427,-0.15883044,0.9007455,-0.9088433,0.11789188,0.14760367,1.2133039,-0.84007694,-0.087443697,0.43204017,1.0650893,-1.79473,-0.7657968,-0.88932325,-0.58653279,-1.4499642,-0.8082604,-0.18513048,0.5730727,-1.4847555,0.4622316,0.26091955,1.0936668,-1.2633835,-0.24306197,-0.38331025,-0.17818874,-0.49262991,0.12699364,-0.034631351,0.52251605,-1.6604206,0.83707295,0.27989068,2.0522983,-1.9007022,0.8527386,0.83501008,1.3311968,0.022460611,0.015950804,1.3522406,0.094889798,-0.087482301,-0.2476,-0.083490166,-0.13086809,-0.090087718,-0.14156901,-0.013978094,-0.16848602,-0.12920895,-0.13603846,-0.05427352,-0.15268356,-0.067497455,-0.19114582,0.058617857,-0.16136234,-0.01785967,-0.18719957,0.054988923,-0.19478608,-0.090224979,-0.14741514,0.075760957,-0.16197004,-0.058935018,-0.1201415,0.097227005,-0.27400416,-0.16587119,-0.16133662,0.0013089922,-0.312075,-0.13738315,-0.084872834,-0.020883143,-0.30995857,-0.063604606,-0.10685526,-0.00083840853,-0.303154,-0.18199255,-0.074405064,0.056503714,-0.2987939,-0.05484674,-0.087191168,0.046604759,-0.33209806,-0.067689047,-0.20274123,-0.0052193273,-0.30801067,-0.027797353,-0.050042902,0.026641092,-0.27381136,-0.0509945,-0.11187671,0.081790777,-0.35014579,-0.073268089,-0.078665306,0.072392369,-0.32603556,0.24839342,0.25854858,0.26666987,0.24840377
-19705.007,0.99794655,0.0031517796,10,1023,0,19748.168,-0.2093267,-0.10989481,-0.20848046,-0.10578122,0.0019601105,-0.2930996,-0.059121037,-0.13886766,-0.18264847,-0.048431511,-0.16007368,-0.083147132,0.16455692,-0.066801051,-0.20620764,-0.2946119,0.89347915,0.056489234,0.19416762,0.072401031,0.12953453,0.88383649,0.24078017,0.092536265,0.16369204,0.22172938,0.14274054,0.15701189,0.94778854,0.065093748,0.1988202,0.31199621,0.15016317,-0.041943757,0.038598937,0.091531638,-0.30091015,-0.6566108,1.6912625,-0.91638225,0.41220468,0.52007182,1.2298404,-0.055301553,0.68672488,-1.059783,2.1815937,-1.0596306,-0.39888203,-1.3846293,0.14128303,-1.405136,0.2319668,0.15568231,0.39244237,0.17700819,-0.11979902,-0.23494524,0.40538141,-0.98887344,-0.14696428,0.45921657,1.5285479,-1.6477109,0.32432523,0.74504868,0.66962859,-0.60663675,-0.23119142,-0.35159748,0.16715374,-0.95942407,-0.014989115,0.60920486,1.5821059,-0.94913771,0.25788024,0.03210719,1.0726079,-1.9205067,-0.24320345,-0.38366488,-0.12994339,-0.4816222,0.29460128,-0.69967476,1.3020288,-2.11572,0.94406773,0.56214012,1.5371926,-0.75230587,0.72581921,0.67319633,1.2715135,0.032275749,-1.9704382,9.0255918,0.11878851,-0.075159037,-0.24680257,-0.17483935,-0.12754509,-0.12689299,-0.14698625,-0.014356681,-0.16166054,-0.12844366,-0.10749935,0.030314714,-0.21921823,-0.056061633,-0.18251061,0.05216841,-0.18249957,-0.049708886,-0.1773972,0.020261142,-0.18005353,-0.08807888,-0.1555019,0.053755279,-0.13665331,-0.087966266,-0.11569119,0.03848677,-0.29722216,-0.15246719,-0.096373475,0.0025784492,-0.29134068,-0.12955901,-0.060689932,-0.073035601,-0.28195008,-0.099693441,-0.126391,-0.011368616,-0.26116402,-0.16221324,-0.073115455,0.065756966,-0.29555411,-0.042656868,-0.078105921,0.085265068,-0.38468952,-0.065948521,-0.19907625,0.04139807,-0.29191908,-0.047624349,-0.1123455,0.017952885,-0.2045212,-0.018507903,-0.094442828,0.099417297,-0.35578124,-0.068159053,-0.084577192,0.10209549,-0.28454199,0.24953409,0.25676261,0.26822442,0.2538302
-19712.873,0.99679585,0.0031517796,10,1023,0,19756.501,-0.040351734,-0.11679564,-0.14424505,-0.16343282,-0.047908078,-0.57302386,-0.094520027,-0.20178889,-0.11328711,-0.099258923,-0.13348255,-0.12712224,0.055047452,-0.050725466,-0.24145627,-0.52290483,0.16475608,0.033718478,0.082911058,0.096525149,0.14981882,0.90353888,0.28221774,0.24793296,0.12149965,0.67282668,0.24323379,0.15993777,1.3808489,0.1864219,0.13002176,0.38211945,-0.07942048,-0.99899386,-0.40579845,-0.58690733,0.010870424,-0.91226361,1.4859512,-1.1428926,0.10878661,0.18046378,1.387273,-0.84382439,0.89099366,-0.5658516,2.4042444,-0.071837312,0.060274686,-0.78539358,0.49444798,-0.91635395,0.51062676,0.45684263,0.71074814,0.48830101,-0.0030872853,-0.091166763,0.4378043,-0.67504243,0.10428802,0.46928537,0.9381821,-0.39598395,0.0037902672,0.44059511,0.54650541,-1.5118958,0.02195449,-0.020292513,0.15754282,-0.26707482,-0.10545578,0.39708405,0.89728465,-0.85487016,0.33128645,0.18053868,0.98308174,-1.2916448,-0.10580893,-0.19681801,-0.034656201,-0.24342522,0.28441234,-0.26277032,0.99114016,-1.1259097,1.6405818,1.0198701,2.5116398,-0.74199096,1.1418477,1.2324477,1.5513843,0.5810757,-1.2278407,5.9324863,0.1505208,-0.05343674,-0.20494204,-0.10720949,-0.13704828,-0.1164291,-0.14755578,-0.066691627,-0.15533224,-0.13522544,-0.12928261,-0.029224778,-0.21420742,-0.077429522,-0.21805173,0.068637231,-0.17036692,-0.038877796,-0.16557482,0.026169535,-0.18519515,-0.11165273,-0.16024878,0.069164714,-0.13182492,-0.095391313,-0.1202489,0.029036115,-0.28502898,-0.17593245,-0.08543758,0.030817373,-0.29996636,-0.11282659,-0.059754959,-0.046886895,-0.29698192,-0.084487357,-0.11291227,0.0067400872,-0.27895399,-0.15913296,-0.036898294,0.084767393,-0.34141586,-0.07413702,-0.098247284,0.030109666,-0.33370502,-0.091058687,-0.21672847,0.0071924761,-0.28108599,0.0022952236,-0.099711609,0.13404477,-0.26061969,-0.028144944,-0.10885097,0.085111551,-0.33793124,-0.086582606,-0.051962606,0.069909283,-0.3008645,0.24449911,0.25556489,0.26948767,0.25421047
