# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:05:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc650d1f54.json
# init = 2 (Default)
# random
#   seed = 427461319
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192005-1-48a3c8.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192005-1-6a547c.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00356166
# Diagonal elements of inverse mass matrix:
# 0.0103315, 0.00435625, 0.00728002, 0.0161228, 0.0329328, 0.0141559, 0.0187727, 0.014321, 0.0187012, 0.0132825, 0.0190358, 0.0323652, 0.0413636, 0.0169468, 0.0311199, 0.0408986, 0.534204, 0.344797, 0.376128, 0.406165, 0.434446, 0.396889, 0.314054, 0.32902, 0.358785, 0.37877, 0.358296, 0.273945, 0.462458, 0.326915, 0.309019, 0.409366, 0.443216, 0.289157, 0.290194, 0.289516, 0.310107, 0.262429, 0.295696, 0.234303, 0.288313, 0.237463, 0.269492, 0.23628, 0.320365, 0.27263, 0.309477, 0.233413, 0.476976, 0.319887, 0.273103, 0.373512, 0.411987, 0.313193, 0.293476, 0.243574, 0.318567, 0.224333, 0.228209, 0.226332, 0.321282, 0.251731, 0.271446, 0.232447, 0.395409, 0.546825, 0.527931, 0.460511, 0.390777, 0.521179, 0.490099, 0.381597, 0.370315, 0.444924, 0.412226, 0.372368, 0.448584, 0.396166, 0.452672, 0.437651, 0.324711, 0.342245, 0.411805, 0.329212, 0.43905, 0.335006, 0.501454, 0.418093, 0.483322, 0.423538, 0.444484, 0.417605, 0.475796, 0.486964, 0.452809, 0.50401, 3.89806, 60.6312, 0.904291
-19707.251,0.98521057,0.0035616617,10,1023,0,19759.456,-0.12917841,-0.1212505,-0.043080017,-0.11962324,0.036522311,-0.07873599,-0.20232351,-0.16022118,0.12764992,-0.12474766,-0.15540468,-0.017869206,-0.7945017,-0.11116174,-0.22607939,-0.12049767,0.059757129,0.049303096,0.11562324,0.16283118,0.12488977,0.098019386,0.14203808,0.29586086,0.39681485,0.10897602,0.17706476,0.2919866,1.0199685,0.13749207,0.23970817,0.20928973,0.9883679,-0.93952441,0.57856595,-0.19305494,-1.3910024,-1.4707998,1.8739186,-1.425791,-1.0201344,-0.78986651,0.34231455,-1.2664603,0.28800952,-0.32795033,0.68219684,-0.39241264,-0.63476154,-1.452984,-0.22414544,-2.0227597,0.23739648,-0.45264264,1.1551577,-0.98062661,1.1507126,0.750682,2.0742575,-0.62321097,0.029758218,0.1587965,0.63555269,-0.46619545,-0.66480821,-0.55661838,-0.4038449,-1.0859343,0.19374213,-0.18325541,1.37694,-1.4102189,-0.39251393,0.50064432,1.293865,-0.74763317,-0.16117074,-0.17073855,0.27177389,-1.1104993,0.73895166,0.60211993,0.76213389,0.50852755,0.35988325,0.081476515,1.2607832,-0.73778829,0.84395853,0.48864022,1.1782271,-0.57603431,0.10294038,0.19403359,1.0710361,-0.92423261,-0.21654114,2.1421206,0.016577409,-0.070116386,-0.18532169,-0.094604973,-0.14071482,-0.18983123,-0.19376549,-0.028860514,-0.19154641,-0.16103127,-0.13440695,-0.0035004982,-0.18951227,-0.072726309,-0.17302378,-0.0085403205,-0.18352025,-0.042752913,-0.14494052,0.0085288389,-0.21609968,-0.055466533,-0.12310374,0.034491857,-0.17485641,-0.038878498,-0.095698077,0.092300048,-0.29084319,-0.15141688,-0.11323951,0.02781399,-0.29815016,-0.13615585,-0.093224522,-0.032601736,-0.30326495,-0.10363441,-0.1447181,0.02530578,-0.27842769,-0.22490507,-0.066758218,0.073693214,-0.28778417,-0.064928904,-0.067722576,0.061485127,-0.34212011,-0.04079425,-0.18035831,-0.017149103,-0.27581959,-0.061680649,-0.099959368,0.062185951,-0.21260179,-0.023775639,-0.10894834,0.056351265,-0.36415952,-0.098953306,-0.079888434,0.10365919,-0.31393006,0.25170077,0.24193014,0.2448952,0.27056744
-19707.982,0.53181677,0.0035616617,10,1023,0,19753.056,-0.13991573,-0.15238385,-0.044976367,-0.16265903,-0.093140998,-0.070532226,-0.043931254,-0.22216139,-0.045287181,-0.13655857,-0.23091793,-0.18914172,-0.85715026,-0.007154592,-0.16117721,-0.098254748,0.061472608,0.03960748,0.090784238,0.21492514,0.10549908,0.089819964,0.17051082,0.20532819,0.73240234,0.22809351,0.19126972,0.47528517,0.68095285,0.13022694,0.1182521,1.4332675,0.7298864,-0.64511068,0.41899454,0.45796798,0.84476228,-0.66662892,0.58410926,-1.2335775,-0.71924337,-1.0941737,0.45400536,-1.8432456,0.43338494,-0.043708544,0.9537391,0.027220888,0.59007445,-0.63561447,0.95412741,-1.1008982,-0.1685094,-0.66684511,1.6926082,-1.1016903,0.053951348,-0.19575183,0.66542561,-1.4513742,0.35472994,0.55784205,1.2059801,-0.26831811,-0.055546325,-0.053612125,0.028054665,-0.36351602,0.20153364,0.011263362,0.75395496,-0.55104254,0.1256636,0.85524881,1.3706013,-0.22616147,0.21948026,0.23163882,0.45174432,-0.32832635,1.1119843,0.88946878,1.2602448,0.80326382,-0.14457664,-0.48765813,0.58508383,-1.5729705,0.97457316,0.35801724,1.9358927,-1.3972128,0.026993146,0.032002023,0.14321995,-0.15715943,0.43541127,-0.89535962,0.23427562,-0.095047714,-0.17957237,-0.11415905,-0.11176325,-0.11892495,-0.17878735,-0.12924876,-0.20124275,-0.11027233,-0.14431009,-0.0037598362,-0.21231402,-0.069513714,-0.1720531,0.042323475,-0.15680858,-0.030888683,-0.16019774,0.0075185705,-0.20928475,-0.085667735,-0.13042823,0.081497781,-0.16948601,-0.034731966,-0.07730906,0.069531013,-0.29140626,-0.14932533,-0.10762069,0.025460309,-0.27725466,-0.08596944,-0.084552827,-0.024739879,-0.31152716,-0.090590053,-0.13398947,0.035413661,-0.26224779,-0.20688229,-0.067334731,0.031236598,-0.27417577,-0.08482601,-0.079047225,0.025565652,-0.34519037,-0.099941363,-0.25146396,0.0010170282,-0.31016547,-0.025982366,-0.070660819,0.069039086,-0.21199774,-0.045931887,-0.11884092,0.06774616,-0.32640054,-0.059566351,-0.05238729,0.10701775,-0.32350625,0.25679147,0.2392937,0.247249,0.26436244
-19716.119,0.98913282,0.0035616617,10,1023,0,19761.595,-0.18943141,-0.18007064,-0.10980712,-0.042332049,-0.020424012,0.029235588,-0.10477359,0.055940977,-0.081013335,0.068606561,-0.15896374,-0.22354712,-0.24564916,-0.15540631,-0.6826296,-0.10623771,0.096160978,0.04863638,0.095704569,0.15697682,0.15783567,0.17972438,0.18170202,0.32614561,0.22253378,0.36065133,0.37901503,0.10898644,0.39313965,0.24601913,0.71731506,0.09443668,1.234923,-0.49663424,1.0819859,0.56394807,-0.20550344,0.081964467,1.9786367,0.0018160843,0.24311202,-0.50672756,1.1227629,-0.85019806,-0.0995597,-1.0529031,0.38961185,-0.89301981,0.053151164,-1.2072969,0.060931975,-0.94542888,-0.73896336,-1.1418968,0.41595561,-0.82537024,0.14304156,0.1167479,0.85906292,-0.88649821,-0.66436264,-0.40734036,-0.22423875,-1.0555202,-0.072662088,-0.033760747,0.1950892,-1.0594147,-0.53196288,-0.52078078,-0.17763299,-1.0164576,-0.05776919,0.16283356,0.64636764,-0.34185836,1.6425632,1.2720187,2.598227,-1.1021351,0.43437909,0.15552297,0.55613449,-0.1307766,0.5122991,0.41708177,0.88818075,-0.25580238,0.86020075,0.82560114,1.0594661,0.44556522,0.30609826,0.37222714,2.3302202,-2.0122674,0.79811189,-2.5135776,0.10247398,-0.070680003,-0.23718824,-0.085386583,-0.13520161,-0.19006559,-0.17608419,-0.083836915,-0.17998232,-0.086540186,-0.15830326,-0.0023535796,-0.19117496,-0.057960614,-0.20761342,0.018827981,-0.18251546,-0.012034862,-0.21097852,-0.010806773,-0.16964641,-0.10357414,-0.17599111,0.10399295,-0.11910356,-0.078782653,-0.083560266,0.05131987,-0.26585211,-0.16073798,-0.076911294,-0.017193508,-0.2883123,-0.097183104,-0.088526242,-0.0375994,-0.3167689,-0.12324656,-0.11921372,0.0045429855,-0.29798024,-0.18085913,-0.097247375,0.086019309,-0.2885332,-0.044530002,-0.084914329,0.05962439,-0.34366489,-0.074877523,-0.18450692,-0.027010646,-0.29706263,-0.029370931,-0.052796218,0.063103144,-0.21833859,-0.065594653,-0.090413468,0.077341364,-0.36301896,-0.077330806,-0.071085814,0.11382055,-0.29626957,0.26124025,0.23696551,0.24733906,0.27051628
-19707.443,0.99905878,0.0035616617,10,1023,0,19760.352,-0.16904822,-0.15327689,-0.11861838,-0.057479924,-0.07058934,-0.020181521,-0.061652776,-0.088557736,-0.11881171,-0.028605105,-0.17473213,-0.26344924,-0.21807766,0.028018153,-0.77942897,-0.15046249,0.13983177,0.056538029,0.063756595,0.10251476,0.18172137,0.12411337,0.26867214,0.24369475,0.20713341,0.24367093,0.19083243,0.14330277,0.23788254,0.31688424,1.2226607,0.10554617,0.70255295,-0.39419946,0.17661544,0.17544129,0.62252917,-0.9336209,2.3798236,-0.79972618,-0.50427631,-0.15052331,0.81859948,-1.2480449,-0.4025582,-1.2886973,0.93407706,-1.1332389,0.18914846,-0.85173557,0.42340535,-0.57135678,-0.71628808,-1.2927164,0.47443967,-1.0809365,-0.14744101,-0.23466315,0.52614503,-0.79135807,-0.3552248,-0.046070427,0.20051426,-0.80374732,0.04035705,0.087424616,0.37848147,-0.85692826,-0.27853609,-0.46585982,0.18201222,-1.1062307,0.031659299,0.54565206,1.1550848,-0.45808205,1.2715106,1.1868882,2.3204881,-0.56653715,0.64949252,0.087826944,1.0338036,-0.24641303,-0.12630997,-0.34995177,-0.0033153778,-0.66152006,0.61024144,0.5375777,0.71608932,0.35697709,0.63805595,0.68103768,2.3824724,-1.6403008,-0.81057289,5.0710404,0.10952839,-0.070809,-0.22416983,-0.14435178,-0.14451596,-0.11808032,-0.20606198,-0.018726355,-0.19849184,-0.15076933,-0.12821524,-0.06642727,-0.19818947,-0.09874808,-0.18959041,0.038276759,-0.17365363,-0.036217022,-0.2253679,0.0063524613,-0.17441708,-0.10908245,-0.18062491,0.038702787,-0.15434019,-0.10126607,-0.12470023,0.079707735,-0.27426864,-0.17512416,-0.099784857,-0.039693462,-0.28442674,-0.11045241,-0.10070315,-0.040415549,-0.29631018,-0.096476256,-0.1421216,0.015745983,-0.29816138,-0.16869051,-0.070604024,0.045695497,-0.26214904,-0.081238244,-0.093364877,0.069083136,-0.34463559,-0.063574736,-0.19718517,0.02784615,-0.27669502,-0.012007485,-0.082876049,0.026967562,-0.18160713,-0.033310769,-0.12215386,0.09610527,-0.34296712,-0.083118125,-0.078581569,0.10099834,-0.32358995,0.2500426,0.24295223,0.23968759,0.26581896
-19707.365,0.99992994,0.0035616617,10,1023,0,19751.52,-0.12325494,-0.12753771,-0.13012631,-0.090153481,-0.26588082,-0.084614571,-0.033778861,-0.076587049,-0.050976029,-0.02179349,-0.17671709,-0.07043514,-0.15321748,-0.1004708,-0.71850471,-0.16946287,0.082821737,0.059720327,0.11078908,0.11537485,0.41006325,0.11174184,0.27212026,0.18425375,0.13285579,0.36789396,0.087547948,0.18208323,0.29930153,0.10344119,0.81612026,0.10305312,0.39791257,-1.5300374,-0.12413557,0.084263987,0.772615,-0.54309831,0.96344345,-1.0798159,0.31278219,-0.27753058,1.2203347,-0.76481116,0.24501805,-0.98741774,1.0439249,-0.67915773,0.59825473,0.070042862,0.72647326,0.21244925,0.10415817,-0.38235882,1.3264043,-0.63265454,-0.10608313,-0.42083474,0.38786408,-0.92891839,-0.45633576,-0.2661566,0.35290366,-1.240355,-0.4826168,-0.17604478,0.029843458,-1.9089984,-0.16596823,-0.28798919,0.086285062,-0.64629734,-0.5599559,1.1804966,2.5524231,-1.3274684,0.13482791,-0.069885412,0.75737388,-1.5267275,0.34354534,-0.26561335,0.66046732,-0.48529859,0.3534573,-0.15531673,1.1783061,-1.4784657,0.82734841,0.70778816,0.97566353,0.45206835,0.73665125,0.76037012,2.7765854,-1.324423,0.31045772,-0.78573555,0.19295154,-0.090299128,-0.24997529,-0.13353606,-0.11627605,-0.081396887,-0.15997172,-0.070000549,-0.19202467,-0.095473456,-0.16087367,0.0050734477,-0.21485903,-0.06188456,-0.20407665,0.030289199,-0.1685112,-0.020558546,-0.23715882,0.032019164,-0.17876319,-0.072975746,-0.12734005,0.063600285,-0.15530855,-0.062646231,-0.14829652,0.071766814,-0.28655638,-0.16066863,-0.1256274,-0.011563225,-0.30512712,-0.11509447,-0.074364599,-0.047011153,-0.30459752,-0.082852198,-0.12774297,0.0099502632,-0.25956237,-0.22574008,-0.073367036,0.04674232,-0.29293422,-0.045885238,-0.083160101,0.067469943,-0.34842661,-0.050393838,-0.23271596,0.044461395,-0.29846809,-0.063908754,-0.11653694,0.021414587,-0.25340505,-0.043288913,-0.14086445,0.077754062,-0.34956257,-0.093548661,-0.091104357,0.11667293,-0.3059488,0.26348266,0.23709686,0.25155342,0.26647116
-19712.387,0.99824296,0.0035616617,10,1023,0,19750.866,-0.06574084,-0.13787557,-0.14346338,-0.12420628,-0.22195558,-0.074066805,-0.12230864,-0.045799486,-0.047016194,-0.012783724,-0.14450826,-0.11014478,-0.067764562,-0.041258551,-0.65085221,-0.1445461,0.13117506,0.046782705,0.1223459,0.13978739,0.37078253,0.12571126,0.14701784,0.14502714,0.14456723,0.57835871,0.091773776,0.23321391,0.30106609,0.15677053,0.7605948,0.11385728,-0.074545701,-0.9211018,0.3897156,-0.61794997,0.47577334,-0.55629238,1.0158025,-0.89603745,-0.28226467,0.18686962,1.0060159,-0.48826262,0.31621141,-0.48729106,1.0135418,-0.36653535,0.51247724,0.099756642,0.72336836,0.083151411,0.066318477,-0.54969069,1.2602745,-0.74986252,0.071148889,0.092173955,1.2327207,-1.2142422,-0.85491869,-0.63887837,-0.026243349,-1.3345018,-0.55829222,-0.2656574,-0.033767507,-1.9811931,-0.19487942,-0.18848674,0.026446295,-0.4757159,-0.49427181,0.86625777,2.4675029,-1.4090978,0.27695343,0.130413,0.78526898,-0.94844569,0.036972389,-0.55121693,0.31340935,-0.70883525,0.13919146,-0.11789607,0.83203269,-1.0481679,0.79703083,0.67461714,0.91184271,0.40216808,0.43063222,0.79166501,2.2602697,-1.4060825,-1.0944609,6.6498043,0.34425598,-0.075519377,-0.18656643,-0.014619871,-0.14680047,-0.1156176,-0.16390043,-0.090353577,-0.17979462,-0.17799731,-0.12060065,-0.020381462,-0.20320031,-0.080003917,-0.19232343,0.017474084,-0.17544331,-0.031937972,-0.18496756,0.04625677,-0.19112449,-0.065729826,-0.14316911,0.084363888,-0.16833296,-0.11184848,-0.10875742,0.058923303,-0.30082391,-0.1697859,-0.13845419,-0.049605484,-0.23933847,-0.12772695,-0.085421548,-0.051897869,-0.33343179,-0.12549393,-0.12179667,0.002511721,-0.28791816,-0.18986945,-0.065008512,0.081943803,-0.27382648,-0.045555391,-0.079730657,0.072990869,-0.33133551,-0.05663343,-0.23371729,0.026592365,-0.28117082,-0.019437433,-0.05974118,0.08917965,-0.20558038,-0.044634701,-0.13774192,0.042690612,-0.34496526,-0.095515494,-0.054409284,0.11280205,-0.30463883,0.24703566,0.24538212,0.2470406,0.26495615
