# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:05:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc650d1f54.json
# init = 2 (Default)
# random
#   seed = 427461319
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192005-2-48a3c8.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192005-2-6a547c.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00663786
# Diagonal elements of inverse mass matrix:
# 0.00631423, 0.00655321, 0.0142022, 0.00778786, 0.00867383, 0.0149195, 0.0237, 0.0161839, 0.0349326, 0.0202484, 0.0264406, 0.0664108, 0.0292585, 0.0213623, 0.11019, 0.0441362, 0.467966, 0.435077, 0.368717, 0.381888, 0.326267, 0.279329, 0.369152, 0.407393, 0.514341, 0.383485, 0.383952, 0.358215, 0.337487, 0.404105, 0.426781, 0.33211, 0.413939, 0.302905, 0.350141, 0.234636, 0.302651, 0.307884, 0.244417, 0.230725, 0.28724, 0.290417, 0.343125, 0.282026, 0.30794, 0.252354, 0.26287, 0.249408, 0.491716, 0.352255, 0.326068, 0.327257, 0.356725, 0.366496, 0.245269, 0.258516, 0.323562, 0.276198, 0.301647, 0.268579, 0.298958, 0.234768, 0.260417, 0.251112, 0.369747, 0.480391, 0.459547, 0.431449, 0.402489, 0.463545, 0.394834, 0.464795, 0.377799, 0.478118, 0.487956, 0.399166, 0.440372, 0.415433, 0.368811, 0.427684, 0.30611, 0.399396, 0.469638, 0.279131, 0.371325, 0.390995, 0.516247, 0.496598, 0.582769, 0.50265, 0.440322, 0.529286, 0.415693, 0.440896, 0.505587, 0.504327, 1.44728, 22.6136, 0.78644
-19734.494,0.94222954,0.0066378628,10,1023,0,19785.159,-0.039418464,-0.31510243,-0.16416741,-0.1549626,-0.14247866,-0.20617497,-0.036944488,-0.18407,-0.23236877,-0.14832142,-0.010927404,-0.14854716,-0.21093295,-0.25491113,-0.0064390953,-0.10120611,0.09952031,0.45250443,0.25346001,0.14230425,0.10186352,0.1994493,0.081464832,0.098429877,0.2126678,0.083190977,0.19449937,0.13289844,0.23159725,0.13024192,0.51078584,0.17826777,-0.64970432,-1.700062,-0.60104218,-0.95123203,0.35232705,0.2944295,0.6655293,0.28659152,0.10182293,0.028807944,0.66163689,-0.14842021,0.50250961,-0.46824776,1.1738581,-0.011873552,1.1869042,-0.40372705,1.6896266,0.018164682,0.81001527,0.18689098,1.2373114,0.27607444,0.1525579,-1.2045436,0.73432169,-3.1138844,0.14760518,0.5113919,1.4329764,-1.0117671,0.76352135,0.93241014,1.2525149,-0.33824023,0.56755016,0.11768356,1.3784683,-1.8051728,-0.96016949,-0.51459553,0.62339691,-1.5271827,0.53030463,0.21434859,1.6614971,-1.4320744,0.48408523,-0.12800625,1.0799013,-0.2771387,1.858724,0.85073342,2.1699149,0.055405691,-0.020563045,-0.24632399,0.11955173,-0.65826467,0.16034294,0.17964514,1.0946555,-1.2413027,0.052955119,0.91212817,0.039082882,-0.10407724,-0.20860916,-0.099234369,-0.13408537,-0.15567288,-0.18187178,-0.013947476,-0.1854185,-0.13835937,-0.15686575,0.0035310836,-0.201786,-0.083453341,-0.22159624,0.012082408,-0.15665225,-0.021576424,-0.18360371,0.029632649,-0.14062834,-0.044617993,-0.1688997,0.040605927,-0.15111212,-0.024516384,-0.13507243,0.022876905,-0.29061656,-0.16954124,-0.13373376,-0.043022305,-0.28365811,-0.069992367,-0.034075161,0.03400081,-0.30430157,-0.10110637,-0.13853121,-0.033645295,-0.29849551,-0.19767977,-0.11101591,0.1103229,-0.30796347,-0.078070501,-0.12006056,0.072263213,-0.33886761,-0.098820143,-0.24057884,0.039169215,-0.27511751,-0.012827343,-0.14410998,0.027702754,-0.24769499,-0.016942407,-0.1322579,0.054626233,-0.34267137,-0.072622127,-0.069181166,0.0939357,-0.32249038,0.25110094,0.23804046,0.24401225,0.2685848
-19721.718,0.95377323,0.0066378628,10,1023,0,19791.557,-0.13603812,-0.20040943,-0.15769782,0.18454572,-0.11491633,-0.10002091,-0.093843881,-0.23188447,-0.056914259,-0.14656525,-0.065243422,0.10098488,-0.22952093,-0.020442422,-0.13723888,-0.13295743,0.10957414,0.13802742,0.14766566,0.27723205,0.15191361,0.10618973,0.084497044,0.16582922,0.14562072,0.20641813,0.14940242,0.3186944,0.15834323,0.087834963,0.21493327,0.10181127,0.76213293,-1.0562531,0.22419155,0.01502549,0.64798499,0.34917068,1.1628359,0.1291185,-0.11949511,0.14217264,0.92839939,-0.39529192,-0.98893912,-1.2451034,-0.60481861,-1.4113647,0.42379073,-0.55726715,1.1083722,-0.27328825,-0.069544186,-0.30687676,1.623161,-0.41339209,0.0062659633,-0.019185635,2.1406928,-2.5753112,0.52779243,0.81481662,1.2314114,-0.7860633,-0.54850062,-0.14677793,0.26430108,-1.9097943,0.3459367,-0.020264572,0.66835173,-0.6717611,-0.58373,-0.038896939,0.80260612,-1.2404667,-0.3642945,-0.53440997,-0.16850617,-1.4667902,1.0333924,0.13456274,1.7016014,-0.32621235,-0.68202226,-0.58963817,0.60008618,-2.4329353,0.44122681,0.11301705,0.94758165,-0.81683021,0.66982867,0.59089443,2.5182724,-1.3204954,-0.26210583,2.1753575,0.038145184,-0.052528061,-0.25177614,-0.11147252,-0.13439171,-0.11096973,-0.1522143,-0.039906195,-0.18258754,-0.17534315,-0.13670381,-0.020605111,-0.21606887,-0.089619903,-0.16063684,0.016870616,-0.20672981,-0.050536753,-0.1995728,0.053460488,-0.15643254,-0.10740579,-0.13260807,0.072342107,-0.14391891,-0.093314426,-0.09546501,0.087038329,-0.31145007,-0.14436106,-0.096764063,-0.02768048,-0.36223674,-0.13678732,-0.078288167,-0.018426544,-0.33501988,-0.075157643,-0.15074822,-0.0086053375,-0.28522892,-0.1524541,-0.071054718,0.054667872,-0.25057214,-0.015113738,-0.069328586,0.047282906,-0.36647294,-0.065890248,-0.20821383,0.03991613,-0.28117445,-0.080347822,-0.072233269,0.032266125,-0.2341392,-0.042404555,-0.11294775,0.066427946,-0.31280286,-0.064761321,-0.072797717,0.12343107,-0.26739873,0.24426414,0.23987974,0.24550065,0.26896549
-19715.571,0.99750716,0.0066378628,10,1023,0,19768.754,-0.045828088,-0.19786774,-0.11367194,-0.065132744,-0.13427593,-0.0073662742,-0.21468903,-0.24910682,0.062358063,-0.15570092,-0.12059449,-0.04920491,-0.27573776,-0.040629127,-0.094840697,0.11733242,0.37671477,0.29440108,0.060597485,0.084723219,0.10721854,0.14432551,0.34154856,0.089551634,0.50949859,0.14675119,0.68538125,0.18912037,0.15728321,0.1528902,0.31305888,0.23272137,0.049502127,-0.56891609,-0.067816145,-0.22094041,0.2166858,0.15195146,0.6373939,-0.0067028893,-0.33814258,-0.28265147,1.473876,-1.0302878,-0.24078182,-1.8757962,0.93068363,-1.1976215,0.81737041,-0.59838619,1.6127997,-0.22076117,-0.9067989,-0.58017051,0.74712927,-0.95378217,0.24421562,0.33006862,0.84815796,-0.20045958,0.73270967,1.2472086,2.1956637,-0.80225956,-0.4431603,-0.36613339,-0.18077269,-0.67806513,0.14991363,0.34456019,1.04763,-0.84570048,-0.15634422,0.097513099,0.270401,-0.21695073,0.044305487,-0.29692547,0.85809705,-1.6419611,1.1912054,0.31081454,1.8260232,-0.15218651,-0.27338997,-0.28102047,0.54137831,-1.1566102,0.13314687,-0.031756097,0.47346959,-0.78399336,-0.88534343,-0.72345867,-0.26379059,-2.0164313,0.33470348,-0.085798103,0.03657127,-0.027179905,-0.26014718,-0.071375431,-0.12905961,-0.13407521,-0.15313307,-0.01021829,-0.19984108,-0.13416253,-0.13079991,-0.024358761,-0.17610479,-0.085532555,-0.22405623,0.013717769,-0.16659909,-0.046638671,-0.19843403,0.038646098,-0.15794563,-0.13824049,-0.091099678,0.10046354,-0.14502137,-0.13127754,-0.10195457,0.074998096,-0.28315571,-0.18349147,-0.13741725,-0.052481541,-0.32095047,-0.16343148,-0.12418638,-0.029745367,-0.28311516,-0.13370092,-0.10513631,-0.0019599801,-0.27980847,-0.22774989,-0.053760843,0.064733281,-0.26928846,-0.04082584,-0.10535957,0.11307872,-0.35973319,-0.088381164,-0.22685186,0.011465029,-0.29967415,-0.082427775,-0.083594403,0.042142312,-0.2174635,-0.053157888,-0.10478223,0.053383164,-0.34027678,-0.088705917,-0.051031874,0.055942712,-0.35193422,0.26084586,0.24509058,0.24630068,0.27213118
-19717.109,0.98452521,0.0066378628,9,511,0,19760.516,-0.034523346,-0.248121,-0.1332211,-0.050708377,-0.089745744,-0.089060751,-0.14639924,-0.18863496,0.026088292,-0.036122337,0.020405737,0.016815283,-0.3126115,-0.068463019,-0.02431316,-0.033335185,0.2616025,0.22094911,0.034053838,0.090737453,0.10193617,0.16136509,0.1403923,0.11088666,0.23414276,0.2166868,0.72132066,0.2289756,0.16754683,0.20216497,0.2200825,0.13445467,-0.039816486,-0.68379935,-0.31081782,-0.30277091,0.730684,0.60576143,0.93160733,0.39995787,0.12618248,-0.42973138,2.0505317,-1.6856767,-0.40435159,-0.99107252,0.5171897,-1.4890024,0.74245153,-0.87451308,0.90883323,-1.0891695,-0.48843559,-0.16343766,1.0345872,-0.6382404,0.39674828,0.29748294,1.5045452,-0.90970543,0.29465889,0.81900721,1.8135193,-0.95023511,-0.68513518,-0.60636262,-0.3381428,-1.3752953,-0.39929534,-0.21599367,0.29555654,-1.1152055,-0.33067184,-0.13976973,0.1099024,-0.38592644,-0.20338124,-0.36355705,0.06881489,-1.5797658,1.3423483,0.49009149,1.9306775,0.020491515,0.014518309,-0.14650314,0.54011368,-0.7263412,-0.23274529,-0.35473702,0.37822522,-1.2911844,-0.42756326,-0.33588368,0.92447473,-2.1122184,-0.26421402,2.2425606,0.01969255,-0.044939439,-0.21340697,-0.11583407,-0.11372898,-0.086677014,-0.11427854,-0.042283183,-0.15975066,-0.1289241,-0.1478551,-0.063392622,-0.19062486,-0.08739821,-0.14063577,-0.0037799001,-0.18581666,-0.014063077,-0.17889026,0.0028972363,-0.20077152,-0.1678772,-0.11543388,0.077885506,-0.19205047,-0.090698833,-0.10463492,0.064827332,-0.27411487,-0.15596122,-0.097817981,0.012460151,-0.29400336,-0.13433115,-0.11588713,-0.053085397,-0.29592714,-0.12264436,-0.082925314,0.027920862,-0.27777265,-0.21811469,-0.080413059,0.099680612,-0.25797098,-0.02975406,-0.066430413,0.032572214,-0.34491255,-0.087705293,-0.23049823,0.010867396,-0.30917822,-0.065527925,-0.098080823,0.040729048,-0.21530377,-0.075536323,-0.10238457,0.058927591,-0.30848024,-0.090823063,-0.078496315,0.090964763,-0.31733282,0.25755911,0.24075716,0.23439585,0.26761513
-19719.276,0.85385964,0.0066378628,8,270,1,19773.735,-0.010091234,-0.13609101,-0.11994239,-0.055033585,-0.14496688,-0.12969576,-0.14368502,-0.11371167,-0.017393053,-0.13388617,-0.055255872,-0.021681295,-0.32849931,-0.067050058,-0.059638706,-0.075791751,0.10182594,0.28817911,0.057988567,0.12709878,0.083390792,0.15251043,0.13266064,0.43244123,0.14807683,0.085399567,0.1942155,0.15795618,0.27827009,0.098637949,0.43015796,0.16406484,-0.5502424,-2.2447879,-0.50841123,-1.2275294,0.0052951433,-0.1487664,0.51971239,-0.14704443,-0.35444596,0.025844159,1.2959043,-0.8402325,-0.22677289,-1.2111403,0.31496394,-0.89943207,1.299313,-0.79940078,2.2377446,-0.68471277,-0.28452731,-0.025517333,1.3144345,-0.37562536,0.80362918,0.12889906,1.5745205,-1.0486985,-0.043045342,0.14970132,0.29595926,-0.35999315,-0.75228139,-0.4913613,-0.03992329,-1.9562536,0.030927012,0.19165268,1.574989,-1.7208193,-0.76573976,-0.13845608,0.5981759,-1.0925683,-0.26657431,-0.48478797,0.61043213,-1.8623843,0.88172557,0.33004262,1.3589519,-0.012745518,0.48316618,-0.12445991,1.3333544,-1.7434967,-0.0054047954,-0.10838337,0.3034722,-0.606995,0.011925832,0.035286169,1.152766,-1.4683304,-0.1761309,1.87072,0.12212383,-0.066120184,-0.23866888,-0.061860686,-0.13508557,-0.13456506,-0.17896238,0.013679241,-0.17846615,-0.14049621,-0.11844373,-0.044794761,-0.16866627,-0.083856142,-0.20896803,-0.015002053,-0.1693503,-0.036616137,-0.21162954,0.04164042,-0.20206562,-0.17308914,-0.13358742,0.070769222,-0.18698254,-0.03707506,-0.12658519,0.065191876,-0.28280602,-0.13232625,-0.048974647,0.014273317,-0.26938755,-0.1287885,-0.090152276,-0.023304767,-0.30706888,-0.13124502,-0.11751911,0.00061720593,-0.28084339,-0.20397441,-0.08214619,0.060919163,-0.26744957,-0.063788354,-0.09825655,0.074740232,-0.3158564,-0.083141459,-0.23665832,0.049656355,-0.33204601,-0.019391537,-0.079326528,0.064469286,-0.23902499,-0.061963622,-0.10626068,0.070902276,-0.32074244,-0.073835141,-0.070002531,0.11333662,-0.31669314,0.25262257,0.24168608,0.23843166,0.27167475
-19718.6,0.99109878,0.0066378628,10,1023,0,19768.068,0.015028122,-0.092943211,-0.12189768,-0.086132044,-0.12131589,-0.14374612,-0.010172388,-0.18189473,-0.22143275,-0.15421349,-0.056174779,-0.12327961,-0.24283685,0.0054482084,-0.011602162,-0.23006235,0.16020224,0.10715888,0.10337667,0.15061515,0.07537325,0.045926324,0.16065582,0.094582912,0.15536949,0.16005942,0.54066947,0.18854264,0.15005197,0.37807577,0.14695953,0.43807743,-0.48122337,-1.2708262,-0.75483679,-1.0621051,-0.10156666,-0.47823523,0.4458204,-0.77906798,-0.12136885,-0.2833727,1.1828466,-1.1893086,0.047004949,-0.85046861,0.34377504,-0.57486627,1.0933914,-0.72955026,1.2898172,-0.94893499,1.2993552,-0.47344811,3.0504378,-0.97419569,-0.073856894,-0.71886211,0.53024129,-1.7478699,0.30262057,0.56659388,1.6966937,-1.0203825,0.70858295,0.78490083,1.2261334,-0.57222719,0.34865753,0.23928475,0.8496655,-0.56001104,-0.18865119,-0.018796493,0.19627974,-0.41430148,0.39004774,0.31197137,0.86350646,-1.3602609,0.89686275,0.13481724,1.6487706,-0.15386537,-0.12347333,-0.21894478,0.11504019,-0.57235241,-0.1788777,-0.75743201,0.76195918,-2.0255615,0.34851042,0.29616472,0.76530824,-0.085028346,-0.46224597,2.9502885,0.058290253,-0.062064942,-0.18856108,-0.10589843,-0.1551235,-0.10382698,-0.14419037,-0.045169594,-0.17642727,-0.13444439,-0.15119181,0.00038106397,-0.24484445,-0.079052387,-0.2142255,-0.034354315,-0.17271561,-0.038903433,-0.17630447,-0.024098183,-0.19284021,-0.084071509,-0.16548985,-0.0036507233,-0.18848734,-0.022037929,-0.12566177,0.075013962,-0.29097787,-0.153272,-0.12830463,-0.021416501,-0.27840548,-0.11134058,-0.099483109,-0.030929034,-0.3103394,-0.098407572,-0.11591371,-0.018216527,-0.24384854,-0.15817272,-0.066337469,0.049947683,-0.28017494,-0.049738984,-0.064459709,0.039528172,-0.37974679,-0.10826083,-0.22260726,0.0045644141,-0.26592465,-0.041234067,-0.077329506,0.048942115,-0.21094437,-0.037889945,-0.12291402,0.100375,-0.30927774,-0.077387808,-0.10031928,0.10520191,-0.26731135,0.25117599,0.24010881,0.25009823,0.25847233
