# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:22:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc2bf9d756.json
# init = 2 (Default)
# random
#   seed = 1776208278
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192022-1-8f49bc.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192022-1-651e23.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0042296
# Diagonal elements of inverse mass matrix:
# 0.00711284, 0.00457054, 0.00436328, 0.00867034, 0.00697255, 0.0106803, 0.016534, 0.0105911, 0.00913034, 0.0139499, 0.0188926, 0.0373818, 0.0163489, 0.019864, 0.012432, 0.042127, 0.605345, 0.457338, 0.296038, 0.325034, 0.301785, 0.400109, 0.25447, 0.292378, 0.351746, 0.305558, 0.238338, 0.268384, 0.239593, 0.271365, 0.198546, 0.41782, 0.438121, 0.261788, 0.291977, 0.280232, 0.237977, 0.238947, 0.219356, 0.209763, 0.280334, 0.265416, 0.260188, 0.26287, 0.326373, 0.320259, 0.266214, 0.288985, 0.431124, 0.298511, 0.231184, 0.321031, 0.258343, 0.284653, 0.207617, 0.209139, 0.310191, 0.252379, 0.211866, 0.261629, 0.3412, 0.30871, 0.239511, 0.293971, 0.398137, 0.611775, 0.364465, 0.496486, 0.332389, 0.46459, 0.399209, 0.343877, 0.415232, 0.480412, 0.348065, 0.333329, 0.417317, 0.405055, 0.405207, 0.530975, 0.240748, 0.298095, 0.325724, 0.302675, 0.27021, 0.325759, 0.343716, 0.412355, 0.521644, 0.384873, 0.381829, 0.566345, 0.468202, 0.474304, 0.494138, 0.523206, 7.54528, 124.158, 0.582768
-19714.816,0.97273816,0.0042296047,10,1023,0,19760.846,-0.10729018,-0.040580717,-0.16025572,-0.31914373,-0.23980111,-0.057565211,0.014071654,-0.080016268,-0.16372216,-0.094677354,-0.10726329,0.076169767,-0.16335749,-0.077735065,-0.21998269,-0.047009905,0.064019859,0.16947539,0.12638772,0.30616206,0.15158471,0.12301872,0.21603726,0.08862598,0.28123924,0.2763279,0.36790475,0.15922055,0.1751801,0.13686522,0.31429247,0.23196325,0.41224226,-1.2072938,0.96369381,-0.30578728,-0.55905406,-0.66671689,0.096220305,-0.82683234,0.40991318,-0.028822049,1.5272343,-0.34593253,0.68996177,0.27930863,1.1584035,0.5074875,1.4063229,0.49782315,1.6061577,0.48187432,-0.64291525,-0.51686067,0.79806174,-0.84672734,-0.5070075,-0.54264063,0.19785692,-1.1772049,-0.74541787,-0.72710806,1.1728985,-2.2432805,0.095229339,0.29314466,0.67547002,-0.50036353,-0.0030492581,-0.26544072,0.40126449,-0.62571883,-0.18789887,0.11701417,0.5467825,-0.52463378,-0.702831,-1.0600367,0.067330151,-2.7349184,0.43519767,-0.33853307,0.98376776,-0.69819081,0.61755786,-0.13078967,0.64381455,-1.2069535,0.53368984,0.33867836,1.0228164,-0.21033006,-0.13458552,-0.19752941,0.71525648,-1.1616052,1.2390853,-3.5707671,0.33615214,-0.08089849,-0.18458096,-0.045594639,-0.12686664,-0.13532662,-0.15357282,-0.024273743,-0.18070845,-0.10844773,-0.16389847,0.032767941,-0.20397735,-0.10790361,-0.23363002,0.035515477,-0.16377031,-0.026624059,-0.16433874,0.00366783,-0.16675633,-0.13665582,-0.12114875,0.040611321,-0.16172852,-0.095460855,-0.10315894,0.056816119,-0.24024847,-0.14607966,-0.14445693,0.023933013,-0.2788292,-0.13693993,-0.081278374,0.026246521,-0.30444402,-0.095519949,-0.16802603,0.016203222,-0.26758093,-0.17639217,-0.06421322,0.093900591,-0.30027855,-0.035735369,-0.09260985,0.08689011,-0.35928544,-0.087119521,-0.22266175,0.0089790406,-0.28566662,0.0067871253,-0.095635621,0.010380752,-0.24292502,-0.052247995,-0.11353864,0.10148079,-0.28608784,-0.0782288,-0.09282947,0.11890331,-0.31645962,0.2489003,0.24215923,0.24487815,0.24806423
-19713.754,0.9784957,0.0042296047,9,771,1,19760.182,-0.13106457,-0.034216661,-0.13766278,-0.37927224,-0.2096588,0.017410657,-0.058691852,-0.095041208,-0.13402915,-0.15326909,-0.021933648,-0.010410415,-0.12217965,-0.20272475,-0.14396108,-0.021319335,0.074772371,0.12744235,0.099944227,0.52358887,0.12720768,0.20242607,0.29313048,0.086420114,0.16352883,0.21943022,0.43016726,0.09862659,0.17255215,0.21974264,0.23547545,0.27354172,1.1180168,-1.5563952,0.21819645,-0.19100901,-0.51321838,-0.89042547,-0.095604665,-1.1411814,-0.12232192,0.32703928,1.191737,-0.59104851,0.5543848,0.37338545,0.68117495,0.38749931,1.3460721,0.32323108,1.8978188,0.35954613,-0.40491197,-1.1013121,0.47404391,-0.77003996,-0.12545167,-0.10246994,0.48417761,-0.86952849,-0.32290863,-0.46003406,0.72119802,-2.3367453,0.25839678,0.28939168,0.67072248,-0.92469954,0.35028349,0.012931328,0.83622301,-0.61149456,-0.28293476,-0.051577041,0.11144043,-0.67285584,-0.52480549,-0.69217735,0.71384052,-3.0821654,0.22898549,-0.44848124,0.76422616,-1.1154017,0.89228037,0.34960701,1.0507733,-0.16381676,0.43885083,0.057580533,0.78683608,-0.84421507,-0.21099752,-0.24750022,0.55570119,-1.088929,0.60178243,-1.1459941,0.24304886,-0.047467797,-0.24743993,-0.1147495,-0.14534677,-0.099622414,-0.14769457,-0.046400743,-0.1796515,-0.14988815,-0.1049771,-0.018555554,-0.19673467,-0.089002527,-0.18377177,-0.022616611,-0.17638191,-0.038428102,-0.16854133,0.031758316,-0.16392178,-0.064554081,-0.20552362,0.1133695,-0.1384655,-0.095465561,-0.088728914,0.083235362,-0.31357715,-0.12294701,-0.1347974,-0.032715193,-0.29698301,-0.091773831,-0.086705271,-0.024346694,-0.28524418,-0.076406304,-0.15043156,0.030223514,-0.28744947,-0.14364292,-0.044120402,0.026004375,-0.3113742,-0.062170191,-0.078677506,0.059993241,-0.31439387,-0.082667709,-0.19956605,0.0096892196,-0.31464462,-0.0066527081,-0.12590118,0.028174948,-0.23872227,-0.040622485,-0.13040228,0.041319497,-0.342753,-0.079035959,-0.089020969,0.13068813,-0.31918684,0.25096625,0.2395524,0.24490945,0.24372617
-19722.001,0.95473335,0.0042296047,9,560,1,19768.59,-0.12735286,-0.024866593,-0.1342789,-0.38874717,-0.21873222,-0.027313344,-0.028516643,-0.093964573,-0.23974387,-0.15250368,-0.10638934,-0.030242922,-0.14496634,-0.25137121,-0.16758363,0.038995957,0.033371848,0.11584468,0.055010918,0.72677246,0.11503897,0.098517849,0.2569967,0.10861252,0.19054243,0.2026448,0.25809632,0.10899061,0.13866517,0.17560368,0.2076645,0.30678787,1.1522518,-2.2964278,0.38530491,0.22942945,-0.88965751,-1.3160257,0.12281677,-1.3165984,0.99161096,0.19894799,1.0696427,-0.97879898,0.46358767,0.29379961,0.50737821,0.27536617,1.5061339,0.34905265,1.7312677,0.38910073,-0.66970086,-0.58575262,0.8258317,-1.4112853,-0.16111043,-0.30170226,0.23202216,-1.0332818,-0.77353518,-0.37438799,1.0012172,-1.7118667,0.53130077,0.76541168,1.0305576,-0.43200625,0.14661881,-0.056128411,0.92203936,-0.71838456,-0.18407217,0.079301799,0.44058845,-0.58567625,-0.40263443,-0.64071756,0.78881254,-2.7339334,0.72733627,-0.47630368,1.3209906,-1.0620453,1.4126449,0.64820584,1.6686381,0.0069871593,0.65274283,0.058166067,0.96109898,-0.83900601,-0.41919316,-0.42209776,0.23290558,-1.1741499,-0.0020482848,1.3847599,0.096424629,-0.088900091,-0.2039889,-0.11449453,-0.11969638,-0.12792868,-0.17732117,-0.010638924,-0.17738752,-0.079729474,-0.12333459,-0.075436879,-0.18812353,-0.05182442,-0.17522171,-0.019998664,-0.18861862,-0.045468129,-0.17857756,-0.019568975,-0.17397047,-0.093290832,-0.085020432,0.054045819,-0.16635013,-0.069921493,-0.10605313,0.031112285,-0.29406665,-0.17798018,-0.1346278,0.014780149,-0.27989474,-0.13850854,-0.093900475,-0.043378921,-0.32205939,-0.12279214,-0.16387781,0.034342803,-0.29808058,-0.1538977,-0.085921841,0.0073249139,-0.25755023,-0.074126296,-0.10007512,0.055730241,-0.328216,-0.04411013,-0.21101307,0.038209052,-0.29223504,-0.0033055614,-0.13754388,0.041647788,-0.25014424,-0.032032116,-0.1555046,0.032002509,-0.34181539,-0.089607419,-0.090498516,0.11044856,-0.32121898,0.23993041,0.2437338,0.2597534,0.24525301
-19722.269,0.97962483,0.0042296047,10,1023,0,19779.493,-0.18625751,-0.12701094,-0.094089581,-0.11534345,-0.095918476,-0.033663253,-0.20459563,-0.30524237,-0.17167113,-0.082086189,-0.09411941,-0.6061182,-0.3432307,-0.013411673,-0.06789801,-0.020396324,0.14813492,0.045451318,0.049715645,0.21834281,0.11949461,0.092605777,0.2024227,0.35567774,0.12917971,0.10382871,0.1576089,0.55681695,0.51362034,0.08365513,0.11025831,1.120854,0.87712259,0.059328005,0.55581491,0.59653402,-0.083699934,-0.30295294,1.6321969,-1.0367118,-1.3529132,-0.38087844,1.9104127,-1.6774598,0.25708869,-0.27917052,0.55207056,-0.23865059,0.57934295,-0.75321669,0.45902,-0.77310449,-0.48433382,-1.0217398,1.0817786,-1.0543694,0.82595758,0.61662221,1.3564929,-0.30697382,0.42082874,0.62054345,0.77964811,0.073958283,0.13869373,0.6002577,0.8300856,-0.90476809,0.096305834,-0.21109751,0.68862264,-1.9222336,-0.61819758,-0.00056264998,0.8964957,-1.4881003,0.94235886,0.84699088,1.246014,0.53436607,0.53669445,0.3828081,0.71763252,0.15744569,0.012167948,-1.1272048,0.98619969,-2.4505319,0.32303189,-0.45060177,1.3951719,-2.0651496,-0.064425772,-0.039082105,0.086401969,-0.24045044,2.0839178,-7.2058945,0.055946602,-0.056325023,-0.17746896,-0.10392191,-0.09788999,-0.13081521,-0.14078055,-0.052825434,-0.17413086,-0.16135053,-0.1130252,0.00088781726,-0.17748557,-0.059209977,-0.17629832,0.0051971946,-0.16745109,-0.026690119,-0.18592381,-0.041068062,-0.18830029,-0.078515363,-0.12828226,0.066515695,-0.13130395,-0.037403065,-0.079777298,0.06998932,-0.2667341,-0.15556296,-0.084528877,-0.027938891,-0.27893705,-0.15375472,-0.094130019,-0.064440917,-0.28854881,-0.072086879,-0.10400417,-0.01058739,-0.28166922,-0.19155285,-0.094208088,0.047176288,-0.32865725,-0.081396818,-0.13449932,0.08768349,-0.30857412,-0.067573517,-0.14661268,0.025359954,-0.26236339,-0.012393761,-0.10770814,0.069088991,-0.21841123,-0.032281059,-0.1175806,0.085931291,-0.29559792,-0.092608206,-0.064201656,0.076447666,-0.28990615,0.25248132,0.25299046,0.24561512,0.24699249
-19710.572,0.97657099,0.0042296047,10,1023,0,19767.028,-0.13491891,-0.1174037,-0.086786086,-0.1075647,-0.055682204,-0.033863056,-0.24434646,-0.096089005,-0.089714536,-0.07109429,-0.13664513,-0.22593108,-0.53759645,-0.10784934,0.15217252,-0.32289232,0.094548481,0.066779104,0.059272436,0.2100802,0.095004916,0.35771917,0.34273189,0.090811214,0.23022691,0.14981756,0.14167903,0.22872149,0.44038283,0.32530672,0.31091664,0.36088886,0.85206651,-0.92299588,0.26954334,0.026292286,-0.11713235,-0.43233502,1.214783,-0.81670172,-1.0818468,-0.38888375,1.7334615,-2.2510474,0.17546789,-0.41589541,0.44960605,-0.2347125,0.28369717,-1.3350648,0.71398389,-1.5372115,-0.11975461,-0.25914003,0.22396143,-0.35490996,0.43620504,0.24992297,0.80821289,-0.12242258,-1.0304988,-0.27608244,0.95909025,-2.069763,-0.32492634,-0.10002606,0.14781952,-0.86719694,0.10190978,-0.13871024,0.41366339,-1.5055234,-0.13342655,0.58168439,1.6227356,-0.93785974,0.78671406,0.50043049,1.396677,-0.65184212,1.1318335,0.78474495,1.2358937,0.51914905,0.33545456,-0.11956009,0.3736083,-0.37388917,-0.65158048,-0.90911297,-0.29924749,-1.6890046,0.65352929,0.66819317,1.1028676,0.025518587,-0.95700124,5.2562312,0.026056174,-0.054357319,-0.22218677,-0.109434,-0.13243302,-0.12522569,-0.14627464,-0.03628158,-0.17194231,-0.15090978,-0.10983617,0.0159604,-0.22021115,-0.070702368,-0.19493609,-0.013111367,-0.15687315,-0.028729578,-0.18251992,0.012149776,-0.20172485,-0.076701575,-0.12656241,0.046252239,-0.16082115,-0.094845081,-0.15868989,0.032653874,-0.28630458,-0.18966985,-0.12116039,-0.0089928555,-0.2840467,-0.16452132,-0.11274323,-0.055682506,-0.2893666,-0.055826416,-0.091875519,-0.0091202496,-0.29664813,-0.15554887,-0.054232647,0.093262478,-0.26952019,-0.045992671,-0.11147187,0.093518957,-0.37502138,-0.03915642,-0.19200825,0.0066699239,-0.30897213,0.0012762826,-0.14674304,0.01368795,-0.229478,-0.050414693,-0.13048583,0.0591315,-0.37296712,-0.087040876,-0.081748843,0.075120317,-0.31368294,0.24392039,0.24455501,0.24465927,0.24538409
-19700.389,0.98415457,0.0042296047,10,1023,0,19754.908,-0.12364923,-0.12357193,-0.13102009,-0.10277947,-0.058197818,-0.035106134,-0.21166951,-0.11332263,0.011284706,-0.11972259,-0.13918603,-0.15800439,-0.52303542,-0.10854642,0.11230837,-0.292096,0.062186521,0.10097834,0.04873671,0.16218476,0.15517256,0.14713602,0.19658741,0.091000739,0.2794371,0.17290272,0.14079692,0.15491584,0.64508989,0.12449998,0.3009345,0.55583238,0.74906197,-1.2925749,-0.79994017,0.029165207,-0.21282353,-0.36400954,0.61783472,-0.46659434,-1.0102789,-0.1215125,1.4544321,-1.4829322,0.28155348,-0.54913956,0.90497084,-0.46476397,0.1750315,-0.83148136,0.65350229,-0.73694748,-0.25632664,-0.56981442,0.92558708,-0.923076,0.6127725,0.36812263,1.3398383,-0.41484814,-0.46180846,0.26811546,1.6178692,-1.8509267,-0.43315195,-0.41390366,-0.01674523,-1.1273493,0.13021263,-0.047955804,0.64245493,-1.1152619,-0.6066918,0.39638654,1.2584913,-1.1771886,0.68668806,0.43782457,1.5617384,-1.2578351,0.72198106,0.56187094,0.82446936,0.31905983,0.91394423,0.14315063,1.3143107,-1.0187583,-0.45834314,-0.76742698,0.011707881,-1.446783,0.38367497,0.34335086,0.69156603,-0.02141383,2.103672,-7.1189953,0.028625549,-0.077067673,-0.20402996,-0.17339473,-0.12183555,-0.1450625,-0.16032901,-0.061184007,-0.17068785,-0.18025776,-0.13694221,-0.060135852,-0.20329332,-0.057115787,-0.19184154,0.043993007,-0.1781571,-0.031037732,-0.18722091,0.043207807,-0.17255185,-0.072821015,-0.11894636,0.10108106,-0.17092386,-0.091206148,-0.13930123,0.051725842,-0.29322343,-0.15534754,-0.088923922,0.033904667,-0.28175832,-0.10975402,-0.10437533,0.0066054675,-0.30373851,-0.097208468,-0.12801428,-0.0086403814,-0.3125544,-0.22460636,-0.083376021,0.03800567,-0.30493056,-0.051625528,-0.090178425,0.083933634,-0.35286297,-0.05729274,-0.16057816,0.0088214234,-0.31721315,0.0052396209,-0.090724166,0.055085243,-0.2353818,-0.025622896,-0.11863688,0.11583167,-0.32307855,-0.078837031,-0.10125048,0.092298787,-0.3039985,0.25283609,0.25359168,0.25723967,0.24770997
