# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:22:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc2bf9d756.json
# init = 2 (Default)
# random
#   seed = 1776208278
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192022-2-8f49bc.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192022-2-651e23.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00197286
# Diagonal elements of inverse mass matrix:
# 0.00237273, 0.00337686, 0.0039717, 0.0164116, 0.0143801, 0.0110894, 0.0147728, 0.0148435, 0.00952359, 0.0122141, 0.0482808, 0.0212384, 0.0191284, 0.0246491, 0.0236776, 0.0401135, 0.378965, 0.335157, 0.313099, 0.601513, 0.344167, 0.350583, 0.360452, 0.412168, 0.375238, 0.290462, 0.325488, 0.40826, 0.248526, 0.496609, 0.269889, 0.27236, 0.368686, 0.322987, 0.268204, 0.1705, 0.438905, 0.232361, 0.280619, 0.315748, 0.218695, 0.221438, 0.3336, 0.187107, 0.278579, 0.244686, 0.268022, 0.253635, 0.29209, 0.341745, 0.241842, 0.288208, 0.257523, 0.269492, 0.254401, 0.301707, 0.219191, 0.235267, 0.276169, 0.179807, 0.296812, 0.268665, 0.274911, 0.248251, 0.399928, 0.479715, 0.49883, 0.300672, 0.573784, 0.468144, 0.588694, 0.467751, 0.320549, 0.26254, 0.348108, 0.281336, 0.380086, 0.312935, 0.324152, 0.401151, 0.229236, 0.319343, 0.301704, 0.240887, 0.253024, 0.298336, 0.416977, 0.5831, 0.599703, 0.492567, 0.458251, 0.478344, 0.397837, 0.602127, 0.551572, 0.431805, 14.6597, 241.874, 0.976987
-19715.913,0.99886005,0.0019728564,10,1023,0,19759.552,-0.14731334,-0.167528,-0.18269945,-0.13878793,-0.096127557,-0.20943334,-0.0092273037,-0.10857663,-0.14634567,-0.14415347,-0.07600629,-0.14698643,-0.10373901,-0.021963988,-0.14554176,0.023781994,0.059545134,0.069728857,0.10568724,0.16378718,0.15531038,0.14152354,0.10659692,0.093247885,0.13300016,0.12832662,0.14842235,0.2172277,0.15442532,0.15419241,0.31297025,0.672032,1.4056955,-0.56630748,0.90866319,0.33574617,0.21498356,0.30323458,2.3121474,-0.71810918,0.45265605,0.25648348,1.7416788,-0.21467365,0.69360255,-0.017036884,0.88245225,-0.17285949,0.19799763,-0.5684962,0.55020156,-0.544304,0.82685118,0.60884289,2.4365148,0.39385211,-0.74139432,-0.97271476,0.21224921,-2.4190109,-0.55418984,-0.015007246,1.2097268,-1.6629075,0.28121443,0.43894463,0.80224555,-0.96203856,0.28952736,0.099309457,1.0247726,-1.0757975,-0.71167464,-0.0085425703,0.84795858,-1.1275477,0.29560578,0.21602649,1.043023,-0.94268099,0.13752283,-0.51103071,0.66732002,-1.1665166,0.10976482,-0.50687096,0.83702613,-1.3312111,0.35747247,0.068653702,0.69307881,-0.57571236,-0.17992937,-0.13349274,0.054744341,-0.54427097,5.5178925,-20.980359,0.073720897,-0.063611016,-0.1810342,-0.093206873,-0.12732129,-0.15253745,-0.1463838,-0.0063046131,-0.21760094,-0.13485948,-0.15559242,0.0013737771,-0.20538772,-0.025184726,-0.14157836,0.0057464346,-0.1671001,-0.065376471,-0.18442092,-0.010675546,-0.18066362,-0.092414435,-0.12326774,0.13539086,-0.153694,-0.088257657,-0.1129157,0.013397808,-0.26708642,-0.16025366,-0.10997602,0.0042278391,-0.26363924,-0.10894411,-0.087965966,-0.039646887,-0.27429696,-0.10699941,-0.13140943,-0.012647867,-0.28220693,-0.18163472,-0.077274199,0.049849719,-0.24335957,-0.082772667,-0.10005949,0.079587054,-0.35176285,-0.082502007,-0.18265509,-0.00068790844,-0.28387871,-0.0050390866,-0.10011964,0.10709909,-0.22722663,-0.033663515,-0.1240552,0.071371281,-0.3257226,-0.0971363,-0.065929397,0.060571942,-0.34198551,0.24647455,0.2493203,0.24994361,0.24570827
-19709.828,0.93322484,0.0019728564,10,1023,0,19761.674,-0.13100325,-0.10412134,-0.24530536,-0.14357678,-0.054477326,-0.18294421,-0.063641168,-0.19129719,-0.16345433,-0.1036497,-0.044680047,-0.042949409,-0.096155873,-0.093308077,-0.14441687,0.11935202,0.09358355,0.066129395,0.14757821,0.086193623,0.13829755,0.15230307,0.1149263,0.23598993,0.18789925,0.35008462,0.14237817,0.16009595,0.19542021,0.08179946,0.26710686,0.64577436,0.2071132,-0.82560785,0.16986432,0.16355307,0.23823049,-1.0750985,0.19509152,-0.46687839,0.79331908,0.9741053,1.5087949,0.34682106,0.82759002,-0.36444166,1.7141622,-0.10763331,0.28943308,-1.1965262,0.34584455,-1.0675071,0.64767081,0.26293914,1.6891414,0.36442343,-0.14655294,-0.38285368,0.7101658,-1.6945798,-0.016773033,0.20148335,0.80727587,-0.53364165,0.1743948,0.43989441,0.56767428,-0.92540205,-0.029645182,-0.11237799,0.26706693,-0.5335755,-0.92992827,-0.2507887,0.53996019,-1.6040652,-0.12253162,-0.31635882,0.77748426,-1.7935941,0.1721857,-0.54264864,0.39973744,-1.098016,0.47963136,0.30137803,1.4745179,-1.996063,0.35054859,0.016809769,0.72466595,-0.67620819,-0.31385631,-0.33705919,0.030066782,-0.71842048,0.86122187,-2.2165478,0.015075556,-0.11162086,-0.20826656,-0.11510674,-0.11569737,-0.088367305,-0.17521696,-0.091220059,-0.13499573,-0.12822875,-0.10154864,-0.022640102,-0.19412213,-0.072243802,-0.17498933,0.00417307,-0.15285409,-0.014449438,-0.21995397,-0.0066478708,-0.20211095,-0.084301958,-0.14289777,0.074317207,-0.1274414,-0.080483956,-0.10764113,0.017975563,-0.25839296,-0.19525546,-0.14374915,-0.00078822098,-0.31723125,-0.13068567,-0.080798497,-0.056788754,-0.33733668,-0.11402802,-0.14299151,-0.010153677,-0.29044628,-0.17708153,-0.080386884,0.032198497,-0.27306391,-0.062566227,-0.093597176,0.081522674,-0.33009657,-0.062507308,-0.20220039,-0.018039098,-0.31073039,-0.054074491,-0.068655517,0.027306694,-0.25658495,-0.050782937,-0.13992687,0.049146377,-0.32503672,-0.083328343,-0.098312169,0.13876837,-0.34458551,0.24071072,0.23960758,0.25268729,0.2406009
-19709.693,0.97915784,0.0019728564,10,1023,0,19764.747,-0.14043188,-0.13709789,-0.31115188,-0.17020453,-0.081529927,-0.19848491,-0.083972719,-0.16254152,-0.19329514,-0.10419719,-0.039627238,-0.056204024,-0.16173053,-0.077782943,-0.10223114,0.1224721,0.14539303,0.064325097,0.17717997,0.10877408,0.079923885,0.19772653,0.10982924,0.17667531,0.37762706,0.52036505,0.14473249,0.14190433,0.32221759,0.054209155,0.27861819,0.60391992,0.83558628,-0.96728668,0.46044792,0.068007343,0.0053133795,-1.0684157,0.65053179,-0.78577668,0.94176693,0.95857251,1.8730828,0.68102617,0.7512146,-0.015900054,2.0419732,-0.036475597,0.32514399,-1.2716883,1.2346182,-1.1087254,0.48018519,0.36238249,1.3177189,0.14265812,-0.17363747,-0.28113754,0.91752264,-1.7014099,-0.055687281,0.2250139,0.70119946,-0.88090226,0.23098022,0.23395294,0.45004067,-0.44083261,-0.0080180345,-0.029861463,0.21249257,-0.32038965,-0.98108397,-0.26972988,0.45473816,-1.5292625,-0.063270564,-0.20919974,0.51141605,-2.0251706,0.29720491,-0.19609564,0.69630794,-0.43739718,0.64743417,0.18484507,1.8586408,-2.512512,0.22859361,-0.050293469,0.66040471,-0.70331623,-0.33221084,-0.28806497,-0.093288805,-0.71355212,1.3153834,-4.1718758,0.029981299,-0.018943454,-0.28106862,-0.073485958,-0.13054408,-0.13675611,-0.20582384,-0.095252371,-0.18764305,-0.14428965,-0.14131204,0.02072086,-0.19048769,-0.088491851,-0.17193404,0.051909222,-0.17417212,-0.055543156,-0.1831682,0.017145554,-0.17014357,-0.10353956,-0.12683228,0.062063067,-0.17027761,-0.10304319,-0.11484984,0.016798097,-0.27083727,-0.17238009,-0.12278712,-0.038656893,-0.3181752,-0.10607075,-0.10494817,-0.023347599,-0.35976546,-0.1083695,-0.11973605,0.0063765177,-0.27091677,-0.18162196,-0.078665915,0.026188146,-0.26096121,-0.065182391,-0.085890372,0.016368127,-0.3435845,-0.065965876,-0.22491599,0.062632143,-0.30266759,-0.042686083,-0.067762648,0.022972403,-0.2139841,-0.038540806,-0.11624382,0.08176962,-0.29818784,-0.078156639,-0.051496071,0.066133136,-0.30845623,0.24462757,0.24723385,0.24133622,0.24071195
-19705.801,0.99596532,0.0019728564,10,1023,0,19751.942,-0.13292636,-0.13509647,-0.37774843,-0.2066801,-0.041078177,-0.22071403,-0.01630342,-0.17225606,-0.09524629,-0.21529795,-0.089282482,0.056278081,-0.13167273,-0.094347497,-0.095552713,0.025880579,0.066967367,0.08189133,0.2511749,0.14204795,0.15647177,0.19597858,0.22851795,0.12074314,0.18355602,0.42361003,0.1545526,0.1880719,0.27521688,0.10859573,0.24906235,0.62045835,0.048883922,-0.43879413,0.60171574,0.12576964,0.15350441,-0.57899431,0.47942219,-0.84042915,0.86966511,0.78691292,1.5318422,0.66805671,0.80533243,-0.093056641,1.6340152,0.16383061,-0.094593062,-0.71839302,0.20281256,-0.83678488,0.7456136,0.39553121,1.3389075,0.37847877,-0.098745069,-0.36304441,0.48512901,-1.2958733,-0.0018539784,0.14321404,1.6487711,-1.1647396,-0.19099616,-0.11921124,0.44168413,-1.3324436,0.27463135,0.22492015,0.6118012,-0.1201208,-0.62755319,-0.016303674,0.98508549,-1.1882639,-0.69659377,-0.88885136,0.22825951,-2.1460626,0.1696999,-0.26561411,0.61926548,-0.56034115,0.42125558,-0.16150961,1.6104262,-1.1534811,0.26285309,-0.033964196,0.4841928,-0.82665301,-0.16748499,-0.1220162,0.084408108,-0.54168096,2.1475354,-7.4621324,0.019107804,-0.12965274,-0.16231125,-0.092631046,-0.1245039,-0.12252579,-0.18251108,-0.095835949,-0.20392033,-0.15931038,-0.18009565,0.0070118822,-0.20994935,-0.092284279,-0.2198986,0.025428401,-0.1834083,-0.055879321,-0.15348641,-0.0093437354,-0.17201139,-0.074589735,-0.14319838,0.041683167,-0.1465403,-0.03886844,-0.099265583,0.094557265,-0.31243373,-0.17247992,-0.15496395,0.026821733,-0.31289039,-0.13030479,-0.11712823,-0.014172509,-0.33982433,-0.098961359,-0.12001952,0.043867173,-0.26618233,-0.18627246,-0.091802257,0.062965042,-0.27293176,-0.074731635,-0.11088989,0.099207282,-0.347336,-0.084968451,-0.20477422,0.038759583,-0.28588807,-0.04860094,-0.11188675,0.080537914,-0.21961062,-0.030085905,-0.10401192,0.025041482,-0.30144086,-0.078036881,-0.049825392,0.078252295,-0.3102099,0.24736336,0.24516166,0.25144429,0.24256424
-19709.046,0.81475131,0.0019728564,10,1023,0,19766.259,-0.11842455,-0.086188247,-0.17810309,-0.22135553,-0.045858192,-0.28274814,-0.1288652,-0.11382159,-0.106833,-0.32481893,-0.1703234,-0.019624621,-0.17454512,-0.097573792,-0.12805179,-0.14194139,0.08446976,0.093034222,0.109047,0.30406993,0.10902789,0.32112073,0.1578704,0.087574023,0.18865209,0.47965964,0.18535108,0.11087133,0.16384202,0.16812015,0.86178761,0.80117284,0.86080194,-1.4177204,0.070363547,-0.14314294,-0.58171944,-0.65765588,0.70501643,-0.87924991,0.54798377,0.52213347,1.5269105,-0.16420646,0.5220352,0.080712518,0.81056739,0.25671879,0.081683065,-0.97632085,0.15803022,-1.0478299,0.47215256,0.36172124,1.1837025,0.45023075,0.37116543,0.20369123,0.96095145,-0.92944145,-0.8942174,0.13636033,0.79933875,-2.3333208,0.056445822,0.095013749,0.13366638,-1.3340744,0.46331012,0.44627936,0.7159789,0.084830866,0.017127443,0.39781361,1.0893687,-0.56860314,-0.30384338,-0.56483658,0.42335792,-2.9771005,0.6799213,-0.19256669,1.222786,-0.64032033,0.61621904,0.187426,0.65962952,-0.72385944,0.075432408,0.067513104,0.28682873,-0.25346521,0.087394983,0.074005761,0.36038809,-0.21485454,0.56393177,-1.0757722,0.02262145,-0.045712819,-0.23817905,-0.11248096,-0.1305158,-0.14030806,-0.14737275,-0.020597592,-0.16798858,-0.1183471,-0.121166,-0.011598085,-0.19600931,-0.062620319,-0.19681328,0.025113646,-0.14329506,-0.03695246,-0.1523044,-0.02862849,-0.16010088,-0.13113016,-0.16659195,0.097363272,-0.13816971,-0.070269165,-0.096708384,0.022840587,-0.27559649,-0.1921318,-0.10187997,-0.043820279,-0.31815988,-0.096184373,-0.088908453,-0.081616553,-0.35850892,-0.10258776,-0.11075673,0.018607252,-0.28412899,-0.16714881,-0.096588215,0.031592261,-0.27571461,-0.05331214,-0.082248803,0.027313635,-0.34969971,-0.063145436,-0.20609563,0.02579861,-0.27945649,0.0060250439,-0.066063706,0.013323222,-0.21926915,-0.063045081,-0.069869838,0.11913365,-0.34648497,-0.071922904,-0.082649985,0.14679176,-0.31407702,0.23794942,0.25004623,0.24545992,0.24191184
-19708.65,0.97798693,0.0019728564,10,1023,0,19770.738,-0.10924042,-0.16478564,-0.13043808,-0.1846244,-0.10401415,-0.22472218,-0.1756535,-0.1307117,-0.12908733,-0.12770994,-0.17458046,-0.049071712,-0.23540562,-0.042525209,-0.2065401,0.062474331,0.052079302,0.18427426,0.13158383,0.4252074,0.12657239,0.30460768,0.24645697,0.073395636,0.17107604,0.28586048,0.12480508,0.14658997,0.2802717,0.11645429,0.19342402,0.2918767,0.49620948,-2.0042854,0.65658888,-0.14643928,0.29711798,0.049164041,0.88011813,-0.06104872,-0.15636336,0.052110469,1.1398276,-0.84609456,0.21071291,-0.048379344,0.3969517,0.021514401,0.61440905,-0.53616067,0.93522778,-1.0694876,0.39761763,0.16180384,1.0806309,0.21352817,0.56431262,0.33498121,0.74740411,-0.33958335,-0.60040181,-0.3338705,1.3499191,-1.9616386,0.17151701,0.15984827,0.47334722,-1.2754727,0.037765454,-0.0065287314,0.46894894,-0.54162126,0.24489135,0.72755321,1.6837431,-0.71475801,-0.045560922,-0.14867682,0.67825889,-2.2868928,0.49919357,0.16208212,0.87153745,-0.1951203,0.058481324,-0.6566636,0.46616994,-1.7015609,0.96067173,0.39745605,1.3049555,-0.54093802,-0.58658463,-0.56055392,0.18007794,-1.2697898,-0.57754087,3.5660446,0.047770018,-0.083398175,-0.21362221,-0.075045728,-0.11686687,-0.11003445,-0.15572598,-0.0026025244,-0.17603535,-0.15101296,-0.12358118,0.019544806,-0.24177043,-0.095027709,-0.20519565,-0.015837598,-0.17547632,-0.026246932,-0.17187729,0.014359859,-0.23938175,-0.1036048,-0.17543549,0.10444629,-0.15967986,-0.036574719,-0.093095045,0.0085494568,-0.25934619,-0.17477857,-0.15521634,-0.031633526,-0.27468741,-0.099744882,-0.10174112,-0.048108967,-0.34729015,-0.11691429,-0.12957624,0.0063440301,-0.28253805,-0.14401677,-0.083778118,0.035559245,-0.26378589,-0.055750486,-0.070866242,0.050354238,-0.38430726,-0.095495788,-0.18997858,0.0088616657,-0.29009231,-0.035714808,-0.1189965,0.011762282,-0.24067928,-0.020723108,-0.12966255,0.045869636,-0.31117051,-0.10873606,-0.1011383,0.11503489,-0.30814772,0.24194267,0.24031971,0.2435655,0.25161055
