# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:38:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8ccd8bfa6e.json
# init = 2 (Default)
# random
#   seed = 264368307
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192038-1-1c3c63.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192038-1-424511.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00437256
# Diagonal elements of inverse mass matrix:
# 0.00582295, 0.00900848, 0.00788123, 0.0184443, 0.01089, 0.0124647, 0.0182033, 0.0188276, 0.0127633, 0.0176764, 0.0914183, 0.0545272, 0.0214251, 0.0170526, 0.0365968, 0.0466458, 0.420614, 0.523835, 0.385218, 0.432273, 0.27568, 0.374251, 0.350672, 0.349723, 0.29498, 0.439273, 0.509642, 0.372406, 0.353124, 0.344149, 0.350558, 0.321809, 0.396478, 0.33561, 0.312241, 0.281529, 0.294103, 0.242483, 0.20577, 0.277478, 0.287369, 0.215982, 0.305188, 0.280033, 0.28276, 0.236777, 0.278031, 0.265317, 0.48843, 0.400614, 0.286655, 0.350995, 0.284348, 0.300602, 0.194968, 0.282892, 0.30777, 0.207608, 0.279261, 0.257308, 0.294016, 0.231002, 0.259156, 0.253183, 0.377244, 0.528193, 0.456762, 0.465414, 0.398225, 0.537623, 0.399406, 0.450222, 0.433297, 0.3827, 0.443496, 0.378547, 0.407286, 0.319563, 0.438338, 0.401265, 0.285394, 0.432412, 0.44882, 0.310457, 0.290017, 0.332123, 0.39787, 0.460819, 0.423343, 0.478575, 0.483231, 0.547788, 0.442384, 0.475303, 0.524927, 0.514727, 5.29788, 85.6964, 0.683521
-19696.096,0.90542183,0.0043725576,10,1023,0,19744.035,-0.13042034,0.079701762,0.14829909,-0.17675465,-0.12176597,-0.10924866,0.039974221,-0.30812693,-0.20807819,-0.26151432,-0.18362065,-0.17189479,-0.1230988,0.27432138,-0.28471026,-0.093632272,0.12692368,0.18054019,0.18625259,0.2791848,0.1235199,0.08095623,0.24043271,0.41864928,0.1434505,0.48240327,0.24621536,0.88962788,0.30585558,0.62486297,0.29828699,0.10229148,0.36750265,-0.77689498,0.7633089,-0.071763116,-1.1915324,-1.182878,-0.73333023,-1.3713071,-1.3187884,-1.5208251,-0.91839828,-1.8880048,0.2193837,-0.013549469,0.76254657,-0.037303463,0.73262349,-0.31923493,0.99194965,-0.47611252,0.50657554,-0.62889446,2.0597514,-0.39842169,-0.49110235,-0.63010344,0.31968563,-1.4490752,0.33070605,0.51159439,0.69661984,0.077110151,0.58877364,0.72897838,0.93399976,-0.77935237,0.32325213,0.28951012,0.59263775,0.0096240116,0.067496114,0.39094251,0.88505763,-0.42582941,0.126888,0.10407753,0.30193154,-0.21029555,0.11658713,-0.23310222,0.33494427,-0.47499747,-0.50867463,-0.62968512,-0.30374987,-0.80430395,0.80579378,0.6906119,1.2144999,-0.093737148,-0.039330966,0.24849974,1.8860626,-1.9881281,0.036468757,1.07749,0.030732594,-0.083775549,-0.22902671,-0.033538362,-0.13952878,-0.13541772,-0.13385527,-0.052693819,-0.16787429,-0.097328667,-0.13495852,-0.022754964,-0.2033467,-0.11550606,-0.18053746,0.03613676,-0.18716921,-0.031272391,-0.16119784,0.00075954955,-0.18057534,-0.068238214,-0.16016158,0.057501053,-0.14150338,-0.07810285,-0.11152326,0.1168371,-0.30843087,-0.16967708,-0.093948304,-0.016487534,-0.27584482,-0.12361832,-0.10350587,-0.074095455,-0.31987668,-0.10557643,-0.12185369,0.024376074,-0.25687166,-0.16700207,-0.087364599,0.034294135,-0.2884664,-0.059011685,-0.079304517,0.096711924,-0.35897957,-0.087439975,-0.19439441,-0.020654227,-0.26837942,-0.043530563,-0.11914554,0.084519332,-0.22825838,-0.044352464,-0.078709718,0.077559259,-0.31267083,-0.097655495,-0.068212867,0.099295857,-0.29700084,0.25386072,0.25031837,0.23660448,0.23806601
-19702.558,0.77744311,0.0043725576,10,1023,0,19748.221,-0.14546523,0.14101796,-0.19552409,-0.12769313,-0.1090844,-0.030812814,-0.090408601,-0.088914927,-0.18204466,0.33421205,-0.21920693,-0.077584136,-0.030316475,-0.087601563,-0.13345316,-0.29291646,0.042055007,0.62562673,0.1099231,0.19660325,0.25190705,0.16349224,0.10088349,0.14713879,0.20529916,0.6476773,0.27761552,0.20428946,0.14438792,0.13016189,0.087126765,0.58741874,0.8980685,-1.8758511,1.2515265,0.04359187,-0.48761534,-0.44279022,-0.30447472,-0.52682741,0.22528984,0.59234773,1.3873938,-0.13481694,0.21189078,-0.32740315,0.84381512,-0.2274259,0.18330191,-0.34347811,0.56827081,-0.39582605,-0.59147558,-0.79400375,0.47350366,-0.76353854,-0.041180301,-0.21873623,1.2699603,-1.7451272,-0.53023946,-0.10577795,0.50273414,-1.2661806,0.3564955,0.38516298,0.75498797,-0.88532201,-0.64171036,-0.66937918,-0.47069086,-0.93748905,-0.079598154,0.5599011,0.90953087,-0.34050479,0.020575909,-0.074257885,0.78176038,-1.4459589,-0.38504248,-1.163316,0.37652942,-1.6154678,0.33403773,-0.073585058,1.15756,-1.023641,1.1354538,0.026871328,2.0260536,-2.5123712,0.33263301,0.34950299,0.62847498,-0.016150033,0.36778822,-0.28228334,0.030571107,-0.10769696,-0.22435417,-0.092832277,-0.14363198,-0.16404723,-0.13600344,-0.049469561,-0.18857935,-0.17075953,-0.13041139,-0.04301747,-0.21034358,-0.086034717,-0.19206166,0.038203663,-0.17240581,-0.062909357,-0.19560896,0.034067023,-0.20879577,-0.12751448,-0.16062627,0.046601362,-0.15564544,-0.094563014,-0.11247547,0.037709421,-0.26646312,-0.16693372,-0.10447897,-0.014943233,-0.27521922,-0.10885643,-0.10297102,-0.027046263,-0.36380053,-0.081409179,-0.099329646,0.029356265,-0.27297832,-0.24130461,-0.06376969,0.033292959,-0.31373634,-0.073380695,-0.092754239,0.082121266,-0.37297829,-0.085911957,-0.19828525,0.024049823,-0.2635705,-0.04412258,-0.097179533,0.063068637,-0.22084061,-0.034524744,-0.13111195,0.043070335,-0.35234793,-0.097521601,-0.087611857,0.076261521,-0.30240329,0.26599287,0.24928917,0.24639469,0.23202829
-19702.329,0.99916728,0.0043725576,10,1023,0,19750.847,-0.17566959,-0.035367024,-0.068441293,-0.28600834,-0.34103358,-0.11644592,-0.14593822,-0.2482472,-0.20773549,0.11044372,-0.05407955,-0.10461403,0.10680314,-0.06781427,0.08912454,-0.0088253133,0.22792349,0.080525046,0.10391707,0.74088872,0.70614192,0.20075798,0.082839873,0.26820453,0.14843173,0.48010691,0.16001428,0.14247171,0.31167405,0.14888379,0.59639894,0.20215392,0.60061088,-0.13279505,0.56405554,0.22792406,-0.96531496,-1.3999105,0.29915523,-1.7777386,-0.8384032,-0.50747336,0.5317871,-1.4489512,0.26441945,0.096570081,0.44024548,0.15734856,0.45408203,0.20660112,0.45010061,0.24421767,-0.0059951622,-0.056770437,0.89538154,-0.096768174,1.0781809,0.32616531,2.329225,-1.3133781,0.35884473,0.51248971,0.88360626,-0.30868724,0.46330378,0.83517636,1.2517179,-0.88092154,-0.42417271,-0.4586569,-0.15518402,-0.86612683,-1.0301408,0.018476933,0.81607616,-1.3557852,0.085679553,0.075381819,1.4103278,-1.6528801,-0.63000378,-1.0354442,-0.17024701,-1.2575901,-0.0076784373,-0.15651366,0.90273516,-1.0385843,-0.17291465,-0.37794389,-0.099906843,-0.83534918,-0.38237532,-0.32687178,0.5678942,-1.3933767,0.15164454,0.63094826,0.039191869,-0.038776262,-0.2059367,-0.047108083,-0.12372034,-0.11309906,-0.14809488,-0.011277535,-0.17851951,-0.1555657,-0.12117644,-0.013179534,-0.21901206,-0.090102952,-0.21446066,0.040164568,-0.16943057,-0.020387222,-0.19514387,-0.023198664,-0.16858124,-0.11764949,-0.12784304,0.063309078,-0.1358729,-0.05662185,-0.11891872,0.047014492,-0.25473829,-0.15200342,-0.11079514,-0.01126,-0.33103852,-0.13896651,-0.083768823,-0.021940847,-0.3384922,-0.093204526,-0.10976063,0.035938805,-0.30538975,-0.21891678,-0.051122977,0.07650429,-0.27102455,-0.092407115,-0.093874251,0.096317795,-0.34010268,-0.08955269,-0.21591795,0.053741565,-0.28515505,-0.068957464,-0.091116617,0.066588358,-0.22244264,-0.014001572,-0.1362808,0.029540205,-0.40907682,-0.086123983,-0.074903725,0.10597672,-0.29050186,0.25682198,0.25190163,0.24254232,0.23785806
-19696.355,0.96892775,0.0043725576,10,1023,0,19749.806,-0.17295377,-0.2014796,-0.15513474,-0.036607056,-0.038411629,-0.076196416,-0.12193212,-0.16671951,-0.21783795,-0.066033429,-0.15590231,-0.11646648,0.099901067,0.044528152,-0.13171291,-0.28882602,0.056756755,0.18777006,0.080909579,0.26124135,0.19675153,0.18904055,0.20530978,0.13914517,0.25794061,0.37836431,0.34955442,0.14985944,0.59626237,0.18294813,0.13584422,0.37331321,1.5159779,-0.54653043,1.0171541,0.72139294,0.39592407,0.27881431,0.74310203,0.16180773,0.34473633,0.29221784,2.0806063,-0.32371383,-0.23451994,-0.57140915,0.25385888,-0.54917204,-0.050206783,-0.76927655,0.33065133,-0.77823997,-0.073669611,-0.26044158,0.82126489,-0.4562591,0.29537034,0.13184544,0.65305093,-0.70683406,-0.12278853,0.22748692,0.973857,-0.89976907,0.45994975,0.32052766,0.54999931,-0.2968805,-0.13109966,-0.13809083,0.10966316,-0.57753379,-0.031205679,0.26009046,0.64174557,-0.38507931,0.41150211,0.27153678,1.1594625,-1.5208529,-0.28894517,-0.52491377,-0.027741406,-0.63257103,-0.25000374,-0.6067221,0.057051555,-1.6827117,0.49694847,-0.22374739,1.3773668,-1.5065639,0.61882057,0.5480597,0.98206437,-0.015613389,0.71664973,-1.6370564,0.0472306,-0.08691178,-0.20397306,-0.1152234,-0.13200985,-0.12713691,-0.14912662,-0.061947287,-0.17109695,-0.12724226,-0.13149151,0.013206244,-0.18132629,-0.097873362,-0.18588275,0.029711379,-0.1800735,-0.048289891,-0.18976797,0.026644526,-0.19153153,-0.09012296,-0.12543044,0.079055953,-0.16244789,-0.061289698,-0.09486296,0.012145626,-0.26705206,-0.18380494,-0.13506581,-0.03121202,-0.29191803,-0.099198225,-0.13516084,-0.075970789,-0.29441548,-0.11563686,-0.11828207,-0.024540805,-0.2845516,-0.16681039,-0.064986541,0.068422688,-0.29050848,-0.054799008,-0.075774134,0.057289916,-0.34438065,-0.072386067,-0.21308526,0.083359911,-0.27727723,-0.0012095654,-0.066470524,0.054965628,-0.2633208,-0.064205335,-0.1621077,0.055394408,-0.3363709,-0.057812125,-0.084228093,0.077791587,-0.2946547,0.26138037,0.24531051,0.23286203,0.24235685
-19707.854,0.99214035,0.0043725576,10,1023,0,19747.024,-0.078052615,-0.22499251,-0.19680229,-0.128648,0.0013269849,0.25153267,-0.10223681,-0.18678794,-0.15138025,-0.16907182,-0.19737428,-0.13870646,-0.04095807,0.087321424,-0.24176277,-0.43532148,0.38614192,0.16942009,0.15149149,0.14783179,0.12597598,0.4233807,0.092104825,0.13502748,0.13068349,0.081355532,0.12025852,0.26794441,0.20072142,0.22303033,0.32337964,0.45641284,-0.027338081,-0.57041445,-0.0047164503,-0.17143533,0.72240451,0.37516587,1.3306374,0.27629688,0.31857331,0.1552977,1.2267917,-0.041382555,0.37668895,-0.39046204,0.96412957,-0.36839666,-0.17913233,-1.6098517,0.041267927,-1.6355798,-0.80781866,-0.99118691,-0.42391396,-1.0006068,0.35150121,-0.55015819,1.9709526,-1.9760661,-0.098757357,0.44559261,1.6280041,-0.97081127,0.6787883,0.61866647,0.99571483,-1.2923794,0.90235408,0.48835407,2.2454631,-1.2629726,-0.12735748,1.1427131,2.1278772,-0.64008519,0.17573771,0.24618577,0.76032576,-0.79739521,-0.00578129,-0.76255075,0.22884735,-1.3487456,-0.49775656,-0.73194815,0.02161293,-1.4581226,0.55709912,0.31067559,0.83460352,-0.24393848,0.64593139,0.75558525,1.2031494,0.2671169,0.50032048,-0.75739065,0.049937308,-0.088608994,-0.29831355,-0.079873835,-0.14425098,-0.10260267,-0.16143187,0.00044420308,-0.17818226,-0.14854114,-0.17327601,-0.010953783,-0.20307139,-0.0729614,-0.18637071,0.013880999,-0.18310874,-0.021239386,-0.20147567,0.0065257525,-0.20471678,-0.090482157,-0.16811673,0.072055682,-0.17210492,-0.069861855,-0.15290904,0.079297435,-0.28424204,-0.2001229,-0.12662069,0.033037345,-0.31787414,-0.062673822,-0.070530753,-0.021256756,-0.3202729,-0.095660324,-0.12934151,0.013609026,-0.27182163,-0.21269011,-0.059953299,0.058521077,-0.27434998,-0.091618524,-0.07274236,0.065018578,-0.35236405,-0.042118498,-0.19401834,0.0049764963,-0.3116802,-0.023693384,-0.075925212,0.092141763,-0.23788414,-0.06160826,-0.14129661,0.028131012,-0.32064751,-0.1405101,-0.090462667,0.11381134,-0.3134059,0.27397345,0.2591718,0.24101045,0.23959319
-19713.268,0.9592526,0.0043725576,10,1023,0,19755.293,-0.001944387,-0.05249227,-0.20645229,-0.12606363,0.058447059,-0.096056653,-0.097861113,-0.12065216,-0.015822201,-0.053973538,-0.082616338,-0.069500571,-0.30603523,-0.15131495,-0.06740121,-0.088067022,0.11197455,0.20190257,0.14370326,0.080556242,0.27496863,0.087436522,0.28579578,0.21654879,0.1256072,0.22690303,0.21963366,0.17839496,0.15907736,0.21184126,0.27578064,0.19887755,-0.45273377,-1.6517983,-0.89924046,-1.1681584,-0.2442957,-0.47898952,0.040203387,-0.73982876,0.36551152,0.38901192,1.5246597,0.17539353,0.57792083,-0.90408947,2.1207493,-0.64058203,-0.27368219,-0.84771048,-0.25915456,-0.85544427,0.14825723,-0.52714182,2.1115885,-0.60018613,0.0088438566,0.042645916,0.60420227,-0.61276694,-0.33019926,0.088708734,0.55361298,-0.92682801,-0.99485125,-0.93718838,-0.33834957,-2.2576438,0.017612645,-0.38193826,0.064216491,-0.97712055,-0.25852771,0.10035097,0.46435346,-0.97717508,0.26172959,-0.12722301,0.84747777,-1.3444603,1.2524813,0.53514696,2.0769733,0.19587708,0.50870852,0.33291702,1.2262159,-0.39733294,0.016433112,-0.27558948,0.49379074,-1.1588635,0.16288234,0.021873919,0.98705597,-1.1070612,-0.070314115,1.5622051,0.0205845,-0.052639045,-0.18690375,-0.10263643,-0.1327484,-0.1018162,-0.14920148,-0.044375102,-0.2018656,-0.15392709,-0.15055001,0.012646275,-0.18124767,-0.079508502,-0.19889368,0.044775963,-0.17766651,-0.016806958,-0.17464673,-0.012812315,-0.17677328,-0.083093557,-0.1421481,0.0885733,-0.14853484,-0.095333576,-0.08567309,0.074817343,-0.27298732,-0.19215641,-0.10144239,-0.00076794104,-0.32135564,-0.14078268,-0.13353981,-0.058321344,-0.29939852,-0.049977176,-0.14063649,-0.039402622,-0.27568515,-0.13939773,-0.060575887,0.019371311,-0.29723688,-0.022809331,-0.092196515,0.081685192,-0.30934551,-0.10679381,-0.22090546,0.024364207,-0.27487562,-0.043549491,-0.080789384,0.10844818,-0.23548646,-0.062869276,-0.14340346,0.068776717,-0.38699332,-0.055673381,-0.08371679,0.10823626,-0.30823664,0.25391982,0.24441252,0.23732795,0.24355433
