# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:38:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8ccd8bfa6e.json
# init = 2 (Default)
# random
#   seed = 264368307
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192038-3-1c3c63.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192038-3-424511.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00432622
# Diagonal elements of inverse mass matrix:
# 0.00896919, 0.0047984, 0.00804036, 0.0149236, 0.0166842, 0.012364, 0.0340005, 0.0233015, 0.0458122, 0.0135545, 0.0293205, 0.0450352, 0.0217513, 0.0381483, 0.0576184, 0.0315287, 0.531121, 0.432294, 0.413308, 0.354815, 0.39737, 0.356387, 0.384079, 0.376943, 0.440495, 0.346298, 0.355634, 0.319498, 0.327168, 0.368767, 0.375455, 0.323808, 0.395392, 0.335164, 0.273802, 0.299525, 0.3212, 0.239707, 0.332557, 0.27892, 0.305525, 0.210456, 0.276577, 0.274606, 0.337068, 0.271948, 0.257893, 0.209709, 0.521241, 0.327327, 0.266124, 0.378394, 0.345051, 0.29735, 0.328747, 0.298066, 0.301785, 0.213241, 0.252918, 0.253614, 0.294921, 0.243217, 0.244578, 0.220758, 0.400798, 0.511921, 0.438417, 0.51765, 0.432967, 0.493666, 0.502981, 0.463801, 0.381642, 0.357807, 0.397802, 0.392351, 0.457986, 0.38724, 0.348466, 0.365408, 0.307518, 0.349955, 0.40828, 0.330235, 0.351807, 0.311874, 0.5345, 0.458282, 0.510655, 0.461978, 0.397101, 0.454495, 0.44729, 0.449443, 0.491381, 0.402144, 3.96233, 64.5098, 0.632092
-19706.282,0.95399519,0.0043262173,10,1023,0,19756.33,-0.093894802,-0.027671163,-0.022453577,-0.06507985,-0.10112581,-0.60601668,-0.3409619,-0.043880804,-0.16741379,-0.1480118,0.33604002,-0.27144995,-0.18227279,0.077698544,-0.18829259,0.0019061203,0.1720985,0.13284167,0.13618239,0.14172487,0.15291545,0.49831303,0.24207381,0.11821819,0.12532745,0.13617105,0.71400751,0.16248169,0.21737621,0.20472414,0.22597943,0.1415332,0.48245624,-1.0910088,0.19474256,-0.20994341,-0.66266446,-0.67919639,0.1733707,-1.1786315,-1.0137367,-0.78220087,0.27419559,-1.3441113,-0.086840066,-0.68130305,0.81398294,-0.7749367,0.64390581,-0.4507041,0.67179492,-0.72148042,0.99913286,0.96815696,1.3092069,0.89379988,1.0833024,0.96890079,1.7118003,0.23659791,-0.94482128,-0.78813042,0.60735571,-2.1006699,0.21810075,0.53681285,1.0822957,-1.0917262,0.53185682,0.039802627,1.199555,-0.84380245,-0.76444105,-0.55411664,-0.36764853,-0.86133546,1.2142561,1.2022917,1.8999819,-0.43227305,0.48756549,0.0064526931,0.96211208,-0.58617905,-0.63981855,-0.86233368,0.078013196,-1.3875933,0.59394153,0.13843771,1.0708021,-0.4731591,-0.62522859,-0.56168682,0.68239376,-2.1137037,-0.12803485,1.8958291,0.07297234,-0.010864808,-0.28165578,-0.060379899,-0.13002575,-0.11570062,-0.11789674,-0.00464031,-0.18424254,-0.16050666,-0.12897556,0.014887032,-0.20549786,-0.077387247,-0.16163744,0.050281779,-0.17490766,-0.0026626641,-0.17004543,0.0016020116,-0.21145131,-0.10813576,-0.12357145,0.046378156,-0.16062456,-0.078722762,-0.10641639,0.073420117,-0.28368774,-0.15557586,-0.13705215,0.027919685,-0.29221819,-0.14007978,-0.1001364,-0.031772428,-0.30423705,-0.075588299,-0.14259184,0.015332858,-0.26291327,-0.20977664,-0.059603423,0.073536211,-0.27895997,-0.074155561,-0.076099551,0.037262326,-0.3416864,-0.076287648,-0.18087012,0.02686749,-0.30969416,-0.053287756,-0.098841976,0.093669728,-0.20637531,-0.054074017,-0.15700851,0.053686668,-0.29521681,-0.086584484,-0.077591213,0.098487493,-0.29725313,0.25660237,0.25146505,0.23694839,0.24146022
-19707.426,0.9803762,0.0043262173,10,1023,0,19758.207,-0.091697004,-0.12059734,-0.066699952,-0.12481086,-0.089362096,-0.47068034,-0.38124599,-0.067331969,-0.031461664,-0.15182789,-0.057585685,-0.21052611,-0.16004041,0.041772842,-0.11205014,0.032632482,0.071206455,0.10829748,0.078144791,0.12709427,0.070045512,0.5844261,0.44438599,0.075274002,0.57223008,0.086606167,0.36652592,0.19662382,0.15795442,0.15158674,0.19349594,0.24502605,0.77941119,-1.5754737,-0.31563168,-0.42846851,-0.20307773,-0.21845918,0.57459176,-0.59559058,-0.48737965,-0.9561746,1.2379605,-1.7281702,0.17629253,-0.27566411,1.1242554,-0.3730521,0.89484601,-1.0784396,0.8188747,-1.6660362,0.6724691,0.59933303,0.98587689,0.53616343,0.72988839,0.66066348,0.93520925,0.21746688,-1.4865041,-0.54313809,0.77097485,-3.0522037,-0.20307678,-0.13160488,-0.0076101919,-0.47820533,0.65619894,0.33655704,1.8826101,-1.2002627,-0.3972892,-0.059663589,0.26665937,-0.60051845,0.67905448,0.53938933,1.4860032,-0.77936172,0.62042822,-0.21777165,0.97417414,-1.032559,-0.62009502,-0.79391473,0.024801112,-1.6428675,0.42869765,0.069977433,1.2201513,-1.3838512,-0.42003853,-0.34223365,0.3742583,-1.4390658,0.59870087,-1.268614,0.033060249,-0.036197896,-0.2038809,-0.11417202,-0.12220673,-0.14259015,-0.14425592,-0.058370502,-0.1850983,-0.10478613,-0.14142002,0.030040215,-0.20174745,-0.10240509,-0.1598462,0.018075558,-0.17222365,-0.026682148,-0.16490195,-0.032003598,-0.20606045,-0.077671854,-0.12041448,0.10549184,-0.15733245,-0.056893823,-0.087656399,0.034347891,-0.28460676,-0.17922708,-0.10821615,-0.0092976064,-0.29708356,-0.14766831,-0.10676993,-0.035816445,-0.30510514,-0.094997013,-0.12267997,0.011217756,-0.25577804,-0.20320248,-0.079453937,0.040151887,-0.27769127,-0.077007826,-0.10446932,0.081657515,-0.36376719,-0.062041033,-0.19443841,-0.0061653018,-0.32313767,-0.052225343,-0.078574107,0.045532362,-0.20726409,-0.029098884,-0.09850979,0.12404417,-0.37981972,-0.070287899,-0.051223676,0.12433551,-0.31997613,0.25260635,0.25048904,0.23958548,0.24126995
-19706.647,0.97455016,0.0043262173,10,1023,0,19754.826,-0.088784573,-0.12058599,-0.064951905,-0.12532811,-0.08761699,-0.47213291,-0.38477623,-0.065069229,-0.032806417,-0.14980336,-0.055431708,-0.20901298,-0.16250055,0.0438744,-0.11642094,0.03436404,0.071482162,0.10917033,0.078609559,0.12653584,0.070453689,0.58215783,0.44893318,0.075750946,0.57285828,0.085827778,0.3651735,0.19598434,0.15953546,0.15189297,0.19160066,0.2468735,0.7743742,-1.5548037,-0.32959932,-0.43224584,-0.19350967,-0.22425978,0.56130232,-0.59945915,-0.49399268,-0.92570147,1.2450365,-1.7263622,0.18708766,-0.28932481,1.1291546,-0.37250292,0.889696,-1.0785572,0.82163108,-1.6544697,0.67171995,0.58362354,0.96855783,0.54633544,0.73521598,0.65936541,0.91990372,0.21860569,-1.4791985,-0.54450388,0.7851591,-3.0690579,-0.19567272,-0.12779083,-0.027645955,-0.477454,0.65194509,0.34503178,1.8827454,-1.2038502,-0.3789845,-0.065802684,0.26486416,-0.61284312,0.67802142,0.53475436,1.476261,-0.78470867,0.6289782,-0.22332144,0.95659099,-1.0344966,-0.60375091,-0.78668659,0.0037403212,-1.6353866,0.41598239,0.067875335,1.2038267,-1.3890375,-0.42688734,-0.33528893,0.35562613,-1.4223763,0.58607189,-1.0628457,0.032592112,-0.033430631,-0.1999253,-0.11234505,-0.11968244,-0.14171151,-0.14506851,-0.059308433,-0.18602915,-0.10378445,-0.13772089,0.032919867,-0.20066048,-0.10165481,-0.16193807,0.017550421,-0.17246308,-0.024934625,-0.16360533,-0.029730049,-0.20418049,-0.081085876,-0.13237189,0.091720619,-0.15407945,-0.054713387,-0.088765222,0.028199065,-0.28663689,-0.17711991,-0.10631591,-0.0055926851,-0.29755326,-0.14489916,-0.10601245,-0.048643632,-0.3063199,-0.093848365,-0.12019005,0.011788495,-0.25312715,-0.1938268,-0.079461104,0.041289662,-0.27922578,-0.076131398,-0.1042095,0.08031106,-0.36280359,-0.062156225,-0.19812824,-0.0098903668,-0.32753944,-0.047831117,-0.075617762,0.044442529,-0.20452932,-0.036718439,-0.10341598,0.11423306,-0.38256144,-0.07102313,-0.048409911,0.12215871,-0.31678298,0.25236501,0.2502883,0.23679431,0.24109672
-19720.65,0.99388548,0.0043262173,10,1023,0,19768.075,-0.12918149,-0.11141108,-0.099658603,-0.12078427,-0.1109689,-0.052368693,-0.01473465,-0.22187691,-0.13480033,-0.0066176593,-0.12452557,0.35525539,-0.013710099,-0.090331344,-0.31304555,-0.076783799,0.15135008,0.064105833,0.050820629,0.17640758,0.13589283,0.33739176,0.11941227,0.16548332,0.11005243,0.15900417,0.17990147,0.53465571,0.21469669,0.32504912,0.2837805,0.55259478,0.68165634,-0.56900921,0.61362229,0.015168524,0.56059248,-0.43173333,1.1567333,-0.85675285,-0.84999292,-0.31131835,1.9037373,-2.3994278,0.31769149,-0.29678528,0.86210909,-0.15155693,0.60876692,-0.63171283,0.81350837,-0.84084652,-0.13795261,-0.30374755,0.42491066,-0.2701142,-0.67136194,-0.81579184,0.47592931,-2.4852535,0.21772009,0.33921991,1.6209388,-0.41422603,0.13571789,0.3154838,1.1347566,-1.7263565,-0.82579263,-0.47854304,0.32794152,-1.5459426,-0.39483631,0.34353977,0.78753796,-0.97242898,-0.73898612,-0.85716225,-0.46566156,-1.2903526,-0.29866088,-0.67168082,0.060056056,-1.2583116,0.18812701,0.078847478,0.39940927,-0.31769255,0.92788286,0.65197146,1.2446533,0.19485931,-0.037668903,-0.062902363,0.27932388,-0.43043557,0.61066425,-1.2208295,0.02828339,-0.026012746,-0.21530108,-0.036309704,-0.12688573,-0.07547383,-0.1390877,-0.037257726,-0.16633393,-0.14285578,-0.11548,-0.0029094778,-0.22159903,-0.064741083,-0.17313944,0.03129831,-0.14752006,-0.028241838,-0.19681414,-0.00041894321,-0.22523391,-0.098912766,-0.15485061,0.090992661,-0.143503,-0.094903504,-0.11215021,0.042097149,-0.31150441,-0.18584787,-0.16574168,0.046361423,-0.29042441,-0.11986425,-0.10008057,-0.0099176104,-0.32479005,-0.13792213,-0.082707999,0.045526411,-0.25242898,-0.1955572,-0.062722256,0.017153673,-0.29946698,-0.039847757,-0.1030313,0.10628678,-0.33463899,-0.077831603,-0.15791775,-0.0008162624,-0.28386544,-0.029180824,-0.06470204,0.03949629,-0.19359703,-0.049730487,-0.12802876,0.040162781,-0.25774827,-0.097599438,-0.11154332,0.077569117,-0.31464025,0.26038156,0.25257426,0.24435738,0.23984769
-19723.015,0.98111264,0.0043262173,10,1023,0,19772.225,-0.058478815,-0.091126887,-0.077055878,-0.084248752,-0.15257863,-0.050173805,-0.24666144,-0.143267,-0.28791827,-0.14350933,-0.17049345,-0.17658954,-0.19977576,-0.15789432,-0.1930332,0.61185055,0.053952132,0.077782827,0.12991154,0.11147333,0.21460054,0.24871356,0.22510682,0.073660856,0.21039835,0.078437964,0.37703519,0.17949025,0.15622278,0.18939154,0.11718323,0.62821015,0.35451948,-2.2218357,-0.24609761,-1.5434312,-0.18908854,-0.79414722,0.23530484,-1.2664847,-0.66551567,-0.16608864,0.10778387,-0.70669717,0.16356911,-0.91054893,0.9677215,-0.97488062,0.53470868,-0.022426379,0.51582889,-0.21878055,-0.11877679,-0.2798519,0.54624934,-0.37298584,0.66308066,0.61412449,1.2510665,-0.29609415,-0.16743273,0.53971679,0.99469606,-2.1599733,0.66678413,0.91558675,1.0737136,-0.12468847,1.1185781,0.073516062,1.8250075,-1.5383927,0.025367289,0.19041665,0.59553619,-0.34688011,0.74068234,0.5913637,1.4122121,-0.96411379,0.89003037,-0.075472115,1.4694453,-0.4348862,0.62095678,0.3679243,0.99213531,-0.36226149,1.3874569,0.86667574,1.9777707,-0.70863154,-1.1072007,-1.1239523,-0.75727477,-1.5390321,-0.0036263336,1.300382,0.041966312,-0.039351734,-0.17835159,-0.071756306,-0.14175022,-0.10583473,-0.1528979,-0.072824211,-0.18963765,-0.16351405,-0.098632709,-0.063053508,-0.168864,-0.066015159,-0.18575067,0.023626384,-0.19292194,-0.03782986,-0.15739134,-0.041881474,-0.19952906,-0.079715204,-0.11977677,0.085685814,-0.14294044,-0.09739746,-0.10841783,0.03496217,-0.31331425,-0.15560024,-0.103511,-0.06999684,-0.30237248,-0.14762799,-0.095280334,-0.062010716,-0.31415252,-0.055770344,-0.13774288,-0.00035946138,-0.26417772,-0.16092909,-0.098699677,0.054044645,-0.30127946,-0.043644287,-0.070445526,0.07688876,-0.34963857,-0.060732738,-0.21156622,0.029785066,-0.26771489,-0.040290362,-0.088212572,0.030007712,-0.22650358,-0.030446523,-0.09147334,0.038728358,-0.27607293,-0.083704198,-0.094227688,0.13612285,-0.35498502,0.25232862,0.25093833,0.2430688,0.23916698
-19703.786,0.71266926,0.0043262173,10,1023,0,19765.971,-0.1209189,-0.14020528,-0.080664665,-0.063486381,-0.098748198,-0.056014071,-0.065343741,-0.12059167,-0.36918984,-0.22593522,-0.17040827,-0.13323852,-0.14303502,-0.040712712,-0.1865535,-0.035656144,0.12810096,0.064553917,0.053841997,0.43181066,0.07773518,0.12503193,0.16239148,0.16171817,0.37563647,0.1905501,0.1810166,0.51320863,0.20596989,0.29289174,0.22483409,0.17718435,0.19778289,-0.93154524,0.19955343,-0.010739332,0.29866319,-0.69491213,1.6164417,-0.41867216,-0.38862387,-1.0172356,1.3592143,-2.7361692,0.033936173,-0.30335609,0.20684843,-0.23545433,0.69277187,-0.81399864,1.1072464,-1.1215123,-0.11839534,-0.51802517,1.3774776,-0.73391702,-0.15453758,-0.2985595,0.83551913,-1.0826963,-0.085914854,-0.19066035,1.0787262,-1.1484234,0.71297398,0.71082013,0.92960016,0.13325691,0.57455583,0.63343317,1.1382081,-0.23841723,-0.0021609202,0.47822528,1.1598981,-0.70335437,0.17310593,0.09475151,0.33147932,-0.43002291,0.28795434,-0.065497093,0.87972286,-0.81989731,0.0094667188,-0.15974178,0.16018623,-0.6450056,0.80566431,0.30696222,1.0916099,-0.82008565,-0.36372442,-0.30458719,0.87700483,-1.6521068,3.3148221,-12.151909,0.19613662,-0.095582725,-0.24025074,-0.095355917,-0.12229462,-0.1209254,-0.18506458,-0.035857639,-0.16723221,-0.10158895,-0.13543466,-0.0074818532,-0.22798548,-0.04883238,-0.19447878,0.025832976,-0.16515807,-0.044895452,-0.16202453,-0.012676199,-0.18592916,-0.070817268,-0.12078376,0.1162146,-0.14777713,-0.090439326,-0.11382726,0.070337446,-0.24116439,-0.13448566,-0.15142491,0.053857958,-0.30631259,-0.10137081,-0.10217988,-0.019998116,-0.31913368,-0.11645355,-0.10523447,-0.0090495489,-0.27136565,-0.17079943,-0.083841554,0.039552547,-0.29772709,-0.044399059,-0.084611225,0.03687953,-0.35392998,-0.083725096,-0.15652545,0.0381614,-0.31190917,-0.037939988,-0.087499761,0.0062045108,-0.22962952,-0.005412703,-0.11753793,0.058877606,-0.37093671,-0.10010242,-0.089624227,0.11973539,-0.32838362,0.25640131,0.2539523,0.24092866,0.24213237
