# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:55:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc7f7a9341.json
# init = 2 (Default)
# random
#   seed = 263229442
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192055-1-94ed73.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192055-1-877041.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00445465
# Diagonal elements of inverse mass matrix:
# 0.00474152, 0.00430907, 0.0141698, 0.0132639, 0.0147283, 0.023186, 0.0250797, 0.0262055, 0.0222103, 0.0110273, 0.0530647, 0.0348181, 0.0281446, 0.021197, 0.0669097, 0.036467, 0.382606, 0.493705, 0.423522, 0.416961, 0.315588, 0.328496, 0.369414, 0.374549, 0.469063, 0.395887, 0.402206, 0.292462, 0.338461, 0.35696, 0.379492, 0.32669, 0.2952, 0.292409, 0.311626, 0.271476, 0.324671, 0.297527, 0.254865, 0.270725, 0.303525, 0.206411, 0.280722, 0.279417, 0.32993, 0.271714, 0.238256, 0.263156, 0.529344, 0.331366, 0.319979, 0.39632, 0.376968, 0.339467, 0.24391, 0.297917, 0.313852, 0.198071, 0.278391, 0.279052, 0.311077, 0.245603, 0.21087, 0.262323, 0.303015, 0.500709, 0.490496, 0.472071, 0.383746, 0.491082, 0.473455, 0.478523, 0.37247, 0.392339, 0.461942, 0.413344, 0.440972, 0.414219, 0.381274, 0.430196, 0.265148, 0.376313, 0.434592, 0.340202, 0.423489, 0.387726, 0.484201, 0.43208, 0.743414, 0.408326, 0.406576, 0.543512, 0.42969, 0.46812, 0.43859, 0.45593, 2.31585, 36.4089, 0.67813
-19701.282,0.98966107,0.0044546515,10,1023,0,19753.724,-0.17479553,-0.20126845,-0.16550402,-0.0435968,0.028060459,-0.068671394,-0.068060142,-0.12264887,-0.10441152,-0.15328194,0.012617191,-0.17563638,-0.057861712,-0.80114362,-0.17028344,-0.027092555,0.23048514,0.22305901,0.072033752,0.13944434,0.24953428,0.10244577,0.1293091,0.13592483,0.32841765,0.12287326,0.14977578,0.21307192,0.31826783,1.3500963,0.30106185,0.30655604,0.31603457,-0.15839328,0.26385731,0.253651,0.38205434,0.13722479,0.94513133,0.081385908,0.93907723,0.15388492,2.1814103,-0.31282419,-0.22545799,-1.3423311,0.40860274,-0.89217234,-0.36483886,-0.83869852,-0.092281458,-0.86639985,-0.075805535,-0.60058267,1.4052679,-0.58929663,-0.14928458,-0.67875759,0.76046583,-1.8172655,-0.10975942,0.009574881,0.5229019,-1.3825555,-0.1179048,0.086385173,0.0088147823,-0.64878728,0.3000509,-0.0036009766,1.0114958,-1.2383061,-1.3028913,-0.46532427,0.10835796,-1.959539,0.46694714,0.3027489,1.1115861,-0.90565135,-0.00041472931,-0.43975944,0.17109922,-0.85709222,0.56276392,0.52713766,0.65024885,0.40285203,0.45967626,0.15282724,0.69954448,-0.50970935,-0.18870373,-0.22723798,0.49128106,-0.9595589,0.20584825,0.75498972,0.12178412,-0.10195426,-0.21130283,-0.11398034,-0.11633275,-0.11604778,-0.17065922,0.0095516143,-0.18311459,-0.097858759,-0.15441911,-0.0083688487,-0.18803792,-0.07503564,-0.23077727,0.013380538,-0.16800518,-0.062979343,-0.18122357,0.005033072,-0.18813601,-0.076437351,-0.13019855,0.075292364,-0.12904234,-0.087363996,-0.15582967,0.030275009,-0.3030491,-0.1375679,-0.12134741,-0.05157352,-0.31057249,-0.14313354,-0.076041102,-0.10151659,-0.31748471,-0.11641371,-0.1537244,-0.028996148,-0.30543665,-0.18252437,-0.057077114,0.028846589,-0.28087429,-0.076143054,-0.11112909,0.061211396,-0.36860525,-0.057993707,-0.19782299,-0.0034063339,-0.33064659,-0.041358147,-0.089457036,0.076754919,-0.2572546,-0.031892452,-0.12427299,0.040322717,-0.32373748,-0.084940825,-0.09675373,0.12351262,-0.32125114,0.23954894,0.2613551,0.26567667,0.24801143
-19711.969,0.9783939,0.0044546515,10,1023,0,19755.152,-0.095652974,-0.09613908,-0.096138833,-0.13043554,-0.095333617,-0.11569701,-0.26651648,-0.1220061,-0.16152587,-0.17882495,-0.062004142,-0.3109951,-0.14221966,-0.7842188,-0.34196908,-0.11545556,0.074979754,0.26644358,0.1192007,0.10381414,0.17439344,0.38032259,0.21745933,0.09737857,0.1337163,0.25125992,0.19159162,0.17541928,0.23700989,0.70222607,0.39098434,0.19025784,0.59265496,-1.4610013,0.044627585,-0.46134446,-0.11697262,-0.37645571,0.34316624,-0.31128549,-0.34999836,-0.22701803,0.7875506,-1.0166002,0.0037473095,-0.61457682,1.1346506,-0.73176663,0.26014776,-0.69279842,0.56881261,-0.41290097,0.067143611,-0.18363088,0.56130346,-0.17598882,0.68657922,0.63960979,1.3141616,0.044266372,0.1056747,0.18954185,1.0722275,-1.9383911,0.45823009,0.40276059,0.79534244,-1.1061105,0.21425433,0.18082874,0.9891401,-0.28391092,-0.63493503,0.053184373,0.44875324,-1.1875126,1.2331008,1.1780381,2.1276622,-0.16068305,0.22577945,-0.3314177,0.66504687,-0.76453767,1.061995,0.98452254,1.1428819,0.73010345,0.83590558,0.64937024,1.02563,0.094483515,0.11333384,0.09595588,1.149844,-0.99010018,0.95763205,-2.4307792,0.037472902,-0.05121585,-0.20519849,-0.092306809,-0.13024447,-0.12730569,-0.19644329,-0.0047046372,-0.1790791,-0.13785888,-0.12319954,-0.0022622511,-0.21731829,-0.13004652,-0.19423731,-0.012642767,-0.20640327,-0.049965555,-0.21615311,0.0038635681,-0.16734084,-0.090160781,-0.18553598,0.097779371,-0.18262953,-0.11721342,-0.12742736,0.019260213,-0.25689034,-0.11171565,-0.10354879,-0.017594125,-0.31076386,-0.10025304,-0.10767022,-0.055175624,-0.30943087,-0.12499143,-0.13338994,0.069706309,-0.25016039,-0.18365237,-0.051814462,0.023973217,-0.2895216,-0.094685446,-0.1043445,0.062237863,-0.339182,-0.088707698,-0.22076893,0.015403022,-0.32342265,-0.038458201,-0.092861398,0.018342639,-0.27152112,-0.015143089,-0.088075489,0.059036206,-0.30502751,-0.09389291,-0.097199203,0.10331128,-0.30382988,0.23761879,0.26134499,0.25924918,0.24788411
-19715.473,0.98366786,0.0044546515,10,1023,0,19771.613,-0.2276494,-0.12616379,-0.088448383,-0.27901615,-0.10864427,-0.20703204,-0.13247718,-0.1774894,-0.052025239,-0.13666962,-0.010090735,-0.23558986,-0.38436135,-0.59985533,-0.34462394,0.006671963,0.17438158,0.057722801,0.067640389,0.21089306,0.12858461,0.16782227,0.18121621,0.078419493,0.20337445,0.14470344,0.1986976,0.18785152,0.45400053,0.60307765,0.35160793,0.20810101,1.0079552,0.091685115,0.8194981,0.50536994,0.25194715,-0.85761649,1.4359603,-0.59412199,-0.58203414,-0.77383171,1.8016673,-1.9150534,0.84813429,0.28329969,1.5310669,0.41563819,0.47861795,-0.36623086,0.74660718,-0.34918284,0.68619078,0.12634947,1.5770129,0.20965026,0.55243862,0.16255364,1.3048848,-0.84350176,-0.044727417,1.257362,2.5602693,-1.2547141,-0.13461184,-0.35141453,0.040298306,-1.281972,0.47603666,0.2822101,0.84984576,-1.0408429,-0.9306661,-0.30808436,0.4361867,-1.4464047,1.0843113,0.79549184,1.7208462,-0.7321125,0.64701611,0.34555966,0.7607365,0.13104604,0.93371214,0.85430846,1.0391733,0.58478268,0.89563052,0.64794241,1.2773084,0.020342107,-0.51053507,-0.36390757,0.45014278,-1.6110836,-0.32709498,2.7467699,0.11433506,-0.051880581,-0.2116612,-0.084744027,-0.13952219,-0.11162069,-0.17566781,-0.043276139,-0.16045817,-0.1278174,-0.14079066,0.033417092,-0.21798334,-0.10015052,-0.21927022,0.043875223,-0.19136094,-0.047101369,-0.15573593,-0.012642077,-0.15354381,-0.091873949,-0.18582779,0.057625846,-0.17184806,-0.032366349,-0.10301983,0.1039891,-0.28533337,-0.1809969,-0.078887714,0.023285614,-0.27588344,-0.079401848,-0.12349398,-0.043829593,-0.31274559,-0.067785481,-0.09583285,-0.013694018,-0.28728318,-0.19501186,-0.071306359,0.076578515,-0.29748789,-0.031900336,-0.086155507,0.087673726,-0.37311831,-0.090615688,-0.22747708,-0.038986567,-0.32486638,-0.03675441,-0.084640998,0.026846874,-0.24718597,-0.029713145,-0.11680225,0.10448782,-0.33747149,-0.099570901,-0.069057571,0.10034713,-0.32859617,0.23774569,0.25809963,0.26368404,0.24453177
-19710.802,0.99149901,0.0044546515,10,1023,0,19762.27,-0.13817943,-0.095868698,-0.35759004,-0.048508448,-0.06552048,5.9987082e-05,-0.09905808,0.12930265,-0.083907655,0.068140799,0.17089548,-0.011417291,-0.18575129,-0.12275345,-0.20260397,-0.11119527,0.044198992,0.13557024,0.18647555,0.091555539,0.11563845,0.18879051,0.31569322,0.22381581,0.21531794,0.1705725,0.36105736,0.32671916,0.17712359,0.45948763,0.18807454,0.2208306,1.0528065,-1.9069849,0.46568016,0.5163395,0.096108131,-0.39026301,0.14244803,-0.57422778,1.4117784,0.98272545,1.7127904,0.90565618,-0.63254062,-1.2738539,0.53869141,-1.4163244,0.22107262,-1.0286291,0.24265905,-0.89765812,-0.50297341,-0.73209728,0.54210846,-0.67992907,0.13294654,-0.070099795,0.50806098,-0.73707648,-0.94813575,-1.1925166,-0.61419899,-1.9380574,-0.18510366,0.11683738,0.2087068,-1.108539,-0.95272431,-1.152156,-0.48326212,-2.0606017,-1.0538329,-0.69622978,-0.30987906,-1.2264268,-0.11206729,-0.10219833,0.27259954,-1.0541737,0.74947982,-0.15708226,1.0903221,-0.5938916,0.21259966,0.076207999,0.35020425,-0.27833545,0.73732242,0.35456884,1.4608043,-0.57819382,0.08087663,0.10859,0.87020277,-0.85267827,0.18614464,0.35803921,0.063394028,-0.091646449,-0.22246624,-0.11759684,-0.11535775,-0.082839295,-0.14877675,-0.076556985,-0.1737169,-0.094327881,-0.17433576,-0.038196497,-0.1887073,-0.10642105,-0.16513683,0.00081173388,-0.17818079,-0.039955985,-0.18446956,-0.037459764,-0.16932428,-0.094896617,-0.13815303,0.10240492,-0.12830417,-0.057087759,-0.12118811,0.061333326,-0.33174813,-0.082905114,-0.1376014,-0.0081647894,-0.30446522,-0.12376379,-0.058750471,-0.038969338,-0.32259599,-0.094367769,-0.12838532,-0.014290429,-0.28334118,-0.20959863,-0.0804834,0.059011368,-0.27191492,-0.048031821,-0.044807444,0.077646203,-0.35583603,-0.053000735,-0.21357426,0.0073704721,-0.2909435,-0.025066536,-0.087736818,0.038161068,-0.25064515,-0.063932393,-0.1359186,0.072136137,-0.31134751,-0.093335237,-0.087215276,0.080972127,-0.29949272,0.23005045,0.25794,0.26673323,0.24966776
-19722.712,0.98640742,0.0044546515,10,1023,0,19770.676,-0.062039516,-0.090105794,-0.12459384,-0.1298324,-0.025062544,0.015110127,0.0079592351,-0.19978597,-0.091205223,0.1538037,-0.030885227,0.062793715,-0.091443447,-0.38519816,-0.21291888,-0.1064154,0.28971192,0.043355075,0.095251286,0.18478031,0.15865037,0.17966309,0.23144952,0.087774868,0.073203556,0.27389911,0.16609964,0.14249665,0.21083183,0.94359455,0.30716705,0.28181148,-0.083095355,-0.55993093,-0.034018251,-0.13857228,-1.8609831,-2.0901677,1.6222182,-2.2913296,-0.46780543,0.238652,1.3122614,-0.92101938,0.3100883,-0.12116921,0.40532362,-0.21170517,-0.11085954,-0.87359078,0.62128848,-1.2251735,-0.51661301,-0.8533252,0.59134261,-1.0105827,-0.3726181,-0.67715001,0.21930463,-1.3428843,0.61535305,0.85405185,2.1281552,-1.3216893,-0.63189588,0.01263074,0.44787843,-2.6387937,-0.85038468,-0.91507518,-0.6215404,-1.6398034,-0.94052438,-0.17869558,0.4635045,-1.6320898,-0.84492317,-0.92182782,0.00052188337,-2.6953256,0.2088608,-0.68054898,0.5943088,-0.92864813,0.35187826,0.29479621,0.41963574,0.16393052,0.63294914,0.33970485,0.81513753,-0.28851569,0.11771056,0.12559513,0.7384123,-0.7520896,0.98034243,-2.9292575,0.20469916,-0.08611323,-0.22425818,-0.071895008,-0.10218556,-0.17078886,-0.18072517,-0.0197744,-0.18944656,-0.1691529,-0.10186193,0.00040075105,-0.21232212,-0.072534186,-0.15222208,-0.054936574,-0.16895135,-0.04265045,-0.16365804,0.073505102,-0.21943677,-0.077706162,-0.13820091,0.12135257,-0.16645428,-0.078283043,-0.14876681,0.058717187,-0.3028507,-0.14577344,-0.12482169,-0.012987433,-0.31579707,-0.13746225,-0.090280608,-0.058418929,-0.28437431,-0.079115912,-0.096834583,-0.016435669,-0.295337,-0.18710599,-0.060566498,0.046102703,-0.30197475,-0.057605003,-0.068563658,0.062868082,-0.32128115,-0.047408942,-0.23492483,0.033855765,-0.28723203,-0.053167753,-0.10703006,0.010767838,-0.23051422,-0.018497755,-0.10857274,0.037464517,-0.30154139,-0.073243208,-0.071021246,0.10167767,-0.31836288,0.24323736,0.25852925,0.26324769,0.244032
-19715.539,0.98191015,0.0044546515,10,1023,0,19772.823,-0.16758007,-0.1835785,-0.098391027,-0.09244888,-0.17335525,-0.092893781,-0.24112169,-0.11609073,-0.1620588,-0.20108416,-0.42804055,-0.45354879,-0.15102547,-1.2870076,-0.056923194,-0.38067254,0.07724376,0.087736851,0.052827355,0.101621,0.13423242,0.12053552,0.56262512,0.10482598,0.085365664,0.15676054,0.54161728,0.30375415,0.13988871,0.9722821,0.13502465,0.47402559,1.3621431,-0.57176479,0.85511815,0.36046609,0.58692114,0.59391286,2.55637,-0.087239329,0.38466025,-0.62185828,1.2192076,-1.9128813,0.26280875,-0.70015696,1.1606661,-0.96880161,0.96219849,0.26722262,1.4893908,-0.15371008,0.033083561,-0.38248923,1.1459003,-0.45560261,0.31062645,0.19952237,0.50518436,-0.11392272,-0.66531504,0.091330014,1.1034887,-1.4723477,-0.0061527659,0.77849095,1.0297814,-1.6793366,0.60294375,0.49926562,1.4088846,-0.53290159,0.44426785,0.68257804,0.7928117,0.32802412,1.3063835,1.1745942,1.6046126,0.29370838,0.65972774,-0.62110134,1.1630957,-1.0616816,1.2953374,1.2470495,1.3595203,1.0513965,0.10197285,-0.4025463,1.0291865,-1.9311211,0.60297523,0.61267448,1.0466073,0.16862935,0.52159664,-0.846245,0.50461391,-0.062363018,-0.21174533,-0.10152753,-0.13973631,-0.13208389,-0.13147046,0.04070935,-0.19123261,-0.078070444,-0.13124216,-0.033983515,-0.19944349,-0.065741992,-0.16359953,0.025499176,-0.19089947,-0.044197021,-0.13748531,0.026569276,-0.19398813,-0.088906037,-0.13899732,0.045227905,-0.14781008,-0.06635544,-0.12886539,0.043107727,-0.30521747,-0.18583303,-0.10651697,-0.00041644445,-0.27043103,-0.16258403,-0.095602401,-0.074150828,-0.30541648,-0.10656637,-0.12281901,0.019773361,-0.2846221,-0.1874174,-0.058344492,0.0013599664,-0.25037702,-0.056729381,-0.096760928,0.033858962,-0.36433365,-0.058737007,-0.23791054,0.011678496,-0.29954275,-0.027574245,-0.074523643,0.034829698,-0.26475361,-0.043154346,-0.11127687,0.082042353,-0.31767214,-0.094846848,-0.090249158,0.1154461,-0.30073791,0.24141299,0.26000411,0.25701862,0.25132912
