# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 19:55:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc7f7a9341.json
# init = 2 (Default)
# random
#   seed = 263229442
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192055-4-94ed73.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192055-4-877041.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00198717
# Diagonal elements of inverse mass matrix:
# 0.00659302, 0.00452235, 0.00885563, 0.0133131, 0.0106023, 0.0124298, 0.0319089, 0.0209886, 0.0203602, 0.0152193, 0.0259925, 0.0432063, 0.0280172, 0.0102342, 0.78669, 0.0380484, 0.448557, 0.348692, 0.415981, 0.369079, 0.374281, 0.409679, 0.349764, 0.347231, 0.374882, 0.309756, 0.364485, 0.36912, 0.34267, 0.261755, 0.890703, 0.333582, 0.390531, 0.321027, 0.264011, 0.27239, 0.24607, 0.229459, 0.260985, 0.251893, 0.243607, 0.255237, 0.284543, 0.268331, 0.308308, 0.300122, 0.247404, 0.288817, 0.525701, 0.339108, 0.25285, 0.334523, 0.34063, 0.281325, 0.248747, 0.234589, 0.258251, 0.251834, 0.250598, 0.247731, 0.28502, 0.254898, 0.276089, 0.286688, 0.37764, 0.467244, 0.447347, 0.440362, 0.380388, 0.510395, 0.453117, 0.440932, 0.34648, 0.411606, 0.417447, 0.418957, 0.412553, 0.415705, 0.314616, 0.47715, 0.291186, 0.380391, 0.389382, 0.310176, 0.339923, 0.316163, 0.416351, 0.479109, 0.557338, 0.454749, 0.419781, 0.505045, 0.438777, 0.437114, 0.662411, 0.499257, 11.0072, 175.724, 1.01081
-19724.525,0.99859918,0.0019871744,10,1023,0,19781.07,-0.12111379,-0.10913757,-0.16183543,-0.096288869,-0.017877462,-0.10810692,0.11335324,-0.10016553,0.0008495688,-0.21549764,-0.19409753,-0.31244616,-0.19486455,-0.060877338,-0.30237464,-0.18656575,0.056364287,0.16714087,0.10633428,0.072379044,0.11578786,0.077521709,0.63916788,0.097413262,0.099897279,0.17640145,0.1818335,0.5345566,0.12799478,0.12479157,0.46226036,0.20899103,1.5285704,-1.8680794,0.74608443,-0.28457387,-0.1542743,-0.23527139,0.65468572,-0.38284158,-0.32817819,0.29671803,1.2276476,-0.56984756,0.65559227,-1.4743602,1.6945522,-0.90805676,-0.32422311,-1.821698,-0.13236667,-1.5840413,0.24918776,-0.75524539,1.5959618,-0.79865569,-0.324861,-0.35677188,-0.030702644,-0.62112279,-0.86842288,-0.22027591,0.83055049,-1.6965715,-0.8823079,-0.89133248,-0.013517114,-3.1019472,0.61501436,0.56807461,1.3391997,-0.39218745,0.056193905,0.71244783,1.4041428,-0.27028648,0.46803904,0.47795441,0.74709614,-0.11244382,0.98748013,0.034414941,1.411792,-1.0286345,0.30336579,-0.46197511,0.90073342,-1.3725436,0.57374664,0.43022316,0.82586707,-0.039511743,0.41645991,0.64939587,1.5129854,-0.57793642,-4.5651026,17.60075,1.5492304,-0.034957014,-0.22640676,-0.079061278,-0.1371536,-0.13492312,-0.14846104,0.00028716761,-0.17312605,-0.19673202,-0.13028413,-0.031294394,-0.22242976,-0.048837727,-0.20300165,0.026361198,-0.16201315,-0.055418561,-0.22880797,-0.033203915,-0.2012902,-0.088789461,-0.16665483,0.015614765,-0.17002008,-0.094287479,-0.11468389,0.093729094,-0.2836485,-0.18476143,-0.12162332,-0.019258895,-0.26543409,-0.087290589,-0.08819212,-0.00050075409,-0.30902652,-0.10700821,-0.11528845,0.020739131,-0.28468007,-0.1838796,-0.064550649,0.061222673,-0.24324467,-0.0622528,-0.056952472,0.086919017,-0.37255374,-0.06847224,-0.19045961,-0.014162535,-0.32652439,-0.023019844,-0.11852794,0.051526601,-0.23215921,-0.037154307,-0.10349953,0.079390972,-0.32063935,-0.09952936,-0.050847833,0.12963464,-0.30734928,0.244633,0.25923246,0.26493937,0.25410228
-19719.272,0.99802447,0.0019871744,10,1023,0,19773.586,-0.14329432,-0.11577937,-0.10129879,-0.16699417,0.072011586,-0.05282934,-0.030063666,-0.17204524,0.015145268,-0.221658,-0.29659808,-0.49882354,-0.15556637,-0.019885122,-0.56749916,-0.11609995,0.039430073,0.090799859,0.13581553,0.16295137,0.20602521,0.075902445,0.53966928,0.10470444,0.22717808,0.16199646,0.42767699,0.79881345,0.10051105,0.10180926,0.72339232,0.18510929,1.1288068,-1.9096881,-0.25863717,0.67408307,0.20818112,-0.51744326,1.0077904,-0.9063927,-0.0025191635,-0.60508856,0.7002785,-0.93510968,0.42665476,-0.085633658,1.2980515,-0.1599735,-0.53156718,-1.404324,-0.62201959,-1.2854656,-0.27559055,-0.56049001,1.8472001,-0.84583109,-0.10609752,-0.1188433,0.17545434,-0.49088941,0.20822083,0.28177263,1.5756445,-0.93893751,-0.76219095,-0.46192522,-0.4438895,-1.3296797,0.71145022,0.54304346,1.40007,-0.42570405,0.29535286,0.45286774,0.70297743,0.043174956,0.51122195,0.50394543,0.70777313,0.20657336,0.66771317,-0.68861997,1.7985827,-1.3189429,-0.34734312,-0.39215687,0.70457242,-2.1214801,0.70946018,0.58056667,0.89560552,0.32407796,0.15425892,0.35882958,1.3410242,-1.0437669,-5.1788346,21.961119,0.28347549,-0.098785383,-0.21859346,-0.1534924,-0.11671517,-0.096876558,-0.16276315,-0.024272151,-0.1980797,-0.10164094,-0.18347922,-0.0061900982,-0.22830121,-0.097470191,-0.18094829,0.044525101,-0.19306207,-0.037504651,-0.21731455,-0.056140127,-0.19282674,-0.073747336,-0.095371901,0.087377662,-0.11702999,-0.087321238,-0.094199747,0.064623652,-0.2949816,-0.15024359,-0.14254239,-0.0070682639,-0.27035616,-0.15800781,-0.089794017,-0.085696698,-0.28692882,-0.10640558,-0.13368688,0.0051483885,-0.29062055,-0.17028246,-0.10291697,0.0040491891,-0.27813315,-0.090452575,-0.096265154,0.066555148,-0.33380997,-0.088453818,-0.22478028,0.025211063,-0.28813469,-0.055247869,-0.059810323,0.051846876,-0.23587145,-0.054281119,-0.14752169,0.080374992,-0.33306366,-0.08754519,-0.04967726,0.13213609,-0.3093109,0.24368589,0.25661052,0.25687655,0.24690476
-19716.666,0.99981564,0.0019871744,10,1023,0,19770.856,-0.12576647,-0.11632172,-0.090764366,-0.20331171,0.053337618,-0.06771727,-0.0035167032,-0.15186118,0.056762566,-0.20373552,-0.27545352,-0.46780516,-0.18505582,-0.02769662,-0.54924832,-0.18653537,0.037443771,0.096257296,0.10820972,0.14841705,0.21988407,0.086707242,0.44578021,0.12715859,0.25713583,0.17313291,0.33242352,0.67201465,0.1193112,0.11985119,0.87065822,0.16129777,0.77593809,-2.6462205,-0.17860807,0.72214246,-0.026238125,-0.39100629,1.2565995,-0.61245131,-0.22591505,-0.30323194,0.22589857,-1.0855262,0.70725627,-0.33052515,1.3259162,0.27590838,-0.38879742,-0.95993927,0.054658053,-1.1278628,-0.43685651,-0.54369438,2.2031113,-0.67561202,-0.16531652,-0.22298945,0.16253522,-0.69180553,-0.022551029,0.44805356,1.3470475,-1.3092896,-0.54097498,-0.63866534,-0.38625495,-1.4677054,0.579466,0.42437632,1.1465242,-0.4846239,0.25746416,0.63550323,0.99644877,0.072107882,0.61706295,0.52183331,0.76541375,0.17916129,1.0978533,-0.13595138,1.5196572,-1.0477176,0.12353891,-0.55863767,0.55966692,-1.7541683,0.59054999,0.50481411,0.6813183,0.28065531,0.46243746,0.65550217,1.4193098,-0.80601048,-2.8657873,11.103015,0.66792814,-0.096712425,-0.22485095,-0.13245423,-0.098726737,-0.11884733,-0.15395893,0.0046351488,-0.17527463,-0.11521057,-0.12357701,-0.066319944,-0.20822885,-0.098342821,-0.25236727,-0.0065231347,-0.1623622,-0.032152741,-0.15773773,0.065356053,-0.19466144,-0.10559589,-0.11485951,0.12330843,-0.12629773,-0.077211536,-0.10292099,0.068938279,-0.31190992,-0.15472874,-0.094887322,0.019427478,-0.31834861,-0.082341487,-0.10746118,-0.042557422,-0.32063708,-0.10341088,-0.13026201,-0.0052344457,-0.28763986,-0.18986638,-0.064197301,0.055789482,-0.25148317,-0.053129823,-0.11712554,0.046564088,-0.34740615,-0.054069619,-0.20127634,-0.0037436984,-0.31006026,-0.012890334,-0.094650011,0.039380128,-0.23793578,-0.035081112,-0.10972776,0.043947056,-0.30489347,-0.11194524,-0.080804338,0.042396124,-0.31654306,0.23658593,0.25841238,0.26626357,0.2555775
-19714.856,0.99732466,0.0019871744,10,1023,0,19769.426,-0.13859972,-0.12871982,-0.11379677,-0.13423948,0.021077848,-0.065133858,-0.047982022,-0.16055985,-0.093067534,-0.17465125,-0.090399476,-0.26570264,-0.093735729,-0.021332059,-0.13267526,-0.069765304,0.047907501,0.26258043,0.17060183,0.14707871,0.12660646,0.14208804,0.14715611,0.10574247,0.22016465,0.14326257,0.64374543,0.20550179,0.16838248,0.10534887,0.1848349,0.18334243,0.86033113,-1.5505192,1.1719016,0.067679402,0.075011336,0.0094898408,0.5898459,-0.10309245,-0.3972041,0.0049992803,0.4108702,-0.5067503,0.21693853,-0.51917738,1.370597,-0.079564978,-0.25265591,-1.4550332,0.16890915,-1.7647087,0.0070433945,-0.73223074,0.75127075,-0.84388904,-0.41828853,-0.47891674,0.93989796,-1.6733144,-0.066347179,0.41769865,1.3091398,-1.1396692,-0.003721423,-0.023535148,0.1325834,-1.0286228,0.46930112,0.48550429,1.4117441,-0.694016,-0.15841613,0.0086386269,0.18513518,-0.26838887,0.98070381,0.73384499,1.589202,-0.38232011,0.3685176,-0.55869498,0.42415365,-1.2683563,-0.32536393,-0.45053848,1.075648,-2.4166931,0.57200031,0.085149641,1.140895,-0.94222841,-0.18668702,0.016601726,0.80680224,-1.479665,-1.8230546,8.07136,0.10458962,-0.097383403,-0.21288122,-0.082456843,-0.13535737,-0.10902331,-0.12622797,0.026162178,-0.15578988,-0.18156052,-0.11294389,-0.043701564,-0.2002493,-0.10233244,-0.21059942,0.067346173,-0.14594179,-0.010910023,-0.16313875,0.042462837,-0.20234567,-0.064133076,-0.16917509,0.041612727,-0.18504039,-0.10953573,-0.11845754,0.090329703,-0.29422046,-0.16757557,-0.11639136,-0.022128175,-0.28107129,-0.093886859,-0.098249141,-0.063877355,-0.3195339,-0.10741796,-0.10509665,0.027598853,-0.27407776,-0.19237914,-0.0848384,0.028780448,-0.26317358,-0.06416625,-0.11489618,0.060881226,-0.3442701,-0.031683823,-0.18781017,-0.022315686,-0.3073047,-0.05560878,-0.068795778,0.09198624,-0.27592794,-0.026949645,-0.11693664,0.078201938,-0.30683195,-0.10399296,-0.066721503,0.078155779,-0.34105068,0.24157525,0.25458869,0.26371632,0.25047551
-19707.334,0.99994259,0.0019871744,10,1023,0,19772.639,-0.12482551,-0.14853553,-0.11482245,-0.16948334,-0.024071569,-0.04900862,-0.063463454,-0.16104736,-0.15660882,-0.17229546,-0.09392542,-0.28225809,-0.09690233,-0.039760224,-0.15803936,-0.080872757,0.046665171,0.25905642,0.21966099,0.14626148,0.10883612,0.14513866,0.10471457,0.16432164,0.21624155,0.15269373,0.57990001,0.23300989,0.16951654,0.096219398,0.25131463,0.15757621,0.8670861,-1.5885303,1.323451,0.073037685,0.045216081,-0.12227665,0.34423171,0.0086766688,-0.01990482,0.05946233,0.38145586,-0.48731136,0.4090106,-0.18136987,1.3636482,-0.17811061,-0.29784689,-1.4108639,0.046434555,-1.5747848,-0.10021736,-0.71698604,1.0487095,-0.67814937,-0.17123505,-0.486105,1.0253829,-1.9960299,0.016659529,0.4352279,0.80679772,-0.63121569,0.10734455,0.2421266,0.6614175,-0.78169423,0.44564825,0.47845008,1.3355418,-0.64660805,-0.13932732,0.01256496,0.1811746,-0.31791596,0.9724911,1.0087823,1.5005263,-0.34925166,0.14742242,-0.54517599,0.6893998,-1.1157527,0.15863726,-0.38952949,0.80045018,-1.8698861,0.61148723,0.062499221,0.81799842,-0.67605629,0.065231416,-0.098951606,0.81078903,-1.4425291,-2.7282025,12.167831,0.12165282,-0.084362788,-0.19895455,-0.063066441,-0.12141719,-0.13682202,-0.18021209,-0.0593601,-0.14628779,-0.11919477,-0.1017609,-0.031031482,-0.22186575,-0.10966085,-0.19601077,0.02996585,-0.19553406,-0.056488068,-0.17762452,-0.019017813,-0.19546503,-0.063554033,-0.15307101,0.10319967,-0.14743431,-0.081394258,-0.11436573,0.043909069,-0.27247686,-0.15830984,-0.089529997,-0.028473036,-0.26476975,-0.13339647,-0.10425099,-0.013582874,-0.3256436,-0.10424776,-0.09923913,0.031633406,-0.27102845,-0.17472133,-0.086638999,0.011137734,-0.27828489,-0.055658042,-0.047201842,0.067379393,-0.36363718,-0.071911792,-0.18931867,0.019962335,-0.28604085,-0.024496243,-0.077240518,0.03725861,-0.21967954,-0.0043636714,-0.14233239,0.047535613,-0.32794219,-0.070593838,-0.096465176,0.046888301,-0.30818102,0.24296409,0.25222925,0.25670952,0.24842294
-19701.834,0.9947877,0.0019871744,10,1023,0,19755.599,-0.13266346,-0.16739451,-0.12362738,-0.12093849,-0.0019276469,-0.060499994,-0.055970612,-0.21020533,-0.12848298,-0.17271842,-0.058734188,-0.27226762,-0.09270088,-0.038129458,-0.17972136,-0.060614061,0.047013863,0.24637132,0.17566448,0.1388903,0.1058457,0.18026717,0.10717861,0.18437527,0.21705414,0.14632674,0.70774464,0.21043791,0.21226223,0.1087595,0.26441647,0.16560671,0.90443233,-1.469462,0.98006931,-0.057220756,0.26452842,-0.10808354,0.38547535,-0.13251717,0.098031962,-0.045230946,0.52011971,-0.47421787,0.49146006,-0.32648016,1.1098552,-0.28759679,-0.19809123,-1.4790835,-0.0053450515,-1.5978065,-0.18612722,-0.69811624,0.73285792,-0.52160656,-0.096553364,-0.38077988,0.99301073,-2.1599587,0.033636977,0.58557431,1.0837676,-0.63962011,0.015120055,0.20049184,0.53758965,-0.82078049,0.42338157,0.29735195,1.0644622,-0.66819578,-0.17880524,-0.034117125,0.070392971,-0.30782667,1.0309496,0.9070492,1.7752397,-0.28311385,0.11724852,-0.59415412,0.49003645,-1.0492448,-0.0049166942,-0.49769381,1.1033001,-2.0620347,0.47485259,0.15312858,0.92447777,-0.62035878,-0.12270431,-0.095756894,0.84099453,-1.565918,-3.3634328,14.606771,0.12940788,-0.090142605,-0.20174855,-0.086586619,-0.13535363,-0.10222229,-0.19402319,-0.072424435,-0.20004294,-0.10640664,-0.13157285,-0.032260818,-0.20693061,-0.05267945,-0.16628341,0.033209641,-0.16088289,-0.022894752,-0.15848228,-0.0024933976,-0.1710486,-0.094052621,-0.18634743,0.071610229,-0.15452853,-0.066319067,-0.09678207,0.050458898,-0.28747198,-0.2040035,-0.10223991,-0.010385384,-0.32813546,-0.12520111,-0.084965402,-0.011796926,-0.30663679,-0.11076638,-0.12920788,-0.016959142,-0.27049333,-0.18528264,-0.082880401,-0.00891394,-0.27659686,-0.055316746,-0.081390082,0.10131012,-0.33184551,-0.067813447,-0.21881736,0.01131535,-0.31541591,-0.038664195,-0.092258386,0.081864903,-0.26239531,-0.054162515,-0.13923164,0.064725785,-0.34375444,-0.080934717,-0.076472045,0.078660277,-0.31994058,0.242398,0.2543741,0.25172594,0.25048067
