# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 20:13:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc49f3128.json
# init = 2 (Default)
# random
#   seed = 2077288762
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192113-1-5e4dca.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192113-1-83a06a.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00641523
# Diagonal elements of inverse mass matrix:
# 0.00627873, 0.00326342, 0.00340569, 0.0240604, 0.00967165, 0.00985183, 0.021736, 0.030237, 0.0154378, 0.0164294, 0.0272379, 0.0744422, 0.0176423, 0.0481236, 0.224288, 0.0182339, 0.46409, 0.439573, 0.30416, 0.581452, 0.273774, 0.286898, 0.3317, 0.421698, 0.363112, 0.301179, 0.358547, 0.51696, 0.386048, 0.679812, 0.618383, 0.273372, 0.515336, 0.246967, 0.282297, 0.228771, 0.291243, 0.236453, 0.218445, 0.276485, 0.299096, 0.270399, 0.27634, 0.279401, 0.353016, 0.207782, 0.417742, 0.181708, 0.542243, 0.302419, 0.246862, 0.415805, 0.330771, 0.304444, 0.208997, 0.267771, 0.314441, 0.271959, 0.216293, 0.266936, 0.286231, 0.257137, 0.349567, 0.186686, 0.399123, 0.339151, 0.373006, 0.471708, 0.376663, 0.391241, 0.401211, 0.450316, 0.371863, 0.413604, 0.300083, 0.489391, 0.479185, 0.318456, 0.63777, 0.327721, 0.351306, 0.329256, 0.359228, 0.333035, 0.349781, 0.307623, 0.374499, 0.497851, 0.598122, 0.492892, 0.401532, 0.526942, 0.410847, 0.733562, 0.531449, 0.405761, 1.62425, 25.771, 0.525223
-19728.415,0.51136632,0.0064152279,5,41,1,19773.007,-0.2823802,-0.16604861,-0.39725844,-0.10229797,-0.31316971,-0.053822387,-0.18796036,0.6514177,-0.19268741,-0.16225497,-0.11578775,-0.32709363,-0.12268193,0.21853093,-0.11102153,-0.27773749,0.12765303,0.065206147,0.20634854,0.047008108,0.30464385,0.059080121,0.22857463,0.95904423,0.17264261,0.13996533,0.28185142,0.2459949,0.078585777,0.54255542,0.13075677,0.40446633,1.6891154,0.49910766,1.1222363,1.2423641,0.44814941,0.44558171,1.5430374,0.015837131,1.3750499,1.1681201,1.9219899,1.145427,-0.74921361,-2.336394,3.054161,-1.7210176,0.88352475,0.53062234,1.0027407,0.4044665,-0.86006279,-1.6456773,2.126553,-2.2289377,0.63435665,0.43772662,1.0712488,-0.38015569,-0.82795711,-0.82245633,-0.66907598,-1.0247287,0.43651611,0.483743,0.72882549,-0.78988241,0.36411329,0.12941833,1.5278721,-0.6319122,-0.21428783,0.1242138,0.47733471,-0.67229346,1.1962303,0.98989648,1.7757637,-0.057944718,0.76910623,-1.0397178,1.8315595,-2.2749376,-0.52899904,-0.51576725,-0.22153083,-0.87564712,0.49504551,0.076675446,1.6916581,-1.8216349,0.38359352,0.52026285,0.92497863,-0.11154904,-0.251075,2.2291712,0.012956264,-0.066759516,-0.2186676,-0.13912335,-0.12378866,-0.13682651,-0.13699394,-0.065433082,-0.16501593,-0.1135189,-0.15621856,-0.00065862897,-0.16090126,-0.13751708,-0.21212743,0.041272359,-0.18319975,-0.044009327,-0.15151888,-0.0076909267,-0.18995148,-0.104635,-0.1510492,0.071814624,-0.18550829,-0.042962524,-0.08790716,0.056899939,-0.27485431,-0.14262979,-0.1373543,0.0097442358,-0.33134247,-0.11732613,-0.10917276,-0.066861081,-0.32905477,-0.11129173,-0.14414089,0.051594158,-0.25070077,-0.17618508,-0.080777912,0.018749716,-0.30527461,-0.032827077,-0.083584141,0.10973519,-0.34134774,-0.062241116,-0.20438896,0.021252602,-0.30145966,-0.06848036,-0.061301383,0.098338183,-0.25655616,-0.046290976,-0.10099569,0.11017422,-0.34921262,-0.12258683,-0.067308688,0.096385218,-0.32285532,0.25689173,0.24689402,0.23796501,0.26517404
-19706.576,0.75648087,0.0064152279,10,1023,0,19779.797,-0.03634287,-0.044304732,-0.063586114,-0.17617022,-0.15334476,0.067284819,-0.023428327,0.17474893,-0.10962797,-0.056993891,-0.22289899,0.10885743,-0.31249098,-0.18472778,-0.15386936,0.28739171,0.11961876,0.081522609,0.19187793,0.11568673,0.19099777,0.2953405,0.19394323,0.67848014,0.19415381,0.13723931,0.1973576,0.41239887,1.8420485,0.2012628,0.19604785,0.24906262,-0.33124361,-1.4347312,-0.21710427,-0.92322268,-1.2325947,-1.1118747,-0.097682806,-1.8033909,-0.42262515,-0.36656816,0.41960153,-0.66377243,0.16386329,0.13397236,1.0438215,0.18758867,0.59169702,-0.22961381,0.68048112,-0.16230869,-0.5490342,-0.58749552,-0.086970366,-0.64875411,-0.28964957,-0.60544632,0.42084282,-1.474368,-0.57155526,-0.45584146,-0.26228219,-0.71107462,0.16562631,0.18408489,0.42858656,-0.92219423,-0.45984582,-0.53159862,0.81924934,-1.785141,0.19296587,0.74822472,1.5559168,-0.27347935,-0.34702041,-0.47643966,-0.035391851,-1.0358902,0.11752509,0.054518488,0.15992254,0.0061820286,0.775842,0.49119559,1.3467962,-0.26917334,0.47474752,0.21275632,1.1095605,-0.98998762,-1.5207363,-1.3788469,-0.72038303,-2.4273572,0.012996079,1.1737133,0.020310869,-0.075965818,-0.20796363,-0.062312613,-0.14677762,-0.14478907,-0.13494766,-0.052268089,-0.19132186,-0.14467855,-0.13392245,0.016926159,-0.19094939,-0.15721341,-0.1606714,-0.055413929,-0.1544687,-0.040331946,-0.19720049,-0.02337438,-0.18434536,-0.094867217,-0.1062264,0.041598948,-0.12431854,-0.079603901,-0.14085054,0.058191288,-0.30937202,-0.21303996,-0.13453044,-0.0032043226,-0.30770107,-0.077470996,-0.073887191,-0.026416262,-0.28867549,-0.12010281,-0.12995012,0.055439324,-0.30198541,-0.1848157,-0.075231148,0.084173027,-0.27687222,-0.034253392,-0.087625748,0.094261873,-0.31834251,-0.096004074,-0.21206528,-0.017905904,-0.30110338,-0.028579642,-0.085868377,0.086332207,-0.23890236,-0.060796132,-0.11215894,0.063657597,-0.34795431,-0.09136686,-0.05602753,0.10797122,-0.31717226,0.25766563,0.23966019,0.23790057,0.26840442
-19712.237,0.5366453,0.0064152279,10,1023,0,19765.159,-0.11430196,-0.063563021,-0.13461871,-0.12368971,0.005736289,0.17327986,-0.05545687,-0.088074407,-0.082105402,-0.073078457,-0.12659229,-0.041047177,-0.36481441,-0.15747757,-0.12345055,0.1463715,0.041359037,0.083046448,0.10538428,0.043288742,0.23753977,0.3202505,0.24733558,0.10019369,0.22197741,0.13556264,0.2262794,0.38185801,0.63123165,0.098063357,0.17287764,0.24709203,0.10933796,-2.1448372,-0.61881963,-0.54265118,-0.8412585,-1.4526018,0.64530661,-1.3313824,0.27986595,0.045781752,1.1532822,-0.81123469,0.68323024,-1.6115962,1.1629457,-0.89239327,-0.10320088,-0.6715528,0.02987732,-0.87762828,-0.72167618,-1.0086087,-0.14354154,-0.93509737,0.00015556939,-0.27194826,0.41063523,-0.9028767,-0.45669306,-0.2996441,0.68749346,-2.1432673,-0.091065554,-0.062586205,0.085537499,-1.0896368,-0.11108399,-0.50735994,0.4095262,-1.5868937,-0.34923467,0.12753356,0.75029236,-0.73021466,-0.1604792,-0.12585165,0.23148143,-0.84474645,0.46432264,0.27547803,0.64325019,0.11580935,1.3115727,0.70991167,2.1172292,-0.81624769,0.48534424,0.054886745,0.99126552,-1.0067699,-1.0415009,-0.99946071,-0.087240432,-1.7882301,0.71490512,-1.7402898,0.18401278,-0.10977985,-0.20301036,-0.13989574,-0.13674549,-0.13342655,-0.18419644,-0.0099725994,-0.1741296,-0.10512524,-0.12979403,-0.013080893,-0.22011009,-0.094113533,-0.19345368,-0.073347253,-0.16232029,-0.018778024,-0.15378421,0.012833341,-0.20273533,-0.057837294,-0.14972759,0.12731061,-0.12618553,-0.055418392,-0.12271935,0.046107831,-0.2787704,-0.13383217,-0.11809686,-0.019191897,-0.30281628,-0.1023199,-0.095998126,-0.06311801,-0.32398015,-0.088137296,-0.14185751,-0.017562006,-0.28820195,-0.20561691,-0.097734078,0.043183409,-0.29182483,-0.10232744,-0.089104639,0.04734586,-0.36362038,-0.07171927,-0.19092396,0.041225465,-0.29171189,-0.02886035,-0.087861247,0.050145038,-0.23752156,-0.039545384,-0.11396186,0.04791709,-0.29749854,-0.11097507,-0.10058728,0.12481508,-0.29548589,0.25830479,0.24729924,0.24771621,0.26324361
-19716.465,0.95498306,0.0064152279,9,599,1,19756.794,-0.13767105,-0.10668451,-0.21157069,-0.12100465,0.02906633,0.020957474,-0.018133455,-0.043994695,-0.064948667,-0.21614485,-0.090650072,-0.0070149553,-0.26961367,-0.095439547,-0.2232621,0.056492527,0.039956424,0.052865743,0.13334331,0.095400877,0.22582355,0.1831746,0.18647432,0.1188499,0.16948009,0.20952331,0.20123633,0.18159495,0.49075484,0.15696456,0.23905324,0.17261594,1.1683384,-1.8095732,1.3306384,-0.11873114,-0.20721695,-0.90568427,1.0204032,-1.5499987,0.37257662,0.48823035,1.9013536,0.042851195,-0.1544683,-0.36119481,1.6505077,-0.86484736,-0.18253439,-0.98463182,0.053270039,-0.99916033,-0.78058311,-0.95234561,0.039554217,-1.0472188,-0.30088462,-0.60792042,0.48072403,-1.3942563,-1.1082119,-0.57519629,0.3365854,-1.8782082,-0.097218724,0.0094692681,-0.06690525,-1.4540803,0.72909572,0.37432124,1.0375583,-0.31039634,-0.64604671,0.026327769,0.61099445,-1.051823,-0.11676649,-0.3122685,0.60801007,-1.7983844,0.41183428,0.12379108,0.61761053,-0.096155006,0.45374269,0.082214924,0.80735867,-0.74237908,0.6917641,0.52062886,1.0539016,-0.4049202,-0.88357669,-0.67980593,0.13510791,-2.291967,-0.29987467,2.4983902,0.086260005,-0.090988428,-0.20997512,-0.084503501,-0.14241512,-0.11763919,-0.15456418,-0.052740135,-0.18862634,-0.16189009,-0.14646844,0.041962099,-0.20585677,-0.13574106,-0.15546295,0.036455235,-0.20351185,-0.012154235,-0.19328673,0.041095959,-0.19656761,-0.12202552,-0.15348805,0.028202802,-0.17086641,-0.07424071,-0.131495,0.071509233,-0.27812646,-0.17570557,-0.11235672,-0.003991553,-0.26721955,-0.081425305,-0.063343815,-0.076287775,-0.31138633,-0.063382301,-0.13771583,0.0012478045,-0.28118012,-0.22065814,-0.085351968,0.032304208,-0.30231506,-0.02821916,-0.063721338,0.1033966,-0.33359248,-0.067504009,-0.2088626,0.033481681,-0.31680221,-0.024218024,-0.082534717,0.031287156,-0.21196676,-0.057893647,-0.09880408,0.028676504,-0.32005958,-0.096026895,-0.060852814,0.079814306,-0.33913751,0.25745163,0.2404536,0.25357611,0.2638314
-19730.087,0.99646931,0.0064152279,10,1023,0,19776.414,-0.13701388,-0.12930422,-0.23205701,-0.11653811,0.06208087,0.034236048,-0.04238304,-0.061617283,-0.16651666,-0.20507402,-0.077623742,-0.11792348,-0.2283764,-0.037463531,-0.082607572,-0.089766488,0.0062290859,0.17229913,0.10862011,0.13088951,0.23498616,0.17880967,0.20454864,0.43874936,0.12649385,0.10804751,0.1451005,0.20006194,0.24846282,0.1334775,0.14037995,0.26178969,1.0392076,-0.52859854,1.1598185,-0.73584242,-0.097132078,-0.54428287,0.78794293,-0.31768903,1.082312,0.64072332,2.0463389,0.36189034,0.27452766,-0.37930346,0.98809927,-0.79812668,-0.48843157,-1.0753542,-0.1592797,-1.0749978,-0.79077401,-1.2371017,0.12230626,-1.1539698,-0.20065694,-0.28630293,0.54257618,-1.2289898,-0.15175141,-0.20337608,0.16203975,-0.50499453,0.52963135,0.70543398,0.7283179,-0.93306344,0.71424143,0.68221238,2.0835289,-0.65154467,-0.97890978,-0.0082553953,0.89051576,-1.5322192,0.43736319,0.34743171,0.9114868,-1.0331044,0.64599606,-0.001421816,1.0600863,-0.23818629,-0.18843997,-0.66631559,0.4616832,-1.4806003,0.41169103,-0.090482185,0.94242028,-1.6714467,0.0062311291,0.027770481,0.36454308,-0.81391431,-1.8810383,8.6294828,0.042096678,-0.13054057,-0.14030657,-0.12978927,-0.14159751,-0.14603999,-0.22308368,0.0064576677,-0.18404176,-0.11449616,-0.16246157,-0.0097834471,-0.19274844,-0.080605318,-0.16618495,0.01279372,-0.22100452,-0.05269379,-0.19061249,0.024652344,-0.19052873,-0.10716199,-0.1869697,0.05610559,-0.17210491,-0.083427142,-0.10094591,0.068600178,-0.29377123,-0.12819812,-0.15084841,0.009477554,-0.28318331,-0.099521549,-0.077283597,-0.074388922,-0.28454345,-0.12790201,-0.13136267,0.020046087,-0.27547179,-0.21966404,-0.078821604,0.051590541,-0.29994952,-0.030423752,-0.048415618,0.064430339,-0.32460837,-0.067870393,-0.22872966,0.035015624,-0.28755683,-0.062616027,-0.12640167,0.024160789,-0.23509036,-0.024814407,-0.095309456,0.049689337,-0.31724517,-0.088135243,-0.082496463,0.00566713,-0.30284086,0.25623844,0.24450131,0.24966731,0.26437459
-19715.966,0.997379,0.0064152279,9,511,0,19781.167,-0.18726789,-0.14701368,-0.21530115,-0.092853017,0.080414576,-0.024354026,-0.10139736,-0.24165909,-0.096830778,-0.18922227,-0.055544498,-0.032951901,-0.25851001,-0.023353452,-0.07236232,0.067780308,0.079495895,0.05932311,0.1065683,0.077089295,1.7131073,0.089363997,0.089323443,0.17810595,0.25324237,0.27896982,0.32990151,0.29917729,0.25227523,0.066907329,0.23894557,0.20323766,1.2147625,-0.70339477,-0.24462855,1.0844599,0.49189059,-0.2623077,1.5782144,-0.60591799,0.4871102,0.75167745,1.8565176,0.18272475,0.43227832,-1.0713505,1.8349088,-1.1495866,-0.075778513,-0.13471316,-0.019339298,-0.17578027,-1.0792972,-1.4502032,1.1680776,-1.6988051,0.12688474,-0.082833276,1.6412534,-1.7975932,0.42813377,0.63903792,1.4017291,-0.33990951,0.067425443,0.11019524,0.19853337,-0.83874994,0.44240597,0.17169253,0.61778461,-0.39338132,-0.40908914,-0.11455679,0.17048563,-0.7074802,-0.12539995,-0.21914813,0.36546481,-1.0156432,0.76012857,0.27675786,1.1234992,-0.13734113,-0.47115944,-1.0797311,0.97922356,-3.1212677,0.016084252,-0.16979775,0.37011838,-1.0933304,-0.76193706,-0.79044258,-0.05179527,-1.7595978,0.10590835,0.96961629,0.09478633,-0.090699259,-0.24318489,-0.20671486,-0.10105778,-0.1178332,-0.16257459,-0.053389091,-0.18295862,-0.16339065,-0.13519617,-0.017455231,-0.19582849,-0.059528986,-0.17544268,0.048598811,-0.18147384,-0.049402145,-0.15036352,0.047284284,-0.22071589,-0.12080433,-0.15394998,0.080030058,-0.17616604,-0.090063577,-0.10879631,0.045205043,-0.26196457,-0.16540592,-0.12784263,0.0079972084,-0.30219899,-0.079755799,-0.068924674,-0.046553717,-0.3092378,-0.065804352,-0.14132523,-0.016879004,-0.29896378,-0.19050362,-0.093336956,0.0006989681,-0.28894328,-0.070468717,-0.098516043,0.076386867,-0.33680927,-0.066748397,-0.18869085,0.024921011,-0.29315777,-0.054877472,-0.095595377,0.042163781,-0.23218914,-0.06851906,-0.11293474,0.016075826,-0.33360878,-0.087073996,-0.09286739,0.057253559,-0.28983623,0.25245675,0.24827617,0.25571332,0.26018309
