# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 20:13:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc49f3128.json
# init = 2 (Default)
# random
#   seed = 2077288762
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192113-3-5e4dca.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192113-3-83a06a.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0050173
# Diagonal elements of inverse mass matrix:
# 0.00335367, 0.00442952, 0.00888111, 0.0138797, 0.0149106, 0.0319661, 0.0222756, 0.0232429, 0.0143167, 0.0162162, 0.0336914, 0.0343364, 0.0286129, 0.0782786, 0.0473965, 0.0343409, 0.318738, 0.462851, 0.411621, 0.421944, 0.340932, 0.475377, 0.319821, 0.420784, 0.289131, 0.350558, 0.354409, 0.344687, 0.382468, 0.676687, 0.351444, 0.358652, 0.420641, 0.274086, 0.280867, 0.266963, 0.263493, 0.308016, 0.276463, 0.271333, 0.287627, 0.231197, 0.300766, 0.263919, 0.308696, 0.328991, 0.289557, 0.263189, 0.385444, 0.336437, 0.255496, 0.356576, 0.329145, 0.309097, 0.277505, 0.231628, 0.291387, 0.228393, 0.291776, 0.268063, 0.245527, 0.31588, 0.273845, 0.253809, 0.305659, 0.45095, 0.532663, 0.471863, 0.350353, 0.678563, 0.45977, 0.366669, 0.353428, 0.366469, 0.470949, 0.405232, 0.473096, 0.45671, 0.414753, 0.361059, 0.242642, 0.381143, 0.404681, 0.292676, 0.371052, 0.330618, 0.459778, 0.543968, 0.581332, 0.457306, 0.445178, 0.514141, 0.355969, 0.618695, 0.459542, 0.527315, 1.52225, 23.3551, 0.659305
-19712.501,0.99780421,0.0050173019,10,1023,0,19775.3,-0.15224095,-0.024084415,-0.17626591,-0.059630629,-0.28345962,0.16965345,-0.074427697,-0.15611517,-0.10554793,0.0063546842,-0.15219334,-0.091287303,-0.16354685,-0.20273598,-0.042718597,-0.13403253,0.071110681,0.075746849,0.059531208,0.15858542,0.18981684,0.18799968,0.26579101,0.16658425,0.15707534,0.15549989,0.83101218,0.10707731,0.17636922,0.25167748,0.4242856,0.11830749,1.3899642,-0.84237791,0.040181005,0.0052623886,-0.78933308,-1.9950741,-0.1979222,-2.003459,1.329985,1.3440268,2.3160382,-0.67173661,-0.010624984,-1.0411116,0.58632701,-0.59148237,1.3168996,0.30814995,1.5182148,0.66548979,-1.2685904,-1.3925577,-0.22820946,-1.8614541,0.00046298316,-0.095952045,0.51695236,-0.88879407,-0.1224154,0.2453835,1.1710576,-0.76281259,-0.14077361,0.12137287,0.41171092,-1.2271646,-0.71636637,-0.81950998,0.23731668,-1.9634625,-0.076564199,0.094124928,0.24853734,-0.13439255,0.26601135,-0.064673501,1.3844718,-2.4362047,0.63502391,-0.077933398,0.89747068,-0.86182046,0.56440518,0.4261319,1.0531947,-0.22814161,-0.011537389,-0.14863788,0.26110474,-0.64331659,0.15451117,0.32279102,1.9708225,-1.513546,-0.17539153,1.9128813,0.03187386,-0.05339965,-0.21214302,-0.14938365,-0.15186674,-0.083873909,-0.17520499,-0.039076397,-0.17584012,-0.097090293,-0.09625437,-0.038389359,-0.2162552,-0.061315596,-0.22473574,0.033352284,-0.15343111,-0.033489898,-0.22496757,0.0047231188,-0.15713845,-0.068841133,-0.092146953,0.12675015,-0.18029932,-0.07430464,-0.099930887,0.062973592,-0.31066117,-0.17650765,-0.11523815,0.038964571,-0.28318773,-0.12765999,-0.086483242,-0.040878293,-0.29830523,-0.10504021,-0.12107903,0.043257402,-0.29896353,-0.21581912,-0.073974381,0.054344212,-0.26387519,-0.062803524,-0.098212368,0.056958215,-0.35214955,-0.051548177,-0.1772919,-0.0052606452,-0.31554545,-0.060687903,-0.095488174,0.062329427,-0.26015408,-0.047613745,-0.10578351,0.068064385,-0.31566856,-0.1157527,-0.095843937,0.099130531,-0.31309637,0.25731934,0.23274526,0.2445795,0.27598478
-19719.802,0.96096444,0.0050173019,10,1023,0,19772.276,-0.13897102,-0.13665592,-0.14628926,-0.16270029,0.030035963,-0.17235141,-0.017762698,-0.19591744,-0.28142892,-0.50479519,-0.51427672,-0.58486833,-0.14678945,-0.19302867,-0.19139479,0.043320058,0.088365186,0.041757207,0.09274861,0.1033536,0.080062778,0.070881745,0.18716533,0.15646,0.33525144,0.31564957,0.95898779,0.65235419,0.1326649,0.17498836,0.31477494,0.3909567,0.4417148,-1.2084062,0.29381433,0.22041118,-0.10769595,0.074757802,1.6415925,-0.50964498,0.2363922,-0.13233741,1.6640561,-0.69875043,1.0741737,-0.085274556,1.6565681,-0.096503314,-0.5769089,-2.3644203,-0.024709401,-2.0663008,1.949011,0.56844974,3.8755189,-0.3034831,-0.38557567,-0.62123907,0.60544067,-1.4013289,0.10724754,0.47610007,1.0217227,-0.74582223,0.3987747,0.59524546,0.80040558,-0.086395161,1.3574786,1.2395656,1.6392365,0.75233814,0.30770596,0.46649021,0.60925683,0.25515217,0.72171952,0.72708725,1.0129129,0.3196014,0.47392131,-0.38980083,1.3588729,-0.98436364,0.75168509,0.68397882,1.1824492,-0.25547478,0.49161684,0.14489455,0.85252012,-0.53933836,-0.27470689,-0.288431,0.13687261,-0.91403435,0.20890338,0.42507254,0.041126857,-0.099938808,-0.24575205,-0.11300806,-0.11949434,-0.141153,-0.13353424,-0.0681076,-0.15793727,-0.12436421,-0.15856337,0.0080496294,-0.21109739,-0.051680569,-0.17151373,0.0085119823,-0.17267426,-0.016152966,-0.15926609,0.02805766,-0.13539782,-0.034202102,-0.1320587,0.10235214,-0.19386282,-0.089929094,-0.13403711,0.095554804,-0.28004289,-0.17913749,-0.12142682,-0.036058704,-0.31260878,-0.14773913,-0.081872026,-0.0130918,-0.31039302,-0.076307657,-0.11352685,0.012629098,-0.26731999,-0.21919046,-0.066918302,0.069993145,-0.2695889,-0.11405157,-0.11054991,0.075909663,-0.37637502,-0.083916729,-0.19850234,0.033485276,-0.27737995,-0.061492525,-0.073340334,0.013886186,-0.23773378,-0.036646135,-0.14578562,0.076957173,-0.36116499,-0.064078441,-0.069443976,0.096831324,-0.3140278,0.26097579,0.24401848,0.25150522,0.2742151
-19718.407,0.97347246,0.0050173019,10,1023,0,19764.276,-0.11271425,-0.09322032,-0.025646373,-0.104764,-0.25022128,-0.059223782,-0.11931915,-0.070610198,-0.10711207,-0.026977578,0.25069146,-0.086908625,-0.083533818,-0.0059970838,0.01994763,-0.28323125,0.077446922,0.062755457,0.152297,0.17505358,0.16826848,0.033544579,0.25890979,0.14958748,0.18691745,0.86099341,0.41973778,0.096600118,0.16809162,0.13628529,0.22732886,1.0764256,0.53614345,-0.83290396,-0.16510414,-0.14816412,-0.32677294,-0.7967614,0.84928635,-1.2741803,-0.93216654,-0.55213036,0.34238747,-1.1583453,0.28975444,-0.57441937,0.73837504,-0.37845097,1.598489,0.80969522,1.851367,0.23416338,-1.6297351,-2.3912537,2.5379485,-2.0522726,0.10149197,0.089531868,0.61728243,-0.6157879,-0.2826069,-0.058049203,0.3615671,-1.5061156,-0.037480065,0.13870964,0.19209046,-1.069238,-0.090036106,-0.1032188,0.093944698,-0.31363612,-1.049715,-0.77667511,-0.46993448,-1.2397294,0.48046578,-0.1088883,1.7397987,-2.5835695,0.064491998,-0.74051771,0.70370634,-1.1728623,-0.34445922,-0.42267713,0.27089008,-1.5578868,-0.25368735,-0.69649203,0.11646849,-1.6312735,0.18414189,0.18387095,0.34339087,-0.038777734,0.1809789,0.41688894,0.05385463,-0.071191594,-0.1772201,-0.12550106,-0.12418911,-0.11372711,-0.14322145,-0.039922968,-0.17318209,-0.16761254,-0.10973417,0.026498213,-0.20205889,-0.05404145,-0.20531817,0.024491192,-0.1710132,0.018754021,-0.1139751,0.061305418,-0.21081897,-0.11389256,-0.13943738,0.025910631,-0.1280664,-0.093041881,-0.096138469,0.040501321,-0.27875266,-0.11288465,-0.079293632,-0.016524286,-0.29590624,-0.11411775,-0.081184818,-0.071207012,-0.30697132,-0.10449807,-0.11584828,0.053908187,-0.29701621,-0.18991357,-0.075308428,0.053442201,-0.2696698,-0.040495574,-0.097427248,0.081156135,-0.33648175,-0.072693254,-0.20800864,0.034753319,-0.28068215,-0.052941808,-0.063601757,0.030921248,-0.21831413,-0.037722825,-0.13838511,0.046424279,-0.35088792,-0.085016199,-0.08530785,0.086403474,-0.32497259,0.2682789,0.25252242,0.25403276,0.26024943
-19720.507,0.97821905,0.0050173019,10,1023,0,19777.801,-0.11719216,-0.17673491,-0.12136888,-0.094341332,-0.10445947,0.056405387,-0.00095971933,-0.11133566,-0.17590703,-0.084782475,-0.055037208,-0.18453081,-0.061863053,-0.11933937,-0.088626038,-0.09211767,0.044576329,0.22370564,0.088781168,0.12205758,0.054471707,0.13638654,0.1183428,0.097310004,0.23750428,0.21864657,0.13149561,0.6384422,0.19036566,0.091341212,0.12670518,0.17991893,0.56666291,-2.4733491,1.0726034,-0.57240915,0.15366057,-0.017591623,0.55563086,-0.078482281,-0.41462645,0.010136477,1.2575826,-0.93705241,-0.22087652,-0.89325745,0.91226247,-0.55277603,1.180716,-1.1711525,1.7428727,-1.351045,-1.1852183,-1.858569,0.34145121,-1.1751365,-0.39458101,-0.97518558,0.74026562,-2.4338504,-0.59098089,-0.16482865,1.0665821,-2.2202297,0.22406773,0.40872557,0.50312458,-0.5273475,-0.10238519,-0.22250014,0.54747882,-0.88229762,-0.9495299,-0.31953078,0.93349694,-1.6941231,0.14541701,0.1343338,0.40577981,-0.23655266,0.049286875,-0.65978852,0.35426153,-1.3011033,1.2218719,0.30255006,1.3192564,-1.2398606,0.47196843,-0.19632103,1.5935739,-2.0032703,0.033979519,0.032986007,1.0033291,-1.2263618,-0.94150672,4.8248965,0.029477085,-0.091932403,-0.22744498,-0.069379435,-0.14270805,-0.14236018,-0.18067026,-0.052437156,-0.19429184,-0.1581799,-0.12046895,-0.0097192242,-0.20456149,-0.12130099,-0.20337018,0.017007219,-0.16181184,-0.040143852,-0.16825414,-0.009522215,-0.1780532,-0.10524243,-0.1970784,0.10297473,-0.10386741,-0.047655542,-0.11636591,0.086645389,-0.2889884,-0.16884401,-0.12737513,-0.0075465465,-0.32738621,-0.12268998,-0.078832953,-0.056412786,-0.30115431,-0.10716864,-0.13343137,0.03492189,-0.27769382,-0.17989622,-0.097054102,0.06771354,-0.27780695,-0.09169046,-0.098766445,0.074536139,-0.33555601,-0.052480525,-0.18746413,0.0055761775,-0.30954844,-0.007732113,-0.09170408,0.0011631115,-0.23258974,-0.028825191,-0.11350093,0.11328804,-0.34245077,-0.086004111,-0.086182863,0.088400233,-0.31276338,0.25278993,0.24414266,0.24561563,0.26817776
-19721.138,0.99995802,0.0050173019,10,1023,0,19769.024,-0.18074927,-0.18583724,-0.17660154,-0.10031396,0.012698243,-0.13724394,-0.13468986,-0.095783013,0.082677604,-0.15427761,-0.21925963,-0.18477087,0.11700686,-0.081910881,-0.24040955,0.6226236,0.10556493,0.17644843,0.11944393,0.11136843,0.27748458,0.065563076,0.21877092,0.46449839,0.25631988,0.16183996,0.18320434,0.19205071,0.22486566,0.12329365,0.75002648,1.3947326,0.76263608,-0.11485099,0.082895066,0.41686578,0.46280561,0.24748418,0.97570203,0.097272527,0.92006802,0.72575322,1.4357171,-0.16081865,0.24055177,-0.85440102,0.70554499,-0.61503669,-0.269871,-0.71427087,-0.017724839,-0.55276057,0.61265603,-1.1212262,3.1441201,-0.026680589,0.26842876,0.083951115,0.93435479,-0.70878207,0.016279181,-0.011938914,0.27325581,-0.44143957,-0.72283126,-0.7845586,-0.40697614,-1.6213335,0.14006087,0.10990431,1.1274865,-0.86272307,0.026477209,0.71505576,1.1344375,-0.20220912,0.61068324,0.59265685,1.2726492,-0.87150919,-0.87086365,-1.3318422,-0.36494495,-1.7821986,0.51640561,0.16750979,0.76672493,-1.4357959,0.23024941,0.14232764,0.44880333,-0.19869778,-0.51487602,-0.47084182,-0.35318976,-0.66353301,0.67627281,-1.3298461,0.048370322,-0.10024165,-0.1928735,-0.17199846,-0.13674286,-0.10417592,-0.14216905,-0.01367615,-0.16867366,-0.066705004,-0.089914728,-0.005113857,-0.19581035,-0.073524092,-0.19546726,-0.021738528,-0.16880963,-0.062186798,-0.18550091,0.0077798732,-0.14068429,-0.097076323,-0.21075498,0.068894245,-0.1389932,-0.075965453,-0.1163238,0.069719795,-0.28975076,-0.08822136,-0.10132862,0.03114387,-0.30083098,-0.10259841,-0.11842036,-0.021638469,-0.3329024,-0.13161016,-0.1364907,0.028194752,-0.29390067,-0.21440889,-0.088258312,-0.011425752,-0.25630522,-0.067488714,-0.070950695,0.059642312,-0.35214483,-0.07882047,-0.18247871,0.03494327,-0.28374841,-0.018241351,-0.061257988,0.012621431,-0.2589354,-0.0677164,-0.13366005,0.096204831,-0.38943814,-0.095490748,-0.034074816,0.13001835,-0.30282749,0.2524385,0.2389173,0.24672998,0.27676945
-19727.376,0.98411548,0.0050173019,10,1023,0,19776.298,-0.039389696,-0.80364085,-0.11434685,-0.39084715,-0.12659973,-0.068283242,0.0075200031,-0.11258672,-0.24121536,-0.071352769,-0.11568435,-0.049153217,-0.38456976,-0.13316101,-0.071206149,-0.074379773,0.073620845,1.451435,0.073442706,0.36058192,0.090291816,0.038082988,0.58970677,0.082753861,0.10607914,0.14842766,0.12353346,0.14284655,0.25165221,0.36329301,0.16235182,0.11961211,0.069856937,-2.7035403,-0.32793599,-1.2671663,0.48409947,0.46241767,0.53790554,0.45212663,-0.62463684,-0.14995894,1.2131774,-1.7750966,0.741358,0.50795098,1.1838214,0.5979607,1.0074107,-0.40662711,1.5063144,-0.36224655,0.076245338,-1.4061102,1.6582742,-2.0283569,-0.097356745,-0.16712377,0.085430225,-0.51831287,-0.63262475,-0.34409593,1.4747288,-2.1288889,1.4098559,1.4009375,1.8940607,-0.67561112,-0.15206042,-0.49656886,0.87232455,-1.4501107,-0.82136873,0.084994834,1.0187418,-1.2338534,-0.42346225,-0.38852099,0.62716584,-1.9459602,1.2075937,0.67721573,1.4883809,0.31259036,0.28195906,0.099276577,0.41326782,-0.27374975,0.09303166,-0.3175128,0.81178115,-1.487338,0.074377311,0.067603611,1.6365261,-2.0248451,1.0891793,-3.19498,0.061344496,-0.03424677,-0.23842662,-0.063532621,-0.13267955,-0.10100192,-0.13247165,-0.022905912,-0.14740842,-0.16022187,-0.12536024,-0.025247816,-0.24471475,-0.12352686,-0.20768921,0.036017443,-0.17523333,-0.035638789,-0.16331483,0.0094081355,-0.15930763,-0.065379591,-0.12183212,-0.0051312073,-0.14552913,-0.049891928,-0.091034018,0.057898785,-0.2981326,-0.16493886,-0.14106199,0.0094527852,-0.28876049,-0.09165905,-0.092605105,-0.040295014,-0.3128836,-0.093922741,-0.14505732,0.058124323,-0.2865893,-0.21715087,-0.10518465,0.010164345,-0.26810653,-0.10964334,-0.1046521,0.040435259,-0.32712692,-0.080676136,-0.21414693,-0.010015424,-0.30590571,-0.030727251,-0.09709452,0.016976302,-0.23261237,-0.05610229,-0.12275493,0.060587994,-0.31267818,-0.065483346,-0.066293563,0.12136857,-0.31657578,0.25613,0.24768872,0.24762999,0.27222409
