# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 20:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc3f7d2da8.json
# init = 2 (Default)
# random
#   seed = 275632986
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192130-1-0a45e5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192130-1-756672.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00168493
# Diagonal elements of inverse mass matrix:
# 0.0126123, 0.0271549, 0.00650537, 0.0146541, 0.0212677, 0.0135854, 0.0215555, 0.0176187, 0.0116158, 0.026131, 0.0263116, 0.0232552, 0.0162665, 0.0106952, 0.0532364, 0.0245671, 0.614867, 0.600009, 0.468483, 0.357037, 0.396241, 0.384508, 0.289375, 0.318777, 0.279522, 0.396181, 0.336604, 0.282844, 0.320345, 0.295553, 0.409511, 0.364046, 0.389707, 0.334226, 0.245713, 0.245451, 0.262004, 0.281251, 0.24804, 0.264882, 0.271744, 0.289816, 0.318591, 0.243956, 0.271673, 0.233605, 0.284236, 0.216027, 0.511011, 0.386248, 0.241632, 0.357296, 0.317846, 0.288792, 0.233244, 0.265364, 0.290842, 0.29139, 0.279679, 0.228045, 0.302962, 0.225073, 0.283276, 0.220432, 0.376233, 0.463262, 0.430442, 0.434888, 0.3469, 0.582961, 0.388815, 0.405126, 0.346672, 0.442109, 0.454887, 0.359292, 0.387059, 0.37268, 0.383829, 0.417402, 0.268575, 0.465011, 0.389008, 0.315195, 0.321424, 0.308328, 0.399635, 0.417993, 0.502958, 0.439968, 0.514947, 0.41832, 0.463976, 0.417911, 0.55595, 0.390743, 12.6972, 208.261, 0.832524
-19724.386,0.99939529,0.0016849324,10,1023,0,19795.577,-0.12209431,-0.10606459,-0.085982912,-0.19804865,-0.022486466,-0.055785204,-0.20522657,-0.11712289,-0.020845784,-0.15051854,-0.094712031,-0.31388839,-0.078561695,-0.0013177443,-0.24423649,0.13818792,0.039987648,0.067433421,0.053508464,0.11385563,0.19972055,0.057878353,0.27598025,0.08326207,0.47828049,0.16167211,0.15022506,0.38283209,0.24833584,0.16172819,0.24748443,0.20755061,1.2480821,-2.2944229,0.3609888,-0.21210071,-0.12264752,-1.6625088,1.4315089,-0.7707832,-0.10287892,-0.39796885,1.0899109,-1.9111163,1.0581537,0.13757992,1.4441127,0.2171689,0.13959325,-0.82020221,0.10397774,-0.6674677,-0.087608808,-1.1257311,2.2183995,-1.4610619,0.62766721,0.37742491,1.0168984,-0.26360535,-0.095322765,0.15643703,1.3240568,-1.8103679,-0.20133686,-0.17641038,-0.1041606,-0.57057688,0.20482664,0.18100718,1.1105465,-0.88262901,-0.59197957,0.21671601,0.79453987,-1.2144813,0.61798725,0.53210396,0.94833641,-0.094441175,0.078623256,-0.73051535,0.28541153,-0.83229776,-0.18369827,-0.58261761,0.47791802,-1.4871297,0.6611924,0.44574638,1.2671801,-0.42203457,-1.110112,-0.97188768,-0.30279864,-2.1140939,2.5550306,-8.4819775,0.55451622,-0.072186445,-0.21384289,-0.10765922,-0.13057572,-0.11433513,-0.21817325,-0.0095330514,-0.15804114,-0.091487804,-0.10727761,-0.027663452,-0.18824381,-0.077571888,-0.1823844,-0.03362828,-0.17332275,0.0053931754,-0.1862977,-0.0017199747,-0.15579348,-0.060855857,-0.12094067,0.072612105,-0.14034906,-0.032002812,-0.10106474,0.075417315,-0.27797644,-0.12505966,-0.10409761,-0.0068791791,-0.26785787,-0.11714128,-0.10521943,-0.070663766,-0.29374158,-0.11740378,-0.12125473,0.029025848,-0.29321503,-0.1836422,-0.062155855,0.024647765,-0.27715756,-0.077303046,-0.11018192,0.049165215,-0.35004351,-0.059036723,-0.25997484,-0.0076837827,-0.28525106,-0.031026933,-0.095543435,0.075975073,-0.24182853,-0.08060166,-0.1339212,0.069370856,-0.34868347,-0.092216506,-0.063527957,0.07534188,-0.30059355,0.23359159,0.26085526,0.25114605,0.23764049
-19729.313,0.99987557,0.0016849324,10,1023,0,19782.348,-0.12608027,-0.1233966,-0.10872673,-0.19173853,-0.010540269,-0.070695127,-0.21418176,-0.14738589,-0.056844028,-0.14157098,-0.064039761,-0.26205659,-0.035474847,-0.027788573,-0.25808713,0.1698562,0.043338566,0.064900476,0.062835538,0.13289244,0.12871473,0.070016208,0.29302902,0.08088174,0.42858692,0.15457777,0.15485775,0.41325783,0.23657587,0.17128597,0.26926828,0.24960888,1.1899048,-2.5666424,0.45302739,-0.29845292,0.4832856,-1.626143,0.96051626,-0.53611232,-0.39864811,-0.27980791,1.0688289,-1.9721069,0.71104011,0.063530477,1.2857573,-0.035739409,0.046597076,-1.2177327,0.27022299,-1.0973857,-0.16928487,-1.1603826,2.4359445,-1.4695648,0.4621031,0.35854439,1.0924283,-0.18366579,-0.14397999,0.19750136,1.2396652,-1.7791452,-0.17208768,-0.10062269,0.098790272,-0.58748605,0.18457217,0.051284436,1.0422012,-0.84094708,-1.0658345,0.031212093,0.84762636,-1.3333799,0.53664631,0.43294125,0.85287549,-0.37247114,-0.15271235,-0.62094151,0.31188254,-1.1440728,0.084640195,-0.49867883,0.26683351,-1.165732,0.91870572,0.58481404,1.343739,-0.25163175,-1.2024533,-0.91601446,-0.15927041,-1.8676984,3.322087,-11.627756,0.56868035,-0.074511503,-0.23731487,-0.10644671,-0.13901479,-0.092031138,-0.22893406,-0.061058641,-0.15819055,-0.133776,-0.12630861,-0.041566291,-0.23264513,-0.097246672,-0.18329581,-0.020871103,-0.19648803,-0.0045425394,-0.16728041,0.02424141,-0.15178997,-0.082547811,-0.15194071,0.099860473,-0.17358848,-0.078772139,-0.10911785,0.10593144,-0.26800116,-0.15903124,-0.13141163,-0.047119605,-0.29128624,-0.13059856,-0.099969598,-0.01450381,-0.30863286,-0.11304023,-0.13364355,0.019530162,-0.27156271,-0.2290925,-0.059206326,0.067221748,-0.27052397,-0.040283302,-0.083140228,0.090400887,-0.41598321,-0.071602905,-0.18237463,0.038309036,-0.30613487,-0.013290895,-0.11320526,0.017916263,-0.22746211,-0.010708827,-0.10061526,0.10373915,-0.32584358,-0.13028682,-0.058789141,0.13010089,-0.29633789,0.23464241,0.25380657,0.24862844,0.24164239
-19724.854,0.99881329,0.0016849324,10,1023,0,19782.801,-0.095325506,-0.11726691,-0.057558424,-0.23054872,-0.068934456,-0.056840419,-0.21333559,-0.14706197,-0.013437599,-0.043236031,-0.12897912,-0.13368695,-0.030722885,-0.08656134,-0.24887187,0.021037149,0.067514746,0.051944768,0.09114644,0.10800988,0.089368064,0.11672426,0.55318574,0.09303765,0.2602657,0.1399499,0.15256428,0.1817503,0.22912631,0.1066536,0.15190922,0.14652673,0.16827982,-2.1378925,0.26357408,-0.624968,-0.39690305,-0.013196671,1.4751078,-1.5378482,-0.56743769,-0.98378179,0.89659124,-1.3455072,1.2667643,-0.062326667,2.3241521,0.60939148,0.042528972,-1.5278443,0.68223296,-1.7729366,-0.67382116,-0.7785337,1.2404927,-0.87759614,0.2888639,0.15280437,0.51673362,-0.070497303,-0.12156559,-0.14323793,1.3781908,-1.547292,-0.51368194,-0.35566004,-0.03113589,-1.0713813,-0.14964974,-0.69221532,0.38783633,-1.8603708,-0.17957587,0.22762676,1.2799871,-1.1422307,0.43063157,0.12885858,1.0005794,-1.2581967,-0.24301973,-0.71803701,0.29774372,-1.1977658,0.17221403,0.023340226,1.0079047,-1.2593927,1.3415306,0.78380544,1.9755659,-0.52770617,-0.7698353,-0.86139317,0.56009137,-2.3910543,0.90554521,-3.0436641,0.15603438,-0.083964137,-0.23966477,-0.077530369,-0.13752006,-0.13788395,-0.11795241,-0.04064278,-0.19715008,-0.10927835,-0.14722663,0.024162676,-0.18019661,-0.093725658,-0.23728062,0.020482675,-0.16472842,-0.065133724,-0.20547494,-0.0079646167,-0.22737837,-0.1354917,-0.14771419,0.08795517,-0.15927718,-0.053540203,-0.1288064,0.072514076,-0.2523337,-0.15837215,-0.16038849,-0.018838344,-0.29101838,-0.14713139,-0.10600371,-0.021541203,-0.2922814,-0.064179496,-0.14011149,0.011041623,-0.30359474,-0.15637599,-0.09425141,0.066301192,-0.30324273,-0.055419531,-0.11026686,0.04816865,-0.36236457,-0.086405098,-0.19524406,0.037498036,-0.30516254,-0.068194093,-0.084072021,0.020935325,-0.22088011,-0.045080989,-0.12980459,0.051234809,-0.3290353,-0.091764303,-0.10517998,0.10310551,-0.32931622,0.25169521,0.25376034,0.24888465,0.2401617
-19723.417,0.99874568,0.0016849324,10,1023,0,19770.204,-0.057532221,-0.11681205,-0.080970665,-0.19596046,-0.081418872,-0.053265535,-0.075795658,-0.16656206,0.06355267,-0.068022273,-0.1348734,-0.13696543,-0.00092284588,-0.13366486,-0.29640774,-0.0027472884,0.064130288,0.03917989,0.10261645,0.081403828,0.097028861,0.062597293,0.32663423,0.091422056,0.49144259,0.15856953,0.16307654,0.26618993,0.20535499,0.12262653,0.29281445,0.099444365,-0.422973,-2.4016423,-0.17034569,-0.87806944,-0.49967872,-0.26633982,1.7557306,-1.180538,-0.098749331,-0.59021651,0.35983705,-1.3435939,1.7012133,0.36325539,2.5139329,0.014541205,0.62789437,-1.3357093,0.57585154,-1.2025417,-0.24593332,-1.0855988,1.4664716,-1.6743928,-0.047163122,-0.1279168,0.42259003,-0.63254556,-0.34887165,0.61129777,1.7172208,-1.1805649,-0.30893398,-0.28657077,-0.12653658,-0.70125853,-0.27424799,-0.20091173,0.5726757,-1.4060473,-0.70585059,0.4761854,1.0524616,-1.0747251,0.39390834,0.1643628,0.78405865,-0.8182953,-0.4283832,-0.95769069,0.22930609,-1.3507587,0.91283888,0.31122483,1.3352476,-0.5647975,0.87518147,0.56083262,1.1669469,-0.22891861,-0.67756551,-0.50034724,0.99213836,-2.9607356,-0.077751886,1.2963228,0.089885896,-0.084657602,-0.21155023,-0.068456539,-0.11384307,-0.1363894,-0.12724721,-0.048022712,-0.1630654,-0.091103971,-0.14153659,-0.044045463,-0.2188455,-0.057475191,-0.16639009,0.008683301,-0.19477676,-0.020494997,-0.21102122,-0.025544654,-0.19810012,-0.068660295,-0.12122108,0.038531614,-0.15807799,-0.091200749,-0.11757766,0.062236713,-0.28240669,-0.19845663,-0.11067596,-0.0095702034,-0.27449173,-0.088270648,-0.077280411,0.0013672049,-0.28107564,-0.11150965,-0.099880753,0.022786646,-0.29097855,-0.24998107,-0.05721873,0.036758399,-0.31013584,-0.032110994,-0.093213706,0.07174309,-0.3547874,-0.088893476,-0.19758941,0.046166305,-0.27830789,-0.02172659,-0.095500435,0.030071925,-0.20292401,-0.040141965,-0.13218785,0.045291158,-0.36343842,-0.07012736,-0.052504001,0.095915281,-0.29717576,0.2374115,0.26273503,0.25101756,0.23797471
-19719.03,0.99934004,0.0016849324,10,1023,0,19775.937,-0.050189535,-0.11449109,-0.075108118,-0.19727863,-0.077713568,-0.037125851,-0.10727597,-0.16565661,0.034798808,-0.085516103,-0.11861657,-0.14559036,0.019793463,-0.13696543,-0.2979183,-0.015251299,0.078674707,0.060543805,0.11508849,0.089925274,0.094565577,0.07978874,0.25712871,0.11439518,0.51722424,0.14110348,0.12309757,0.23201637,0.24441861,0.13629824,0.33468879,0.10987213,-0.32997505,-2.620343,-0.54962566,-0.98447348,-0.30043696,-0.35857948,1.1804945,-1.1641957,-0.30031953,-0.58815653,0.47819822,-0.97258843,1.3345424,0.18712356,2.7039269,-0.047456768,0.50755475,-0.82221258,0.43144101,-0.85816692,-0.35163786,-1.3487767,1.1774409,-1.6810912,0.073648563,-0.11808423,0.65014382,-0.76173329,-0.2566828,0.49416674,1.6785647,-1.0935305,-0.29652131,-0.21019253,-0.18333034,-0.56695448,-0.23170233,-0.14485169,0.74738669,-1.3465634,-0.53678633,0.39380949,1.08964,-1.2650032,0.20953502,0.36083019,0.78362704,-0.91245552,-0.26545682,-0.76715244,0.035639811,-1.3624844,0.85528184,0.24524374,1.306812,-1.035988,0.74842009,0.51291301,1.1711753,-0.076493109,-0.61056147,-0.59044542,0.9947158,-2.8225986,1.0755734,-3.4297476,0.10991505,-0.076150225,-0.25634425,-0.093431173,-0.1276427,-0.13268068,-0.13620085,-0.043019459,-0.18497592,-0.10967144,-0.14279817,-0.020073004,-0.18704186,-0.077269541,-0.18045149,0.045872738,-0.20154619,-0.02971636,-0.15546658,-0.036914099,-0.15886662,-0.065182593,-0.14474304,0.056820674,-0.171258,-0.088338809,-0.13763881,0.05989467,-0.30313946,-0.19501988,-0.10912632,0.026363094,-0.29075122,-0.1185692,-0.073917866,-0.060024091,-0.2584438,-0.11821011,-0.10595518,0.019942759,-0.27552089,-0.18469366,-0.070139584,0.015515459,-0.27433539,-0.096974809,-0.061871853,0.036223938,-0.35729498,-0.045089125,-0.16771287,0.028504496,-0.31322309,-0.020392017,-0.10353914,0.041150744,-0.27816878,-0.047430492,-0.12625207,0.094060923,-0.32351969,-0.082334987,-0.080124793,0.094040242,-0.32537621,0.23412897,0.25679057,0.25158737,0.24485282
-19723.259,0.99710737,0.0016849324,10,1023,0,19769.253,-0.046384434,-0.12966621,-0.033818927,-0.1837329,-0.072402722,-0.006356152,-0.09744155,-0.17064296,0.011538464,-0.08348053,-0.085130674,-0.11876339,-0.048422177,-0.11798609,-0.27269144,0.014142923,0.097144139,0.046412925,0.15565893,0.062235134,0.11505008,0.099899604,0.20660995,0.10261378,0.36339509,0.15479372,0.14911605,0.25588365,0.16942883,0.089005856,0.29993033,0.12741793,-0.70281798,-1.647079,-0.13487975,-0.96789252,-0.2619768,-0.43470945,1.9596023,-0.96594136,-0.34078,-0.80789617,0.39408139,-0.90190482,1.5365373,-0.060070662,2.6960172,0.25040836,0.65121052,-0.96516745,0.86056671,-1.0503343,-0.83520021,-1.2002576,0.96593661,-1.6538958,0.07351372,0.019365297,0.94425109,-0.9172096,-0.4034732,0.71724145,1.5939676,-1.0151717,-0.37863727,-0.32422479,-0.28898255,-0.95482822,0.2321319,-0.4641626,0.64015457,-1.3627462,-0.73604368,0.057937777,1.0705739,-1.230609,0.34232862,-0.066557798,0.77414851,-0.80952956,-0.23729934,-1.0028383,0.39232046,-1.2836425,0.5891381,0.22505311,1.7166207,-1.0998896,0.79263654,0.51834998,1.1390548,-0.1514926,-0.61337583,-0.74992338,0.53095132,-2.4480051,1.0803277,-3.0973152,0.11300695,-0.11465908,-0.2063885,-0.059487211,-0.14040952,-0.14182532,-0.14984235,-0.038715334,-0.17449837,-0.086864377,-0.15957518,0.027523361,-0.17420847,-0.08810629,-0.1874714,-0.015945903,-0.1681487,0.002519101,-0.18344532,0.026605548,-0.19324377,-0.089792322,-0.12626141,0.090140533,-0.17157969,-0.082252884,-0.093440487,0.097650122,-0.28694618,-0.21204487,-0.097044098,-0.007079918,-0.27481356,-0.12605646,-0.10628323,-0.093476375,-0.33544142,-0.04754797,-0.15532999,0.015611379,-0.29442509,-0.1948866,-0.076491221,0.074509076,-0.26863423,-0.031167096,-0.13579444,0.079328553,-0.32590877,-0.088627527,-0.21833189,0.018048218,-0.26590822,-0.065549352,-0.097955048,0.034803206,-0.21588271,-0.034955701,-0.11722256,0.068945636,-0.31812867,-0.064012156,-0.081410762,0.081795641,-0.29777683,0.25042233,0.25187199,0.24796226,0.237129
