# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 20:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc3f7d2da8.json
# init = 2 (Default)
# random
#   seed = 275632986
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192130-3-0a45e5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192130-3-756672.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00278824
# Diagonal elements of inverse mass matrix:
# 0.0319505, 0.00482022, 0.0063987, 0.0173031, 0.00425809, 0.00909279, 0.0122012, 0.0129775, 0.0134905, 0.0151255, 0.0162229, 0.0202727, 0.0232779, 0.0168823, 0.0402828, 0.0225333, 0.706129, 0.390825, 0.303981, 0.536566, 0.279012, 0.268405, 0.196905, 0.401109, 0.385101, 0.226423, 0.294068, 0.320034, 0.254554, 0.389954, 0.278251, 0.288397, 0.314295, 0.314994, 0.306656, 0.217326, 0.183229, 0.235402, 0.216495, 0.227105, 0.206339, 0.283026, 0.239524, 0.231894, 0.369815, 0.239735, 0.273101, 0.2184, 0.680913, 0.355163, 0.288887, 0.307778, 0.281719, 0.277997, 0.206162, 0.22172, 0.213505, 0.338617, 0.223493, 0.225126, 0.313352, 0.230831, 0.229532, 0.221702, 0.353775, 0.434072, 0.511124, 0.389144, 0.285244, 0.44252, 0.380924, 0.359102, 0.287787, 0.382809, 0.416342, 0.366022, 0.487678, 0.338024, 0.384401, 0.414333, 0.343456, 0.357698, 0.375803, 0.269182, 0.378522, 0.303882, 0.346655, 0.400094, 0.53278, 0.506734, 0.348362, 0.539639, 0.413275, 0.467368, 0.330081, 0.331665, 11.0484, 178.708, 1.42848
-19704.269,0.99985322,0.0027882354,10,1023,0,19756.287,-0.14212041,-0.14003449,-0.082407936,-0.11814942,-0.19013426,-0.083509678,-0.24333462,-0.04360817,-0.094772763,-0.13999022,-0.26345198,-0.16456661,-0.14536718,-0.24178822,-0.21845164,-0.22785518,0.18984448,0.03640449,0.17192895,0.13260151,0.63024811,0.13113979,0.67222883,0.43676862,0.1520201,0.27799318,0.31292752,0.24419506,0.28452756,0.18301644,0.22818832,0.11960802,0.25518064,-0.49012468,-0.02483549,0.053602237,0.57761624,0.062593475,1.5760888,-1.1096103,-0.051386681,-0.25528169,0.44785681,-0.71009692,0.384628,-0.33613673,1.3132518,-0.46938205,0.2332667,0.020729354,0.3763512,-0.041956489,-0.17116011,-0.23606034,1.344507,-0.58351717,0.25952042,0.20999152,0.39725213,-0.045621302,-0.24394707,-0.21267786,0.0466883,-0.60474787,-0.32719286,0.024908403,0.38908324,-1.3806199,0.326639,0.080079504,0.53325846,-0.47047332,0.15771066,0.62646737,0.93112669,-0.18100167,0.28222411,0.13735191,1.0443852,-0.72412539,0.14809845,-0.31985234,0.34403949,-0.49646293,1.142671,0.89824851,1.5847277,-0.11521663,0.72983843,0.43224604,1.2920458,-0.5777966,0.78584202,1.3300864,2.8373111,-0.4649081,2.8897755,-10.197718,0.07155363,-0.09367577,-0.23516787,-0.14683529,-0.13194432,-0.11900666,-0.13775581,-0.08265778,-0.18042929,-0.091242794,-0.12629825,-0.0054083833,-0.20449415,-0.067147163,-0.16272165,0.055989761,-0.18039018,-0.043118367,-0.17706962,0.047060371,-0.21657726,-0.10595558,-0.11446658,0.092808685,-0.160032,-0.068877509,-0.10217227,0.023709716,-0.27400257,-0.1501566,-0.13649918,-0.023216186,-0.30774306,-0.14451266,-0.090986185,-0.035624289,-0.30465475,-0.04918681,-0.11772867,0.0082519897,-0.2707786,-0.21409998,-0.067413103,0.027923185,-0.32009239,-0.095648876,-0.13102595,0.090467084,-0.34139445,-0.10322909,-0.23637399,-0.047478466,-0.28662457,-0.032660645,-0.077393978,0.048242994,-0.26287476,-0.051911038,-0.11981814,0.07637812,-0.35029807,-0.13386217,-0.068766177,0.11150999,-0.28346191,0.25188013,0.25828665,0.24837521,0.24704099
-19711.851,0.99728844,0.0027882354,10,1023,0,19761.653,-0.2084232,-0.17040297,-0.10342129,-0.10288839,-0.18245758,-0.10488402,-0.34350296,-0.16609245,-0.092220927,-0.14622417,-0.39695439,-0.12429641,-0.18913692,-0.25566181,-0.20203296,-0.26989657,0.26576529,0.074131128,0.27075579,0.11002416,0.3951128,0.11729463,1.8234854,0.50171045,0.12863775,0.19726016,0.32914241,0.25749239,0.32392109,0.18356652,0.24420837,0.11449752,0.43064123,-0.065222329,0.61882327,0.2182909,1.0637154,-0.12801978,0.74238131,-0.024442532,-0.11288138,-0.13391417,0.26674294,-0.37888085,0.44959394,-1.0473542,1.3699086,-0.5219884,0.33861167,-0.052294943,0.45675233,-0.064767457,0.35295778,-0.37033452,1.7608227,-0.43829628,0.13511573,0.12390254,0.20674056,0.0022443098,-0.086278458,0.07370056,0.23536516,-0.29007453,-0.074690648,0.0066916895,0.46172627,-1.7099391,0.60740386,0.29227502,0.97692847,-0.64675469,0.58044006,1.0163074,1.3151388,0.38185616,0.23590537,0.11732671,0.80714044,-0.73151465,0.32301839,0.015431025,0.64539243,-0.24202543,1.2384635,0.90388704,1.9113403,0.011257052,0.68774674,0.42031506,1.1573948,-0.47462277,1.901093,1.4779664,2.7118258,-0.48751346,-0.00019431205,1.2054917,0.026920335,-0.093973703,-0.22575703,-0.043961449,-0.15040905,-0.091548552,-0.17989322,-0.11536941,-0.17221492,-0.13398458,-0.13967933,-0.031199096,-0.20600548,-0.053422198,-0.21812266,0.047834654,-0.16031973,-0.048667772,-0.20311998,-0.0019888848,-0.20804803,-0.063483967,-0.14832227,0.10165102,-0.15629382,-0.09712139,-0.11756849,0.033485444,-0.3394105,-0.20937925,-0.12911611,-0.048007285,-0.31162587,-0.10182896,-0.091360123,-0.032825498,-0.31218364,-0.02640759,-0.088569955,0.046484891,-0.2738031,-0.20590694,-0.062444513,0.035913565,-0.27126933,-0.063552573,-0.094085675,0.083536108,-0.31265586,-0.084504456,-0.18413849,0.019919292,-0.26753406,-0.028321375,-0.089738414,0.095196276,-0.2535954,-0.034079452,-0.099388507,0.080612544,-0.31793981,-0.052226132,-0.10067308,0.040600761,-0.32571565,0.25512597,0.2631956,0.25148478,0.2442201
-19705.537,0.98971065,0.0027882354,10,1023,0,19767.494,-0.13217223,-0.1658741,-0.054369251,-0.069307524,-0.19224422,-0.063757512,-0.23052148,-0.1945628,-0.21877413,-0.12543305,-0.36442335,-0.10299787,-0.19870973,-0.48599152,-0.34745885,-0.18027639,0.080798066,0.030354756,0.23550321,0.05451294,0.54392127,0.12934627,0.55337568,0.11113086,0.9039649,0.1116326,0.58430154,0.18521523,0.28980615,1.0447618,0.68670038,0.11818835,0.45344949,-0.90365571,0.49893957,0.10014294,0.31481883,-0.016367826,3.8239385,-0.87058796,-0.34940828,-0.40586365,0.30596015,-0.60196925,-0.6546063,-1.9545036,1.0168996,-2.2608692,0.29999834,0.026618233,0.42904981,0.0089008698,-0.013530384,-0.82243101,0.81653505,-0.57509114,0.26668316,0.21374329,0.58381948,-0.094586903,0.32889093,0.63014071,1.6230758,-0.86879905,0.10222224,0.15910099,0.15250076,-0.08457746,0.45336129,0.28024518,1.6965655,-1.2026155,0.33106121,0.50526672,0.64157927,0.15138514,0.12870586,-0.072896663,0.94633214,-1.335213,0.42490504,-0.10231285,0.84903721,-0.47274336,0.45629081,0.41551428,0.54498934,0.22709923,0.4122405,0.31344609,0.65036317,0.077125965,0.74368081,0.82905408,2.0544751,-1.2027548,0.3722074,-0.28694918,0.037838491,-0.095534392,-0.20518587,-0.091858881,-0.12408088,-0.15631785,-0.16637094,-0.049799374,-0.19230058,-0.13665602,-0.14995144,0.017685346,-0.19613494,-0.10499204,-0.17585326,-0.013873339,-0.19255415,-0.029068743,-0.177766,0.041125097,-0.18740285,-0.065507617,-0.1701359,0.041858253,-0.13814341,-0.082945511,-0.11224114,0.09255002,-0.28286358,-0.15801287,-0.12453472,-0.014188992,-0.29111319,-0.12636881,-0.074952421,-0.080918798,-0.29522919,-0.074823151,-0.094148552,0.063958965,-0.25968413,-0.17098378,-0.069195232,0.010452403,-0.27596878,-0.079159582,-0.11649944,0.072277261,-0.35029966,-0.07556964,-0.22836063,0.04734647,-0.33571367,-0.0092763086,-0.051878074,0.083392524,-0.24872693,-0.064373146,-0.1322153,0.099145786,-0.29449642,-0.092381982,-0.082291854,0.062538637,-0.322428,0.24308344,0.26059554,0.2512201,0.24920479
-19714.858,0.88205489,0.0027882354,10,1023,0,19761.768,-0.091139077,-0.10344451,0.016203561,-0.0034481679,-0.21046219,-0.05108609,-0.01527876,-0.12986588,-0.079101817,-0.087849203,-0.22509759,-0.13597318,-0.20824985,-0.13401288,-0.22566661,-0.23982835,0.14029972,0.16705516,0.12082922,0.12866099,0.36890159,0.096168066,0.4855719,0.15127251,0.18901978,0.181629,0.17397096,0.26091357,0.11316038,0.19461818,0.28409019,0.14253638,0.048251694,-1.1912306,-0.18929537,-0.1586074,-0.18406939,-0.50307644,-0.080678148,-0.24567462,-1.2858416,-1.2808397,-0.35979649,-1.8265634,-0.51957788,-1.8581093,0.14550238,-1.3448021,0.37849079,0.015311989,0.62816337,0.081186847,-0.18979031,-0.85871573,1.6538913,-1.1124779,-0.17255481,-0.17045574,0.20218899,-0.53412979,-0.26852844,-0.097604135,0.70854298,-0.95469205,-0.31615448,-0.1320756,0.23392778,-1.1816397,0.14380528,0.031109836,0.84830698,-1.0163064,0.35569149,0.83287076,1.42406,-0.28475207,0.28580447,0.0053960176,0.7832396,-0.9012365,1.0614908,0.12944599,1.4605146,-0.90127232,0.39756016,0.22514082,0.88980082,-0.44793509,0.76793141,0.36980066,1.0534606,-0.40018255,0.86987794,1.1641109,2.2344454,-0.71188481,2.7852362,-9.92913,0.18418222,-0.084369378,-0.2582684,-0.11769716,-0.11339165,-0.13419426,-0.18748603,-0.11692222,-0.14448573,-0.13916367,-0.1385593,-0.027270367,-0.20449866,-0.070297574,-0.24251435,0.015272312,-0.17647174,-0.070836338,-0.20481358,0.021268272,-0.18051224,-0.069337857,-0.13366712,0.10796544,-0.15807094,-0.099066528,-0.098047277,0.082898534,-0.27463718,-0.17048685,-0.14463071,-0.022682806,-0.27428455,-0.13886127,-0.10406672,-0.034884841,-0.30245509,-0.061729993,-0.082198755,0.066227948,-0.27243992,-0.16321759,-0.080202258,0.02264751,-0.27463618,-0.061402913,-0.13456528,0.068384661,-0.371118,-0.088131142,-0.19360169,-0.042977458,-0.31023817,-0.056640446,-0.090196384,0.039158533,-0.22118919,-0.0075048352,-0.12060987,0.07361121,-0.33935455,-0.11583909,-0.073900195,0.078661418,-0.34129783,0.25189032,0.2651664,0.26137805,0.2432037
-19718.584,0.97815555,0.0027882354,10,1023,0,19763.409,-0.1212252,-0.15406608,-0.025335921,-0.11306279,-0.061872401,-0.13106636,-0.073878815,-0.20724288,-0.2337214,-0.14251786,-0.39650794,-0.18661591,-0.13612891,-0.020580793,-0.050126927,-0.068503267,0.10325928,0.031111795,0.13334506,0.075585089,0.84541292,0.086333983,0.24526777,0.11689614,0.36766933,0.201016,0.42442395,0.18748081,0.086435666,0.15937981,0.20165027,0.33698757,0.44849253,-0.44654515,-0.058439508,-0.10812976,-0.031992118,-1.1592078,2.0681297,-0.9830938,-0.93982821,-0.9869502,0.37586845,-1.2967108,0.3294662,-1.184959,2.0329299,-0.94166216,0.031191111,-0.16406034,0.093002924,-0.12944106,0.086676834,0.019758597,2.2826538,-0.29951217,0.00022990676,-0.19461237,0.48677939,-0.85881463,0.53376961,0.8937658,2.2438292,-0.77906041,0.25004013,0.34579861,0.63008865,-0.1833558,0.29932553,0.18441839,0.74451665,-0.34417129,0.6031525,0.82339901,1.0344145,0.27491286,0.72953195,0.48538114,1.4690709,-1.1282528,0.47853285,-0.5495099,1.074465,-1.8952183,-0.13202828,-0.26686755,0.47748209,-1.1812857,-8.2534544e-05,-0.49396588,0.70766797,-1.2896638,0.051274179,0.026511785,0.55607449,-0.76835252,2.016534,-6.6942434,0.071348016,-0.074914189,-0.16733514,-0.12725963,-0.13239061,-0.15506141,-0.19013111,-0.089722853,-0.18465189,-0.15065737,-0.15694085,0.02478428,-0.1982459,-0.08816006,-0.20262802,0.040596395,-0.18423841,-0.035503033,-0.20057113,0.016753472,-0.17130354,-0.12358321,-0.12936053,0.066004234,-0.15692444,-0.073822426,-0.12161096,0.04551248,-0.28451836,-0.14484727,-0.10276511,0.055052091,-0.29831203,-0.14178931,-0.10658186,-0.0020571281,-0.30113571,-0.082348639,-0.10544681,0.0071418991,-0.2117018,-0.14051558,-0.047037679,0.042522347,-0.27982834,-0.049842663,-0.095616256,0.088806705,-0.39814166,-0.0947666,-0.18362616,-0.043256811,-0.29994337,-0.041623434,-0.063114091,0.05552021,-0.20885389,-0.05014357,-0.14973528,0.092574512,-0.31018798,-0.051224506,-0.059569125,0.11888692,-0.32742851,0.24526727,0.25791144,0.24937185,0.25254968
-19710.873,0.99744205,0.0027882354,10,1023,0,19758.099,-0.11494366,-0.17599637,-0.098527559,-0.1071305,0.091092251,-0.11251311,-0.13242567,-0.31871337,-0.27030979,-0.049304409,-0.25242275,-0.092146998,-0.10791654,-0.092024564,0.011937958,-0.15678558,0.08842618,0.035139379,0.11209713,0.15498595,0.52222409,0.063578725,1.0466149,0.25408022,0.25661718,0.13650762,0.29501704,0.26423626,0.22698211,0.069735125,0.34281403,0.21558235,0.77179687,-1.0993469,0.084606818,-0.19502297,0.96340463,0.78259871,2.0906326,0.07416374,-0.19663149,-0.3833858,1.1582769,-0.85151807,0.38017009,-0.6273165,0.61568785,-0.55672591,-0.25542929,-0.52540403,-0.15710976,-0.5660743,0.25763342,-0.89131748,2.1283748,-0.46732085,0.052641593,0.0040491608,0.15409892,-0.18333307,0.59926397,0.7347004,1.3503245,-0.027303675,0.41752481,0.66361311,0.95594724,-0.12776928,-0.063639505,-0.32804007,0.79269135,-1.633304,0.19496597,0.7252177,0.99510501,-0.097991545,0.15051385,0.065363306,0.6467549,-1.1239361,0.13792436,-0.41771593,0.41873428,-0.54724636,0.83183187,-0.1166278,2.1221628,-1.8427966,-0.1082159,-0.3585374,0.11086304,-1.082303,0.339492,0.4439102,1.2730215,-0.78506818,-0.21777019,2.1805832,0.045012393,-0.046696608,-0.2121547,-0.1074622,-0.13218879,-0.14214293,-0.14849633,-0.10253283,-0.1733903,-0.12056938,-0.14150401,0.031311964,-0.19398029,-0.048209477,-0.20435574,-0.011707535,-0.19341519,-0.042299078,-0.18328639,0.0090457489,-0.20452538,-0.096133109,-0.16918194,0.022806245,-0.14222478,-0.077330195,-0.12818776,0.02885655,-0.32430478,-0.16645225,-0.13204053,0.024377378,-0.32565069,-0.16316574,-0.10001526,-0.024997296,-0.30309758,-0.057991686,-0.094084378,0.058904003,-0.27226286,-0.19490447,-0.038471173,0.041150182,-0.28133193,-0.052375782,-0.074875643,0.078749098,-0.38913166,-0.076610183,-0.20273059,-0.012871354,-0.23213168,-0.034016665,-0.10015762,0.055964726,-0.22053221,-0.02515997,-0.1109737,0.049943363,-0.3590907,-0.083597094,-0.061086374,0.11765538,-0.32603242,0.24865509,0.26276695,0.25778715,0.24014656
