# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 20:48:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc2310b30.json
# init = 2 (Default)
# random
#   seed = 760814764
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192148-1-958e73.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192148-1-91ab8f.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00457614
# Diagonal elements of inverse mass matrix:
# 0.00600837, 0.0039527, 0.00892792, 0.132064, 0.0400469, 0.0109305, 0.0265815, 0.0104741, 0.010384, 0.0163162, 0.0174417, 0.0479805, 0.0795529, 0.00971607, 0.0333492, 0.0384432, 0.467529, 0.374267, 0.404898, 0.718461, 0.442692, 0.282006, 0.37148, 0.257795, 0.315923, 0.328175, 0.333922, 0.441187, 0.644622, 0.314293, 0.284409, 0.311868, 0.351483, 0.298391, 0.231469, 0.31271, 0.284008, 0.275861, 0.289427, 0.24448, 0.251503, 0.276354, 0.296428, 0.251595, 0.316667, 0.230241, 0.307354, 0.276258, 0.410559, 0.403052, 0.210945, 0.510483, 0.494546, 0.28308, 0.27223, 0.25834, 0.254529, 0.259347, 0.239421, 0.254816, 0.283687, 0.201398, 0.274244, 0.275587, 0.290366, 0.495435, 0.41156, 0.368102, 0.349407, 0.502326, 0.510185, 0.399414, 0.306721, 0.456003, 0.356786, 0.330642, 0.491819, 0.366551, 0.423252, 0.445079, 0.226142, 0.393009, 0.407701, 0.449249, 0.483451, 0.287018, 0.54015, 0.402504, 0.601675, 0.471844, 0.434937, 0.586366, 0.429059, 0.443691, 0.453177, 0.482929, 15.0563, 255.088, 0.981664
-19708.832,0.95648808,0.0045761428,10,1023,0,19761.056,-0.26561268,-0.19370747,0.093121659,-0.2744515,-0.18121338,-0.061578633,-0.78998693,-0.17533048,-0.072606263,-0.1429719,-0.056369146,-0.16373299,0.144628,0.026521809,-0.067987349,-0.26756918,0.14360176,0.080276348,0.30848182,0.19558316,0.10740927,0.33022121,0.86782941,0.15553716,0.08706726,0.13733182,0.13291785,0.20093916,0.57566915,0.27516506,0.36958798,0.19005361,1.1527675,-0.16576464,0.96817419,0.81367597,1.3474802,0.33774434,1.9587908,0.34156648,-0.66869026,-0.65080082,-0.2673685,-0.93213198,0.88636251,0.42760735,1.4171932,0.50018117,1.2506359,0.18924533,1.4739196,-0.22105785,-0.20157807,-0.18745307,0.2744368,-0.2642436,0.83286974,0.78874464,1.0117097,0.62085288,-0.0089649975,0.3594838,1.2255349,-0.8555433,-0.41257949,-0.15136959,0.33066805,-2.4224371,0.51449847,-0.17058859,1.0821887,-0.95559981,-0.94116605,-0.13873479,0.6965773,-1.687306,0.58977492,0.33369025,1.2549021,-0.88151202,-0.33326219,-0.56603038,-0.20021709,-0.74441448,-0.3594241,-0.49418854,0.01993131,-0.80943765,0.035056955,-0.12060662,0.44213281,-0.70752587,0.89537396,0.81992585,2.0793798,-0.25964382,2.3511544,-8.1877538,0.18420517,-0.10007324,-0.28941678,-0.12658116,-0.14876738,-0.08553668,-0.16659459,-0.036462902,-0.16628776,-0.11315713,-0.10763856,0.010643339,-0.19442411,-0.10109392,-0.1908187,0.002727621,-0.17662449,-0.046883481,-0.16088668,-0.022900741,-0.20495704,-0.12814399,-0.12347961,0.02904622,-0.14883747,-0.067198071,-0.10549114,0.088004489,-0.25119254,-0.17672487,-0.11941739,0.015285743,-0.30839925,-0.10852843,-0.085785599,-0.043815902,-0.28352123,-0.072314893,-0.16639914,0.0056470334,-0.27420616,-0.18146691,-0.074809477,0.036218409,-0.28064222,-0.045224118,-0.096681556,0.088425971,-0.34086328,-0.04722076,-0.18121822,0.029369203,-0.28390845,-0.072379146,-0.10946161,0.03200621,-0.19620715,-0.05503072,-0.11256211,0.095419623,-0.3294804,-0.097400126,-0.11173931,0.12762446,-0.31691543,0.253119,0.24331712,0.25456498,0.23903069
-19710.259,0.97518762,0.0045761428,10,1023,0,19753.853,-0.14893128,-0.38784154,-0.0058816155,-0.0078101663,-0.046471726,-0.059270478,-0.34591102,-0.19375921,-0.021350789,-0.15991087,-0.14379166,-0.036785793,-0.13492239,-0.030926894,-0.13418732,-0.14326914,0.060746895,0.38793404,0.31320127,0.29635911,0.14133637,0.064473342,0.30360789,0.21907154,0.51962793,0.11899268,0.11466571,0.24641957,0.24426647,0.064408001,0.35988449,0.13214032,1.0844861,-1.671095,0.5464793,0.097531634,0.58518185,0.47825009,1.0626066,0.50318431,-0.37047673,-0.35865554,0.034708259,-0.53280817,-0.13067702,-0.56823338,0.22548647,-0.56379463,0.15338246,-1.1031519,0.22121061,-1.0506159,-0.085179273,-1.165629,1.7706942,-1.1342359,0.95616134,0.79789242,1.3942976,0.15185853,0.12652467,0.46905909,1.0007222,-0.52191142,-0.16643179,-0.19029613,0.050236446,-0.58148132,0.7240941,0.061863352,1.2723151,-0.82293098,-0.39642182,0.63030336,1.6889821,-1.2488146,-0.046770215,-0.15266997,0.47518685,-1.2266854,0.22813553,-0.20086838,0.64126077,-0.57917499,-0.067153712,-1.0842431,0.86559824,-2.9248626,0.20300539,0.057999504,0.59426821,-0.41877954,0.34239685,0.58131069,1.464841,-1.4523772,-1.2087904,5.8427938,0.079177627,-0.083052125,-0.25044512,-0.11573436,-0.14300654,-0.16082958,-0.20231205,0.02437974,-0.19263922,-0.1219154,-0.11821299,0.0049890555,-0.17275781,-0.046537491,-0.1762113,0.059014802,-0.17489584,-0.024793207,-0.2023872,-0.015206622,-0.19496196,-0.06476227,-0.13442247,0.054892094,-0.13239845,-0.055612891,-0.10366458,0.077408735,-0.29980557,-0.16604125,-0.091001708,0.02547054,-0.30809514,-0.1078334,-0.12023397,0.0047534717,-0.32350472,-0.073748971,-0.15254958,-0.0085146911,-0.25783363,-0.18924765,-0.071517474,0.049876674,-0.28698787,-0.048310889,-0.074406661,0.080309543,-0.33906508,-0.079196531,-0.1839878,0.021716114,-0.27639542,-0.035252131,-0.10076083,0.024824558,-0.21931145,-0.061128833,-0.1133142,0.079680586,-0.28489959,-0.098024709,-0.066454557,0.050295428,-0.33518674,0.24352841,0.243873,0.253995,0.24025058
-19704.797,0.99810554,0.0045761428,10,1023,0,19757.346,-0.12090672,-0.38687671,-0.11558358,-0.10527763,-0.096008301,0.039728543,-0.60979304,-0.21114673,0.011731041,-0.16032763,0.014585215,0.065784903,0.44009065,-0.069668982,-0.12434471,-0.26070462,0.10069114,0.24712187,0.13299932,0.16358068,0.11513384,0.19435849,0.58167004,0.081801677,0.16763358,0.1108806,0.29650597,0.63756847,0.57809362,0.29269111,0.14725416,0.15071917,0.74730576,-0.97988046,0.36943656,-0.3258499,1.0578905,0.79103077,1.5408632,0.82117487,-0.072456469,-0.14539941,0.75253937,-0.60602689,0.27752791,-0.43834202,0.94541305,-0.37906813,0.4822014,-0.83983889,0.80956646,-0.85273378,-0.67774006,-1.0345292,0.2471483,-1.1515362,0.87329738,0.86665153,1.156714,0.54451637,0.76132458,1.2317948,2.5601325,-1.3489909,-0.8386237,-0.60511684,-0.1848789,-2.00486,0.96448958,0.17268495,1.2761851,-1.1572548,-0.68737995,-0.3698444,0.18242232,-0.95828819,-0.16061321,-0.21755162,-0.00026866752,-0.63851038,-0.85533164,-1.1161061,-0.77585944,-1.2821882,0.19134907,-0.035014644,0.63750687,-0.60083166,0.73001168,0.20082825,1.3285878,-1.2647027,1.0942655,1.2297439,2.3660992,-0.45515649,3.2915544,-12.78697,0.10037332,-0.045659654,-0.21957201,-0.083707736,-0.15371692,-0.12544883,-0.19139571,-0.0060957099,-0.18394644,-0.12522024,-0.13492161,-0.01549636,-0.19618475,-0.059879427,-0.17698191,0.049373675,-0.16728585,-0.040490602,-0.19270218,-0.0027998049,-0.19418682,-0.091995993,-0.16134099,0.087763914,-0.1840823,-0.10182211,-0.1056878,0.063032843,-0.29306418,-0.1488691,-0.11038384,-0.0017235936,-0.32149644,-0.12885046,-0.089706864,-0.019260872,-0.32435082,-0.053384441,-0.14118022,-0.018823456,-0.28864474,-0.18922705,-0.09507586,0.068674522,-0.26955296,-0.036617012,-0.072919149,0.065613609,-0.34130919,-0.054371106,-0.20512318,-0.0084287331,-0.30113417,-0.013662808,-0.079917457,0.11692361,-0.24552707,-0.016847455,-0.094771917,0.07129537,-0.31057745,-0.095777829,-0.075358636,0.095911891,-0.32930543,0.24651716,0.23742188,0.24219809,0.23908427
-19710.947,0.98958149,0.0045761428,10,1023,0,19752.4,-0.13955057,-0.37039262,-0.14408579,-0.13966935,-0.029366659,-0.015812294,-0.64721498,-0.1712522,0.12212334,-0.064962464,-0.0057687502,0.070000015,0.08909467,-0.10772695,-0.14414845,-0.26275134,0.048824375,0.23500158,0.42425806,0.14853055,0.079805479,0.18778803,0.50538473,0.090314527,0.23024026,0.16517105,0.16975957,0.31327798,0.46203225,0.11037547,0.18955093,0.25599969,1.1887127,-2.1496419,1.2124176,0.37238148,0.98577878,0.97886443,1.2605603,0.76698202,0.017848541,-0.028835362,0.36313228,-0.12335119,0.31110987,-0.31405101,0.94057954,-0.12834713,-0.090228278,-2.1287054,0.85743219,-1.97893,-0.382652,-0.71797315,0.42070426,-0.66709439,1.1333484,1.0785309,1.3645335,0.70154444,-0.52162119,0.42380736,1.6589188,-1.2224361,-1.1785231,-1.0002451,-0.54146035,-1.9050465,-0.010707183,-0.23449296,0.27553775,-1.3885107,-1.1852517,-0.50533552,0.49000616,-1.71329,-0.44559109,-0.45374911,0.019059721,-1.4072888,-0.4149034,-0.65603078,-0.16712289,-0.91010787,0.52377298,0.0030490464,1.4102289,-1.316376,0.55941953,0.02928071,0.99439737,-1.0148062,0.68113647,0.71846093,1.3092036,-0.2985905,5.8887414,-23.334726,0.29282185,-0.081512415,-0.24450549,-0.080355039,-0.12136928,-0.13873305,-0.14035793,-0.074158955,-0.19015063,-0.1365134,-0.15631942,0.009976007,-0.19641853,-0.093460031,-0.18631552,3.5444435e-05,-0.15873282,-0.03656737,-0.19924901,0.039061128,-0.18729611,-0.08766976,-0.15063906,0.06319093,-0.14108464,-0.074437998,-0.10214192,0.042399425,-0.29266513,-0.21836217,-0.13297624,-0.021427733,-0.28165594,-0.14922013,-0.10817336,-0.002542637,-0.31649506,-0.06673098,-0.10369391,-0.019451604,-0.29430424,-0.20697657,-0.091554291,0.077414485,-0.29661612,-0.069593859,-0.072149587,0.075971006,-0.37087258,-0.10260408,-0.2140127,0.011878506,-0.33140451,-0.049915261,-0.10739041,0.047927731,-0.25302256,-0.038109955,-0.13859826,0.044340498,-0.3365059,-0.088380616,-0.078825565,0.072404361,-0.33919041,0.24044867,0.23562559,0.24792869,0.23395414
-19695.329,0.99436116,0.0045761428,10,1023,0,19758.348,-0.1565499,-0.14639734,-0.48844364,-0.15023751,-0.11378489,0.081617913,-0.088980626,-0.18526308,0.036445484,-0.16698071,-0.23336305,-0.0024455387,-0.095549725,-0.090989047,0.23704104,-0.49263999,0.3945228,0.075781369,0.36454205,0.19699344,1.0386407,0.25539526,0.85373526,0.13994099,0.54828535,0.089497505,0.32205472,0.25269372,0.094852533,0.16986252,0.40472577,0.68352849,0.32280042,-0.12392855,0.28464899,0.071532145,0.27209269,-0.17821262,0.80681364,-0.61427136,0.94363334,0.93010751,1.4044211,0.86717265,0.33744475,-0.069031533,0.89987877,-0.16240657,0.040252223,-0.061987083,0.16274258,-0.088707194,-0.58995458,-0.82725819,0.088973514,-0.92838476,0.023929632,-0.018575624,0.20588602,-0.21749506,-0.0096413034,0.61908018,1.1152186,-0.5769817,-0.28464673,-0.25573204,-0.16927765,-0.63896048,0.84887295,0.74613759,1.6801747,-1.0795332,0.10354719,0.53827819,0.84548943,-0.046134701,-0.13794917,-0.35725605,0.27189242,-1.3963335,0.25620231,-0.9311749,1.2194276,-2.2631346,0.3291755,0.10722029,1.0465964,-0.81793158,-0.57634876,-0.87627919,-0.43410742,-1.3059073,0.63770038,0.55971935,0.849513,0.24778792,4.5968678,-17.556965,0.1372845,-0.029197771,-0.20544254,-0.044249382,-0.12832883,-0.12577778,-0.15990254,-0.085255898,-0.19294767,-0.14444961,-0.14938034,0.023526911,-0.17232275,-0.083763103,-0.16383626,0.027032711,-0.18223053,-0.071977294,-0.1781672,0.055246185,-0.2059198,-0.069053689,-0.12965991,0.10434133,-0.15548715,-0.068551056,-0.10483929,0.086791526,-0.27466382,-0.1866123,-0.098628389,-0.029198285,-0.26600647,-0.11962214,-0.10376865,-0.05636697,-0.31388719,-0.091008697,-0.10020326,-0.016609262,-0.26359624,-0.20001519,-0.060008015,0.038930816,-0.24822095,-0.037304428,-0.0927219,0.066259967,-0.35529024,-0.071248286,-0.18387402,0.020116076,-0.31021377,-0.035074467,-0.072776339,0.086788453,-0.22992497,0.0037778409,-0.11761173,0.061346577,-0.2914933,-0.056753615,-0.11005587,0.088026348,-0.32326989,0.24897045,0.23750159,0.24578234,0.23577966
-19708.834,0.96663163,0.0045761428,10,1023,0,19751.797,-0.069984198,-0.1287161,-0.38689133,-0.13961398,0.17098622,0.05118063,0.053161403,-0.052497343,0.22790158,-0.19811445,-0.041741683,-0.01910461,-0.061323211,-0.10174213,0.0052561434,-0.26741225,0.14323704,0.082943845,0.31575968,0.091865499,0.33779233,0.25530825,0.36089132,0.16690937,0.47217768,0.099832163,0.10117939,0.32461944,0.12816273,0.15950836,0.18650025,0.43547005,0.11893554,-0.99967214,-0.079771844,-0.4953805,-0.20029934,-0.031292984,0.62248521,-0.91361446,0.75111097,0.71745889,1.1889117,0.55418245,0.53271457,-0.57535549,1.9681261,-0.21463295,-0.62724882,-1.1137288,-0.49087598,-1.0446289,-0.50617857,-0.85553883,0.14974895,-0.79079815,-0.40132485,-0.45626355,0.063165886,-0.90193011,-0.77341625,-0.12051028,0.17597644,-1.3387025,-0.69710022,-0.63933463,-0.5723528,-1.1380184,0.99645487,0.98746611,1.6720902,-0.36615393,-1.5774091,-0.45247456,1.2215381,-2.0062672,-0.022470857,-0.22733978,0.21568452,-0.93657221,-0.11229543,-1.0310356,0.22107912,-1.6328209,0.4839085,0.24793292,1.1878172,-0.60240679,-0.27504049,-0.51945537,0.43567544,-1.6089526,0.34990705,0.45531606,0.85840835,-0.071576749,-1.1495445,6.0344128,0.041462978,-0.052948223,-0.21317428,-0.081410481,-0.14094104,-0.1453297,-0.13131166,-0.077084786,-0.2044948,-0.14972077,-0.16034674,-0.011480937,-0.21190285,-0.090675888,-0.1924693,0.04118891,-0.15933134,-0.040893618,-0.20522282,0.0051720803,-0.18188142,-0.078050935,-0.16724549,0.089412772,-0.15071666,-0.09167325,-0.11150015,0.075957422,-0.27233734,-0.18158776,-0.072611638,-0.023125226,-0.27593934,-0.10125358,-0.07397796,-0.042350633,-0.3094453,-0.098636202,-0.099533569,-0.031186068,-0.23466838,-0.20134298,-0.087522784,0.081852805,-0.24473458,-0.026399087,-0.092903523,0.050910778,-0.32313416,-0.075715299,-0.19346354,-0.032989108,-0.27058998,-0.024554678,-0.062194757,0.087724644,-0.19783105,-0.046038977,-0.091622413,0.086509721,-0.29481392,-0.11503821,-0.069135744,0.10639887,-0.29858178,0.24598632,0.23657067,0.23986537,0.23782299
