# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 20:48:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc2310b30.json
# init = 2 (Default)
# random
#   seed = 760814764
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192148-4-958e73.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192148-4-91ab8f.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00139908
# Diagonal elements of inverse mass matrix:
# 0.00902987, 0.00806603, 0.00965971, 0.0096594, 0.0141216, 0.0135135, 0.0238538, 0.0272422, 0.025148, 0.032602, 0.0394639, 0.0274674, 0.0185774, 0.0157698, 0.0612724, 0.0250143, 0.423388, 0.530764, 0.458882, 0.35879, 0.384586, 0.33907, 0.356501, 0.376502, 0.378398, 0.479606, 0.295063, 0.252498, 0.275313, 0.282143, 0.335694, 0.316219, 0.433733, 0.26494, 0.274684, 0.271575, 0.267101, 0.238613, 0.277293, 0.235134, 0.257315, 0.280683, 0.372695, 0.290672, 0.289614, 0.281673, 0.272484, 0.231924, 0.450125, 0.327743, 0.267635, 0.388633, 0.32564, 0.276854, 0.26385, 0.258526, 0.273838, 0.250009, 0.322992, 0.265823, 0.253947, 0.271587, 0.251648, 0.237924, 0.363171, 0.495054, 0.541208, 0.501493, 0.374061, 0.478126, 0.471718, 0.409351, 0.342307, 0.470517, 0.451517, 0.421255, 0.405006, 0.383359, 0.397165, 0.464097, 0.278395, 0.423784, 0.370668, 0.313374, 0.338633, 0.299003, 0.462564, 0.39244, 0.510761, 0.466362, 0.51993, 0.403969, 0.388089, 0.487448, 0.45742, 0.402807, 10.678, 181.707, 1.11733
-19686.786,0.0013459186,0.0013990782,2,6,1,19738.64,-0.15611595,-0.14866711,-0.1499992,-0.030458155,-0.072832964,0.014979558,0.0093518301,-0.081598816,-0.16700626,-0.36819719,0.0031776875,-0.077687434,-0.099823929,-0.090143707,-0.23699,-0.16690352,0.050153034,0.054872951,0.22475735,0.098803445,0.14745327,0.2461764,0.28595445,0.46442285,0.15416037,0.51975748,0.698384,0.1185048,0.15775866,0.47112785,0.48659,0.17438864,1.3191803,-1.0109248,0.87189585,0.36155947,0.4801705,0.60310479,1.7063614,-0.40776532,-0.035346061,0.14748561,0.55780637,-0.068832309,-0.10907842,-1.570264,0.57769064,-1.4663452,0.34247032,-0.84284883,0.31766737,-0.7611023,-0.44749423,-0.62047625,0.10877182,-0.66748597,-0.30079782,-0.40678934,0.076168984,-1.0869296,-0.14059276,-0.14207875,0.18236544,-0.48157847,0.22315686,0.5364271,1.0068486,-0.84481015,0.54816354,0.48743296,0.77255414,0.17923719,-0.23726596,-0.13878427,0.12378214,-0.38399644,0.00300691,-0.25132605,1.2182584,-2.3281325,0.226337,-0.35514821,0.93073411,-1.2373755,0.086385918,-0.00057114287,0.27450135,-0.34862818,0.47870781,0.22995825,0.70587599,-0.1893233,0.38529089,0.60385034,1.5770572,-0.78981457,1.2114965,-3.6534841,0.0060934401,-0.08995505,-0.20681689,-0.11238772,-0.13798264,-0.12231874,-0.11557297,-0.055034025,-0.1710424,-0.15794349,-0.11685073,-0.024628119,-0.16546977,-0.041235478,-0.18560565,0.02661967,-0.17533812,-0.022334596,-0.19711378,-0.025991871,-0.18505999,-0.095182961,-0.13776705,0.041756613,-0.14933973,-0.076662646,-0.10697139,0.03113269,-0.30146054,-0.1468933,-0.14758343,0.0030958622,-0.30525486,-0.13260432,-0.08431046,-0.011790103,-0.29724251,-0.083285092,-0.11485027,0.0333436,-0.27503732,-0.16252506,-0.093747025,0.089625151,-0.26499929,-0.0773311,-0.10747078,0.066682038,-0.35358231,-0.064117307,-0.15585163,0.047007436,-0.29503062,-0.049444896,-0.090412789,0.039181522,-0.25439215,-0.0040555615,-0.12509461,0.10648221,-0.32911282,-0.099713172,-0.061598888,0.10811733,-0.30463821,0.24761894,0.24575709,0.25586996,0.23935382
-19685.908,0.47699713,0.0013990782,3,10,1,19739.198,-0.15630237,-0.14945829,-0.15005024,-0.029284939,-0.07243914,0.014979764,0.010770266,-0.081354854,-0.16722476,-0.3683606,0.0020090597,-0.078069944,-0.10122387,-0.089536845,-0.23806455,-0.16663978,0.050110776,0.054782905,0.22511894,0.098917646,0.1481692,0.24615509,0.2869507,0.46267529,0.15478075,0.51636634,0.6989027,0.11829289,0.15828609,0.47264494,0.48445943,0.17448924,1.3236043,-1.010409,0.87083631,0.35854145,0.47386076,0.6046814,1.7074249,-0.40509003,-0.035361284,0.14685472,0.55667819,-0.061365501,-0.11221739,-1.5755307,0.57717967,-1.4720865,0.34221567,-0.83776789,0.3214958,-0.76553463,-0.45134056,-0.61909233,0.1118441,-0.66445923,-0.30023259,-0.40962457,0.082198571,-1.0807023,-0.14059744,-0.14445418,0.17769534,-0.48280865,0.22417695,0.53764301,1.0053636,-0.84953778,0.54496053,0.48900947,0.77215894,0.17849589,-0.23767309,-0.13761235,0.13230728,-0.38753514,0.0025610825,-0.24922608,1.2164257,-2.3280685,0.22690859,-0.35662235,0.92835899,-1.2374416,0.088652512,-0.0038689383,0.27954324,-0.34900184,0.47820381,0.23418805,0.69958007,-0.18442837,0.38693449,0.60279539,1.5696561,-0.78459434,1.1843684,-3.554354,0.0061737405,-0.089975533,-0.20693475,-0.11266409,-0.13833558,-0.12349883,-0.11633209,-0.055920601,-0.1716503,-0.15801073,-0.11699046,-0.024731438,-0.16386478,-0.040385219,-0.18513272,0.027808315,-0.17490027,-0.021733317,-0.19657054,-0.024803363,-0.1858678,-0.096120015,-0.13741297,0.042510758,-0.14858026,-0.075381687,-0.10677179,0.034357204,-0.29933801,-0.14640581,-0.14819023,0.00086038702,-0.30473849,-0.13252649,-0.084007974,-0.011613836,-0.29871686,-0.08696133,-0.11585257,0.030356282,-0.27619133,-0.16410131,-0.094168583,0.094478977,-0.2688403,-0.077766986,-0.10755162,0.065824573,-0.3534639,-0.065307395,-0.15767223,0.045722447,-0.29709367,-0.047635684,-0.091365479,0.042587853,-0.2544908,-0.0063942091,-0.12460994,0.10085361,-0.32741261,-0.099123878,-0.061458474,0.10724832,-0.30354306,0.24746687,0.24551268,0.25552409,0.23910328
-19686.749,0.069057657,0.0013990782,3,11,1,19737.459,-0.15647433,-0.14946137,-0.14994556,-0.029270135,-0.072362278,0.014740978,0.010722947,-0.080942239,-0.16748427,-0.36874044,0.0021640698,-0.078040402,-0.1011922,-0.089546589,-0.23760482,-0.16663941,0.050064076,0.054817026,0.22512048,0.098757779,0.1480525,0.24627838,0.28637237,0.46271591,0.15490659,0.51612167,0.69900787,0.1183109,0.15819628,0.47240181,0.48436582,0.17457192,1.3242026,-1.010875,0.8711313,0.35830283,0.47457952,0.6054696,1.7049691,-0.40532156,-0.034607191,0.14699214,0.55650467,-0.061489557,-0.1098337,-1.5742994,0.57806558,-1.4722434,0.34189077,-0.83804093,0.32185652,-0.76685664,-0.45057149,-0.61940077,0.11082872,-0.66291899,-0.3000655,-0.41014434,0.083070525,-1.0802355,-0.13990958,-0.14408424,0.17716432,-0.48206271,0.22492526,0.53691602,1.0050796,-0.84887534,0.54536712,0.4892797,0.77285647,0.17776223,-0.23786412,-0.13810836,0.13286264,-0.38834069,0.001903975,-0.25027481,1.2163351,-2.3279586,0.22580374,-0.35755273,0.92846325,-1.2354763,0.089588344,-0.0021833051,0.27991098,-0.35074904,0.47863437,0.23380633,0.69852212,-0.18321386,0.38714288,0.60227493,1.5688547,-0.78535959,1.1797097,-3.5482485,0.0061685135,-0.090179345,-0.20708285,-0.11286194,-0.13853622,-0.12344633,-0.11627132,-0.056000031,-0.17167989,-0.15773635,-0.11685462,-0.024664965,-0.16378812,-0.040117068,-0.18474445,0.027818337,-0.17466562,-0.021744494,-0.19643634,-0.024710614,-0.18589732,-0.09622504,-0.13780404,0.042035696,-0.14852164,-0.075207521,-0.10673106,0.03451205,-0.29862665,-0.14568063,-0.14761231,0.0010345105,-0.30400032,-0.13264187,-0.084312446,-0.01179082,-0.29898065,-0.087264651,-0.11621258,0.030147533,-0.2769935,-0.16410482,-0.094374757,0.095036102,-0.26928912,-0.077815141,-0.10765064,0.065865309,-0.35346329,-0.065470883,-0.15775571,0.04568724,-0.29663995,-0.047224893,-0.090577986,0.042683868,-0.25524107,-0.0057706929,-0.12435703,0.10073542,-0.32634736,-0.099055137,-0.061499123,0.10723856,-0.30374114,0.2474297,0.24546132,0.25551892,0.23927934
-19686.276,0.17807263,0.0013990782,2,6,1,19742.979,-0.15652253,-0.14941821,-0.14985521,-0.029121888,-0.072561995,0.014694157,0.010843361,-0.079937762,-0.16751565,-0.36856476,0.0025749583,-0.077945675,-0.1008573,-0.089454352,-0.2375531,-0.16643844,0.050078572,0.054707425,0.2257444,0.098807535,0.14817276,0.24670804,0.28620687,0.46305996,0.15467436,0.51629244,0.69906604,0.11825706,0.15823066,0.47229554,0.48395593,0.17444831,1.3250739,-1.0099921,0.87176907,0.35820665,0.47448883,0.604422,1.7047923,-0.40559109,-0.034579692,0.14689818,0.55554612,-0.062126495,-0.10939577,-1.5750116,0.57814149,-1.4714814,0.34323808,-0.8365598,0.32095857,-0.76765838,-0.44980047,-0.61980745,0.10876989,-0.66269136,-0.30140433,-0.41019491,0.082699517,-1.0777274,-0.13898207,-0.14473146,0.17579941,-0.48223597,0.22467523,0.53816229,1.0046876,-0.85009551,0.54574998,0.48882642,0.77395131,0.17798033,-0.23738022,-0.13896928,0.1318847,-0.38820813,0.0017448452,-0.24918527,1.216534,-2.3270553,0.22571071,-0.35783475,0.92886455,-1.2343666,0.089545818,-0.0026772206,0.27939455,-0.35127281,0.47854361,0.23409862,0.69897004,-0.18422028,0.38713376,0.60178438,1.5681156,-0.78621777,1.1804823,-3.5424101,0.0061706085,-0.090164726,-0.2071015,-0.11286558,-0.13858406,-0.12346015,-0.11635184,-0.056153413,-0.17160706,-0.15766138,-0.11669377,-0.024443785,-0.16387992,-0.039931014,-0.18474491,0.028002848,-0.17451534,-0.02170346,-0.19651737,-0.025004677,-0.18630806,-0.096275237,-0.13821733,0.041528565,-0.14879713,-0.075420631,-0.10655724,0.034512531,-0.29760962,-0.14429479,-0.14695711,0.001467906,-0.30324193,-0.13276415,-0.08427574,-0.01211623,-0.29900363,-0.086798165,-0.11618737,0.03102046,-0.27667486,-0.16336949,-0.094573748,0.094771071,-0.26880816,-0.077739334,-0.10741359,0.065918067,-0.3531364,-0.06514294,-0.15747772,0.046117557,-0.29617194,-0.047162262,-0.090718791,0.04250245,-0.25535893,-0.0059590775,-0.12425968,0.10071759,-0.32670759,-0.098903618,-0.061458179,0.10711666,-0.3035928,0.24745629,0.245525,0.25557435,0.23937923
-19686.048,0.20777385,0.0013990782,3,11,1,19739.044,-0.1566102,-0.14948642,-0.14992328,-0.028946003,-0.072392794,0.014611466,0.011255758,-0.079703109,-0.16715665,-0.36839617,0.0021524685,-0.077753786,-0.10069359,-0.089489691,-0.23774776,-0.16615885,0.050058785,0.054705351,0.22559745,0.098772563,0.14831153,0.24687293,0.28632582,0.46283704,0.15458663,0.51659399,0.69927638,0.11818586,0.15817525,0.47164667,0.48420626,0.17444039,1.3264367,-1.0092806,0.87237439,0.3594285,0.47461338,0.60425018,1.7030982,-0.40497618,-0.032926938,0.14760109,0.5574167,-0.061703382,-0.10957554,-1.5749091,0.58024381,-1.469706,0.34410686,-0.83597009,0.3205305,-0.76687456,-0.45047246,-0.61900095,0.1103291,-0.6617629,-0.30153068,-0.40962139,0.082706595,-1.0783063,-0.13974164,-0.14470563,0.17420331,-0.48326983,0.22360814,0.53830909,1.0067414,-0.84887117,0.54554687,0.48771599,0.77391775,0.17829098,-0.23702082,-0.13701369,0.13223341,-0.38669434,0.0018920641,-0.24899375,1.216245,-2.3270208,0.22581673,-0.35879225,0.92855076,-1.2341989,0.089925068,-0.0020880077,0.27976133,-0.35101194,0.47806295,0.23275938,0.6980191,-0.1844937,0.38818057,0.60249931,1.568886,-0.78598136,1.1813887,-3.5412386,0.0061722634,-0.090210388,-0.20713356,-0.1129402,-0.13861764,-0.12352253,-0.1164307,-0.056317836,-0.17164078,-0.15735152,-0.11662486,-0.024171498,-0.16384341,-0.03976906,-0.18450381,0.028366165,-0.17411263,-0.02135778,-0.19637679,-0.024854426,-0.18612913,-0.09659799,-0.13820311,0.041848734,-0.14875988,-0.07508026,-0.10602942,0.034936791,-0.29749117,-0.14438072,-0.14667824,0.00092463638,-0.30337829,-0.13258983,-0.083941264,-0.011527896,-0.29838079,-0.086569932,-0.11644502,0.031405095,-0.27629212,-0.16359059,-0.09365797,0.094620169,-0.26825375,-0.077530171,-0.10718133,0.065989176,-0.35277474,-0.064974975,-0.15744564,0.046180153,-0.2959133,-0.047076832,-0.090474493,0.042458811,-0.2550433,-0.0062666851,-0.12504421,0.10023746,-0.32708076,-0.098444479,-0.061058634,0.10751824,-0.30326575,0.24744646,0.24552323,0.25555521,0.23937368
-19686.048,0.089153926,0.0013990782,3,9,1,19729.792,-0.1566102,-0.14948642,-0.14992328,-0.028946003,-0.072392794,0.014611466,0.011255758,-0.079703109,-0.16715665,-0.36839617,0.0021524685,-0.077753786,-0.10069359,-0.089489691,-0.23774776,-0.16615885,0.050058785,0.054705351,0.22559745,0.098772563,0.14831153,0.24687293,0.28632582,0.46283704,0.15458663,0.51659399,0.69927638,0.11818586,0.15817525,0.47164667,0.48420626,0.17444039,1.3264367,-1.0092806,0.87237439,0.3594285,0.47461338,0.60425018,1.7030982,-0.40497618,-0.032926938,0.14760109,0.5574167,-0.061703382,-0.10957554,-1.5749091,0.58024381,-1.469706,0.34410686,-0.83597009,0.3205305,-0.76687456,-0.45047246,-0.61900095,0.1103291,-0.6617629,-0.30153068,-0.40962139,0.082706595,-1.0783063,-0.13974164,-0.14470563,0.17420331,-0.48326983,0.22360814,0.53830909,1.0067414,-0.84887117,0.54554687,0.48771599,0.77391775,0.17829098,-0.23702082,-0.13701369,0.13223341,-0.38669434,0.0018920641,-0.24899375,1.216245,-2.3270208,0.22581673,-0.35879225,0.92855076,-1.2341989,0.089925068,-0.0020880077,0.27976133,-0.35101194,0.47806295,0.23275938,0.6980191,-0.1844937,0.38818057,0.60249931,1.568886,-0.78598136,1.1813887,-3.5412386,0.0061722634,-0.090210388,-0.20713356,-0.1129402,-0.13861764,-0.12352253,-0.1164307,-0.056317836,-0.17164078,-0.15735152,-0.11662486,-0.024171498,-0.16384341,-0.03976906,-0.18450381,0.028366165,-0.17411263,-0.02135778,-0.19637679,-0.024854426,-0.18612913,-0.09659799,-0.13820311,0.041848734,-0.14875988,-0.07508026,-0.10602942,0.034936791,-0.29749117,-0.14438072,-0.14667824,0.00092463638,-0.30337829,-0.13258983,-0.083941264,-0.011527896,-0.29838079,-0.086569932,-0.11644502,0.031405095,-0.27629212,-0.16359059,-0.09365797,0.094620169,-0.26825375,-0.077530171,-0.10718133,0.065989176,-0.35277474,-0.064974975,-0.15744564,0.046180153,-0.2959133,-0.047076832,-0.090474493,0.042458811,-0.2550433,-0.0062666851,-0.12504421,0.10023746,-0.32708076,-0.098444479,-0.061058634,0.10751824,-0.30326575,0.24744646,0.24552323,0.25555521,0.23937368
