# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:05:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cccede826.json
# init = 2 (Default)
# random
#   seed = 1890893351
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192205-1-773ba0.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192205-1-34bfe3.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00183564
# Diagonal elements of inverse mass matrix:
# 0.00502534, 0.00356423, 0.00716027, 0.0101574, 0.0112426, 0.0142453, 0.0411555, 0.00987699, 0.0156474, 0.0192811, 0.0177601, 0.0229149, 0.0202507, 0.0151164, 0.016498, 0.0595591, 0.285472, 0.424405, 0.300168, 0.345894, 0.356928, 0.31249, 0.41088, 0.191715, 0.428889, 0.366624, 0.280118, 0.316644, 0.357295, 0.283649, 0.347027, 0.293447, 0.358568, 0.225889, 0.388994, 0.224974, 0.284802, 0.250445, 0.278635, 0.231434, 0.237118, 0.289063, 0.264377, 0.31077, 0.370696, 0.238251, 0.286545, 0.320083, 0.4778, 0.308292, 0.388523, 0.234794, 0.325726, 0.296527, 0.279387, 0.213546, 0.258769, 0.267654, 0.214662, 0.290562, 0.342664, 0.263882, 0.203105, 0.318939, 0.35151, 0.462299, 0.44391, 0.481545, 0.382754, 0.340612, 0.437787, 0.299878, 0.299274, 0.423038, 0.314691, 0.507301, 0.496958, 0.295014, 0.517484, 0.527367, 0.310512, 0.350249, 0.503406, 0.20958, 0.344502, 0.333605, 0.586494, 0.387176, 0.570901, 0.454295, 0.401658, 0.452538, 0.534672, 0.498232, 0.373838, 0.458695, 9.31088, 139.98, 0.588762
-19703.439,0.99698125,0.0018356447,10,1023,0,19741.909,-0.15339691,-0.140072,-0.12447293,-0.34771621,-0.1569003,-0.087758991,-0.11907275,-0.16709201,-0.10695431,-0.51891979,0.21826956,-0.055136856,-0.12784413,-0.054111282,-0.011423747,0.67648379,0.21457463,0.081330189,0.16907294,0.30387084,0.069104997,0.27363966,0.16876057,0.22357926,0.15804905,0.35500385,0.35926034,0.45339069,0.20622172,0.12418937,0.19812734,0.94085072,0.3630034,-0.32979328,0.24842926,0.21654815,-0.044420545,-0.70656124,0.84770849,-0.35318852,-0.044036417,-0.15767815,0.71081504,-0.57058296,0.81062713,0.4271774,1.229439,0.46551248,1.8694146,-0.23369756,2.1151101,-0.4378134,-0.12163869,-0.3433105,0.56247202,-0.23763165,0.474082,0.030402595,0.92435474,-0.91068739,0.10106707,0.32032018,0.59305099,-0.65379965,-0.36025903,-0.13192432,0.5148986,-1.4112619,1.1401505,1.1726624,1.4017405,0.62488126,-1.1653614,-0.89954116,-0.46530713,-1.4123288,0.075727128,-0.10897934,0.2893936,-0.72233549,0.13073968,-0.29280293,0.59477237,-0.84675898,0.20409914,-0.51614322,1.1006376,-1.2073254,-0.15943925,-0.60227879,0.43330447,-1.770253,-0.80201448,-0.80180817,-0.59417382,-1.0272062,1.3901804,-4.1680257,0.026579827,-0.075505587,-0.22416218,-0.10009029,-0.10693117,-0.14368473,-0.19753676,-0.071127711,-0.16879689,-0.1319183,-0.15113204,-0.0042933439,-0.22094307,-0.10139026,-0.21790945,0.025874455,-0.20626054,-0.02771441,-0.17304997,-0.010735624,-0.1871554,-0.12104416,-0.18170236,0.066155659,-0.15278443,-0.039066407,-0.11394199,0.036921876,-0.27276087,-0.14449551,-0.095475065,-0.034498112,-0.31326806,-0.1638929,-0.12780482,-0.025575072,-0.33000291,-0.11416198,-0.10262012,-0.021296511,-0.29708453,-0.20039857,-0.1048999,0.051103165,-0.28912414,-0.020802881,-0.10454707,0.076071509,-0.38263704,-0.10088277,-0.18822645,-0.0051891463,-0.30246422,-0.028764338,-0.11821078,0.082576215,-0.20404827,-0.043013022,-0.13075164,0.074425715,-0.36215927,-0.078092108,-0.077897998,0.11745493,-0.28996389,0.25976601,0.25675725,0.26822414,0.26079232
-19696.735,0.97441067,0.0018356447,10,1023,0,19746.269,-0.17152993,-0.10275718,-0.14045792,-0.32619861,-0.14626987,-0.086579669,-0.11147237,-0.14182275,-0.094601411,-0.57599757,0.1550173,-0.08283202,-0.13126999,-0.076254289,-0.041091366,0.68781612,0.31798117,0.099403758,0.14111995,0.39642931,0.068261454,0.18253012,0.21788659,0.17039434,0.1420412,0.47508779,0.36868671,0.39692183,0.1980044,0.11167208,0.21541168,1.0168546,0.37939161,-0.23308873,0.23948162,0.2158797,0.19180611,-0.25481534,1.3440978,-1.0623127,0.012235231,-0.076611353,0.88302686,-0.54357427,0.67828618,0.37292596,0.90492054,0.43721167,1.6223172,-0.57482632,2.1934857,-0.67269694,0.10120444,-0.17054973,0.76688222,-0.41525494,0.029628132,-0.042777943,0.88373622,-0.69807484,-0.3855306,0.085262605,1.0519769,-0.83219486,-0.30750937,0.0081226032,0.5107295,-1.5976945,0.97419003,1.0531918,1.1542747,0.60200989,-0.98737625,-0.69003341,-0.33928241,-1.1941352,0.14494026,-0.07164359,0.31481926,-0.69529756,0.35006086,-0.40686357,0.6932896,-0.95118011,0.35149392,-0.15775636,1.0844525,-1.7126261,0.04008191,-0.36133933,0.56968494,-1.2828429,-0.76924939,-0.76971967,-0.6033489,-1.0011192,1.1200909,-3.1595078,0.022629655,-0.050890547,-0.24564776,-0.095379287,-0.10288425,-0.083690935,-0.12808678,0.030851189,-0.20835506,-0.13873129,-0.15126931,-0.015845212,-0.2171671,-0.05730609,-0.17835983,0.032538415,-0.15287509,-0.035528141,-0.18550835,0.0034606524,-0.19218915,-0.068106811,-0.11771013,0.053399436,-0.1623762,-0.1050168,-0.12079311,0.081081901,-0.26357352,-0.20751499,-0.12729449,0.037428161,-0.28362405,-0.13828041,-0.093447666,-0.022056781,-0.32153984,-0.11317178,-0.075639005,-0.027615731,-0.28999002,-0.20901521,-0.099388851,0.029928385,-0.28524449,-0.025302066,-0.11126893,0.042126617,-0.3588108,-0.061956403,-0.21183077,0.0060043978,-0.31960784,-0.037002233,-0.093871269,0.044848774,-0.2675068,-0.032457254,-0.11892808,0.081625425,-0.31743072,-0.094398666,-0.094876867,0.074298018,-0.33017652,0.25618108,0.26180973,0.25964208,0.24967373
-19706.128,0.99703765,0.0018356447,10,1023,0,19742.066,-0.038439656,-0.13443926,-0.20648722,-0.2765584,-0.11972765,-0.1000319,-0.12492655,-0.137479,-0.096604782,-0.50466269,0.23396938,-0.044030227,-0.058426273,-0.034860825,-0.00046053412,0.61652823,0.14195359,0.030077152,0.26174344,0.25019489,0.076736538,0.1513921,0.45684024,0.094731415,0.097935594,0.35433189,0.56061003,0.11117443,0.26904269,0.17231694,0.22879309,0.9604883,-0.2057914,-1.2619484,-0.26671935,-0.49958494,0.42286333,-0.29687832,1.8624918,-0.09388191,0.28389833,0.16631025,0.76987188,-0.080036165,0.72530478,0.32066928,1.1414638,0.37044833,1.302501,-0.77318751,1.7902271,-0.59532496,-0.081916278,-0.093497915,0.93667774,-0.28724984,0.091163293,-0.045492078,0.44498819,-0.30407263,0.12500094,0.46362137,1.0739735,-1.8724433,-0.08806475,0.11243134,0.55934061,-2.0864684,1.2188058,1.0181509,1.4989588,0.69608889,-0.7411033,-0.52810586,-0.34853984,-0.96651146,-0.15652698,-0.34788306,0.88866611,-2.5846397,-0.11590424,-0.5379523,0.38118559,-0.96043973,-0.093391642,-0.21899718,0.52541932,-1.1149118,-0.003144776,-0.48449473,0.40887228,-1.2740147,-0.73027395,-0.68825084,-0.54143076,-0.97321322,-0.055864425,1.4298416,0.056966827,-0.067652484,-0.21757775,-0.076301425,-0.10935753,-0.12172074,-0.14336851,-0.078420812,-0.13726296,-0.1321787,-0.16295661,-0.0049783075,-0.22743617,-0.095090845,-0.19632858,0.0090300246,-0.18387411,-0.019778238,-0.17905939,0.017648177,-0.16541083,-0.11243337,-0.11418674,0.041773709,-0.14351925,-0.08327949,-0.14570916,0.078361958,-0.26383916,-0.12563749,-0.093559494,-0.035739978,-0.31485821,-0.10522946,-0.085593752,-0.041825427,-0.3009443,-0.072800948,-0.14389937,0.026466196,-0.2580162,-0.18150056,-0.062092065,0.038574446,-0.30786664,-0.061432025,-0.082705928,0.054766721,-0.33137607,-0.089609462,-0.2031584,0.044128924,-0.31682556,-0.050953787,-0.072597748,0.055677824,-0.22697902,-0.0011800371,-0.11130958,0.09308662,-0.29194629,-0.084891355,-0.044528645,0.096490323,-0.31823168,0.25175357,0.26970216,0.25494512,0.25335608
-19712.113,0.99598009,0.0018356447,10,1023,0,19765.135,-0.020830664,-0.14343551,-0.18771866,-0.16751272,-0.13003065,-0.083669302,-0.062113897,-0.161892,-0.12240106,-0.51469134,0.15132329,-0.013267065,0.0041311107,-0.019973566,0.020414571,0.67287129,0.23828133,0.059285414,0.1693557,0.20069783,0.065508505,0.1610612,0.32818804,0.096381268,0.17795345,0.46235911,0.7395964,0.14047572,0.216465,0.18766598,0.29115417,0.89224541,-0.34215755,-1.007498,-0.50649577,-0.5440152,0.045729865,-0.94445986,2.0071307,0.10241995,0.24331774,0.3414713,1.1693698,0.06766983,0.48657663,-0.1773048,1.1086276,0.071243435,1.3997979,-0.94218141,2.2739867,-1.0182465,0.108371,-0.35963785,0.98580635,-0.35433548,-0.072206501,-0.28321474,0.53436432,-0.77433353,-0.029795739,0.16014947,1.7800535,-1.1313673,-0.12237196,0.16774038,0.063422497,-1.0454145,0.87957175,0.87312971,1.1898206,0.55257608,-0.52152081,-0.34613649,-0.1498056,-0.58234636,-0.47001599,-0.7327375,0.26266717,-2.4696778,-0.46078024,-1.0766635,0.31481412,-1.5081139,0.015689463,-0.38782571,0.35837302,-1.0965543,-0.14453812,-0.54477841,0.18767408,-1.1661326,-0.84283438,-0.84825162,-0.62951357,-1.1244756,0.88946476,-2.1862881,0.041981293,-0.10236042,-0.26089863,-0.14151915,-0.15045933,-0.1407244,-0.1994282,-0.024441935,-0.1373635,-0.14651141,-0.12988855,0.010320774,-0.17625838,-0.069857845,-0.20309741,0.054986439,-0.15321432,-0.038331988,-0.19175155,0.018934819,-0.19673446,-0.066214938,-0.14159301,0.075105853,-0.140739,-0.085811207,-0.15506159,0.11325808,-0.3162409,-0.16476375,-0.14645659,0.0096718168,-0.27093461,-0.14417757,-0.092551082,-0.11111481,-0.30843618,-0.10801333,-0.11099186,0.035433052,-0.25920276,-0.23439163,-0.10467802,0.040527604,-0.27937799,-0.079292901,-0.1161989,0.023631295,-0.36019684,-0.095611685,-0.22892885,0.072277349,-0.32232276,-0.017029188,-0.092755258,0.047280858,-0.22575951,-0.021668307,-0.13819994,0.075056661,-0.31910978,-0.079143826,-0.083977328,0.11119069,-0.33043688,0.26202838,0.26593157,0.25090416,0.25611391
-19700.889,0.99844163,0.0018356447,10,1023,0,19759.392,-0.075626695,-0.11969012,-0.16497603,-0.11680828,-0.1328336,-0.10039073,0.037268152,-0.13835225,-0.10521931,-0.62141148,0.11942593,0.021647789,-0.020025192,0.013074156,-0.035559574,0.61998049,0.12313757,0.053331418,0.24176969,0.16561484,0.069932345,0.13865166,0.29202317,0.095714437,0.22803665,0.60076236,0.7911401,0.13759302,0.19237558,0.21463934,0.50991892,0.80580559,0.096631923,-1.2717394,0.0094836491,-0.38811068,0.59474317,-0.63113055,1.4820245,-1.1270428,0.02567754,0.10894895,0.4563986,-0.22638553,0.092644066,-0.47722239,0.72846095,-0.45907362,1.6128849,-0.72390897,1.7179747,-0.80373496,-0.047747651,-0.18698968,1.4231284,-0.4265876,-0.42607728,-0.57757536,0.067693515,-1.1774106,-0.21001492,0.18585048,1.1828506,-1.5496604,-0.032759009,0.077550094,0.47010436,-1.0495636,0.84752353,0.83480664,1.102799,0.51088985,-0.40074376,-0.28116454,-0.10361847,-0.47791626,-0.69536965,-0.75445731,0.4204489,-2.2442571,-0.21715523,-0.5792464,0.45783237,-1.5584793,-0.12356301,-0.4806783,0.047837273,-1.1267047,-0.0014858688,-0.11680311,0.19250331,-0.59261993,-0.87296832,-0.86345146,-0.66172667,-1.164162,-0.40788398,2.8309497,0.030092924,-0.063727674,-0.23222559,-0.074458901,-0.1234177,-0.087971628,-0.15334921,-0.040651658,-0.17979692,-0.15876798,-0.13863548,-0.054632683,-0.21970919,-0.10146505,-0.19584339,0.0038356613,-0.19283769,-0.020040778,-0.18345826,-0.012691606,-0.18904068,-0.10701102,-0.12631716,0.096928382,-0.15953781,-0.087156287,-0.13139724,0.057036227,-0.30656303,-0.15845371,-0.12056368,-0.02513637,-0.28667713,-0.11268956,-0.087535044,0.0019817164,-0.34455829,-0.11225124,-0.11989107,0.041108662,-0.31448808,-0.19761853,-0.10301461,0.0374492,-0.25867279,-0.074030224,-0.082160273,0.079498625,-0.28714632,-0.061800554,-0.13145805,0.068050574,-0.31983855,-0.013447326,-0.090098316,0.023341917,-0.22876098,-0.036317246,-0.09511969,0.062601507,-0.33774769,-0.083462261,-0.075793515,0.086757441,-0.31810772,0.25959558,0.26034913,0.24824635,0.25831041
-19701.295,0.99820873,0.0018356447,10,1023,0,19745.066,-0.056067172,-0.1231066,-0.13483913,-0.084559798,-0.12778983,-0.095830398,0.098816096,-0.14650419,-0.13575463,-0.68503591,0.042736188,-0.06607331,-0.057286216,0.01186794,-0.023828063,0.49277118,0.14615275,0.048429012,0.3273792,0.23427914,0.082258911,0.087913947,0.30321651,0.1361429,0.19409626,0.68843054,0.83691462,0.12182319,0.15877477,0.31017558,0.3361058,0.94314511,-0.25113378,-0.93652289,0.037390873,-0.51177515,0.59876913,-0.28216066,1.8539758,-1.4326559,-0.18609575,0.012846374,0.30485309,-0.22037321,-0.032164813,-0.58928218,0.52528708,-0.41162192,1.1397694,-0.5356894,1.9005542,-0.89169879,0.25244608,-0.16685167,1.0495099,-0.81763767,-0.56994667,-0.65782675,-0.16620766,-1.1995321,-0.1887762,0.065790823,1.2366046,-1.1507853,0.14018993,0.38768691,0.35342556,-0.96469094,0.90814511,0.81632663,1.0090355,0.55424156,-0.2790332,-0.14065492,0.027575306,-0.37353368,0.058175083,-0.31775943,0.534977,-2.3222393,-0.03056666,-1.2266691,0.30455602,-1.5211186,-0.16157861,-0.38079175,0.22020437,-0.79063087,-0.061859369,-0.25640977,0.27582164,-0.96096984,-0.59472762,-0.61585393,-0.40352774,-0.88121519,-0.60386403,3.4875251,0.026890498,-0.092771064,-0.19294257,-0.050602393,-0.13086452,-0.094108807,-0.13677137,-0.033320387,-0.19248871,-0.19576301,-0.13063349,-0.035036568,-0.20698473,-0.092095343,-0.22261632,0.038504008,-0.18099423,-0.034033633,-0.17185505,0.028547694,-0.20114,-0.073636867,-0.11049899,-0.0035638415,-0.16771215,-0.074001144,-0.10064784,0.048419189,-0.26490184,-0.17220473,-0.13754724,0.02185074,-0.30317544,-0.10854429,-0.060506049,-0.067156048,-0.32299753,-0.059841081,-0.12305173,0.0096149554,-0.30347909,-0.19079077,-0.074979972,0.065814365,-0.26987961,-0.058986235,-0.10478378,-0.00090070486,-0.34897591,-0.06213943,-0.25205032,-0.0089304047,-0.29880147,-0.038249799,-0.10624436,0.080169959,-0.23336645,-0.044619356,-0.11000888,0.068877192,-0.3468156,-0.068143269,-0.088068442,0.11218596,-0.33834261,0.25257253,0.26425987,0.26341314,0.25629853
