# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:05:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cccede826.json
# init = 2 (Default)
# random
#   seed = 1890893351
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192205-2-773ba0.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192205-2-34bfe3.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00113892
# Diagonal elements of inverse mass matrix:
# 0.0140128, 0.00920997, 0.00949827, 0.0214975, 0.00866729, 0.0121977, 0.0205438, 0.0141708, 0.010486, 0.0179188, 0.0188376, 0.0243651, 0.0344039, 0.0617648, 0.0309654, 0.0325133, 0.517668, 0.469042, 0.373868, 0.485235, 0.335177, 0.367266, 0.349547, 0.361782, 0.343946, 0.342649, 0.33991, 0.316585, 0.443967, 0.544799, 0.304449, 0.307203, 0.475087, 0.26925, 0.293758, 0.28294, 0.274388, 0.254, 0.231876, 0.295779, 0.223507, 0.246604, 0.236095, 0.21606, 0.289586, 0.262819, 0.26886, 0.263326, 0.406201, 0.262816, 0.292588, 0.364806, 0.29884, 0.335822, 0.235819, 0.273283, 0.226903, 0.237072, 0.235147, 0.217127, 0.272759, 0.261896, 0.260868, 0.259339, 0.396778, 0.488547, 0.431794, 0.501513, 0.386535, 0.574778, 0.388753, 0.457961, 0.288589, 0.399392, 0.452442, 0.337066, 0.436257, 0.401774, 0.377115, 0.372643, 0.292769, 0.31355, 0.399436, 0.319708, 0.319017, 0.386413, 0.42044, 0.553441, 0.494182, 0.504309, 0.342956, 0.478708, 0.421172, 0.577511, 0.506313, 0.528838, 10.6723, 159.942, 0.954209
-19713.228,0.99997361,0.001138924,10,1023,0,19768.952,-0.14669897,-0.028441132,-0.16287063,-0.82246999,-0.015754556,-0.057469397,0.063036174,-0.10106084,-0.21198258,-0.14969799,-0.18271918,-0.32948865,-1.0878443,-0.17104301,-0.0043601014,-0.0099610631,0.063134326,0.062088624,0.061025225,1.3302615,0.14552529,0.11262412,0.32666139,0.19971174,0.24750872,0.069953405,0.28823474,0.46449021,0.83544503,0.15861521,0.17893831,0.16572359,1.2777621,-0.24795326,1.283585,0.25766341,-1.8884176,-1.7748851,0.194222,-2.10256,0.39095474,0.37666126,2.1793106,-0.73586516,0.55828774,0.46506804,0.59480122,0.48108372,-0.1134303,-1.0662017,0.21423494,-1.0447198,-0.41264468,-0.80795262,0.86085328,-0.61588385,-0.32445128,-0.58473165,-0.040309473,-0.98086542,-0.14835984,-0.089323959,0.73290226,-0.92699744,0.27818813,0.43526191,0.6942201,-0.42732957,1.1553409,0.018646258,2.3635811,-1.8760795,0.014864382,0.47580905,0.87760278,-0.33114147,0.57913783,0.58172993,0.81066432,-0.041913188,1.1701131,1.0967973,1.2768222,0.93878045,0.94213437,0.26018987,1.0942182,-0.46827702,-0.16519563,-0.59177535,0.50986557,-1.8651251,-0.40780314,-0.3303799,0.61952086,-1.6549588,-0.056129665,1.4275086,0.025909382,-0.066028317,-0.16235333,-0.065660691,-0.13043156,-0.14569038,-0.1386413,-0.016382155,-0.15898619,-0.13901253,-0.13988479,-0.02987771,-0.20777697,-0.079801314,-0.20380789,-0.031228844,-0.18250285,-0.032261532,-0.17091387,0.015422046,-0.1677877,-0.10394314,-0.14846435,0.039483445,-0.12683277,-0.042949532,-0.12797308,0.049868626,-0.25737469,-0.13069004,-0.11889988,0.045308351,-0.28619311,-0.1431286,-0.10425147,-0.040157055,-0.31775038,-0.068877958,-0.14839362,0.015642557,-0.28093614,-0.17843475,-0.045574487,0.070236423,-0.27816565,-0.060484798,-0.059280793,0.047056989,-0.34895691,-0.11027913,-0.17153051,-0.021129571,-0.30354488,-0.021606172,-0.12977294,0.002516642,-0.24531887,-0.033919927,-0.11025138,0.086874379,-0.33810243,-0.077543664,-0.064712807,0.09270816,-0.28422678,0.25917652,0.25638739,0.24982309,0.25068549
-19716.061,0.99721163,0.001138924,10,1023,0,19751.126,-0.17520323,-0.057170747,-0.14189854,-0.74348736,-0.032841335,-0.056153955,0.027511944,-0.12337656,-0.23742154,-0.14181395,-0.1870559,-0.34148046,-1.0848624,-0.15982891,-0.020866126,0.0278745,0.070547428,0.056479889,0.062558906,1.2936184,0.14064107,0.15338989,0.38320972,0.23463951,0.29295862,0.06875871,0.27177515,0.45554105,0.79267267,0.13841354,0.17860573,0.18135359,1.1338647,-0.33624,1.3555943,0.21874486,-2.1025719,-1.7590826,0.39782507,-2.1534892,0.37967393,0.19600165,2.1878961,-0.73446146,0.49469368,0.39330931,0.60235035,0.43891262,-0.17822376,-1.1725018,0.56531229,-1.2802974,-0.36041937,-0.70128521,0.96222486,-0.73802432,-0.31063577,-0.2843529,0.21254657,-0.82633484,-0.25037339,-0.14978769,0.49668099,-0.82088637,0.4092098,0.50154023,0.84089569,-0.2121815,1.1456279,-0.20332316,2.2288539,-1.9420709,-0.13731428,0.38832301,0.94485446,-0.22284772,0.63778616,0.49854853,0.97155718,0.035275246,1.2514714,1.1650387,1.3508768,0.98574751,0.96779047,0.58897739,1.5678414,-0.45629504,-0.066921304,-0.62136563,0.54365015,-1.6262151,-0.42829111,-0.38629423,0.43022821,-1.8583092,0.30520656,0.03073526,0.024500593,-0.095211988,-0.19892409,-0.079569534,-0.15977134,-0.17592377,-0.15652354,-0.034701631,-0.17879958,-0.11814656,-0.1296369,-0.0050261547,-0.18784565,-0.1035425,-0.23469519,0.035724151,-0.1757019,-0.057906915,-0.19774324,0.046664789,-0.21290374,-0.11143864,-0.16372402,0.091441611,-0.16935943,-0.091526704,-0.081454852,0.10896186,-0.2891476,-0.18212405,-0.15852267,-0.0068355815,-0.31598894,-0.11754,-0.090491003,0.0089261055,-0.29958193,-0.063042049,-0.15579418,0.011439168,-0.27534823,-0.22437451,-0.081519356,0.069732064,-0.24762037,-0.050942677,-0.11437114,0.10110372,-0.32541113,-0.092855217,-0.16136808,-0.014059328,-0.30348732,-0.02587361,-0.078306469,0.057181567,-0.22298633,-0.032818655,-0.13184559,0.076232908,-0.31131746,-0.04979763,-0.042181346,0.10589793,-0.30913655,0.25858499,0.26787009,0.25799368,0.25761424
-19712.489,0.99976771,0.001138924,10,1023,0,19769.185,-0.21243211,-0.06885252,-0.15004231,-0.61919961,0.010396612,-0.059544455,-0.0090006437,-0.064207136,-0.28116446,-0.1422764,-0.1644758,-0.30765821,-0.90793654,-0.20057328,-0.0073831771,0.022517708,0.11438726,0.042827432,0.066418283,1.2548368,0.16795417,0.1529301,0.27832995,0.22467029,0.3627143,0.075803417,0.18515191,0.38035773,0.70432175,0.16292105,0.22618627,0.19919329,0.81555951,-0.41853909,1.6232873,0.57518828,-1.9327213,-1.7128403,0.76789756,-2.0073989,-0.11081232,0.16421846,1.8577505,-0.48851553,0.40337037,0.35876922,0.49675602,0.35113066,-0.17781798,-1.1241382,-0.27515273,-1.2626191,-0.44317901,-0.45703894,0.73209603,-0.71850298,-0.15995993,-0.47308793,0.12659671,-1.0006282,-0.59335811,-0.22494969,0.1953723,-1.1761098,0.48220146,0.58246584,0.5806634,-0.053709062,0.87259254,-0.32044759,2.0939066,-1.5841905,-0.050335706,0.55772932,1.0418705,-0.54312898,0.57463717,0.51669865,1.0191266,-0.081676722,1.2127212,0.99551432,1.2715722,0.85503316,1.0857869,0.81243297,1.4291901,-0.2294875,-0.13925846,-0.4048394,0.33708797,-1.3192398,-0.49160959,-0.56142404,0.31273978,-1.5500333,0.80617656,-1.8952268,0.050577521,-0.11914249,-0.26030765,-0.026748725,-0.1466379,-0.15162601,-0.14220907,-0.035965439,-0.15482426,-0.15740227,-0.1391352,-0.026653711,-0.18248867,-0.11303561,-0.16900277,0.0041481528,-0.17858792,-0.019468661,-0.1784071,-0.035816437,-0.20166553,-0.12731987,-0.12943947,0.052415063,-0.16942519,-0.053522285,-0.14067518,0.026235013,-0.28750546,-0.19751708,-0.11474665,-0.020312783,-0.32844408,-0.1062631,-0.06989577,-0.070549542,-0.30064551,-0.076130901,-0.16656742,0.016448875,-0.26236345,-0.17379555,-0.061211152,0.028428513,-0.26503717,-0.089090521,-0.11112788,0.079974452,-0.33872458,-0.053790642,-0.20677415,-0.012340566,-0.30571809,-0.023675741,-0.068210844,0.032271877,-0.23796162,-0.038881529,-0.09895229,0.068861493,-0.3057771,-0.075407625,-0.089314195,0.084813375,-0.28623854,0.25487793,0.27228725,0.25807467,0.25333488
-19713.792,0.99344139,0.001138924,10,1023,0,19767.959,-0.19751975,-0.044185559,-0.15806955,-0.62806153,-0.028970163,-0.063487836,0.032428094,-0.05526,-0.28876526,-0.13215088,-0.15978414,-0.2886035,-0.96839112,-0.18503031,-0.0038218315,0.037002533,0.053569434,0.065487865,0.054296528,1.0239638,0.13447953,0.12761573,0.25279082,0.15078469,0.38902522,0.075665126,0.19670025,0.40350134,0.78946935,0.12569995,0.18150065,0.25501991,1.5633275,-0.4377387,1.245869,1.3014551,-1.7168359,-1.6388611,0.78083096,-1.7790256,0.48999101,0.085031687,2.5705313,-0.78075162,0.51746223,0.435679,0.68724966,0.44504746,-0.14743738,-1.19241,0.59580087,-1.1687828,-0.21954014,-0.58621011,1.1083252,-0.63569996,-0.44934166,-0.52396219,0.035008859,-1.1603217,-0.77098525,-0.43277967,0.33151111,-1.5768071,0.39926935,0.55456928,0.43774019,-0.057740719,0.82717054,0.09817818,2.2827465,-1.9780609,-0.27323928,0.41455439,1.2089228,-0.56747413,0.49091189,0.43271347,0.91010511,-0.19485994,1.1439375,0.91218075,1.2048873,0.81123973,0.99089776,0.77547501,1.9044712,-0.4779675,-0.16739095,-0.59065606,0.5206614,-1.6275262,-0.51742766,-0.40905873,0.1079607,-1.3119014,-2.2802239,10.173405,0.092338223,-0.11377319,-0.22096917,-0.13077926,-0.12780154,-0.15661748,-0.15151107,0.0069493937,-0.16069015,-0.13146474,-0.15345263,-0.018498627,-0.20046166,-0.098198935,-0.18194201,0.075657241,-0.17234904,-0.048797473,-0.1893249,0.051152858,-0.18614753,-0.091504612,-0.13829747,0.077951891,-0.14461315,-0.081161353,-0.10002474,0.041278013,-0.2608906,-0.17151277,-0.12051655,-0.0052732004,-0.29301836,-0.13343942,-0.073023824,-0.11847329,-0.31122786,-0.069562918,-0.12472222,0.040573423,-0.28182111,-0.21353037,-0.078241187,0.07801128,-0.27140644,-0.090519888,-0.11400303,0.078625139,-0.36722974,-0.065287563,-0.24825238,-0.017169557,-0.32794222,-0.060474517,-0.087553145,0.054361617,-0.2451108,-0.034203397,-0.11102629,0.090678552,-0.2992189,-0.09495182,-0.067315587,0.064534661,-0.29755845,0.25013152,0.26894032,0.25548853,0.25347271
-19715.864,0.99905773,0.001138924,10,1023,0,19765.446,-0.19342121,-0.086053182,-0.13440761,-0.65296599,-0.071706824,0.036553952,0.056241333,0.055724998,-0.18355648,-0.12998638,-0.16040502,-0.22956681,-1.0947941,-0.097807999,-0.084874034,-0.055884696,0.07420548,0.038574392,0.060466896,0.68063468,0.1024739,0.23589262,0.17686319,0.17181632,0.25997237,0.082588708,0.23214199,0.3868548,0.71859608,0.096165342,0.24227307,0.38955435,2.1763805,-0.4880676,1.7158828,0.90616014,-0.79680284,-2.2987464,0.68690002,-2.5479363,-0.63323208,0.0010556031,2.2034556,-1.5130871,0.82055834,0.66796705,1.00896,0.69999375,0.52926328,-1.0800453,0.79261672,-1.3105771,-0.45892328,-0.74974337,0.16585876,-0.78841678,-0.6788936,-1.0825763,0.082098341,-2.0721366,-1.2299089,-0.9889082,-0.10459412,-2.0250131,0.24229001,0.36626772,0.28594264,-0.4509513,0.52872579,0.39871109,1.8809447,-1.9369047,0.0073479308,0.4505359,1.0209344,-0.64300683,0.44407199,0.36758608,0.69952012,-0.40549896,1.4543319,1.2801675,1.557858,1.1492863,0.76103525,0.035871573,1.1886348,-1.0852227,0.1671336,-0.23883307,0.7181323,-1.1303763,-0.087543347,-0.10042059,0.50012428,-0.62606494,0.89713122,-2.2350411,0.025889162,-0.031921851,-0.2296385,-0.066093309,-0.12617917,-0.11678937,-0.17472593,-0.059556431,-0.18433828,-0.17269719,-0.13434378,-0.0011714906,-0.22589929,-0.094465527,-0.19832445,0.033767193,-0.17652597,-0.017471154,-0.18238327,0.0095156993,-0.20600677,-0.071702664,-0.14030498,0.075678809,-0.14942775,-0.063829957,-0.13522657,0.070761508,-0.31024337,-0.15559341,-0.11418557,0.037754021,-0.29220529,-0.12056777,-0.088336991,-0.10921929,-0.30079135,-0.086319603,-0.09705735,0.025358412,-0.28995284,-0.15869926,-0.055816725,0.076596722,-0.30967391,-0.057775427,-0.087364365,0.041045911,-0.38643603,-0.049716936,-0.17487077,0.024676502,-0.26892147,-0.024622784,-0.094358397,0.016497471,-0.20216881,-0.044382064,-0.14273685,0.089110082,-0.35873376,-0.089987587,-0.095003972,0.13894089,-0.29977101,0.25493534,0.26070954,0.24936689,0.25990534
-19712.264,0.9999294,0.001138924,10,1023,0,19768.466,-0.22540266,-0.087086014,-0.1219862,-0.6028356,-0.06381825,-0.0038173495,0.040450234,0.079500422,-0.11683768,-0.13000222,-0.1388791,-0.23024304,-1.0390476,-0.11780529,-0.075201833,-0.055324033,0.077225476,0.040874256,0.041618807,0.98227377,0.089265666,0.2702674,0.13573742,0.23296161,0.22003402,0.076846771,0.19675618,0.47096896,0.83079765,0.081644989,0.29630915,0.37629039,1.7058947,-0.14113249,1.9190666,1.4625803,-0.32365699,-2.0266457,0.06339692,-2.5280294,-0.53106688,0.28082736,2.2201271,-1.820286,0.53364696,0.39753359,0.6374948,0.44564403,0.33153171,-1.4580863,0.81969171,-1.2148693,-0.34093457,-0.50971496,0.073035359,-0.55796456,-0.76389112,-1.0671424,0.23169297,-2.255084,-1.1116826,-0.87683106,-0.50167002,-1.5933906,0.0011972399,0.061943826,0.53444763,-0.91400372,0.4920658,0.14975131,1.7051559,-1.9214954,-0.25206631,0.28885901,1.1040127,-0.73652884,0.33905239,0.3072508,0.56263032,-0.22976802,1.1035762,1.0084105,1.2696021,0.86323385,0.74869699,0.53718682,1.7559775,-1.1053089,0.19167561,-0.11820398,0.61120851,-0.83563812,-0.089241188,-0.15809204,0.37448904,-0.7191917,-0.72804567,4.0580406,0.048360548,-0.093664128,-0.23630168,-0.077201823,-0.1124542,-0.10031525,-0.16992365,-0.084494712,-0.19041733,-0.14408857,-0.1102985,-0.029587156,-0.19774433,-0.078648187,-0.21234878,0.023358828,-0.16509116,-0.034223852,-0.1939753,0.0093520756,-0.17226437,-0.095960847,-0.14157669,0.015921727,-0.15461698,-0.063238373,-0.10440092,0.07189964,-0.26564904,-0.17947895,-0.12476755,-0.037369433,-0.29169841,-0.11657425,-0.10320793,0.00075898019,-0.3179496,-0.092188557,-0.11849432,0.0010335023,-0.27766294,-0.1884747,-0.082044304,0.078342215,-0.2837957,-0.070559895,-0.085537453,0.034738371,-0.33845665,-0.12219907,-0.20126248,0.01573493,-0.3218749,-0.056677931,-0.073946676,0.025561477,-0.20804822,-0.018406598,-0.11022675,0.10590484,-0.32280905,-0.088904635,-0.11481255,0.085592595,-0.32594896,0.25481604,0.26854428,0.25317012,0.25896018
