# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:23:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc136a49ef.json
# init = 2 (Default)
# random
#   seed = 1391783155
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192223-1-5ae7f6.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192223-1-887275.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0024318
# Diagonal elements of inverse mass matrix:
# 0.0049405, 0.00391287, 0.00812282, 0.00718473, 0.0402087, 0.00596416, 0.0287876, 0.0171574, 0.00776517, 0.0408224, 0.0230014, 0.0171843, 0.0107496, 0.00628716, 0.0126231, 0.0762319, 0.410851, 0.577108, 0.44689, 0.24356, 0.552246, 0.254587, 0.26874, 0.285616, 0.255749, 0.913141, 0.274518, 0.323874, 0.312709, 0.24741, 0.232864, 0.319428, 0.451959, 0.286498, 0.278898, 0.2789, 0.363181, 0.208423, 0.302803, 0.240016, 0.182304, 0.176455, 0.366203, 0.121218, 0.231411, 0.193444, 0.189765, 0.300828, 0.438736, 0.463845, 0.381162, 0.344146, 0.74979, 0.211082, 0.30172, 0.277916, 0.171727, 0.179296, 0.369696, 0.104696, 0.276956, 0.193575, 0.199102, 0.300801, 0.399808, 0.419099, 0.624473, 0.470025, 0.48297, 0.466602, 0.429529, 0.476578, 0.193622, 0.373107, 0.558207, 0.245903, 0.335896, 0.316237, 0.227614, 0.461002, 0.309331, 0.568898, 0.412279, 0.291138, 0.787712, 0.229918, 0.480328, 0.374172, 0.423158, 0.530123, 0.502753, 0.284723, 0.460323, 0.439865, 0.430283, 0.512154, 3.94922, 63.1723, 0.702184
-19707.757,0.98516403,0.0024318017,10,1023,0,19752.882,-0.40503983,-0.16274484,-0.20007618,-0.22641369,-0.12957514,-0.13327711,-0.058215077,-0.092263696,-0.1299784,-0.20474459,0.04563739,0.026198843,-0.19195298,-0.029037764,-0.0012383829,-0.096746909,0.28172081,0.078669176,0.27064254,0.093549795,0.12509646,0.15481308,0.25987817,0.13146849,0.19288629,0.13083163,0.17760993,0.25733474,0.2452292,0.12963242,0.3224841,0.14681824,1.1846209,0.61082844,0.91951015,1.0536635,0.32388906,0.14712692,0.99816541,0.0039281622,0.34015799,0.2175561,0.74426136,-0.044699958,1.4814226,0.24003253,2.4714534,0.42668813,0.82443506,-0.42784248,1.321771,-0.17646913,0.281799,0.022932844,1.3655308,-0.16201877,-0.1603429,-0.14711309,0.40895173,-0.84877864,-0.49429239,-0.25245563,0.72846821,-1.6374899,0.056923626,0.3061146,0.63086261,-0.85149191,0.74429955,0.51791932,1.5533345,-0.58203671,-1.315348,-0.74694021,0.066246586,-1.8325041,-0.13875346,-0.43308436,0.054650715,-1.511406,0.6432557,-0.10708105,0.99135554,-0.415115,-0.23764671,-0.58138099,0.70081439,-1.3800964,-0.13572698,-0.33745011,0.23643236,-0.98696549,-0.12225191,-0.074992811,1.2879561,-1.2982343,-3.9545814,16.529614,0.44645102,-0.071307477,-0.23295675,-0.14599469,-0.1082009,-0.13726476,-0.15117049,-0.084219995,-0.16243582,-0.10801496,-0.14119624,0.0013526074,-0.21217389,-0.087826911,-0.2039587,0.004790266,-0.1864971,-0.02644123,-0.18309671,0.035773737,-0.1516508,-0.089650938,-0.12972681,0.078124924,-0.15835973,-0.099884697,-0.096446558,0.048062552,-0.27879412,-0.15724757,-0.12545366,0.0035069193,-0.30754203,-0.11899862,-0.070933095,-0.0082936548,-0.29421952,-0.10736667,-0.13698436,-0.0015193023,-0.2808934,-0.18798147,-0.087026607,0.057403442,-0.27983353,-0.0095072417,-0.085248809,0.040262371,-0.36273844,-0.034207901,-0.21821238,0.051156345,-0.2937513,-0.059844482,-0.10440359,0.061810501,-0.20794299,-0.045008176,-0.11006068,0.075007293,-0.31951905,-0.11469572,-0.10775722,0.09234855,-0.28735139,0.24176222,0.25084712,0.24601321,0.25832752
-19705.606,0.99955053,0.0024318017,10,1023,0,19750.445,-0.3814304,-0.14203588,-0.19269895,-0.18607376,-0.18931173,-0.11600302,-0.01914068,-0.095384852,-0.15843494,-0.18143066,0.042192845,-0.038348569,-0.22084044,-0.012218685,-0.041592657,-0.069170425,0.35063637,0.10016349,0.27809857,0.080284192,0.20326115,0.11064366,0.29598157,0.13010487,0.16228362,0.10872951,0.16213263,0.20325045,0.25795868,0.16919776,0.27438516,0.13086663,0.83350342,0.41116427,0.76331704,0.75568065,0.1531819,0.21743772,1.1083262,-0.46050893,0.16220309,0.21454291,0.75366657,-0.040253415,1.1677619,-0.047218874,2.4667036,-0.00087682726,0.82005422,0.17059493,1.0138049,0.086538761,0.47942792,0.012188618,1.5433155,-0.37834214,-0.3295213,-0.2624641,0.19530655,-0.94664983,-0.41894061,-0.15599706,0.78001366,-1.3875584,0.31050058,0.29313112,0.75516357,-0.76030424,0.63677621,0.43627813,1.6653071,-0.89146437,-1.485925,-0.59013907,0.11083451,-1.938326,-0.26822515,-0.27604225,0.66528819,-1.5646402,0.57854328,0.19499131,0.92385499,-0.25766341,0.011362621,-0.2300226,0.24492245,-1.4657361,-0.00062958027,-0.24289757,0.28660593,-1.0964765,-0.084862861,0.039675951,1.1609591,-1.8308186,-4.8765548,21.356198,0.37313267,-0.089173784,-0.23726125,-0.11378368,-0.11646128,-0.12669265,-0.12025656,-0.031022059,-0.18816206,-0.1475905,-0.13303487,0.016894646,-0.20389337,-0.092320947,-0.18986469,0.011963541,-0.18614416,-0.022626571,-0.15463641,0.016755425,-0.17172176,-0.062957354,-0.11465442,0.054755069,-0.15786418,-0.11667291,-0.096825216,0.03866646,-0.29933158,-0.14989107,-0.11568083,0.0060987273,-0.27591296,-0.10804578,-0.11086456,-0.035884256,-0.28181986,-0.1121943,-0.13399436,-0.00036264035,-0.27835914,-0.19872408,-0.053487952,0.060162735,-0.27207304,-0.092865452,-0.094454283,0.096871557,-0.3563624,-0.071600181,-0.17054074,0.017475972,-0.28730696,-0.010296155,-0.051137994,0.029221644,-0.26021795,-0.041765405,-0.10824015,0.037047758,-0.34244954,-0.080276142,-0.063978167,0.082760374,-0.30876349,0.24160747,0.24848325,0.24370062,0.2568729
-19715.084,0.99877618,0.0024318017,10,1023,0,19761.612,-0.36976931,-0.16240697,-0.17344175,-0.12930671,-0.23001576,-0.081359482,-0.097085983,-0.085358532,-0.24625177,-0.17495117,0.08891144,-0.057880701,-0.18164598,-0.09547263,-0.09751438,-0.2736586,0.3272458,0.088884175,0.27145381,0.063090279,0.28143405,0.16269685,0.15076716,0.16101332,0.10315215,0.08598125,0.26953785,0.10249478,0.16873455,0.13351449,0.36306308,0.32875464,1.0253541,0.4727669,0.82870619,0.79215533,0.6123739,-0.0050142967,1.4295649,-0.26186813,0.087335478,0.12410512,0.61064229,-0.28651053,0.74943602,-1.1088098,2.2805414,-0.62539853,0.6189079,0.21270526,1.0026456,0.16803755,0.10838161,-0.51193226,1.0138413,-0.39266034,0.30758789,-0.11394531,1.0213789,-1.4953306,-0.59997332,-0.17294407,0.73935003,-1.2724792,0.63811139,1.3510115,1.4558469,-0.8077842,0.86354612,0.47486706,2.027934,-1.2642921,-1.0891507,-0.58663315,-0.017397106,-1.4424573,0.25258026,-0.15361572,1.115833,-3.001769,0.64865634,-0.18114839,1.1995484,-0.67266016,0.31021583,0.14953806,0.4343878,-0.90511862,0.20006469,-0.049621677,0.35951547,-0.60025744,0.46276644,0.59200265,1.2955076,-0.10441984,-4.493952,19.308756,0.083245583,-0.034226487,-0.21505833,-0.09857869,-0.11053981,-0.10797662,-0.16285266,-0.035341271,-0.1856829,-0.1497342,-0.13975294,-0.0076805692,-0.25121612,-0.082024585,-0.19926183,0.014573278,-0.16876328,-0.055834008,-0.17015326,0.052162849,-0.18272428,-0.063726135,-0.16464925,0.083589297,-0.14524408,-0.05071183,-0.11426519,0.056904415,-0.32253273,-0.18196223,-0.11320483,0.033686672,-0.29024463,-0.18042921,-0.10689203,-0.09607804,-0.32957644,-0.1007024,-0.13412151,-0.00058686731,-0.28365658,-0.20465591,-0.069208399,0.084222261,-0.2998854,-0.031992544,-0.07362551,0.056486354,-0.36554634,-0.072195246,-0.21221198,0.020759284,-0.295147,-0.054054322,-0.075507133,-0.037475565,-0.21631908,-0.024878277,-0.11553018,0.033012413,-0.3154457,-0.12152198,-0.079034974,0.15224554,-0.3079871,0.2514645,0.24533431,0.24533813,0.25127759
-19713.944,0.99875944,0.0024318017,10,1023,0,19756.855,-0.43716091,-0.14948634,-0.22039669,0.027989216,-0.14946137,-0.13337691,-0.19503983,-0.13574709,-0.11253259,-0.17955172,0.12558492,-0.030176411,-0.14298009,-0.092760197,-0.023099103,-0.1344682,0.70655914,0.14105173,0.11121621,0.18788498,0.096061541,0.17687227,0.2690343,0.1204731,0.07086396,0.092846323,0.74726443,0.13553735,0.25415321,0.095650675,0.39859871,0.13682207,0.50593236,0.32149008,0.42108481,0.45189753,0.061578143,-0.26950578,0.77000129,-0.1104704,0.75317932,0.8082955,1.9511222,-0.040072686,-0.65885799,-1.132539,0.087029052,-1.0630101,1.0685715,-0.5376672,1.7890213,-0.164741,0.36119738,-0.23644319,1.2450339,-0.11157612,0.54047314,0.27241401,0.94087984,-0.35777928,-0.33466815,0.11261628,1.1636713,-1.4742526,0.54690653,0.36687334,1.3829953,-2.268983,0.9756157,0.69256392,1.2475226,-1.2535399,-0.36116583,-0.23335381,-0.078419447,-0.5705777,-0.36703692,-0.51367289,0.70028274,-2.1490756,0.40460868,-0.10483734,0.57335575,-0.48564834,0.64333253,0.22271786,0.74076769,-1.2756704,-0.038995511,-0.20728227,0.15488534,-0.72858323,0.53765152,0.43136235,1.9072144,-1.3678334,-7.3411761,30.837562,0.24894437,-0.079689775,-0.21000916,-0.13963959,-0.11786858,-0.14080064,-0.1875006,-0.040876331,-0.16506838,-0.13663094,-0.13050113,-0.0034002693,-0.22485342,-0.095800305,-0.18479785,0.044340668,-0.17173442,-0.046812743,-0.20111051,0.022394773,-0.16528664,-0.069491112,-0.17519716,0.086835068,-0.15311163,-0.049634015,-0.12175112,0.058089122,-0.29129473,-0.1760656,-0.12217985,0.0044440111,-0.31335487,-0.073776624,-0.086534489,-0.014528066,-0.27332171,-0.088969388,-0.11524971,-0.06372383,-0.29593829,-0.14430146,-0.048792086,0.066984852,-0.30078751,-0.079923622,-0.099798273,0.064738056,-0.32145642,-0.040147497,-0.16962484,0.0027401126,-0.26640918,-0.031225007,-0.071457084,-0.021905268,-0.21477893,-0.038642663,-0.10572155,0.038637993,-0.31351144,-0.060905602,-0.075448306,0.12648083,-0.32161799,0.25188865,0.24475335,0.24641512,0.25520303
-19697.851,0.99572371,0.0024318017,10,1023,0,19755.49,-0.30075173,-0.18747502,-0.18248343,0.086169017,-0.11049603,-0.16008257,-0.3802362,-0.21292848,-0.11244699,-0.13893212,-0.037356472,0.08589656,-0.17964247,-0.078496698,0.031509006,-0.18611298,1.1201206,0.11638743,0.18067961,0.38902309,0.21424047,0.13499748,0.37141436,0.13920099,0.085805971,0.097850181,0.56244236,0.29196664,0.27527884,0.075702186,0.42799258,0.30893892,0.21672634,0.071210368,0.12487937,0.15940908,0.60684755,0.0036603931,1.3168765,0.25602135,0.36567049,0.34508522,0.99498946,-0.32928158,-0.35387397,-0.74903311,-0.25335647,-0.67894162,0.42898168,-0.24873501,0.65847505,-0.34634319,0.39319569,0.14187069,1.4842719,0.073678551,0.90440762,0.75108058,1.2272314,0.1500015,0.40770022,0.73252548,1.4948278,-0.39605351,-0.13773516,0.393687,1.132332,-2.1042101,0.14027921,-0.32457769,1.7806436,-1.4433815,-0.28685899,-0.0097930266,0.20275229,-0.45120843,-0.4772161,-0.63282924,-0.033412196,-1.4408063,0.37159688,-0.17898199,0.63326689,-0.48948844,0.32138375,-0.34346514,1.8670297,-1.8634563,-0.15940911,-0.3266594,0.056864316,-0.92380661,0.37245912,0.28794301,0.99434317,-0.45107888,-6.453014,26.828535,0.079657669,-0.057992099,-0.22098753,-0.16087178,-0.12219434,-0.11684559,-0.18704899,-0.034207155,-0.15767735,-0.11641422,-0.12013356,-0.0027091149,-0.2419779,-0.05149613,-0.20522216,-0.012392499,-0.17795495,-0.018590795,-0.16378514,0.030575972,-0.18469676,-0.10700215,-0.14093039,0.040290401,-0.15013615,-0.044326214,-0.10127408,0.075575173,-0.32452348,-0.15617621,-0.11096021,-0.0048469734,-0.26805953,-0.12426549,-0.078666298,-0.015286144,-0.29300078,-0.12520577,-0.1706921,0.035304183,-0.28016726,-0.19869812,-0.042864485,0.076680003,-0.29113521,-0.05343462,-0.098868466,0.076141313,-0.3347708,-0.077349712,-0.22891243,-0.0053174935,-0.31438828,-0.054167246,-0.10449776,0.062841533,-0.21956441,-0.036716911,-0.10829879,0.055846511,-0.36387337,-0.071045859,-0.097156173,0.12107833,-0.3254688,0.25174932,0.25002908,0.24828773,0.25314697
-19711.902,0.99833747,0.0024318017,10,1023,0,19748.771,-0.2891989,-0.12932482,-0.33102886,0.090940323,-0.034325469,-0.13945846,-0.28542661,-0.17155125,-0.12581679,-0.21980853,-0.037612442,-0.18120447,-0.14830542,-0.037424295,0.00061105323,-0.25149303,0.34166826,0.070569983,0.22903754,0.16566877,0.094213996,0.099401623,0.37334406,0.17448959,0.099839266,0.23517504,0.19134876,0.46669266,0.15123696,0.10411926,0.19954532,0.26684747,0.6623167,0.13487378,0.66227943,0.47515118,0.040215116,-0.11233731,1.5318298,-0.66682741,1.0734845,0.86000949,1.5648982,0.45486355,-1.149889,-1.7131316,-0.28990421,-1.6427721,0.028964254,-1.6236438,0.52670459,-1.7737057,0.25289404,0.25798035,1.5155508,-0.20758379,0.62852407,0.50448731,0.92622543,-0.052001274,0.027437611,0.30457596,0.71469147,-0.55577832,0.30288159,0.35700865,0.71186057,-1.6898264,0.39739738,0.3226836,1.2614312,-0.097158378,-0.57578265,-0.20022492,0.54375405,-1.1013859,0.20219987,0.19940667,0.58316941,-0.35402684,0.48437743,-0.38344576,0.74644538,-1.1592828,0.27873361,-0.18164362,0.63403126,-1.8047881,-0.25496357,-0.65228957,0.13049774,-1.5972567,0.7706333,0.69597001,1.2400527,-0.16732597,-5.1201028,21.611482,0.041306923,-0.062906302,-0.24311681,-0.062919035,-0.12685482,-0.12648684,-0.13725247,-0.021223621,-0.17638282,-0.085160612,-0.13405441,0.027391566,-0.22684804,-0.099560377,-0.19287209,0.042912249,-0.18121571,-0.031596631,-0.18729544,0.015297475,-0.20143337,-0.11432038,-0.1138148,0.011189747,-0.16009263,-0.050770881,-0.097079267,0.06037415,-0.30484097,-0.16676367,-0.11840592,-0.046845029,-0.26852878,-0.095577319,-0.090173313,-0.054745157,-0.29452782,-0.12635058,-0.1439214,0.076848601,-0.24265775,-0.14778773,-0.075925232,0.066434219,-0.24836127,-0.086839274,-0.088142837,0.090956415,-0.3464262,-0.075049656,-0.20629659,-0.035415297,-0.32363182,-0.0084027581,-0.056336894,0.028590569,-0.22533749,-0.050265734,-0.12955028,0.026651267,-0.31811406,-0.045851481,-0.06577519,0.079411893,-0.29614354,0.25188846,0.24944958,0.24893492,0.25285616
