# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:23:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc136a49ef.json
# init = 2 (Default)
# random
#   seed = 1391783155
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192223-4-5ae7f6.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192223-4-887275.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00142499
# Diagonal elements of inverse mass matrix:
# 0.00429104, 0.0075443, 0.00957094, 0.00984619, 0.033066, 0.0198623, 0.0978949, 0.0239582, 0.0277167, 0.131527, 0.0738559, 0.0380455, 0.0307866, 0.0137005, 0.0340175, 0.0251935, 0.42099, 0.427078, 0.410091, 0.275642, 0.415811, 0.369982, 0.5069, 0.34728, 0.415285, 0.644134, 0.439686, 0.342113, 0.391377, 0.293239, 0.336493, 0.290938, 0.395684, 0.371164, 0.295736, 0.278258, 0.361394, 0.256295, 0.272201, 0.265308, 0.288669, 0.314514, 0.315103, 0.271339, 0.28693, 0.280637, 0.238132, 0.287564, 0.428063, 0.340221, 0.273634, 0.387976, 0.421683, 0.294461, 0.250611, 0.289645, 0.320363, 0.279534, 0.271769, 0.273384, 0.263309, 0.2591, 0.215624, 0.28535, 0.385528, 0.572515, 0.454, 0.442694, 0.44902, 0.543155, 0.489138, 0.44181, 0.402713, 0.490005, 0.438278, 0.415273, 0.416509, 0.413938, 0.346129, 0.447932, 0.269753, 0.40631, 0.404938, 0.337381, 0.438626, 0.303832, 0.449014, 0.469809, 0.562719, 0.496128, 0.46054, 0.570117, 0.404875, 0.436268, 0.429949, 0.482043, 58.3568, 930.894, 1.63673
-19722.569,0.96553634,0.0014249892,9,658,1,19759.195,-0.3126706,-0.14234897,-0.18434464,-0.16670276,-0.14102351,-0.097666538,0.24820342,-0.17028341,-0.21227621,-0.089947206,-0.20276849,-0.010943944,-0.10559931,-0.38057341,-0.084126448,-0.21390486,0.15154369,0.025287626,0.089275965,0.11005437,0.37042307,0.085524166,0.36913382,0.10610429,0.15887983,0.17590651,0.21796215,0.21608577,0.23172596,0.43476376,0.1409567,0.13546482,1.4106405,0.63050713,1.2318219,1.3030031,-0.98186672,-0.57627814,2.8373002,-1.2138293,0.33445819,0.084527107,1.8128208,-0.16614183,0.75885732,-0.066152908,1.8458212,0.16315699,0.25641297,-0.064175284,0.39879078,-0.080008609,0.30146106,-0.83650647,2.4257535,-0.71227813,-0.83582805,-1.0668399,-0.46843804,-1.4492349,-0.47511256,0.54981849,1.5666277,-1.265168,0.52437932,0.86167229,1.3904285,-0.66969611,0.059845357,-0.18471679,0.35570518,-1.1936128,-0.19085474,0.77116137,1.2317661,-0.35676543,-0.14745266,-0.41165843,0.49732419,-1.6143027,0.11164112,-0.6077483,0.52521455,-0.67532589,0.6975755,0.68875424,0.91855043,0.3807515,0.37124365,-0.27505862,1.1079815,-1.6928793,0.87265296,0.80230725,2.6574106,-0.79059776,-0.022711913,1.3234507,0.049345585,-0.098896931,-0.21712122,-0.12599576,-0.1152087,-0.16717804,-0.15692167,-0.07060038,-0.17304383,-0.15448556,-0.1767984,-0.022503315,-0.19917711,-0.08318719,-0.17398317,0.03643794,-0.14874661,-0.046042233,-0.16479552,0.0066977949,-0.17066055,-0.071884332,-0.16920806,0.10979401,-0.15858353,-0.060328984,-0.14560329,0.075287095,-0.28675821,-0.22069489,-0.11194531,-0.004057491,-0.30452316,-0.12896291,-0.075373861,0.0086348437,-0.31867742,-0.079420018,-0.12244009,-0.027376348,-0.29991146,-0.2443676,-0.034684495,0.065709907,-0.28052985,-0.042806364,-0.099897471,0.096520737,-0.35977179,-0.079729167,-0.24643037,0.016106532,-0.26208985,-0.077292865,-0.08112803,0.018779024,-0.21503646,-0.031797169,-0.1228978,0.072050961,-0.32274913,-0.095691089,-0.10522046,0.14608078,-0.32100305,0.24925997,0.24325331,0.24440379,0.25902896
-19721.396,0.97910246,0.0014249892,10,1023,0,19774.767,-0.30850313,-0.12140043,-0.16898978,-0.16713579,-0.090084949,-0.12508987,0.45471587,-0.15059453,-0.23767656,-0.11234966,-0.17217038,0.0087097478,-0.1409327,-0.33958682,-0.081116234,-0.21733972,0.15804563,0.021488793,0.10615317,0.10920391,0.40297319,0.070459708,0.53342481,0.0990684,0.13887787,0.17673838,0.16728149,0.20300923,0.21334998,0.38577907,0.14950844,0.14182718,1.3870678,0.53820008,1.0624053,1.1758162,-1.0392207,-0.34904925,2.7202803,-1.4512361,0.27445532,-0.031030416,1.9964253,0.097944203,0.79195066,-0.41788622,1.380488,-0.16245965,0.19210286,-0.28724208,0.25322132,-0.23291132,0.43230238,-0.8183382,2.3603904,-0.56532244,-0.97600624,-1.0474837,-0.69968967,-1.3417385,-0.30579249,0.58162659,1.4563916,-1.2011575,0.70626229,1.0430693,0.83503425,-0.37227375,-0.072387537,-0.20467254,0.8596113,-0.95868362,-0.22545289,0.55705817,1.113989,-0.47193468,-0.26162416,-0.4791399,0.10634873,-1.7311512,0.45091381,-0.23800044,0.57159662,-0.76890216,0.76989456,0.5890467,1.0242809,0.31867289,0.33699072,-0.18514266,0.98052275,-1.7443321,0.93438465,0.91945575,2.1901606,-0.45289699,-0.82616681,4.5571389,0.040617382,-0.089283137,-0.22344296,-0.14059462,-0.12267052,-0.14373203,-0.12890108,-0.062944897,-0.15258575,-0.13985548,-0.17228376,0.042937086,-0.15859269,-0.080651683,-0.21277061,-0.016381108,-0.18487702,-0.012672647,-0.20583581,0.011956454,-0.18394197,-0.094629967,-0.18274974,0.041222554,-0.16492232,-0.065910073,-0.10403791,0.081484036,-0.26100075,-0.1808889,-0.092973713,-0.0063121448,-0.26959128,-0.13959236,-0.092817309,-0.12170878,-0.28937715,-0.12514332,-0.14852315,0.039576647,-0.28178585,-0.20988447,-0.078984858,0.014179357,-0.25111631,-0.044402373,-0.088560077,0.030299522,-0.34272994,-0.044730251,-0.19171009,-0.018982575,-0.30497796,-0.04257761,-0.11234493,0.0555593,-0.21664949,-0.030733277,-0.10879662,0.065480194,-0.3419086,-0.084818583,-0.086935908,0.09328457,-0.28157282,0.24759752,0.24825601,0.25341494,0.2615447
-19716.076,0.84621017,0.0014249892,10,1023,0,19771.75,-0.33777527,-0.1080353,-0.1420396,-0.15550833,-0.027052919,-0.082314331,0.53689504,-0.14480922,-0.21261887,-0.095263367,-0.19599792,-0.015643598,-0.1095221,-0.21261307,-0.070101422,-0.1750358,0.17978195,0.034500366,0.057604143,0.099489058,0.23028377,0.068928623,0.61555638,0.10940479,0.14328034,0.13216424,0.25933542,0.14023908,0.19007618,0.29746242,0.20111251,0.14037334,1.4742424,0.54617214,1.5751597,1.1203936,-1.3877507,-1.099741,2.4591318,-1.2482515,0.43800768,0.25949306,2.3761653,-0.70174338,0.4144928,-0.59584106,1.7907784,-0.36481956,0.11096562,-0.77191418,0.21829636,-0.62052697,0.029920281,-1.1609234,2.4549894,-0.99697717,-0.99575766,-1.0359278,-0.78089465,-1.2930239,-0.069976688,0.30480091,1.3075979,-1.7032505,0.69303559,0.62615761,1.4286915,-0.48028048,0.12831099,-0.11514375,0.52706717,-1.4927539,-0.0029217345,0.40333395,0.77858385,-0.26213168,-0.54532025,-0.55517067,0.66052258,-2.3168881,0.15618786,-0.47906946,0.8354715,-0.93329719,0.68800101,0.40169385,0.98130935,-0.19174489,0.08780667,-0.34103092,0.69410513,-1.2388412,0.71643158,0.74051111,1.8332149,-0.8824414,-1.0166182,5.2352656,0.016246635,-0.072733087,-0.23958337,-0.054589975,-0.13634872,-0.15591321,-0.14597677,-0.023194351,-0.15110043,-0.11680855,-0.12709173,-0.0051626402,-0.18246293,-0.11427083,-0.214788,0.022654519,-0.19180389,-0.0014993376,-0.20481223,0.02321719,-0.16995021,-0.080251967,-0.16233519,0.086904706,-0.15103459,-0.076049941,-0.1007769,0.056210359,-0.2590341,-0.152465,-0.11146254,-0.0017517463,-0.33115298,-0.1133205,-0.1229028,-0.0079154661,-0.28143362,-0.078305243,-0.11048125,-0.025603934,-0.29255206,-0.19675563,-0.091399139,0.0059164519,-0.26397795,-0.092118807,-0.093500221,0.07698748,-0.34056185,-0.07983451,-0.20058179,0.049281127,-0.28691966,-0.0079586248,-0.093124246,0.079289585,-0.26964997,-0.052442402,-0.13868701,0.069491806,-0.31924788,-0.074467907,-0.071087783,0.082298699,-0.29890705,0.24940571,0.24998519,0.24625713,0.26149384
-19709.511,0.7780584,0.0014249892,10,1023,0,19758.558,-0.31991,-0.11050827,-0.1957837,-0.068396022,0.031462223,-0.12177977,0.32636691,-0.12384751,-0.15473363,-0.10778255,-0.17582704,-0.012597515,-0.11889562,-0.14231289,-0.060780547,-0.1389809,0.17707149,0.042841429,0.07477855,0.093198558,0.23176334,0.14097794,0.58019917,0.12347075,0.11268887,0.12060929,0.47306629,0.15221878,0.30909395,0.14753256,0.17351493,0.17280837,1.5070669,0.6863338,1.0361606,1.0294527,-0.34921416,-0.91634422,2.2132649,-1.3592023,0.8806481,0.84566548,2.5637639,-0.29202433,0.2061044,-0.99769227,1.1322459,-0.84326464,-0.30516496,-1.1077846,-0.16969702,-0.93283169,0.37493746,-0.085071801,1.3487449,-0.26586446,-0.68147673,-0.74558461,-0.42657602,-1.0404524,-0.33569147,-0.053425851,1.1892645,-1.4293796,0.17984051,0.67277922,0.58019118,-1.1240921,-0.056302266,-0.25133481,1.3717907,-1.3548028,-0.085370255,0.18548926,0.55621374,-0.1803527,-0.12074705,-0.54293028,0.44196363,-2.2118605,0.10239865,-0.34233116,0.37284821,-0.43698855,0.78568593,0.32464277,1.1824251,-0.74373786,0.42418274,-0.26814828,0.87159714,-1.7929267,0.29228696,0.45555867,1.5255933,-0.8976725,0.017371343,1.1652793,0.035289848,-0.053051416,-0.19837985,-0.1364355,-0.13762328,-0.1254691,-0.14976576,-0.015688837,-0.16873844,-0.12993011,-0.13254606,-0.0040691556,-0.21762086,-0.049187389,-0.1613795,0.037127667,-0.14698707,-0.039263825,-0.22528164,-0.0078673246,-0.18473396,-0.068921861,-0.13377302,0.068363497,-0.15926079,-0.069025317,-0.10622066,0.07886786,-0.27730269,-0.16529559,-0.13044404,0.022991879,-0.30033409,-0.13446761,-0.078918898,-0.08935254,-0.2814063,-0.11457313,-0.13809587,0.057668163,-0.27118437,-0.21621283,-0.088078319,0.087298931,-0.26114582,-0.030977483,-0.095241698,0.054677649,-0.34928422,-0.087244817,-0.22470811,-0.0036504949,-0.25396613,-0.026398639,-0.094417515,0.03213331,-0.25203844,0.012821492,-0.10730828,0.09045457,-0.3718801,-0.088471267,-0.060256549,0.12465438,-0.29410622,0.24361649,0.24648821,0.24785574,0.26153074
-19714.52,0.93243396,0.0014249892,10,1023,0,19768.013,-0.27686381,-0.12363454,-0.17909975,-0.069498071,0.078484811,-0.13438977,0.49506499,-0.14186579,-0.14464445,-0.06540027,-0.25438487,0.010366418,-0.18886798,-0.19751702,-0.0040095168,-0.17076992,0.15056343,0.054506547,0.076691451,0.13859504,0.27205015,0.13149507,0.77458225,0.13471789,0.12696548,0.12019843,0.56324939,0.16548596,0.31217178,0.22682594,0.22155893,0.1269194,1.3227179,0.20455615,0.78088098,1.1180175,-0.1625822,-0.50183645,2.2203441,-0.71408073,0.20116639,0.73120058,1.6679468,-0.30758268,0.24394801,-0.56974879,0.48929971,-0.52455431,-0.55910562,-1.0692568,-0.14179618,-0.97668118,0.30278398,0.011991323,1.1695367,-0.09393386,-0.66924941,-0.78148873,-0.5477071,-0.9991601,-0.028152052,0.31082986,1.1085655,-1.1368841,0.19533255,0.52503324,0.63800862,-1.3980714,0.082346742,-0.4918999,0.33549014,-1.9908163,0.17318488,0.32529387,0.486501,-0.02527765,-0.61301917,-0.61435103,0.40884824,-2.170279,0.28269491,-0.020181915,0.64327298,-0.28856403,0.65532512,0.56226368,1.0591846,-0.097580282,-0.18318587,-0.3968104,0.66360663,-1.5657448,0.62459336,0.64472431,1.9287826,-1.2848429,-0.54472557,3.3721817,0.032557766,-0.077710873,-0.24606513,-0.15929169,-0.10853126,-0.13249634,-0.15098792,-0.0026112563,-0.16255662,-0.16367201,-0.12302292,-0.051182489,-0.20268871,-0.035688088,-0.14846243,-0.0016835601,-0.1421987,-0.073619959,-0.21240665,0.03990914,-0.18722145,-0.094575172,-0.13281297,0.019398529,-0.14674161,-0.023323717,-0.1102623,0.0708208,-0.27886668,-0.14565837,-0.099991447,0.0074778109,-0.29502441,-0.11984396,-0.077983352,-0.063639379,-0.32215126,-0.055502321,-0.12452586,-0.025074882,-0.30469326,-0.15683859,-0.071163298,0.019636521,-0.26862249,-0.091079647,-0.091300051,0.078025062,-0.34878428,-0.10061861,-0.19516821,0.011943683,-0.27894953,-0.048872287,-0.069981036,0.042733526,-0.21965076,-0.044595981,-0.091926402,0.14301845,-0.35091425,-0.091496903,-0.088941894,0.074030006,-0.33384141,0.25990636,0.24635411,0.24477932,0.26250396
-19709.54,0.83038771,0.0014249892,10,1023,0,19773.647,-0.22572654,-0.10743252,-0.11105967,-0.08793958,-0.12475709,-0.10566832,0.18160873,-0.16587865,-0.13099079,-0.08812214,-0.16598793,-0.018990414,-0.13691159,-0.064694905,-0.0641255,-0.16750899,0.11417689,0.070569887,0.086867105,0.10174053,0.13425751,1.1149878,0.5793049,0.13748668,0.11702365,0.1505029,0.52302713,0.14589096,0.4473468,0.45702706,0.093259935,0.097735634,1.59637,-0.037200067,1.4359114,0.60494399,-0.39474842,-0.43898328,0.48504281,-0.92104788,-0.031411452,-0.51431087,0.59543343,-1.0211481,0.20149673,-0.68578295,1.0107298,-0.57094858,0.44222089,-0.46390672,1.028571,-0.59159793,-0.0088447901,-0.055602721,0.14660609,-0.023447013,-0.39598692,-0.53531261,-0.27947147,-0.80024728,-0.026696931,0.37985509,1.5083494,-0.91544805,0.007535711,0.16312825,0.83561694,-1.4635173,-0.12395808,-0.27713602,0.8339707,-1.3974497,-0.065727759,0.21488076,0.32421613,-0.23188841,-0.25333648,-0.45542432,0.6290489,-2.2692914,0.18334372,-0.075586326,0.37596915,-0.42430727,0.10209727,0.017689044,0.25048131,-0.37826609,0.31122545,-0.70039815,0.96670247,-2.4754458,0.62472837,0.76062813,2.6244496,-1.6306684,-1.5968374,7.5202766,0.091878089,-0.043457976,-0.22997392,-0.061778643,-0.15665591,-0.13528987,-0.13841152,-0.073203099,-0.17243076,-0.11378829,-0.15573636,-0.059336088,-0.19976385,-0.067439197,-0.1577115,0.014892599,-0.14602819,-0.065385612,-0.18704005,0.013336291,-0.20418355,-0.11553015,-0.16766467,0.057795672,-0.13181145,-0.047788437,-0.12850049,0.019709536,-0.28197844,-0.16954913,-0.11365364,0.041499294,-0.29174057,-0.13010893,-0.11190092,-0.033203844,-0.30225691,-0.10677819,-0.12983191,0.037392869,-0.29844237,-0.20036533,-0.053599462,0.0035859017,-0.28727186,-0.055949916,-0.085432703,0.072782131,-0.3500595,-0.054893359,-0.17072489,0.031277011,-0.32672409,-0.018033687,-0.056610533,0.049781832,-0.23757275,-0.035100635,-0.12944459,0.02602911,-0.29498541,-0.10645077,-0.093168515,0.088993253,-0.3268834,0.25331427,0.24515641,0.24197923,0.25790808
