# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:40:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc5778b80.json
# init = 2 (Default)
# random
#   seed = 832387123
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192240-1-29fdd4.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192240-1-0d2c1d.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00150807
# Diagonal elements of inverse mass matrix:
# 0.00390322, 0.00550148, 0.0221999, 0.0141917, 0.00826346, 0.0216285, 0.05502, 0.0376774, 0.0166229, 0.023235, 0.0563395, 0.0441911, 0.0180524, 0.0920238, 0.0394327, 0.0242696, 0.335016, 0.403036, 0.426336, 0.364459, 0.282937, 0.427201, 0.424541, 0.366539, 0.413621, 0.339836, 0.40892, 0.435146, 0.322921, 0.716467, 0.356334, 0.284985, 0.3803, 0.283993, 0.367355, 0.265708, 0.301807, 0.265914, 0.306853, 0.319795, 0.230303, 0.272146, 0.336706, 0.206066, 0.307635, 0.33656, 0.281188, 0.218175, 0.404496, 0.301795, 0.3958, 0.349458, 0.360657, 0.281734, 0.321173, 0.330219, 0.232558, 0.254242, 0.243455, 0.235214, 0.294265, 0.272725, 0.294637, 0.215463, 0.334648, 0.454631, 0.449835, 0.465066, 0.393686, 0.554664, 0.419763, 0.503055, 0.295743, 0.465122, 0.372699, 0.241978, 0.448083, 0.681432, 0.334555, 0.432397, 0.277124, 0.335453, 0.604105, 0.305541, 0.386863, 0.297565, 0.669838, 0.443842, 0.483165, 0.422929, 0.518886, 0.716449, 0.435726, 0.495103, 0.601028, 0.360821, 8.02299, 129.067, 1.08183
-19695.55,0.99978759,0.0015080741,10,1023,0,19748.608,-0.17442907,-0.066224194,-0.089873814,-0.23436755,-0.072528708,-0.13295806,-0.1940586,-0.1628993,-0.04133534,-0.20675255,0.16943051,-0.32185903,0.0237258,-0.0078535299,-0.36655034,0.027317729,0.070382806,0.065634823,0.16280005,0.3052214,0.060387545,0.17346467,0.40378003,0.2000301,0.28140806,0.22979995,0.65192003,0.46360267,0.19165652,0.14886399,0.92976949,0.33292096,1.9140328,-0.89549859,0.47744346,0.70293913,-1.1608832,-1.4403486,0.57776028,-1.6236868,-0.36842894,-0.33798902,0.36414963,-0.72059092,0.64723209,0.14565329,0.87821651,0.24496114,0.1209202,-2.11063,1.3367304,-1.8601867,0.47775296,-0.14226643,1.0271748,-0.067202234,0.42305829,0.16366394,0.63970033,-0.30263385,0.028425297,0.24605761,0.70581246,-0.59220811,-0.31537519,-0.15607366,0.070558406,-0.93675545,0.50753424,0.33652141,0.95558476,-0.32832618,-0.50078028,-0.38333932,-0.16001098,-0.69412341,0.53167013,0.42779229,0.75593563,-0.039793696,-0.50331506,-1.425669,0.079895524,-1.5782269,-0.27962061,-0.4333045,0.43160018,-1.4188985,0.33845201,0.28588394,0.51953498,0.031163429,-0.31868113,-0.42117431,0.15109432,-0.97618353,-1.5602621,7.6347198,0.023749372,-0.03971407,-0.23745677,-0.14082526,-0.12495424,-0.14241856,-0.16076122,-0.028303,-0.17279459,-0.14985407,-0.14489844,-0.030590234,-0.20718605,-0.036818472,-0.18991105,0.033682916,-0.15960017,-0.065226634,-0.19998447,0.0081931588,-0.18486082,-0.050084797,-0.15763626,0.045220486,-0.14461527,-0.023236113,-0.12797437,0.064239618,-0.3162561,-0.15721338,-0.11368037,-0.021715559,-0.28135874,-0.13008446,-0.085255726,-0.021479636,-0.30494587,-0.090121208,-0.12941995,0.012840781,-0.28220189,-0.15703819,-0.080476067,0.065116149,-0.28308244,-0.075375338,-0.12353338,0.02859475,-0.34030749,-0.072737814,-0.24951297,0.039038298,-0.27875168,-0.04947897,-0.072356968,0.056396197,-0.21907642,-0.051867989,-0.10074418,0.11649744,-0.33757553,-0.078777899,-0.11290003,0.077620197,-0.29767423,0.24546434,0.24818146,0.2393251,0.24566199
-19695.974,0.98606639,0.0015080741,10,1023,0,19738.18,-0.1613056,-0.048247191,-0.12542589,-0.27040759,-0.032427755,-0.087231811,-0.32669412,-0.11564416,-0.016208674,-0.23605741,0.22106245,-0.23846632,0.032529331,-0.1445869,-0.2210235,-0.047715356,0.067146752,0.1251471,0.10669483,0.22854286,0.089975243,0.12141972,0.41591535,0.2701196,0.27786422,0.17036416,0.92048356,0.31759706,0.32563994,0.64648231,0.58588019,0.21792096,1.2727773,0.24943066,0.016224963,0.65114505,-0.47766467,-0.80303554,0.16854316,-0.99199639,-0.026859573,0.059022092,1.0453842,-0.54872653,0.7970076,0.30714193,1.0816855,0.43482271,0.25530108,-1.4703187,0.40037861,-1.6649751,-0.52688983,-0.40484688,1.4581596,-0.58466017,0.62820925,0.54643582,1.0317234,0.13940831,-0.092606723,0.070515575,0.4475403,-0.73015282,-0.44199885,-0.27781273,-0.036068488,-1.0824758,0.81521482,0.63107676,1.2800697,-0.35792521,-0.42020323,-0.30555026,-0.18668968,-0.55921765,0.54409332,0.46548545,0.9880612,-0.29655006,-0.25384288,-0.89843936,0.12085598,-1.0245972,0.20206004,0.051399122,0.2447606,-0.15893645,0.34371059,0.16662898,0.47040836,-0.25737241,-0.067234303,-0.14090428,0.67410378,-1.1570246,-2.5134477,11.396788,0.056072734,-0.075842738,-0.14455714,-0.16021615,-0.11758333,-0.10802554,-0.14874476,-0.027154503,-0.17239266,-0.12829167,-0.11912854,-0.013888807,-0.18397217,-0.088257193,-0.2002125,-0.023196089,-0.17103196,-0.0094569779,-0.16472004,0.0035964077,-0.1822343,-0.15120663,-0.13638821,0.089817523,-0.15822108,-0.065412249,-0.099423075,0.10241549,-0.26871206,-0.14065906,-0.096596526,0.0052452428,-0.31287275,-0.13902434,-0.093402891,-0.026230817,-0.31698997,-0.097174021,-0.12854455,-0.017979407,-0.29703503,-0.16572772,-0.06019155,0.049217662,-0.29368821,-0.065663884,-0.090629514,0.075339007,-0.33264975,-0.050132049,-0.26003841,0.071884865,-0.30112043,-0.013958661,-0.11135828,0.013646495,-0.2473365,-0.019650274,-0.12339888,0.054579438,-0.37181289,-0.06236712,-0.078421352,0.099185986,-0.29985526,0.24687441,0.25180737,0.24807528,0.24624732
-19697.485,0.99831808,0.0015080741,10,1023,0,19745.049,-0.21712971,-0.011525808,-0.11631769,-0.20639527,-0.049907517,-0.050166374,-0.14125528,-0.11192889,-0.039998835,-0.24045138,0.32156844,-0.14648071,-0.0016518626,-0.082038861,-0.16444761,0.050742882,0.090018772,0.18408238,0.1222739,0.16885264,0.10687404,0.14320341,0.31877473,0.38904362,0.48486442,0.18365573,0.54009107,0.30188357,0.36883028,0.24796463,0.33615054,0.29175174,1.5950894,0.0095878813,-0.14772854,0.90703131,-0.60744515,-0.90757391,-0.084893471,-0.90588145,-0.27727818,-0.098321284,0.9505646,-0.82826511,0.6867674,0.26336181,1.3144185,0.32788044,0.27274429,-1.2073218,0.32621635,-1.2001524,0.02766275,-0.57482529,0.8185945,-0.71516542,0.25399629,0.24168197,0.60409796,-0.50081459,-0.06997233,0.036031044,0.26525389,-0.40264993,-0.19595175,-0.10383831,-0.041255036,-0.56913288,0.70338976,0.57472409,1.4410006,-0.19341078,-0.99163138,-0.76752626,-0.44234413,-1.0911943,0.18921441,0.14106705,0.69177122,-0.67921108,-0.17513331,-0.7229025,0.19512081,-0.76603842,0.056876722,0.0071843464,0.55592762,-0.66663472,0.31557413,0.082038966,0.76220694,-0.55188912,-0.53160094,-0.43501547,0.23233205,-1.1731962,-1.8546328,8.7455686,0.10786867,-0.073541728,-0.21626662,-0.23042805,-0.13547987,-0.12334576,-0.17859417,-0.0271532,-0.17828262,-0.15022158,-0.12833982,-8.8454233e-05,-0.2175929,-0.090432781,-0.16192594,0.015547774,-0.15103179,-0.020758233,-0.17893887,-0.015043459,-0.17817265,-0.046204974,-0.13248332,0.067059151,-0.1525805,-0.060287682,-0.064213176,0.051315883,-0.30090231,-0.13915118,-0.097911241,-0.0087335555,-0.26857728,-0.13500887,-0.090346339,-0.060001934,-0.31595112,-0.11126982,-0.13490001,0.024196642,-0.27597238,-0.21400281,-0.092965635,0.082662331,-0.26777584,-0.089359985,-0.10389488,0.062353657,-0.35152337,-0.066246332,-0.26828019,0.0703146,-0.28419003,-0.067935446,-0.080257397,0.055811524,-0.24734069,-0.058367194,-0.13687016,0.091768664,-0.34996543,-0.10435262,-0.07617364,0.11852616,-0.29153916,0.2471518,0.2477608,0.24529915,0.24299547
-19695.475,0.99603738,0.0015080741,10,1023,0,19744.85,-0.17796504,-0.092247191,-0.038265706,-0.14742798,-0.080414383,-0.057265873,-0.13386088,-0.17011056,-0.05435085,-0.11754745,0.46178428,-0.11443006,-0.076839666,0.015427473,0.019798694,-0.0060376332,0.078722213,0.17764041,0.14397779,0.14839172,0.069451278,0.14583894,0.19929166,0.36210901,0.17907924,0.20450166,0.64625383,0.14109803,0.1977692,0.34508334,0.33222177,0.27186811,0.966689,-0.080860205,1.1772798,0.75117698,-0.15965172,-0.54122803,0.51741678,-0.46141971,-0.55452668,-0.58938999,0.25156412,-1.1617162,0.38008113,-0.41893912,0.91048967,-0.065881265,0.26373257,-1.3455446,1.4825169,-1.4878031,-0.211125,-0.32238786,0.93628661,-0.51493689,0.2172443,-0.091821672,1.0953613,-0.6802157,-0.057681126,0.15014352,0.44587057,-0.37341666,-0.23279531,-0.22487005,-0.081065741,-1.4192745,0.08608583,-0.17089197,0.62105513,-0.83699972,-0.97041867,-0.85506166,-0.68005707,-1.1319928,0.23051286,0.013788682,1.2937938,-1.6706672,-0.022286342,-0.57424073,0.35450172,-1.2367531,-0.19064182,-0.38561058,0.24032232,-0.77309178,-0.18353897,-0.45975981,0.10680291,-1.1159389,-0.40851816,-0.21919289,0.39402939,-1.0667002,-1.1028752,5.8656236,0.040829513,-0.10186514,-0.18433053,-0.085286965,-0.11883073,-0.12060779,-0.18839116,-0.00033306267,-0.17421398,-0.11810523,-0.12312477,-0.0020460616,-0.20552704,-0.091027091,-0.20959508,-0.012318854,-0.15720422,-0.062097819,-0.17386418,0.022548311,-0.18374421,-0.088056119,-0.10428258,0.079281173,-0.13236372,-0.090565901,-0.15216017,0.084435486,-0.26942219,-0.19099742,-0.11574224,-0.0086568162,-0.3053281,-0.096039656,-0.094620407,-0.068868041,-0.30851344,-0.099942755,-0.15249514,0.009459358,-0.28871529,-0.1653525,-0.090802588,0.022294794,-0.26977043,-0.081905147,-0.1124845,0.068121696,-0.35015792,-0.081247218,-0.1904068,-0.006730144,-0.32143134,-0.050359844,-0.11764032,0.0983587,-0.25135362,-0.04117695,-0.13294352,0.055280946,-0.3509405,-0.11710069,-0.065629188,0.10108639,-0.2960394,0.2501024,0.25070069,0.24769624,0.2416094
-19706.532,0.99956566,0.0015080741,10,1023,0,19745.717,-0.19871604,-0.11477103,-0.049531312,-0.16518174,-0.079588663,-0.036582185,-0.1368915,-0.12892564,-0.06116382,-0.1386654,0.4380233,-0.081145387,-0.085742047,-0.05692332,-0.013856763,-0.047446769,0.086788365,0.16671362,0.13680735,0.21248831,0.064241653,0.16826406,0.20871168,0.37311949,0.19887119,0.15768142,0.59645225,0.12830414,0.16210914,0.21666006,0.43954005,0.26677801,0.92164283,0.25085239,1.0403622,0.76287089,0.082557718,-0.31245752,0.35616388,-0.38663931,-0.53208988,-0.78022483,0.41005168,-0.91396598,0.48073362,-0.29295309,0.79270768,-0.022678827,0.51421989,-1.3905175,1.767792,-1.8691735,-0.13879686,-0.47661355,0.8695055,-0.65006603,0.22717554,0.2569106,0.90193913,-0.78497617,-0.060147212,0.056543866,0.40575702,-0.60549139,-0.35891845,-0.13277965,-0.28453733,-1.1400151,0.3357606,-0.01458256,0.79513195,-1.004785,-1.0120356,-0.87765722,-0.63122489,-1.235825,0.17421404,-0.092708626,1.1223827,-2.0542744,0.00094243172,-0.51977971,0.76211089,-1.2041725,0.014062523,-0.11008805,0.14797124,-0.80839724,-0.053142783,-0.18574166,0.17775036,-0.65203912,0.038035741,-0.1365703,0.55276486,-1.0509871,-1.7322774,8.4493324,0.059360281,-0.11872817,-0.17694498,-0.1084247,-0.13250773,-0.10100754,-0.16686196,-0.055393662,-0.17922907,-0.12232512,-0.1562718,0.0065667708,-0.17456857,-0.063031469,-0.22743085,0.0032593731,-0.17000073,-0.046554327,-0.1689178,0.033977219,-0.19966746,-0.059936707,-0.11677911,0.10972434,-0.14596493,-0.089477306,-0.083271252,0.051353737,-0.30072519,-0.15136774,-0.10782803,0.022470209,-0.35484628,-0.13254236,-0.087569867,-0.1177501,-0.28787997,-0.085722189,-0.1409648,-0.01328786,-0.29710133,-0.16560763,-0.085457325,0.061527789,-0.29908731,-0.058793003,-0.093040288,0.062860963,-0.34471731,-0.08558927,-0.17000309,0.037803095,-0.28094942,-0.053876533,-0.080775005,-0.024863863,-0.23207072,-0.037215145,-0.095497663,0.064271638,-0.30045407,-0.03729967,-0.083880723,0.10001874,-0.327827,0.24917026,0.24896901,0.24827282,0.243471
-19707.017,0.99664109,0.0015080741,10,1023,0,19751.754,-0.22591251,-0.043785328,-0.0090646083,-0.074676507,-0.06367117,-0.05400734,-0.080553451,-0.19960375,0.069246151,-0.11868179,0.38859257,-0.088163979,-0.10610134,-0.043566045,-0.039007386,-0.11665967,0.12945262,0.12583832,0.14568198,0.20241745,0.12809792,0.15568913,0.18846041,0.22539912,0.2723545,0.2215613,1.0907599,0.10672876,0.14707405,0.2948505,0.19277478,0.17883158,1.4025359,-0.46840975,0.69032993,0.71525488,-0.59312063,-0.95965381,0.54190285,-1.0531183,-0.70537367,-0.79297341,-0.024064378,-1.0827403,0.082961179,-0.81722819,0.42564738,-0.45682324,0.33626307,-1.1123929,0.26112679,-0.84134277,-0.064578221,-0.3826862,0.80459845,-0.6098934,-0.03510521,-0.20141317,0.84260188,-0.96730106,0.14251246,0.4597927,0.9984825,-0.57763278,-0.73695242,-0.61264194,-0.70144505,-1.2946167,0.13471042,-0.12831546,0.42197316,-0.74537309,-0.55773371,-0.39107066,-0.30129475,-0.6042772,0.30104009,0.0018952958,1.5090497,-2.3294354,0.29048769,-0.73094919,0.63453666,-1.3713585,0.12652932,-0.062950143,0.38578343,-0.70582153,-0.083264911,-0.47952737,0.49232117,-1.6919846,0.42418771,0.16950671,1.1148343,-1.0571415,2.7308514,-9.8301845,0.03677102,-0.044350554,-0.28654938,-0.13654749,-0.13332089,-0.11842263,-0.16454655,0.024406815,-0.17630796,-0.11182484,-0.12458654,-0.012570354,-0.16680035,-0.057883717,-0.24009775,0.01148195,-0.1671455,-0.020596572,-0.20616638,-0.030221372,-0.17144543,-0.064061467,-0.11358742,0.071259889,-0.14896111,-0.087169394,-0.11851186,0.078243645,-0.26285141,-0.16748156,-0.095966876,0.025453328,-0.32980166,-0.13146616,-0.09760964,-0.12179557,-0.28334854,-0.088835176,-0.14711153,-0.02518887,-0.28382762,-0.21976099,-0.03797162,0.05995235,-0.27052875,-0.056034344,-0.087961696,0.072895023,-0.33678173,-0.063378137,-0.21360499,-0.012777462,-0.30779259,-0.0062588133,-0.062126926,0.070182391,-0.25167788,-0.05505876,-0.13144817,0.055899717,-0.36517934,-0.040801507,-0.086346513,0.082707911,-0.30570996,0.25089883,0.25451939,0.25010176,0.24508043
