# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:40:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc5778b80.json
# init = 2 (Default)
# random
#   seed = 832387123
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192240-3-29fdd4.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192240-3-0d2c1d.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00206282
# Diagonal elements of inverse mass matrix:
# 0.0318468, 0.00275319, 0.0106222, 0.0212146, 0.00745091, 0.0100197, 0.0301019, 0.0100184, 0.019522, 0.0188852, 0.0116903, 0.0226415, 0.0280122, 0.0163278, 0.0358589, 0.0128099, 0.759654, 0.332006, 0.389569, 0.438034, 0.307663, 0.328922, 0.379273, 0.232418, 0.313742, 0.355919, 0.335626, 0.3316, 0.383604, 0.373158, 0.345931, 0.305138, 0.544205, 0.29031, 0.277158, 0.243375, 0.212966, 0.256588, 0.256934, 0.235207, 0.329271, 0.238637, 0.166384, 0.183877, 0.350387, 0.241513, 0.26717, 0.227747, 0.351373, 0.354316, 0.255637, 0.450898, 0.304408, 0.285824, 0.256835, 0.240523, 0.344858, 0.223966, 0.145436, 0.176394, 0.253392, 0.228464, 0.262776, 0.220727, 0.459906, 0.461261, 0.513787, 0.301877, 0.318674, 0.472058, 0.400496, 0.387869, 0.403429, 0.386269, 0.321301, 0.27767, 0.524918, 0.385713, 0.367354, 0.40378, 0.311961, 0.372227, 0.394353, 0.37887, 0.323305, 0.307283, 0.550202, 0.367253, 0.558077, 0.500639, 0.279281, 0.478113, 0.348423, 0.515124, 0.570451, 0.472652, 11.0513, 181.736, 0.682205
-19710.295,0.99854981,0.0020628234,10,1023,0,19762.022,-0.15030311,-0.075856869,-0.14291742,-0.16035872,-0.1753302,-0.10594342,-0.0077080234,-0.089913938,-0.15299941,-0.28131471,-0.099122662,0.058286465,-0.27776714,-0.084778476,-0.35314982,-0.03256453,0.040398728,0.14651659,0.049874027,0.19895536,0.10518547,0.15885271,0.10639923,0.2075141,0.18366205,0.20023169,0.24186755,0.31486325,0.27197508,0.11738597,1.5561506,0.30544811,1.6199988,-1.7505693,0.9804788,0.58505335,-0.24185073,-0.93740952,0.25220444,-0.63373027,0.63640118,0.18605913,2.8399974,-1.0333628,0.53250109,-0.079982828,1.0744339,-0.06265959,1.028567,-0.32306577,1.774552,-0.43483458,0.27216048,-0.051977955,0.83180338,-0.16035806,-0.70252702,-0.94938795,0.86489461,-2.6390693,-0.31595908,-0.16931041,0.44150975,-0.92723646,0.36841363,0.3156393,0.48853885,-0.8413514,0.91772539,0.80587202,1.4742701,0.13476238,-0.47021034,0.16947441,0.46224246,-0.70784889,-0.48185185,-0.44803949,0.049199533,-1.2473689,0.89846716,0.24498723,0.9680601,-0.037149625,0.20864767,0.083315288,0.84162247,-1.1595796,0.21829371,0.1597374,0.26615687,-0.015061222,-0.074213242,-0.17739827,0.44676084,-0.86826249,-4.7626035,20.744373,0.10096397,-0.084857217,-0.22102388,-0.11069301,-0.12666769,-0.11129201,-0.21320291,-0.038904736,-0.16870887,-0.11117753,-0.1336379,-0.0012753095,-0.19445538,-0.054414777,-0.17627174,0.053405672,-0.17282519,-0.067139898,-0.20931202,0.011326891,-0.22106848,-0.062709993,-0.11420026,0.026190796,-0.13141673,-0.082456359,-0.10872217,0.084316099,-0.28850297,-0.1554799,-0.12504824,0.0017055606,-0.28232858,-0.085335807,-0.09502845,-0.063273363,-0.30752373,-0.097557006,-0.11995359,0.013880871,-0.25433101,-0.21285129,-0.058132302,0.01267879,-0.27032834,-0.093430974,-0.082784704,0.07377759,-0.33446417,-0.033406461,-0.21113672,-0.014478915,-0.28787091,-0.060286166,-0.07499843,0.014016196,-0.22089686,-0.013451935,-0.10457437,0.06103035,-0.37658735,-0.055232825,-0.086750496,0.10389773,-0.29777367,0.24194115,0.2532361,0.24823097,0.24733146
-19710.419,0.99931045,0.0020628234,10,1023,0,19763.338,-0.12756174,-0.11881512,-0.14360834,-0.18440134,-0.18941251,-0.021594649,0.12518452,-0.11223702,0.015356389,-0.1768992,-0.25660336,-0.046680503,-0.16990622,-0.18166184,-0.95060463,-0.069115474,0.04261019,0.04963436,0.05898737,0.17862751,0.13890746,0.38277241,0.25079733,0.44156849,0.2832634,0.077218615,0.40261889,0.23300707,0.17170569,0.13333785,1.3608762,0.10410147,1.3794166,-1.6196062,0.10374977,-0.31665765,-0.15668805,-0.39664457,0.51701526,-0.83993927,0.47806112,0.16964944,2.061313,-1.0988021,0.67684308,-0.047150286,1.1486087,0.13320051,1.4587834,0.19196539,1.4946326,0.11450674,-0.11665475,-0.19916964,0.12324464,-0.32668729,-0.91213903,-0.9354078,-0.19616767,-1.6903781,-0.13742842,-0.044260442,0.34336076,-0.39060177,-0.50904997,-0.32904051,-0.183232,-1.077473,1.1947807,0.61063566,2.0999839,-1.3209606,0.24206959,0.4019451,0.70126117,-0.11700573,-0.1544603,-0.12522521,0.45627613,-1.2472059,0.46265585,-0.22989997,1.3135267,-0.68423069,0.89304299,0.76266025,1.5259746,-0.60171303,0.68747619,0.61608152,0.7422632,0.45288006,-0.044202439,-0.068610654,1.8683141,-2.4986812,-0.68350306,4.2108866,0.12104826,-0.068784534,-0.19657347,-0.12314094,-0.14105458,-0.12659223,-0.13850232,-0.093153401,-0.16050497,-0.11540877,-0.13360116,-0.022016903,-0.20842378,-0.063498545,-0.19282368,0.020771776,-0.16060807,0.013223388,-0.16274708,0.018203109,-0.17350667,-0.066246868,-0.097831293,0.025579999,-0.14664153,-0.10357751,-0.10941326,0.075986195,-0.29875779,-0.17292108,-0.13178103,0.039380278,-0.28471445,-0.12883884,-0.077848746,-0.03654653,-0.28985229,-0.08463989,-0.12974676,-0.01474136,-0.27890195,-0.15914157,-0.094772668,0.025737637,-0.30371207,-0.082670845,-0.075858863,0.05963506,-0.33728829,-0.090465577,-0.20938135,0.055633786,-0.28739252,-0.062585403,-0.079970358,0.021808333,-0.26189296,-0.015034609,-0.11219392,0.059523722,-0.33429092,-0.073717013,-0.076257944,0.12537878,-0.32923186,0.24640978,0.25439334,0.24483837,0.24689083
-19704.354,0.98647406,0.0020628234,10,1023,0,19752.275,-0.1197485,-0.099328324,-0.12818767,-0.3275469,-0.17426318,-0.053400327,0.10800663,-0.060964746,0.073408638,-0.20492743,-0.10768344,-0.085323106,-0.07646739,-0.13083235,-0.58171932,-0.05967983,0.051492856,0.10294531,0.081429076,0.27606679,0.094028349,0.15498844,0.28137235,0.39192898,0.39487684,0.1107709,0.75463821,0.1717238,0.34247414,0.13035177,0.77833887,0.15760059,1.629699,-1.4407235,0.24145702,0.027374322,-0.25417135,-0.46777863,1.1799126,-0.50615908,0.41040952,-0.0033216356,1.5916158,-0.80420376,0.83909968,0.46883351,1.221435,0.63934576,1.3457815,-0.17439234,2.1722991,-0.18439796,-0.23303568,-0.47958581,0.55131949,-0.75336099,-0.69978295,-0.74459288,-0.15215712,-1.4591123,-0.29800972,-0.12497992,0.087894365,-0.67541707,-0.50689607,-0.45161218,-0.20391351,-1.0434826,0.73786,0.81382503,2.0777697,-0.51781324,-0.17335233,0.067126564,0.24400299,-0.26794678,-0.032710007,-0.14038024,0.69430664,-1.2958747,-0.059706459,-0.44932829,0.32642878,-0.65302053,1.0292705,0.32468341,1.779305,-0.81802192,0.70969476,0.59159893,0.83111972,0.31086038,-0.21100113,-0.13917337,0.86596391,-1.6660777,-2.1966619,10.179172,0.032546886,-0.035830642,-0.19393547,-0.10731518,-0.11833891,-0.12549407,-0.14748394,0.022138145,-0.15143503,-0.094768406,-0.12845815,0.0014161334,-0.19367324,-0.095899347,-0.19811754,0.0096507252,-0.15104477,-0.047721564,-0.190661,0.029994521,-0.19160182,-0.089518164,-0.12773058,0.032047819,-0.17016257,-0.088892945,-0.10150122,0.065193823,-0.30254724,-0.17776339,-0.109948,-0.026516397,-0.32568027,-0.12675288,-0.10492255,-0.0071120848,-0.33863848,-0.12319401,-0.1147793,0.025228991,-0.26228607,-0.23850173,-0.057027165,0.076450542,-0.30988632,-0.090940193,-0.10942973,0.033905865,-0.30785563,-0.096915308,-0.23035071,0.035326025,-0.30011004,0.0033348851,-0.088509289,0.1011032,-0.23746295,-0.029336306,-0.12125488,0.06517346,-0.3397646,-0.092933733,-0.081613635,0.076796597,-0.32225466,0.24608729,0.24848356,0.24346492,0.2525494
-19712.406,0.98265745,0.0020628234,10,1023,0,19757.623,-0.15245645,-0.1085681,-0.14255352,-0.18307622,-0.14585408,-0.12395302,-0.0093380188,-0.044286678,-0.0076732796,-0.20949366,-0.18832341,-0.11667943,0.0034536092,-0.17113699,-0.49523285,-0.059517176,0.042664789,0.10038424,0.062941292,0.16764476,0.16080509,0.17770635,0.14652688,0.30808093,0.24876406,0.18007535,0.18044238,0.23834249,0.21573514,0.10927606,0.62230999,0.11535164,1.1809096,-2.0689146,0.25653842,0.041867579,-0.071064297,-0.52513101,0.082519859,-0.75126946,0.62061314,0.1001052,2.0019099,-0.62330654,0.66933539,0.0045365713,1.2992697,0.055661181,0.91038588,-0.25770242,0.91595392,-0.44547825,0.4771703,-0.034509043,0.97096143,-0.19558407,-0.67083287,-0.79157283,0.47040546,-1.9247611,-0.41521434,-0.26965236,0.096169326,-0.91666397,-0.42755717,-0.36495234,-0.29023804,-1.2546196,0.76881085,0.55201285,1.0802548,-0.36757242,0.03604772,0.56439986,1.1825247,-0.51792949,0.13298596,-0.058427452,0.82272084,-0.88217631,-0.19879508,-0.82588145,0.038338116,-1.2254093,1.2777529,0.84633257,1.8282584,-0.3796491,0.75398634,0.59399567,0.94574942,0.25419013,0.063733833,0.017231316,1.7395854,-2.3741089,3.601117,-13.330093,0.043520671,-0.10207319,-0.24072625,-0.14151129,-0.15067017,-0.11570184,-0.16128298,-0.10028441,-0.18398372,-0.10349133,-0.13625277,-0.016550723,-0.18178524,-0.070865646,-0.18231569,0.034739548,-0.17374491,0.00054060559,-0.18729394,0.0014359751,-0.21748925,-0.039156834,-0.1300855,0.048592984,-0.15870955,-0.10763307,-0.12532472,0.059589027,-0.29136727,-0.1722063,-0.12736143,-0.014658743,-0.32669336,-0.11403413,-0.098460303,-0.079874071,-0.31977755,-0.071049773,-0.11008975,-0.014966392,-0.27568439,-0.18181887,-0.086481756,0.025054155,-0.28177984,-0.084983224,-0.13060517,0.079409905,-0.32693952,-0.039433476,-0.17471804,0.011724488,-0.26091024,-0.031509184,-0.078653099,0.02864789,-0.21262355,-0.026019625,-0.12558341,0.093316453,-0.3370478,-0.052165374,-0.057529515,0.14114685,-0.33337453,0.24559744,0.2447297,0.24642314,0.24877226
-19721.172,0.99047072,0.0020628234,10,1023,0,19760.206,-0.11727791,-0.11455871,-0.15758455,-0.3072779,-0.13781287,-0.1244857,-0.054089758,-0.12519586,-0.053483827,-0.1786558,-0.15470416,-0.13337597,-0.07919153,-0.15333962,-0.33860809,-0.11655205,0.076800545,0.078482494,0.058318573,0.19302462,0.11464731,0.11291116,0.28389228,0.22719006,0.22544959,0.16684969,0.14755105,0.17669279,0.13922591,0.11621336,0.41095478,0.08920846,0.88929709,-1.4799532,0.56251646,0.036173886,-0.15097874,-0.13884132,1.6881904,-0.58608986,0.86987224,0.54841143,2.3437296,-0.61687648,1.2147417,0.7228932,1.703122,0.62024728,0.87425622,-0.2593723,1.7564808,-0.5612895,0.19795595,-0.11939501,1.585076,-0.31243983,-0.18336497,-0.135234,0.40110761,-0.74900299,-0.12672461,-0.16921913,0.32735838,-0.55395603,-0.143161,-0.24418531,-0.097076727,-1.0643604,0.61388229,0.49108329,1.0316567,-0.57605847,-0.33556044,0.5856276,1.4424764,-0.91011844,0.33282172,0.056678381,1.1445997,-1.1568495,-0.054174296,-0.9159711,0.36078938,-1.9102838,0.98896922,0.59402083,1.8691022,-0.96417315,0.7063538,0.5188293,1.0782915,-0.041422332,0.11561254,0.38325023,2.0972814,-1.7896534,-2.7209977,12.31889,0.06421064,-0.048979411,-0.23093913,-0.074076342,-0.11449974,-0.1264079,-0.12545532,0.017934686,-0.1605565,-0.10685484,-0.12560198,-0.020901586,-0.19355991,-0.072802838,-0.16774171,0.021466583,-0.1875549,-0.037581744,-0.16754921,0.063562934,-0.2021632,-0.10213426,-0.13796673,0.054487077,-0.15976364,-0.10614566,-0.092481645,0.059781597,-0.26672593,-0.15398644,-0.16364077,-0.050823292,-0.25104917,-0.085759417,-0.10853531,-0.075369736,-0.29344345,-0.076229727,-0.096718702,-0.0065242021,-0.27477098,-0.20421645,-0.068294187,0.058134755,-0.28899309,-0.074568776,-0.12336131,0.068866549,-0.33778294,-0.086733995,-0.20671844,-0.028960301,-0.34515253,-0.038408187,-0.084306466,0.063875023,-0.26538943,-0.048328622,-0.12539271,0.10452097,-0.3556308,-0.10623843,-0.082362888,0.070543191,-0.27620427,0.2522494,0.24562888,0.24820474,0.24274985
-19720.985,0.97023826,0.0020628234,10,1023,0,19771.91,-0.18115661,-0.20272218,-0.14709934,-0.15129488,-0.1289703,-0.059107551,-0.062945645,-0.13669909,-0.08344865,-0.13411274,-0.19152685,-0.33963263,-0.0043024996,-0.10366116,-0.18579492,-0.056501442,0.048034427,0.091024022,0.098334214,0.11313767,0.088924042,0.12114577,0.1369226,0.10091819,0.099175219,0.14464354,0.26066072,0.45840386,0.17731839,0.14552042,0.71850005,0.082774634,1.6683677,-0.9180504,1.1510037,0.79354989,1.4351143,0.41614251,2.1763742,0.25329843,0.12549779,0.20035034,1.8789702,-0.65524425,0.82246133,-0.37761069,1.5564977,-0.25729914,0.86755384,-0.52248174,1.4328383,-0.88843443,-0.22161721,-0.49598642,1.2913393,-0.72897116,-0.21647695,-0.47673414,1.2604085,-1.5590696,-0.56010689,0.046522772,0.74895479,-1.3019103,-0.41463643,-0.15895015,0.12572013,-2.1673793,0.23594531,-0.085425603,0.75466409,-0.96493122,0.0060595967,0.5296425,0.79875523,-0.33582128,0.63203937,0.54753978,0.83722656,-0.063878971,-0.55320955,-1.0167358,0.092596571,-1.5846388,0.39069306,0.23124412,0.99138667,-0.79432761,0.23967172,0.08486287,0.34617326,-0.23700502,0.072326878,0.028042967,1.9397447,-3.4107146,-1.8268393,9.000015,0.25548,-0.10101753,-0.22525464,-0.12586881,-0.1430389,-0.072092303,-0.16484322,-0.0046198443,-0.17966594,-0.13475862,-0.12739805,0.037667716,-0.21153227,-0.05824352,-0.19401688,0.024803644,-0.18040511,-0.051823903,-0.17543149,-0.0015565222,-0.20797348,-0.085955538,-0.11919421,0.097332743,-0.14741932,-0.092586233,-0.12822133,0.10963277,-0.27641751,-0.19322407,-0.1320041,-0.061115929,-0.26808553,-0.12457031,-0.099212566,-0.070980329,-0.29839896,-0.099984772,-0.146469,-0.024955452,-0.27368381,-0.18994735,-0.053469851,0.016677267,-0.27906226,-0.04990334,-0.088638283,0.044155261,-0.368915,-0.10239672,-0.18458845,0.012116575,-0.28528809,-0.046807347,-0.070010423,0.040605839,-0.21925205,-0.013590775,-0.12482094,0.062930589,-0.35608304,-0.050514611,-0.054180196,0.10406022,-0.33882209,0.25033896,0.2524798,0.24105929,0.241524
