# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:58:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc64be6d6.json
# init = 2 (Default)
# random
#   seed = 2135159903
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192258-1-842d94.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192258-1-5a142d.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00711832
# Diagonal elements of inverse mass matrix:
# 0.00567997, 0.00255982, 0.0196421, 0.00657259, 0.0210531, 0.00624835, 0.035258, 0.0130699, 0.0232665, 0.0157042, 0.0204713, 0.0344133, 0.0162019, 0.0138999, 0.0513333, 0.0253891, 0.450708, 0.342449, 0.45579, 0.311445, 0.411181, 0.295702, 0.343667, 0.299862, 0.413621, 0.332112, 0.2938, 0.332527, 0.297734, 0.324533, 0.327218, 0.206585, 0.409752, 0.288443, 0.338562, 0.228015, 0.278492, 0.231151, 0.284817, 0.24052, 0.240956, 0.232007, 0.279898, 0.261324, 0.274552, 0.283785, 0.296256, 0.31013, 0.522551, 0.302861, 0.342552, 0.290769, 0.427113, 0.244144, 0.260443, 0.222814, 0.263661, 0.217722, 0.288474, 0.249526, 0.304745, 0.265402, 0.280029, 0.30098, 0.425892, 0.385496, 0.580131, 0.424814, 0.354801, 0.424176, 0.440591, 0.335443, 0.351319, 0.408996, 0.462827, 0.355657, 0.40297, 0.411264, 0.438686, 0.417602, 0.318646, 0.36556, 0.467877, 0.247993, 0.442086, 0.270669, 0.474769, 0.413215, 0.456458, 0.449181, 0.374992, 0.514722, 0.43136, 0.490144, 0.477787, 0.476165, 7.87033, 126.467, 0.66501
-19724.266,0.98719991,0.0071183222,10,1023,0,19765.841,-0.1496276,-0.10048123,-0.084483254,-0.095166933,-0.13036396,-0.20688182,-0.057459071,-0.18220387,-0.081049352,-0.092058568,-0.16145251,-0.14793869,-0.065336463,-0.068166173,-0.20789787,-0.17770244,0.1151302,0.052217877,0.056194054,0.099215568,0.11229727,0.1638042,0.1534313,0.08640936,0.19464769,0.13304458,0.2291457,0.12933508,0.079191278,0.13381398,0.28565448,0.20962035,0.58249094,-0.63837339,0.67852563,-0.042440355,-0.12977872,-0.23051493,0.10661633,-1.4069948,0.060178975,-0.58975444,2.1306483,-1.8701664,0.2628635,-0.90640658,1.3420344,-0.59305979,0.777316,-0.47250862,1.2787266,-0.5486815,0.88736392,0.30855173,1.7415439,0.21163221,0.0058153251,-0.25746094,0.72936308,-1.4903887,0.53522013,0.60456851,1.9263416,-1.3134095,-0.17004871,-0.0020289615,0.29870471,-1.0325332,0.052980651,-0.077686215,0.71002547,-1.4922443,-0.18366757,0.50888249,0.74689476,-0.59497998,0.76317729,0.18788545,1.4705306,-1.5320156,0.15533874,-1.3719061,0.60223968,-2.2758733,0.34701663,0.14070282,0.57675589,-1.5404829,0.63575718,0.29259871,1.0042127,-0.43020439,0.50462313,0.58463411,1.3051306,-0.53987726,7.5791485,-29.00018,0.14040907,-0.0825653,-0.22312366,-0.071508807,-0.15451377,-0.107258,-0.11251823,-0.094913955,-0.17395152,-0.081101553,-0.11762395,0.035246512,-0.18957548,-0.069086781,-0.18509658,0.037983771,-0.1540077,-0.043073493,-0.18342538,0.013233544,-0.19197939,-0.061527888,-0.15633975,0.078390375,-0.17221558,-0.056566818,-0.096961639,0.054448059,-0.28613135,-0.13595584,-0.12996349,-0.015749924,-0.29569474,-0.11414894,-0.081444284,-0.022907172,-0.28202955,-0.08500978,-0.1023943,0.0024064722,-0.29059359,-0.20353914,-0.044844271,0.0096952181,-0.29778961,-0.049233096,-0.12363851,0.042252497,-0.34608206,-0.05303499,-0.17397946,-0.017644333,-0.24556578,-0.021730495,-0.049338168,0.0090118299,-0.27430432,-0.026290989,-0.12431574,0.078959973,-0.33078768,-0.071923165,-0.055151235,0.095879499,-0.2908717,0.25622037,0.24390115,0.25272899,0.24562699
-19719.747,0.97673117,0.0071183222,8,503,1,19764.923,-0.12260318,-0.10677838,-0.14214434,-0.088911821,-0.12379155,-0.11938398,-0.089771492,-0.19059539,-0.14738939,-0.061672612,-0.1348892,-0.12727005,-0.124485,0.023504507,-0.23790735,-0.073641005,0.10118111,0.060029914,0.039560863,0.089880822,0.14427798,0.14015304,0.17946382,0.11194049,0.15730989,0.15011123,0.18831682,0.15718802,0.079167583,0.12493185,0.40858977,0.60380747,0.81332503,-0.49658659,0.071714937,0.051910371,0.050568768,-0.86673838,1.6257422,-0.87548893,0.70593626,-0.35963728,1.3565005,-1.874478,0.16318553,-1.1985944,0.74391638,-1.2627626,0.56559762,-0.60379786,0.89335014,-0.48181834,0.075553227,-0.045256506,1.727454,-0.27501026,0.27991337,-0.19932656,0.84859163,-1.1429753,-0.2213264,0.73063268,1.7818382,-0.85492435,0.2563559,0.42906202,0.65753081,-1.1400638,-0.34806282,-0.47458679,0.76128703,-1.4425,-0.45267002,0.43683879,0.63176452,-0.71142717,0.5223722,0.38677581,1.2152883,-1.2510275,0.37853857,-0.74694212,1.6731533,-1.7768735,-0.47726256,-0.9718076,0.425306,-2.0530563,0.54016814,0.25236406,0.74617771,-0.25357733,-0.030984458,-0.0090965573,0.27784957,-0.4589399,6.499496,-24.756104,0.24310254,-0.040310052,-0.17284836,-0.11534698,-0.11735083,-0.10374275,-0.15880861,-0.0091852204,-0.15933391,-0.11421689,-0.1563719,-0.088480011,-0.21630031,-0.074244571,-0.19664247,-0.022048005,-0.20240996,-0.042188262,-0.21090628,0.0050992117,-0.19330732,-0.10879496,-0.12572682,0.12272396,-0.1579275,-0.03953717,-0.1255434,0.062520002,-0.2948942,-0.21537078,-0.10880801,0.0088644471,-0.28629604,-0.10706208,-0.079893694,-0.043953294,-0.3267327,-0.11392075,-0.13291342,0.052605118,-0.27820806,-0.22013458,-0.05262511,-0.015917316,-0.2688629,-0.045159398,-0.066473525,0.063758707,-0.32391658,-0.094517019,-0.18361861,0.0079744971,-0.26515578,-0.036120787,-0.097905212,0.07663877,-0.23298761,-0.01720017,-0.13479398,0.066973234,-0.34151645,-0.092349652,-0.079133574,0.094126642,-0.35075234,0.25786864,0.24170701,0.24876409,0.24653079
-19713.353,0.95674473,0.0071183222,8,394,1,19777.951,-0.11228953,-0.14401269,-0.12174156,-0.05906019,-0.073917624,-0.15071565,-0.10495299,-0.21233196,-0.15659902,-0.075751992,-0.14833354,-0.11677486,-0.1140507,-0.019690923,-0.33482448,-0.01558705,0.11948791,0.059119751,0.098103037,0.11715032,0.16455214,0.16209556,0.14181727,0.15378904,0.13636206,0.11855267,0.13938844,0.12349854,0.11143619,0.15364906,0.46141792,0.43663471,0.39212137,-0.79950373,-0.22733742,-0.17002019,0.31219192,-0.56917791,1.6150678,-0.84686003,0.074941407,-0.39229905,1.5712037,-1.0403255,0.069266505,-1.0122743,0.3741541,-0.93312534,0.20243058,-0.65699855,0.54459532,-0.7535516,0.46487745,-0.14250244,1.1230604,-0.0091562239,-0.12825187,0.039877378,1.2268053,-1.3278405,0.099606556,0.70549045,1.141743,-0.58939183,0.073876976,0.3960232,0.69779102,-0.90661075,-0.13798923,-0.32939275,0.64281473,-1.7001905,-0.16553661,0.35995871,1.3231189,-1.1008826,0.35466205,0.22895396,1.4941342,-2.1840338,0.31938803,-0.57671909,1.715848,-1.8463961,-0.41514809,-0.48746312,0.47829377,-1.4855481,0.642771,0.49050341,0.85181289,0.024486286,-0.15759975,-0.1494042,0.12510393,-0.65424267,6.6006219,-24.905344,0.16923927,-0.065435764,-0.20782056,-0.1394536,-0.13260489,-0.12555598,-0.17766235,-0.048530283,-0.19407884,-0.11438958,-0.16022729,0.032398296,-0.22380064,-0.050945596,-0.17764846,-0.015227917,-0.16837612,-0.040607238,-0.18202814,0.015696702,-0.19791615,-0.075361079,-0.17381467,0.031327463,-0.15219984,-0.12314132,-0.099297692,0.06902918,-0.2932637,-0.19701357,-0.10383527,-0.036744402,-0.30297397,-0.146525,-0.10259648,-0.061446797,-0.28022633,-0.092110984,-0.11480238,0.0004554111,-0.27731412,-0.17140743,-0.098159456,0.036093942,-0.30178386,-0.072974619,-0.088499385,0.067748532,-0.38649985,-0.078459316,-0.17831808,0.077156864,-0.31980606,-0.083478038,-0.094589174,0.053798467,-0.24794399,-0.038238427,-0.10849742,0.058217245,-0.32352607,-0.084400572,-0.080822108,0.039037667,-0.30125211,0.26046084,0.24645697,0.24990937,0.25048739
-19719.438,0.98456336,0.0071183222,10,1023,0,19756.994,-0.12368355,-0.03844115,-0.10859585,-0.18238529,-0.16886357,-0.097699319,-0.096131092,-0.055854293,-0.14885967,-0.29525086,-0.025556558,-0.10847668,-0.18069841,-0.14099186,-0.01833334,-0.17999753,0.10994604,0.29333077,0.068621795,0.15230763,0.27609854,0.24807893,0.21196314,0.22380243,0.11983964,0.49602872,0.29794997,0.23223311,0.086605836,0.16605327,0.25412467,0.1444531,0.24393638,-0.97310103,0.72661268,-0.017817109,-0.22151834,-0.58222448,-0.040604712,-0.55254732,0.2031257,-0.20702733,1.3306992,-1.7632134,0.65173456,-0.34887711,1.381959,0.035830565,0.3724547,-0.068378449,0.70622539,-0.13987954,-0.16464703,-0.25049359,0.62146693,-0.25709919,0.080406253,-0.21037764,0.78301758,-0.93764217,-0.64864202,-0.24540165,0.35167007,-1.1665392,0.48099527,0.30993055,1.0816675,-1.4459878,0.35248487,0.42978098,0.64563148,0.059505447,-0.76612999,-0.13751673,0.36402023,-0.97739304,0.027675475,0.045377747,0.73130495,-1.2747682,1.2658739,-0.47295648,1.2995475,-1.4072775,0.54477089,0.59056523,1.6218075,-0.48162244,-0.15726919,-0.40736587,0.38477361,-1.2352121,0.4749311,0.81564606,1.7614136,-0.82624242,2.8059965,-9.8109557,0.11926717,-0.096863716,-0.23067216,-0.04379537,-0.12564247,-0.1034193,-0.2092255,-0.050351761,-0.20052028,-0.094657001,-0.12280244,-0.017280885,-0.22959072,-0.083121141,-0.23552193,0.028097615,-0.17692802,-0.066029375,-0.18774276,0.026124224,-0.20748411,-0.13854478,-0.1598415,0.056473532,-0.16148021,-0.079087931,-0.1407234,0.069839771,-0.29487667,-0.20102195,-0.11077578,0.022850321,-0.31692859,-0.09121737,-0.1117177,-0.019233021,-0.32214632,-0.12040824,-0.082067146,0.025000904,-0.26573445,-0.25382496,-0.066529663,0.082903257,-0.31677078,-0.10204952,-0.097938464,0.061356542,-0.40452005,-0.071066338,-0.2216592,-0.068150005,-0.30257685,-0.050530874,-0.042926575,0.12831458,-0.22096685,-0.058299321,-0.12185506,0.079447125,-0.3322312,-0.11139226,-0.062174927,0.074444123,-0.29935081,0.25740616,0.24588086,0.25204661,0.24989067
-19704.904,0.9492432,0.0071183222,10,1023,0,19762.469,-0.11181847,-0.16692031,-0.087420552,0.02754233,-0.077814489,-0.053464738,-0.17708473,-0.23269409,-0.12749716,-0.045325635,-0.18329983,-0.053906159,-0.10244665,0.03998611,-0.22226815,-0.021819582,0.10338563,0.17902454,0.08602424,0.30946338,0.11087686,0.16260416,0.84846281,0.21825178,0.13109653,0.2451262,0.23871461,0.21631885,0.13896052,0.18384723,0.33023121,0.13159371,0.21956554,-1.0320919,0.53792393,-0.11041611,0.13056668,0.086586632,0.89278344,0.058286681,0.11637896,-0.59285756,1.2544581,-1.2042898,-0.39174524,-0.68875462,-0.12918733,-0.58853381,0.20063615,-0.9265611,0.85608343,-0.95030116,-0.29418196,-0.61800876,0.66355957,-0.74313929,0.069749475,0.052593987,0.30376751,-0.13706203,0.47946164,0.50316753,0.94559178,-0.25598034,-0.13307178,0.30276803,0.42648485,-1.1922652,-0.10957649,-0.41912582,0.26922998,-0.97887236,-0.22091714,0.54117154,0.8023702,-0.23677204,0.12236592,-0.14989452,0.56754134,-1.1482714,0.13084948,-0.65734627,1.2328722,-1.6630672,-0.34695061,-0.81797641,0.12292306,-1.4649922,0.52784128,0.33674776,0.97781985,-0.24604812,-0.59171974,-0.48999029,0.71104274,-2.1188324,-1.1124077,5.8766198,0.076290151,-0.089118547,-0.21852194,-0.056204865,-0.12323391,-0.14354567,-0.15141918,-0.0070901631,-0.15648556,-0.077409141,-0.13842067,0.020493252,-0.19101867,-0.093688476,-0.185602,-0.012436419,-0.15458733,-0.055568583,-0.18054867,0.017105353,-0.1831809,-0.10129995,-0.15395553,0.054432806,-0.17430228,-0.11790489,-0.13246068,0.080650713,-0.29337676,-0.12805074,-0.12287689,-0.026317005,-0.28856226,-0.14494241,-0.08780532,-0.071586474,-0.28379899,-0.072185705,-0.14806436,0.020669688,-0.2852729,-0.23603598,-0.054114274,0.0082376648,-0.23982078,-0.027436106,-0.086331168,0.068863728,-0.30229891,-0.08426374,-0.19379183,0.068873905,-0.33354732,-0.023799799,-0.11039659,0.062585173,-0.22934865,-0.047958486,-0.11106353,0.10063848,-0.30352092,-0.099686175,-0.08629922,0.071749168,-0.3006446,0.25622856,0.24820397,0.25507215,0.24910949
-19704.042,0.94738969,0.0071183222,10,1023,0,19750.782,-0.13927721,-0.13330263,-0.13789739,-0.45716243,-0.071579561,-0.12946645,-0.017392586,-0.033705063,-0.16935489,-0.17491246,-0.076525478,-0.17263261,-0.14419667,-0.44112479,0.059969561,-0.53626463,0.14289355,0.057625283,0.11917077,0.28300495,0.063633918,0.12171902,0.25499109,0.18480531,0.1595101,0.15629614,0.11850335,0.27799222,0.12152409,0.46183393,0.46638879,0.72281394,0.31006774,-0.57929361,0.27247212,0.1194264,-0.048034434,-0.61395225,1.7231686,-0.71692186,-0.2416311,0.17994713,1.3741022,-0.25061131,1.305561,0.88784766,1.6161513,1.093287,0.46552341,-1.2168957,1.5874681,-1.6166865,0.32983975,-0.164534,1.2692781,-0.10896724,-0.28238212,-0.3390026,0.40628392,-0.9455728,-0.75334314,-0.40674748,0.25737423,-1.3409839,0.19896805,0.59011718,0.78270844,-0.98829293,0.57217235,0.35143871,1.2572585,-0.72979269,-0.85089048,0.0038242825,1.2184051,-1.4792669,0.29412599,0.36286609,0.86371718,-0.66786174,0.73478014,-0.25687187,1.3864328,-0.85373197,0.78039031,0.79260895,1.085266,0.43324319,-0.18711823,-0.33503716,-0.011043657,-0.8286638,0.61730348,0.63692471,0.90484067,0.24819849,0.51990456,-0.65061438,0.043044843,-0.094970529,-0.22205453,-0.1003427,-0.12221195,-0.13607063,-0.16868181,-0.034004556,-0.17461546,-0.16669276,-0.11645295,0.025855431,-0.16776294,-0.087682207,-0.20589715,0.00021638051,-0.1477568,-0.041956482,-0.1490154,0.029437257,-0.17445566,-0.089318682,-0.14949337,0.025028831,-0.14272984,-0.089397512,-0.10383523,0.086206194,-0.25850523,-0.17292687,-0.10887416,0.013859062,-0.28152601,-0.13761747,-0.075225237,-0.044504987,-0.32699759,-0.085484135,-0.11998395,0.021592182,-0.28897624,-0.17735885,-0.076072287,0.067859612,-0.25182356,-0.090867877,-0.071758664,0.067474041,-0.35829298,-0.054903176,-0.17541279,0.024288322,-0.24794567,-0.080714066,-0.075071085,0.060087866,-0.24103838,-0.027300285,-0.096288013,0.054818923,-0.32650994,-0.090069069,-0.075886569,0.11776682,-0.3568633,0.26196095,0.24765196,0.24333316,0.24942696
