# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 21:58:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc64be6d6.json
# init = 2 (Default)
# random
#   seed = 2135159903
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192258-2-842d94.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192258-2-5a142d.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00378998
# Diagonal elements of inverse mass matrix:
# 0.016872, 0.00588827, 0.0101772, 0.00713549, 0.0143899, 0.0128395, 0.0236806, 0.0186305, 0.0404001, 0.0220479, 0.0223189, 0.0382029, 0.0195462, 0.0256394, 0.07392, 0.0279412, 0.596572, 0.437811, 0.396632, 0.308322, 0.364976, 0.289997, 0.327902, 0.333641, 0.460735, 0.355813, 0.293255, 0.399461, 0.328999, 0.372309, 0.413276, 0.283625, 0.468384, 0.313549, 0.273375, 0.269292, 0.4161, 0.341692, 0.265257, 0.268785, 0.300409, 0.247361, 0.228357, 0.237246, 0.312151, 0.295578, 0.236988, 0.255113, 0.569616, 0.358913, 0.274642, 0.348257, 0.412526, 0.409394, 0.275325, 0.266127, 0.314538, 0.246341, 0.24514, 0.236589, 0.282991, 0.293279, 0.231741, 0.249006, 0.412408, 0.505672, 0.505802, 0.4862, 0.479192, 0.441662, 0.398687, 0.429241, 0.406978, 0.342523, 0.415924, 0.372924, 0.488405, 0.435091, 0.338506, 0.403265, 0.369196, 0.396541, 0.366901, 0.297918, 0.424701, 0.46903, 0.498602, 0.428563, 0.558964, 0.562913, 0.334099, 0.569706, 0.412087, 0.533689, 0.482714, 0.43586, 6.12401, 97.7335, 0.582828
-19740.435,0.82264534,0.0037899801,10,1023,0,19781.91,-0.14001176,-0.16210039,-0.1706945,-0.14407986,0.00085269932,0.039946916,-0.24264146,-0.51959523,-0.15132037,-0.20775021,-0.19679787,-0.37120391,-0.23281188,-0.060567208,-0.016198561,-0.26423149,0.067715065,0.060704805,0.054702331,0.080001872,0.29894856,0.12278404,0.17282715,0.33662604,0.16973764,0.13541739,0.13203124,0.19647222,0.1229018,0.12690004,0.17253745,0.3042372,0.72550351,-2.0575951,0.16442471,0.90334311,0.23333601,0.7319803,1.8891909,-0.48642655,0.78122081,0.88533953,2.7142946,-0.41032277,1.3068281,-0.4613282,2.5571752,-0.26610858,-0.19140461,-0.56331654,0.20858089,-0.68395425,-1.0712029,-1.4014795,0.10928259,-1.4549856,1.2733121,0.52281553,1.8103308,-0.31289739,1.1108611,1.1551478,1.4057298,0.55685848,0.20129246,0.23609089,0.89057631,-0.82233726,0.87848271,0.64455871,1.7228891,-0.76512705,0.16216474,0.88899944,1.5740728,-0.66284752,1.4642188,1.3147829,2.136252,-0.27380324,1.3542148,0.47896228,2.2557072,-0.65676436,0.17731851,-0.26439614,0.59604747,-1.3871717,-0.079873874,-0.63964967,0.69445413,-1.7321365,0.62504269,0.67024774,1.33504,-0.1033521,1.8586009,-6.1590254,0.08778273,-0.09088424,-0.27934195,-0.12887773,-0.07884182,-0.14793577,-0.11766567,-0.047417424,-0.19162882,-0.1279599,-0.12226436,-0.022216255,-0.19314011,-0.039531165,-0.18098698,0.060498945,-0.16536905,-0.056367434,-0.16754997,0.063207657,-0.20361444,-0.091579707,-0.1321324,0.053365075,-0.1387021,-0.022578551,-0.15228474,0.070232859,-0.29671862,-0.14565046,-0.13074241,-0.046389985,-0.33214217,-0.11715347,-0.11124686,-0.00015605127,-0.29090196,-0.088788382,-0.12046576,0.025558932,-0.31136172,-0.17538706,-0.079422176,0.011028902,-0.28431445,-0.083525581,-0.11288559,0.048510258,-0.42499864,-0.066376453,-0.17394656,0.044418579,-0.3135294,-0.038065482,-0.094119088,0.015071239,-0.23659935,-0.029979796,-0.12656209,0.10362079,-0.31505699,-0.07407025,-0.060317194,0.14193735,-0.29567504,0.25561336,0.24649581,0.25299777,0.25419647
-19736.836,0.99873677,0.0037899801,10,1023,0,19779.459,-0.12409735,-0.155761,-0.19880439,-0.1842772,-0.011656533,0.084759665,-0.21168652,-0.49692114,-0.14059834,-0.19728754,-0.17414958,-0.29284548,-0.22516997,-0.062765095,-0.077330709,-0.24384886,0.043428975,0.058352982,0.059901719,0.081827618,0.20060657,0.15443294,0.14284202,0.36411292,0.13920417,0.10370482,0.1542133,0.17291448,0.10894868,0.11735885,0.15434977,0.29031704,0.62709425,-1.7117486,0.18535744,0.58225647,0.14015616,0.74462889,1.7745387,-0.33555346,1.0048391,1.0163358,2.996039,-0.099411937,1.3450785,-0.50298913,2.210966,-0.16631181,-0.02883022,-0.92317205,-0.087955474,-0.83267667,-0.92213966,-1.3964193,0.045553305,-1.5085097,1.1302207,0.85720518,1.6272758,-0.40216815,0.81899704,1.0572685,1.4933562,0.65016413,-0.036525049,0.45393408,0.91488476,-1.1813097,0.78654279,0.48977444,1.7037948,-0.55023635,-0.032204011,0.59333311,1.437541,-0.6852396,1.3974093,1.319178,2.0525075,0.054977623,1.373714,0.17055007,2.2619957,-0.67427893,0.34623731,-0.12970061,0.48227384,-1.5947534,-0.035801931,-0.43871849,0.93118053,-1.7325991,0.59050069,0.57662939,1.1241313,-0.18153274,1.7562072,-5.9670474,0.074140673,-0.09686329,-0.19843684,-0.11604747,-0.098810548,-0.14758247,-0.11230968,-0.052211372,-0.17534154,-0.13861279,-0.13792412,-0.019336501,-0.20475933,-0.074212633,-0.2254356,-0.0033591152,-0.1978861,-0.017440065,-0.19685091,-0.029300979,-0.17869694,-0.057649072,-0.13089347,0.091794596,-0.14820391,-0.05024351,-0.089241595,0.020756852,-0.26913303,-0.19871374,-0.11195602,0.046829145,-0.26018798,-0.14568278,-0.077408821,-0.013242567,-0.30504157,-0.11571926,-0.14649556,-0.0205958,-0.2543497,-0.17911587,-0.082649722,0.047538358,-0.27982264,-0.051213183,-0.064740505,0.062062773,-0.28333906,-0.075505649,-0.20658877,0.021271455,-0.29863177,-0.022131083,-0.077986609,-0.006165991,-0.24992352,-0.082856729,-0.14504681,0.066396788,-0.34475698,-0.072416452,-0.076443528,0.082505602,-0.29655091,0.24535089,0.23741567,0.25206056,0.2385902
-19733.512,0.97337037,0.0037899801,10,1023,0,19788.8,-0.10471385,-0.13202533,-0.16008252,-0.14061952,0.20018728,0.1580886,-0.14392038,-0.67092875,-0.13059412,-0.24453835,-0.12387959,-0.4620285,-0.24065679,-0.059976502,-0.090574073,-0.37617396,0.032030852,0.075342338,0.078162181,0.074477741,0.37043398,0.21213034,0.11416539,0.42754684,0.23826862,0.15021863,0.11369959,0.29168884,0.10656577,0.074859084,0.17377814,0.31170909,1.1107956,-1.9659547,-0.033914438,-0.22229527,0.12025297,-0.32941847,1.6878084,-0.44047941,0.386724,0.37411696,2.1734119,-0.42305433,0.70935961,-0.30929952,2.3257705,-0.23140707,-0.71492301,-0.96600037,-0.37031452,-1.0532176,-1.1710602,-1.2706084,-0.28106247,-1.4616555,0.34394433,-0.040120881,1.6345383,-0.83536268,1.2247105,1.3650244,1.616025,0.92048192,0.25671926,0.038053412,0.38673244,-0.58392256,0.83518003,0.75401231,1.4985578,-0.023087159,-0.6483645,0.52914827,1.5368503,-1.2621644,1.2748238,1.2378111,1.7879634,0.24116737,1.6396634,0.35266806,2.2222979,-0.591903,0.059130601,-0.50455113,1.8517915,-1.974909,0.34197672,-0.21737347,0.70201532,-1.6033687,0.92594129,0.87432646,1.5214411,0.15267653,1.3703743,-4.0713456,0.097794482,-0.069134121,-0.16768506,-0.10580016,-0.11183416,-0.12296519,-0.15684448,-0.0048618973,-0.16521208,-0.12985533,-0.13084072,0.0097960925,-0.19314937,-0.087788016,-0.16365545,0.032598618,-0.15785419,-0.064644503,-0.15765209,0.063010193,-0.18996031,-0.09032881,-0.11144599,0.098466723,-0.15197288,-0.10465384,-0.1485008,0.042687324,-0.23928989,-0.14730764,-0.08731688,0.019997638,-0.27737962,-0.069425978,-0.12152719,-0.038447916,-0.26972454,-0.11907875,-0.13127165,-0.019427044,-0.24800647,-0.19759837,-0.063715653,0.05085965,-0.26738716,-0.090176634,-0.10097283,0.059500474,-0.39168267,-0.065924802,-0.20307445,-0.0038359058,-0.30373339,-0.05555004,-0.097746738,0.078646915,-0.20781638,-0.031145992,-0.12834883,0.031420846,-0.36920452,-0.087549644,-0.10363846,0.09807305,-0.3285833,0.2619883,0.24796531,0.24338413,0.24050248
-19705.631,0.98880003,0.0037899801,10,1023,0,19776.436,-0.11147318,-0.26005175,-0.20495771,-0.18174634,-0.11316531,0.02137597,-0.061068744,-0.35530218,-0.029738361,-0.078834162,-0.058827034,-0.29259022,-0.27645408,-0.075945272,-0.010250962,-0.48091291,0.055726861,0.27790073,0.53308062,0.32198512,0.15602558,0.36595484,0.15804816,1.1329696,0.094674584,0.20558294,0.27900369,0.20652827,0.20953341,0.19444441,0.22612359,0.80416324,0.50495984,-1.1793963,-0.16147747,-0.067762815,0.38278631,0.4388248,0.82050859,0.30923458,0.15675687,0.12545652,0.43525446,-0.068866365,0.36597269,-0.11957382,0.55726706,-0.080314249,0.41934366,-0.4675272,0.9085257,-0.57206587,-0.31033581,-0.43897323,0.086493516,-0.44906595,-0.10227098,-0.30662531,0.48762237,-1.5429368,0.16354153,0.23489616,0.34818792,0.056292235,-1.0746721,-0.63435305,-0.16277085,-2.3902809,-0.12036325,-0.37492111,0.37207829,-1.0963625,-0.38046633,0.043470317,0.23142708,-0.74031351,1.0782583,0.99358413,1.627611,-0.14943375,0.95199923,0.23960601,1.5097816,0.0054393553,0.13996394,-0.16971345,0.4496696,-0.59514256,-0.10166757,-0.57416121,0.35166448,-1.4698648,0.46482216,0.507652,0.66818675,0.15809615,-1.8963782,9.0022527,0.10701602,-0.083333356,-0.17719724,-0.12047182,-0.11524939,-0.15367516,-0.13810202,-0.032031812,-0.17411524,-0.12139366,-0.13807927,0.027068007,-0.24166904,-0.063908584,-0.22024733,-0.0023146433,-0.20760634,-0.047736976,-0.18611152,0.028587935,-0.20242222,-0.092192921,-0.13926841,0.053028691,-0.14296189,-0.077232483,-0.10953031,0.015999074,-0.30492706,-0.17001459,-0.089171965,0.039184159,-0.29152479,-0.1314825,-0.089795472,-0.045148623,-0.25603721,-0.10357879,-0.15591154,-0.0023412132,-0.30422758,-0.16497854,-0.046698655,0.0057419747,-0.26537723,-0.069899396,-0.087387013,0.043557464,-0.32345252,-0.076978435,-0.22624862,0.0398956,-0.27531435,-0.048730067,-0.1089451,0.011490466,-0.19166741,-0.033240396,-0.14008236,0.069268672,-0.34262207,-0.10712002,-0.072677833,0.056418307,-0.3537778,0.25975714,0.24068199,0.25575626,0.24711645
-19707.834,0.9884827,0.0037899801,10,1023,0,19761.634,-0.10412127,-0.34474525,-0.19497819,-0.11808721,-0.10623435,0.049712121,-0.043576207,-0.40331542,-0.037889862,-0.051351292,-0.014206847,-0.20321181,-0.18373633,-0.15397851,-0.021732282,-0.58385078,0.10534057,0.27786751,0.30304788,0.15706464,0.10805207,0.28202477,0.14331207,1.4025173,0.077629399,0.16618369,0.22520708,0.27126192,0.15245946,0.25598415,0.29055053,0.82501217,0.73010728,-1.3142089,0.34985904,-0.068771723,0.73505148,0.75642573,1.1274525,0.60471948,0.21685704,0.3330659,0.71524216,0.078273411,0.39642008,-0.41995535,1.0791832,-0.19354622,0.70119666,-0.65366874,1.1108096,-0.81218673,-0.40692331,-0.51721461,0.071829153,-0.72661401,-0.43257103,-0.58763664,0.66189562,-1.7098539,0.15914396,0.21222757,0.27836399,0.063938722,-1.1656112,-0.83857289,-0.071647774,-2.8613732,-0.3030064,-0.27929394,0.55846373,-1.416648,-0.60606782,-0.34998467,-0.061247526,-1.2102091,0.55347889,0.5004866,0.96806339,-0.40167991,0.63478797,0.093940335,1.3125731,-0.89603839,0.5489128,0.20822996,0.88613693,-0.5191497,-0.038680224,-0.44710505,0.32402568,-0.95527462,0.58508743,0.59615751,0.82503839,0.29365029,-0.2900564,2.567416,0.06079246,-0.027211351,-0.24256079,-0.067266918,-0.11136572,-0.14049833,-0.13455912,-0.031462836,-0.17671336,-0.12926013,-0.094043278,0.021774424,-0.1712576,-0.055823631,-0.18404735,0.051414316,-0.14848648,-0.030468596,-0.17686461,0.01379093,-0.19399281,-0.065050334,-0.096155214,0.069969722,-0.15521103,-0.10556886,-0.12779163,0.051281424,-0.2886189,-0.18011325,-0.10566258,-0.012905097,-0.31364026,-0.12837556,-0.10298777,-0.043451835,-0.26001655,-0.10170601,-0.097765388,0.041456268,-0.28677508,-0.15069761,-0.093025872,-0.028000224,-0.2867545,-0.053074064,-0.067448855,0.059386924,-0.31217228,-0.086956903,-0.16941424,0.016377849,-0.32034586,-0.013465532,-0.10067494,0.072858502,-0.2868726,-0.032970842,-0.15163889,0.07241355,-0.29928783,-0.10114653,-0.092013575,0.096815933,-0.34158571,0.26013428,0.23961231,0.25057319,0.2527481
-19713.819,0.99093159,0.0037899801,10,1023,0,19748.367,-0.085345251,-0.37702575,-0.20578142,-0.14173971,-0.095341521,-0.01133291,0.060312323,-0.30155545,0.086641785,-0.087860164,-0.087361209,-0.22476868,-0.25572675,-0.097555728,-0.20851926,-0.37773066,0.12019767,0.30146026,0.11917025,0.11657302,0.12495417,0.19050288,0.19914004,1.2901758,0.15033925,0.125726,0.14690774,0.29827064,0.38144754,0.13658124,0.3424343,0.72509555,0.45261609,-1.1309765,-0.2919384,-0.11811563,0.90817202,0.6186965,1.1897734,0.7220846,0.36416373,0.37838795,1.4622646,-0.099626541,0.81477821,-0.20838186,1.397351,-0.045252865,0.5711972,-0.74531964,0.79028822,-0.91038502,-0.39163687,-0.58717028,0.75227036,-0.8759845,-0.6772909,-0.80668682,0.22318684,-1.7345294,0.11194614,0.12794449,0.21100865,0.020347198,-1.1652902,-0.96585711,-0.84056273,-2.9437964,-0.040308275,-0.50068942,0.43524069,-1.553925,-0.38403646,0.24873903,0.97191481,-1.5095594,0.62467423,0.46947801,0.98858989,-0.27246595,0.55769261,0.0058135279,0.6845355,-0.060781871,0.60311859,0.065224368,1.3225743,-1.0834358,0.50618849,0.13927354,0.87200655,-0.26348361,0.40719107,0.42684996,0.66608977,0.13550125,1.3547057,-4.2186142,0.043055474,-0.03094185,-0.22128599,-0.12043557,-0.099542476,-0.10324798,-0.19051334,-0.018356344,-0.15934594,-0.16238394,-0.16068884,-0.03152299,-0.21765394,-0.046758552,-0.16603141,0.021153719,-0.14701497,-0.023968051,-0.18847231,0.0034082843,-0.20909792,-0.085940861,-0.12319054,0.13197676,-0.17821048,-0.074563412,-0.10033132,0.10475776,-0.28510193,-0.15712525,-0.13648457,-0.029317196,-0.27530399,-0.088547076,-0.058564452,-0.039727789,-0.35592637,-0.092927962,-0.15080984,-0.033139091,-0.28322894,-0.14377914,-0.05081952,0.055420596,-0.30912717,-0.038446699,-0.084737173,0.070098659,-0.30603728,-0.042996276,-0.2535092,0.0053876354,-0.27891185,-0.015181045,-0.088647303,0.083083109,-0.24553273,-0.035182957,-0.16082722,0.090085695,-0.29874509,-0.082478234,-0.068223659,0.10524806,-0.27947931,0.25562815,0.23593532,0.2493598,0.24839021
