# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 22:15:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc19aac78e.json
# init = 2 (Default)
# random
#   seed = 1779480854
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192315-1-5ef23a.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192315-1-69fd09.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00254098
# Diagonal elements of inverse mass matrix:
# 0.00461054, 0.00917805, 0.00966897, 0.00746191, 0.0208899, 0.0145069, 0.0382089, 0.00794619, 0.0125599, 0.0148457, 0.0121568, 0.0337886, 0.0154949, 0.02615, 0.0286955, 0.0307354, 0.353586, 0.573116, 0.409623, 0.320701, 0.402962, 0.327926, 0.281038, 0.439573, 0.267076, 0.253159, 0.263188, 0.316755, 0.30915, 0.425909, 0.330444, 0.482603, 0.256062, 0.310637, 0.396299, 0.206607, 0.21091, 0.220588, 0.212741, 0.172738, 0.200417, 0.210508, 0.203321, 0.211647, 0.244379, 0.249747, 0.166015, 0.194286, 0.54148, 0.296734, 0.259546, 0.378695, 0.226487, 0.281827, 0.210699, 0.192161, 0.209502, 0.20416, 0.216791, 0.211446, 0.24823, 0.229228, 0.151821, 0.186291, 0.267317, 0.754134, 0.398244, 0.387914, 0.309433, 0.347245, 0.348685, 0.450463, 0.247097, 0.327322, 0.411975, 0.314143, 0.392831, 0.347044, 0.287401, 0.352892, 0.231861, 0.306502, 0.419187, 0.3963, 0.243051, 0.287967, 0.37346, 0.397402, 0.399869, 0.378869, 0.279603, 0.527256, 0.460239, 0.438617, 0.395313, 0.399637, 5.39661, 84.7206, 1.97287
-19703.609,0.97115626,0.0025409787,10,1023,0,19752.297,-0.55370072,-0.12140067,-0.18055145,0.028490186,-0.090947221,-0.063538832,-0.1519051,-0.21215964,0.0064096994,0.031736028,-0.043478007,-0.13366316,-0.23640421,-0.062812929,-0.11353337,-0.14498345,0.4594234,0.052679186,0.30795173,0.24218818,0.11087432,0.10330267,0.18450202,0.2823267,0.29729749,0.19213319,0.25761698,0.19955127,0.11320472,0.20920188,0.5469406,0.22327189,0.87693827,0.73722787,1.1256995,0.98457182,-1.0620717,-0.23821366,1.3634235,-1.2797425,0.11918112,0.19588123,0.56962935,-0.041754854,-0.46020481,-0.98470225,0.0027272132,-0.79876904,0.68519403,-0.64837124,0.99391606,-0.77714571,-0.23232845,-0.83953173,1.091889,-0.8657862,0.5425363,0.33731557,1.1173392,-0.70290518,0.14351703,0.37754438,0.63638847,-0.2957367,-0.47257495,-0.33766733,-0.38568519,-1.0467945,-0.43027888,-0.66503484,-0.14009003,-1.4965081,-0.67712059,-0.070335591,0.41623907,-0.80683776,0.52471514,0.30185327,1.0638467,-0.96444546,1.3450102,0.25440253,1.8929975,-0.81894491,0.13843091,-0.083302472,0.62777796,-0.74774099,0.15535171,0.013377436,0.29426778,-0.35136905,0.16909869,0.21010297,1.1092209,-0.8780939,0.80930809,-2.0423778,0.020133774,-0.15081475,-0.21500098,-0.036527998,-0.10136538,-0.17734974,-0.13394957,-0.049576628,-0.18881646,-0.14384941,-0.12022948,-0.0051331004,-0.19340993,-0.082965978,-0.20999306,0.029150684,-0.16496223,-0.014976798,-0.16283494,0.019252547,-0.17711272,-0.087538981,-0.1502647,0.04925622,-0.15297686,-0.05180606,-0.089669699,0.054246236,-0.28159253,-0.17164095,-0.10556878,-0.032490186,-0.29565401,-0.13408565,-0.09397795,-0.10825354,-0.30479968,-0.050934825,-0.096039235,0.004820085,-0.25579285,-0.21791577,-0.06159765,0.063752245,-0.25133311,-0.028955588,-0.073427957,0.078628805,-0.32611947,-0.084142715,-0.20760465,-0.022107975,-0.32911264,-0.033852923,-0.080239963,0.068519399,-0.21924175,-0.028565213,-0.10621671,0.047413628,-0.30571137,-0.10722846,-0.09807336,0.10267439,-0.34103713,0.23695309,0.2484299,0.25805084,0.24317685
-19705.165,0.99982766,0.0025409787,10,1023,0,19757.487,-0.46953711,-0.11240214,-0.15227309,0.052041917,-0.081172468,-0.089953693,-0.099000626,-0.1324214,-0.031361796,-0.061757248,0.077699177,-0.24449286,-0.21711224,-0.012208595,0.028900264,-0.10142403,0.47062126,0.052886686,0.33527529,0.24139445,0.10895753,0.10084658,0.12553835,0.41835714,0.30920464,0.16888693,0.4577767,0.3094525,0.12497281,0.26238728,0.48770146,0.14122749,0.94609624,0.46544866,0.79375866,0.78646735,-0.82911483,-0.43448951,-0.13223045,-0.55656655,0.040950224,0.12767706,0.47836463,-0.16478546,-0.58550991,-1.0729203,0.07574383,-0.93498924,0.48262251,-0.74010819,1.1314145,-0.86693313,-0.075584585,-0.54525759,1.0184509,-0.6050675,0.15845665,-0.22361415,1.185666,-1.0864266,-0.082440668,0.040024166,0.36191495,-0.32931089,-0.32043799,-0.10113842,-0.097563646,-0.87890223,-0.48194654,-0.26996759,0.64400123,-1.3961668,-0.72355476,-0.31001857,-0.10134039,-0.82640337,0.59837642,0.46097507,0.97835583,-0.35188068,1.0182062,-0.1549506,1.739423,-0.81733624,-0.045270539,-0.22597204,0.25223321,-0.8072462,-0.13437309,-0.31275991,0.024795924,-0.77527103,0.20145898,0.20820055,1.4767685,-1.4028163,2.1899426,-7.3704343,0.087431303,-0.024284106,-0.25048708,-0.095977407,-0.099408852,-0.15625128,-0.13538085,-0.11939537,-0.1418371,-0.13854349,-0.10946612,0.0081107523,-0.20752158,-0.089296926,-0.2069551,0.070326058,-0.1736593,-0.028587111,-0.16181283,0.042103668,-0.17563136,-0.097576141,-0.14494106,0.012753603,-0.15097268,-0.07910824,-0.12707278,0.049845927,-0.23538883,-0.16691104,-0.115677,0.018988305,-0.27019096,-0.13044271,-0.062634264,-0.061528928,-0.30312244,-0.14315172,-0.10735125,0.047006146,-0.29755157,-0.25352733,-0.0642201,0.031307909,-0.30060903,-0.059323786,-0.10184298,0.058261789,-0.35338322,-0.089864154,-0.23647685,0.00026834584,-0.31925704,-0.024087009,-0.071500785,0.053974191,-0.22401973,-0.036633689,-0.1236332,0.040993272,-0.34920055,-0.072972482,-0.072020388,0.10713628,-0.29954024,0.24724126,0.25861513,0.26091829,0.25218217
-19707.909,0.99814767,0.0025409787,10,1023,0,19763.483,-0.51589788,-0.12163058,-0.072256283,-0.022520421,-0.043631068,-0.071002498,-0.1138502,-0.12652374,-0.081837561,-0.075345469,0.13193059,-0.13623363,-0.18402909,-0.17029847,0.24201527,-0.13174564,0.59150896,0.035817806,0.31567297,0.13251312,0.13385768,0.19597314,0.15550033,0.14918792,0.15123704,0.10355076,0.25898553,0.2977719,0.15095545,0.34950547,0.66617885,0.11134014,0.6976423,0.5055012,0.6297471,0.66504198,-0.32673519,-1.4988468,1.2573889,-1.9348161,-0.17164959,-0.22187918,0.17552499,-0.40295532,-0.60905918,-1.2041803,0.23742896,-1.126364,0.14226089,-0.8852316,0.56582062,-1.2560095,0.10144307,-0.42877329,0.69364333,-0.57313549,0.22539568,-0.093253028,1.0656633,-1.0419574,-0.44093235,-0.046018949,0.85464549,-1.4021554,-0.36570603,0.017928505,0.048575086,-1.406189,-0.18206669,-0.80322086,0.7017306,-1.9401367,-1.1464838,-0.70008786,-0.34557658,-1.4908771,0.15570615,0.19969195,0.69681552,-0.7386801,0.59357318,-0.30072246,1.7139884,-0.63719859,0.30764225,0.22063859,0.64450384,-0.19128759,-0.36016781,-0.51619102,-0.26460212,-0.86151016,0.81140769,0.7134234,1.715119,-1.7889848,1.1306316,-3.2824065,0.036771401,-0.10323621,-0.21688939,-0.14339683,-0.12251959,-0.13333352,-0.17531598,-0.076593668,-0.19093145,-0.12644142,-0.14229754,-0.016847789,-0.19945839,-0.10322876,-0.18209011,0.0089420311,-0.17177843,-0.024588357,-0.16212611,0.032108366,-0.21175758,-0.05112238,-0.15503055,0.064932961,-0.18332166,-0.078801092,-0.12835107,0.051860796,-0.27587492,-0.19230551,-0.13338921,0.0009790448,-0.33570837,-0.13714586,-0.079126107,-0.074491208,-0.29450542,-0.094198613,-0.1585196,-0.0026807312,-0.2762481,-0.16499214,-0.049382034,0.04243126,-0.254185,-0.089868717,-0.076770982,0.07125845,-0.35619181,-0.094425985,-0.22942478,0.074706792,-0.28021769,-0.062775825,-0.09318408,0.054959145,-0.23715453,0.0020790947,-0.10186027,0.06574294,-0.33190457,-0.041403392,-0.052312977,0.059215953,-0.33093145,0.25249815,0.25945185,0.24929354,0.24809687
-19703.232,0.99212753,0.0025409787,10,1023,0,19747.809,-0.56853073,-0.11540293,-0.057915353,-0.010372571,-0.069858432,-0.047614822,-0.028057216,-0.12085602,-0.10837686,-0.05141479,0.059594156,-0.080396802,-0.14067815,-0.10704972,0.10123684,-0.15207748,0.41394423,0.067341816,0.67546009,0.14345008,0.090885704,0.14801443,0.68591482,0.24616568,0.15966831,0.072097972,0.25354776,0.50651547,0.090941589,0.18703632,0.4487378,0.13903647,1.2212345,0.81080407,1.2053792,1.0509573,-0.52107805,-1.3936426,1.2475448,-0.98604977,-0.044614673,-0.12309439,0.09075592,-0.21900102,-0.40367116,-1.191068,-0.20943643,-1.0755712,0.21056536,-1.5189844,0.91734948,-1.268167,-0.17961446,-0.41275442,1.0274013,-0.76161135,-0.055452795,-0.14455104,0.10480995,-0.38913863,-0.30157752,-0.082670306,0.59077219,-0.87341465,-0.037656919,0.04108639,0.55638101,-1.2354939,-0.60303025,-0.94400868,0.81007971,-3.0748434,-0.96108872,-0.53710001,-0.23916327,-1.3630376,-0.028660024,0.014388539,0.27810475,-0.56923868,0.69115113,-0.39054947,0.98101664,-1.6765399,0.44778363,0.10194978,0.69903891,-0.52016073,-0.32945176,-0.47871836,-0.11841208,-0.96223001,0.31679978,0.35717626,1.7644148,-1.3750878,0.49691758,-0.70964535,0.028833539,-0.063007752,-0.23290307,-0.069570981,-0.13349303,-0.15049328,-0.20925336,-0.031391002,-0.18180532,-0.088050785,-0.1410607,0.0033866487,-0.2058418,-0.068279233,-0.18123137,-0.040416244,-0.16466335,-0.050721051,-0.2079124,0.013515522,-0.18511668,-0.074200353,-0.10870843,0.10445539,-0.16034429,-0.06609311,-0.12720692,0.043833482,-0.29497317,-0.19509405,-0.14120661,0.024571816,-0.33586073,-0.11438948,-0.10181667,-0.019540443,-0.3056461,-0.094892048,-0.1194759,0.0069903141,-0.27310476,-0.18408774,-0.076586351,-0.0010451564,-0.28600098,-0.094913548,-0.073108784,0.060467556,-0.368725,-0.077823765,-0.17619534,-0.051462935,-0.29314535,-0.023297921,-0.08798141,0.023695942,-0.20433867,-0.046600616,-0.11358218,0.048100866,-0.33055213,-0.10803076,-0.10241695,0.093240523,-0.34326483,0.24275443,0.25036594,0.25803682,0.24770061
-19702.503,0.99825206,0.0025409787,10,1023,0,19747.951,-0.61639685,-0.018395269,-0.18524488,-0.12371032,-0.068491363,-0.036556971,0.078026257,-0.15536432,-0.17467654,0.072282673,0.11239767,0.074088242,-0.05942744,-0.090083094,-0.11894762,-0.14705067,0.42368615,0.13252283,0.41987652,0.10722801,0.072615849,0.11991956,0.27578273,0.15042061,0.23950943,0.1708405,0.46944862,0.56828517,0.18408343,0.11795588,1.6980164,0.14542126,1.3236735,1.0053765,1.2202747,1.2147739,-0.90439232,-1.0280541,-0.08910309,-1.4706629,0.11508234,0.15978579,0.48916521,-0.052356977,0.49236784,-0.58286531,1.1401387,-0.55095169,0.57167375,-1.3890387,1.1047254,-1.7683196,-0.39727257,-0.64367142,0.89429552,-1.1092905,-0.58603365,-0.7013199,-0.058580454,-1.379091,0.081309383,0.25261492,1.1665176,-0.66093633,0.26821381,0.19686595,0.68336865,-0.50534573,-0.97781727,-1.1898018,-0.11039058,-2.2736457,-0.5691108,-0.38094995,-0.16407357,-0.82707698,-0.22976989,-0.27542027,-0.036437769,-0.73960174,0.057651375,-0.8073578,0.53607987,-1.5231932,0.55576186,0.097006439,1.0376371,-0.93261011,0.066938064,-0.002163146,0.090016016,-0.14395262,0.59386792,0.49769247,1.9949717,-0.98674217,0.86217312,-2.1644709,0.01991689,-0.055574727,-0.19043273,-0.099383374,-0.10171398,-0.1382479,-0.15463591,-0.030203463,-0.21329168,-0.1369245,-0.11815457,0.020144112,-0.20722834,-0.070914701,-0.18620981,-0.0014555264,-0.18278778,-0.026978789,-0.16935759,0.011729206,-0.19689939,-0.084197721,-0.11374576,0.070686552,-0.1695826,-0.083591706,-0.11538566,0.061870779,-0.30230323,-0.14313371,-0.11736582,0.020103976,-0.25478276,-0.1104368,-0.12752529,-0.0110033,-0.29571161,-0.094768119,-0.13098366,0.053423491,-0.31614811,-0.15477061,-0.066438761,0.035373555,-0.27587248,-0.056486579,-0.082429012,0.053381199,-0.34621646,-0.048814777,-0.20804863,0.039255982,-0.33982208,-0.024527713,-0.078640614,0.032312313,-0.20008994,-0.0052856902,-0.12262068,0.03390105,-0.36338152,-0.060689652,-0.074675608,0.14306063,-0.29054396,0.24761438,0.25604456,0.26789325,0.25880518
-19702.994,0.99992235,0.0025409787,10,1023,0,19751.465,-0.59641797,0.019487696,-0.33016281,-0.21905946,-0.076429264,-0.060839755,0.053966169,-0.14884494,-0.1660217,0.1066875,-0.080258377,-0.15549553,0.0019399133,-0.17517936,-0.13174694,-0.25906942,0.4522496,0.15022071,0.52284259,0.21848111,0.069221559,0.24620768,0.1697832,0.26891636,0.16208905,0.17673026,0.53452335,1.0473151,0.20386668,0.14262158,0.54915262,0.18497184,1.1026068,0.76758969,1.2210867,0.98653823,-0.76567715,-1.2528476,-0.18478362,-1.505575,0.36823884,0.42164215,0.73648011,0.23841262,0.55688559,0.086735422,1.1285516,0.25434757,0.69712478,-2.0503602,0.85088347,-1.3567462,-0.010002534,-0.49159744,0.77315563,-0.3621274,-0.77199382,-0.98309594,-0.0035673815,-2.044957,-0.01765505,0.091367593,0.72199808,-0.41871806,0.41196407,0.48408332,0.82039162,-0.96274193,-1.0569601,-1.3743852,-0.34540871,-2.3744941,-0.15653246,0.0048525617,0.25743618,-0.384894,0.10911668,0.0792374,0.19108334,-0.18992969,-0.27709835,-1.0891729,0.14199542,-1.3312866,0.97555786,0.62909426,1.7016998,-0.59288001,0.13889261,0.020788944,0.31216717,-0.356066,0.86903457,0.91985238,1.7426492,-0.28800704,2.7653825,-9.8485249,0.071370021,-0.097764513,-0.24927585,-0.044182027,-0.15025646,-0.095532867,-0.16871595,-0.0082706301,-0.20668085,-0.13763186,-0.10971033,0.054900361,-0.20551054,-0.097390472,-0.2001094,0.027507751,-0.16348932,-0.0281732,-0.21835839,-0.017529783,-0.17034535,-0.063302456,-0.18187482,0.1295171,-0.1499983,-0.077105415,-0.11294701,0.053360487,-0.29323317,-0.15359267,-0.1242747,0.045312155,-0.26144508,-0.099246838,-0.087557098,-0.033045203,-0.32207163,-0.080109332,-0.13620796,0.045643329,-0.31295746,-0.16392863,-0.07766457,0.057347273,-0.28599321,-0.041215981,-0.072509003,0.044628939,-0.35441176,-0.054551206,-0.22010615,0.030888048,-0.26946506,-0.036043754,-0.085456942,0.067519757,-0.25973685,-0.055473705,-0.12033064,0.039680473,-0.32728152,-0.098322496,-0.088922632,0.063271607,-0.31234261,0.24248347,0.25240472,0.25327017,0.25231698
