# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 22:15:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc19aac78e.json
# init = 2 (Default)
# random
#   seed = 1779480854
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192315-2-5ef23a.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192315-2-69fd09.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0025831
# Diagonal elements of inverse mass matrix:
# 0.00749469, 0.013156, 0.0150659, 0.0101681, 0.0101964, 0.0108924, 0.022837, 0.0300202, 0.00881845, 0.0321207, 0.0601016, 0.0493102, 0.0230556, 0.0177279, 0.035195, 0.091497, 0.489102, 0.51961, 0.51304, 0.397554, 0.359694, 0.347994, 0.388013, 0.421453, 0.254111, 0.390375, 0.424743, 0.371235, 0.316914, 0.364802, 0.299878, 0.519127, 0.335357, 0.314687, 0.298608, 0.261866, 0.276546, 0.227153, 0.268631, 0.234818, 0.248982, 0.269243, 0.254822, 0.27222, 0.292059, 0.259612, 0.273773, 0.260753, 0.50614, 0.374178, 0.290217, 0.367694, 0.358277, 0.259119, 0.264549, 0.227111, 0.261559, 0.256926, 0.294164, 0.264955, 0.328925, 0.237328, 0.274806, 0.252163, 0.325033, 0.474519, 0.57204, 0.450596, 0.372624, 0.492969, 0.421587, 0.364426, 0.336642, 0.430954, 0.514977, 0.417817, 0.433223, 0.388786, 0.372309, 0.396248, 0.294411, 0.417699, 0.384787, 0.317668, 0.359763, 0.278966, 0.522002, 0.466102, 0.494758, 0.492619, 0.353463, 0.520949, 0.506646, 0.548205, 0.558733, 0.531823, 17.9867, 281.337, 0.903398
-19723.088,0.98982447,0.0025830957,10,1023,0,19768.403,-0.10757873,-0.12487572,-0.19639953,-0.13307297,-0.50919879,-0.16757162,-0.22245784,-0.13719319,-0.17871896,-0.10880895,-0.13263569,-0.40663441,-0.097431956,-0.031702005,-0.28526375,-0.25780998,0.056333466,0.041505488,0.29116395,0.3063147,0.56689617,0.1061112,0.17520167,0.16381909,0.080868873,0.084806353,0.13664309,0.32025907,0.12158313,0.41036422,0.25041461,0.3577251,1.0421663,-2.1977694,0.32624741,-0.10783274,0.22516588,-0.9142227,2.2766203,-0.71215559,0.31922576,0.21483035,0.72917328,0.029080627,0.15264499,-0.15431182,0.43958224,0.024160081,0.76256164,0.56874599,0.98730149,0.57738323,0.3460039,0.17914046,1.6738113,0.056299524,1.0609384,0.81107283,1.6841466,-0.21703191,-0.23699742,0.18200371,1.0035671,-1.0954574,1.1367093,1.0760882,1.4364571,-1.4440298,-0.22162443,-0.13963896,0.99489975,-2.2642004,-0.52492253,0.58707249,1.2946648,-0.95344051,1.1372753,0.90496576,1.5059578,0.18021156,0.37913768,-0.69329967,0.53045146,-1.8412112,0.012504002,-0.10759964,0.21437186,-0.53012898,1.0504282,0.61873377,1.5553441,-0.38704745,0.28409749,0.57505973,0.97783817,-0.16569624,0.281351,0.27523598,0.054164595,-0.048869885,-0.2313867,-0.089200079,-0.11365332,-0.1155301,-0.16282098,-0.030383486,-0.15443409,-0.1034525,-0.13384868,0.015909435,-0.1879323,-0.086315567,-0.18034095,0.0015775278,-0.12567238,-0.076905513,-0.18677887,0.050498645,-0.18188244,-0.13085673,-0.14856281,0.010038505,-0.16159761,-0.036579656,-0.080356528,0.072607448,-0.26048219,-0.1760179,-0.10737751,0.027210252,-0.31665003,-0.08679456,-0.091696924,-0.062554295,-0.29549602,-0.12760411,-0.12065122,-0.02443513,-0.30082753,-0.20436273,-0.052416289,0.044271315,-0.26291675,-0.042411687,-0.11681092,0.07566222,-0.34892002,-0.051335209,-0.1817255,-0.032938005,-0.32129218,-0.026570809,-0.075857048,0.056268538,-0.24924797,-0.022221174,-0.13032377,0.10421714,-0.38218608,-0.15618117,-0.052096677,0.091987279,-0.31708368,0.22774434,0.26080887,0.25145092,0.25227867
-19725.526,0.99220139,0.0025830957,10,1023,0,19764.874,-0.0084317688,-0.11719104,-0.15413967,-0.1824759,-0.53237094,-0.086991686,-0.1199738,-0.040908792,-0.23162534,-0.025350513,-0.13780346,-0.2499701,-0.1460984,-0.091394661,-0.15461171,-0.018503881,0.21963929,0.052954809,0.0893848,0.12048734,0.28532678,0.10636786,0.087467433,0.17387666,0.14333815,0.28982175,0.23549239,0.35619936,0.12323587,0.79452722,0.19249371,0.14406619,-0.35140973,-1.1404367,0.026619753,-0.63763964,0.014745499,-0.45959172,0.82141411,-0.77775894,0.24632409,0.17389864,1.5117696,-0.81697703,0.57011853,-0.22783543,1.2928365,-0.057112498,1.7136138,1.3423238,1.7823426,1.1750159,-0.023323681,-0.52981521,1.5254253,-0.95812865,0.42010856,0.14679272,1.7284102,-1.8311081,-0.83610596,-0.53782837,0.14818259,-1.391787,0.72608919,0.90825073,1.2899003,-0.56843404,-0.12836735,-0.52028671,0.23056242,-1.0239795,-0.029416295,0.21437148,0.53377282,-0.62910092,0.40137394,0.41127511,0.85883452,-0.26808782,0.44594905,-0.3429021,0.77386267,-1.0360144,0.096227414,0.0090871769,0.18770028,-0.20680472,0.52926995,0.1990057,0.98549668,-0.72528222,-0.2226299,-0.47300514,0.61730261,-1.9816963,4.5121284,-16.752319,0.092334022,-0.085615152,-0.25891647,-0.0025850253,-0.14848249,-0.11641019,-0.14152863,-0.073693211,-0.15837711,-0.13212204,-0.13859578,-0.019010447,-0.227165,-0.11378383,-0.20992718,-0.026705466,-0.18935723,-0.043431033,-0.14937,-0.023820868,-0.19710745,-0.089472576,-0.143347,0.075264548,-0.18890578,-0.083227986,-0.10713422,0.031205803,-0.28013613,-0.1862881,-0.13442459,-0.015143298,-0.28290806,-0.12754906,-0.10143837,-0.046733419,-0.31310363,-0.062554162,-0.17614092,0.04147149,-0.32212203,-0.14473077,-0.087320604,-0.012104018,-0.28595193,-0.10700096,-0.10347417,0.055946201,-0.34546281,-0.091141486,-0.18835624,-0.050730766,-0.27377254,-0.014939362,-0.084174652,0.057738317,-0.25570664,-0.052730571,-0.11630436,0.035090206,-0.29422397,-0.050577321,-0.086647928,0.070428552,-0.30399931,0.25569795,0.25420612,0.25559515,0.25041583
-19712.67,0.99698722,0.0025830957,10,1023,0,19775.479,0.00048768904,-0.14739658,-0.13365819,-0.15897847,-0.5660394,-0.083096815,-0.10880453,-0.010969576,-0.23536519,-0.034993464,-0.12282761,-0.24466665,-0.10513694,-0.017661925,-0.13676418,0.030082003,0.20769954,0.06662351,0.071442866,0.13969174,0.30760246,0.1158736,0.10480172,0.19471792,0.13780972,0.16964409,0.35205742,0.35455899,0.19202606,0.85060645,0.17257205,0.19345123,-0.20793178,-1.0123497,-0.50467863,-0.64466334,0.12535015,-0.36411795,1.0737395,-0.79563265,0.10172939,0.059896899,1.7480402,-0.7199431,0.76606082,-0.057074068,1.4766323,-0.1962333,1.7895815,1.1282014,1.9887042,1.1706885,-0.055473062,-0.44980594,1.2640658,-0.68818188,0.36940459,-0.064791347,1.6899931,-1.9570892,-0.84053287,-0.5416064,0.20842817,-1.6331451,0.65986527,1.1715655,1.3037625,-0.47661399,-0.4328599,-0.39164001,0.050499143,-1.3185014,-0.30364246,0.13990978,0.65797624,-0.41749772,0.5963712,0.51433761,0.92874194,-0.22431849,0.39782273,-0.57257543,0.87111739,-1.1291174,-0.0499038,-0.10474299,0.058776509,-0.26987699,0.54754587,0.095514851,0.97706072,-1.0622147,-0.49638844,-0.65207989,0.46177213,-1.9210896,3.9310264,-14.193834,0.11276725,-0.042699645,-0.20977688,-0.10433383,-0.13340859,-0.13904531,-0.17165539,-0.075860282,-0.20040442,-0.12639035,-0.12937898,-0.0087731869,-0.18509299,-0.051966102,-0.16695125,0.047294869,-0.18639064,-0.015559713,-0.21900187,0.045690905,-0.20593274,-0.089524678,-0.13521745,0.063375049,-0.16283893,-0.070090289,-0.11559477,0.068309656,-0.31391084,-0.17463639,-0.11643005,0.029615124,-0.3289722,-0.14442934,-0.073912085,-0.055694055,-0.30104723,-0.10842559,-0.10143288,-0.026426583,-0.25866943,-0.22972719,-0.073571333,0.10881781,-0.26981078,-0.033217879,-0.062303625,0.084627155,-0.32420079,-0.028744611,-0.21508635,0.0621403,-0.32195691,-0.06011042,-0.10675699,0.032333753,-0.24722103,-0.042273063,-0.12028098,0.031849197,-0.32007275,-0.065944949,-0.096063651,0.11941239,-0.34155513,0.24672558,0.25055948,0.26094979,0.24586634
-19711.237,0.99644182,0.0025830957,10,1023,0,19763.658,0.052937565,-0.10015036,-0.090100256,-0.20733731,-0.37265521,-0.051881897,-0.12172629,0.088626541,-0.2117447,-0.081524641,-0.026939463,-0.1827181,-0.16706138,-0.040212571,-0.15138004,0.057679075,0.18033514,0.16302883,0.093112338,0.17611134,0.29620842,0.26062081,0.14797844,0.26306128,0.11034096,0.18417142,0.54161216,0.22747699,0.2174651,1.7450045,0.26093343,0.16401872,-0.43285473,-1.5458401,-0.70047393,-1.0842544,-0.14886063,-0.24574024,0.78825943,-0.27145843,-0.71539036,-0.71664305,1.2858497,-1.3559422,0.6060335,-0.14383168,1.2815283,0.2172464,1.1302962,0.50839925,1.35779,0.63516335,-0.090906996,-0.29797094,0.55875818,-0.45224573,0.30122868,-0.051185255,1.4782441,-1.2874156,-0.89359508,-0.69837818,-0.29373049,-1.5707599,0.88053373,0.83468994,1.7384522,-0.92028528,-0.065133189,-0.57069542,0.56602469,-0.95428416,-0.37724306,-0.084393305,0.12463944,-0.47094571,0.54652892,0.36316012,0.9911366,-0.78297175,0.64944258,-0.18691203,1.007597,-0.77884977,-0.019308226,-0.034101659,0.043166766,-0.099109375,0.43889304,0.25936529,0.87279938,-0.77707047,-1.0072104,-0.96578712,0.15067234,-2.2505865,2.7803773,-9.6983154,0.14068209,-0.025121353,-0.22583172,-0.073382499,-0.1425916,-0.12441893,-0.1402131,0.028358656,-0.14440591,-0.15671193,-0.15682857,0.029628217,-0.21635521,-0.10060794,-0.2326677,0.018354359,-0.16907775,-0.037851942,-0.22206307,0.029533627,-0.18451447,-0.075574152,-0.12953932,0.093742112,-0.16974655,-0.077150941,-0.1293006,0.097021955,-0.31223604,-0.14644373,-0.09508972,0.011357423,-0.32457958,-0.11458576,-0.11964421,-0.01992221,-0.31328987,-0.093520312,-0.18663043,0.02272093,-0.25727651,-0.23125889,-0.072647903,0.040566773,-0.28200939,-0.058395344,-0.10010753,0.042742673,-0.36082615,-0.025830287,-0.20770822,0.052055805,-0.33643402,-0.073905515,-0.099720121,0.035113632,-0.21315888,-0.036858169,-0.083702961,0.076362497,-0.3541437,-0.10752228,-0.10072809,0.082392159,-0.31145922,0.24070797,0.25065022,0.25189855,0.2558023
-19724.835,0.9602597,0.0025830957,10,1023,0,19782.829,0.056456626,-0.14434547,-0.081398103,-0.2152196,-0.36230597,-0.036278634,-0.10880336,0.024924707,-0.18835685,-0.040754261,-0.039365842,-0.19247171,-0.226758,-0.055939429,-0.15784532,0.095398654,0.1983402,0.16262965,0.087374387,0.20026375,0.25512529,0.3098126,0.1298512,0.22345397,0.099995356,0.17039061,0.52647965,0.22211842,0.18401974,1.2735711,0.219849,0.17881342,-0.55961547,-1.1770462,-0.89918927,-1.0598925,-0.020505732,0.005652765,0.51801355,-0.51737794,-0.62816968,-0.3854737,1.2175153,-1.3033287,0.81390483,-0.019023787,1.0080471,0.27163192,1.3119379,0.6776581,1.2573962,0.60936833,-0.15110945,-0.35505098,0.41623005,-0.36226494,0.4651751,0.13759481,1.2865849,-1.1706027,-0.79851224,-0.84051588,-0.21212862,-1.3900342,0.79677944,1.0723495,1.5555183,-0.94477189,-0.10911152,-0.57210097,0.47860975,-1.1833005,-0.21349397,-0.026217825,0.19094119,-0.52622428,0.42452005,0.48954718,1.1146813,-0.79793654,0.66058405,0.0086043845,1.1425254,-0.37071061,-0.015595772,0.0019918911,0.094896754,-0.16256513,0.66865882,0.084782807,1.0481457,-0.66015334,-0.71919256,-1.1165577,0.29103708,-2.1840189,3.3272281,-11.865833,0.25893638,-0.054537619,-0.17699896,-0.12188875,-0.15376266,-0.14768031,-0.14342616,-0.060101104,-0.22848647,-0.13628404,-0.11507863,0.024981549,-0.19527565,-0.052223966,-0.21902937,-0.013344314,-0.16082157,-0.027597431,-0.18941825,-0.041512417,-0.2068407,-0.083094247,-0.1462779,0.092674679,-0.14851288,-0.048399812,-0.090936506,0.058261231,-0.26080752,-0.15350602,-0.1628919,-0.022476276,-0.28568394,-0.1086826,-0.081126881,-0.032812241,-0.28282965,-0.059345839,-0.1382349,0.040796348,-0.24237757,-0.15176607,-0.053168993,0.06116081,-0.31641222,-0.098177987,-0.083734263,0.055119538,-0.36970811,-0.1051975,-0.22517462,-0.016510789,-0.29497607,-0.075801752,-0.053402614,0.06491833,-0.26297767,-0.010841344,-0.1392059,0.072588468,-0.30297937,-0.03320263,-0.10425686,0.14743999,-0.29513325,0.25350975,0.25001258,0.26635583,0.25282889
-19728.864,0.9539029,0.0025830957,10,1023,0,19786.329,-0.17978381,-0.1564592,-0.20085937,-0.15626695,-0.12720612,0.028442516,-0.11628036,-0.15018505,-0.22673326,-0.24229463,-0.074746757,-0.15752384,-0.13945649,-0.024924544,-0.23265768,0.081458935,0.21635389,0.12767986,0.21997796,0.10447849,0.17844213,0.39726678,0.068223993,0.2128625,0.084411161,0.18307448,0.13980411,0.16420314,0.13076617,0.19089564,0.42005852,0.1253213,0.50339195,-0.36349057,0.16197527,0.25367417,0.18765367,-0.30094121,1.1540514,-0.56479223,0.042616611,0.37577765,0.97129793,0.10059456,0.93010697,-0.21069693,1.3228623,-0.025775074,0.55633904,-0.45239053,0.5218618,-0.3961013,-0.30303204,-0.44836974,0.13748962,-0.42116771,0.75242588,0.26267487,2.9213554,-2.6831506,-0.12858103,0.32175462,0.80542182,-0.77810119,1.344348,1.9934076,1.3294405,-1.0022493,0.80426018,0.88761871,1.4558497,-0.26746894,-0.63039825,-0.11553899,0.72812785,-1.3647742,0.79012062,0.46389568,1.2462542,-0.95007498,0.83165368,-0.40562163,1.5244148,-1.1652294,0.067496211,-0.30546996,0.45650544,-1.0942941,0.38650346,0.16837575,0.76711743,-0.26753105,-1.3890232,-1.3400098,0.24102443,-3.3647053,1.8402207,-6.2089786,0.0343237,-0.070873004,-0.25842641,-0.14473983,-0.12490042,-0.13249961,-0.19488334,-0.0091100884,-0.2285718,-0.19148466,-0.11819657,0.012804768,-0.17873078,-0.059090778,-0.17828024,-0.018056291,-0.15895989,-0.027931795,-0.20793165,-0.034083988,-0.19788728,-0.091942047,-0.14967989,0.083062575,-0.13887343,-0.064946864,-0.098359634,0.083026169,-0.29933561,-0.17755512,-0.081695555,0.021259053,-0.31581361,-0.11325528,-0.058467408,-0.11451364,-0.31133428,-0.095055114,-0.079794294,0.024234298,-0.29126136,-0.16287902,-0.090899583,0.027048508,-0.2655478,-0.027783553,-0.081350711,0.047115009,-0.31352913,-0.030704327,-0.19249808,0.059885385,-0.29182907,-0.012039811,-0.083237428,0.062220354,-0.23382052,-0.070303605,-0.16193001,0.089576533,-0.34503637,-0.092615266,-0.086472841,0.11166443,-0.34021031,0.24286012,0.25506051,0.25724055,0.24606617
