# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 22:33:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc26615ba4.json
# init = 2 (Default)
# random
#   seed = 927213332
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192333-1-7c21c1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192333-1-37296c.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00391815
# Diagonal elements of inverse mass matrix:
# 0.00757412, 0.00860295, 0.00375998, 0.00939828, 0.0417796, 0.0371668, 0.0341902, 0.0141246, 0.0122991, 0.0308768, 0.0416066, 0.0349126, 0.0560465, 0.0323204, 0.0523876, 0.0214767, 0.368718, 0.311984, 0.801088, 0.379657, 0.480668, 0.592236, 0.367631, 0.366767, 0.289035, 0.314247, 0.573275, 0.45945, 0.370784, 0.329179, 0.315992, 0.311034, 0.256074, 0.294774, 0.436735, 0.2668, 0.303528, 0.332941, 0.24167, 0.300329, 0.294755, 0.304548, 0.335138, 0.307385, 0.248518, 0.286143, 0.276935, 0.23233, 0.333106, 0.309914, 0.388412, 0.267032, 0.301686, 0.345825, 0.238414, 0.273869, 0.282229, 0.278522, 0.326003, 0.293568, 0.22869, 0.27405, 0.254691, 0.217257, 0.434983, 0.515312, 0.572822, 0.536919, 0.426332, 0.396608, 0.371132, 0.48521, 0.389395, 0.41855, 0.628564, 0.410865, 0.371342, 0.414695, 0.410468, 0.304118, 0.284064, 0.326875, 0.31126, 0.391109, 0.48037, 0.517061, 0.457466, 0.387742, 0.483109, 0.460084, 0.417278, 0.496721, 0.460339, 0.515431, 0.511078, 0.623836, 14.6955, 226.751, 0.682836
-19631.93,0.9978856,0.0039181515,10,1023,0,19684.261,-0.10336382,-0.20286935,-0.068302997,-0.012793306,0.14907274,-0.23634705,-0.16888755,-0.11998745,-0.058033548,-0.33147146,0.04696346,0.05407799,-0.18432859,0.037479167,-0.39617372,-0.1844625,0.065034574,0.49407236,0.061390693,0.1532097,0.96275746,0.13666745,0.16547758,0.095503181,0.11876401,0.33501396,0.1954885,0.94718356,0.21679929,0.21522456,0.20199993,0.1361111,0.67833586,-0.5989098,2.1670132,-0.054851276,0.22439404,0.12789551,0.55478184,0.056869514,-1.2280848,-1.2853438,0.72558476,-1.0813139,-0.45128323,-0.53789954,0.54985375,-1.0889631,-0.15792093,-0.27324947,-0.060154268,-0.39805726,0.7481691,0.83351332,1.2060942,0.5970625,0.15675381,0.28047391,1.3749217,-0.8709042,0.47753934,0.015718129,1.3546874,-0.70123395,-0.29076996,-0.2669908,0.52339037,-1.7768097,0.7744184,0.71249205,1.0995923,0.03029744,-0.81714674,-1.1160125,-0.21316453,-1.3528121,-0.22153094,-0.24825401,-0.057206408,-0.45701856,0.70992083,0.23036049,1.1244957,-0.78367397,-0.44563768,-0.66866901,0.11109395,-1.6009448,1.5810682,1.4369501,2.2573073,-0.1503252,0.44591536,0.32799423,1.0992208,-1.3948581,-7.5376928,32.575633,0.51307849,-0.05924854,-0.14231367,0.037566958,-0.10693105,-0.092002454,-0.13967971,0.071233024,-0.17477169,-0.14369597,-0.14721114,-0.023758846,-0.13468561,-0.081934273,-0.095204732,0.07144962,-0.17963301,-0.0029668131,-0.11400022,0.09115877,-0.23415985,-0.13409669,-0.12243292,-0.071513237,-0.15474805,-0.14294831,-0.12247541,0.058631157,-0.31300267,-0.074380925,-0.11848632,0.0093895101,-0.18695752,-0.092566556,-0.089742447,0.0041263937,-0.2690546,-0.072030481,-0.092776672,0.036907315,-0.32132139,-0.11277933,-0.17120415,0.005292247,-0.21749575,-0.15575247,-0.18106413,-0.00010697899,-0.37880247,-0.03041826,-0.1343866,0.059461282,-0.35422856,-0.058433007,-0.10643483,0.061389313,-0.30708348,-0.076798063,-0.10590989,0.059802202,-0.4265394,-0.12376847,-0.13981884,-0.034846345,-0.37431817,0.2581824,0.24564271,0.25218386,0.26194498
-19630.627,0.99661635,0.0039181515,10,1023,0,19685.925,-0.069077406,-0.0099622928,-0.20444994,-0.094206337,-0.45055647,-0.065093129,-0.16553963,-0.16856047,-0.2294976,-0.1352465,-0.084581404,-0.018679251,0.029500085,-0.22521796,-0.059640031,-0.20422671,0.16805149,0.14889534,0.18674671,0.19462514,0.55914189,0.061248994,0.17190781,0.20376052,0.5914579,0.098886773,0.1459361,0.38466288,0.22129487,0.26171708,0.15202013,0.11236663,0.019453365,-0.10645965,0.6273593,-0.18490748,-0.59961787,-0.96376773,0.56272155,-1.000757,0.3368518,0.51972938,1.0604855,0.5254931,0.04214793,-0.038930969,0.7354843,-0.55088738,0.79817351,0.6267186,0.962413,0.40257399,-0.57816227,-0.8137016,1.3199428,-1.7560979,0.32891876,0.34160049,1.3346329,-0.95457814,0.50272411,0.21751521,1.2174699,-0.1969867,0.26024454,0.25164454,0.3215,-0.036992455,0.8605933,0.013192337,2.0624042,-1.7562242,-0.21394569,-0.44144554,0.36511221,-1.1134134,-0.26349775,-0.31775893,-0.055747447,-0.99238679,-0.30247731,-0.49351125,0.4141045,-1.6206276,0.55825996,0.48449793,1.1211847,-0.32502917,-0.07714278,-0.46854672,0.85472524,-2.6829581,0.38874965,0.40637872,1.1143355,-1.5555722,9.3763114,-33.890994,0.24896432,-0.065808239,-0.086968109,0.036351259,-0.10015138,-0.099242597,-0.15346281,0.073824322,-0.15897035,-0.14154398,-0.10739219,-0.0064077748,-0.10631584,-0.086003291,-0.10178328,0.048937397,-0.20142287,-0.0042642256,-0.10013185,0.087568951,-0.22546049,-0.10050499,-0.11493153,0.015752041,-0.17265236,-0.10899593,-0.10681584,0.063894192,-0.32963907,-0.066125147,-0.12423946,0.079511816,-0.20869858,-0.075573916,-0.080660451,-0.039343891,-0.25137708,-0.05014521,-0.13394196,0.068697995,-0.30891385,-0.1158038,-0.14900425,-0.031298353,-0.24706861,-0.12003705,-0.14090932,-0.040123225,-0.40041361,-0.037436591,-0.079711422,0.12113929,-0.32913648,-0.079111788,-0.09841657,0.068215226,-0.31028364,-0.071367286,-0.13086857,0.070295413,-0.46750368,-0.16054422,-0.1585633,-0.079012587,-0.37902111,0.25555682,0.25684585,0.24811056,0.26478633
-19633.04,0.99892323,0.0039181515,10,1023,0,19682.577,-0.27184877,-0.070272764,-0.079389458,0.14671759,-0.23850156,-0.08854521,-0.070040956,-0.07810206,-0.17515109,-0.20238682,-0.14111368,-0.044406346,0.048722646,-0.037488031,0.043192199,-0.21419948,0.14506653,0.11546977,0.14038752,0.22944464,0.33659434,0.16689818,0.14232054,0.11245858,0.7903208,0.14682443,0.10822413,0.29698119,0.25024789,0.17440959,0.40058979,0.14891851,1.2693655,0.58886866,2.0448023,1.2552792,-0.31760152,-0.91362038,1.2577844,-0.61944694,-0.14665766,-0.26185212,0.54470171,-0.2551949,-0.95690707,-0.99626363,-0.31144415,-1.5143651,0.6719965,0.3858532,0.99422817,0.01921624,-0.12694502,-0.23664612,0.54051894,-0.30253277,-0.16360424,-0.29789805,0.78315981,-1.5498288,0.0028438288,-0.58002428,1.0610898,-1.0000752,0.093403105,0.11544539,0.26622785,-0.094172285,1.0427771,0.56550041,1.8065231,-0.83309111,0.15150444,-0.15137286,0.86833512,-1.0387023,-0.39298276,-0.37884983,-0.044161344,-1.0457022,-0.35367372,-0.75733204,0.1049477,-1.6555799,-0.12288635,-0.28820248,0.2950005,-1.5890239,-0.33717929,-0.49276457,0.010596336,-1.2531769,0.49197863,0.5896896,1.0597346,-1.3426191,8.9342326,-39.918901,2.8127618,-0.087706318,-0.18642364,0.024783607,-0.089749778,-0.10694614,-0.1757683,0.074963306,-0.14180016,-0.099978363,-0.11615023,-0.0029201377,-0.11521564,-0.07283961,-0.081869762,0.075258397,-0.20074537,-0.012311341,-0.10862556,0.096150015,-0.23203348,-0.1097321,-0.12804102,0.001666416,-0.13903738,-0.0933252,-0.11243797,0.041418773,-0.29061344,-0.077782247,-0.14333077,0.041226592,-0.1905691,-0.10133268,-0.0839122,0.035254312,-0.24957741,-0.049281663,-0.11935755,0.062854906,-0.32470495,-0.12471724,-0.15749587,-0.047138858,-0.25352633,-0.16111483,-0.15691762,-0.057521435,-0.35496023,-0.039783458,-0.1407981,0.074985586,-0.36558274,-0.058920589,-0.087753306,0.013962886,-0.31462902,-0.091878384,-0.15420426,0.047436983,-0.45881769,-0.14093475,-0.12638378,-0.056385374,-0.41414031,0.25162697,0.23917448,0.24507531,0.2634261
-19630.482,0.99721214,0.0039181515,10,1023,0,19677.938,-0.12183019,-0.029060646,-0.08486573,-0.050214194,-0.062216412,-0.10725549,-0.047788797,-0.096880243,0.043583279,-0.23846502,-0.12530133,-0.16700214,0.088210044,0.13293843,-0.17971011,-0.17345572,0.14342017,0.08345294,0.067546148,0.12048128,0.1620037,0.059358061,0.1466552,0.13240016,0.28401533,0.74550243,0.23503212,0.1903522,0.23624823,0.38896966,0.28792099,0.25909078,0.55188491,-0.55266512,1.3639526,0.013837667,-0.9850469,-1.3159715,1.1889893,-1.329238,-0.20532656,-0.63948883,1.2569925,-0.56994171,-0.36626609,-0.41743608,1.0669152,-1.1313893,0.15784268,-0.33668444,0.75349995,-0.94549017,-0.18807851,-0.19022926,1.9552124,-0.89905332,-0.48301427,-0.38677548,0.66777118,-1.6187648,0.1978588,-0.32896887,1.0709114,-0.7213814,-0.31238438,-0.49803708,-0.099256174,-1.0100357,0.23836354,0.1015119,0.43207355,-0.056543508,-0.027963835,-0.3091094,0.48156801,-0.41537616,0.10984516,0.032440431,0.40812638,-1.1317611,-0.57390855,-0.82942031,0.0026455037,-1.7793366,-0.50168064,-0.66944076,-0.15810894,-1.132234,0.28872696,0.13124067,0.76954547,-0.86401029,0.1443185,-0.085434761,0.67982303,-0.76463662,2.8134306,-10.53687,0.95959808,-0.042678764,-0.20109352,0.073788122,-0.11984559,-0.11126571,-0.13888233,0.070164008,-0.13998946,-0.098734748,-0.12806074,3.9272025e-05,-0.1233631,-0.0943424,-0.10050743,0.078329117,-0.18652543,-0.036645314,-0.11676054,0.05985337,-0.21538932,-0.11841946,-0.11854713,0.0088021288,-0.16062155,-0.11862535,-0.10451143,0.050143321,-0.28518907,-0.070683707,-0.14043578,0.044908608,-0.19239126,-0.045138674,-0.097866887,0.015393004,-0.24328233,-0.060764424,-0.16278765,0.083646864,-0.28061834,-0.13187373,-0.19795197,-0.012117384,-0.22292807,-0.14609287,-0.16082703,-0.08931438,-0.38243535,-0.047374834,-0.10773903,0.08883504,-0.33215507,-0.062200115,-0.12745371,0.071438854,-0.30746624,-0.096579554,-0.14192316,0.041858187,-0.42847681,-0.13606412,-0.19559107,0.0026801639,-0.37156601,0.26243846,0.23495937,0.25393508,0.2580248
-19638.505,0.93488157,0.0039181515,10,1023,0,19676.491,-0.15977552,-0.066684966,-0.082906813,0.0093982624,-0.093389483,-0.10565172,-0.21368278,-0.01192415,0.19466112,-0.15990558,0.066090982,-0.11017878,-0.096177288,-0.23403247,-0.24738208,-0.14903411,0.14049531,0.12598151,0.10636503,0.18788756,0.13540948,0.044135762,0.37533752,0.21496559,0.32120761,0.15148504,0.2568107,0.12380353,0.29916891,0.30875803,0.18328524,0.095409388,0.88809145,0.41035619,0.97359682,0.34495628,-0.45826347,-0.60336173,1.0925235,-0.71380817,-0.15449529,-0.49360423,0.74105203,-0.37629954,-0.52544265,-0.46324996,0.25847966,-1.0521285,0.96763448,-0.20580769,1.0540935,-0.87137079,-0.066503967,-0.49243494,2.2857188,-1.2986205,0.16708881,0.15244636,0.63818598,-0.28136669,-0.5009706,-0.3504458,0.20620987,-0.90732749,-1.0050604,-0.79734034,-0.63026554,-1.4111544,0.69578035,0.060753102,1.301072,-0.91012978,-0.76233852,-0.7793458,-0.4286727,-1.2198323,0.29900984,-0.26906952,0.47916891,-2.341408,0.19554938,-0.043691423,0.6116651,-0.98379006,0.58292951,0.50882104,0.82930465,-0.31755122,1.0557435,0.57875037,1.6684659,-0.974941,0.11856468,-0.37964198,1.6320022,-2.4754621,-1.1444552,5.8351337,0.021628243,-0.035002833,-0.1021224,-0.02298973,-0.11131078,-0.12441769,-0.14269739,0.070952796,-0.1566116,-0.099339709,-0.13540904,-0.0040847936,-0.12293192,-0.089325875,-0.077640642,0.057963375,-0.1882836,0.037637395,-0.12125779,0.049344767,-0.21138135,-0.10858692,-0.12738571,-0.0047697777,-0.16296732,-0.15096808,-0.15646394,0.025852364,-0.31929026,-0.11961559,-0.08725794,0.032403877,-0.20696834,-0.12817194,-0.061450659,-0.007784962,-0.25861239,-0.054505261,-0.15070239,0.037187366,-0.29777662,-0.12968571,-0.13405336,-0.043996753,-0.24717502,-0.07316031,-0.14349054,-0.050855981,-0.40005336,-0.037674994,-0.1092484,0.086813891,-0.39049668,-0.054048305,-0.076929889,0.022021999,-0.33207896,-0.053879875,-0.14130568,0.058423092,-0.42607438,-0.13772193,-0.18525552,0.0066742176,-0.38521644,0.26380698,0.25252052,0.23802703,0.26100938
-19645.892,0.042379718,0.0039181515,10,1023,0,19693.424,-0.041625362,-0.1111905,-0.066298369,-0.036585667,-0.12051802,0.021201572,-0.17116748,-0.070221539,-0.043001564,-0.24332733,-0.21206049,0.072825379,-0.55845647,-0.39731755,-0.40026276,-0.20997119,0.11897927,0.10123449,0.16784093,0.097338859,0.13522823,0.1451033,0.2788987,0.11950798,0.14205205,0.1970487,0.1783704,0.29304021,0.49474661,0.28984713,0.23544544,0.096318133,-0.38082138,-0.50402188,0.57275331,-0.50479467,-0.037243918,-0.61965749,1.2405734,-0.61613933,-0.5738791,-0.34989127,0.39636966,-0.36653317,-0.44483509,-0.58451033,1.1969835,-1.4300547,0.88826324,-0.094117818,1.5386916,-0.93870712,-0.58265292,-1.1259859,-0.32454374,-1.0538561,0.19145259,0.22253482,0.70682263,-0.45753966,0.011154167,-0.49745198,0.83961467,-1.1833484,-0.40133016,-0.057702555,0.049859924,-1.3620285,1.0327095,0.63709637,1.4148246,-0.47947447,0.41219472,0.17530024,0.9649159,-0.0078466425,-0.94873122,-0.80008313,-0.25730664,-1.5804196,1.1316814,0.93461328,1.3132307,0.47833184,1.1591928,1.078915,1.4565199,0.2124869,1.1582576,1.1072196,1.83386,-0.12591813,1.0162953,0.66675361,1.3457056,-1.7215378,-0.618648,4.1016271,0.70933231,-0.086935214,-0.10159352,0.026520412,-0.10168547,-0.11496087,-0.17392121,0.014398324,-0.17356505,-0.16261877,-0.12502445,0.00022868391,-0.12781764,-0.079885407,-0.093481236,0.079927341,-0.17578556,-0.00039975695,-0.13324541,0.087556519,-0.24745772,-0.063343292,-0.1421827,-0.025890797,-0.13171643,-0.1177716,-0.10910281,0.025964434,-0.2987747,-0.068888527,-0.12967102,0.03011911,-0.21164111,-0.10001134,-0.051198331,-0.03591886,-0.2364805,-0.039833255,-0.11778832,0.03546202,-0.33780715,-0.13853715,-0.18079212,-0.039948057,-0.2134601,-0.20519101,-0.16163115,-0.002575811,-0.39030111,0.0014390744,-0.096059724,0.091259967,-0.32180342,-0.061328841,-0.084597132,0.024850556,-0.33572884,-0.1275563,-0.13957296,0.031511213,-0.42990961,-0.11208353,-0.14575073,-0.080355338,-0.3757865,0.24979326,0.25650267,0.25051679,0.26112134
