# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 22:33:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc26615ba4.json
# init = 2 (Default)
# random
#   seed = 927213332
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192333-2-7c21c1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192333-2-37296c.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00466004
# Diagonal elements of inverse mass matrix:
# 0.0179148, 0.0263826, 0.00499979, 0.0164008, 0.0354628, 0.00933678, 0.0229571, 0.0102947, 0.0154329, 0.0264705, 0.0342522, 0.0282229, 0.0670966, 0.0148028, 0.0401728, 0.0232613, 0.495216, 0.502525, 0.931722, 0.408807, 0.326869, 0.476297, 0.379236, 0.33435, 0.322789, 0.336358, 0.548389, 0.30736, 0.352872, 0.245968, 0.302509, 0.367201, 0.353963, 0.342194, 0.446666, 0.274288, 0.265107, 0.298615, 0.253416, 0.250308, 0.344127, 0.302687, 0.300102, 0.27372, 0.299651, 0.289639, 0.250887, 0.235071, 0.395754, 0.363269, 0.485051, 0.259557, 0.283796, 0.330163, 0.248336, 0.277185, 0.35072, 0.282328, 0.300834, 0.263082, 0.281918, 0.261899, 0.230424, 0.230792, 0.611597, 0.705912, 0.566939, 0.490949, 0.380228, 0.554782, 0.394801, 0.359392, 0.432838, 0.450672, 0.46233, 0.363106, 0.430646, 0.429822, 0.376646, 0.364587, 0.358562, 0.339869, 0.412757, 0.38456, 0.442162, 0.39472, 0.439298, 0.417706, 0.527055, 0.466769, 0.496736, 0.505908, 0.480526, 0.436547, 0.445639, 0.529375, 13.6848, 212.52, 0.551195
-19651.302,0.99881798,0.0046600408,10,1023,0,19711.082,-0.11070917,-0.1185819,-0.10438293,0.044303523,0.14976593,-0.12264342,-0.12475715,0.0088301552,-0.051810362,-0.14064527,-0.22059444,-0.24279902,-0.22124064,0.33808117,-0.23917505,-0.14763195,0.12140574,0.11440352,0.10709865,0.14736211,0.33800872,0.095047023,0.17782297,0.23722118,0.07394078,0.33257615,0.19248996,0.11055698,0.13053165,0.43014232,0.18007073,0.66894978,0.32773181,-0.38407456,1.6560078,-0.0013223888,0.1514896,-0.25416221,1.7244375,-0.30309159,0.23818009,0.4099753,1.4583045,-0.060945465,-1.2498863,-1.2837273,0.040549427,-1.5724244,-0.55989557,-0.94382329,-0.18471593,-1.0672918,0.55178629,-0.0090285072,1.0808634,-0.6105091,-0.33521709,-0.21774762,0.60995335,-1.214764,-0.18597819,-0.46311003,0.15162475,-0.91309991,-0.77310945,-0.75958744,0.91365896,-2.8424025,0.28414909,0.16993443,0.61871372,-0.43762008,0.2950065,0.17525509,0.93281182,-0.017448045,0.93009135,0.66562002,1.965972,-1.3122075,1.5064006,0.87110342,2.3120095,-0.98679511,-0.95526584,-1.0217717,-0.70768973,-1.5780724,0.69199671,0.51958701,1.602758,-0.98367917,-0.057745862,-0.0074484163,0.26174203,-0.33699621,0.85623039,-1.9846447,0.064633347,-0.07092065,-0.15733803,0.090339682,-0.11086972,-0.10125096,-0.14765895,0.078699817,-0.15325665,-0.078874167,-0.060475132,0.051799511,-0.11091011,-0.13988236,-0.14486924,0.050278972,-0.18741225,-0.039483659,-0.16925458,0.087330331,-0.21098802,-0.070197772,-0.12350155,-0.019910572,-0.18067049,-0.18436645,-0.16347768,-0.016293431,-0.3407701,-0.035287809,-0.10102935,0.044798758,-0.20777648,-0.10897468,-0.10797485,0.015746294,-0.26197982,-0.046144062,-0.084129133,0.065124153,-0.28618727,-0.16380865,-0.1868596,-0.041037535,-0.22395302,-0.13997093,-0.16921008,-0.025447096,-0.38787271,-0.02460768,-0.10753407,0.080549778,-0.35004864,-0.072819101,-0.10142607,0.033673861,-0.34071457,-0.1145667,-0.14561264,0.049434753,-0.41630688,-0.18626104,-0.15261457,0.027460323,-0.3730655,0.25613372,0.24650649,0.26009367,0.26195895
-19627.161,0.99876658,0.0046600408,10,1023,0,19686.278,-0.1027092,-0.16780956,-0.065648976,-0.10354553,-0.22229309,-0.11374507,-0.1666653,-0.049573181,-0.12976564,-0.037266775,-0.10703963,-0.14010991,-0.066807961,0.41595232,-0.32933997,-0.085275518,0.22420117,0.9340561,0.086384137,0.09324266,0.24833601,0.073125255,0.096873211,0.14645001,0.20003782,0.30574295,0.16864295,0.25652122,0.23356171,1.2909002,0.23798737,0.17619756,0.083332279,-0.21664176,0.58093928,0.035392197,0.078481592,-0.034836258,0.23679214,0.020588748,-0.34444203,-0.86164274,0.98629544,-1.0269495,-0.13666514,-0.40896642,1.8648396,-1.0056481,0.76911907,0.33027488,1.208487,0.081001401,0.48028159,-0.2819032,1.3631879,-0.88448101,0.1371763,0.32070676,2.4117927,-1.5693393,-0.057768922,-0.34916593,0.95581857,-1.1136543,0.33086514,0.24835372,0.80802044,-0.48200094,-0.10496276,-0.3493435,0.18575696,-1.0093459,-0.083391467,-0.16494294,0.6602063,-0.84856229,-0.085704309,-0.0237173,0.33972072,-1.0683876,0.11958125,-0.11386014,0.72982697,-1.2149681,-0.35695003,-0.39677613,-0.25443591,-0.54742728,1.1395705,0.7461194,1.4626559,-0.41832518,-0.29768724,-0.30787443,0.19228728,-1.6430549,-0.076897744,1.5626603,0.042042127,-0.084026009,-0.15128054,0.027538062,-0.094774232,-0.094503347,-0.20034858,0.053367583,-0.14857851,-0.095403304,-0.14008124,0.019551304,-0.15436112,-0.11628855,-0.14167865,0.070337071,-0.19731484,-0.031293126,-0.14027394,0.077817741,-0.20217752,-0.078624357,-0.13435931,-0.014061608,-0.17842297,-0.15337659,-0.13559741,0.066972807,-0.31869224,-0.05803344,-0.10070853,0.09040646,-0.21266787,-0.063580096,-0.080085501,0.031869011,-0.22618406,-0.069358399,-0.14407609,0.019527108,-0.34586718,-0.12110301,-0.13485609,0.004299505,-0.25014367,-0.16209488,-0.1461939,-0.052964333,-0.414174,-0.038878359,-0.093401331,0.10365167,-0.35057798,-0.044834544,-0.096246066,0.087500946,-0.29072166,-0.058136591,-0.15177298,0.018753672,-0.42889608,-0.13772728,-0.13952224,-0.051394969,-0.37477777,0.25231843,0.25133019,0.24819144,0.26525809
-19624.289,0.99517626,0.0046600408,10,1023,0,19665.351,0.2081101,-0.17586298,-0.14544093,-0.24644791,-0.30984694,-0.087932898,-0.31715629,-0.069137306,-0.036763242,-0.005914085,-0.12330935,-0.23512267,0.051883339,-0.1415345,-0.1135459,-0.48438562,0.20928468,0.17444136,0.059651457,0.41863911,0.31294682,0.095755811,0.26304116,0.1663716,0.25059926,0.22625042,0.27160213,0.27276904,0.25307632,0.15016512,0.30898872,0.64148044,-1.3204482,-1.5543173,-0.55304517,-1.6232372,0.53497635,0.25801564,1.1765447,0.12437544,0.27092026,0.20305056,1.1747644,0.42357037,0.43657415,0.32750706,0.54489575,0.11475296,0.94419294,0.64296678,1.2122399,0.39281327,-0.058257218,-0.41305802,0.67242969,-0.38395667,0.69387284,0.67390349,1.4081169,-0.006313617,0.19322641,-0.40940888,0.53694387,-0.87637873,-0.23999838,-0.11281762,0.20136762,-0.79153833,-0.18622557,-0.44623726,0.40528737,-1.2781204,-0.18075838,-0.16742795,0.27601235,-0.37153143,0.37891492,0.1572556,0.72218247,-0.46590593,-0.26205181,-0.63194538,0.16729867,-1.5304366,0.4862121,0.28699521,1.1618699,-1.1840274,0.13936062,0.021267034,0.51565204,-1.054487,0.5310871,0.57746135,0.75633696,0.14612244,1.3072712,-3.7920122,0.030133375,-0.068239481,-0.11718471,0.092366216,-0.13160859,-0.082540978,-0.13085438,0.029375084,-0.15416676,-0.12928015,-0.13332867,-0.075364526,-0.12017434,-0.063680898,-0.10934065,-0.018333237,-0.19840783,-0.014364757,-0.10863252,0.069519698,-0.18691727,-0.093511365,-0.1274856,-0.023543848,-0.12469898,-0.13463918,-0.13989194,0.0532364,-0.31881704,-0.03698992,-0.13725131,0.020194903,-0.21494183,-0.096906659,-0.065035253,0.013699334,-0.23512216,-0.048047699,-0.10687545,0.08578235,-0.29508935,-0.17240372,-0.16878314,-0.04834381,-0.22421808,-0.13176641,-0.19222821,-0.038133651,-0.36220739,-0.014435768,-0.10804707,0.09422267,-0.33543393,-0.068522397,-0.098437827,0.032937844,-0.31933411,-0.070485045,-0.10697463,0.045784758,-0.4393705,-0.14370363,-0.11395545,0.00078974795,-0.39065093,0.25218048,0.25100085,0.26847693,0.25510133
-19627.889,0.49619349,0.0046600408,10,1023,0,19672.334,-0.076880745,-0.020005049,-0.1278971,-0.097078212,0.063131643,-0.10224331,-0.17805539,-0.091635279,-0.17142068,0.059291246,-0.29205141,-0.22129258,0.3562522,-0.066458863,-0.063957456,-0.19263499,0.091521374,0.22248067,0.066847951,0.12472182,0.23154811,0.10591561,0.16516434,0.11384366,0.097996348,0.21558782,0.16708214,0.19017286,1.3443006,0.48407727,0.15646181,0.14466963,0.29057068,-0.58947221,1.7621136,-0.48715722,-0.31801123,-0.60675393,0.26846712,-0.61831839,0.55753441,-0.052300053,1.0574515,-0.14504163,-0.026962425,-0.38950823,1.1755282,-0.71740479,-0.32244837,-0.77686951,0.0089695882,-1.3214935,0.0083876713,0.078634546,1.0903772,-0.43481989,0.13013133,0.38493308,1.4969847,-0.84004532,-0.042073831,-0.073674853,1.4616047,-0.87330046,1.0603306,0.86981973,1.5864017,-0.58626708,-0.48919011,-0.79705863,0.14664906,-1.8209012,0.90118042,0.8286392,1.677475,0.23383505,0.62062467,0.36763307,1.2109468,-1.0813444,-0.30298799,-0.33931819,-0.19220036,-0.56916549,0.0036240617,-0.13710762,0.2347012,-0.52125355,-0.3219218,-0.44897575,0.41181751,-2.2177933,0.37846363,0.26564915,1.3143356,-1.3354145,-4.1624355,17.563713,0.16539092,-0.050287317,-0.13083005,0.084390318,-0.12146604,-0.090756401,-0.15499607,0.039723697,-0.15756894,-0.090627062,-0.13139325,-0.057208627,-0.13759283,-0.10044101,-0.14565839,0.049535803,-0.18655424,-0.011530668,-0.11675103,0.065208534,-0.24285768,-0.10135492,-0.09391468,0.013244658,-0.14829752,-0.15656233,-0.11447817,0.069193108,-0.31680092,-0.096425118,-0.10002269,0.074759155,-0.191055,-0.067512152,-0.086181522,-0.015959106,-0.22887271,-0.046172182,-0.11254488,0.090906996,-0.33327286,-0.14148026,-0.1536006,-0.011775292,-0.25298175,-0.10326661,-0.15137875,0.0089966266,-0.42693494,-0.05105474,-0.099893449,0.097877142,-0.40887731,-0.064704537,-0.13282955,0.047154652,-0.31878586,-0.11432592,-0.13420502,0.0004762573,-0.41095742,-0.1378828,-0.15420363,-0.0024905476,-0.3858289,0.25895757,0.2500619,0.25951186,0.25806111
-19638.923,0.99760686,0.0046600408,10,1023,0,19674.836,-0.047660536,0.02124767,-0.031017756,-0.10378672,0.045167994,-0.077977737,-0.17833799,-0.03915306,-0.26590308,-0.11429304,-0.17136738,-0.29497515,0.44023184,-0.054497565,-0.12693505,-0.12500402,0.11172955,0.24102775,0.060115109,0.073620004,0.29602118,0.17845874,0.20980716,0.20777958,0.19516337,0.1132415,0.19879258,0.13563552,0.39102781,0.29703026,0.19423426,0.19363826,-0.51371375,-0.65105968,0.40690022,-0.62329527,-0.5393403,-0.73390674,0.3414775,-0.73115316,-0.32394741,-1.0123823,0.33906515,-1.3205685,-0.26075922,0.057221571,1.9937704,-1.27936,-0.21070762,-0.55957327,0.18398954,-0.89995754,-0.30657867,-0.17209824,0.45869757,-0.3254165,0.21632648,0.40593773,0.77708089,-0.73982861,-0.46812049,-0.45840635,0.56864445,-0.80582321,1.1853661,0.8720422,1.2753054,0.18422406,0.50723852,-0.13372136,1.2891447,-1.552021,0.26535939,0.043073217,0.81060052,-0.31581255,1.1612824,1.0063876,2.2335672,-1.1445207,-1.2495322,-1.4224312,-0.88633349,-2.067007,0.05932603,-0.1575532,0.38195372,-0.8448057,0.21808819,-0.21436557,0.70800491,-1.2679172,-0.14472539,-0.14228705,0.45951357,-1.3300707,-3.4474078,14.931714,0.10760874,-0.10505754,-0.12040314,-0.0021977565,-0.11730104,-0.10874831,-0.15564422,0.10355322,-0.15498053,-0.05049189,-0.091877229,-0.010634818,-0.11040388,-0.12298381,-0.099574064,0.042994668,-0.1979732,-0.017205925,-0.12047755,0.099632797,-0.2212385,-0.13268938,-0.10869017,0.0038808511,-0.13605115,-0.13295114,-0.093169345,-0.015300851,-0.33355933,-0.13641894,-0.13440054,0.078999643,-0.20658667,-0.034563041,-0.095712381,-0.017010173,-0.22994929,-0.05685259,-0.12943585,0.031691645,-0.29004624,-0.1186159,-0.16280474,-0.010226012,-0.23414857,-0.13746401,-0.15847325,0.0079758992,-0.45021281,-0.048370019,-0.1159783,0.093650794,-0.36802539,-0.036875939,-0.10129563,0.058954246,-0.30543042,-0.084574852,-0.16857219,0.010583758,-0.37320801,-0.15302839,-0.15255623,-0.036024609,-0.3825566,0.25308153,0.25011242,0.24016112,0.25860226
-19635.848,0.9784038,0.0046600408,9,511,0,19675.58,-0.045747012,0.0060305004,-0.067875217,-0.10154186,0.057962414,-0.036637945,-0.20777747,-0.030652011,-0.24821391,-0.1337429,-0.18568538,-0.28392954,0.42810812,-0.052027782,-0.1429128,-0.14788164,0.13261188,0.19725799,0.057074131,0.079893716,0.34378954,0.21341618,0.20831,0.23788015,0.17401935,0.13197054,0.19671163,0.11146712,0.39635391,0.29354019,0.29306318,0.20739142,-0.20071873,-0.61904767,0.4380526,-0.59765085,-0.45673846,-0.91084599,0.28815757,-0.80329728,-0.47719893,-0.97314,0.27087055,-1.3141698,-0.4334703,0.14549294,2.007204,-1.1765454,-0.16830903,-0.47037513,0.060423597,-0.79641851,-0.15358012,-0.33993077,0.39015499,-0.49848986,0.26651209,0.36338488,1.2865815,-0.46629813,-0.065020599,-0.40389122,0.0087308955,-0.80627595,0.68863168,1.0673314,1.5258784,-0.059646411,0.40909577,-0.0069317493,1.293669,-1.5413968,0.063655633,0.13281264,0.81388922,-0.29535177,1.2262642,0.61964018,1.9498442,-0.51924859,-1.1508469,-1.3584083,-0.85748171,-1.9652351,-0.0065702778,-0.16768877,0.32187197,-0.95960223,0.091031859,0.12069047,0.55203986,-0.8808922,-0.071777393,-0.11659989,0.40690914,-1.044869,-4.0578436,17.620759,0.083135195,-0.072364701,-0.12784009,0.012343969,-0.12500262,-0.084064811,-0.17364115,0.062871883,-0.15242631,-0.095110931,-0.12341634,-0.052415516,-0.14288032,-0.13617341,-0.089917884,0.058821132,-0.19554044,9.9530976e-05,-0.10374764,0.078735415,-0.21583794,-0.069414427,-0.10918467,0.046627441,-0.14302374,-0.15226033,-0.13208076,0.06023033,-0.30491203,-0.046119121,-0.12672972,-0.028575104,-0.22244906,-0.12837868,-0.062477604,0.017318455,-0.25859354,-0.07975431,-0.13465768,0.036983288,-0.33716186,-0.17316357,-0.15955959,-0.025583901,-0.24378451,-0.1472414,-0.21486004,-0.066586032,-0.34180869,-0.028034565,-0.11030234,0.088241887,-0.35082049,-0.053956422,-0.10125117,0.042454577,-0.3337096,-0.11623471,-0.10754286,0.018869759,-0.40106986,-0.16276765,-0.17206345,-0.063492175,-0.36457851,0.25448484,0.24920796,0.24188018,0.25726903
