# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 22:51:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc261d3e17.json
# init = 2 (Default)
# random
#   seed = 839400409
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192351-1-7d19b5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192351-1-90f5f9.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00177226
# Diagonal elements of inverse mass matrix:
# 0.0131098, 0.0112968, 0.00398771, 0.012218, 0.0238324, 0.0052759, 0.0337673, 0.00688395, 0.0275735, 0.0307958, 0.00786878, 0.0286734, 0.041206, 0.0576542, 0.0380053, 0.039769, 0.388996, 0.31828, 0.675851, 0.32561, 0.347938, 0.430097, 0.376852, 0.29946, 0.466025, 0.330398, 0.295409, 0.314972, 0.319492, 0.402538, 0.33951, 0.335065, 0.280857, 0.279311, 0.415776, 0.251912, 0.272801, 0.204534, 0.272826, 0.305461, 0.31539, 0.309659, 0.316614, 0.26331, 0.244141, 0.282973, 0.266259, 0.299133, 0.399297, 0.333152, 0.439719, 0.269221, 0.266681, 0.204857, 0.26281, 0.264379, 0.31308, 0.276024, 0.30108, 0.250842, 0.226579, 0.250445, 0.242072, 0.272189, 0.490932, 0.469252, 0.602124, 0.528642, 0.414052, 0.437022, 0.421023, 0.484341, 0.441912, 0.439753, 0.562502, 0.385923, 0.378682, 0.425969, 0.388222, 0.435296, 0.312225, 0.35895, 0.394557, 0.368211, 0.451286, 0.26495, 0.474103, 0.42217, 0.552428, 0.439859, 0.381907, 0.475957, 0.434117, 0.444139, 0.507482, 0.452552, 28.7196, 460.675, 0.782236
-19629.173,0.99991832,0.0017722583,10,1023,0,19672.789,-0.094199488,-0.15033811,-0.069502415,-0.090338872,-0.042290368,-0.072398401,-0.24026057,0.064616513,0.13923198,-0.48230748,-0.19260706,-0.27647337,0.10116405,-0.1369097,-0.25764352,-0.067264788,0.05923056,0.19102963,0.086629673,0.12739669,0.15764693,0.066054314,0.21607871,0.44593196,0.26144072,0.43074055,0.11675546,0.42343596,0.2831175,0.09222405,0.23168283,0.57999058,0.21141458,-1.1417925,2.1206395,-0.2993476,0.29020438,0.10729274,0.93663914,-0.0060522015,-0.41377036,-0.62493133,0.58602986,-0.32428782,-0.13615363,-0.22760093,1.1415617,-0.7998809,0.26776429,-0.29674478,0.63212676,-1.4290886,-0.65829425,-0.74412833,0.68114294,-1.1719979,0.31756474,0.81600407,1.3621125,-0.54475731,-0.30615471,-0.38172501,-0.042282036,-0.60239785,-0.75994972,-0.80723578,-0.43036134,-1.5435918,1.1087584,0.84815758,1.1492013,0.35985678,0.52080105,0.10564038,1.4209719,-0.18149334,0.39314369,0.28150012,0.58460406,-0.18894829,-0.35765493,-0.70263511,0.033586972,-1.5522596,0.86748144,0.35009343,2.1588137,-2.0779829,0.76544192,0.47700117,1.3166699,-0.79772911,-0.15478102,-0.19269518,0.072112458,-0.57930409,-0.11143607,1.781197,0.14933261,-0.081677284,-0.16182849,0.03140718,-0.11193001,-0.094900478,-0.12984202,0.028587715,-0.15149426,-0.10534721,-0.12364001,-0.01873484,-0.097595363,-0.10768439,-0.11933448,0.055092314,-0.19224105,-7.8148088e-05,-0.089071273,0.057362478,-0.2675818,-0.11588158,-0.12155129,-0.027405972,-0.14981392,-0.17164159,-0.063939467,0.054062942,-0.35797103,-0.07190766,-0.10560687,0.045761601,-0.20401194,-0.059449827,-0.071812327,0.026717999,-0.26432578,-0.0047202862,-0.11697162,0.012700095,-0.32730257,-0.13180069,-0.18027297,-0.026700831,-0.2137974,-0.11000219,-0.1572761,-0.028930991,-0.35648087,-9.4315707e-05,-0.097764242,0.11067311,-0.33830781,-0.056907043,-0.10462266,0.062184846,-0.32854969,-0.08030377,-0.14713054,0.047406288,-0.44246366,-0.15703632,-0.17902618,-0.025440241,-0.4032557,0.25126601,0.2507895,0.25155793,0.24986811
-19627.794,0.99505458,0.0017722583,10,1023,0,19675.399,-0.13505485,-0.056462317,-0.020157101,-0.09402268,-0.067374054,-0.088584976,-0.15744377,-0.083366974,-0.046362087,-0.41062627,-0.26540324,-0.22726437,-0.033888064,-0.11914664,-0.2459481,-0.22990514,0.16316872,0.14965084,0.076281749,0.12389066,0.21518489,0.040144332,0.2349173,0.59518159,0.098238036,0.25312856,0.12738355,0.28193333,0.40623833,0.090633203,0.23263317,1.296091,0.55825359,-0.01824207,1.3135639,0.20578013,-0.40039392,-0.44516387,1.0103251,-0.69055373,-1.0267149,-1.2617312,0.18239877,-1.1662852,0.18652165,0.067718429,1.1366561,-0.7182219,0.31772476,0.082932519,0.73820038,-0.81505427,-0.62555349,-0.69316431,1.4325177,-1.4506622,-0.063669867,0.38414873,0.83040079,-0.7264473,0.029880623,-0.066765618,0.20103292,-0.18874493,-0.30456413,-0.51845393,0.33887561,-1.7828769,1.4933001,1.2229902,1.8028913,0.42807659,0.94355602,0.79083842,1.8731875,0.36497971,0.1876573,0.21453933,0.64852559,-0.73609206,-0.032438642,-0.2307872,0.2953748,-0.77101247,0.8379298,0.25556476,1.9272074,-2.5777487,0.68275328,0.35730115,1.3561097,-0.81599343,0.050742201,0.050746037,0.16844273,-0.11641991,1.8008559,-5.8586707,0.027694618,-0.043965326,-0.13803139,0.079277697,-0.10147797,-0.1163816,-0.12308146,0.094733682,-0.15980426,-0.098476706,-0.11640416,-0.0062434035,-0.10912337,-0.07091439,-0.085632999,0.046798394,-0.18300366,0.00099551367,-0.049528229,0.091475513,-0.24276142,-0.1136974,-0.11641159,-0.031077508,-0.14682084,-0.17240092,-0.067200585,0.037631743,-0.3280988,-0.065582577,-0.12310464,0.036284119,-0.19570448,-0.076281869,-0.097293983,-0.013071613,-0.22150841,-0.032629365,-0.10105253,0.045736997,-0.30226786,-0.14520973,-0.16466344,-0.02678997,-0.21891083,-0.17435752,-0.16677858,-0.044423386,-0.43479325,-0.047065884,-0.12764267,0.086104502,-0.34710288,-0.043202374,-0.095983983,0.055522347,-0.35277626,-0.087117041,-0.162828,0.069528007,-0.43577524,-0.16413863,-0.16413366,-0.01158804,-0.38079594,0.24246496,0.24813822,0.2618048,0.2469016
-19627.462,0.79050407,0.0017722583,10,1023,0,19691.183,-0.18171191,-0.070416203,-0.040201752,-0.085015661,-0.11652114,-0.071605621,-0.099532742,-0.093503275,0.14764241,-0.46220779,-0.18390267,-0.11390243,-0.11138116,-0.13709354,-0.16052182,-0.062628449,0.12272319,0.073089509,0.044289637,0.11751588,0.15708622,0.061301864,0.13129665,0.60780761,0.42438196,0.34878495,0.10096107,0.28362037,0.66994031,0.13528378,0.26673185,0.58796438,1.0502442,0.4050066,1.7702596,0.59658781,-0.21842868,-0.82021126,1.8149941,-1.4593849,-0.93581242,-1.8331557,0.25259082,-1.8890499,-0.030293452,-0.58456962,1.5761399,-1.0511378,0.63570486,-0.027862176,1.1701725,-0.81135033,-0.029110467,-0.77277691,0.88530839,-1.4108671,-0.16143514,-0.28617567,1.0863395,-1.7773222,0.06602752,-0.0038871503,0.21292941,-0.15806746,-0.44027854,-0.51784297,-0.44777189,-0.88452527,1.1630186,1.0919711,1.4912449,0.38214687,0.34440962,0.19755273,1.39829,-0.41091694,-0.10825533,-0.029955314,0.36411235,-0.79165401,0.15682479,0.020558286,0.31884662,-0.37052569,0.64922386,0.34161906,1.2876254,-1.2642538,0.34334934,0.059339454,0.83209006,-0.89852563,-0.14032702,-0.15695933,0.0033526178,-0.53024011,3.1278871,-11.231485,0.020982694,-0.052822583,-0.13200821,0.035540006,-0.10849675,-0.086381049,-0.13036504,0.062240828,-0.17708193,-0.081648544,-0.12139155,-0.029014596,-0.12386709,-0.088575623,-0.15371188,0.1002058,-0.20854105,-0.016660667,-0.1208979,0.067296838,-0.24397309,-0.073390147,-0.11897829,-0.017334566,-0.1580944,-0.12072864,-0.13710665,0.043099993,-0.3328892,-0.053371245,-0.095865915,0.035916839,-0.18957788,-0.039203863,-0.072120805,-0.042383902,-0.22773416,-0.056564428,-0.081344703,0.057915976,-0.32892072,-0.14913071,-0.16395754,-0.042729819,-0.22538929,-0.14460585,-0.12239837,-0.010632751,-0.33843164,-0.0063179059,-0.097608333,0.10222704,-0.35961125,-0.049264082,-0.09087802,0.037101294,-0.30812656,-0.068939616,-0.1446941,0.0614231,-0.40018722,-0.14513574,-0.15491495,-0.060657229,-0.37439075,0.24721809,0.25083191,0.25407435,0.24635449
-19631.905,0.71222606,0.0017722583,10,1023,0,19685.259,-0.20398458,-0.066997025,-0.036544287,-0.10102611,-0.15861303,-0.056078682,-0.016852578,-0.12718475,0.11714111,-0.40647133,-0.28285601,-0.14609805,-0.07040008,-0.0831511,-0.23360549,-0.079201149,0.10607637,0.067383416,0.054031754,0.057734577,0.17835497,0.088635386,0.15211673,0.490854,0.31588471,0.23997662,0.23945696,0.5278011,0.41825535,0.14830931,0.41566288,0.84607098,1.5317837,0.38462611,2.0488308,0.89181432,-0.22063944,-1.34238,1.9510532,-1.2430811,-0.70499222,-0.82899621,0.33064309,-1.5440046,-0.39064352,-0.41363317,1.1581611,-1.3042317,0.8356131,0.1411701,1.3237671,-0.33817335,-0.48200434,-0.63276912,0.71293418,-1.0976666,-0.98734784,-0.3446467,0.48355163,-1.9394964,0.12485934,-0.016738364,0.28282761,-0.13134166,-0.51177845,-0.5812933,-0.52405319,-1.0981287,1.4160349,1.1641208,1.8410503,0.29069578,0.60652728,0.59176707,1.2581935,0.074836538,0.030972134,0.078563888,0.24644726,-0.37455265,0.050696236,-0.13251435,0.38195639,-0.6536099,0.20430514,-0.13185422,0.93506177,-1.4051646,0.35393132,0.25087591,0.72800817,-0.4409597,-0.082169947,-0.049949106,0.061000296,-0.36368892,2.2979963,-7.8045027,0.017087199,-0.041498532,-0.16318484,0.013347949,-0.10938416,-0.081864465,-0.15745118,0.064471606,-0.15076008,-0.074636254,-0.081336407,-0.018679061,-0.11996956,-0.12357975,-0.12490705,-0.034160172,-0.17632538,-0.0095772789,-0.13343464,0.077487419,-0.21892792,-0.098801322,-0.11216442,0.0071125138,-0.15337078,-0.16704471,-0.069279109,0.056703718,-0.31188244,-0.065897043,-0.13540084,0.011642313,-0.19165433,-0.044521874,-0.066480552,-0.048399276,-0.22974095,-0.066656051,-0.12710954,0.035337709,-0.33671114,-0.13761884,-0.14115327,0.018427188,-0.26493588,-0.12975092,-0.10463194,-0.016022914,-0.34378735,-0.049196108,-0.12582492,0.089355222,-0.34377592,-0.052850746,-0.10270631,0.055527264,-0.29155009,-0.086489377,-0.12932569,0.069000483,-0.41689607,-0.14872276,-0.12146164,-0.027590569,-0.38690779,0.25103298,0.24547768,0.2631238,0.24910352
-19623.178,0.25575074,0.0017722583,10,1023,0,19677.119,-0.237389,-0.055064378,-0.033034452,-0.08501087,-0.12347333,-0.075633156,-0.074091949,-0.090773905,0.084564586,-0.41573641,-0.26058819,-0.045696097,-0.056493636,-0.1189469,-0.18355096,-0.021814702,0.16895326,0.09004718,0.068724487,0.087213502,0.19920098,0.079494418,0.11759484,0.54350184,0.2471919,0.27282659,0.23104051,0.50625074,0.47817188,0.14186247,0.33662578,0.92710802,0.87252227,0.29659286,1.5238655,0.85036737,-0.32398153,-0.7244855,1.6257678,-1.1363549,-0.55237314,-1.1178124,0.04059478,-1.6082678,0.25285942,-0.25162708,1.5307546,-1.5619834,0.59309637,0.10780984,1.0864831,-0.61179671,-0.64182296,-0.57980527,1.192439,-0.99841904,-0.52146977,-0.5688848,0.73900656,-2.061573,0.045302037,-0.086285226,0.18688346,-0.21217385,-0.79037349,-0.64805892,-0.14093262,-1.2668151,1.3276623,0.94886082,1.6927775,0.30916835,0.51398362,0.38960995,0.92309693,0.15047596,-0.20680414,-0.19849519,0.0041616082,-0.62924623,0.0082665231,-0.14932439,0.29928911,-0.53635655,0.40085201,0.18620178,0.8497327,-1.2272559,0.25997271,0.19117348,0.55351909,-0.70207758,-0.15227955,-0.13340388,-0.0061054856,-0.37666504,3.1590523,-11.088417,0.034019321,-0.089973519,-0.18727867,0.02007305,-0.093716662,-0.084238001,-0.12030225,0.091331425,-0.15738994,-0.070996013,-0.10985554,-0.030244597,-0.14356183,-0.062958115,-0.10695615,0.0484916,-0.22123691,-0.0053279484,-0.1019975,0.092955172,-0.24534383,-0.1266545,-0.12172444,0.019159092,-0.1550019,-0.1354141,-0.14098986,0.012811406,-0.31652228,-0.066152164,-0.13767008,0.010797602,-0.20609078,-0.11080934,-0.075630333,0.049727185,-0.22858186,-0.053514833,-0.15686195,0.046098288,-0.33138707,-0.14183716,-0.17057251,-0.047315405,-0.22582215,-0.15039084,-0.14618443,-0.04358928,-0.36425247,-0.052540817,-0.12789636,0.086618004,-0.31296426,-0.062081043,-0.092531855,0.0015982815,-0.29304845,-0.096037448,-0.11919704,0.0027778304,-0.41988837,-0.1629943,-0.14549451,-0.027475147,-0.37102388,0.25161921,0.25334211,0.26180364,0.24960789
-19626.654,0.88900398,0.0017722583,10,1023,0,19669.043,-0.10756352,-0.042192556,-0.082846966,-0.10005521,-0.072805997,-0.095787168,-0.057192353,-0.17957238,-0.0029913258,-0.59240758,-0.31395776,-0.15007637,0.062161327,-0.097215666,-0.38185849,-0.16855873,0.071770684,0.17755942,0.045808779,0.095758621,0.36909951,0.060808067,0.13060717,0.27514647,0.14051243,0.4672861,0.49342922,0.19479613,0.55543253,0.16290941,0.49822558,0.56043112,0.7339865,-0.22458602,1.5909556,0.16624682,-0.37994939,-0.60168461,0.71907964,-0.56909733,-0.2224755,-1.0811904,0.93626729,-0.55777996,-0.34389446,-0.5889585,2.0437655,-0.948323,0.25171719,-0.12573274,0.42886388,-0.48771156,0.0039528738,0.11938308,1.2771403,-0.94812371,-0.77210659,-0.15177981,0.78279918,-2.307845,0.44270642,0.16497236,0.68652008,-0.086134986,-0.55674925,-0.61509311,0.26189943,-1.9128998,1.1652542,1.0263226,1.4156896,0.54297212,0.37211351,0.28679831,0.53839025,0.1517757,0.16593614,-0.014737794,0.62256352,-1.1555475,-0.18751761,-0.26930622,-0.0031348442,-0.6674273,0.149575,0.055547577,0.47366683,-1.1643036,0.58186901,0.55094603,0.74747069,-0.08577678,0.071757057,-0.011353787,0.24439587,-0.41338479,2.4188111,-8.3305817,0.031327704,-0.054884811,-0.12368222,0.0066204454,-0.095631877,-0.10965615,-0.14902733,0.085486807,-0.14324115,-0.093038297,-0.13237498,-0.039957704,-0.10839818,-0.13298607,-0.15645306,0.095652963,-0.19086531,0.020102693,-0.11921389,0.085487452,-0.2528201,-0.095546801,-0.088527713,-0.018126734,-0.15344074,-0.15803501,-0.077015885,0.045046836,-0.35861346,-0.057763273,-0.13418082,0.0093211968,-0.20327212,-0.081221517,-0.089419553,0.0338088,-0.27177752,-0.047900477,-0.11282129,0.069124508,-0.33868425,-0.13034608,-0.17244309,-0.04830028,-0.2390672,-0.11775266,-0.15294724,-0.028803411,-0.37517256,-0.041992055,-0.08742011,0.060420133,-0.30854951,-0.072848491,-0.088166443,-0.020050884,-0.28689168,-0.091956467,-0.10736309,-0.0094494703,-0.42459468,-0.12834384,-0.17492174,-0.03159168,-0.40023243,0.24706923,0.24505972,0.26069127,0.25049441
