# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 22:51:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc261d3e17.json
# init = 2 (Default)
# random
#   seed = 839400409
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608192351-4-7d19b5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608192351-4-90f5f9.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00241355
# Diagonal elements of inverse mass matrix:
# 0.0183643, 0.00818451, 0.00368599, 0.016797, 0.0255015, 0.0129439, 0.0283297, 0.0123318, 0.0268944, 0.033307, 0.0297427, 0.0279471, 0.0418287, 0.0463503, 0.0409934, 0.0219175, 0.387927, 0.357193, 0.877883, 0.346645, 0.34877, 0.426143, 0.306884, 0.329823, 0.460098, 0.279911, 0.550126, 0.381848, 0.309061, 0.420368, 0.304824, 0.328973, 0.290055, 0.221068, 0.392725, 0.274134, 0.286486, 0.301758, 0.255171, 0.308111, 0.294908, 0.249132, 0.297033, 0.239323, 0.256249, 0.288268, 0.280252, 0.298452, 0.372979, 0.243979, 0.483562, 0.288446, 0.271661, 0.270133, 0.25201, 0.308087, 0.259035, 0.221285, 0.279794, 0.237052, 0.228911, 0.274087, 0.249556, 0.289734, 0.542184, 0.453421, 0.575629, 0.478861, 0.421118, 0.55758, 0.398972, 0.503343, 0.375102, 0.389418, 0.606146, 0.382585, 0.40106, 0.397059, 0.411872, 0.419005, 0.299374, 0.265808, 0.431684, 0.376797, 0.435278, 0.34791, 0.469798, 0.427746, 0.544571, 0.348687, 0.443725, 0.478284, 0.452996, 0.539989, 0.417478, 0.542478, 24.9972, 400.262, 1.02495
-19640.864,0.99741671,0.0024135455,10,1023,0,19690.061,-0.013925392,-0.086494373,-0.087531617,-0.14742404,0.039522327,-0.044325658,-0.24292007,-0.13982686,-0.27911436,-0.0093873973,0.036746876,-0.16111027,-0.37444915,-0.1111385,-0.13318264,-0.1672709,0.076244368,0.25464091,0.047747439,0.069039415,0.24812606,0.19137896,0.17091499,0.13252312,0.17151415,0.19889767,0.19364811,0.1813757,0.35296042,0.15633857,0.40353643,0.1951954,-0.64646122,-1.4840728,0.68305949,-1.1689762,-0.062254693,-0.25999258,0.55732254,-0.18870211,-0.410235,-0.57767724,0.11482391,-0.91034967,0.38416927,0.7911124,2.5504036,-0.63882511,-0.23893703,-0.43803968,0.074963984,-1.0219308,-0.25054969,-0.38252791,0.31453741,-0.59142203,0.6010287,0.85407197,1.4166386,-0.48982524,0.66845348,0.45643367,0.92886665,-0.31657957,1.3376858,1.0245036,1.5174034,-0.081075118,-0.25803681,-0.56516765,0.4471107,-1.7148078,-0.79482822,-1.0838957,-0.26079854,-1.4121878,-0.037675249,0.066441412,0.54029767,-1.2533618,1.0384278,0.77770834,1.1988969,0.17021727,0.30995204,0.28013174,0.99567715,-1.3725616,0.13952057,0.089100068,0.29349002,-0.7118465,0.21343192,0.17402437,0.64623957,-1.1179675,3.1484529,-10.897574,0.099858862,-0.063214419,-0.12707758,0.038154047,-0.10305324,-0.10234696,-0.15269912,0.055422744,-0.13454565,-0.10711929,-0.11511423,-0.08204907,-0.13099848,-0.12090122,-0.092806105,0.02865433,-0.19152815,-0.019764178,-0.069166733,0.058122845,-0.21404534,-0.092275596,-0.11753345,0.015870183,-0.15751139,-0.14019526,-0.096946367,-0.00079528926,-0.32663855,-0.051241322,-0.079338849,-0.016730555,-0.18178098,-0.049682314,-0.10339749,-0.018858198,-0.29301989,-0.060710316,-0.12179792,0.079541878,-0.35045867,-0.11717011,-0.17314747,-0.013756267,-0.23672061,-0.16794364,-0.14905941,-0.063113397,-0.38843964,-0.0079252267,-0.099948889,0.048714018,-0.3143692,-0.062681038,-0.0673431,0.044524244,-0.32572281,-0.076881002,-0.097227513,-0.014748721,-0.42043863,-0.12560998,-0.13330215,-0.041127915,-0.38549302,0.24803757,0.24251438,0.25525274,0.25291484
-19644.681,0.99519799,0.0024135455,10,1023,0,19673.048,0.10049169,-0.038444689,-0.088691995,-0.16344853,0.17371665,-0.061238895,-0.20374219,-0.2224358,-0.23661362,-0.016368036,-0.079557993,-0.13093049,-0.26001166,-0.10875394,-0.19713632,-0.11930939,0.13785995,0.35231135,0.08711062,0.065221115,0.2286146,0.28055127,0.1981493,0.1425066,0.12559331,0.20270511,0.086365305,0.18736701,0.20278678,0.14206539,0.26699605,0.22389453,-1.4009652,-1.8879604,-0.55683895,-1.4492811,-0.10726932,-0.19798403,0.20007345,-0.28245038,-0.23229561,-0.92008129,1.131231,-0.22388874,1.1651109,0.19745305,2.8296807,-0.32254335,-0.83848208,-1.4622339,-0.40487405,-1.6813215,-0.12464549,-0.13018812,0.30367791,-0.37667007,0.36813364,0.60046755,1.169692,-0.65640402,0.97549229,0.81330508,1.1910285,-0.017734944,1.4044054,1.1778725,1.6333285,0.15650778,-0.30000898,-0.52937908,0.3143651,-1.4559191,-0.89502735,-0.95596319,0.77340096,-1.6851828,-0.086159606,-0.064347403,0.37230355,-1.3740323,1.0655739,0.76412243,1.742523,-0.25480116,0.30391422,0.26169903,0.96233085,-1.3821691,0.38266324,0.31053951,0.76449397,-1.0003132,0.0061467397,-0.24013228,0.47503086,-1.2651155,-0.9227772,5.4449033,0.16031695,-0.0926453,-0.15978244,0.023725903,-0.099306129,-0.07623689,-0.10819671,0.032043458,-0.13795517,-0.10892741,-0.16884085,0.0098502361,-0.10819508,-0.0874587,-0.15057042,0.021106399,-0.18448517,-0.017972588,-0.16057136,0.081156536,-0.21065799,-0.096208344,-0.097763338,0.02395833,-0.16691416,-0.13079677,-0.084759967,0.028031466,-0.33380819,-0.08342171,-0.10653446,-0.052706372,-0.22496314,-0.060229696,-0.088680713,-0.031478483,-0.21695729,-0.07718139,-0.12367588,0.047355375,-0.31149027,-0.1568573,-0.16212005,-0.012762984,-0.22509932,-0.14707396,-0.14298707,-0.061173085,-0.38837881,-0.043927351,-0.10505773,0.093348972,-0.31168197,-0.065578242,-0.07157556,0.027959975,-0.30511233,-0.094966748,-0.1142235,0.0069805505,-0.464216,-0.11793316,-0.17307369,-0.012952577,-0.40256181,0.25298567,0.25518525,0.25171247,0.25218151
-19634.356,0.99749103,0.0024135455,10,1023,0,19683.705,0.076749863,-0.055567073,-0.084317718,-0.13896654,0.19889843,-0.0021615553,-0.16426035,-0.21342971,-0.2199055,0.055053352,-0.060740604,-0.16208089,-0.24776556,-0.065853242,-0.17982954,-0.056226565,0.12430443,0.28229386,0.052994913,0.094896661,0.3213284,0.27317015,0.15899646,0.13953847,0.11256758,0.31731367,0.092159114,0.18495678,0.17705501,0.21281815,0.30076038,0.24311041,-1.1117049,-1.7853511,-0.021244394,-1.5361058,-0.27038211,-0.25007939,0.26262312,-0.40180295,-0.82103555,-0.63457117,1.2020231,-0.77539069,0.51728538,0.81695758,2.3328395,-0.64457184,-0.61031313,-1.0367837,-0.39987625,-1.2067366,-0.3140238,-0.3798146,0.11126586,-0.5993854,-0.016250159,0.31369246,1.3021666,-0.78835654,1.0418555,0.47537195,1.6845737,0.31469765,1.1475954,1.2765866,2.080053,-0.045552678,-0.30111445,-0.52325199,-0.049631271,-1.098828,-0.78201779,-0.71874681,0.47441898,-2.0096326,0.099792419,-0.0531839,0.81982685,-1.2071364,1.1657505,0.77234637,1.6801024,-0.51251893,0.049282409,-0.37883712,0.55017577,-1.1758459,0.29309026,0.14833751,0.72037619,-0.87429536,-0.40731641,-0.37516932,0.14468461,-1.3929185,1.2846827,-3.5119198,0.099561366,-0.061439979,-0.14517719,0.074109091,-0.1141949,-0.13189428,-0.12616295,0.018569821,-0.16899358,-0.12782843,-0.11794676,-0.02061661,-0.12540948,-0.089877886,-0.061439995,0.082412136,-0.20013426,0.0027874878,-0.13424961,0.070406833,-0.18886032,-0.087943485,-0.10591557,0.028232956,-0.16589576,-0.16684407,-0.11438436,0.042779529,-0.28960625,-0.06805078,-0.14709703,0.021633136,-0.16951728,-0.090723464,-0.076203235,0.014241036,-0.22503326,-0.04049438,-0.11098166,0.039304671,-0.29361979,-0.13281067,-0.12697967,-0.017018571,-0.24594657,-0.14362361,-0.17191762,-0.01044836,-0.38534896,-0.041363596,-0.11101777,0.049704987,-0.33850961,-0.055365051,-0.14647666,0.051234145,-0.31609459,-0.091679606,-0.1352155,0.036831072,-0.44278295,-0.15524943,-0.14743413,-0.021052231,-0.39485956,0.2403362,0.24579189,0.24196994,0.24821473
-19642.999,0.97877661,0.0024135455,10,1023,0,19694.352,-0.0076793898,-0.071634992,-0.063181387,-0.13771134,0.12400863,-0.028279104,-0.12673283,-0.21706264,-0.27107159,0.13888279,-0.11622071,-0.16186846,-0.14974032,-0.080043873,-0.23087057,-0.039875701,0.082362564,0.17541258,0.067336956,0.084642782,0.31894348,0.30225621,0.26376031,0.15493113,0.13036842,0.36915054,0.086610145,0.18080732,0.16414403,0.18283478,0.34615271,0.229809,-0.93523651,-1.8215399,0.42058231,-1.3759685,-0.011663923,-0.63513149,0.80796804,-0.55499375,-0.40148739,-0.48102475,1.5271569,-0.61085267,0.45438714,0.70337944,1.8458635,-0.28092615,-0.44675547,-0.75010249,-0.10280963,-0.99453618,-0.16786391,-0.21329106,0.086769325,-0.43529256,-0.073391397,0.021852368,0.27983933,-0.63365836,0.80272214,1.0273676,1.4646151,-0.0074301075,1.3286465,1.3627652,2.1354923,0.087069848,-0.53176986,-0.63945628,-0.28955592,-1.2037662,-0.60795833,-0.65408429,1.0550111,-1.3384762,-0.048570233,0.11210115,0.74496319,-1.245824,0.80862299,0.36731714,1.6363371,-0.97198261,-0.013789477,-0.057523257,0.4737189,-1.3184851,0.41673805,0.29167127,0.83972688,-0.56085722,-0.42902343,-0.47706881,-0.025089112,-1.4376686,-0.06742428,1.3140662,0.36432311,-0.084707866,-0.15770608,0.026960848,-0.12100769,-0.07368099,-0.18304504,0.070092766,-0.16898788,-0.090216326,-0.095572129,0.039652712,-0.10431435,-0.099250751,-0.07817535,0.018527682,-0.16148971,-0.018481115,-0.11523167,0.091218167,-0.1931922,-0.079017013,-0.092747652,-0.0020525362,-0.15984898,-0.14609057,-0.12096904,-0.052922321,-0.29386675,-0.092695984,-0.057891406,0.0098518424,-0.21821379,-0.097858045,-0.093410052,0.007329158,-0.25972043,-0.057420333,-0.097172832,0.031993071,-0.30548814,-0.16887607,-0.17287105,-0.024846053,-0.23214633,-0.17065032,-0.14159976,-0.027173668,-0.38712255,-0.017009682,-0.089447403,0.11885464,-0.30928546,-0.082565069,-0.090561125,0.0065684171,-0.3211088,-0.086615563,-0.12990777,0.05980317,-0.42501282,-0.13846915,-0.14951041,-0.045641405,-0.3702649,0.2526231,0.23636592,0.26055763,0.24595061
-19636.615,0.99715487,0.0024135455,10,1023,0,19686.044,-0.041724298,-0.086689693,-0.085388267,-0.11011119,0.15372174,-0.12906727,-0.11206213,-0.22601368,-0.16805549,0.25871151,-0.12335372,-0.18986484,-0.13974805,-0.068457,-0.51057963,-0.14121363,0.074629642,0.12284941,0.072170734,0.13805913,0.34574747,0.79117446,0.25994165,0.12348252,0.081713398,0.54906185,0.064778054,0.16867137,0.20851298,0.16012947,0.69079463,0.22089285,-0.36897643,-1.4907487,1.3746723,-0.79652615,-0.29673435,-0.45192971,1.2989604,-0.59920695,-0.53667205,-0.57158766,0.34159597,-0.24537811,0.058429576,-0.43336443,1.1657359,-0.49396414,-0.58310376,-0.80535578,-0.23086089,-1.1277591,0.075616013,0.021634138,0.15481429,-0.031590033,-0.099504953,-0.079584629,0.56561014,-0.57099076,1.4043527,0.78638337,1.9753531,0.13267687,1.0317864,1.1458838,1.7714309,-1.3434404,-0.60306255,-0.6437483,-0.32583925,-1.0692181,-0.69020311,-0.59851991,1.2466737,-2.0494626,0.39137116,0.053609182,0.77174649,-1.1317101,0.55401079,-0.025777167,1.3249314,-1.0030365,0.019080911,-0.03053649,0.66297894,-1.579937,0.62215323,0.54296312,0.84184273,0.10323002,0.14499729,-0.089601728,0.46343118,-1.061133,-2.6376917,12.172887,0.09457149,-0.069260877,-0.15297834,0.060867003,-0.10116876,-0.12314333,-0.14220899,0.072886829,-0.16030191,-0.12412028,-0.12664017,-0.060735035,-0.10309738,-0.10204445,-0.1699411,0.05082929,-0.17830745,-0.047884912,-0.12472798,0.073902168,-0.23619812,-0.069241809,-0.11195089,-0.0065821535,-0.15406049,-0.13792761,-0.13274949,0.034963502,-0.26048641,-0.052600666,-0.12890908,0.01790791,-0.20963041,-0.083744718,-0.074421429,-0.023305851,-0.27783257,-0.072407128,-0.094746117,0.079805611,-0.32835536,-0.16806373,-0.16212467,-0.042596619,-0.25611391,-0.12385173,-0.18082251,-0.059693304,-0.38075193,-0.024229604,-0.14512292,0.13651735,-0.34889417,-0.065401584,-0.073346792,0.037705468,-0.32145148,-0.080799519,-0.13550363,0.070960805,-0.43926889,-0.10918477,-0.16100601,-0.038845002,-0.37561031,0.24200979,0.25045973,0.2570798,0.24695425
-19640.319,0.9993578,0.0024135455,10,1023,0,19683.253,-0.049337321,-0.070318691,-0.059803391,-0.017013862,0.14842302,-0.20208217,-0.099812324,-0.16567473,-0.16436255,0.25443378,-0.10714425,-0.23800089,-0.41332448,-0.054999343,-0.4194207,-0.027738677,0.070043194,0.14959821,0.1365764,0.10963001,0.47617447,0.3743065,0.17125124,0.12955671,0.11545363,0.40938146,0.060466471,0.16270829,0.28816013,0.12520242,0.74001998,0.21866442,-0.15398255,-1.4364905,1.0711802,-0.83157922,0.049434737,-0.29942032,0.56071531,-0.55686138,-0.2678203,-0.636413,0.15578934,-0.43005683,-0.70876289,-0.5045987,0.41294241,-1.658563,-0.27390345,-0.48224266,-0.079920658,-0.7788664,0.25408618,0.205087,0.56172826,0.15300419,-0.23145042,0.02387645,0.98441378,-1.2670382,0.4897343,0.41612243,1.657357,-0.37050155,0.55551372,0.55776317,2.0169204,-0.78007237,-0.76342487,-0.89277095,-0.59496577,-1.4089353,-0.64524775,-0.19317551,1.6830259,-1.6729859,0.20997588,0.38791,1.2980134,-1.0293742,1.3511052,0.87852338,1.7872967,0.1221323,0.021882631,-0.42633756,0.63779868,-2.2036319,0.42255388,0.36147335,0.62974508,0.0062071485,-0.28697087,-0.47170285,0.091225136,-1.6622709,-4.3913027,18.589428,0.12034724,-0.06012275,-0.1499537,0.02569156,-0.10758379,-0.062923342,-0.11511143,0.013563315,-0.15362415,-0.096381323,-0.14672239,-0.038526245,-0.118539,-0.094715545,-0.072333022,0.02825702,-0.19884214,0.01799719,-0.081208622,0.11036684,-0.22245327,-0.10697606,-0.12531678,0.0081763658,-0.14481171,-0.1394485,-0.095723453,0.068769758,-0.31679419,-0.10222636,-0.11176327,0.049047002,-0.21367569,-0.10022647,-0.099966765,0.068498234,-0.25442473,-0.058098207,-0.1110501,0.010865823,-0.32235819,-0.1461601,-0.11882489,-0.0053776088,-0.2083038,-0.20383607,-0.17488472,-0.026803341,-0.40548861,-0.02398984,-0.16016907,0.10170316,-0.37813082,-0.052259585,-0.10837784,0.024854594,-0.33089938,-0.10672239,-0.15192319,0.046603246,-0.41482728,-0.090488993,-0.13088331,-0.0077909855,-0.39121816,0.25455553,0.25004308,0.24865528,0.24926733
