# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:07:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc3d800b45.json
# init = 2 (Default)
# random
#   seed = 1041811384
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200007-1-17cf6d.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200007-1-50f726.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00208068
# Diagonal elements of inverse mass matrix:
# 0.0108491, 0.00680185, 0.00228809, 0.0176313, 0.180433, 0.00509025, 0.027615, 0.00985543, 0.0132194, 0.0862507, 0.0120571, 0.0189757, 0.0438313, 0.0136947, 0.0260752, 0.0469484, 0.459849, 0.436925, 0.511872, 0.397456, 0.524807, 0.401206, 0.364808, 0.493468, 0.433012, 0.356555, 0.307375, 0.338178, 0.282874, 0.239079, 0.296765, 0.387804, 0.275158, 0.242452, 0.439771, 0.307794, 0.264643, 0.338298, 0.305272, 0.238934, 0.217796, 0.37209, 0.298746, 0.248281, 0.288969, 0.211768, 0.237221, 0.258627, 0.336376, 0.277576, 0.412408, 0.332693, 0.274281, 0.324238, 0.283036, 0.246241, 0.211608, 0.302198, 0.283049, 0.250037, 0.296779, 0.193993, 0.211852, 0.249679, 0.544468, 0.483332, 0.555046, 0.480809, 0.359085, 0.553645, 0.400721, 0.393148, 0.350739, 0.532779, 0.544256, 0.344905, 0.362069, 0.314613, 0.370974, 0.44738, 0.259969, 0.317798, 0.373936, 0.47056, 0.405696, 0.480938, 0.514055, 0.398169, 0.535225, 0.417612, 0.351916, 0.520993, 0.606617, 0.368075, 0.392125, 0.334333, 27.1843, 440.974, 0.901385
-19643.603,0.99995996,0.0020806765,10,1023,0,19706.896,-0.14508097,-0.11040002,-0.18343535,-0.001497381,-0.31998655,-0.10105282,-0.25907895,-0.085204139,-0.075566513,-0.15507216,-0.11352477,-0.39731743,-0.16902038,0.018647697,-0.21064177,-0.29876517,0.11849819,0.093426221,0.071890547,0.37301428,0.37005095,0.071167619,0.16745583,0.099526982,0.081991802,0.15368011,0.12821814,0.46868472,0.15848809,0.24493348,0.18582615,0.24437756,0.76377345,-0.19779031,1.3266995,0.23795582,0.033992732,0.060828218,1.2505333,-0.55712124,1.0449693,0.64683931,2.2378826,0.30801043,-0.21735785,-0.32391928,0.15203051,-0.52629514,0.87111053,0.58067177,1.1177346,0.25749539,0.46198826,-0.29237479,1.8237009,-1.0523212,0.76726813,0.66217425,1.6411587,-0.41526727,0.22857884,-0.29601136,1.2921512,-0.9211771,0.80218712,-0.4151463,0.64582527,-1.9005466,0.66238583,0.30586482,1.1898626,-1.0458142,0.004727627,-0.4356041,0.62997402,-0.92165733,0.58057197,0.5491443,0.79199006,0.03164637,1.0772928,0.22616137,1.8045523,-1.0278703,-0.36880875,-0.50844771,0.10989679,-1.2664929,0.73720216,0.45879344,1.6464578,-1.0738047,0.58514336,0.57487311,1.2997855,-0.49805,-3.2415103,14.159673,0.14083081,-0.0545752,-0.16851876,0.012130518,-0.11688364,-0.10722421,-0.10471707,0.0064325811,-0.16244975,-0.10831194,-0.13693372,-0.022552742,-0.16129231,-0.082574962,-0.1223239,0.05521217,-0.19781299,0.0023687337,-0.1051084,0.093632215,-0.22470013,-0.068174215,-0.12186044,0.028735628,-0.17594401,-0.13059543,-0.14819402,0.015742634,-0.32861788,-0.062454378,-0.11466526,0.043399774,-0.17688612,-0.0097937452,-0.10960511,-0.022614135,-0.23139575,-0.053276632,-0.10806682,0.027786049,-0.315793,-0.11291861,-0.16937712,-0.032750678,-0.23169796,-0.12521222,-0.13994189,-0.026123797,-0.38248526,0.0017177024,-0.1331765,0.11697968,-0.33192558,-0.071685913,-0.10588817,0.045565099,-0.29155882,-0.073650329,-0.12538595,0.09531314,-0.41018277,-0.15576926,-0.15827908,0.018873231,-0.42047741,0.24884583,0.25169376,0.25746023,0.24140594
-19661.635,0.98182508,0.0020806765,10,1023,0,19708.949,-0.065844816,-0.11867112,-0.11873452,-0.0055975468,-0.38690548,-0.09713043,-0.33177297,-0.016389708,-0.10456815,-0.12201477,-0.099370826,-0.45421212,-0.16582616,0.042317927,-0.13033414,-0.22369439,0.091146655,0.10248603,0.024771523,0.32822245,0.38956866,0.029881112,0.40252983,0.075043561,0.12384098,0.19033762,0.10979155,0.28897449,0.14508009,0.17986652,0.28860524,0.3101393,-0.080091637,-0.58900371,1.7594903,-0.17311154,0.13328575,-1.0301881,1.8425835,-0.18369364,-0.57261034,0.088940548,1.9613101,1.0737883,-0.20127117,-0.36075796,0.17759714,-0.51181421,1.0485304,0.71384352,1.256261,0.3215605,0.74279055,-0.071736694,0.90719715,-1.1221726,0.43272471,0.63603055,0.84099349,-0.055805338,-0.23446366,-1.0060303,0.79945301,-2.1027123,-0.49469926,0.1755843,0.66500998,-1.1318509,0.4150275,0.16929262,0.97382882,-0.98566118,-0.62269052,-0.70404945,0.7241682,-1.2270697,1.170386,1.0987933,1.5588964,0.21534089,0.99440041,0.45935037,1.7646585,-1.1814181,-0.46174433,-0.78842125,-0.051876918,-2.0858051,0.1831737,0.0047839449,0.7815496,-0.98343931,0.26876172,0.28328317,0.63372572,-0.65392401,-3.378626,15.211966,0.93071804,-0.073144901,-0.11953053,0.094526834,-0.081623354,-0.10501119,-0.224251,0.070167944,-0.13749715,-0.13291895,-0.11653132,-0.070149878,-0.092135146,-0.071659262,-0.12400641,0.052693821,-0.17358646,0.021569116,-0.10881441,0.10249445,-0.26163558,-0.074935022,-0.099274002,-0.07002237,-0.13066219,-0.15758836,-0.075751701,0.006751997,-0.35423628,-0.033984695,-0.091885807,0.043604094,-0.17418473,-0.16583219,-0.082823617,-0.022212661,-0.24473767,-0.043019422,-0.089792016,0.063341493,-0.30962317,-0.16773698,-0.1766695,-0.019863278,-0.23409271,-0.11600043,-0.1366889,-0.0037308464,-0.3919841,-0.021558455,-0.099183564,0.090190655,-0.3372264,-0.040734419,-0.099492661,0.032987006,-0.33284858,-0.077469253,-0.12895347,0.095225166,-0.41415988,-0.14034082,-0.13583714,-0.027151137,-0.42650192,0.25236955,0.25418498,0.25349425,0.23941019
-19669.092,0.99993981,0.0020806765,10,1023,0,19717.638,-0.12619624,-0.083665876,-0.090780823,0.0593644,-0.42191399,-0.066678847,-0.28146227,-0.077559752,-0.11994224,-0.13845291,-0.042875425,-0.53062532,-0.27091348,0.057200547,-0.17821243,-0.24463444,0.083330235,0.047863441,0.019281944,0.24901222,0.39930897,0.040302228,0.24590896,0.079280986,0.084645042,0.18875368,0.16310453,0.28442451,0.28067399,0.14744326,0.14857051,0.13371906,0.92478462,-0.64470097,1.6234483,-0.10171522,-0.62843907,-0.40262744,2.3779679,-1.628684,0.89697251,-0.78421225,1.7081646,-1.7431363,-0.55881139,-0.66844574,0.067141207,-0.99292268,1.1206677,0.76292403,1.2246459,0.36323382,-1.0813083,-0.39011434,1.4678012,-1.9272251,0.5283192,0.78179176,1.154372,-0.21110644,-0.22360448,-1.1134923,1.4747746,-1.8606675,0.99633399,0.078618661,1.194062,-1.3093682,0.38184625,-0.0085690695,1.1390801,-1.06883,-0.69151661,-0.86856474,0.10459937,-1.2534604,1.3950336,1.2780897,1.7395486,0.63896464,0.88557993,0.70637976,1.2392821,-0.20607748,-0.70039652,-1.1353012,-0.39550248,-2.3961812,0.47565458,0.12390369,1.5301557,-1.7733262,0.73318318,0.90480005,1.5632666,-1.4215221,1.0173355,-2.4545068,0.5345516,-0.049133717,-0.17991932,0.00908609,-0.13467219,-0.11374513,-0.10293701,0.030151852,-0.1616203,-0.07348545,-0.10590196,-0.057844089,-0.12439188,-0.079786464,-0.10708676,0.07608338,-0.18788548,0.025578681,-0.11727157,0.067098124,-0.27687146,-0.11025798,-0.082401324,-0.0075231889,-0.14435031,-0.15154385,-0.089212669,0.0024081574,-0.33337524,-0.095287336,-0.16583852,0.039361835,-0.2250753,-0.035607507,-0.11328756,-0.018870813,-0.23077376,-0.066378021,-0.14007035,0.076552657,-0.3401985,-0.15566492,-0.18454227,-0.025814793,-0.24732049,-0.13384356,-0.16710528,-0.035855038,-0.34888811,-0.022354227,-0.072651054,0.076920763,-0.32875406,-0.046068202,-0.11019196,-0.0011136296,-0.29610023,-0.10754418,-0.15980399,0.049123589,-0.4416764,-0.14659387,-0.12364543,-0.035595899,-0.43471904,0.25203348,0.25259494,0.26246043,0.24237933
-19662.567,0.99880546,0.0020806765,10,1023,0,19723.656,-0.084880969,-0.099879237,-0.089394412,-0.046331187,-0.15148201,-0.12604794,-0.30512562,-0.11142063,-0.18152291,-0.20459558,-0.085540182,-0.32440506,-0.25053302,0.030297261,-0.012960503,-0.24477293,0.060219329,0.042497218,0.018401122,0.17054737,0.15329205,0.097310874,0.192114,0.0811107,0.085455421,0.24850863,0.15466785,0.12821111,0.19706073,0.12429123,0.39777142,0.10897463,-0.83306356,-0.95307651,1.9309111,-0.45373875,-0.091892597,-1.597154,3.0983471,-1.324248,-0.30865507,-0.88343581,1.5159685,-1.4588885,-0.19808859,-0.40641847,0.66881524,-0.92337414,0.84840614,0.22372732,1.3201848,-0.30467098,0.57199888,-0.22229282,1.2898675,-0.069914528,0.86018927,1.0334965,1.7153597,-0.14481334,0.042895276,-0.044831458,1.7445695,-1.3321595,0.39226394,1.3598598,1.8603275,-0.67525542,0.71706425,0.31883079,1.0745162,-0.45731183,-0.47267685,-0.65753076,0.40091939,-1.0347347,1.5476398,1.4413715,2.2656147,-0.39286303,1.1369525,0.72551045,1.8387695,-0.35868345,-0.77841117,-1.1197202,0.27830375,-2.9235931,-0.11240377,-0.33712048,0.19470743,-0.94885678,1.1719391,0.98998925,2.015718,-1.0143725,-2.8505891,12.033694,0.26140417,-0.1350475,-0.1422746,0.031397204,-0.11220481,-0.10378442,-0.16775384,0.031791896,-0.15615609,-0.095074012,-0.10565062,-0.061498891,-0.1162396,-0.080114676,-0.11564479,0.067733495,-0.20381022,-0.021428094,-0.11718639,0.050891819,-0.19818565,-0.070386234,-0.14767945,-0.00052981322,-0.13285139,-0.13987122,-0.10657648,0.024418993,-0.33294629,-0.10794137,-0.11505694,0.03008262,-0.21947302,-0.14800183,-0.065315509,-0.022547832,-0.23922714,-0.02639893,-0.12536338,0.062430968,-0.31824152,-0.15864809,-0.18723905,-0.023530844,-0.24558037,-0.12598045,-0.13960523,-0.033928103,-0.37477447,-0.026484317,-0.1075634,0.11181624,-0.32121544,-0.066452424,-0.10887415,0.064887977,-0.33307973,-0.057671512,-0.1470574,0.064488546,-0.39038861,-0.1170613,-0.13688922,-0.025110811,-0.3553138,0.25426318,0.2569756,0.25886435,0.23706361
-19666.832,0.99736516,0.0020806765,10,1023,0,19722.651,-0.10050925,-0.067244173,-0.087016569,-0.19256119,-0.10987722,-0.089463729,-0.2068143,-0.088324518,-0.12926298,-0.23269323,-0.074488991,-0.32998659,-0.15204503,-0.062382955,-0.13461296,-0.097925648,0.1328112,0.078663141,0.059214196,0.33522727,0.18929811,0.071540107,0.22283986,0.18150003,0.066231268,0.12922907,0.55856625,0.092539964,0.24797276,0.10891817,0.14241041,0.27950467,0.69263176,-0.68889148,1.0090697,-0.23757212,-0.079060511,-0.80146552,1.7424979,-1.138582,-0.29845259,-1.2009252,1.3892875,-0.28476344,0.35542613,0.1918672,0.69160126,0.05285705,0.59771942,-0.11700903,1.0506964,-0.64219251,-0.51216803,-0.60764201,1.3311056,-1.0248311,0.10945816,0.42977516,1.0515438,-0.36846456,0.015337139,-0.30863364,0.26342086,-0.61059214,1.3734529,0.10082224,1.8008777,-1.9632228,1.5483752,0.86634331,2.5020693,-0.44815181,-0.17321114,-0.14608233,0.21708595,-0.36838774,1.8428144,2.3890537,3.1640289,-0.77258004,0.50345063,0.2845955,1.0362826,-0.71145831,-0.20657485,-0.33451354,1.0465882,-2.1569262,0.17857616,0.039425924,0.93430393,-2.3238749,-0.025709972,-0.18001927,0.37110009,-0.90998524,-9.4791345,38.050635,0.43092573,-0.0085199925,-0.19200175,0.033506516,-0.13206149,-0.073463321,-0.13028997,0.069826182,-0.15680861,-0.1046892,-0.15812839,-0.0047510293,-0.10387861,-0.073412658,-0.12824207,0.039282416,-0.17484206,0.0032699343,-0.13202681,0.08901762,-0.23144305,-0.12610429,-0.1329345,0.0057637078,-0.16278025,-0.18242265,-0.11104326,0.027511568,-0.28892289,-0.085540827,-0.14434153,-0.040513625,-0.19914701,-0.038297455,-0.1225854,-0.0099885696,-0.25928972,-0.032598145,-0.12073649,0.090646855,-0.29060747,-0.17123889,-0.15608565,0.046767891,-0.28025795,-0.15945261,-0.10890365,-0.037187467,-0.40148112,-0.027202993,-0.081473103,0.10492483,-0.32846731,-0.084882708,-0.098817556,0.051609508,-0.2973114,-0.10918185,-0.1289983,-0.0015583502,-0.46555694,-0.10511171,-0.14824187,0.005798559,-0.35227077,0.24902467,0.25435564,0.25048264,0.24545655
-19661.772,0.99989857,0.0020806765,10,1023,0,19714.424,-0.092805833,-0.064844207,-0.08327518,-0.12604618,-0.11393275,-0.093369695,-0.20318071,-0.063250291,-0.080993721,-0.23610413,-0.067951456,-0.31896418,-0.092601067,-0.061264175,-0.11239426,-0.1218172,0.12630357,0.09248269,0.039606293,0.26168695,0.1093131,0.075136484,0.14826588,0.20255992,0.090591926,0.12764773,0.39539353,0.094026756,0.32677793,0.14827861,0.14997235,0.23923463,-0.36097204,-0.31952812,1.368655,-0.15539586,-0.66667179,-0.61858952,1.7746981,-1.1420226,0.1767446,-0.84276609,1.264805,-0.8940152,-0.05586858,0.087141603,0.70659803,-0.22851932,0.9012449,-0.029661041,1.8131433,-0.94948956,-0.20603962,0.073497005,0.90636832,-0.63533183,0.61590092,0.55461943,1.9327201,-1.0193072,0.030459161,-0.3670679,0.2454288,-0.68796986,0.20483427,0.043166854,0.48061729,-1.8155402,1.7596791,1.1761388,2.4147818,-0.64044675,-0.24397889,-0.23091306,-0.02923867,-0.39067725,1.7393245,1.3691818,2.4932342,-1.235691,0.12254122,-0.14046169,0.57603807,-0.80871275,0.26261736,-0.26261099,0.54653483,-1.8178861,0.34387526,-0.33069175,1.2463182,-1.7442097,-0.066562239,-0.19624511,0.39279212,-1.1690248,-8.4315934,34.824779,0.50830109,-0.13839789,-0.13316337,0.080060177,-0.11243288,-0.12649981,-0.12205303,0.099284648,-0.17046153,-0.076274982,-0.11665402,-0.033180942,-0.11868381,-0.14066625,-0.10324236,0.058861306,-0.1858467,-0.015414882,-0.11717509,0.084267556,-0.2177244,-0.10885079,-0.087847388,-0.025268366,-0.14110629,-0.11186362,-0.12094957,0.083375728,-0.35430918,-0.057080486,-0.13760353,-0.013536253,-0.20260541,-0.062437391,-0.077083153,-0.037453675,-0.24546701,-0.011485092,-0.085972685,0.072137287,-0.3178557,-0.16441913,-0.15925299,-0.079512237,-0.22242271,-0.15542114,-0.19022446,-0.084533456,-0.4351522,-0.0525573,-0.13850085,0.095635464,-0.35687055,-0.022323637,-0.10020377,0.019775251,-0.33081781,-0.060822485,-0.16198888,0.074519003,-0.37397748,-0.13774119,-0.16876583,-0.02784772,-0.40148842,0.24698278,0.25205415,0.2511308,0.24169557
