# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:07:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc3d800b45.json
# init = 2 (Default)
# random
#   seed = 1041811384
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200007-2-17cf6d.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200007-2-50f726.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00745888
# Diagonal elements of inverse mass matrix:
# 0.00564642, 0.00816018, 0.00476033, 0.015203, 0.0197606, 0.0060054, 0.0314634, 0.0140617, 0.00839405, 0.0255283, 0.00977709, 0.0264817, 0.0569178, 0.0329787, 0.0550281, 0.0225325, 0.340078, 0.337318, 0.644613, 0.34895, 0.307602, 0.388656, 0.369448, 0.373034, 0.273391, 0.313409, 0.313223, 0.320683, 0.321932, 0.340113, 0.31407, 0.289377, 0.289838, 0.304639, 0.36779, 0.259975, 0.272336, 0.316472, 0.218385, 0.312751, 0.256805, 0.250363, 0.292633, 0.259511, 0.300424, 0.280713, 0.263433, 0.272101, 0.320117, 0.330943, 0.3925, 0.266919, 0.26583, 0.357427, 0.226068, 0.322784, 0.259474, 0.233574, 0.272812, 0.258021, 0.302591, 0.25755, 0.252038, 0.263295, 0.520454, 0.579111, 0.507263, 0.482004, 0.392447, 0.533421, 0.366493, 0.532853, 0.335972, 0.354298, 0.446695, 0.329637, 0.40659, 0.377804, 0.362759, 0.384201, 0.254982, 0.366751, 0.323824, 0.364275, 0.419049, 0.420175, 0.457405, 0.493098, 0.5163, 0.457642, 0.418956, 0.548548, 0.554453, 0.489272, 0.463356, 0.474128, 9.31859, 149.232, 0.846967
-19637.823,0.9959858,0.007458878,9,1023,0,19685.56,-0.040493876,-0.064121029,-0.074570357,-0.0040218923,-0.13515906,0.020968468,-0.29100888,-0.11856069,-0.11805773,-0.042467503,-0.034907651,-0.19313143,-0.29986908,-0.17492336,-0.098045953,-0.25185765,0.14434423,0.0692933,0.053557881,0.1841378,0.10881137,0.16485867,0.2593293,0.41416287,0.12026631,0.27050148,0.12238993,0.19724159,0.26979065,0.27846858,0.13522369,1.0196772,0.18580166,-0.5338025,0.72385004,-0.55076273,0.56000516,-0.77984742,1.7796871,-1.1897703,-0.76072433,-1.4685338,1.2609561,-0.89643558,-0.43844157,-0.37328246,0.24270005,-0.83488529,1.3747546,0.22225878,1.96547,-0.95216102,-0.79357216,-0.65353854,-0.3125648,-1.025529,0.48693029,0.73756485,1.2532193,-0.056055925,0.20708788,0.064807663,0.41836706,-0.13892038,0.63046745,0.35097412,1.0864924,-1.0500086,-0.12192762,-0.21558344,0.28298982,-0.97843446,-1.2029604,-0.83365119,0.5775649,-1.5164203,0.27169306,0.26142174,0.77649142,-1.052593,0.90603273,0.66480567,1.5205136,-0.18802058,0.40478226,0.29429591,0.79769851,-0.56408532,0.064986686,-0.50792277,1.0979746,-2.4262491,0.12225323,0.096942022,0.23831773,-0.11370575,0.91848793,-2.9836525,0.16761611,-0.01367448,-0.11754519,0.063989697,-0.1199933,-0.025316424,-0.11815923,0.059199363,-0.14656414,-0.11531314,-0.15322192,-0.0070362199,-0.12258155,-0.08475556,-0.072757305,0.040668361,-0.15775583,0.014429873,-0.11097477,0.078706435,-0.238765,-0.10985878,-0.086773027,-0.030560549,-0.14809887,-0.16473358,-0.099736698,0.033987598,-0.30554582,-0.032792584,-0.091719767,0.054711407,-0.17609636,-0.04223374,-0.075847372,0.0126107,-0.24433839,-0.075449105,-0.10078314,0.034081661,-0.30713547,-0.18213789,-0.13693816,0.035780478,-0.22050223,-0.13954226,-0.14156819,-0.039975026,-0.40074655,-0.055429919,-0.12051073,0.11035128,-0.35059528,-0.062204222,-0.092971199,0.047210609,-0.3320034,-0.089258213,-0.16672914,0.050426225,-0.42613229,-0.12719883,-0.15300808,-0.0088505006,-0.36780081,0.24330198,0.25654868,0.25166426,0.24633922
-19642.195,0.9901531,0.007458878,10,1023,0,19695.867,-0.12032175,-0.11662108,-0.12851618,-0.088587774,-0.2526553,-0.077248923,-0.11161857,-0.038742754,-0.23492973,0.09961658,-0.05145041,0.035748496,-0.20216602,-0.51746405,-0.21824459,-0.55707302,0.070572697,0.13182185,0.056094222,0.097599329,0.2556161,0.033210077,0.088125334,0.113123,0.26890802,0.28451167,0.078030245,0.32652456,0.35603502,0.91941146,0.78039985,1.3908976,1.4073007,-0.054599079,2.2822079,0.30845191,-0.24982384,-0.30562196,1.3893563,-0.38570455,0.56652174,0.6218692,0.9699234,-0.34825547,-0.45084562,-0.47770019,1.2043771,-1.0910194,0.9136253,0.50112227,1.5276417,0.12570204,-1.2283863,-0.95956651,1.2612606,-1.8255816,-0.52764043,0.20449169,1.40891,-2.4228602,-0.16947278,-0.70243165,0.56222728,-1.3567242,0.31260411,0.5536324,0.80755515,-0.06562564,-0.50331209,-0.92150254,-0.1948657,-1.3731705,-1.1845063,-1.4975987,0.4079321,-2.1873139,-0.55411787,-0.58013009,-0.24456932,-1.3595867,0.48278362,0.14101377,0.83018664,-0.36342979,0.50713747,0.44795721,0.58210454,0.24233333,0.15909583,0.15012494,0.303604,-0.23887831,0.28017867,0.29100618,0.37074699,0.15063446,2.0341049,-6.7202031,0.10017427,-0.021004743,-0.12417495,0.040739821,-0.098553464,-0.14955332,-0.15690873,0.066526439,-0.16746536,-0.096737585,-0.093632912,-0.074109083,-0.1480513,-0.13259,-0.13521099,0.028958621,-0.19507054,-0.019117967,-0.12456038,0.13783451,-0.22052384,-0.11804373,-0.1091162,-0.035362359,-0.13787663,-0.15811706,-0.093597671,0.012542091,-0.32513393,-0.057914024,-0.11820393,0.024858084,-0.19221947,-0.15086798,-0.086053535,-0.017771668,-0.25257699,-0.043581583,-0.16256165,0.044175015,-0.29106644,-0.14387773,-0.1683084,-0.019619369,-0.22212705,-0.1451846,-0.15367822,-0.044109392,-0.40818995,-0.030278143,-0.15196018,0.093409498,-0.33155975,-0.05119605,-0.10560706,0.017729529,-0.29466001,-0.09408623,-0.10108711,0.018687927,-0.40466519,-0.16737317,-0.15231321,-0.041401912,-0.34755591,0.24296133,0.24899956,0.25076249,0.23876724
-19631.397,0.93252323,0.007458878,10,1023,0,19684.132,-0.17118563,-0.060518215,-0.079436857,-0.11007733,-0.16731893,-0.049590593,-0.12741119,-0.093822932,-0.250276,-0.0027948739,-0.041721904,-0.026864936,0.044453071,-0.37381328,-0.070378524,-0.63132493,0.12658068,0.21285672,0.10381072,0.091272907,0.12925911,0.089746397,0.09072736,0.16695824,0.21610187,0.34923038,0.10399974,0.32528038,0.26652224,0.89369611,0.39802394,1.2328438,0.65218635,-0.015744971,1.6041955,0.4254413,-0.053477499,-0.55222167,0.5933978,-0.50444021,-0.67570072,-0.98927258,0.83579446,-0.25248957,0.11344811,0.12329061,1.5707655,-0.7803086,1.2135414,0.23825041,2.2164992,-0.34602439,-0.35030708,-0.96064107,0.93639826,-1.6009901,-0.1260144,0.22541889,1.7757631,-2.2431334,-0.034739167,-0.40099731,0.87866781,-0.71007709,0.65124744,0.8649955,1.1145348,-0.083655234,-0.18071305,-0.29901068,0.086718901,-0.89135504,-0.84715797,-0.9977668,0.13043714,-1.8355306,-0.30572246,-0.45631739,-0.062369499,-1.0366488,-0.19409891,-0.40228594,0.13897671,-1.4371839,0.37043001,0.29199189,0.45862762,0.073245719,-0.057757195,-0.23657503,0.31678685,-0.92022887,0.39285997,0.38706641,0.49903091,0.16964019,0.52474387,-0.64580165,0.2286964,-0.088631434,-0.17317864,0.031874534,-0.11733298,-0.07190126,-0.17806231,0.065790493,-0.1678917,-0.14958184,-0.18213396,0.00732757,-0.10564798,-0.099722593,-0.09882424,0.033291002,-0.18129837,-0.010457641,-0.13652289,0.1191838,-0.21204574,-0.081029391,-0.13580467,0.034447776,-0.19327369,-0.13884414,-0.10695953,0.03369911,-0.33092476,-0.099622922,-0.16077274,0.052877902,-0.21237615,-0.10954021,-0.063348855,-0.0094229378,-0.26835405,-0.065905361,-0.10721849,0.027490001,-0.31408314,-0.12982612,-0.1454894,-0.028156474,-0.23261662,-0.12631045,-0.17529603,-0.04715251,-0.36406644,-0.0072786045,-0.062765078,0.081493454,-0.33858841,-0.042761415,-0.11286126,0.036060442,-0.30835386,-0.093367271,-0.16454105,0.055710226,-0.43665164,-0.14698995,-0.15413251,-0.016097771,-0.42218508,0.24641261,0.26206429,0.24796819,0.24584228
-19618.956,0.9786671,0.007458878,10,1023,0,19670.563,-0.041314193,-0.029675829,-0.12530238,-0.020499145,-0.051292169,-0.041833477,-0.14177114,-0.11174706,0.055423205,-0.073297288,-0.14711239,0.066943635,-0.13094536,-0.063429487,-0.12445853,-0.28371752,0.075517852,0.081400419,0.045866307,0.14464286,0.21821679,0.082401346,0.37036322,0.072109568,0.27566542,0.52182186,0.16545529,0.46287341,0.34942209,0.5022295,0.74316034,1.0568564,-0.45930811,-1.1434936,1.0106995,-0.86130241,-0.50341734,-1.2491885,0.88381901,-1.4626768,0.34947491,-0.2258198,1.7851812,-0.55697877,-0.70315602,-0.44387017,0.46574447,-1.1825825,0.14811112,-0.35426767,0.58694128,-0.70315044,-0.42283201,-0.9988126,-0.074264914,-1.3264066,0.026824655,0.010113928,0.39284509,-0.40821442,0.03686475,-0.73996168,1.8806228,-1.1591826,-0.41931573,-0.61663447,-0.083724489,-1.0654303,0.048109083,-0.13788429,0.26546623,-0.41474388,0.19498624,-0.19522938,0.93573214,-0.45231722,-0.4704284,-0.44278677,-0.219374,-1.0421357,0.28266149,0.083602232,0.70483354,-0.54538821,0.018109753,-0.10027413,0.15516859,-0.54320473,0.046957824,-0.049606115,0.26475254,-0.40114924,0.12392124,0.1051265,0.25253345,-0.089307199,1.4922136,-4.7407954,0.11826331,-0.076000155,-0.12766837,0.035011662,-0.1063579,-0.07065421,-0.1313603,0.042267409,-0.14873833,-0.10927326,-0.1356599,-0.043422715,-0.15084894,-0.12220564,-0.084701796,0.046867469,-0.19155127,-0.018971835,-0.12859932,0.076788275,-0.2047314,-0.076675403,-0.12413698,-0.047953006,-0.15113116,-0.13183627,-0.13802531,0.0037242353,-0.29295874,-0.10908876,-0.16510537,0.023863839,-0.19533521,-0.060167641,-0.1145616,0.032343259,-0.23827909,-0.048192917,-0.14524833,0.065228796,-0.28971971,-0.11485088,-0.17941412,0.0077094468,-0.22195066,-0.15080516,-0.13801059,-0.034598757,-0.41543326,-0.03217719,-0.10173289,0.11533905,-0.32151604,-0.054334235,-0.11379011,0.014500755,-0.33624293,-0.08956134,-0.16132383,0.072295052,-0.42257674,-0.15275057,-0.1726139,-0.016825941,-0.3781024,0.24115122,0.25815186,0.25686069,0.23958303
-19618.15,0.92056161,0.007458878,7,198,1,19662.753,-0.044963345,0.0060171522,-0.095898914,0.074510686,-0.042079761,-0.047043591,-0.18175768,-0.11443155,0.0080095724,-0.19882351,-0.16314466,0.012092946,-0.17488988,-0.0012896028,-0.2215104,-0.32646331,0.096390834,0.13470387,0.037847218,0.18260001,0.1349315,0.13573444,0.34432933,0.076339466,0.27522973,0.70989897,0.15734526,0.3820002,0.43754215,0.47814676,0.7540306,1.0617039,-0.28902884,-1.1758912,1.39975,-0.66394018,-0.89875188,-1.0373696,0.42989052,-1.1558171,0.44440185,-0.14896291,1.8196613,-0.25777202,-0.80161877,-1.1121402,-0.011968995,-1.4056732,0.33087585,-0.45567849,0.88643221,-1.3444736,-0.68155922,-0.37890384,0.38870277,-0.80686075,-0.043985174,0.11066303,0.70238355,-0.3822893,0.36100452,-0.57711829,1.9974231,-1.310558,-0.33815939,-0.28753345,-0.1169172,-0.95536757,0.23444998,0.13218018,0.36097154,-0.14587685,-0.003725728,0.28498197,0.85761199,-0.3846337,-0.50049505,-0.42883748,-0.062077768,-1.1215747,0.31191007,0.14269182,0.63495399,-0.38695186,-0.132907,-0.18352273,0.16316906,-0.67618355,0.20446642,0.12232965,0.27690537,-0.28407291,0.18775143,0.18521167,0.24380278,-0.065083208,1.9235843,-6.3059022,0.090293058,-0.072823076,-0.15830848,0.089959724,-0.10896109,-0.1150482,-0.13372055,0.063925067,-0.14967588,-0.07907954,-0.10153675,-0.027029794,-0.10565487,-0.071864909,-0.12856612,0.072325148,-0.18216526,0.0025658133,-0.10356514,0.077527865,-0.2234916,-0.13955465,-0.098473893,0.0057167636,-0.15656239,-0.19690307,-0.14365315,0.060093577,-0.3133911,-0.086872659,-0.15848845,0.038050661,-0.21447885,-0.085061946,-0.071128182,-0.024169516,-0.25493599,-0.032387713,-0.10498893,0.057429818,-0.30238133,-0.16373088,-0.1183041,-0.028203479,-0.22366494,-0.17909626,-0.15172306,-0.011620774,-0.41634881,-0.038416079,-0.11245619,0.10292925,-0.34419763,-0.064838654,-0.089040403,0.076729156,-0.32460458,-0.067336466,-0.1292701,-0.012715282,-0.43571007,-0.12712688,-0.12982337,-0.067616954,-0.39556241,0.25698165,0.25024374,0.25348622,0.24184343
-19621.62,0.89092689,0.007458878,10,1023,0,19662.025,-0.13257101,-0.19807042,-0.072639352,-0.2119788,-0.10072473,-0.13848566,-0.10429951,-0.095345649,-0.13695327,-0.10918086,-0.1128544,-0.27654959,-0.18925718,-0.2033901,-0.0087714518,-0.017994407,0.078598536,0.20406196,0.052575527,0.12329915,0.30394439,0.1008453,0.22556607,0.077931361,0.12800372,0.37083794,0.15052954,0.18228303,2.4889941,0.31730087,0.76010278,0.28528029,0.85519753,-0.13646354,1.3097633,0.36897635,0.70477982,0.28063722,1.1350771,0.23859286,-0.31624831,-1.2334897,1.2522348,-0.49987737,0.6758318,0.70143574,2.3382407,0.1697368,0.27803372,-0.048341729,0.69104722,-0.39488793,0.31076582,0.37384345,0.8098055,-0.17430042,-0.22789859,-0.16182631,0.69974161,-1.0564494,0.26832015,-0.56930111,1.0017543,-0.95609129,0.43323147,0.35510259,1.2076541,-0.87661182,0.17041835,-0.053460135,0.45362476,-0.4772499,-0.040875057,-0.38963259,0.80566978,-0.64920572,0.87713179,0.77427585,1.1459964,-0.49704202,0.064051116,0.03658154,0.10662289,-0.058932528,0.38042776,0.33622848,0.77289898,-0.48952835,-0.070998093,-0.13938743,0.037133474,-0.53547954,-0.41986651,-0.49774887,-0.077537545,-1.3385964,0.83278552,-2.1402067,0.04761504,-0.065353741,-0.14329685,-0.029625537,-0.10357001,-0.054251675,-0.14080304,0.03355563,-0.1493827,-0.089266273,-0.13749072,-0.0068024488,-0.098920668,-0.12864931,-0.12549236,0.076324299,-0.19105039,-0.016217942,-0.11541793,0.1093152,-0.22074871,-0.10714638,-0.1007853,-0.056820578,-0.15606303,-0.1557057,-0.14080204,0.053538452,-0.34259866,-0.074435095,-0.13971206,-0.017277576,-0.16985514,-0.081498025,-0.091498812,0.017630948,-0.24916284,-0.045983266,-0.1290059,0.059040418,-0.28616323,-0.1190073,-0.17150561,0.0084227003,-0.21057903,-0.11666336,-0.13541225,-0.067653898,-0.36715192,-0.029834333,-0.098205945,0.076126551,-0.33593989,-0.082680041,-0.09670451,0.04185142,-0.35871787,-0.0627373,-0.11472022,0.019453805,-0.41579094,-0.13777405,-0.15999235,-0.04011434,-0.39986958,0.24013568,0.2504901,0.26788529,0.23983257
