# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:24:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc1d656290.json
# init = 2 (Default)
# random
#   seed = 184410057
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200024-1-110336.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200024-1-2539b2.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00370545
# Diagonal elements of inverse mass matrix:
# 0.0116638, 0.00844296, 0.00319351, 0.00635682, 0.0362588, 0.0030696, 0.0145091, 0.0112882, 0.0090746, 0.0112076, 0.00676941, 0.0215498, 0.0229023, 0.0209187, 0.0401941, 0.0278899, 0.40338, 0.341667, 0.910115, 0.242144, 0.606932, 0.434318, 0.29965, 0.275479, 0.286644, 0.277686, 0.353495, 0.303539, 0.314827, 0.264211, 0.356171, 0.33993, 0.314141, 0.242658, 0.478217, 0.254074, 0.234664, 0.249778, 0.253585, 0.412086, 0.228977, 0.192702, 0.219081, 0.262936, 0.222251, 0.220332, 0.2738, 0.251891, 0.399629, 0.255157, 0.410594, 0.241561, 0.272515, 0.33649, 0.257519, 0.372087, 0.228776, 0.185387, 0.219807, 0.258218, 0.216754, 0.198411, 0.260193, 0.245755, 0.5039, 0.439142, 0.751684, 0.446861, 0.365643, 0.457298, 0.394378, 0.659188, 0.337491, 0.321281, 0.441003, 0.319521, 0.341559, 0.317558, 0.367113, 0.371979, 0.322898, 0.292367, 0.435545, 0.370817, 0.519036, 0.414027, 0.437247, 0.450492, 0.363072, 0.377069, 0.277021, 0.505258, 0.515956, 0.399374, 0.516415, 0.441858, 17.0238, 278.044, 1.20979
-19640.869,0.99345989,0.0037054487,10,1023,0,19694.378,-0.031087797,-0.078842337,0.041013407,-0.047651776,-0.083115601,0.15120252,-0.31024772,-0.12731445,-0.033064122,-0.2320093,-0.14073373,-0.16969426,-0.1256275,-1.4771633,-0.34357039,-0.064854273,0.078531437,0.068758754,0.16566105,0.068827419,0.23107968,0.1857037,0.14352209,0.12050644,0.14125832,0.29580368,0.10679078,0.15436417,0.2000893,1.3023862,0.23625176,0.26384518,-0.24005543,-1.564844,0.66351106,-0.99553197,-0.47466997,-0.98626954,1.9382092,-0.95808241,-1.0907569,-0.86228713,-0.59769641,-0.75542515,-0.90856648,-0.63116534,0.71394982,-2.1890576,0.21769816,-0.20919946,0.72178613,-0.75478651,-1.3586106,-1.4230725,-0.60553491,-1.7223897,1.2338856,1.4167113,2.0242859,0.02641705,-0.034515183,0.0090436716,1.1703116,-0.65757336,-0.37670408,-0.36800995,0.24445532,-1.3510631,0.60796805,0.32735305,0.95343789,-0.27624651,0.3079097,-0.22078131,0.9827958,-0.75020417,0.47340337,0.17915671,1.1448405,-1.3276754,0.36005619,0.17670697,1.0462619,-1.1977493,1.0929375,1.0454538,1.1527051,0.88985122,0.94208705,0.96754135,1.6157845,-0.27728965,-0.34381322,-0.31422052,0.25558502,-1.2532939,-1.1333684,6.0425772,0.064304785,-0.049939695,-0.15397724,0.02101868,-0.10926835,-0.11148005,-0.146657,0.054426516,-0.14471889,-0.13968254,-0.10183399,-0.058001609,-0.084131118,-0.11018606,-0.091093257,0.001487548,-0.19831896,-0.032809979,-0.13145735,0.08367451,-0.25753143,-0.1010965,-0.1130673,0.038752452,-0.16865162,-0.13315789,-0.10691835,-0.019717978,-0.30645629,-0.13147375,-0.12622463,0.01371563,-0.20655627,-0.086276706,-0.085048588,0.0014672254,-0.22391302,-0.05217012,-0.13517707,0.050021131,-0.31372404,-0.10785182,-0.16431114,-0.035780202,-0.22084863,-0.09661774,-0.14203888,0.0070280923,-0.37463976,-0.053584111,-0.090270328,0.083718299,-0.36528432,-0.053736717,-0.11557876,0.02410387,-0.31823342,-0.12100067,-0.11498705,0.038161534,-0.40908056,-0.15556773,-0.14775984,0.0025806033,-0.39552982,0.24794763,0.25322219,0.25242065,0.24653789
-19635.842,0.87931773,0.0037054487,10,1023,0,19694.567,-0.051156629,-0.094854432,-0.10888261,-0.069718934,-0.046317228,0.022570803,-0.20965164,-0.14679956,0.30707495,-0.27069741,-0.033100404,-0.241257,0.027391905,-1.0942282,-0.25681242,-0.17679218,0.089262158,0.34539781,0.015193152,0.077283127,0.13163991,0.35009392,0.35425358,0.10512897,0.86426954,0.54968776,0.14277933,0.24678227,0.33899029,2.1007131,0.21929571,0.14973881,-0.13726161,-0.97435685,0.99277921,-0.65335812,-0.074151387,-0.085500207,0.45464084,-0.15098775,-0.75116348,-2.2406892,1.0935951,-0.68364406,0.14402763,-0.41720242,1.1555014,-1.4268144,0.605963,-0.25922327,1.0516606,-1.1769429,-0.45774998,-0.48061344,-0.032902792,-0.54889598,0.22641676,0.20900287,0.71359751,-0.47184064,0.99846908,0.050843425,1.1765503,-0.40043748,-0.38908095,-0.44398561,-0.31192241,-0.65751149,0.40815338,0.27032335,0.53219224,-0.07504962,-0.51673914,-0.90650875,0.30379296,-1.5191176,0.52766059,0.4988396,0.82291281,-0.62232089,-0.17002604,-0.54444265,0.1464315,-1.1563758,0.48401063,0.47141796,0.55627779,0.35740137,0.7710343,0.36724477,1.2032117,-0.64015092,0.25637749,0.2463124,1.0645869,-1.2770934,2.8043954,-10.448264,0.06973573,-0.063408897,-0.13812982,0.037460985,-0.10947679,-0.12046616,-0.12438602,0.06217752,-0.14700527,-0.12029515,-0.14292574,-0.092267452,-0.11926932,-0.058588029,-0.10196164,0.01958183,-0.17998761,0.033451688,-0.080441357,0.092123276,-0.20124989,-0.13768468,-0.14568904,0.011051735,-0.16959434,-0.1294427,-0.13561163,0.043142826,-0.37680288,-0.041831537,-0.14145444,-0.02311004,-0.18889714,-0.029195866,-0.076648295,0.037489909,-0.2611922,-0.04634049,-0.12210397,0.021842154,-0.31195126,-0.10688007,-0.16253111,0.010274951,-0.24999899,-0.11103972,-0.11815223,-0.038176707,-0.39483476,-0.03024527,-0.15716886,0.077030761,-0.36460827,-0.077460761,-0.10391434,0.074351814,-0.3434305,-0.087727907,-0.17627722,0.0070467392,-0.39719478,-0.13840252,-0.13990966,-0.017382216,-0.36802262,0.23941886,0.24547004,0.24463139,0.24543081
-19639.349,0.99979937,0.0037054487,10,1023,0,19689.069,0.056491527,-0.037008013,-0.06954799,0.0107368,0.052983024,-0.060115384,-0.20720578,-0.057779756,0.5087285,-0.61337474,-0.10729649,-0.24213219,0.24843442,-1.0033985,-0.095649063,-0.10648385,0.19131924,0.063708265,0.076643471,0.094701178,0.29064128,0.083334955,0.075202466,0.11614001,0.53728983,1.147765,0.14235214,0.260847,0.4148974,1.0443436,0.25413455,0.64050557,-0.48315032,-1.0704717,-0.026745522,-0.85053668,-0.94602602,-1.43044,1.5190636,-1.8953789,-0.17142877,-0.053002473,1.0032685,-0.89977571,-1.332107,-0.95695536,0.16126056,-2.34011,-0.18783644,-0.59193461,0.037444312,-1.0127782,-0.47076623,-0.6110931,0.43297492,-1.2965755,1.2522733,1.5338289,3.1504117,-1.088752,-0.33967826,-0.71777539,0.48475414,-1.0615764,-1.1412193,-1.0224723,-1.0072813,-1.4274927,0.47892951,0.42684137,0.60286319,0.28148592,0.0087473365,-0.38195569,0.63188417,-1.0089231,0.48941059,0.39371673,0.94045817,-0.56817961,-0.63324223,-0.8807787,-0.31995953,-1.3797443,0.91044994,0.85205912,0.97087796,0.64977478,-0.049385053,-0.18123028,0.3679195,-1.2272115,-0.05733364,-0.061132737,0.083562861,-0.38419292,1.9904463,-6.4148635,0.32367552,-0.035944426,-0.1483103,0.051374594,-0.10623251,-0.097277689,-0.12813886,0.059768894,-0.15775931,-0.082686886,-0.073610284,0.007345989,-0.13850992,-0.11541531,-0.079888,0.026008365,-0.21087438,-0.0016099993,-0.11905761,0.063865887,-0.24137212,-0.099346667,-0.1110408,-0.024033439,-0.16816545,-0.11303174,-0.091858067,0.029712951,-0.28908262,-0.097229993,-0.1411422,-0.0014804064,-0.18107124,-0.10443701,-0.040635457,-0.03247352,-0.25824881,-0.06367621,-0.12346115,0.078570536,-0.29029506,-0.10605129,-0.1616687,-0.017346429,-0.25091885,-0.1144709,-0.13943236,0.0031835081,-0.39034014,-0.014296136,-0.11699837,0.11568404,-0.32401789,-0.05257601,-0.11355609,0.010531603,-0.32481044,-0.10819951,-0.14170594,-0.0021480068,-0.4075259,-0.14320637,-0.14563971,-0.052961371,-0.35256155,0.24681691,0.25137585,0.23713242,0.24798256
-19647.996,0.99733185,0.0037054487,10,1023,0,19688.573,0.055022925,-0.039639977,-0.11942444,-0.022422272,0.10420447,-0.050507293,-0.282602,-0.016450383,0.51686118,-0.62919016,-0.12487044,-0.35142387,0.34524658,-1.121658,-0.13289254,-0.051244143,0.16821082,0.065326112,0.025418738,0.077499041,0.22737021,0.11690161,0.088893775,0.16368877,0.55577699,1.1690295,0.1288189,0.28478787,0.70275389,1.1491104,0.22309319,0.61194433,-0.92451389,-1.159425,0.010386147,-0.94053645,-1.1092173,-1.4003404,1.5005143,-1.6012133,-0.29691455,0.10564435,1.5487161,-0.61815639,-1.391888,-1.2448486,0.7462461,-2.4585008,-0.46505304,-1.004716,0.04077125,-1.40769,-0.49394467,-0.85241808,0.83170834,-0.88170081,1.6821633,1.1375101,3.5056022,-0.29989765,-0.14369571,-0.49192804,0.51250619,-1.1878076,-1.0331535,-1.1082876,-1.0439671,-1.3975934,0.48902248,0.42996973,0.60010135,0.25964307,-0.45312939,-0.14458214,0.72504463,-0.80409475,0.80186653,0.60367598,1.1364842,-0.27639028,-0.51178275,-0.6069593,-0.3410075,-1.0046713,0.93886289,0.89580833,0.99505175,0.70999151,0.048375444,-0.03784422,0.52516983,-1.1247061,-0.16646023,-0.17634767,0.056701191,-0.5315405,4.9659658,-18.942481,0.14747444,-0.10049031,-0.14000491,0.056769988,-0.10318548,-0.11210083,-0.13111877,0.058382786,-0.14424102,-0.12697163,-0.1167391,-0.080058034,-0.1351372,-0.13029226,-0.11889685,0.035411084,-0.21295373,-0.0015347414,-0.12423802,0.11347463,-0.21586231,-0.10825022,-0.15015634,0.046720749,-0.15357954,-0.13306815,-0.18148443,0.029024217,-0.30926103,-0.039971758,-0.096973477,0.067441123,-0.21088114,-0.057341744,-0.099099556,-0.06335172,-0.25988905,-0.057508465,-0.12654287,0.072346014,-0.32565976,-0.18324207,-0.14349535,-0.031470985,-0.22845304,-0.12306201,-0.17950427,-0.027766943,-0.43013647,-0.014410738,-0.081296427,0.10560224,-0.36079011,-0.042800892,-0.092275334,0.021766319,-0.30579937,-0.12210031,-0.14133533,-0.01573073,-0.38380682,-0.15310854,-0.1591591,-0.016546171,-0.37651734,0.25112088,0.24623408,0.24934023,0.24978632
-19645.697,0.99180369,0.0037054487,10,1023,0,19699.59,0.0033204334,-0.017362381,-0.15397137,0.031013905,0.093519743,-0.099984602,-0.25757,-0.079521645,0.52969898,-0.58193316,-0.19639459,-0.36257165,0.10356611,-0.91421163,-0.075194517,-0.12869951,0.089497372,0.076284691,0.052384898,0.081637814,0.24505759,0.093002321,0.099405267,0.21064471,0.78358872,2.2777786,0.15205371,0.37404344,0.24330941,1.195901,0.22749973,0.1871898,-0.51839583,-1.372543,0.39529834,-1.3044161,-0.98584708,-1.8028474,1.292555,-1.9330243,-0.33536282,0.29319017,2.768311,0.366981,-1.5649638,-1.9213143,0.12417196,-3.011754,-0.40494822,-0.81252911,0.047597026,-1.1614369,0.085106722,0.17930989,0.97852792,-0.52557629,0.99709917,1.7623315,2.0021262,-0.85556428,0.048688754,-0.18473765,0.4562715,-0.49716386,-0.77904449,-0.75459124,-0.73229477,-0.97947442,0.22751999,0.19958296,0.30585431,0.12840161,0.49609238,0.00055363855,1.0726137,-0.26287269,0.62895514,0.57331498,0.83516357,-0.21538076,-0.640988,-0.88427375,-0.16575708,-1.8321867,0.70220789,0.69398068,0.78764163,0.50971476,0.031186655,-0.12779202,0.6035457,-1.5213453,-0.086120351,-0.1275104,0.4834045,-1.3217122,-2.3042779,10.617489,0.051285531,-0.043074631,-0.11951856,0.038698596,-0.11342138,-0.09256742,-0.15489204,0.081239781,-0.16482254,-0.17153932,-0.13861263,-0.0089536806,-0.13474711,-0.096746322,-0.12583799,0.041151032,-0.21485911,-0.0057158929,-0.10559669,0.10518376,-0.1910992,-0.092069479,-0.083308366,-0.0089792342,-0.14886442,-0.15845309,-0.082384975,-0.058548118,-0.3426176,-0.069265617,-0.11843565,0.016589531,-0.18424658,-0.080751494,-0.061590201,-0.044118941,-0.23780613,-0.063693007,-0.12732737,0.11473523,-0.28946272,-0.12096191,-0.19631041,-0.033299699,-0.23636536,-0.12731511,-0.14812694,-0.050184194,-0.44313341,-0.052392308,-0.11158602,0.063235849,-0.34222215,-0.074440542,-0.084279469,0.027729741,-0.30464327,-0.068099561,-0.10426717,0.062111969,-0.42130017,-0.14482036,-0.15256816,-0.038211119,-0.37611057,0.24721566,0.25948967,0.23839865,0.25275612
-19627.07,0.99302218,0.0037054487,10,1023,0,19686.841,-0.16670711,0.19220533,-0.12515363,0.022824626,0.023481492,-0.032224749,-0.13063115,-0.035294842,0.60652148,-0.56659279,-0.15316833,-0.20374305,-0.079308534,-1.1572909,-0.44226962,-0.16392589,0.18142041,0.48630113,0.028002952,0.17177198,0.15090886,0.15474795,0.10966688,0.40043178,1.1353509,0.41753417,0.09479842,0.18085434,0.23336216,1.5203346,0.48079459,1.3533719,0.44991716,0.22985611,1.088546,0.25865633,-0.63778333,-0.67307105,-0.21065871,-0.74807997,1.2738835,-0.013668385,0.19231676,-0.47939165,-0.58854844,-0.95022718,0.1064854,-1.2812234,-0.27492258,-0.92323575,0.47924243,-1.3983248,-0.40212524,-0.50650205,0.21761641,-0.94535954,-0.017779636,0.6745622,1.0414866,-1.7695924,-0.056876119,-0.10115753,0.22283081,-0.39964197,-0.59179385,-0.63735444,-0.51898758,-0.76310302,1.2157055,1.0383059,1.5287167,0.63960479,0.029287124,-0.017579513,1.4158722,-0.97896269,0.37861615,0.21385037,0.97321383,-1.3062168,0.14476522,-0.13443125,0.61741745,-1.1111047,0.71598108,0.69520931,0.78836012,0.55632927,0.65469783,0.66567257,1.0339835,-0.039627889,0.037922798,0.029829946,0.10558967,-0.14753977,0.18940219,0.4364073,0.087929982,-0.085082962,-0.12500653,0.030777349,-0.11978158,-0.11794942,-0.13510988,0.089761763,-0.1715868,-0.089481133,-0.12553639,-0.11976819,-0.13857801,-0.078271504,-0.14039778,0.041115834,-0.19725366,-0.018006761,-0.11584296,0.09580342,-0.18753811,-0.094452808,-0.11060491,0.0014509449,-0.1785172,-0.13258098,-0.056654014,-0.01641456,-0.32469682,-0.058069848,-0.075801533,0.053933693,-0.19532419,-0.065372206,-0.11709946,0.017288462,-0.25986822,-0.058994189,-0.13306461,0.071698665,-0.29953594,-0.15039195,-0.15483484,-0.01894588,-0.24597244,-0.13526867,-0.16506728,-0.027733101,-0.43997802,-0.04552581,-0.1106797,0.064773336,-0.33859832,-0.068760059,-0.10034011,0.041280294,-0.31148424,-0.12749445,-0.12221785,0.054864052,-0.46132249,-0.11260224,-0.12355488,-0.021023792,-0.36360207,0.24984359,0.25431438,0.24023734,0.24698144
