# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:24:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc1d656290.json
# init = 2 (Default)
# random
#   seed = 184410057
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200024-4-110336.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200024-4-2539b2.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00143252
# Diagonal elements of inverse mass matrix:
# 0.024508, 0.0050133, 0.00225839, 0.010269, 0.0114967, 0.00810399, 0.0275934, 0.0115455, 0.0116874, 0.0458375, 0.00555393, 0.0516994, 0.0391938, 0.021761, 0.0304812, 0.0388783, 0.432898, 0.196308, 0.567078, 0.282103, 0.326081, 0.467265, 0.321786, 0.407641, 0.322975, 0.334506, 0.296595, 0.408769, 0.316943, 0.332952, 0.321454, 0.350306, 0.370021, 0.304957, 0.392796, 0.251573, 0.213997, 0.315483, 0.199342, 0.287596, 0.269488, 0.251735, 0.277912, 0.232475, 0.235406, 0.205256, 0.261837, 0.198366, 0.560238, 0.306017, 0.40913, 0.26632, 0.21143, 0.299347, 0.222391, 0.257566, 0.258948, 0.242898, 0.255963, 0.237034, 0.215274, 0.22091, 0.233574, 0.200047, 0.444513, 0.460623, 0.45961, 0.433636, 0.367399, 0.558241, 0.415942, 0.553016, 0.362281, 0.360172, 0.523689, 0.311353, 0.364978, 0.270375, 0.388098, 0.333584, 0.44144, 0.310102, 0.356786, 0.430129, 0.388359, 0.368396, 0.339855, 0.365431, 0.548719, 0.373198, 0.386322, 0.556294, 0.458893, 0.657699, 0.444479, 0.405527, 15.3583, 248.943, 1.45512
-19646.074,0.99920737,0.0014325203,10,1023,0,19698.771,-0.037115234,-0.35910102,-0.074407298,-0.11209826,-0.53702165,0.040495027,-0.087634973,-0.048942423,-0.10124303,-0.24253639,-0.13363617,-0.12562063,-0.47670588,0.046798645,-0.29340039,-0.12708247,0.094071674,0.62127428,0.058578958,0.092795083,0.64931228,0.37725369,0.20719396,0.074222602,0.095837677,0.28418822,0.08374651,0.13388489,0.68680837,0.11630351,0.43070717,0.15576822,-0.02687555,-1.3131668,0.46689892,-0.90741297,0.3657129,0.31263056,0.72132362,0.33411281,-1.1676052,-0.49789513,1.7716094,-0.73974898,0.057356207,-0.57577603,1.4261103,-0.84704783,0.8411939,0.64429453,0.89680916,0.46906373,-0.31672547,-0.35129003,-0.1266519,-0.4871984,-0.17717298,0.079207508,0.41197736,-1.205557,-0.96639239,-1.1382196,0.84623452,-2.3518968,-0.32673059,0.39321879,1.2966126,-2.0162943,0.6817247,0.49998952,1.1616181,-0.23698212,-0.18040539,-0.063769581,1.1615979,-1.2635892,-0.33490587,-0.32375064,0.64815446,-2.1377448,0.64754135,0.55248516,0.82080357,0.21490825,-0.75908638,-1.2021512,0.25208483,-3.2249334,0.52967735,0.3462521,0.78909692,-0.32938667,-0.0095127477,-0.19315183,0.38134477,-1.7560569,0.91881512,-2.3953988,0.17872652,-0.039643462,-0.16064703,0.0068067292,-0.12247709,-0.131893,-0.16487169,0.089038791,-0.15152532,-0.1428044,-0.10357348,0.029371737,-0.11774102,-0.10677589,-0.16552745,0.020237766,-0.19070013,0.0091758744,-0.1186733,0.045287547,-0.23245281,-0.078990826,-0.092030432,-0.0072848678,-0.14330237,-0.12434414,-0.071223656,-0.0022757531,-0.33741909,-0.12067058,-0.13342404,0.013867305,-0.22350633,-0.13255613,-0.063557853,0.023021313,-0.29447999,-0.048798266,-0.10044526,0.087581781,-0.30988392,-0.14874449,-0.13897665,-0.036356399,-0.23945735,-0.17045946,-0.16896595,-0.038842541,-0.41183236,-0.031969065,-0.097254452,0.087028877,-0.3291051,-0.041485762,-0.093015752,0.076116994,-0.32827241,-0.065264551,-0.14426712,0.046469319,-0.43526959,-0.12856425,-0.15716938,-0.067681067,-0.40062033,0.25244863,0.26367331,0.24135866,0.25210747
-19645.096,0.99898527,0.0014325203,10,1023,0,19697.862,-0.036872042,-0.36308285,-0.090096691,-0.080735897,-0.52561667,0.099158321,-0.02247362,-0.045980407,-0.11416511,-0.24293528,-0.14628674,-0.12002031,-0.70076711,0.059493721,-0.42378846,-0.11962787,0.09899128,0.52112377,0.059457102,0.094776599,0.62060493,0.43112192,0.14921359,0.078623435,0.049720866,0.22516666,0.1179894,0.13307323,0.98081261,0.14404372,0.53202492,0.16162964,-0.090589078,-0.98571886,0.71104416,-0.6898616,0.53518782,0.46784392,0.74396261,0.40695906,-0.41540624,-0.59949266,1.2710762,-0.56850323,0.21625762,-0.52129616,0.94954243,-1.2033383,0.86076496,0.6625896,1.0082276,0.49785296,-0.4631821,-0.58862802,-0.28334878,-0.65887136,-0.80198043,-0.85123913,0.52348585,-1.9324744,-1.0034069,-0.82918992,0.79900547,-2.1660034,-0.59506621,-0.27524396,1.9027948,-2.4230985,0.85496905,0.42356556,1.2401471,-0.42036196,-0.21471238,-0.30533884,1.2030084,-0.83230796,0.07127758,-0.29780887,0.28169051,-2.3170437,0.68080795,0.61803109,0.82680708,0.32337316,-0.75538973,-1.2034535,-0.047638424,-2.4838005,0.58761455,0.47795914,0.89494053,0.030424507,-0.32084121,-0.374761,0.66157286,-1.5401211,-2.1514603,9.929415,0.064831217,-0.045839571,-0.13444961,0.03351513,-0.10516233,-0.08418376,-0.11927827,0.024613742,-0.15100682,-0.11479554,-0.12574079,-0.014522183,-0.12389825,-0.060239735,-0.13014257,0.0092585048,-0.19478421,0.0085783157,-0.11441029,0.10009439,-0.21664666,-0.10052963,-0.15461212,-0.022999547,-0.18489556,-0.14214,-0.14949007,0.055637582,-0.31082507,-0.12487171,-0.11117417,0.016840148,-0.21627903,-0.14375232,-0.12785048,-0.019556506,-0.23464366,-0.050424758,-0.14756244,0.036304492,-0.33758678,-0.17162053,-0.18231349,-0.0043445005,-0.24449025,-0.11053517,-0.1596507,-0.082534843,-0.42835679,-0.033022082,-0.094594421,0.1101757,-0.38359864,-0.049315429,-0.1138562,0.052631705,-0.29828216,-0.11116287,-0.16950229,0.052342205,-0.40760186,-0.17148532,-0.18020035,-0.012698084,-0.36855709,0.2430839,0.24503173,0.24156392,0.24344952
-19647.551,0.99694912,0.0014325203,10,1023,0,19696.112,-0.084734041,-0.31200141,-0.083734291,-0.063764953,-0.56037127,0.035832911,-0.010228081,-0.068934198,-0.093077248,-0.21517107,-0.15699609,-0.10008464,-0.72695265,0.04155488,-0.41639027,-0.07724616,0.12261515,0.42151249,0.061702822,0.087052232,0.64345203,0.33289271,0.1352153,0.064757695,0.063389729,0.22079506,0.14123725,0.092246875,1.1905402,0.14232117,0.72336821,0.1723244,-0.45287856,-0.8675424,1.231544,-0.18678813,0.50403138,0.44369055,0.8327983,0.39462898,0.19391714,-0.5149244,1.3538204,-0.95798232,0.15110517,-0.73254074,1.294441,-1.508485,0.85191556,0.68501725,0.97536393,0.49329999,-0.40057505,-0.54398887,-0.10867113,-0.60000117,-0.79221007,-0.80871775,0.46624396,-2.108026,-1.0213691,-0.66755823,1.071888,-1.9780161,-0.27125012,0.023903245,2.3292086,-2.6360723,0.86284217,0.46200007,1.3827439,-0.24698318,-0.10934353,0.090172198,0.98072218,-0.60147436,-0.22987126,-0.56597031,0.60224945,-2.9301248,0.60009671,0.53028575,0.66741234,0.32032781,-0.65751399,-1.0711372,-0.050405767,-2.5996163,0.4133752,0.34169667,0.66107611,-0.037852208,-0.25587002,-0.28205245,0.18641235,-1.9663664,-1.6018242,7.444473,0.081952915,-0.14026381,-0.19110788,0.066271908,-0.1076371,-0.099545891,-0.1249803,0.039033472,-0.14566037,-0.071769056,-0.11550658,-0.00019975202,-0.1428445,-0.050610911,-0.12753426,0.048919026,-0.19508194,-0.012204466,-0.11959553,0.067228636,-0.24295638,-0.097515601,-0.14525702,-0.00034291759,-0.1639031,-0.11734701,-0.1195791,0.052815237,-0.29526546,-0.1350757,-0.11216373,0.00047879705,-0.19702596,-0.11027172,-0.091562027,0.054570656,-0.26017716,-0.024659778,-0.11316373,0.090131944,-0.26970373,-0.17243947,-0.14426042,-0.018481588,-0.24194667,-0.12128955,-0.15229364,-0.044529014,-0.3703795,-0.012513401,-0.095626151,0.067628562,-0.34558952,-0.052023283,-0.11089062,0.034381072,-0.32842556,-0.11736779,-0.16921776,0.061811177,-0.44377135,-0.12133881,-0.12585068,-0.045122764,-0.41609908,0.24974111,0.25040385,0.24041114,0.24718265
-19644.604,0.98416401,0.0014325203,10,1023,0,19706.403,-0.012075451,-0.30473955,-0.075524599,-0.069945612,-0.51975759,0.010235589,0.023505963,-0.063795052,-0.093109482,-0.23548826,-0.15726298,-0.088814466,-0.88130995,0.07400377,-0.44509229,-0.10039729,0.090819247,0.63127583,0.060542628,0.079785014,0.61779553,0.31517808,0.15170431,0.062426392,0.056318243,0.21262513,0.15971421,0.11904941,1.6931663,0.17503662,0.59911995,0.17980396,-0.61356644,-0.98829497,0.51678857,-0.90971839,0.31381248,0.2925356,0.59834936,0.25737478,-0.62311784,-0.85765334,1.3743296,-0.63634208,-0.27781778,-0.75665392,1.4071512,-1.3682574,0.81916025,0.60054654,0.99077232,0.4570932,-0.32103462,-0.46473671,0.011078088,-0.51466183,-0.9056705,-0.84210959,-0.045711648,-2.3122686,-1.1028583,-0.16601076,1.4728894,-2.4748683,-0.41615216,-0.62354141,1.7694654,-2.4182603,0.96329735,0.63582557,1.3512578,-0.29998369,0.30990612,-0.11971426,0.6947377,-0.42311131,-0.26105908,-0.39708449,0.48125366,-2.7872657,0.48667062,0.45116802,0.57439861,0.28465206,-0.82121849,-0.97919016,-0.24650854,-2.055971,0.64138912,0.55441596,0.83145255,0.0060455104,-0.31289098,-0.32757327,0.31958118,-1.6710492,1.3299285,-5.1736966,0.34972796,-0.067799093,-0.10183166,0.034858897,-0.09469539,-0.10663731,-0.12006889,0.072983946,-0.14226507,-0.11324979,-0.12744919,0.0076809268,-0.11405042,-0.092111307,-0.13031525,0.04232397,-0.17911205,-0.013684045,-0.14874262,0.092337129,-0.23736745,-0.090947484,-0.13623923,0.01372716,-0.15197454,-0.11388816,-0.10424569,0.016571308,-0.32727515,-0.13264252,-0.074158505,0.028152121,-0.21829215,-0.11654644,-0.12822624,0.0065436995,-0.22930166,-0.030667032,-0.10029576,0.051823101,-0.29927233,-0.10776657,-0.17638305,-0.046303498,-0.22483987,-0.1198934,-0.13608714,-0.031521502,-0.4206368,-0.057295669,-0.11740748,0.091242394,-0.39934669,-0.06973954,-0.097390368,0.030855748,-0.28586644,-0.060823272,-0.11293062,0.053047523,-0.4414703,-0.15665633,-0.15929626,-0.042935331,-0.40085855,0.24958271,0.24647238,0.24322533,0.24740622
-19639.939,0.99985931,0.0014325203,10,1023,0,19693.423,-0.048968494,-0.20991625,-0.080349279,-0.0094346345,-0.55045447,-0.0087470863,0.064153761,-0.072839813,-0.11515377,-0.22479193,-0.17460908,-0.10139827,-0.68837294,0.060420307,-0.4266706,-0.15115263,0.067741039,0.37403505,0.036553988,0.15453956,0.62625114,0.53436252,0.22504238,0.06218148,0.085383493,0.21132627,0.052760934,0.16490276,1.2282488,0.14157211,0.92001033,0.16227826,0.20441532,-1.7034909,1.3249534,-0.72758945,0.22734198,0.097410142,0.69944378,0.13390078,-0.68494439,-1.6138045,1.3757377,-0.82905211,-0.68362651,-0.5707201,0.29825309,-1.0320266,0.82450239,0.70075027,1.0061224,0.50358484,-0.11525928,-0.18683065,0.026767804,-0.27008892,-0.8244072,-0.71715264,-0.10431529,-1.7629449,-0.38013521,-0.47881921,1.8379395,-2.3500004,-0.12508496,0.40288276,0.87745176,-1.6285115,0.87535848,0.57504335,1.0951872,-0.3858323,0.061114456,0.31109925,2.468648,-1.1452839,-0.23484005,-0.38692671,0.5186446,-1.5524108,0.54611842,0.46987767,0.67946513,0.29077095,-0.65834083,-1.1046534,-0.35452573,-2.8287863,0.34435185,0.30069895,0.49293711,-0.04636487,0.19611342,-0.02898341,0.972636,-1.3079808,-2.5525367,11.234396,0.27291179,-0.035121187,-0.16436474,0.040785225,-0.098256159,-0.12488238,-0.17348144,0.051700238,-0.15983266,-0.10538673,-0.13934027,-0.030060579,-0.11065444,-0.11508198,-0.09763347,0.036657268,-0.16892358,-0.034108914,-0.11160882,0.079630845,-0.23508389,-0.070337326,-0.10858238,0.0055566252,-0.15307248,-0.12137279,-0.097235973,0.040678402,-0.33258355,-0.096477183,-0.1026135,0.041445986,-0.21896632,-0.12583396,-0.080754236,-0.040233878,-0.25420178,-0.039805683,-0.10327016,0.0066498933,-0.30632843,-0.17138462,-0.15819519,-0.0443609,-0.23503533,-0.14012404,-0.16520355,-0.015872345,-0.35739509,-0.017603645,-0.11124625,0.14617929,-0.33123387,-0.032782395,-0.095967814,0.01022935,-0.34005695,-0.10986334,-0.15002446,0.026836639,-0.46932676,-0.11932768,-0.155856,0.0066850532,-0.36340948,0.25387147,0.25681088,0.24303282,0.2479001
-19638.231,0.99943263,0.0014325203,10,1023,0,19687.838,-0.028606427,-0.21956097,-0.051178274,0.010034279,-0.50661945,-0.036319738,-0.02879475,-0.07030375,-0.10850652,-0.21484379,-0.16025735,-0.095714404,-0.69376035,0.011377553,-0.3594508,-0.13634768,0.070473265,0.34773707,0.079968363,0.19749267,0.68272706,0.57357808,0.20210553,0.068365453,0.090825459,0.26963834,0.062488829,0.36936606,0.79355442,0.13669097,0.8516308,0.13912209,-0.54012879,-1.6092727,0.47724902,-1.1019235,0.23733683,0.21152961,0.79885505,0.22750016,-0.73117282,-1.4977256,1.3787953,-0.88165372,-0.50211261,-0.71573104,0.45188014,-1.1863944,0.74854067,0.58202627,0.81916947,0.38732731,-0.1616235,-0.10668307,0.11672663,-0.20706455,-0.59159667,-0.46050137,0.27698203,-1.4486142,-0.3582976,-0.80282019,1.1809086,-1.9286674,0.15220995,0.35378705,1.1195038,-1.797255,0.57275323,0.23014678,1.1732551,-0.37687897,0.15364743,0.21698635,2.5902993,-1.2296658,-0.071940041,-0.13559447,0.064891597,-0.73122539,0.85922104,0.71570673,0.97443227,0.4200866,-0.75446932,-0.89700028,0.39256773,-2.2578775,0.2983168,0.2380451,0.45630584,-0.043417723,0.078232473,0.071918522,0.47183678,-1.6625517,-3.6530337,14.747099,0.24036261,-0.066671066,-0.14201713,0.00502687,-0.10626257,-0.13703015,-0.14600428,0.058230546,-0.14045073,-0.10964897,-0.17094894,0.05908173,-0.12168268,-0.089129278,-0.13131735,0.099277294,-0.22426992,0.0044295146,-0.10925437,0.052649708,-0.24218062,-0.12902343,-0.097510807,0.030632097,-0.15508743,-0.14835971,-0.12186463,0.02718485,-0.3215677,-0.094798928,-0.12518892,0.010429604,-0.20215797,-0.094681981,-0.076373649,-0.0068270713,-0.27174303,-0.060407556,-0.15278739,0.10151077,-0.31646481,-0.1506561,-0.14669813,0.0016074214,-0.23709773,-0.12228661,-0.1457984,-0.07174565,-0.36580425,-0.011921694,-0.12580812,0.079504681,-0.36039877,-0.091751591,-0.11123428,0.065038017,-0.29725391,-0.10539502,-0.15672426,0.029153314,-0.39642667,-0.12546381,-0.12634222,-0.07070476,-0.36764534,0.24407727,0.25800515,0.24547354,0.250129
