# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:40:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc1898b691.json
# init = 2 (Default)
# random
#   seed = 1400754611
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200040-1-7e937d.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200040-1-8e358b.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00548931
# Diagonal elements of inverse mass matrix:
# 0.0166461, 0.0124271, 0.00368727, 0.0117414, 0.0311303, 0.00786061, 0.0150781, 0.00857418, 0.0148659, 0.0396008, 0.0196539, 0.0295451, 0.050613, 0.0326923, 0.041287, 0.0300187, 0.395217, 0.355811, 0.844928, 0.323407, 0.372261, 0.459109, 0.269721, 0.362994, 0.343171, 0.375327, 0.484072, 0.300169, 0.361421, 0.355509, 0.32909, 0.296982, 0.353708, 0.335747, 0.416163, 0.236267, 0.253695, 0.337734, 0.281451, 0.23154, 0.250697, 0.237654, 0.279942, 0.250964, 0.282408, 0.287088, 0.265644, 0.254722, 0.430751, 0.357056, 0.371218, 0.229895, 0.28607, 0.31446, 0.285525, 0.223227, 0.255594, 0.233018, 0.283253, 0.251298, 0.254589, 0.276533, 0.253951, 0.248557, 0.554641, 0.576587, 0.535673, 0.49958, 0.373263, 0.626462, 0.480231, 0.471521, 0.356759, 0.357585, 0.474714, 0.354253, 0.416, 0.4108, 0.369935, 0.338, 0.339431, 0.37124, 0.436352, 0.321101, 0.482396, 0.414588, 0.437511, 0.359658, 0.491085, 0.463207, 0.516298, 0.515371, 0.458982, 0.552976, 0.549657, 0.495863, 7.7689, 120.809, 0.765139
-19624.709,0.51864527,0.0054893085,10,1023,0,19668.869,0.020082201,-0.16633086,-0.12212408,-0.059763382,-0.007093991,-0.051335919,-0.24071279,-0.086543905,-0.36084619,-0.17797085,-0.28692352,-0.22419676,-0.034598992,-0.25016179,-0.25697753,-0.032221218,0.096784502,0.20670483,0.0855732,0.16871629,0.87852404,0.17412673,0.22053889,0.10875824,0.25471373,0.4305893,0.32431909,0.12998178,0.24644727,0.23728258,0.49450284,0.37783709,-0.64124548,-2.1644021,-0.16749868,-1.7136968,0.59096703,0.221767,1.0892251,0.0083681382,0.23458638,0.26152295,0.80419628,-0.23044334,0.083826693,-0.33648194,0.75339416,-0.83158111,0.012230695,-0.15485431,0.060569177,-0.24052062,-0.42328673,-0.38764429,0.21002726,-0.53612069,0.38407926,0.59137873,1.3211493,-0.37308059,0.068275156,-0.16330025,1.4782432,-0.90421354,0.98971076,1.0706163,1.4605691,0.34069034,0.28197187,0.16818174,0.59587605,-0.37028064,0.39208791,0.39815569,0.84041797,0.1512312,0.72648332,0.4830773,1.6633455,-1.0230998,-0.003986371,-0.23587733,0.53200116,-1.3328135,0.75169327,0.51900252,1.2537807,-0.31903022,0.44188013,0.19855621,0.59043161,-0.32530044,-0.35366788,-0.29660222,0.12828183,-0.9309103,-0.64836201,4.0310068,0.078159329,-0.041980424,-0.18939838,0.0038709241,-0.14577709,-0.044175122,-0.12049055,0.058817222,-0.16460113,-0.10204977,-0.099744724,-0.05330643,-0.14184385,-0.045620453,-0.11653337,0.067346489,-0.20006466,0.0036509683,-0.14313722,0.046117487,-0.21839714,-0.12504146,-0.11883515,-0.014764558,-0.14468886,-0.15600838,-0.11029078,0.05065201,-0.32299157,-0.079118419,-0.10430415,0.074227221,-0.18488458,-0.10875327,-0.088145512,0.011180818,-0.27406768,-0.056556781,-0.1055536,0.078606999,-0.33740973,-0.15976192,-0.15779403,-0.014359925,-0.23787635,-0.12976717,-0.16140552,-0.0079921592,-0.35718109,-0.035581423,-0.092730318,0.096511243,-0.36306724,-0.071798078,-0.12701154,0.047338516,-0.32586211,-0.038466552,-0.15879092,0.034992571,-0.41783952,-0.16585006,-0.14428854,0.016248416,-0.38395366,0.2524974,0.25311835,0.23571841,0.26720451
-19633.134,0.97266946,0.0054893085,10,1023,0,19678.144,-0.051553208,-0.19599438,-0.11688153,-0.07195689,-0.22939876,-0.27535228,0.015838811,-0.043595278,-0.20071572,-0.058652381,-0.15277908,-0.32521464,-0.13580693,0.047646841,-0.31764625,0.098385959,0.059686896,0.09700493,0.044320468,0.08957209,0.29560842,0.28638854,0.37206569,0.14445937,0.24502459,0.092252869,0.065154863,0.28784509,0.65919253,0.36124174,0.1895993,0.2311431,0.71020508,-1.1466115,1.7264309,-0.81504213,1.2560517,0.3009556,2.7429464,0.36156113,0.15958529,0.35560282,1.5716906,0.16412421,-0.21597917,-0.23933444,1.5905818,-1.0210844,0.78453833,0.41015164,1.0362799,0.0095863158,0.57352451,0.47330687,0.91400786,0.45891758,-0.36654134,-0.35895499,0.076598143,-0.93605299,-0.48156493,-0.49674503,0.35718181,-1.1486895,0.41217054,0.43848441,0.7252589,-0.15910252,-0.071729834,-0.61048221,0.94421106,-2.7697116,-0.15541774,-0.60791706,1.4687904,-1.4687342,0.71066925,0.58618159,1.272668,-0.25475408,0.15391838,0.039828614,0.36335135,-0.33796616,-0.28665539,-0.3738204,-0.062585151,-1.0296254,1.1793311,0.96077722,1.7876638,-0.51394388,-1.0118597,-1.068637,-0.40236677,-1.985229,0.52224775,-0.85445702,0.051617208,-0.0091632717,-0.11999089,0.051492094,-0.10020054,-0.074151175,-0.1668002,0.070084941,-0.16092117,-0.10980864,-0.10112105,-0.047223467,-0.10960747,-0.091302595,-0.093394576,0.070514843,-0.16341756,0.0025173773,-0.10815448,0.076934304,-0.22656497,-0.11110143,-0.13980262,-0.013590903,-0.14392354,-0.12053865,-0.11771602,0.044338351,-0.33243439,-0.11316184,-0.11535475,0.0080029802,-0.20953423,-0.099723802,-0.093276259,-0.023009456,-0.23969975,-0.065269664,-0.11497112,0.028453798,-0.31416622,-0.1629053,-0.19238783,-0.057080238,-0.24847425,-0.12065198,-0.15648514,0.041116612,-0.39854435,-0.034345084,-0.1095522,0.10371157,-0.35859169,-0.05590505,-0.087392689,0.025038472,-0.32429682,-0.09404591,-0.13548356,0.021293558,-0.41508965,-0.13549843,-0.14862211,0.0053816555,-0.36048602,0.2528396,0.25598251,0.24561087,0.27372797
-19622.742,0.99281625,0.0054893085,10,1023,0,19670.215,-0.084996336,-0.12785984,-0.088863055,-0.064069464,-0.14818278,-0.35954118,-0.036407501,0.019194611,-0.068472267,0.096554587,-0.15801299,-0.12629096,0.37198558,-0.072958532,-0.045834599,0.17391467,0.11410454,0.19953998,0.039119158,0.19283719,0.27226544,0.3974909,0.17067489,0.42100336,0.057655603,0.34727126,0.1056701,0.17299644,1.4949712,0.5080029,0.3328746,0.3787811,0.65161093,-0.72324977,0.92054132,0.022780003,0.24194842,-0.21528883,0.64662066,-0.24769335,-0.16517556,-1.1291055,0.99243616,-0.48427482,-0.2495532,-0.31511526,0.76804938,-0.52173172,0.4701757,0.043264075,0.9294397,-0.26935263,0.70679967,0.60270069,0.98600546,0.4730205,-0.49484316,-0.3085239,0.19714265,-1.7007932,-0.13785253,-0.33037029,0.052639494,-0.48482738,-0.10769902,-0.44822899,1.2382909,-3.0031781,-0.43250524,-0.8079732,-0.023194037,-1.1149463,-0.24812172,-0.030464356,1.1615602,-0.64177091,0.14547729,-0.20643022,0.64142054,-1.3832836,-0.26509894,-0.32220883,-0.18013059,-0.49780626,0.03236715,-0.10377331,0.28118453,-0.50152958,-0.13013357,-0.31969546,0.23798535,-1.0908325,-0.86967544,-0.84476639,-0.48989304,-1.4730918,-0.29910726,2.3880128,0.04817274,-0.010644569,-0.16752242,0.020041609,-0.082397034,-0.079581453,-0.17081857,0.0011668386,-0.17728457,-0.095324584,-0.13303271,-0.050039788,-0.10780748,-0.1121926,-0.12483541,0.08403902,-0.16467874,-0.02017019,-0.13640347,0.10487152,-0.2215182,-0.078594743,-0.11997314,0.03238702,-0.17151983,-0.1208648,-0.089064783,-0.002760201,-0.3266902,-0.038841769,-0.11989239,0.041356015,-0.18491935,-0.074681719,-0.09431518,0.0029221421,-0.24162231,-0.053642053,-0.18403128,0.088499965,-0.29063421,-0.18423204,-0.16123217,-0.03527081,-0.22582899,-0.10112391,-0.16200265,-0.015327489,-0.36559409,-0.024329692,-0.10970732,0.10269554,-0.37222043,-0.056515926,-0.12567567,0.069884023,-0.32773701,-0.089152758,-0.1522531,0.033384681,-0.40894504,-0.15550195,-0.14606687,-0.011647555,-0.38406467,0.25038208,0.24845348,0.24009773,0.27106036
-19628.829,0.98922026,0.0054893085,10,1023,0,19661.147,-0.083962046,-0.10597853,-0.10287306,-0.22998948,-0.11695147,-0.48555377,-0.13834195,-0.14819116,-0.3172527,-0.13529849,-0.12603153,-0.021108773,0.29111305,-0.16080948,-0.18550131,-0.28693144,0.074763426,0.11481794,0.18748346,0.17743031,0.15578344,0.4617892,0.19334579,0.15828635,0.39206417,0.1229941,0.065040995,0.56451849,1.020327,0.15597732,0.29123094,0.27463596,0.27125112,-0.95504766,2.4775668,-0.76355408,-0.10066706,-0.49294575,1.0546352,-0.51860638,0.29726429,-0.046260276,0.46756505,-0.13190531,0.79515825,0.51932544,1.8394962,0.20074267,0.68691851,0.054522772,1.394239,-0.50739845,0.86287018,0.7969878,1.1200343,0.7166448,0.10851098,0.045710627,0.97763567,-0.87076645,0.4498283,0.18123809,1.1267879,-0.31636026,0.58082957,0.74897516,0.77760705,0.23639622,0.62415436,-0.13483289,1.5990201,-1.3029093,0.24309858,-0.699147,1.2057527,-1.5405892,-0.1961467,-0.29187234,0.068711846,-0.7264693,-0.30096366,-0.39205936,-0.20478382,-0.63301641,0.64753245,0.27798147,1.3577586,-1.0521699,0.34021045,0.062295297,0.87501304,-0.85044515,0.49660418,0.5147102,1.0041569,-0.30098115,0.62974169,-1.2154403,0.043999912,-0.063682383,-0.15536468,0.10126934,-0.14104796,-0.11753691,-0.16257754,0.015112506,-0.16552384,-0.047140922,-0.1115461,-0.015212348,-0.12760312,-0.088904305,-0.13784541,0.096392911,-0.19437165,-0.0099409448,-0.10845773,0.10024788,-0.19599575,-0.087089646,-0.11751342,0.031665987,-0.15461495,-0.1173618,-0.12950399,0.050679793,-0.30670097,-0.076989482,-0.11950365,0.030163985,-0.19826668,-0.089530236,-0.023606377,-0.012380839,-0.22457021,-0.058531187,-0.15188214,0.061371555,-0.29554866,-0.11022016,-0.17150475,-0.047608175,-0.22623299,-0.13183721,-0.18587611,0.017680335,-0.43121412,-0.015968318,-0.10891572,0.082166577,-0.35477071,-0.059809104,-0.11745068,0.050970069,-0.32492412,-0.086421503,-0.16735899,0.069329555,-0.43317725,-0.15054608,-0.14557351,-0.011153851,-0.36959169,0.25853434,0.24839785,0.24891842,0.26699138
-19635.646,0.81615281,0.0054893085,10,1023,0,19684.817,-0.052803563,-0.10726117,-0.037641419,-0.053929818,-0.016206231,0.12094852,-0.084607231,0.094179456,-0.048820772,-0.021625226,-0.15673291,-0.32417191,-0.10851364,-0.077812317,-0.26455261,-0.22806221,0.035526578,0.10352512,0.13541622,0.11750394,0.1043189,0.18074263,0.1952638,0.27470833,0.094945641,0.48874132,0.10219619,0.15050286,0.70020154,0.12608224,0.24337794,0.50515082,0.72838503,-1.6984224,1.4685604,-1.0953859,-0.1412149,-0.66525265,1.4844502,-0.60400736,-0.23785657,-0.38518592,-0.058945101,-0.5526279,-0.36093543,-0.5554939,1.3721491,-1.1145013,0.097309832,-0.84779786,1.0559434,-1.8967799,-1.2647882,-1.2520247,-0.55346964,-1.5995408,-0.23988477,-0.23756462,0.52180967,-1.1903734,-0.78176499,-0.67621896,-0.31605604,-1.1359284,-0.46223713,-0.25383226,0.78300516,-1.8854911,-0.11126062,-0.18515927,0.20771739,-0.6057725,0.2728154,-0.35841526,1.2817344,-0.83632118,1.0835176,1.111874,1.5909531,-0.3795394,0.12571711,-0.017548856,0.27112103,-0.31585694,0.33368171,-0.087492998,0.69383769,-1.9904453,0.66599622,0.49428768,1.3257684,-0.74025968,0.21422624,0.18955105,0.35307755,-0.31573722,0.26451377,0.17090339,0.036191357,-0.026926535,-0.1131427,-0.00063063736,-0.091718875,-0.12188046,-0.17613153,0.046416709,-0.16979111,-0.069851056,-0.089801839,-0.045623542,-0.1124762,-0.096341153,-0.11920254,0.1073031,-0.18488811,-0.0060549763,-0.10464757,0.093948623,-0.21407623,-0.10765263,-0.10534573,0.020912957,-0.1681567,-0.13144804,-0.130995,0.017283308,-0.31704407,-0.12057789,-0.091583522,0.0073562298,-0.21786954,-0.092708172,-0.072921038,0.025522156,-0.22783993,-0.076002889,-0.11212021,0.079894843,-0.31769128,-0.12885222,-0.19336158,-0.025744536,-0.24220175,-0.16109941,-0.1568317,-0.084728918,-0.38129368,-0.020486325,-0.12080137,0.081325726,-0.32967715,-0.035740978,-0.08884363,0.0096682962,-0.32877213,-0.10246382,-0.14425389,0.058110171,-0.44471549,-0.11984565,-0.13231034,-0.049704799,-0.38755713,0.2583548,0.25530615,0.24106703,0.27252791
-19632.973,0.97363103,0.0054893085,9,536,1,19681.829,-0.056575643,-0.089231618,-0.059227911,-0.11622107,0.018422533,0.18934082,0.076697528,0.091292991,-0.050777374,-0.077494976,-0.15569602,-0.27595986,-0.075644587,-0.027915329,-0.21822732,-0.16190011,0.04182511,0.092794189,0.048295475,0.13376877,0.21014131,0.27788391,0.30285684,0.26329549,0.096447613,0.22670752,0.079357469,0.2145187,0.27116845,0.29149555,0.41268293,0.83187855,0.18665923,-1.9630619,1.0610085,-1.3172656,0.21549569,-0.50307707,1.8261045,-0.46306545,-1.2152281,-1.0112792,-0.062505333,-1.3994077,0.35929024,0.21780374,1.4193503,-0.7222563,-0.043458954,-0.65963145,0.2838442,-1.1510973,-1.0320302,-1.042698,-0.63777717,-1.266435,-0.71453916,-0.62482183,-0.28791686,-1.2255134,-0.79741296,-0.84677784,-0.13616428,-1.1127134,-0.31211018,-0.4715992,0.26333756,-2.0364177,0.016330106,-0.32769044,0.56697509,-1.008243,-0.10721742,0.21252395,1.3351046,-1.1658256,0.67082928,0.63597322,1.0046851,-0.63448237,0.12231445,-0.06560686,0.68121404,-1.0830364,-0.29014646,-0.30038357,0.34985195,-0.92279202,0.37370715,0.17720157,0.61103628,-0.47146752,0.027244325,0.028657845,0.1410742,-0.27392941,0.40345585,-0.42592467,0.38804757,-0.0487686,-0.13868092,-0.012198848,-0.11167042,-0.06923487,-0.13591425,0.080220264,-0.1322014,-0.11791793,-0.10806812,-0.062246635,-0.12681297,-0.068159257,-0.087085731,0.073643677,-0.21283641,0.0092900119,-0.12019328,0.078069925,-0.22347055,-0.09744376,-0.10040817,0.012112811,-0.16258108,-0.13970554,-0.11253404,-0.010500063,-0.29445759,-0.11866225,-0.1316598,0.055441551,-0.20167943,-0.080879656,-0.096261992,-0.025379095,-0.247185,-0.073792818,-0.15178486,0.051042542,-0.30607124,-0.16420453,-0.13883066,-0.049745504,-0.24821299,-0.13205443,-0.13953171,-0.060436117,-0.41206819,-0.042476766,-0.093435097,0.10907917,-0.3693299,-0.11249173,-0.1154758,0.074064958,-0.2969051,-0.064004758,-0.14509926,0.033936923,-0.41279392,-0.13923614,-0.13806026,-0.044543508,-0.38977611,0.25051625,0.25263585,0.23951932,0.27026022
