# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:40:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc1898b691.json
# init = 2 (Default)
# random
#   seed = 1400754611
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200040-2-7e937d.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200040-2-8e358b.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00307364
# Diagonal elements of inverse mass matrix:
# 0.0101262, 0.0181312, 0.00207948, 0.0163209, 0.0188073, 0.00684105, 0.0767463, 0.0331662, 0.0133814, 0.020693, 0.0120521, 0.0295952, 0.0441421, 0.0258781, 0.066178, 0.0245436, 0.370366, 0.351528, 0.768704, 0.388794, 0.33851, 0.413772, 0.464025, 0.515533, 0.35182, 0.3295, 0.40136, 0.335533, 0.321121, 0.31156, 0.376139, 0.303483, 0.304346, 0.30785, 0.510641, 0.25765, 0.267185, 0.314479, 0.255881, 0.251292, 0.253161, 0.26291, 0.251413, 0.296664, 0.288385, 0.265189, 0.292918, 0.266262, 0.356616, 0.350597, 0.391696, 0.267693, 0.226442, 0.313289, 0.26678, 0.250198, 0.247718, 0.240113, 0.247027, 0.281794, 0.267291, 0.248709, 0.279226, 0.262528, 0.513829, 0.495362, 0.571763, 0.497225, 0.431524, 0.523298, 0.457287, 0.477897, 0.384722, 0.417363, 0.43161, 0.405506, 0.420023, 0.374369, 0.411459, 0.391523, 0.301472, 0.364323, 0.412999, 0.375532, 0.381824, 0.412592, 0.420168, 0.416024, 0.428624, 0.507428, 0.440376, 0.484635, 0.467567, 0.442855, 0.613146, 0.483449, 7.3154, 112.442, 0.857488
-19635.257,0.99758872,0.0030736437,10,1023,0,19709.382,-0.098324507,-0.045197334,-0.10388654,-0.27436059,-0.023970203,-0.11106173,-0.12061786,-0.16333849,-0.16065913,-0.1776331,-0.224081,-0.15049143,-0.41552277,0.011384667,-0.0046423424,-0.096302301,0.10931539,0.12284815,0.017587997,1.012851,0.10280616,0.16039326,0.18545051,0.12597173,0.31117323,0.15026997,0.097442702,0.17432273,0.33869884,0.33872364,0.26100638,0.30314805,0.1888081,-0.36201892,0.75099021,-0.25295266,-0.15863164,-1.0399816,0.89774813,-1.06194,-0.41000723,1.1358505,-0.010893032,-1.1122531,0.15244191,0.20248599,0.33705411,0.097378542,0.26567466,-1.1795644,0.94034068,-1.7980026,-0.096720564,0.076339208,0.6282138,-0.24205119,-0.24048451,0.12755081,0.86384935,-1.1047992,0.4318914,0.29465593,1.2020287,-0.16002052,0.17359105,0.3153009,0.46549063,-0.22387071,0.97940428,0.45199775,1.7318031,-0.58186859,0.85461714,0.89555492,1.8261997,0.022926037,0.23658601,-0.068406701,0.58316697,-1.317036,1.1889715,0.94532319,1.600947,0.23302979,-0.18788564,-0.36808994,0.1819947,-1.0314953,-0.28416514,-0.42303124,0.069037712,-1.583613,-0.12785206,-0.16625238,0.092402642,-0.9064205,-0.72288129,4.3147943,0.1140263,-0.077684876,-0.13789875,-0.016229721,-0.12597612,-0.064684938,-0.17295716,0.065089367,-0.17565471,-0.11109774,-0.083909202,-0.10407812,-0.12344884,-0.11995966,-0.069272463,0.067024996,-0.17573064,0.0033427875,-0.14523668,0.072702607,-0.20881593,-0.12657505,-0.098817433,-0.010300469,-0.14988511,-0.16521584,-0.0969635,0.039583437,-0.32550344,-0.10893238,-0.12622017,-0.011916844,-0.18349655,-0.10664224,-0.062545931,-0.015810908,-0.2303217,-0.030458049,-0.10971141,0.082604897,-0.26507047,-0.1408048,-0.13681571,-0.046131169,-0.22184703,-0.10924911,-0.16241627,-0.048832173,-0.38008074,-0.01281951,-0.095342899,0.12671612,-0.33659585,-0.052256642,-0.1132961,0.073030576,-0.33800718,-0.078811258,-0.1150562,0.013376941,-0.41797544,-0.1350604,-0.14670139,-0.06829062,-0.37108191,0.25142286,0.25454144,0.23537828,0.26690528
-19642.178,0.97534851,0.0030736437,10,1023,0,19697.886,-0.14432465,-0.062003817,-0.086491447,-0.35901313,-0.1032045,-0.14939293,0.035745038,-0.21722403,-0.12546778,-0.087226554,-0.17166313,-0.083372697,-0.21175206,-0.10625508,-0.039619298,-0.11784114,0.12373067,0.077885094,0.011522977,0.31157831,0.25943532,0.073891139,0.29221616,0.35844722,0.21137191,0.1442767,0.1082773,0.12459581,0.2699959,0.10968394,0.2468858,0.1425747,0.73980602,0.12568359,1.5518882,0.1709685,-0.96423798,-1.267778,0.79732563,-1.0193086,0.74026966,-1.2795942,-0.52370012,-1.8668769,0.80315386,0.80220428,1.3560575,0.61884944,0.32472259,-0.28735755,0.8205935,-0.43215273,0.39289484,0.69531989,2.3366616,-0.027338277,-0.58373401,-0.57188253,0.060486732,-1.2119603,0.43682092,0.28047657,0.59489118,0.033494905,0.17793231,0.1719268,0.48927701,-0.6227476,0.26402503,-0.27577798,1.0068339,-1.3193505,0.68720506,0.50291612,1.8605629,-0.74099043,-0.38413078,-0.62400554,0.51219513,-2.375856,0.65709394,0.39086123,1.1740495,-0.36679704,0.38467586,0.020263637,1.1628766,-1.8498809,-0.1252209,-0.31590355,0.13001379,-1.5397966,-0.35883869,-0.34639032,0.83338043,-1.8033911,-0.43545771,3.0410278,0.024200971,-0.052787958,-0.12877374,0.047691507,-0.1231706,-0.13710358,-0.16074482,9.5963844e-05,-0.14139276,-0.077961336,-0.10123618,-0.092526031,-0.10800343,-0.10876781,-0.10906368,0.063504978,-0.16619307,-0.018959987,-0.17775519,0.10968644,-0.21532018,-0.12036149,-0.098014954,0.023265651,-0.15141299,-0.13483147,-0.13136828,0.053420238,-0.31840936,-0.060646787,-0.11668798,-0.00398694,-0.20521787,-0.087857886,-0.089127282,-0.022048362,-0.25709913,-0.049133894,-0.12701489,0.058036117,-0.27757809,-0.097254423,-0.11720873,0.029793602,-0.25189558,-0.13123378,-0.16112118,-0.019555327,-0.37939441,-0.034339394,-0.10622113,0.10523648,-0.31078576,-0.064062322,-0.10403249,0.021293794,-0.30915731,-0.07053456,-0.1176114,-0.0075207395,-0.41977321,-0.16900246,-0.16722763,0.00097782371,-0.37495907,0.25072023,0.25119293,0.23279023,0.27511609
-19635.521,0.9236453,0.0030736437,10,1023,0,19694.485,-0.085302345,-0.023453153,-0.098410949,-0.11858186,-0.079668959,-0.11911482,-0.15853669,-0.047683805,-0.1448518,0.14271055,-0.1617017,-0.076581056,-0.18536472,-0.20628428,-0.22173553,0.0010208478,0.069677382,0.097399484,0.039476397,0.31655927,0.14780898,0.086522075,0.39967176,0.11614618,0.090671577,0.42806301,0.053026068,0.22985551,0.28815022,0.26820976,0.18492552,0.4474059,-0.20682233,-0.44387741,1.6844693,-0.46437148,-0.89972659,-0.86788043,0.20451649,-1.3882078,0.4763374,-0.22757078,0.82263756,-1.0862454,0.13126002,0.15376711,0.52892191,-0.25926584,0.36984644,-0.30113911,1.2835131,-0.93954591,0.30961792,0.150534,1.419115,-0.050376665,0.024417338,0.13083206,0.44383233,-0.44909795,-0.39359257,-0.52219904,0.53636196,-1.3113592,0.89015613,0.78222651,1.3867977,-1.1867492,-0.40364149,-0.63763125,-0.25910288,-1.0732306,-0.15384469,-0.6523375,1.7008046,-1.4951945,-0.26897777,-0.27271033,0.28888888,-1.5216056,0.52402753,0.23808085,0.90247933,-0.75519457,0.49319751,0.35103107,0.97217568,-0.36289975,0.65565688,0.42363843,1.4311974,-0.96131176,-0.20386575,-0.29909782,-0.1787706,-0.82130663,0.45730397,-0.48492811,0.048175599,-0.099713184,-0.11623056,0.032067062,-0.11765853,-0.11108606,-0.10798426,-0.003533352,-0.15866388,-0.079606865,-0.10739462,-0.065936182,-0.14129201,-0.077030287,-0.069905457,0.048853275,-0.20065487,-0.025002334,-0.12418002,0.11004581,-0.21854228,-0.092326038,-0.10609031,0.0036699531,-0.12347352,-0.14877777,-0.10624681,0.018850561,-0.33802846,-0.09339808,-0.10833523,0.01461259,-0.19999317,-0.064139939,-0.073926088,-0.019108668,-0.25245622,-0.030073434,-0.1302358,0.031798197,-0.31669974,-0.16985948,-0.19629259,-0.07151472,-0.24098599,-0.13840708,-0.13926503,-0.010178356,-0.42633048,-0.034366075,-0.11676167,0.074684892,-0.4029742,-0.074003896,-0.11213432,0.054462725,-0.30361754,-0.10048784,-0.14339398,0.042929387,-0.39950661,-0.090189891,-0.13279728,-0.078962174,-0.36643658,0.25538929,0.25329065,0.24235022,0.26717289
-19642.366,0.86736996,0.0030736437,10,1023,0,19684.875,-0.10306881,-0.023412166,-0.11017279,-0.21774143,-0.089946441,-0.14671211,-0.11109901,-0.10322436,-0.17658114,0.040336193,-0.13970751,-0.11806825,-0.40798152,-0.093763915,-0.068720526,-0.093220087,0.061745999,0.10090471,0.077244025,0.19686613,0.067759659,0.059965569,0.36577796,0.10454158,0.19832489,0.55228708,0.071735779,0.20613779,0.90947743,0.27327897,0.22306227,0.15458969,0.69142968,-1.2101973,1.7452659,-0.12677852,-0.84906382,-0.71145125,0.85503872,-1.3520837,-0.70954005,-0.5571675,1.5423926,-0.10443006,0.75764294,0.59919158,1.3033583,0.12420422,0.83660766,-0.42839549,2.6479694,-1.9220845,0.44839095,0.31334862,1.8577186,-0.48160711,-0.10699939,0.036190061,0.32962865,-0.58199333,0.020687506,-0.66740955,1.4290702,-0.91345775,0.61611686,0.42984329,0.69832323,-0.18665659,-0.1597245,-0.26167031,-0.057145539,-0.68933394,-0.068083809,-0.4661598,1.4244776,-1.8342735,-0.0057210087,-0.17277059,0.33673055,-1.3492629,0.39505695,0.36347948,0.57788054,0.010953114,0.062371007,-0.12705107,0.49931805,-0.80742685,-0.012940816,-0.36318354,0.53038738,-1.6093286,-0.2127395,-0.28067257,0.22408265,-1.9578551,-2.0272568,9.4572889,0.25371195,-0.060375789,-0.17779365,0.0046943816,-0.11089687,-0.10908671,-0.095200949,0.06286527,-0.15984378,-0.16498052,-0.15321065,0.0089678171,-0.11823939,-0.068587198,-0.099780904,0.038845662,-0.19328983,-0.033258191,-0.11897437,0.089479062,-0.22018623,-0.11982409,-0.12792198,-0.03531296,-0.17559195,-0.15023703,-0.097861483,0.0094718862,-0.32397934,-0.10106165,-0.17299641,0.046172899,-0.19871868,-0.054389827,-0.091332511,-0.038086256,-0.21359978,-0.047877586,-0.10418094,0.0087754508,-0.34037403,-0.14459155,-0.17314784,-0.037521496,-0.27129054,-0.11924757,-0.1536828,-0.04865536,-0.39620234,-0.048686135,-0.077405136,0.11758779,-0.39801991,-0.07671923,-0.1284843,0.042689208,-0.31441669,-0.071607134,-0.14973307,0.049588884,-0.42770101,-0.12610742,-0.13660917,-0.05857922,-0.39588429,0.23789462,0.24847797,0.25338802,0.27101702
-19637.657,0.99896063,0.0030736437,10,1023,0,19686.6,-0.065346587,-0.027551494,-0.12032445,-0.047211569,-0.10144232,-0.099182433,-0.088384271,-0.10284345,-0.22524268,-0.27901135,-0.096341856,-0.18718119,-0.3025364,-0.14591619,-0.13634508,0.069100626,0.061351976,0.18241294,0.047135835,0.13226637,0.10667596,0.14272806,0.13155833,0.14339363,0.11749422,0.27907821,0.091500012,0.20600328,0.40417461,0.15093973,0.22835626,0.53963896,-0.10873746,-0.8883761,1.9239563,-0.87518234,-0.11818084,-0.73107433,0.35067469,-0.87279621,0.88372942,0.034414769,2.5810592,-0.37743686,-0.27154729,-0.52587268,0.79397996,-1.0942647,1.0106157,-0.25903237,1.500752,-0.99810642,-0.22617958,-0.013824551,0.61526651,-0.48657522,-0.20796444,-0.075581003,0.66174267,-1.9435326,0.26890202,-0.26368182,1.4593637,-0.45642548,1.4734304,1.2290165,1.5910219,-0.079438723,0.9064155,0.46260728,1.1877116,-0.13976298,-0.45822593,-0.44421768,0.9232595,-1.471143,0.24151979,0.1086371,0.71632625,-0.98095679,0.67899937,0.53667385,0.9707861,-0.17255061,0.46474728,0.21448257,1.1460806,-0.96720437,0.18443307,-0.01613167,0.89465623,-1.3967012,-0.49701631,-0.36664581,-0.10923155,-0.82358422,-2.3989099,10.876691,0.054711695,-0.072017845,-0.11985022,0.052691933,-0.11904075,-0.049109209,-0.16090891,0.036416108,-0.18676082,-0.078669124,-0.11870228,0.0013359327,-0.13811525,-0.083128143,-0.11676684,0.057805277,-0.19194599,0.0063660875,-0.12907485,0.058651847,-0.20791629,-0.13146461,-0.10115558,-0.011366636,-0.16863037,-0.11574373,-0.098327582,-0.0013265085,-0.34407218,-0.064284617,-0.14065375,0.10642,-0.16829196,-0.052123115,-0.080840346,-0.038306794,-0.23457627,-0.026050535,-0.14990774,0.05245308,-0.31801615,-0.13826953,-0.13698778,-0.011863601,-0.23095146,-0.13742732,-0.16480159,-0.039615628,-0.3892615,-0.028102094,-0.085626457,0.089830693,-0.37227698,-0.075767359,-0.11354225,0.027072911,-0.29190576,-0.094228637,-0.14002885,0.06795527,-0.45529055,-0.19910874,-0.12875574,0.010155027,-0.37533751,0.25103358,0.25007776,0.24637679,0.26387577
-19634.295,0.99957193,0.0030736437,10,1023,0,19683.453,-0.11933978,0.01049005,-0.15512349,-0.088583048,-0.039978438,-0.089444636,-0.010883581,-0.094484108,-0.42250808,-0.27738607,-0.15824151,-0.06512744,-0.17110705,-0.12856265,-0.1384482,-0.08435201,0.10779658,0.13209557,0.054087472,0.11855103,0.13651138,0.12837856,0.68211591,0.081028181,0.23076571,0.4239136,0.10547564,0.5195444,0.36589566,0.14656464,0.59234848,0.22930842,0.6192164,-0.48982294,0.98030925,0.30903368,-0.34902405,-1.1330659,0.21836811,-1.1525384,-0.25529377,0.28178005,1.9494012,0.42379822,0.025255413,0.043890816,1.1735748,-0.95235451,0.07374233,-0.32935845,0.89490831,-1.3846755,-0.28135774,0.070639241,0.79282081,-0.43809961,-0.27094985,-0.092821211,0.021729636,-0.49458282,0.21863958,0.083836187,1.1023819,-1.3802812,1.4635185,1.5003778,1.7395482,0.62639092,0.58957468,0.3641614,0.83250789,-0.12143722,0.052669506,-0.16655137,1.2532694,-0.93303251,-0.11403174,-0.18134191,0.095934384,-0.63329702,0.38694315,0.22753028,0.67807634,-0.51849264,0.38124672,0.14189603,1.0719596,-1.1103498,0.099260681,0.032956129,0.35618656,-0.51519566,-0.18803275,-0.25634188,0.4506307,-1.1717926,1.8180141,-6.1279074,0.2952405,-0.05259037,-0.17214102,-0.013665795,-0.086027007,-0.03561448,-0.13918293,0.03933551,-0.14175516,-0.16893168,-0.13988272,-0.049685307,-0.13220131,-0.085588993,-0.083379747,0.050545449,-0.20148565,-0.02991177,-0.084939617,0.082186735,-0.22900241,-0.12556494,-0.080376072,0.012336558,-0.14568723,-0.19570279,-0.074198406,0.0039385492,-0.34824639,-0.076768141,-0.087691015,-0.0051601119,-0.20632578,-0.084778196,-0.076272314,-0.021079987,-0.27795853,-0.027457339,-0.1230131,0.075525355,-0.32886495,-0.15268617,-0.17580863,-0.026052132,-0.25665371,-0.12437199,-0.15934262,-0.015285268,-0.39415336,-0.02952623,-0.087854708,0.076998139,-0.36082125,-0.072685359,-0.10776571,0.028548721,-0.29130067,-0.07965129,-0.11892669,0.072538366,-0.44362357,-0.1274695,-0.14313336,0.018981403,-0.35305391,0.23805453,0.24485998,0.24399383,0.27204193
