# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:57:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc638c5cb6.json
# init = 2 (Default)
# random
#   seed = 1922337985
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200057-1-33e3fb.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200057-1-4999db.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00368614
# Diagonal elements of inverse mass matrix:
# 0.00883489, 0.0144218, 0.00216492, 0.0204333, 0.0174235, 0.0119646, 0.0281776, 0.0119182, 0.0435575, 0.0185503, 0.0263546, 0.0471221, 0.0390026, 0.0308676, 0.159841, 0.0329134, 0.410318, 0.339137, 0.591619, 0.393352, 0.292579, 0.54048, 0.399996, 0.389005, 0.495452, 0.282538, 0.508534, 0.431998, 0.284084, 0.345833, 0.373427, 0.352395, 0.305527, 0.343378, 0.384047, 0.251483, 0.27944, 0.288232, 0.302899, 0.24928, 0.322754, 0.285573, 0.287002, 0.32803, 0.273282, 0.295062, 0.318067, 0.259198, 0.404689, 0.393506, 0.386075, 0.268179, 0.316642, 0.286667, 0.306613, 0.23374, 0.310976, 0.250828, 0.2985, 0.30952, 0.264072, 0.263585, 0.306593, 0.252781, 0.545694, 0.472828, 0.516866, 0.531364, 0.379125, 0.593836, 0.478274, 0.4751, 0.495545, 0.416367, 0.524333, 0.465449, 0.370652, 0.444438, 0.406132, 0.357423, 0.302986, 0.419623, 0.344902, 0.405237, 0.489249, 0.36257, 0.573542, 0.372192, 0.511227, 0.461717, 0.394845, 0.606841, 0.491855, 0.437003, 0.603697, 0.557539, 9.03118, 140.143, 0.938099
-19619.778,0.98640649,0.0036861371,10,1023,0,19671.913,-0.043448812,-0.10402787,-0.07602061,0.06383299,-0.17443251,-0.2636361,-0.11299227,-0.16102829,-0.21708998,-0.023754912,-0.011108094,-0.17809317,1.1156313,0.022427485,-0.068165173,-0.11514855,0.063217007,0.33847417,0.48464159,0.2959157,0.21334966,0.19022863,0.34246882,0.18646463,0.1535175,0.20123233,0.35837923,0.17863635,1.9909792,0.20871724,0.54457536,0.15538646,-0.22170383,-1.5511302,1.2734207,-1.2325538,-0.05498894,-0.1199242,0.56901772,-0.1074783,-0.12989431,-0.03837906,0.098850065,-0.08367286,-0.564544,-0.4459212,0.083932562,-0.78341873,0.72307992,0.25136249,1.1380187,-0.32887882,0.75172334,0.86079778,1.2269081,0.578895,-0.055490029,0.029314601,0.52290772,-0.71527844,0.56631301,0.41023852,1.1655079,-0.035468639,0.78388423,0.70760962,1.2658774,-0.11981974,-0.31617281,-0.58244618,0.5870737,-1.472934,-0.32722009,-0.41670667,0.061784351,-0.62258247,-0.042345186,0.25302604,0.87768042,-1.0845357,-0.57302046,-0.61472018,-0.51488543,-0.73441179,-0.35023038,-0.54608341,0.018419659,-1.5243135,-0.06048605,-0.15773413,0.20676283,-0.71715199,-0.08066172,-0.43305681,0.23964471,-1.7952609,5.6788275,-20.60611,0.05857917,-0.057464265,-0.14150662,0.037053031,-0.12136717,-0.1226402,-0.14461911,0.088569931,-0.1404065,-0.13897279,-0.094620698,-0.028113757,-0.11657196,-0.10322444,-0.068122096,0.088669953,-0.16799291,-0.020163653,-0.12080441,0.0683634,-0.24459869,-0.1206368,-0.099887714,-0.030243054,-0.1535137,-0.13199587,-0.10295293,0.066087323,-0.35795283,-0.055430943,-0.084533315,0.056297716,-0.16764193,-0.096750037,-0.10845952,-0.022755656,-0.23548441,-0.087379104,-0.14096191,0.094383295,-0.32015685,-0.12837698,-0.16044711,0.011034134,-0.23422872,-0.18565756,-0.13289352,-0.021307548,-0.37183066,-0.025240482,-0.10826375,0.090505145,-0.34656727,-0.050671634,-0.091549539,0.026271986,-0.29572303,-0.10110439,-0.1540633,0.044432772,-0.45870848,-0.12768229,-0.18243971,-0.077911002,-0.39410778,0.26253427,0.25685698,0.26324178,0.25494687
-19624.092,0.98910183,0.0036861371,10,1023,0,19669.38,-0.049703569,-0.040048025,-0.14162632,0.016298674,-0.16266085,-0.26800785,-0.072455501,-0.13046133,-0.11200813,-0.17648448,-0.032308794,-0.15909941,1.1304827,0.15609033,-0.17727535,-0.16864885,0.056818626,0.23926502,0.37531961,0.21202951,0.18488421,0.12470332,0.6942011,0.14192784,0.12849883,0.21867438,0.21020744,0.23318369,1.227268,0.83808382,0.75190809,0.1324405,-0.012001978,-1.8883832,1.8161205,-0.82205395,-0.069803382,-0.3084846,0.28005119,-0.44169535,0.14497299,-0.033483156,0.35256732,0.022551866,-0.81349858,-0.74046706,0.16248233,-0.97624779,0.82028579,0.40161127,1.348663,-0.29333043,1.2576788,1.2909728,1.8682524,0.81439245,-0.089313957,0.0021412238,0.14144279,-0.35965662,0.42637441,0.29559409,1.1257047,-0.23009461,0.19020345,0.08484241,0.92383828,-1.1076582,0.40948083,0.26010689,1.2407959,-0.52430842,-0.43371439,-0.51051709,-0.083208425,-0.90599444,-0.1313934,0.086914444,0.53328954,-1.0457157,-0.93654002,-1.0128074,-0.84704119,-1.2071711,-0.2879743,-0.30849507,-0.13631316,-0.52134866,0.12120061,0.049097114,0.27371896,-0.33844767,-0.051682078,0.17131824,1.3218271,-1.7490933,7.1341547,-26.458687,0.042923709,-0.050385505,-0.15699891,0.053485902,-0.096411544,-0.056749533,-0.1138576,0.026958427,-0.14573027,-0.087215114,-0.1541932,-0.0093008919,-0.13316216,-0.15618703,-0.1407022,0.050749722,-0.19069467,-0.011002953,-0.088409263,0.086685659,-0.21689301,-0.11117113,-0.10701925,-0.035030561,-0.1664504,-0.13445735,-0.070969061,0.025734236,-0.32212952,-0.069946931,-0.0885083,0.029307509,-0.16311816,-0.087567207,-0.10110598,0.0067040101,-0.25434092,-0.086941514,-0.11960577,0.09484579,-0.2911373,-0.12347878,-0.13962328,-0.049799824,-0.22275556,-0.18973821,-0.13883238,-0.034744989,-0.40294325,-0.018902846,-0.11250337,0.090936203,-0.35103969,-0.085256275,-0.1024544,0.041848476,-0.28084355,-0.08614363,-0.14035883,0.028536149,-0.43175689,-0.17549365,-0.14595938,0.0064145849,-0.40029965,0.25553947,0.25812602,0.25881805,0.25737842
-19633.696,0.99131278,0.0036861371,10,1023,0,19675.244,0.074579478,-0.070447631,-0.052966312,-0.0865526,-0.10007243,-0.14812733,-0.020837122,-0.10280771,-0.03563274,-0.10111304,-0.11415745,-0.23135872,0.84398564,0.042832407,-0.46607917,-0.10409261,0.24679165,0.055248221,0.17854651,0.10227967,0.11330068,0.086992314,0.39078945,0.27446289,0.064068377,0.088459938,0.096904016,0.11795231,2.3141697,0.18473133,1.0828744,0.44681747,-0.66650462,-0.95884897,-0.26243611,-0.70976108,-0.31754798,-1.1708745,1.8148645,-1.5946291,-0.32233771,-0.38434127,0.26700236,-0.38012141,-0.06092796,0.062888135,1.3300707,-0.7571066,0.93218936,-0.019808051,1.6067494,-0.89793982,0.65769366,0.73305511,1.9743641,-0.064605486,-0.24334948,-0.18004694,0.16484943,-0.77419607,0.027488111,0.0047044055,0.50549767,-0.26804812,-0.48957905,-0.73435381,0.40417053,-3.2961924,0.53271043,-0.11224439,1.9526628,-1.9519987,-0.05685182,-0.44258881,1.1695807,-1.353815,0.62439201,0.74270826,1.7872963,-1.0552357,-0.37148158,-0.41111617,-0.32260515,-0.51796301,-0.5947139,-0.81715852,-0.1643377,-1.8489943,0.36023198,0.27973908,0.45223555,0.023874737,-0.23272276,-0.20402208,0.24522458,-0.64148417,8.6269538,-32.694419,0.066661883,-0.089908293,-0.16205644,0.0098124389,-0.10058363,-0.087991592,-0.13513636,0.029820402,-0.15854805,-0.11051858,-0.1215891,-0.0052939736,-0.12083566,-0.092784292,-0.080120422,0.049486592,-0.16398921,0.0055452602,-0.10231669,0.081973371,-0.20180962,-0.090913035,-0.084357168,0.02362717,-0.15374751,-0.11593553,-0.091197567,0.043584298,-0.32338478,-0.095263246,-0.10151653,0.035932641,-0.17637697,-0.066999275,-0.082681597,-0.0097381899,-0.24681444,-0.053989512,-0.11104218,0.071619386,-0.27378673,-0.11966662,-0.15704609,-0.000820384,-0.24534756,-0.15771024,-0.14375456,-0.020542985,-0.35582621,-0.015685786,-0.10740696,0.09742257,-0.35466868,-0.067029884,-0.10812238,0.012474084,-0.29873478,-0.075993177,-0.16315688,0.023635127,-0.44022582,-0.2080772,-0.19525324,0.005478021,-0.39071894,0.25066303,0.25347739,0.25780623,0.25494252
-19635.082,0.93659942,0.0036861371,10,1023,0,19683.872,0.037460146,0.12149499,0.12265154,0.013629586,-0.040883045,-0.060999869,-0.11498734,-0.0032437394,-0.25805564,-0.011896674,-0.07311451,-0.13566924,0.93858953,0.087274984,-0.18974939,-0.21960754,0.20634247,0.72468103,0.17734667,0.24158134,0.26618172,0.13636187,0.12047192,0.17229546,0.35528727,0.30737328,0.096337519,0.17159403,1.249346,0.22632778,0.21007349,0.10343652,-0.53211048,-0.90797264,0.20179475,-0.60829124,-0.28610852,-0.27615739,-0.073242928,-0.36270669,-1.2321038,-1.4253174,-0.70972837,-1.3827949,-0.25898744,-0.43850573,0.32493975,-0.70684528,0.025948115,-0.18016822,0.53560907,-0.64720539,-0.49051988,-0.246903,0.7061087,-0.84538301,-0.17942868,0.2443292,1.4352655,-1.7602505,-0.27637523,-0.61037898,0.28169994,-1.2230173,0.42945697,0.54451612,0.67885288,0.022227073,-0.048501513,-0.42540166,0.0084890687,-1.0560373,-0.31302176,-1.1298148,0.21002812,-1.7542819,-0.25213851,-0.076015712,0.5039446,-1.3475799,-0.75594116,-0.81236984,-0.68290345,-1.0198695,-0.6364205,-0.84366742,0.059247285,-1.9634128,0.52228385,0.1785293,1.1581677,-1.1794113,0.66299508,0.57205538,1.6380561,-1.3892767,2.7362634,-9.5172053,0.040712672,-0.072336845,-0.14989317,0.079098973,-0.08805617,-0.085842432,-0.078631035,0.068417224,-0.14135167,-0.095857972,-0.13012376,-0.0032164257,-0.12258254,-0.048936948,-0.092305217,0.092128967,-0.15713104,-0.033976131,-0.088840533,0.1016863,-0.21315729,-0.12788808,-0.094668023,0.035286435,-0.17627788,-0.13660345,-0.085552528,0.057921856,-0.3270481,-0.050861938,-0.10840927,0.045291882,-0.21396406,-0.10547504,-0.06459599,-0.016867851,-0.25015864,-0.026804743,-0.14265378,-0.0092873615,-0.33649433,-0.10327025,-0.18195807,-0.052880922,-0.24211767,-0.1789347,-0.14871308,-0.04919536,-0.36690591,-0.0058425231,-0.076341475,0.085406839,-0.33558037,-0.056764658,-0.10367039,0.10068429,-0.35709989,-0.080031403,-0.15224512,0.053550936,-0.43751244,-0.15102964,-0.16043613,-0.050172725,-0.36330948,0.25961928,0.25301098,0.26323587,0.24799259
-19639.722,0.9967862,0.0036861371,10,1023,0,19681.947,-0.089036075,-0.060076325,0.23312658,-0.23902804,-0.14393829,0.03171117,-0.12332516,0.1337306,-0.13471675,-0.033960318,-0.15294922,0.023420234,0.77178354,-0.02597704,-0.11459643,-0.25939906,0.099968466,0.11702928,0.44553655,0.31444324,0.19897742,0.12969567,0.096131967,0.18976722,0.10798149,0.20293136,0.04480189,0.179426,1.2984087,0.16757658,0.15342721,0.17771482,0.29741234,-0.16654068,1.3368275,-0.076796881,-0.3583923,-0.79518497,0.73431873,-0.68852037,-0.74403518,-0.86396643,-0.52743177,-0.80853029,0.41259406,0.31983873,0.78677713,0.093289586,0.63848625,0.13468507,1.2721674,-0.56455697,-1.391105,-0.99455278,-0.21339858,-1.5222076,-0.28513826,0.058029539,1.3381838,-2.5566134,-1.035503,-1.4360461,-0.31317197,-1.707736,0.72455322,0.3700493,1.2328076,-1.0706724,0.038212951,-0.41366975,0.40126349,-1.3223041,-0.49766929,-0.083780391,2.6484861,-1.7965893,-0.87683899,-1.0709635,-0.13718021,-2.2602372,-0.61291648,-0.6934294,-0.49498705,-0.85459886,-0.4138701,-0.40413831,0.22912867,-1.5558395,0.33057307,-0.22081832,0.74907197,-1.9331097,0.66779044,0.59354802,1.2630373,-0.70602138,0.45639423,-0.41910538,0.052941748,-0.059304219,-0.10568489,0.044604524,-0.096713341,-0.10201872,-0.15313625,0.025860469,-0.14065337,-0.098368287,-0.15180204,-0.0018635528,-0.12710322,-0.10929062,-0.13845691,0.0083687102,-0.20969376,-0.016893945,-0.117139,0.1091943,-0.25627238,-0.14870912,-0.097278016,0.0040342989,-0.16571255,-0.15073607,-0.11774667,0.0053170823,-0.36909744,-0.062773916,-0.13878387,0.074300823,-0.1903417,-0.056478412,-0.094758273,-0.0015963453,-0.25032954,-0.026205712,-0.11790688,0.047468629,-0.30229729,-0.17524574,-0.15670274,-0.034292035,-0.23343982,-0.13390748,-0.16873847,-0.001193463,-0.3821251,-0.024032545,-0.12857122,0.12908805,-0.33783503,-0.095331977,-0.093701157,0.01241956,-0.2866993,-0.063877524,-0.14847597,0.00033159522,-0.41118807,-0.1407228,-0.15391678,-0.03493862,-0.38486952,0.25873425,0.24910844,0.26661896,0.25221481
-19624.667,0.99338085,0.0036861371,10,1023,0,19679.104,-0.069738169,-0.19480328,0.24238012,-0.22528338,-0.01796912,0.012447611,-0.11464034,0.049196898,-0.40122766,-0.012816571,-0.12553666,-0.16692769,0.54633761,0.03006664,-0.21423407,-0.26457959,0.10179756,0.23590997,0.70846493,0.26487462,0.19533092,0.13914516,0.11121585,0.20283561,0.38808892,0.37308474,0.074608151,0.22943628,1.0731116,0.16208243,0.1879692,0.1112684,0.044813986,-0.81497924,0.96670494,-0.16382406,0.33983433,0.23529343,1.0874765,0.17400115,-0.56087426,-0.53490962,-0.33516158,-0.51947301,0.54744569,0.48719127,1.1584715,0.26597501,-0.10075593,-0.48890467,0.52651953,-1.0425665,-0.63203614,-1.001114,-0.011966257,-1.1784079,-0.20995928,-0.042762328,1.3664076,-1.6467811,-0.61898361,-1.0095711,-0.030131465,-1.1581912,0.93749867,0.73816311,1.043865,0.39081891,-0.14045673,-0.30383082,0.23489605,-0.7299223,0.032009579,-0.66959644,1.0018056,-1.5830505,0.17248932,-0.040504968,0.65658827,-0.92827096,-0.51136349,-0.6253158,-0.39229325,-0.83024593,-0.53313845,-0.7687352,0.327674,-2.3380633,0.6280195,0.28394073,1.3509065,-1.1292462,0.73588059,1.0265917,2.0217105,-1.2081861,4.8082643,-17.611697,0.083721137,-0.065176214,-0.15270106,0.028670031,-0.086415057,-0.11463297,-0.13929521,0.061743259,-0.15375467,-0.15497962,-0.13658458,0.0049298962,-0.12564829,-0.080278913,-0.09623878,0.081566305,-0.15483335,-0.037649869,-0.11346732,0.084876426,-0.22161459,-0.075497161,-0.12685256,0.010782564,-0.15152215,-0.13799114,-0.11939618,0.037325849,-0.29778849,-0.076355022,-0.15558008,0.043085164,-0.18572552,-0.037394816,-0.11475474,0.0038847944,-0.24955517,-0.065218831,-0.12617121,0.074819561,-0.28513944,-0.12314849,-0.17549401,-0.050793797,-0.24364513,-0.12735239,-0.176221,-0.016282522,-0.37990673,-0.0024124941,-0.12469605,0.12536317,-0.34460895,-0.056345736,-0.09453183,0.083176839,-0.34889234,-0.09618575,-0.16086196,0.039694738,-0.42649759,-0.18269933,-0.15035237,-0.039627092,-0.39901253,0.25520618,0.24745552,0.26078921,0.25356196
