# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-19 23:57:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc638c5cb6.json
# init = 2 (Default)
# random
#   seed = 1922337985
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200057-2-33e3fb.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200057-2-4999db.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00386208
# Diagonal elements of inverse mass matrix:
# 0.0122589, 0.00751404, 0.00374546, 0.0123949, 0.0512314, 0.00710536, 0.0238428, 0.0146983, 0.0172785, 0.0316896, 0.0125577, 0.0281451, 0.0434405, 0.0297985, 0.14353, 0.0258212, 0.434516, 0.348177, 0.613578, 0.323009, 0.393849, 0.38682, 0.317799, 0.355063, 0.400407, 0.327159, 0.367997, 0.347466, 0.255127, 0.285164, 0.408552, 0.346667, 0.270188, 0.259043, 0.348789, 0.291504, 0.240338, 0.322401, 0.285524, 0.285038, 0.351281, 0.32974, 0.316581, 0.284756, 0.279772, 0.346836, 0.332909, 0.315913, 0.338532, 0.340307, 0.299458, 0.276767, 0.259091, 0.308408, 0.273566, 0.281453, 0.303761, 0.293161, 0.304822, 0.27307, 0.270153, 0.328599, 0.314214, 0.306287, 0.508274, 0.491594, 0.462159, 0.527466, 0.351751, 0.52699, 0.454979, 0.45568, 0.461181, 0.482352, 0.553872, 0.436745, 0.352021, 0.465397, 0.448526, 0.452747, 0.263091, 0.338202, 0.289146, 0.3943, 0.448071, 0.352432, 0.446335, 0.422724, 0.492996, 0.480289, 0.447216, 0.549767, 0.479014, 0.516169, 0.531442, 0.552128, 17.655, 273.039, 0.849853
-19645.555,0.99133285,0.0038620807,10,1023,0,19691.336,-0.023786556,-0.11292942,-0.093025098,-0.293868,-0.164069,-0.098210896,-0.16902222,-0.09875987,-0.05671331,-0.037668026,-0.15563669,-0.30818112,0.077883562,-0.18779801,-0.28388235,-0.3300703,0.10693986,0.1119178,0.033833701,0.23894743,0.147095,0.050815603,0.13048136,0.13106181,0.16034046,0.11757627,0.079323627,0.22578252,0.22934343,0.21317764,0.26624529,0.26757024,-0.24314757,-1.1433752,0.87535812,-0.67892088,0.061032775,-0.37350625,1.4180643,-0.43970105,-0.76883979,-0.73295349,0.74909757,-0.55728697,0.78500374,0.65060958,1.4045572,0.47686846,1.1326162,0.40444742,1.506146,-0.45768985,-0.59398477,-0.47274819,2.3869797,-1.2580412,-0.39851888,0.38613993,1.3987198,-1.1151166,0.35234303,-0.10720523,1.1356853,-0.65933124,-0.14919046,-0.17879685,0.4389288,-1.0274966,-0.1629299,-0.79478254,0.7541298,-2.1897547,-0.038645224,-0.24233476,1.5841072,-1.3081739,0.76924514,0.76798114,1.1548226,-0.49534199,-0.56214022,-0.71443912,0.12639963,-1.8034108,0.59263917,0.50705729,1.2121066,-0.55152902,0.77828864,0.68728807,1.3600002,-0.44975126,0.64548711,0.59311285,1.1094571,-0.21781469,-3.9493458,10.804205,1.0001339,-0.049788723,-0.14605895,0.069824121,-0.096390261,-0.10609877,-0.15473142,0.045777216,-0.16213979,-0.11903779,-0.11782363,-0.067680355,-0.11188018,-0.10629337,-0.13840651,0.041747333,-0.1799215,0.0025331801,-0.10457681,0.057477536,-0.23139289,-0.12839459,-0.12223388,0.023084917,-0.16213902,-0.22102151,-0.11863816,0.01348465,-0.31452416,-0.052581154,-0.11281038,0.050085111,-0.18517302,-0.080634577,-0.08538168,0.013664737,-0.22146259,-0.056824717,-0.1311156,0.050999744,-0.29513122,-0.15870217,-0.17485956,-0.029979563,-0.25940579,-0.13449901,-0.1347844,-0.047442365,-0.42002068,-0.051039605,-0.085968357,0.10687249,-0.33571685,-0.061460584,-0.079704728,0.070596023,-0.30537166,-0.076666667,-0.10089514,0.078211286,-0.40362651,-0.15735716,-0.17137096,-0.033212605,-0.38835103,0.26264948,0.25235674,0.26481676,0.25196138
-19636.532,0.99930354,0.0038620807,10,1023,0,19687.554,0.052621611,-0.11101777,-0.14430477,-0.17414001,-0.10957811,-0.10944676,-0.050830559,-0.05217461,0.01492047,-0.071885794,-0.015697319,-0.36486903,-0.089484317,-0.22465628,-0.17796793,-0.38089615,0.28755018,0.098649922,0.057451497,0.23706941,0.1690083,0.084233318,0.22573175,0.26440548,0.30920134,0.20375542,0.39310937,0.18482194,0.21105055,0.21566888,0.15432581,0.6222836,-0.40584303,-0.69820801,-0.10116504,-0.54705263,0.19664358,-0.59434018,1.2450397,-0.55526982,0.77130546,-0.40079293,2.7876853,0.52772274,0.25393045,0.34965746,1.1035541,-0.032278724,0.62798642,-0.032173317,1.0848755,-0.79651037,0.3117955,-0.083409304,1.0191528,-0.73185351,-0.098788485,-0.22223026,0.37819522,-1.1439028,-0.03270374,-0.080407152,0.39506766,-0.51908999,-0.31969392,-0.43318508,-0.042490021,-1.0253391,0.074606029,-0.3236135,0.61007472,-1.1862344,-0.25786012,-0.37862955,-0.027394656,-0.58532213,1.2480612,1.0796187,1.8379189,-0.00073178824,0.34462413,-0.11225355,0.9138777,-1.2511076,0.74405875,0.47263509,1.1842569,-0.48691783,0.53877886,0.004229032,1.2784732,-1.8200687,0.41088287,0.33869943,0.49348449,-0.008838052,-4.2916966,24.918506,1.4422571,-0.064078624,-0.14814823,0.023531585,-0.10468347,-0.091618901,-0.16964939,0.011805297,-0.1657951,-0.099992119,-0.16733093,0.015851921,-0.11398631,-0.11394087,-0.091246922,0.087478908,-0.18179231,-0.0034431914,-0.11501567,0.073774851,-0.24419498,-0.083183187,-0.1164726,-0.02360013,-0.17109321,-0.073130257,-0.10099499,0.034540111,-0.30904573,-0.060821658,-0.073434702,0.052283444,-0.18942485,-0.083929318,-0.11902094,0.001782499,-0.30211576,-0.056684411,-0.1378238,0.052420236,-0.31358748,-0.11706454,-0.16454014,-0.026466414,-0.24579293,-0.13419994,-0.1653318,-0.025181294,-0.36500428,-0.016751205,-0.11317549,0.10339007,-0.35353126,-0.064185962,-0.1227236,0.030751084,-0.3296693,-0.094820446,-0.17731528,0.019333486,-0.4588515,-0.12521048,-0.17012905,-0.073808847,-0.38639593,0.25746298,0.26463877,0.26046766,0.25529906
-19645.286,0.99899921,0.0038620807,10,1023,0,19685.395,0.075956999,-0.19832394,-0.13804566,-0.1491281,-0.091787791,-0.078780241,-0.022870625,-0.085036446,-0.15518773,-0.17347894,-0.057025937,-0.45031495,0.016966947,-0.16857712,-0.033718792,-0.24729679,0.21366685,0.13597441,0.030360987,0.18360876,0.15983118,0.085229111,0.26036807,0.13449972,0.13867401,0.78130078,0.14534737,0.23277669,0.54206458,0.17326194,0.42118366,0.32223056,-0.56806771,-1.0945818,-0.039958618,-0.805164,0.90709429,0.4050385,1.877389,0.4338172,0.18304457,1.5686895,2.5757981,0.013759001,0.21735801,0.19128454,0.88608858,-0.13810957,0.41683122,-0.081386062,0.88624074,-0.68667867,-0.72157357,-0.35553085,1.3796494,-0.91644679,-0.5760685,-0.21405275,0.36694545,-1.0870687,-0.030789877,-0.24503144,0.86267226,-0.98871202,0.55673289,0.73337594,1.4164357,-0.58978362,0.1755109,0.023692487,0.30939701,-0.16298671,-0.61848679,-0.82755347,0.14270338,-1.0969376,1.3643142,1.310761,1.6887813,0.32901812,-0.10698006,-0.31358752,0.19901729,-0.69661546,0.49239765,0.52179325,1.1886025,-0.85915164,-0.11512012,-0.3734511,0.091925617,-1.0004704,0.35275123,0.29018815,0.58378207,-0.47996169,-6.1991435,26.038563,3.9424676,-0.045420238,-0.15791883,0.067419167,-0.096079854,-0.074982326,-0.14324907,0.056952918,-0.1393359,-0.13248825,-0.0904187,-0.059841888,-0.13762792,-0.10921927,-0.11400659,0.013565521,-0.17448623,-0.025165166,-0.10479582,0.049861109,-0.20154045,-0.14027932,-0.10908182,0.038806051,-0.15688819,-0.17286047,-0.078603125,0.072670253,-0.30590861,-0.089177676,-0.11799311,0.030992732,-0.21801794,-0.077983347,-0.053487546,0.041235088,-0.23697539,-0.036352143,-0.15496798,0.068253178,-0.30082059,-0.14692136,-0.17730866,-0.036284376,-0.21646293,-0.1327344,-0.14520034,-0.057206033,-0.37372721,-0.041023155,-0.15301774,0.12484717,-0.36064362,-0.083263343,-0.078170204,0.037362458,-0.3174354,-0.082205505,-0.19101029,0.0049987751,-0.4551006,-0.13362956,-0.1537893,-0.059184362,-0.40195511,0.25557387,0.24770876,0.2591748,0.24591251
-19644.047,0.99544712,0.0038620807,10,1023,0,19703.301,-0.0095289695,-0.35363022,-0.064698781,-0.076176569,-0.18880798,-0.10472118,-0.11429411,-0.11373841,-0.040626967,0.14243997,-0.24003974,0.021567939,-0.110397,-0.062611989,-0.19069171,-0.16040824,0.43406963,0.42582611,0.046699865,0.15506255,0.22759272,0.034962134,0.15161645,0.099868099,0.1560733,0.29742232,0.28002015,0.1781809,0.17489486,0.10692894,0.13757457,0.35179298,-0.094907014,-0.400994,0.16742973,-0.22269199,0.45042062,0.45582685,0.99312779,0.43080054,-1.1857781,-1.6622537,0.61198649,-0.89928631,0.087617002,-0.11629215,0.90136778,-0.65236643,0.84090479,0.25238126,1.2191112,-0.14198997,-0.21782328,-0.11673426,2.3197389,-0.95593205,-0.3114068,0.083355531,1.0187305,-1.4423936,-0.060022182,-0.14436673,1.2843314,-0.8450891,-0.16400602,-0.061638002,0.50197547,-1.2330306,-0.65417177,-1.0180327,-0.3192756,-1.5800379,0.44588689,0.34613962,0.85310954,-0.080878485,-1.0138451,-0.96974039,-0.40496134,-2.1806033,0.48954973,-0.08598353,1.1978824,-1.5375751,0.31112151,-0.52234051,0.97797166,-2.315403,0.89182332,0.54139075,1.9875244,-1.5510369,0.027156317,-0.037567337,0.22976886,-0.70665834,2.6678735,-8.2706475,1.5164058,-0.050725222,-0.18358828,0.06314719,-0.1061928,-0.16182936,-0.15952725,0.069269523,-0.1701841,-0.12007446,-0.1423258,-0.036119095,-0.10669533,-0.062590454,-0.094209126,0.063591814,-0.17733417,0.0025758193,-0.13136785,0.08865284,-0.22112387,-0.11233675,-0.10880246,-0.023618157,-0.13814261,-0.16150851,-0.10165604,0.040162193,-0.33298472,-0.11973271,-0.12815604,0.01452532,-0.19813586,-0.066223928,-0.050247014,0.037718,-0.23307011,-0.05212532,-0.16034569,0.047480277,-0.32749857,-0.11518242,-0.14311367,-0.0011518727,-0.26268734,-0.15907989,-0.15122128,-0.050588436,-0.36697393,-0.024777268,-0.12543507,0.099106471,-0.37931097,-0.029344097,-0.1184653,0.04196148,-0.31019557,-0.067999503,-0.11621011,0.082741099,-0.40407494,-0.15085484,-0.17362417,-0.079577171,-0.40900569,0.24635486,0.24678512,0.25261932,0.25006825
-19639.155,0.99917305,0.0038620807,10,1023,0,19688.449,-0.11106721,0.0060270254,-0.026292763,-0.1209833,-0.031134779,-0.088992986,-0.092486181,-0.068666108,-0.0072312092,-0.00041477625,-0.065758028,-0.19585841,0.051601445,-0.11022705,-0.20245826,-0.26773255,0.50492328,0.11782046,0.13748361,0.35336331,0.23539655,0.10060317,0.13358156,0.10140794,0.30901856,0.23544665,0.16788537,0.27135365,0.43185226,0.13170866,0.22535286,0.1412297,0.12632162,-0.10985046,0.32506663,0.010248962,-0.57543833,-1.3130918,0.47061778,-1.2796019,-0.85103255,-0.74418418,-0.0032044092,-0.43384126,0.15457581,0.011891419,0.6316061,-0.15016803,0.22175164,-0.52624531,0.60943048,-0.8460619,-0.13923244,0.18478849,0.51779845,-0.80520401,-0.46924376,0.07051408,0.5813923,-1.724688,-0.059723103,-0.35847145,1.0313969,-1.2144774,-0.23571246,-0.099591587,0.12351167,-0.74982413,-0.062627067,-0.5977648,0.40791132,-1.3645853,-0.29881887,-0.46258706,0.43994988,-0.95973603,0.23762443,0.1378648,0.64026166,-0.49775037,-0.21280004,-0.33433603,0.11308016,-0.98380177,0.30052113,0.067096109,0.84100713,-1.4790308,0.62049359,0.45017822,1.1016481,-0.90474828,1.0825421,0.80830216,1.7104517,-0.881481,12.741981,-45.819281,1.4138943,-0.047284486,-0.16653327,0.053066496,-0.10589227,-0.061771385,-0.14868206,0.06147543,-0.14473626,-0.14329579,-0.12860589,-0.026733317,-0.085938824,-0.066361879,-0.11678131,0.10220313,-0.17404717,0.021064791,-0.15501111,0.11232305,-0.23029483,-0.10300021,-0.070402679,-0.036900822,-0.16999906,-0.1551685,-0.083066801,-0.01482289,-0.32287269,-0.074722505,-0.10501796,0.035925732,-0.19182377,-0.080070736,-0.038006858,0.030936189,-0.23894078,-0.015160109,-0.1411565,0.095626579,-0.32170182,-0.11592534,-0.14341963,0.0081031208,-0.22688367,-0.13137815,-0.15844829,-0.02212107,-0.33092479,-0.040296733,-0.092782326,0.10043537,-0.37325557,-0.070645819,-0.10138991,0.00054086679,-0.30502821,-0.06262826,-0.10100931,0.04580129,-0.40634588,-0.11484546,-0.15357629,-0.026165977,-0.39222385,0.25719996,0.24948097,0.25596085,0.24806403
-19654.521,0.99900836,0.0038620807,10,1023,0,19698.168,-0.18864536,0.07360081,-0.036909255,-0.089743802,-0.040024465,-0.098750713,-0.094194837,-0.092065426,-0.069354935,-0.17378033,-0.21509955,-0.27209127,-0.052577114,-0.11838495,-0.19754131,-0.33495475,0.33466469,0.13500787,0.12056268,0.10909354,0.19540009,0.058251871,0.09225564,0.13203333,0.13752284,0.20898661,0.14501118,0.36465404,0.21228555,0.10693068,0.18488365,0.22050732,0.39364364,0.1009271,0.70233574,0.24026857,-1.2769538,-1.3519611,0.014775929,-1.45777,-0.61349834,-0.74718024,-0.12433442,-0.37638829,0.063932907,-0.23878775,1.1681478,-0.77502622,0.2487541,-0.54385522,0.5161013,-1.0382762,-0.080630346,-0.31624509,1.9344941,-0.4587224,-0.35980359,-0.4794952,1.7195916,-2.3727139,0.3224304,-0.0084409521,0.61040536,-0.90956655,-0.16467814,-0.098842589,0.56045535,-1.1744386,0.59200541,0.034768659,1.1449044,-0.87879872,0.35072949,0.13206999,1.0376816,-0.25530799,0.34854555,0.43078339,0.67587009,-0.4355264,0.16928572,-0.28832106,0.72200782,-1.3884725,0.29732867,0.15537141,1.0148627,-1.6506536,0.59715184,0.40735353,1.2234217,-1.3634628,0.94219761,0.743835,1.2713845,-0.051307195,12.737279,-50.615857,3.6043702,-0.056906737,-0.15486863,0.046401608,-0.10823596,-0.098798004,-0.10892458,0.075595677,-0.1232096,-0.11087426,-0.12699131,-0.051899346,-0.082287635,-0.082769135,-0.115794,0.037693585,-0.17429416,0.0085821101,-0.14629383,0.060821777,-0.24290373,-0.10344758,-0.11717258,0.013937189,-0.12547215,-0.12738875,-0.13843097,0.064447185,-0.31309108,-0.049493869,-0.093179913,-0.011471577,-0.21215852,-0.092001941,-0.082948049,0.007720478,-0.23086707,-0.050059131,-0.16651415,0.065489347,-0.3574375,-0.16423986,-0.19594793,-0.06462411,-0.25212207,-0.14499273,-0.11500437,-0.025632515,-0.43090773,-0.016640202,-0.11378351,0.10069471,-0.34732975,-0.086591396,-0.10177098,-0.009864996,-0.29489047,-0.087137691,-0.1222283,0.028649371,-0.4496233,-0.12719328,-0.17093369,-0.054605157,-0.34626836,0.26382156,0.25777352,0.25458305,0.24503971
