# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 00:13:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc669d1689.json
# init = 2 (Default)
# random
#   seed = 304489141
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200113-1-8c8b02.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200113-1-3aec9e.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0038722
# Diagonal elements of inverse mass matrix:
# 0.00803804, 0.0134162, 0.004058, 0.0147329, 0.0807126, 0.00769871, 0.0256992, 0.0149768, 0.0162378, 0.0312856, 0.0159547, 0.0849714, 0.0381301, 0.101541, 0.0500593, 0.0219765, 0.356262, 0.373299, 0.970511, 0.330779, 0.51346, 0.416338, 0.35462, 0.405847, 0.391861, 0.362609, 0.420777, 0.437602, 0.338768, 0.392107, 0.283279, 0.292048, 0.331165, 0.277931, 0.432842, 0.280384, 0.317203, 0.302634, 0.224598, 0.273307, 0.27895, 0.261139, 0.261763, 0.314696, 0.229599, 0.281528, 0.280885, 0.272564, 0.389586, 0.296806, 0.465053, 0.296887, 0.335223, 0.303562, 0.237137, 0.269309, 0.273705, 0.257634, 0.26924, 0.298901, 0.214281, 0.268144, 0.274833, 0.257604, 0.468539, 0.577768, 0.569044, 0.505197, 0.446421, 0.478925, 0.445905, 0.472842, 0.407745, 0.369092, 0.550517, 0.465716, 0.330582, 0.400394, 0.368996, 0.382029, 0.286534, 0.314115, 0.409787, 0.425586, 0.531942, 0.398921, 0.375178, 0.410589, 0.487915, 0.469547, 0.376245, 0.488735, 0.448975, 0.552143, 0.519851, 0.465733, 13.2324, 209.861, 0.68496
-19629.88,0.98951254,0.0038721993,10,1023,0,19672.333,0.24060292,-0.041206029,-0.14104148,-0.10869248,-0.065111282,-0.2207451,-0.27129222,-0.11177073,-0.086356748,-0.10921534,-0.18744147,-0.30176451,-0.040600108,-0.056018507,-0.060617117,-0.37604314,0.25189021,0.17822635,0.12380953,0.067586179,0.13871255,0.18119845,0.20509718,0.19700357,0.14889202,0.29038397,0.058986933,0.26230558,0.23982654,0.50287915,0.22741781,0.32627082,-1.2560458,-1.5281683,-0.56355089,-1.3828044,-0.26446277,-0.43915831,0.51693027,-0.60810806,0.14988618,-0.0049107764,1.0343935,0.27572052,-0.26489046,-0.24104892,1.9067744,-1.057622,0.43039139,-0.32890693,0.99019477,-0.88904072,0.62925256,0.42970514,1.1121762,0.33752649,0.61694648,0.74351883,1.6224075,-0.47956885,0.14983526,0.077939803,0.81335028,-0.45606227,0.20626781,-0.15539388,0.29191766,-0.93298189,0.063835186,0.058138658,0.55063946,-0.75530737,0.039514105,0.7839644,2.629386,-0.88199648,0.74552902,0.52062248,1.1280156,-0.43327521,-0.026107974,-0.29459276,0.77172583,-1.2770889,-0.010058493,-0.14368545,0.1461226,-0.51123706,-0.12396209,-0.36440757,0.4650309,-1.6108577,0.71320854,0.62525175,1.0262561,-0.065046115,0.83238082,-1.9516616,0.15320012,-0.075782714,-0.14432772,0.098649964,-0.10771197,-0.088340262,-0.11947561,0.050924564,-0.14958691,-0.12248414,-0.14164948,-0.012973703,-0.10690465,-0.12659542,-0.12498406,0.020179112,-0.18017311,-0.0054105954,-0.1107348,0.072241159,-0.18843239,-0.10672551,-0.1428832,-0.019220496,-0.15958583,-0.14475823,-0.1187986,0.061458979,-0.36965044,-0.082252651,-0.096416313,0.048462178,-0.20161663,-0.055645117,-0.10949366,-0.042892538,-0.2252703,-0.090678623,-0.092332803,0.050681536,-0.32854449,-0.18511065,-0.14119781,-0.032342051,-0.23946773,-0.10620809,-0.16520233,-0.0058797187,-0.41541501,-0.046861493,-0.11125127,0.14448023,-0.34687991,-0.061076713,-0.12827492,0.017463504,-0.31310896,-0.088808303,-0.14348989,0.045139192,-0.42695485,-0.14334401,-0.17204174,-0.041205709,-0.39726579,0.26401567,0.25314456,0.24174239,0.24180907
-19633.369,0.99091498,0.0038721993,10,1023,0,19675.592,0.19453484,-0.097889034,-0.035219626,0.067803858,-0.06923992,-0.040491637,-0.32643844,-0.14533003,-0.086342163,-0.21349274,-0.19935094,-0.2323346,-0.074027044,-0.3320586,-0.15055994,-0.2174153,0.41034031,0.1826292,0.24740811,0.1709147,0.14093516,0.069600424,0.24844871,0.094827862,0.093334597,0.12941689,0.16319853,0.17183089,0.11420341,0.2761879,0.80013539,0.19877027,-0.60591129,-0.92888484,-0.29353907,-0.73439162,0.12968294,-0.41576306,0.79962663,-0.31501943,-0.31057248,-0.50006005,0.11750548,-0.32710734,-1.316729,-0.97407876,-0.22899434,-1.3846503,0.25093042,-0.27721017,1.0848593,-1.0344685,-1.0231401,-0.91971058,0.78290736,-1.9341734,0.90576865,0.86743019,1.4247652,0.020691999,0.72166205,0.35063205,1.5828609,-0.44686777,0.38158484,-0.015661801,1.1340378,-1.3205549,1.1787798,0.80485807,2.1771567,-0.90761538,0.5178723,0.30241366,0.9133326,-0.17141496,0.49753232,0.24852105,1.1620967,-0.76689725,0.66234188,-0.3538599,1.3362299,-2.23197,1.041416,0.89610939,1.4193566,0.13443845,0.07850135,0.025002273,0.28581198,-0.35695939,0.33499336,0.39325292,0.99321872,-0.87360851,-2.1639068,9.8391562,0.10612726,-0.054094984,-0.18662405,0.074083931,-0.10681564,-0.074205143,-0.17381951,0.048146142,-0.15542078,-0.11205778,-0.15893854,-0.0061478172,-0.11614864,-0.15724448,-0.098680526,0.028665359,-0.16885324,-0.033875001,-0.10830858,0.083654899,-0.21503291,-0.11170263,-0.10450388,0.013999047,-0.17511092,-0.10140139,-0.11092653,0.027542643,-0.32129754,-0.076896362,-0.11208034,0.0047692858,-0.18770555,-0.050727096,-0.087803951,0.019502799,-0.20959562,-0.060938724,-0.10933051,0.068268099,-0.33095349,-0.11483494,-0.14999747,-0.050296403,-0.22732561,-0.14684318,-0.18963101,-0.032650493,-0.36411124,0.0016146594,-0.11443905,0.078574973,-0.32892563,-0.044432106,-0.084564034,0.059950508,-0.29492833,-0.087748229,-0.13055473,0.078128345,-0.43617577,-0.15082857,-0.13924831,-0.019992942,-0.3910627,0.2595659,0.2599392,0.25689565,0.24375321
-19644.263,0.9877959,0.0038721993,10,1023,0,19688.687,0.15253872,-0.13320088,-0.10881698,-0.072228827,-0.11903874,-0.056292487,-0.28748831,-0.14202313,-0.094513521,-0.37876019,-0.26416028,-0.10000781,-0.10973903,-0.13792995,-0.28713172,-0.18738678,0.93300305,0.18167173,0.08716458,0.088350175,0.32822529,0.046904075,0.12952343,0.1210398,0.12310368,0.2547971,0.27574697,0.14683652,0.12692773,0.18846827,0.54396904,0.16622045,-0.24073646,-0.29424422,-0.19704644,-0.28088302,0.14454428,-0.09139613,1.0177619,-0.065114565,-0.012589401,-0.21669755,1.1776523,0.1950518,-0.21817309,-0.85672839,1.2095979,-1.1071572,0.42847654,-0.10348819,0.51551445,-0.2425488,-0.92634325,-1.1865873,1.2134462,-1.6057369,1.0514268,1.3210102,2.5537166,-0.30115058,0.56117477,0.074547544,1.2531818,-0.23289889,-0.05113968,0.30644355,0.30896296,-1.7085999,1.221947,1.1616447,1.6437439,0.23536081,0.59492573,0.49104001,0.9174946,0.012459416,-0.069332684,-0.50267634,0.45241079,-2.0618347,0.28952629,-0.096891331,1.5198608,-2.1882391,0.43715621,0.28052627,0.95638993,-0.98721599,0.33843412,0.24039891,0.63625784,-0.30158457,0.2446413,0.21942348,0.85501711,-1.077528,0.58601194,-1.1173918,0.096285713,-0.072069137,-0.12199204,-0.031306214,-0.109526,-0.10694127,-0.14980497,0.05169768,-0.14503035,-0.10991433,-0.12770533,-0.0061674067,-0.091815371,-0.091504458,-0.14792093,0.034639359,-0.17004636,0.021598099,-0.15300618,0.050166143,-0.19864939,-0.099741761,-0.11194827,0.00062308369,-0.13160809,-0.1513039,-0.11638654,0.043277825,-0.32649436,-0.074098647,-0.13299991,0.0096617427,-0.17021316,-0.100809,-0.056789191,-0.056479043,-0.30484846,-0.067411641,-0.082776488,0.040061,-0.31879094,-0.10011132,-0.12875749,-0.011163934,-0.26072464,-0.11018838,-0.17381905,-0.033577382,-0.40276044,-0.072990115,-0.12203723,0.083173453,-0.38748726,-0.055539872,-0.085059646,0.042319207,-0.32398883,-0.10303404,-0.15636215,0.058972849,-0.45118438,-0.14672239,-0.15091411,-0.045265447,-0.36649396,0.24883643,0.26394129,0.2400192,0.22590412
-19645.7,0.99937821,0.0038721993,10,1023,0,19692.124,0.3165142,0.099122477,-0.10724626,-0.10715995,-0.121795,-0.018575015,-0.20950775,-0.20735382,-0.11501983,-0.18256892,-0.12611903,-0.15712199,0.032047424,-0.20430829,-0.40306424,-0.14410556,0.3192125,0.27997243,0.045213393,0.10129407,0.11684961,0.13370841,0.17349756,0.10429037,0.18917144,0.16487622,0.11161615,0.11047067,0.29191088,0.30455875,0.36744692,0.14119568,-1.1620891,-1.4687242,-0.69903319,-1.3124232,-0.63606834,-0.71302789,-0.13932676,-0.86255205,-0.22143226,-0.82461343,1.295422,-0.47359513,0.7791624,-0.13552654,1.8621173,-1.0037188,0.92469504,0.082581866,1.947267,-1.1260297,-0.56296073,-0.74263064,0.29907773,-0.97024116,0.38398319,0.61254739,1.2036686,-0.53568385,1.230956,0.73317589,1.6774493,-0.14419091,0.16536432,0.2271553,0.58510422,-0.98805411,0.70802507,0.30325124,1.4540823,-0.80685957,-0.35471098,-0.329866,1.0073168,-1.2091708,0.24996361,-0.11773231,0.57092407,-1.9876421,-0.34709742,-0.60136661,0.089272936,-1.3332315,0.40119079,0.3853405,0.71659053,-0.35030871,0.82421477,0.68195714,1.1039371,-0.0042036313,0.25521869,-0.18473913,1.0114126,-1.757713,0.95867855,-2.5978823,0.22094156,-0.054439167,-0.15232093,0.09337407,-0.1024277,-0.078959124,-0.10050567,0.060114826,-0.14236832,-0.11725796,-0.14452983,-0.048675837,-0.1286591,-0.028235414,-0.12088798,0.081461499,-0.20883071,-0.013744751,-0.11214535,0.10574238,-0.25337113,-0.093847601,-0.11787098,0.021414193,-0.14830442,-0.1428876,-0.10323227,-0.00067417443,-0.30244759,-0.078976962,-0.13089063,-0.032412012,-0.22239154,-0.083737628,-0.072048539,-0.0043348253,-0.30193146,-0.06583242,-0.13257,0.057174682,-0.31560088,-0.1657105,-0.1629374,-0.01368621,-0.26108201,-0.12950835,-0.17012796,-0.094051628,-0.37669816,-0.069274089,-0.14349803,0.058107165,-0.35713735,-0.082122124,-0.086949468,0.013935629,-0.31099787,-0.10020907,-0.15248119,0.0025740578,-0.40460886,-0.10806978,-0.17018993,-0.0012984686,-0.39228705,0.25686443,0.26412696,0.25512591,0.23182095
-19641.51,0.96633047,0.0038721993,10,1023,0,19691.911,0.38132594,0.058773311,-0.12248734,-0.1149542,-0.13746016,-0.038396477,-0.10591363,-0.2958149,-0.047491337,-0.16902418,-0.090569363,-0.185872,-0.12100182,-0.36550446,-0.22150683,-0.18731908,0.28178899,0.2723925,0.040287652,0.11789389,0.15855286,0.14729826,0.13958913,0.24907428,0.16011945,0.25396834,0.13693209,0.21292007,0.22658506,0.49792988,0.33408841,0.087954418,-1.6364879,-1.8772514,-1.1919763,-1.766678,-0.36207157,-0.67281768,0.030554406,-0.73753588,-0.10325923,-0.62742357,2.7022112,-0.029303937,-0.23510297,0.2349377,1.9327998,-0.78740995,0.95589694,-0.064791713,1.3852342,-0.48284219,-0.5900377,-0.60343846,0.67908084,-0.77170507,-0.13997341,-0.059222197,1.148775,-1.4412552,0.94511259,0.57022974,1.1837435,0.4150873,-0.1963269,-0.3661118,0.16153616,-0.9851311,0.42062472,0.1844454,0.91335363,-0.49207626,-0.083247069,-0.36366689,0.77103848,-1.0709298,0.032181529,0.22127366,0.68909289,-1.0803837,0.33352873,-0.025610346,0.84533554,-0.89002133,0.65608672,0.48865284,0.89472734,0.10894255,0.45224764,0.28277111,0.7902301,-0.66289951,0.2991166,0.5015655,1.4996667,-1.9484016,-2.0537118,9.4429284,0.030025765,-0.079818319,-0.14766281,0.045440156,-0.11650447,-0.039852268,-0.12449718,0.067096102,-0.14212593,-0.12664741,-0.14776476,-0.013621595,-0.12366793,-0.14267141,-0.087256482,0.11291109,-0.20778503,0.01410003,-0.14773307,0.082172675,-0.21401617,-0.125308,-0.12728191,0.061630948,-0.15206729,-0.1254524,-0.11418041,0.054442872,-0.3070972,-0.060411665,-0.15378534,-0.00097485365,-0.19242733,-0.078927092,-0.10611296,-0.021626256,-0.20522999,-0.062198822,-0.12218089,0.062938722,-0.29399598,-0.10196856,-0.14036703,0.015010546,-0.23721401,-0.17901991,-0.1387584,-0.039150292,-0.41590739,-0.045429193,-0.12680474,0.070538582,-0.32266735,-0.038819277,-0.12218961,0.080007016,-0.31125871,-0.070416134,-0.12703628,0.042499889,-0.44297388,-0.16101046,-0.14320418,-0.055416773,-0.35868961,0.25320877,0.25780001,0.24592871,0.24591852
-19632.727,0.90403602,0.0038721993,10,1023,0,19688.477,0.40590098,0.04862523,-0.092931287,-0.088571517,-0.13171044,-0.069113846,-0.10349321,-0.32859131,-0.075270315,-0.21421775,-0.1388765,-0.18286184,-0.12244189,-0.29736799,-0.21019295,-0.19393018,0.27503592,0.23088458,0.039874378,0.08881326,0.16687775,0.13153406,0.15825781,0.29210077,0.14921451,0.3157243,0.1348591,0.22770087,0.2786977,0.40433089,0.27707846,0.11115426,-1.7440753,-2.0270994,-1.2632368,-1.8215574,-0.6512616,-0.8630794,0.081233948,-0.74521766,-0.02805604,-0.61333527,2.8987285,-0.19726628,-0.29069436,0.19942132,1.6846421,-0.87944582,0.80929729,-0.083706663,1.2319686,-0.53913202,-0.12304205,-0.44252755,0.41573632,-0.62410823,-0.085724428,-0.065358985,0.58431677,-1.4311479,1.0016565,0.70707237,1.3738191,0.37624936,0.048242124,-0.37283543,0.07235348,-1.1312396,0.59226684,0.22048566,0.79300871,-0.32821305,-0.10411477,-0.14765861,0.93350559,-0.89199625,0.31429812,0.027658375,0.54058673,-0.82596434,0.27742555,0.16384491,0.80795618,-1.0032282,0.62142542,0.52459739,0.77590876,-0.06596472,0.42444434,0.22497348,0.99511949,-0.69345129,0.41339184,0.42090687,1.3378279,-1.8732163,-0.79590514,4.7073533,0.040268922,-0.07378238,-0.15162416,0.058465494,-0.095092745,-0.10174103,-0.1506465,0.067380896,-0.12343404,-0.094050004,-0.11738765,0.022653709,-0.10079716,-0.11438903,-0.07086026,0.061047037,-0.16667797,0.0033432661,-0.14567922,0.073877697,-0.22167958,-0.085298067,-0.12732129,-0.01443036,-0.15120534,-0.11705977,-0.11383677,-0.011020513,-0.32998353,-0.036006687,-0.12205493,0.072702304,-0.21868858,-0.068071891,-0.13090277,-0.064474127,-0.24406768,-0.027224719,-0.14460507,0.036154367,-0.31784259,-0.15291733,-0.15878961,-0.012984783,-0.25917031,-0.11129588,-0.176564,-0.059769771,-0.37093464,-0.04512403,-0.076778695,0.10273364,-0.40203928,-0.046106497,-0.085257063,0.016355888,-0.32403956,-0.092588568,-0.14785765,0.065533227,-0.40233337,-0.14797992,-0.14714459,-0.045224909,-0.40214616,0.25473842,0.25031337,0.23305109,0.24011007
