# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 00:13:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc669d1689.json
# init = 2 (Default)
# random
#   seed = 304489141
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200113-4-8c8b02.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200113-4-3aec9e.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00220258
# Diagonal elements of inverse mass matrix:
# 0.0076652, 0.0214709, 0.0026882, 0.0117997, 0.115667, 0.00959057, 0.0154848, 0.0182727, 0.0122375, 0.0241703, 0.0131568, 0.070629, 0.0587921, 0.0234616, 0.045125, 0.014689, 0.319552, 0.410398, 1.35699, 0.390366, 0.454047, 0.441886, 0.316078, 0.519869, 0.359696, 0.284368, 0.33476, 0.393401, 0.369493, 0.317754, 0.352781, 0.271204, 0.317128, 0.26627, 0.446191, 0.257718, 0.320248, 0.296843, 0.221635, 0.233917, 0.29616, 0.305013, 0.325509, 0.324833, 0.296967, 0.264582, 0.247029, 0.243529, 0.436309, 0.328743, 0.490052, 0.268705, 0.353287, 0.297809, 0.213796, 0.254642, 0.29628, 0.269327, 0.31408, 0.322189, 0.290949, 0.255465, 0.239856, 0.243964, 0.488791, 0.513498, 0.566628, 0.459948, 0.433005, 0.463206, 0.412302, 0.392592, 0.427418, 0.419043, 0.533364, 0.474091, 0.413054, 0.372071, 0.354025, 0.355593, 0.34581, 0.340279, 0.406719, 0.390178, 0.548893, 0.411254, 0.382963, 0.447381, 0.537018, 0.477675, 0.446208, 0.536319, 0.564989, 0.5082, 0.593889, 0.461735, 40.432, 638.272, 0.929482
-19644.549,0.99317938,0.0022025842,10,1023,0,19683.585,-0.11486035,-0.040400048,-0.096939387,-0.030914203,-0.13868521,-0.10294618,-0.097854305,0.068021582,0.043647968,-0.14527095,-0.19711218,-0.23084809,-0.078024795,-0.066051102,-0.067906449,-0.31522394,0.054407448,0.11618132,0.023266892,0.59342647,0.16618711,0.043526149,0.12741308,0.49074019,0.27239886,0.090499582,0.18073666,0.11839845,0.35943082,0.13757509,0.2300545,0.14155965,0.63454912,-0.81987414,2.4842752,0.068143012,-0.52197071,-1.0564234,0.95483977,-0.75374102,0.20221765,0.20916618,2.1906129,-1.0179803,-0.13304348,-0.17632044,0.22467878,-0.28934503,0.94603184,0.27579938,1.2268003,-0.53031043,-0.074783798,0.22822977,2.0378036,-1.0814208,0.11171878,-0.42128563,1.0423272,-1.9601285,-0.22185631,-0.36311627,-0.12305073,-0.51194139,-0.44915066,-0.43056807,-0.22190239,-1.0550408,1.0073775,-0.19513428,1.9737092,-1.7498501,0.25453314,0.20664296,0.88010231,-0.15726861,1.315917,0.35231371,1.599005,-1.2647026,0.097672549,-0.0094845399,0.50940978,-0.73438791,0.026420197,-0.15045467,0.87242166,-1.6907963,-0.058019798,-0.19727317,0.57446658,-1.3321718,1.1649634,1.0585567,2.0245951,-0.60470699,0.3134143,0.17165307,0.043313984,-0.080336152,-0.15946761,0.020302726,-0.11115286,-0.1010433,-0.16313671,0.0705345,-0.12797068,-0.092234411,-0.09207274,-0.045970633,-0.12062462,-0.10986573,-0.13554742,0.10241613,-0.2026192,0.018533089,-0.092850907,0.065193196,-0.22681597,-0.10620123,-0.093012219,-0.014248439,-0.15001627,-0.083619871,-0.1515316,0.034951813,-0.34760031,-0.040852228,-0.11017417,0.0076356418,-0.18320863,-0.078700159,-0.073638282,-0.016797989,-0.24374393,-0.054103707,-0.16293052,0.033348913,-0.30363165,-0.15110871,-0.15976422,-0.038045431,-0.22553639,-0.075045551,-0.18913469,-0.041528373,-0.38058691,-0.042918271,-0.081433831,0.10507278,-0.34198644,-0.062416341,-0.086749916,0.053972383,-0.29866255,-0.081254165,-0.11329003,0.064252174,-0.37437856,-0.15031214,-0.16537503,-0.028622981,-0.40082605,0.25282654,0.25884361,0.25157486,0.23742825
-19640.187,0.99519779,0.0022025842,10,1023,0,19696.878,-0.096851868,-0.062891632,-0.11066866,-0.055385667,-0.18420752,-0.095018378,-0.12369975,0.083208277,0.026614904,-0.13104654,-0.20023166,-0.27857109,-0.16726487,-0.090830236,-0.11189456,-0.32457727,0.075487465,0.087554137,0.040671153,0.30371221,0.24133819,0.053547913,0.099639922,0.48387862,0.27213694,0.098805546,0.20276012,0.13170507,0.62548461,0.1551055,0.24610654,0.15199691,0.18148044,-1.0298424,1.4450973,0.29108308,-0.57364727,-0.92246289,1.3368606,-0.95971216,0.35524359,0.20424409,1.8360777,-0.73977401,-0.31155379,-0.16550368,0.44123364,-0.44593401,0.7137657,0.1541655,1.2836043,-0.23655564,-0.23850571,0.043087002,2.1665847,-1.1823316,-0.019075047,-0.19263355,1.1236921,-1.8373846,-0.28206488,-0.32251509,-0.10594818,-0.56841743,-0.32626599,-0.26700815,0.019087728,-1.0533245,0.70445734,-0.080600491,2.0275706,-1.9685912,0.38180774,0.17635408,0.94255091,-0.16196316,0.79965242,1.1143327,2.112941,-0.9534424,0.16999969,0.10231541,0.47337753,-0.28249659,0.21783605,-0.05658585,0.75541832,-1.682175,0.080639283,-0.22489057,0.49895806,-1.3637076,1.1471596,1.0559825,1.8280278,-0.30677439,0.43509913,-0.39148225,0.060942112,-0.083152369,-0.17459206,0.012234864,-0.074878744,-0.11311682,-0.14365707,0.054156042,-0.1469184,-0.096220494,-0.10236182,-0.035993261,-0.14075612,-0.15000836,-0.10565116,0.078622375,-0.19082127,-0.011948604,-0.1470015,0.1255752,-0.24129743,-0.10778986,-0.092711159,0.02099771,-0.15832977,-0.12560039,-0.14289374,-0.011735152,-0.30677661,-0.05327689,-0.072849882,0.031942217,-0.19183676,-0.062174124,-0.046047877,0.031809379,-0.26003359,-0.06144225,-0.13901032,0.069288674,-0.32555427,-0.12281627,-0.16447408,-0.0091199227,-0.23307133,-0.17325281,-0.13180781,-0.00028604698,-0.40414429,-0.060932686,-0.10326816,0.12882548,-0.34396215,-0.057042667,-0.099607012,0.026339298,-0.35174483,-0.092048706,-0.1672416,0.010902281,-0.44751192,-0.15021255,-0.1640712,-0.046722696,-0.37120602,0.25532196,0.26266618,0.25677404,0.2367095
-19631.405,0.99848462,0.0022025842,10,1023,0,19692.284,-0.075911801,-0.078157641,-0.073103733,-0.069602891,-0.028560433,-0.12483131,-0.057619631,0.10464297,-0.0035822047,-0.14679777,-0.099781225,-0.23820232,-0.36298916,-0.10463148,-0.13459883,-0.26438608,0.068373233,0.089872881,0.076708811,0.12805217,0.18039602,0.086935825,0.19291547,0.34686496,0.22307762,0.15330203,0.18524754,0.25161645,0.61916866,0.083502499,0.21627731,0.18814815,0.41691458,-0.44054524,1.4228964,-0.36739944,0.18571148,-0.82697574,1.1501059,-0.57618622,-0.45645608,-1.25934,0.14477915,-0.41501237,-0.59506947,-0.4556365,1.1810484,-0.94186867,0.1034357,-0.36627928,0.61605585,-1.2155907,0.16357636,0.045988398,1.6105642,-0.41204403,-0.61561662,-0.10737862,0.43363084,-1.256677,-0.47041719,-0.61625913,-0.20177066,-0.95269691,-0.43506886,-0.38650452,0.089465168,-1.0007569,0.41240378,0.22880295,1.0995159,-1.205879,-0.11307649,-0.27320317,0.30399385,-0.80748453,0.25230404,0.44774391,0.81571893,-0.62513372,0.53839515,0.38468358,0.70303573,0.038999036,0.36680234,0.014412976,1.5386483,-2.1544128,0.11009802,-0.0049180011,0.7317507,-1.2024978,0.70203404,0.54005723,1.0758,-0.62977876,3.1945706,-11.311237,0.057798223,-0.047406003,-0.1060333,0.021376223,-0.10103209,-0.061467215,-0.15248033,0.025205687,-0.12994116,-0.10811794,-0.16970621,-0.061997897,-0.10493884,-0.14580283,-0.12794813,0.081632923,-0.19021122,-0.0099010448,-0.094635756,0.08257359,-0.24784816,-0.11061066,-0.12083327,0.015184419,-0.16065269,-0.1763816,-0.078334629,0.026034466,-0.30005207,-0.05852827,-0.10911573,0.034655797,-0.2258142,-0.10063633,-0.089802713,0.016375472,-0.22682867,-0.083575439,-0.11172182,0.021760246,-0.33166148,-0.12072837,-0.15039144,-0.043467112,-0.24936575,-0.17471847,-0.12554258,-0.032954018,-0.39549625,-0.029631756,-0.12480514,0.072308531,-0.33884218,-0.074002566,-0.10342796,0.023849497,-0.28453033,-0.11078713,-0.13566248,0.023662246,-0.39467182,-0.13229967,-0.16277531,-0.061976304,-0.38287779,0.24902495,0.26005855,0.25740156,0.24340615
-19633.716,0.97923633,0.0022025842,10,1023,0,19690.675,-0.030032813,-0.16772727,-0.082569005,-0.092054085,-0.088589934,-0.10940071,-0.088498508,0.016987516,-0.03588673,-0.10735203,-0.17524381,-0.087239196,-0.42913756,-0.10623993,-0.031889957,-0.19820151,0.16345571,0.099618463,0.028854547,0.12486133,0.20715096,0.11411292,0.12163568,0.15984949,0.39032531,0.15891687,0.098217913,0.20402019,0.53329353,0.16520158,0.4760811,0.10234656,-0.33986087,-0.77403748,0.45173983,-0.44450938,0.24396526,0.46356541,1.6723482,-0.001366141,-0.15533869,-1.8150426,0.34566718,-1.3752106,0.19235386,-0.24949457,0.87041583,-0.89483516,0.36225961,-0.02919683,0.79028985,-0.75111972,0.089807181,-0.012422114,0.80861783,-0.37447435,-0.057287991,-0.19579803,0.81174597,-1.9330846,-0.45393373,-0.83776999,0.022372152,-1.3674259,-0.10114825,-0.14257766,0.11762134,-0.55044778,0.45888071,0.014245027,1.0000596,-1.1403226,0.40651905,0.13738801,1.5507635,-0.63072803,-0.47249531,-0.18381671,0.27281306,-1.4700315,0.73698447,0.60226039,0.97212767,0.19552714,0.45531443,0.0980177,1.0353891,-1.6216956,-0.092936102,-0.26426975,0.075369932,-0.83025047,0.3052634,0.35321437,1.4936787,-1.8535547,-3.314225,14.625951,0.16323407,-0.085585013,-0.15655366,0.043806643,-0.10269041,-0.14342383,-0.1215476,-0.0011305132,-0.16786337,-0.087051232,-0.13494124,-0.072594935,-0.12225008,-0.068036525,-0.12320631,0.016627197,-0.2037844,-0.013547508,-0.094638085,0.075119366,-0.2441851,-0.099152547,-0.11081823,-0.017126967,-0.15213307,-0.095466772,-0.11231454,0.010238766,-0.32363057,-0.055573561,-0.11692959,0.020563693,-0.20159482,-0.075367452,-0.091538399,0.010023858,-0.25074043,-0.034428144,-0.10508826,0.051574307,-0.28856854,-0.13531636,-0.16174984,-0.022931055,-0.2371926,-0.18363778,-0.12474152,-0.031579823,-0.3871553,-0.036108511,-0.10795599,0.08929184,-0.3248642,-0.03102127,-0.090047254,0.064807982,-0.37414661,-0.076135078,-0.15770379,0.003992243,-0.42715651,-0.16695885,-0.16205123,-0.045328625,-0.38790645,0.25315251,0.2587556,0.25648393,0.23803155
-19647.04,0.98732609,0.0022025842,10,1023,0,19692.28,0.079153434,-0.16140712,-0.045223459,-0.049948788,-0.16204114,-0.1426249,-0.14901585,0.047459045,0.044514908,-0.087383884,-0.1341784,-0.062617497,-0.35112942,-0.1414082,-0.19212124,-0.17817325,0.17420991,0.15036722,0.045868193,0.13526064,0.14503612,0.2341106,0.11544374,0.25338458,0.20073154,0.13304471,0.11979797,0.16898683,0.62745237,0.11965652,0.48197234,0.14367041,-0.63952454,-1.4828837,0.16380838,-1.0620298,0.65125424,-0.17963784,1.3056946,0.35382132,-0.88614367,-2.1387858,0.23175423,-1.9314395,-0.61113182,-0.38136333,0.77449476,-1.0725398,1.2545647,0.40066222,1.6889218,-0.35414322,0.04348041,-0.022253515,0.8355123,-0.046674917,-0.19590983,0.27912936,1.5337234,-1.374496,-0.49343123,-0.59442287,0.11949062,-0.88734455,-0.6415911,-0.71171697,-0.028541684,-1.3879131,0.039853706,-0.42409473,1.0765798,-1.9379898,-0.016225844,-0.0065519544,1.3366621,-0.9183182,-0.41662465,-0.51700031,-0.019306133,-1.9488336,0.47579486,0.38839674,0.72781083,0.05490644,0.42476932,0.14155031,1.2205433,-1.2186763,0.31062368,0.1502199,0.51816981,-0.46315866,0.13991839,0.020201766,0.87771869,-1.5790856,2.801579,-9.7986755,0.07702732,-0.032258077,-0.17917959,0.10769048,-0.10586269,-0.063479831,-0.18841877,0.034926546,-0.10820399,-0.085869269,-0.1433257,-0.034593311,-0.1338151,-0.13261087,-0.10153224,0.054809871,-0.19502121,0.019916057,-0.10393064,0.082913524,-0.2134047,-0.13244568,-0.14783469,0.052977382,-0.153552,-0.17163241,-0.11679211,0.028042911,-0.3076928,-0.07756882,-0.10315854,0.077736125,-0.17738038,-0.084272659,-0.098349132,0.038785692,-0.23408302,-0.082081559,-0.14380744,0.055849362,-0.34522317,-0.13612222,-0.13496331,0.025951008,-0.24419105,-0.13302158,-0.14998374,-0.065879979,-0.39194472,-0.052590806,-0.10742897,0.10553721,-0.31667825,-0.090581777,-0.12447078,0.0046377644,-0.28723076,-0.042409217,-0.1197194,0.057622275,-0.4153509,-0.15807112,-0.17527085,-0.052071048,-0.40504112,0.2528699,0.25541022,0.25276686,0.24074626
-19648.883,0.96210225,0.0022025842,10,1023,0,19694.285,-0.0063792213,-0.13268465,-0.035101483,-0.057686628,0.042259576,-0.15900689,-0.10802002,-0.13105629,0.074481123,-0.089234996,-0.12968458,0.15568051,-0.23744348,-0.16138919,-0.054269354,-0.1752611,0.10522307,0.13563123,0.10259862,0.14687221,0.25856058,0.12553173,0.13976505,0.17451542,0.43696827,0.082065087,0.11510652,0.24975561,0.39915737,0.16789934,0.22630768,0.10197123,-0.73658125,-1.4385504,1.1928303,-0.93318679,0.41978873,-0.31595714,1.9078803,-0.054517497,-0.95832347,-0.69571775,0.4775053,-0.65771637,-0.35927637,-0.37118718,0.80586384,-0.99680222,-0.2276721,-0.72955078,0.25516397,-1.161734,0.4745126,0.47942655,0.84932787,-0.10599472,-0.21939496,0.035957535,1.0281127,-1.5526188,0.3167991,0.2635113,0.90162295,-0.35063609,-0.34015947,-0.39125793,-0.074280748,-0.69775766,0.13194395,-0.56628427,1.4902986,-2.6733933,-0.045863349,-0.27754469,1.0763228,-0.76220196,-1.099959,-1.2081468,-0.7696628,-2.1190245,0.41045362,0.28524682,0.79247758,-0.2261234,0.60340308,0.1576023,1.6119655,-0.75500818,-0.029836257,-0.39381656,0.45619787,-1.6885453,0.21160617,0.14392885,0.5703382,-2.2204093,0.54380616,-0.59240978,0.093759371,-0.083884559,-0.1577479,0.11913405,-0.104572,-0.075748188,-0.1755383,0.1260835,-0.14007892,-0.13342415,-0.10648117,0.013889903,-0.10258228,-0.11045434,-0.11220371,0.060672376,-0.20408918,-0.016607455,-0.1463735,0.10823492,-0.25811905,-0.099440498,-0.098823642,-0.052389287,-0.17231259,-0.13868377,-0.10299441,0.035674208,-0.32502187,-0.075769964,-0.085069506,0.026290817,-0.1922477,-0.074157772,-0.096486177,0.042022793,-0.23041683,-0.078407004,-0.13570716,0.03306649,-0.30862725,-0.13496375,-0.16163178,-0.0057928081,-0.21741899,-0.11904042,-0.14606092,-0.036547088,-0.37355773,-0.073607894,-0.12358511,0.078879787,-0.3277023,-0.060078206,-0.13492786,0.10925877,-0.28815456,-0.061021529,-0.14339307,0.048971728,-0.43640013,-0.15368336,-0.1605845,-0.11710301,-0.40167897,0.25760909,0.25390584,0.2557571,0.23875724
