# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 00:29:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc74aabaf5.json
# init = 2 (Default)
# random
#   seed = 1368045950
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200129-1-590886.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200129-1-902313.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00109958
# Diagonal elements of inverse mass matrix:
# 0.00417512, 0.00843486, 0.00302376, 0.0280628, 0.0148681, 0.0214438, 0.0200235, 0.0151637, 0.0123611, 0.0247299, 0.00814988, 0.0256963, 0.0547789, 0.0297081, 0.0357462, 0.0275517, 0.303878, 0.318022, 0.682993, 0.420547, 0.284476, 0.69955, 0.302696, 0.347043, 0.374597, 0.376093, 0.309654, 0.314202, 0.412262, 0.302805, 0.284181, 0.339304, 0.290417, 0.295502, 0.344866, 0.286332, 0.258724, 0.308923, 0.216353, 0.261403, 0.276973, 0.234828, 0.243958, 0.297529, 0.289067, 0.297617, 0.262793, 0.259292, 0.390725, 0.336642, 0.359403, 0.292451, 0.236129, 0.29436, 0.20099, 0.257598, 0.251093, 0.237458, 0.246688, 0.276167, 0.277256, 0.290443, 0.255149, 0.248661, 0.458149, 0.501557, 0.47123, 0.457456, 0.388079, 0.537675, 0.343396, 0.510605, 0.362736, 0.357084, 0.407411, 0.394883, 0.42293, 0.385924, 0.365514, 0.395105, 0.277467, 0.345873, 0.272099, 0.449007, 0.36548, 0.423529, 0.42187, 0.359837, 0.478551, 0.46252, 0.440716, 0.490286, 0.553016, 0.519967, 0.548235, 0.424462, 24.8482, 428.083, 0.905058
-19646.097,0.99940877,0.0010995846,10,1023,0,19685.675,0.14954052,-0.076641917,0.0489349,-0.016892595,0.232636,-0.18726728,0.0018687792,-0.044055992,-0.0317465,-0.25681599,-0.14343469,-0.066616735,-0.09863101,0.059954755,-0.17726712,-0.15717472,0.29106307,0.049267762,0.14423806,0.22248215,0.32209877,0.18249021,0.12237068,0.13252905,0.28860931,0.18438694,0.090944545,0.22648512,0.29314923,0.22106054,0.1881304,0.12618844,-0.91660402,-0.94907584,-0.27183647,-0.9247618,-0.46564241,-1.5604142,2.5058175,-1.0712446,-0.94600832,-1.1793148,-0.66978262,-1.2459403,-0.65255309,-0.51127151,0.65824082,-0.77782464,-0.74182132,-1.0687263,-0.33670041,-1.502288,0.47509121,0.36174187,0.95098317,0.06562148,-0.9692995,-0.90985818,0.60565752,-2.4726914,0.012937624,-0.37049279,0.71402017,-1.1925161,-0.041447053,-0.16832933,0.047915723,-0.76706957,0.77898801,0.56279095,1.6391236,-0.23338451,0.0064998072,-0.29292777,0.76016562,-0.91393713,-0.40530244,-0.41160447,0.15384704,-1.3672746,0.27275987,-0.027075823,0.6980491,-0.9153712,-0.50115657,-0.80919806,-0.025914869,-1.688142,0.23903971,0.20985255,1.3536178,-1.2972422,0.2721179,0.0085669107,0.9957259,-2.1115132,-5.7131022,25.32703,0.075831571,-0.11724906,-0.12670041,0.070418962,-0.11962349,-0.099583076,-0.15352003,0.046814104,-0.12941974,-0.087515509,-0.12116719,-0.047673249,-0.13077712,-0.16207401,-0.13064138,0.12955423,-0.18994469,-0.0063037279,-0.11159943,0.12418521,-0.25124911,-0.10056779,-0.12125294,-0.013722168,-0.17529201,-0.11674506,-0.10947118,0.0759835,-0.30071614,-0.042341381,-0.093157051,0.050572426,-0.20209902,-0.043708506,-0.080327911,-0.017917577,-0.25312992,-0.11318078,-0.15304469,0.045416988,-0.29984905,-0.14284357,-0.17007487,-0.07430177,-0.22655228,-0.15841171,-0.15983902,-0.031772671,-0.37628409,-0.018671665,-0.10656827,0.10600154,-0.36697137,-0.050831187,-0.11892701,0.054226,-0.31322683,-0.13229648,-0.13778748,0.07738955,-0.42131782,-0.12283659,-0.15609368,-0.031525628,-0.42362328,0.2343661,0.23674387,0.2370794,0.24395964
-19632.56,0.99320777,0.0010995846,10,1023,0,19692.932,0.14594932,-0.080879528,0.042917512,-0.010851517,0.24577336,-0.2480549,-0.020090607,-0.077045077,-0.056557208,-0.21131153,-0.1376235,-0.035926837,-0.10604683,0.087120563,-0.19383093,-0.17559518,0.31913003,0.054377111,0.15182012,0.15598278,0.30588623,0.22423382,0.12887685,0.14111744,0.25829195,0.17413824,0.091884546,0.2639681,0.26494321,0.2635795,0.1981041,0.12381692,-0.82016091,-1.019005,-0.31199456,-0.85441476,-0.67412702,-1.6040451,2.7323109,-1.0995695,-0.94699727,-1.0745739,-0.37882988,-1.0239423,-0.52930425,-0.62271167,0.31160754,-1.0919036,-0.82317218,-1.2666147,-0.63660055,-1.4590615,0.41097961,0.58880063,1.1745306,0.43145723,-0.98336177,-0.80988622,0.44028719,-2.5306869,-0.097750046,-0.42881535,0.90124335,-0.93363622,-0.23301351,-0.12681447,0.15217297,-0.66834756,0.91254557,0.51242269,1.6354399,-0.6086592,0.093454021,-0.42859651,0.89592145,-0.96880557,-0.30710941,-0.60827742,0.00048273318,-1.4619768,0.27191849,0.026106658,0.75670473,-0.86284373,-0.55767583,-0.70322794,-0.15942917,-1.5187735,0.36425125,0.35229104,1.2092907,-1.1863829,0.096488742,0.26553655,0.8460299,-1.7077768,-4.9368385,22.099394,0.073025923,-0.11578865,-0.17924577,0.046382491,-0.12672009,-0.11753661,-0.16810287,0.067695649,-0.14067094,-0.10085573,-0.12022443,-0.014596485,-0.11253753,-0.093413865,-0.10798381,0.037753894,-0.18116968,-0.0060236739,-0.14166662,0.051046017,-0.20053347,-0.15589937,-0.11602588,0.015314597,-0.15130759,-0.14682317,-0.12446619,0.036652218,-0.34623755,-0.090839313,-0.1375584,0.050136075,-0.20879743,-0.11674272,-0.089312363,-0.017252157,-0.229186,-0.052402448,-0.12207914,0.073481099,-0.31730237,-0.12903652,-0.1770049,-0.055302167,-0.22664176,-0.11699392,-0.19649267,-0.035799411,-0.42184207,-0.03400387,-0.099130046,0.094436951,-0.33465141,-0.059871354,-0.098235904,0.045098303,-0.313197,-0.12167127,-0.12404063,0.045734515,-0.42885825,-0.16364824,-0.14271726,-0.07084236,-0.38704684,0.2451048,0.23864579,0.23857658,0.24176006
-19634.498,0.99993164,0.0010995846,10,1023,0,19684.261,0.18018554,-0.067199074,0.030142067,-0.01081616,0.16106511,-0.16705998,-0.045911173,-0.076488452,-0.10281455,-0.21838835,-0.13290719,-0.10160383,-0.14414022,-0.0099783338,-0.15383605,-0.13033335,0.31584427,0.059302051,0.15380216,0.14565791,0.26401582,0.1822936,0.11781185,0.24679136,0.12810546,0.20521821,0.08293239,0.26938238,0.38698,0.64167277,0.15519802,0.14538434,-0.90719917,-1.1535753,-0.46832096,-0.98052295,-0.15795703,-0.65632384,1.7680439,-1.6926313,-1.1699794,-1.0493208,-0.410427,-1.0626211,-0.47830329,-0.69606538,0.65949158,-1.2738431,-0.62900097,-1.1652289,-0.33013075,-1.3381774,0.53324825,0.24216984,0.83833724,0.12860814,-1.0138422,-0.417178,0.94874557,-2.1186865,0.12609567,-0.10611393,0.38362287,-0.48520305,0.13533792,-0.022686623,0.64790907,-1.0618025,0.94292018,0.50050937,1.2964303,-0.37425364,-0.37790458,0.0036477869,1.3542806,-1.3072428,-0.34773426,-0.19638292,0.16984572,-1.2091563,0.29774696,0.1306581,0.6705956,-0.60975134,-0.046282712,-0.12347943,0.090669541,-0.43997472,0.53994136,-0.1021539,1.1518584,-1.7866516,0.029485346,-0.24853912,0.62907382,-1.8878451,-1.9384556,9.23344,0.09943919,-0.10634812,-0.18416461,0.032269047,-0.12950702,-0.07656625,-0.10612042,0.037649557,-0.16757558,-0.1498033,-0.13124574,-0.032982493,-0.13329135,-0.080484816,-0.11220359,0.085244004,-0.19636147,-0.005001093,-0.14657376,0.073905372,-0.19223489,-0.069852239,-0.12291397,-0.014236468,-0.14361554,-0.1653538,-0.095059687,0.065862301,-0.29551756,-0.045369129,-0.10267645,0.018186358,-0.19623237,-0.085477027,-0.10572083,-0.019813863,-0.23883726,-0.024883957,-0.11567471,0.047662753,-0.29519201,-0.16424772,-0.13260467,-0.020593465,-0.24131996,-0.19527732,-0.15450593,-0.055850391,-0.42732924,-0.028918098,-0.093578147,0.11536686,-0.38010179,-0.03967669,-0.089211724,0.048201841,-0.29229813,-0.070038224,-0.16969014,0.024930084,-0.43112085,-0.12604664,-0.16646705,-0.038875865,-0.40479647,0.23681314,0.24636677,0.24826162,0.24022957
-19626.598,0.99952637,0.0010995846,10,1023,0,19673.298,0.13049906,-0.046979164,0.010105984,-0.030922061,0.089008195,-0.17010869,-0.035876657,-0.069508984,-0.074024334,-0.13632692,-0.13645405,-0.064401355,-0.080449275,-0.044034035,-0.14207078,-0.10724984,0.3624625,0.082985977,0.13513533,0.16257883,0.34810567,0.46005194,0.12618179,0.28669402,0.14750384,0.21311505,0.091467263,0.25749444,0.21745022,0.9259181,0.16726861,0.1434483,-0.65851076,-0.78122845,-0.19483267,-0.63864485,-0.46975794,-1.2552887,1.2745102,-1.0787197,-0.69172986,-0.98760291,0.148968,-0.89135395,-0.34699459,-0.34105513,0.81236095,-0.98186928,-0.28554503,-0.72766699,-0.060496455,-0.88081716,0.25910553,0.1233307,0.34324286,-0.011303137,-0.70529921,-0.66656175,0.56106884,-2.3116985,-0.017279791,-0.078250742,0.18781615,-0.53343909,-0.084477257,-0.056012887,0.59206734,-1.1980625,0.47849257,0.044820648,0.94950047,-0.73018144,0.13479237,-0.35401037,0.8150855,-0.79935686,-0.31785057,-0.49912739,0.071403375,-1.3958299,0.15945206,-0.065540463,0.70928356,-1.1809838,-0.019603917,-0.068964622,0.10963129,-0.23916831,0.15313266,0.058266162,1.1177985,-1.7823655,-0.30259632,-0.27139277,0.50315323,-2.1392846,-1.0252903,5.6987725,0.1063098,-0.1081864,-0.15266696,0.059879524,-0.10098575,-0.085962486,-0.15115052,0.058787308,-0.13649778,-0.083371155,-0.12335406,0.030236824,-0.11034742,-0.087336037,-0.086370406,0.10115063,-0.19055322,-0.01039165,-0.16429681,0.067949036,-0.21760925,-0.050906686,-0.11337016,-0.012199147,-0.17530872,-0.12487258,-0.11998461,0.034920014,-0.32757092,-0.074462997,-0.091943004,-0.015663215,-0.22244278,-0.086485054,-0.08228645,0.013307872,-0.25074315,-0.034352955,-0.12677497,0.06602592,-0.29193958,-0.12412496,-0.16883441,-0.061900409,-0.20956903,-0.14624611,-0.19292388,-0.046015382,-0.42381981,-0.045776389,-0.094701063,0.073784591,-0.33725447,-0.062185657,-0.10788963,0.057475558,-0.26548431,-0.11645649,-0.13232468,0.044901815,-0.44020457,-0.15065677,-0.14618067,-0.035073366,-0.41412658,0.24207983,0.23714334,0.23685756,0.24684155
-19622.831,0.99973923,0.0010995846,10,1023,0,19667.371,0.12389695,-0.046958568,-0.036725084,-0.06103841,0.10822395,-0.1238515,-0.064577759,-0.056516572,-0.073993164,-0.14192751,-0.13159572,-0.099839241,-0.11813324,-0.20508427,-0.13850768,-0.12793486,0.34904934,0.084220139,0.11908067,0.12465787,0.29687257,0.18736588,0.12245168,0.25259984,0.16621264,0.22262132,0.1325038,0.19857171,0.25698447,1.0947634,0.15434953,0.11420163,-0.44225059,-0.74453485,-0.25433072,-0.65437092,-0.63198953,-1.1113974,1.1340293,-1.3804269,-0.89213914,-0.97129564,0.2248083,-0.65817658,-0.23659877,-0.38181907,0.75780479,-0.79593359,-0.38558314,-0.6603506,-0.082256419,-1.0977927,0.0040003505,0.16322427,0.88082432,-0.18323761,-0.53446478,-0.44027668,0.72206508,-2.0890934,-0.1691116,-0.42787628,0.43750053,-0.527584,-0.3147235,-0.01402536,0.44576039,-1.1031133,0.47476527,0.17628478,0.95870086,-0.72235884,0.024761248,-0.096485736,0.82295006,-0.8974891,-0.23435101,-0.28837609,0.42238174,-1.5086497,0.33428709,-0.094861695,0.81346332,-0.91671218,0.15624804,0.089914743,0.24369254,-0.10822781,0.48929263,-0.0093647692,0.9843707,-1.5263766,-0.25602506,-0.57789046,0.8645242,-2.2157692,-1.6117873,8.1110781,0.13882739,-0.030470329,-0.13598245,0.035122978,-0.10451079,-0.10018481,-0.14056061,0.048549534,-0.16321831,-0.14296161,-0.15238762,-0.0099547616,-0.11510119,-0.09053231,-0.10863516,0.033427924,-0.1602578,-0.0062451019,-0.087816024,0.083804279,-0.21768058,-0.12310197,-0.093268842,0.041184921,-0.15818398,-0.13002387,-0.11849038,0.02384032,-0.32039075,-0.099234134,-0.16459805,0.053995991,-0.18978421,-0.12630419,-0.076324356,9.7845651e-05,-0.25734453,-0.036234642,-0.10268276,0.071499738,-0.30273999,-0.12831476,-0.14438044,-0.022551702,-0.25051644,-0.14637472,-0.15710257,-0.015966177,-0.39941438,-0.032226652,-0.14251122,0.090914199,-0.35371403,-0.034029624,-0.10664889,0.061701413,-0.32356811,-0.062985592,-0.13995313,0.013429476,-0.3741032,-0.15717333,-0.19393089,-0.029204786,-0.38097931,0.24894323,0.24737562,0.2430052,0.23804867
-19623.474,0.99975999,0.0010995846,10,1023,0,19670.351,0.11414761,-0.033347175,-0.091150936,-0.034866824,0.080287996,-0.079693193,-0.070965206,-0.07763835,-0.0036508156,-0.12273587,-0.13884321,-0.077047739,-0.13010783,-0.072905507,-0.16884495,-0.1328049,0.47453975,0.091531845,0.10990423,0.1642553,0.36902161,0.22753574,0.15540573,0.28298425,0.19089102,0.1944872,0.20574592,0.26069509,0.15667624,0.98514524,0.15949089,0.082766511,-0.31183582,-0.54171571,-0.24786261,-0.47541839,-0.84752096,-1.0082411,1.107084,-1.0855271,-0.35419647,-0.2730787,0.45635483,-0.30228775,-0.36803895,-0.38540769,0.40196664,-0.76808479,-0.21374288,-0.47893795,0.016865263,-0.81799669,0.020993077,-0.1507541,0.47943588,-0.34567761,-0.41600987,-0.21333535,0.76764527,-1.6426881,0.075807633,-0.25501886,0.39145994,-0.30116216,-0.23451324,-0.51617471,0.018930603,-1.1915855,0.39533537,0.0041077101,0.873147,-0.96877717,-0.13633132,-0.1321026,0.61209611,-0.38827658,-0.25829891,-0.27153851,0.035735398,-1.2744532,0.66428021,0.30536773,1.4104451,-1.3771978,0.038088865,-0.027258297,0.11345887,-0.27342879,0.44623434,0.31822119,1.3261803,-1.28393,0.03666408,0.062758789,0.50244948,-2.7904178,-1.6917261,8.1624586,0.21734284,-0.033830878,-0.14291802,-0.003473048,-0.11145731,-0.11092233,-0.12563334,0.067986263,-0.13270747,-0.13007863,-0.12116344,-0.040995609,-0.12437364,-0.095319173,-0.098172079,0.031158326,-0.16102882,0.0014122543,-0.096450457,0.086511643,-0.22157046,-0.074916518,-0.11399514,0.029395605,-0.1583472,-0.13561552,-0.10411874,0.048331267,-0.32624835,-0.056185983,-0.14980467,0.033138649,-0.1628625,-0.048417287,-0.10218393,-3.7133527e-05,-0.23111379,-0.045848201,-0.12193697,0.047080045,-0.31115063,-0.16689282,-0.16602278,-0.012906933,-0.21872953,-0.144385,-0.1478365,-0.067731696,-0.40929144,-0.026030901,-0.08226396,0.090875405,-0.345882,-0.035382443,-0.099758888,0.038867962,-0.34227258,-0.097674634,-0.11809156,0.042668738,-0.37362009,-0.12977034,-0.12761057,-0.091218911,-0.36375804,0.23362592,0.24223916,0.24799267,0.24130692
