# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 00:29:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc74aabaf5.json
# init = 2 (Default)
# random
#   seed = 1368045950
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200129-3-590886.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200129-3-902313.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000169674
# Diagonal elements of inverse mass matrix:
# 0.00400136, 0.0043784, 0.00161462, 0.0076185, 0.00718124, 0.00281614, 0.00980947, 0.00235392, 0.00918991, 0.0131808, 0.00466077, 0.00602589, 0.0123496, 0.0192028, 0.0264281, 0.0120835, 0.225067, 0.116867, 0.31602, 0.145954, 0.43641, 0.239698, 0.221251, 0.403854, 0.407764, 0.311077, 0.52513, 0.256906, 0.10506, 0.180434, 0.418903, 0.189084, 0.191714, 0.144261, 0.242752, 0.300319, 0.186202, 0.187094, 0.149507, 0.17208, 0.223527, 0.107622, 0.108586, 0.089923, 0.216387, 0.288841, 0.148951, 0.109963, 0.255991, 0.150788, 0.262554, 0.27707, 0.153964, 0.217599, 0.127443, 0.234952, 0.205808, 0.101616, 0.115422, 0.0835489, 0.196595, 0.286808, 0.132331, 0.10479, 0.335284, 0.189788, 0.379806, 0.520483, 0.378771, 0.345254, 0.255351, 0.397126, 0.336893, 0.241213, 0.263186, 0.176612, 0.288738, 0.413576, 0.25318, 0.139031, 0.220979, 0.157825, 0.186238, 0.318153, 0.307173, 0.259237, 0.36046, 0.591901, 0.369791, 0.334831, 0.200923, 0.18086, 0.271811, 0.474609, 0.32164, 0.289142, 35.1752, 601.307, 1.63052
-19620.084,0.98052124,0.00016967389,10,1023,0,19671.151,-0.13396767,-0.25532274,-0.092911034,-0.094951772,-0.053183702,-0.24959324,-0.18033435,-0.14179091,-0.1487201,0.0090586943,-0.11319731,-0.34479601,0.05327792,-0.12629496,-0.24145459,-0.3543037,0.13675798,0.22975307,0.088293504,0.22530303,0.12538198,0.40613091,0.10367755,0.10407388,0.84830097,0.37859243,0.15233305,0.20868988,0.27979248,0.12410015,0.35722645,0.3937352,0.55772517,0.11723573,1.3854797,0.23872934,0.62045393,0.53404179,1.2844151,0.46042907,-0.16890845,-0.51328881,0.40458655,-0.33964823,-0.025076035,0.01450789,0.72683523,-0.53296901,0.18591922,-0.50024187,1.0439242,-1.4737823,0.38929777,0.28624312,0.59472658,0.22446871,0.72458164,0.50926398,2.0885387,-1.2403769,0.70803397,0.27676322,1.7275969,-0.47986791,0.097834879,0.016716976,0.11485845,-0.13231434,-0.1472391,-0.37858511,0.11888236,-0.78365404,0.005921512,-0.31631005,0.67824988,-0.77058815,1.1332739,0.65130157,1.4293471,-0.36697532,-0.23445405,-0.47926787,0.14872301,-1.6443326,0.56054088,0.20926171,1.1600939,-1.8286765,0.53736748,0.30527578,0.87870924,-0.66646183,0.56671652,0.46371115,0.8581909,-0.029240905,3.45638,-12.732592,0.0041697269,-0.057694299,-0.11793474,0.055507741,-0.10131952,-0.11277155,-0.132625,0.039775569,-0.14953775,-0.10782455,-0.1382311,-0.05718867,-0.12289977,-0.10060148,-0.0916831,0.068806406,-0.2150313,-0.029872782,-0.11590502,0.077705575,-0.23796944,-0.091487388,-0.13334106,-0.0080563966,-0.15842956,-0.1052115,-0.12753511,0.036200226,-0.30893359,-0.068103066,-0.11298708,0.038006799,-0.19173262,-0.065726678,-0.13453907,-0.051285567,-0.26096249,-0.046684914,-0.13427076,0.054066655,-0.28762679,-0.11229527,-0.16138179,-0.0098774399,-0.23058336,-0.10829321,-0.20887596,-0.046505731,-0.42138004,-0.012320562,-0.080817626,0.094889499,-0.40679399,-0.056731748,-0.10032555,0.017672876,-0.35323399,-0.049492711,-0.13240201,0.072443594,-0.47953238,-0.13116745,-0.17172429,-0.016403729,-0.36581687,0.24406114,0.24388984,0.25238012,0.242519
-19620.415,0.99921892,0.00016967389,10,1023,0,19678.48,-0.13679829,-0.25470331,-0.094482172,-0.093696912,-0.052351951,-0.24955255,-0.18298496,-0.13785236,-0.15507736,0.0098865177,-0.11074376,-0.34261398,0.054606757,-0.12186769,-0.23535893,-0.35868464,0.13758738,0.23004515,0.09202881,0.22566992,0.12810358,0.39842311,0.10225084,0.10532646,0.84865452,0.38639375,0.14737892,0.20629919,0.27547428,0.12118614,0.35821082,0.40208763,0.54287035,0.1176224,1.363004,0.25081936,0.61744896,0.55413197,1.2851296,0.47056235,-0.15821809,-0.51295123,0.38128238,-0.34273146,-0.048738665,-0.011453589,0.71635529,-0.49191751,0.1759249,-0.49182124,1.0773319,-1.4595694,0.3828475,0.29819966,0.60207163,0.22592775,0.71968007,0.51786603,2.0624192,-1.2383751,0.69562196,0.29282121,1.7264311,-0.50096109,0.094881539,0.014749018,0.12604827,-0.11898414,-0.16667069,-0.37614477,0.099137021,-0.7711425,0.018620751,-0.30628632,0.68811235,-0.75817837,1.13809,0.65219304,1.408087,-0.38440239,-0.24378807,-0.46596354,0.12124239,-1.6283928,0.56525783,0.22032673,1.1697283,-1.8396259,0.55914157,0.28902132,0.88643665,-0.67388316,0.56887334,0.44872528,0.84925834,-0.036074558,3.472914,-12.744989,0.0041916217,-0.062106178,-0.12061493,0.050733865,-0.10228871,-0.11266217,-0.12722794,0.040934509,-0.14645273,-0.10904279,-0.14168846,-0.059393208,-0.12602334,-0.10469576,-0.096281642,0.067962927,-0.2047079,-0.029815341,-0.11535601,0.085658124,-0.23932801,-0.09701726,-0.13074291,-0.0096733001,-0.15953771,-0.10939706,-0.13003272,0.027899143,-0.30960986,-0.064584956,-0.10701053,0.043986525,-0.19061681,-0.074555715,-0.14256054,-0.048105927,-0.25605379,-0.054513996,-0.13545347,0.048192443,-0.28807813,-0.10799946,-0.15588391,-0.0093305068,-0.22248328,-0.10782694,-0.20806708,-0.05212676,-0.42191588,-0.012550585,-0.073754213,0.088005917,-0.39397357,-0.053366277,-0.095167144,0.019887167,-0.34480484,-0.035068373,-0.13182837,0.082172264,-0.47675117,-0.12994771,-0.17825776,-0.017208369,-0.37318977,0.24525811,0.24523048,0.25202245,0.24386486
-19613.059,0.80106164,0.00016967389,10,1023,0,19665.506,-0.13747767,-0.25963201,-0.089148908,-0.086100017,-0.048644364,-0.23876292,-0.18373559,-0.1409502,-0.15986537,0.0026234059,-0.13239369,-0.33474134,0.048121382,-0.13152536,-0.23450475,-0.35562071,0.13314584,0.23407161,0.089367439,0.21839271,0.13651028,0.40461206,0.10844446,0.10367486,0.87714372,0.39182253,0.14278821,0.20107859,0.27644892,0.11656274,0.34472169,0.40742568,0.53274651,0.15197731,1.3946003,0.31842587,0.65228494,0.54486264,1.334266,0.44805484,-0.10527723,-0.52188029,0.42024434,-0.27882822,-0.13195996,-0.027600005,0.79611788,-0.47674359,0.210227,-0.5512883,1.034576,-1.390745,0.35887248,0.35299493,0.60667747,0.23685126,0.71618418,0.52487196,2.0248957,-1.2767659,0.67740363,0.34909641,1.729394,-0.41623083,0.13656666,0.073404961,0.12143488,-0.047122839,-0.17547407,-0.35200549,0.15727167,-0.78344887,-0.011382747,-0.29703144,0.69360334,-0.73232701,1.1396743,0.65466882,1.4349782,-0.32786334,-0.29961951,-0.45861763,0.11376902,-1.6004577,0.52985889,0.20611757,1.1580254,-1.7367602,0.50411869,0.26617195,0.85512549,-0.64896178,0.54788932,0.44093671,0.87730019,-0.1025998,2.7588728,-10.118377,0.0044424785,-0.066544691,-0.11724253,0.048207551,-0.095080593,-0.10695062,-0.13209513,0.052681797,-0.15475509,-0.098557265,-0.13578801,-0.051592747,-0.11406707,-0.11491911,-0.092127657,0.087766326,-0.19021734,-0.019946219,-0.12390088,0.092585898,-0.23849535,-0.093558787,-0.095936916,0.0067060989,-0.14293005,-0.10606938,-0.12681614,0.035853131,-0.32219379,-0.070720472,-0.10475768,0.038344485,-0.18410287,-0.040076779,-0.095478668,-0.05334953,-0.20119887,-0.066131288,-0.13530028,0.064245991,-0.30434951,-0.13401901,-0.17480628,-0.033355312,-0.23696135,-0.10557723,-0.20310146,-0.046197937,-0.40066764,-0.034708109,-0.078662969,0.079572704,-0.39432343,-0.069763552,-0.10749973,0.0034572582,-0.3339669,-0.060724105,-0.14274951,0.060275551,-0.45821596,-0.13239653,-0.17597177,0.0018139134,-0.3974225,0.23809869,0.23838421,0.24774153,0.23688515
-19616.954,0.88061993,0.00016967389,10,1023,0,19658.666,-0.13979387,-0.26308471,-0.08523625,-0.091851303,-0.030424234,-0.23952608,-0.19289857,-0.1397744,-0.15867487,0.00010633207,-0.12249953,-0.32942488,0.053991606,-0.12624279,-0.23392948,-0.356566,0.13330125,0.24206149,0.085320364,0.21180474,0.13617111,0.41311891,0.10935742,0.096367689,0.95557315,0.39190683,0.14854328,0.20568599,0.27685834,0.12101847,0.31140433,0.39440185,0.52669175,0.13015363,1.329711,0.38866944,0.62415747,0.53738008,1.37728,0.46977768,-0.11370761,-0.66878265,0.39688518,-0.26764052,-0.15963121,0.0069873818,0.82861537,-0.44719864,0.21262375,-0.52655973,1.0828182,-1.3958584,0.33154926,0.32306967,0.65641854,0.17351784,0.72451124,0.50316543,2.0603395,-1.2836684,0.64202538,0.37557013,1.6839517,-0.55728136,0.086747784,0.0040712234,0.13860471,-0.11471179,-0.18455212,-0.33651468,0.19953947,-0.74290791,0.027953098,-0.2929409,0.77723126,-0.70688213,1.160613,0.63605116,1.4749073,-0.35300491,-0.27926039,-0.47730149,0.21438554,-1.5958392,0.55839587,0.17076327,1.2113195,-1.7946238,0.46240076,0.24161998,0.92780069,-0.68414677,0.57326234,0.46905888,0.83946936,-0.11716489,3.1096806,-11.307922,0.0043715396,-0.069585203,-0.12244423,0.03745827,-0.087983748,-0.11200022,-0.13300569,0.070301742,-0.14936963,-0.094937825,-0.14229703,-0.051373862,-0.10807144,-0.12566195,-0.090371342,0.083653364,-0.1865701,-0.0014710222,-0.10212646,0.11702432,-0.22049982,-0.10255681,-0.10605989,0.031652834,-0.16784258,-0.11366789,-0.13787369,0.032414846,-0.33327724,-0.0779039,-0.10358158,0.022504135,-0.19347832,-0.075781021,-0.15478452,-0.026227935,-0.26829038,-0.072220906,-0.13177607,0.078307212,-0.29104435,-0.11834729,-0.16601393,-0.0070470545,-0.22750212,-0.090703044,-0.19859807,-0.026057108,-0.40203304,-0.023323961,-0.078153293,0.11334603,-0.38782978,-0.05866658,-0.10557728,0.02034923,-0.34342541,-0.089935883,-0.15868797,0.054991669,-0.44697574,-0.13047027,-0.17156831,-0.025477732,-0.40277605,0.2434012,0.24391936,0.25203929,0.2426303
-19615.01,0.9742053,0.00016967389,10,1023,0,19673.385,-0.13957715,-0.25587748,-0.086702513,-0.088234725,-0.035111937,-0.23711452,-0.19100836,-0.14355647,-0.14975837,-0.007525133,-0.1184136,-0.33315921,0.056778142,-0.1264162,-0.22735371,-0.3662652,0.13421511,0.23936794,0.086515929,0.21335773,0.12694612,0.41156846,0.10833733,0.10222063,0.970771,0.39755858,0.15756293,0.20734173,0.27204149,0.12455744,0.31775488,0.40841732,0.51515562,0.14313096,1.282375,0.38719835,0.64092028,0.53611817,1.3536484,0.43351567,-0.14069019,-0.65792596,0.4080919,-0.22696502,-0.11376114,-0.022569775,0.85472476,-0.45448465,0.20036893,-0.50057633,1.0732722,-1.3931263,0.29430035,0.33659194,0.6570675,0.19960977,0.72647143,0.4864083,2.0523188,-1.2406969,0.65574062,0.36718126,1.6692525,-0.50686105,0.082362684,0.026496613,0.15819698,-0.12184668,-0.20598488,-0.32130333,0.20827942,-0.75990276,0.040472766,-0.26196406,0.77413867,-0.6948688,1.1504786,0.64957241,1.501985,-0.35766117,-0.30078628,-0.47950522,0.20263463,-1.5948407,0.49428011,0.17214801,1.2466659,-1.7937301,0.45802298,0.22797784,0.88143873,-0.65892884,0.5690484,0.49024107,0.83969334,-0.13474716,3.1007812,-11.302206,0.0043146966,-0.070435482,-0.12036681,0.032536958,-0.08760928,-0.10246171,-0.12754797,0.06814256,-0.15210772,-0.098874455,-0.14362359,-0.051396063,-0.1063386,-0.11250654,-0.093050161,0.094127411,-0.18520254,-0.009675879,-0.098658158,0.1011358,-0.2119639,-0.11598978,-0.098583892,0.033313742,-0.15496144,-0.11230439,-0.13831219,0.031334374,-0.32542215,-0.076526244,-0.10602296,0.027075584,-0.19536812,-0.069803061,-0.12403622,0.0038146714,-0.26804359,-0.089416191,-0.13526203,0.075278139,-0.30963099,-0.11203659,-0.15968942,0.0035619582,-0.22789916,-0.094616986,-0.19847574,-0.021735036,-0.4073173,-0.025048205,-0.073667173,0.11190317,-0.3770847,-0.064849931,-0.10497388,0.028865319,-0.34983863,-0.081814671,-0.15491264,0.052727749,-0.43673157,-0.13385598,-0.16604226,-0.023319898,-0.42129828,0.2443473,0.24344971,0.25185302,0.24254335
-19615.772,0.99230915,0.00016967389,10,1023,0,19677.286,-0.14502057,-0.2528408,-0.086777342,-0.081685122,-0.034536691,-0.23725487,-0.18443135,-0.14505051,-0.14531913,0.0036276215,-0.12187039,-0.32278351,0.054137063,-0.1197021,-0.21823884,-0.3506071,0.14195342,0.24099029,0.090524035,0.20399323,0.11941636,0.38310565,0.11807958,0.10084576,0.94413976,0.39917176,0.1387479,0.20652123,0.26487131,0.12314077,0.30443913,0.43086438,0.57617133,0.098108908,1.2773599,0.38852814,0.68985167,0.52987344,1.3275855,0.39619493,-0.18603979,-0.69693656,0.29494116,-0.15752611,-0.012859491,-0.048670746,0.79886327,-0.48004286,0.27027265,-0.45788758,1.0260776,-1.4245942,0.41997121,0.26939616,0.68374511,0.19960975,0.71660229,0.47882661,2.0165471,-1.2328821,0.6056902,0.34407573,1.6261175,-0.41965664,0.10977374,0.031284745,0.16170023,-0.088228227,-0.15273074,-0.28250041,0.21647406,-0.77976909,0.043555719,-0.33599434,0.80804067,-0.69869108,1.2175951,0.68398258,1.5476404,-0.3993857,-0.29425261,-0.5673071,0.20949567,-1.5647041,0.44365693,0.13109341,1.4107631,-1.6840658,0.46250874,0.17160947,0.95178579,-0.73344414,0.52628708,0.50817492,0.8129712,-0.13633704,3.1995015,-11.776887,0.0043023794,-0.063231077,-0.13109367,0.036305044,-0.08986767,-0.086593251,-0.12514645,0.067094401,-0.15736167,-0.10361841,-0.14986685,-0.060078079,-0.10103724,-0.084308371,-0.091613624,0.081277577,-0.17961061,-0.0022617163,-0.089215959,0.087993754,-0.20465654,-0.076361528,-0.13404768,0.024691743,-0.16078325,-0.099815253,-0.12789171,0.053681695,-0.33000955,-0.083969218,-0.11035193,0.018936543,-0.1873711,-0.041677371,-0.11578195,0.0073484885,-0.2286189,-0.057338177,-0.10913857,0.090037954,-0.30763418,-0.11582713,-0.1684889,-0.0097564501,-0.21881231,-0.071324265,-0.18152659,-0.0031629097,-0.40526513,-0.023802012,-0.096126315,0.10962646,-0.36030817,-0.065069847,-0.10355916,0.054020348,-0.32707927,-0.077433086,-0.16599421,0.071521992,-0.44152794,-0.12384875,-0.13165264,-0.00032677616,-0.40934988,0.2426229,0.24196803,0.25016985,0.24112811
