# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 00:48:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc4dd549e0.json
# init = 2 (Default)
# random
#   seed = 2011791581
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200148-1-5783f2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200148-1-154997.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00291436
# Diagonal elements of inverse mass matrix:
# 0.0908503, 0.00930483, 0.00811136, 0.0155775, 0.0239418, 0.0107095, 0.0247136, 0.00750733, 0.0134743, 0.0361778, 0.0358392, 0.0439425, 0.0297688, 0.0261501, 0.0269621, 0.0231551, 0.785993, 0.303195, 0.697409, 0.366306, 0.339994, 0.463917, 0.314534, 0.334235, 0.348593, 0.375294, 0.439277, 0.379967, 0.312662, 0.309104, 0.289022, 0.401556, 0.288797, 0.251567, 0.413888, 0.254205, 0.304009, 0.280759, 0.271941, 0.271847, 0.275155, 0.261833, 0.286911, 0.285926, 0.238225, 0.273937, 0.266228, 0.247659, 0.473982, 0.319953, 0.434784, 0.261597, 0.314481, 0.267684, 0.27051, 0.260721, 0.2598, 0.240649, 0.257655, 0.288666, 0.21544, 0.259574, 0.237578, 0.244035, 0.488901, 0.458904, 0.510909, 0.46914, 0.429804, 0.497212, 0.429758, 0.447348, 0.341032, 0.424579, 0.585505, 0.402133, 0.36694, 0.392435, 0.418293, 0.358463, 0.352103, 0.303541, 0.37145, 0.400265, 0.477403, 0.397258, 0.488795, 0.442737, 0.550731, 0.49388, 0.349098, 0.539854, 0.427857, 0.50658, 0.464907, 0.560736, 37.5604, 561.533, 0.747603
-19627.638,0.99897389,0.0029143552,10,1023,0,19680.125,-0.054868228,-0.12364526,-0.15464408,-0.12944672,-0.17878079,-0.21695236,0.13376785,-0.27383689,-0.27929269,-0.19393845,-0.15469461,-0.020690337,-0.27438355,-0.089324055,-0.15281703,-0.52000126,0.14814495,0.14590259,0.10835267,0.2751487,0.13709306,0.17660282,0.40697674,0.21798956,0.25631182,0.18346954,0.09481563,0.27142651,0.29974621,0.22741601,0.53068651,0.39953892,-0.076867725,-0.6289517,0.60470847,-0.2924612,0.018226836,0.083725423,1.1672917,-0.21744791,0.58457989,0.17661632,0.96069872,0.31507501,0.28069785,0.027386658,0.80561208,-0.1388279,1.2003574,0.57237626,1.932875,-0.3851071,0.79107487,0.46322168,1.409874,0.34676392,-0.58908132,-0.66052606,-0.3674564,-1.0676681,0.89254048,0.80419845,1.5199054,0.39651113,0.77827676,0.78597059,0.98103972,0.15773372,0.59686164,0.33434265,0.97436301,-0.4494244,0.13185181,-0.11242509,1.1256884,-0.71858863,-0.36786886,-0.45472528,-0.1793633,-1.5056233,0.79987768,0.64138798,1.2327385,-0.25510511,0.026354566,-0.051054529,0.46281518,-0.93204607,0.034151897,0.041577757,0.29215964,-0.56941062,0.97942043,0.95868763,1.195532,0.32845638,-2.8535949,12.169236,0.073250544,-0.066255794,-0.14804425,0.03471628,-0.098194879,-0.12098592,-0.1114295,0.046665632,-0.15537147,-0.091303283,-0.13550723,-0.050549803,-0.12050486,-0.052213068,-0.12191131,0.092216397,-0.16764503,-0.014220118,-0.10031197,0.086202974,-0.2315763,-0.077246304,-0.1351461,0.032035375,-0.15571287,-0.10597455,-0.1350509,-0.015778361,-0.30074823,-0.079272383,-0.098530024,0.057486612,-0.1874016,-0.079811152,-0.077839132,-0.027840606,-0.23886367,-0.084432517,-0.13259676,-0.015172513,-0.27639414,-0.142193,-0.16535427,-0.047961755,-0.22282805,-0.1205397,-0.14411483,-0.069374291,-0.42935641,-0.034623247,-0.082129932,0.095125133,-0.35085034,-0.083330605,-0.10093467,0.015927526,-0.30128626,-0.13469308,-0.13075228,0.0022281473,-0.45499557,-0.12868469,-0.13696825,-0.042339722,-0.38877016,0.26006294,0.2508808,0.2600988,0.26480242
-19632.696,0.99640534,0.0029143552,10,1023,0,19681.995,0.098766522,-0.10057239,-0.080016952,-0.1158151,-0.35884542,-0.1410921,0.014933176,-0.12880266,-0.23963011,-0.2061224,-0.022692926,-0.1849495,-0.27869676,-0.18547614,-0.16250665,-0.27075323,0.35670738,0.16094501,0.07958483,0.26844308,0.26836148,0.085633146,0.23955551,0.18379541,0.16372134,0.18948607,0.21976413,0.1885054,0.25692419,0.24179013,0.23778548,0.11346048,-0.42727396,-0.76887979,0.030155962,-0.57552429,-0.29618331,-0.22500249,1.3094336,-0.43114492,-0.4093794,-0.96648322,1.4304544,-0.32769972,-0.0024228455,0.052707409,0.75662013,-0.25062667,1.3039005,0.90986876,1.7176548,0.35960161,0.6795893,0.34854004,1.4596427,-0.1717695,-0.66520659,-0.62961396,0.066724131,-1.3404881,0.23775849,0.0990506,1.1162606,-0.34598092,0.94676615,0.92540408,1.4921622,-0.21717648,0.88617432,0.38571066,1.4429613,-0.70022932,-0.76748054,-0.49820192,0.021766965,-1.0190217,0.33159333,0.13702863,0.90818553,-0.87867141,0.90942943,0.6752702,1.3702885,-0.10226011,0.36290339,0.40856521,0.85172418,-0.49648791,0.37246896,0.091751064,0.77004442,-1.1526095,0.93354946,1.0632996,2.0223039,-0.95392518,4.1993957,-15.087765,0.066843294,-0.05364525,-0.17549857,0.10952338,-0.10652724,-0.14824162,-0.13678542,0.11017442,-0.16996302,-0.11259734,-0.15693436,0.03382552,-0.10609688,-0.1164655,-0.10166616,0.087294336,-0.1830941,-0.0089287677,-0.1146717,0.10210696,-0.2623422,-0.082896732,-0.11124552,-0.016098309,-0.15580126,-0.14442073,-0.13589431,0.030917309,-0.30618812,-0.085103742,-0.11059762,0.076360906,-0.19239237,-0.084624287,-0.088121714,0.0046686791,-0.27518653,-0.038204713,-0.1330356,0.06729867,-0.33880611,-0.19135762,-0.13217984,-0.017909328,-0.24663734,-0.12244236,-0.15911886,-0.013751622,-0.3505838,-0.045042346,-0.10520352,0.073363486,-0.30496986,-0.097729678,-0.086689101,0.020462363,-0.30552201,-0.073938933,-0.14068957,0.02059874,-0.43658045,-0.16483226,-0.15011075,-0.041301665,-0.37898604,0.25969258,0.24877512,0.25913075,0.26025444
-19640.471,0.99630453,0.0029143552,10,1023,0,19693.97,-0.08619881,-0.12803221,-0.092061496,-0.029798019,-0.079132156,-0.14058341,-0.010292087,-0.21208236,-0.26464704,-0.1452354,-0.13330664,-0.22359122,0.053642706,-0.24022815,-0.15469333,-0.2147353,0.093129432,0.077242024,0.009298734,0.26547647,0.15093843,0.071174721,0.19430856,0.17049309,0.37613855,0.20728394,0.0863954,0.10892235,0.31002024,0.16873891,0.45258035,0.11196652,0.15172419,-0.8027627,1.4401392,-0.09642849,-0.079387565,-0.17483433,1.725256,-0.29348115,-0.21234203,-0.055198383,-0.64678966,-1.7323639,-0.2833629,-0.279977,0.40034201,-0.59229804,0.52045216,-0.38281284,0.94815716,-0.90584601,-0.067352888,0.60316975,1.673221,0.083548985,-0.69543764,-0.44173618,0.29027517,-1.6185109,1.0126,0.59387648,1.1952664,0.23039666,0.50710577,0.48195414,0.76829938,-0.039853192,0.44849543,-0.018033618,0.89094451,-1.1871989,-0.48921225,-0.34391843,1.2584047,-1.1617098,0.92182557,0.51534052,1.633543,-1.1716368,-0.22150731,-0.63059126,0.14799526,-1.2792509,1.0101647,0.800416,1.6564387,-0.59501407,0.10804713,0.016822796,0.4527941,-0.53874049,0.71751721,0.61821426,1.3624367,-1.5489523,1.2441324,-3.5380983,0.084613915,-0.072068822,-0.16095964,0.047920534,-0.09517914,-0.13416427,-0.14153677,0.0052300599,-0.15070129,-0.094036008,-0.092574771,-0.098075821,-0.10817029,-0.1050242,-0.10412532,0.076483363,-0.18703921,-0.00057592313,-0.13691333,0.0639812,-0.21585913,-0.14537724,-0.097652975,-0.021492374,-0.13463684,-0.14542158,-0.09612521,0.046110864,-0.32478261,-0.03944106,-0.11083052,-0.0082976985,-0.17280132,-0.07390501,-0.083365507,0.024339974,-0.27963736,-0.052269507,-0.14897348,0.039443082,-0.39132266,-0.17557233,-0.16301961,-0.024586266,-0.23367302,-0.12318381,-0.16745912,-0.045661881,-0.35120864,-0.015029045,-0.14185335,0.099524232,-0.34295097,-0.069774057,-0.10516682,0.039277521,-0.34063017,-0.10579332,-0.14707966,0.05023238,-0.39851669,-0.13439739,-0.14551599,-0.062187988,-0.3881661,0.25850398,0.2490449,0.25078108,0.27759119
-19646.982,0.97647022,0.0029143552,9,989,1,19684.843,-0.062500717,-0.14997745,-0.10067307,-0.020239796,-0.021830791,-0.11821614,-0.02298906,-0.095436727,-0.2083484,-0.075734184,-0.10273146,-0.27699142,-0.073647642,-0.25908994,-0.099859762,-0.2158081,0.05247945,0.11408447,0.014842522,0.50597193,0.13158978,0.087523587,0.16366635,0.17321608,0.13012089,0.13732393,0.092171311,0.11577169,0.23229512,0.17958349,0.52933409,0.12771631,0.63189529,-1.7178723,1.3597369,-0.88657918,0.52214102,-0.067769759,1.2957365,-0.015570233,-0.88073778,-0.74868782,-0.96402063,-1.5874301,-0.10276406,-0.18775269,0.18170914,-0.33184373,0.20186347,-0.84854975,0.80585404,-1.6344554,0.57331325,-0.088808403,1.0549913,-0.33387133,-0.67897281,-0.4626613,0.25956785,-1.9995446,0.19380377,0.096138144,0.37417467,-0.57860875,0.99104778,0.92091754,1.5753968,-0.031484716,0.23820437,-0.33553113,0.63334891,-1.2951752,-0.3250409,-0.71949825,0.75175618,-1.6917993,0.91944423,1.0151655,1.779051,-0.89955891,0.1382197,-0.29526834,0.69844231,-1.1687797,1.1209295,0.92770443,1.6371154,-0.19499965,0.055611199,-0.13832479,0.26760114,-0.59079132,0.46206073,0.43538186,1.6597286,-1.3058423,0.89055592,-2.1630507,0.16639009,-0.029339199,-0.15265371,0.0088575273,-0.1090279,-0.090409275,-0.15770893,-0.002154044,-0.15175378,-0.11374544,-0.11178548,-0.11498156,-0.12423453,-0.072235527,-0.11523739,0.071699928,-0.18814341,0.0047323782,-0.13349127,0.084211365,-0.23690841,-0.068037706,-0.12598897,-0.025879518,-0.14743775,-0.13411406,-0.098711148,0.019493463,-0.35024724,-0.061866798,-0.078784054,-0.030623657,-0.19566107,-0.079392378,-0.088517787,-0.0033563563,-0.21244522,-0.043023025,-0.12181064,0.011239776,-0.25359274,-0.13269091,-0.16904856,-0.033441107,-0.25866682,-0.17054581,-0.159464,-0.071027678,-0.38113488,-0.04153988,-0.14223704,0.088597094,-0.34514945,-0.057789514,-0.09248954,0.03490896,-0.29410866,-0.070422858,-0.17307979,0.041790645,-0.41258575,-0.15679541,-0.16020274,-0.0038336932,-0.38258545,0.25990623,0.24722518,0.25733959,0.26141944
-19643.002,0.49095083,0.0029143552,10,1023,0,19691.381,-0.098783456,-0.14329149,-0.08062379,0.13804565,0.062724985,-0.11885198,-0.11113619,-0.13053016,-0.25202996,-0.067698622,-0.028192755,-0.24330072,-0.056217972,-0.2952785,-0.082981445,-0.20122504,0.070983599,0.12043227,0.022712591,1.2845269,0.24733133,0.20375856,0.14618754,0.17997802,0.19510453,0.17417329,0.12010743,0.14835296,0.25500961,0.29980641,0.40275003,0.13430079,0.11617523,-1.6089996,1.8324216,-0.21742662,0.62703973,-0.15566996,1.9905136,-0.12450346,-0.8026331,-0.42692911,-0.25419155,-1.6542034,-0.20820327,-0.18947327,-0.026488999,-0.25107285,-0.23204762,-0.68364839,0.10145887,-1.2664019,-0.13377309,0.14092707,0.81631622,-0.26997087,-0.29357222,-0.078049793,1.0796561,-1.4696453,0.25956731,-0.045672925,0.9453765,-0.43368253,0.76045227,0.89625291,1.1518433,0.18074301,-0.29754572,-0.28456744,0.41484824,-1.2716091,-1.2574087,-0.88655132,0.10723004,-1.5125862,0.927027,0.56161608,1.4431734,-0.74423653,0.038332724,-0.24442577,0.5564401,-1.2224575,0.82471404,0.64781915,1.1956358,-0.14885043,-0.053009664,-0.085860036,0.27910921,-0.79558402,0.65652541,0.42366527,1.0007996,-1.5475841,-0.51536428,3.2129321,0.061929398,-0.090536921,-0.21299604,0.031288425,-0.11421718,-0.06777567,-0.16203917,0.09643059,-0.15828572,-0.098853667,-0.090320456,-0.086397138,-0.11819504,-0.12939706,-0.10533787,0.10401982,-0.18446419,0.0053323387,-0.10636268,0.087818942,-0.2504959,-0.14610939,-0.09013688,0.04747944,-0.17386085,-0.15405279,-0.1225461,0.046696082,-0.32598002,-0.083813748,-0.13875028,0.039616831,-0.20858348,-0.10366227,-0.077166949,-0.027300107,-0.21676617,-0.11952314,-0.11726267,0.0045568591,-0.28917896,-0.17921688,-0.13467416,-0.01531363,-0.2098656,-0.10577352,-0.15998331,-0.029201675,-0.35371041,-0.046442759,-0.11854889,0.085679601,-0.36795639,-0.048023947,-0.10105817,0.063180783,-0.33990482,-0.10433109,-0.11756158,0.029429798,-0.40340293,-0.11305316,-0.14432646,-0.066816856,-0.4090668,0.26453564,0.25110703,0.25682936,0.26555468
-19645.022,0.99790713,0.0029143552,10,1023,0,19690.969,-0.055263651,-0.14015673,-0.092005216,0.39813074,0.069062636,-0.12176535,-0.1317894,-0.076672933,-0.2828129,-0.082251611,-0.13612752,-0.27274633,-0.0019897383,-0.32992436,-0.17914461,-0.17564217,0.055815697,0.081323414,0.034102943,0.86890832,0.14223148,0.097631432,0.14698316,0.16321086,0.2145701,0.11766557,0.066295831,0.23261952,0.38670122,0.58753205,0.35493012,0.13516284,0.35501959,-1.0139988,1.609628,-1.0016486,0.59698653,0.014555775,1.9750489,-0.20718767,-2.0979758,0.12184834,0.19385548,-1.4913116,-0.54556879,-0.62873052,-0.37711988,-0.67130408,-0.38254414,-1.240991,0.088843659,-2.0871735,0.46498426,-0.043245491,1.1704291,-0.67268287,-0.12540873,0.1588023,0.94260706,-1.4327662,0.070688672,-0.2448569,0.73590049,-0.66091346,0.86076818,0.76103065,1.4470904,0.093377729,0.44026475,-0.70832701,1.0103424,-1.7419033,0.12534613,-0.4734336,1.4365687,-1.7576906,0.51751898,0.50655351,1.0939204,-0.2605419,-0.030147993,-0.25168855,0.36808482,-0.8791758,0.4395148,0.33254348,0.62420492,0.10288648,0.2966051,0.081823198,0.60513762,-0.61500456,0.068303624,0.22042084,1.5312806,-1.5846001,-1.0232462,5.2166237,0.048426316,-0.035447985,-0.1118607,0.034578856,-0.11117137,-0.091607743,-0.138973,0.020460995,-0.15700594,-0.16355236,-0.087849829,-0.085394173,-0.14286333,-0.075918525,-0.14817844,0.070448136,-0.18517096,0.014652816,-0.10744535,0.081699002,-0.22779914,-0.076368266,-0.12598747,-0.0074946736,-0.18744034,-0.15022237,-0.10844814,0.0067579627,-0.3423819,-0.065135774,-0.11663624,0.04343402,-0.18454119,-0.098117788,-0.11951848,0.027689434,-0.26277684,-0.030447608,-0.16559731,0.036630901,-0.28721366,-0.12781759,-0.16751419,-0.040888998,-0.25265508,-0.15236131,-0.15491209,-0.018279086,-0.33335346,-0.013648004,-0.09931801,0.14034911,-0.3419681,-0.071695325,-0.1345444,0.036816041,-0.26947525,-0.073870522,-0.15010309,0.035636963,-0.39742825,-0.16641005,-0.14584946,0.031330079,-0.38982122,0.26005961,0.25478149,0.25173408,0.2636016
