# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 00:48:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc4dd549e0.json
# init = 2 (Default)
# random
#   seed = 2011791581
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200148-4-5783f2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200148-4-154997.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00450966
# Diagonal elements of inverse mass matrix:
# 0.00893873, 0.0164702, 0.0044764, 0.0265427, 0.0556315, 0.00796336, 0.0289746, 0.00831007, 0.0131328, 0.0854785, 0.0243719, 0.115386, 0.0449733, 0.0510397, 0.03702, 0.0275682, 0.373036, 0.402876, 0.880427, 0.46477, 0.457931, 0.384406, 0.352006, 0.304163, 0.400346, 0.456607, 0.452479, 0.483718, 0.347579, 0.396559, 0.333357, 0.311391, 0.293618, 0.326457, 0.38084, 0.303315, 0.283741, 0.295284, 0.264151, 0.261348, 0.224246, 0.263769, 0.27572, 0.349266, 0.267816, 0.263545, 0.264974, 0.294193, 0.373823, 0.368898, 0.365835, 0.289093, 0.267364, 0.305069, 0.263758, 0.250429, 0.243117, 0.276748, 0.281004, 0.332987, 0.243764, 0.258009, 0.248813, 0.304899, 0.531456, 0.623926, 0.586319, 0.534188, 0.422777, 0.499244, 0.450413, 0.454046, 0.334728, 0.377084, 0.47738, 0.491994, 0.380788, 0.397617, 0.39669, 0.421278, 0.309388, 0.373227, 0.316835, 0.427515, 0.443549, 0.391865, 0.48195, 0.396036, 0.539641, 0.565077, 0.450749, 0.548548, 0.474676, 0.495858, 0.510633, 0.554814, 6.4096, 96.6796, 0.591416
-19631.889,0.993072,0.0045096566,10,1023,0,19682.712,-0.12869895,0.015206825,-0.10477196,-0.070935512,-0.046348137,-0.15517645,-0.20023926,-0.090477474,-0.10188678,0.95048884,-0.16357077,-0.18013928,0.25635433,-0.45764235,-0.50620015,-0.20603608,0.12717356,0.10969546,0.068505669,0.1593148,0.2012943,0.37842963,0.27273302,0.045782108,0.12054141,1.4384729,0.18038964,0.13688204,0.23352217,0.94487934,0.71665884,0.38079082,0.32401059,-0.095776845,1.5891296,0.20017525,-0.94622374,-1.2958174,-0.15396027,-1.493247,-0.31670554,-0.49943248,1.5307657,-0.61894785,-0.28326403,-0.13054327,0.54717689,-0.62362871,0.28302484,-0.33419662,0.71338316,-0.88466179,0.10517749,0.066295748,0.44251156,0.025619614,-0.055818614,0.42658974,0.87445997,-0.42206162,1.0008845,-1.1329814,1.8142579,-2.5237422,0.53515034,-0.012291754,1.231416,-1.3223039,-0.68305572,-0.73581371,-0.58619545,-0.90346762,0.084082943,-0.17419606,0.61291821,-0.29095847,0.35143022,0.27306224,0.82470208,-1.6114329,-1.2089038,-1.5034678,-0.69549487,-2.4823179,0.42118307,0.35814853,0.53263211,0.13447728,0.55620617,0.54449908,0.74523588,0.12680162,0.1144663,0.1427161,0.41219396,-0.47618468,-0.26974854,2.3411049,0.04816589,-0.087493372,-0.14087923,0.073396317,-0.10324195,-0.088589625,-0.12693847,-0.0016819176,-0.14859559,-0.12646809,-0.13898592,9.416546e-05,-0.1471734,-0.11606366,-0.091732986,0.016237865,-0.17028879,0.010623149,-0.11362001,0.097251825,-0.22442551,-0.11537417,-0.13008817,0.012283042,-0.14548122,-0.21546284,-0.083894157,0.038254845,-0.31534941,-0.044654871,-0.14234775,-0.0074169216,-0.20601971,-0.037379002,-0.10336844,0.046549837,-0.26127916,-0.032068334,-0.10795927,0.10726255,-0.34912489,-0.14840307,-0.19499393,-0.053006672,-0.21605666,-0.13203479,-0.14276196,-0.067252377,-0.40071549,-0.025951494,-0.09473872,0.093940861,-0.32332192,-0.059675172,-0.1192352,0.045630725,-0.33057754,-0.10759007,-0.11598007,0.027879735,-0.41532664,-0.16244836,-0.1516911,-0.049076409,-0.38736283,0.25944316,0.24880957,0.25275221,0.27115801
-19630.334,0.78310084,0.0045096566,10,1023,0,19689.201,-0.069361343,-0.038350651,-0.10273994,-0.1449656,-0.039869858,-0.089766269,-0.30840237,-0.064040324,-0.079044386,0.70414084,-0.17437314,-0.16621118,0.37600199,-0.14975271,-0.56149443,-0.1037196,0.13323146,0.10860631,0.040462896,0.26409364,0.22986361,0.35242434,0.19274639,0.046599148,0.090938519,1.0098608,0.077874163,0.16461766,0.34503727,0.39106824,0.57694552,0.33165418,0.33982922,-0.59144363,0.57306743,-0.27672473,-0.63674156,-1.0647103,0.60705274,-0.98198706,-0.66900707,0.17672895,0.24021943,-0.95477111,0.11182599,0.11536355,0.6831127,-0.17687943,0.1254743,-0.27158735,0.75119103,-0.85954427,0.022485011,-0.034227697,0.28093147,-0.2277137,0.92450065,1.0898702,1.5635658,-0.11532177,-0.090203082,-1.2343055,2.154759,-2.8316808,0.11506846,-0.1252683,0.073586073,-1.7700828,-0.7219627,-0.82557186,-0.61276912,-1.0295439,0.26818783,0.28431992,1.4972979,-0.716849,0.056337928,-0.11044648,0.8603037,-1.3004667,-1.154851,-1.377998,-0.80096697,-2.0775363,0.22533592,0.13933454,0.50751453,-0.42814481,0.79216774,0.77158737,1.0274347,0.20304142,-0.10084258,-0.10467549,0.20133758,-0.84178138,0.66962418,-0.999646,0.083486947,-0.024085399,-0.14816024,0.0069892686,-0.10622978,-0.1075048,-0.15398491,0.027579106,-0.14500064,-0.1298099,-0.095588971,-0.093019962,-0.14137274,-0.11543307,-0.11449882,0.035440116,-0.19167833,-0.011027881,-0.10229791,0.13280163,-0.23744781,-0.081842004,-0.10182894,0.009240819,-0.17001812,-0.1302082,-0.098333827,-0.0070306971,-0.33063022,-0.068243711,-0.12155791,0.036369611,-0.19599423,-0.068580231,-0.0904361,-0.072352578,-0.2400131,-0.024941023,-0.12957186,0.085329294,-0.33555529,-0.15348824,-0.15223196,-0.057772319,-0.23019716,-0.15693696,-0.18439262,-0.024589999,-0.38029096,-0.022464633,-0.09945869,0.099638533,-0.34082549,-0.061630988,-0.095263394,0.048720104,-0.31718654,-0.1044568,-0.11633055,0.03127941,-0.4443506,-0.13716446,-0.13843567,-0.03694515,-0.38289992,0.25474673,0.25106721,0.26039131,0.26797472
-19634.449,0.99726466,0.0045096566,10,1023,0,19681.802,-0.019395689,-0.0013024453,-0.11445337,-0.074873115,-0.17509395,-0.011763626,-0.13417195,-0.09178076,-0.063924851,-0.16165387,-0.044608574,-0.23133896,0.11922955,-0.089232468,-0.42781178,0.11198108,0.071305642,0.1250241,0.028059314,0.15659887,0.14557445,0.14616692,0.10355944,0.05817506,0.086866886,0.28372731,0.097185709,0.24048272,1.220293,0.92925952,0.29748545,0.47526437,-1.0250291,-1.5890095,1.1482847,-1.3208698,-0.82407296,-1.2941893,0.4390343,-1.0191822,0.071942639,-1.1150147,2.4302277,-0.0080688301,-0.088572793,-0.20056717,0.80264472,-0.57500445,1.2732413,0.35605765,1.7949092,-0.25411462,-0.81015726,-0.66654786,0.26278686,-1.0562949,-0.050157175,0.28912591,1.8226297,-1.8990365,-0.13948508,-0.32835747,2.0416202,-1.5807441,-0.68029847,0.058578307,0.85981017,-1.9288401,0.41458124,0.063871636,0.73250892,-0.46419365,-0.93640014,-1.3375871,0.82252103,-2.0853576,0.61756391,0.24105694,0.7673367,-0.57283796,-0.11949792,-0.21742808,0.0047715074,-0.39112254,0.035256421,-0.040451555,0.13771066,-0.23870177,1.1805641,0.9311375,1.6437571,0.055742393,-0.54311588,-0.56746396,-0.33597389,-1.0250397,-2.4731334,11.12941,0.15618118,-0.092486049,-0.13270103,0.062483487,-0.11358116,-0.10433142,-0.1631073,0.053587423,-0.12872478,-0.11243471,-0.14573992,-0.046262851,-0.11467978,-0.088743514,-0.10628171,0.050820145,-0.16491816,0.010257447,-0.12326106,0.086198966,-0.21208655,-0.13018182,-0.10919087,0.026647121,-0.166159,-0.1393662,-0.10423024,0.05457856,-0.33083511,-0.099895313,-0.11088298,0.026990617,-0.18374064,-0.12302026,-0.058836336,0.01076418,-0.23147719,-0.044025846,-0.14353174,0.046178922,-0.29335828,-0.13561329,-0.17460293,0.035328715,-0.24727553,-0.082825509,-0.17336893,-0.046807741,-0.36909659,-0.026592931,-0.14609643,0.12505218,-0.35805457,-0.056470103,-0.12682246,0.038736473,-0.31104836,-0.076611139,-0.15081192,0.061182049,-0.41122923,-0.14614255,-0.15771432,-0.04769534,-0.37518376,0.25998106,0.25292113,0.25290625,0.27086282
-19635.14,0.98429476,0.0045096566,10,1023,0,19683.641,-0.03124034,-0.046278849,-0.090265035,-0.18933569,-0.070894821,-0.071059761,-0.14649331,-0.077726265,-0.066412958,-0.097256647,-0.13552761,-0.22020831,0.049508738,-0.062660919,-0.51282345,0.05519377,0.060271547,0.085080243,0.048402326,0.15702618,0.25861546,0.14301937,0.098844519,0.068059566,0.07275803,0.1473453,0.0706307,0.11818436,0.72755303,0.46778526,0.532676,0.40466208,-0.98510884,-1.43847,0.60604635,-1.0714979,-0.71991803,-1.1142512,1.1171442,-1.3562298,0.33370608,-1.0925496,1.2922338,-0.49891369,0.63487056,0.500672,1.4442044,0.20837184,0.27798482,-0.20356248,0.62942765,-0.66159192,-0.31711598,-0.3283575,0.61912705,-0.65292899,0.22929385,0.44659033,1.7136893,-1.7194011,0.36174947,-0.62578086,1.3343968,-1.5467228,0.19258896,-0.59092133,0.99933012,-2.4772681,0.35752475,-0.39762984,0.85519372,-1.5255079,-0.1867813,-0.21869357,1.1715951,-1.885362,0.52818701,0.92407471,1.3338398,-0.99807506,-0.11414024,-0.24195015,0.10317871,-0.54390987,0.029622642,-0.12688097,0.19272041,-0.56884043,0.75207402,0.70952756,1.0175619,0.16547984,-0.44023169,-0.47186096,-0.27651956,-1.1458718,-3.6122803,15.409416,0.10601638,-0.090614373,-0.11793915,0.0052870114,-0.095821177,-0.10752965,-0.14107961,0.048768048,-0.16166721,-0.074112884,-0.14314698,-0.027717911,-0.11441362,-0.089644398,-0.11071708,0.037442201,-0.15661586,0.00099635146,-0.12353922,0.091884904,-0.24199272,-0.11641349,-0.11802124,0.017487401,-0.16444126,-0.12382887,-0.1023503,0.022895492,-0.31644668,-0.053105753,-0.12031664,0.013092203,-0.18299555,-0.052400564,-0.10940723,0.0062963335,-0.2466541,-0.044577055,-0.15584553,0.028752128,-0.32203306,-0.1487201,-0.15097409,-0.052777027,-0.26869205,-0.15778487,-0.11099714,-0.062569318,-0.33816517,-0.033534339,-0.12652282,0.12457672,-0.34621453,-0.048803884,-0.12201397,0.027490847,-0.32875609,-0.11221167,-0.13487515,0.029207339,-0.42467631,-0.1229513,-0.13575046,-0.056703211,-0.4084971,0.2582026,0.25209508,0.255775,0.26730831
-19641.649,0.99208034,0.0045096566,10,1023,0,19685.65,-0.054546609,-0.041947554,-0.10894394,-0.20018277,-0.16796222,-0.11743856,-0.25768826,-0.14047027,-0.15882317,-0.12719319,-0.10431907,-0.1753162,0.1572821,-0.058405937,-0.24544112,0.069009664,0.051900683,0.39765407,0.05223559,0.16729504,0.4225008,0.074980945,0.13752596,0.12910004,0.1316188,0.11974978,0.1199416,0.12272699,1.0863998,0.34317451,0.16826777,0.18367875,-0.83229819,-1.4853526,0.50238373,-0.6981896,-0.069419443,-0.216475,0.26472877,-0.31464596,-0.60075825,0.19087963,1.570136,-0.44609041,0.71597218,0.47787552,1.3044405,0.20822898,0.45917332,0.14105661,0.63749442,-0.21191004,-0.1272334,-0.054255295,1.1663967,-0.37633873,0.67306907,1.1446093,2.2204304,-0.39005364,0.52805295,0.19027926,1.3097348,-0.53221296,0.56179439,0.60945249,0.90471207,-0.64125064,0.6211947,0.39183306,1.3701554,-1.4666514,-0.41102156,-0.36133358,0.43472201,-1.3295261,0.35838364,-0.17774053,0.51103299,-1.6354738,-0.18269443,-0.24015451,-0.078138839,-0.45929965,-0.038920056,-0.10818155,0.32555468,-0.66885333,0.78790643,0.67228019,1.6175383,-1.2223081,-1.1788917,-1.1694248,-0.2950066,-2.4932613,3.7520133,-13.38408,0.072829866,-0.097743454,-0.13163743,-0.028472551,-0.090783126,-0.069552478,-0.12802972,0.063322921,-0.1670678,-0.1403249,-0.09897323,-0.02692696,-0.13224574,-0.080404172,-0.12023656,0.018043653,-0.16534709,0.026038875,-0.10836569,0.10137968,-0.25749438,-0.12697864,-0.12150667,-0.029981034,-0.14565679,-0.16512379,-0.10027477,0.047678556,-0.31133076,-0.072298612,-0.11590521,0.028616551,-0.20917899,-0.084880465,-0.078607763,-0.03974605,-0.24322381,-0.052805269,-0.080271274,0.036882606,-0.30282437,-0.15361766,-0.147658,-0.05217782,-0.26378456,-0.13133286,-0.19712976,-0.11259866,-0.37603297,-0.041197091,-0.10362171,0.072392081,-0.34170095,-0.071762308,-0.095531088,0.053316132,-0.28793935,-0.11286186,-0.13231803,0.02673844,-0.45111617,-0.14752769,-0.14578881,0.014823221,-0.38894946,0.26553459,0.24714759,0.25893047,0.26008227
-19633.074,0.97350276,0.0045096566,10,1023,0,19690.948,-0.0063644083,-0.076326725,-0.11271604,-0.16021377,-0.21493827,-0.081542081,-0.21433236,-0.13532605,-0.1709094,-0.11632812,-0.042771177,-0.16668753,0.1748784,-0.059265252,-0.24119815,0.096558387,0.1213527,0.21379757,0.045114915,0.10643216,0.50412785,0.09985438,0.10698665,0.10629287,0.19989469,0.11342356,0.19964487,0.11444992,0.74759418,0.31396244,0.36318139,0.26518429,-0.31597587,-1.1405443,1.0206759,-0.98892265,-0.065602868,-0.40038998,0.53493331,-0.32075391,0.07107801,-0.095441005,2.2974533,0.051487388,0.38869137,0.42708606,1.6209743,-0.17196008,0.48198619,0.17411045,0.55214217,-0.027577308,-0.13941081,-0.3398243,0.75296413,-0.70730746,0.44397027,1.2085032,2.1741273,-1.0878678,0.39837146,0.26372591,1.5776084,-0.30342399,0.39362179,0.33475692,1.0191974,-0.32404822,0.57842552,-0.3116596,1.6176607,-1.3942941,-0.44825827,-0.66707525,0.37344156,-0.86143881,-0.10449727,0.05472572,0.9164649,-1.90978,-0.2828053,-0.35840289,-0.16212869,-0.68426982,-0.017264577,-0.25130588,0.30610007,-0.77014143,0.49036229,0.27799008,0.80822038,-0.45329927,-0.9281573,-0.93700952,-0.58285087,-1.8183858,4.0036711,-14.152608,0.18019946,-0.044708933,-0.14477253,0.11749737,-0.12637284,-0.090352459,-0.16192913,0.03804072,-0.14490313,-0.10950936,-0.11702186,-0.0090666337,-0.11039319,-0.11884451,-0.11475808,0.012310024,-0.17851586,0.028044395,-0.12716434,0.063411981,-0.22884076,-0.09546286,-0.11547503,-0.0063553141,-0.15216983,-0.16683346,-0.085038642,0.018270239,-0.33071969,-0.092981999,-0.10729386,0.03236248,-0.16757785,-0.092226499,-0.10399327,0.032822739,-0.23568492,-0.050721042,-0.15167766,0.067152712,-0.27447392,-0.13226364,-0.17594933,0.031784515,-0.21475302,-0.17864723,-0.16042417,-0.061798191,-0.3852617,-0.036545194,-0.093061511,0.05367194,-0.33667773,-0.064685681,-0.13816586,0.036838673,-0.30106074,-0.063107692,-0.14023733,0.052332454,-0.40582801,-0.14957435,-0.15192181,-0.058004507,-0.38564896,0.26503066,0.2500291,0.25202682,0.26430606
