# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:05:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc6fed576c.json
# init = 2 (Default)
# random
#   seed = 1151753983
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200205-1-2ca586.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200205-1-0b12a5.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000730591
# Diagonal elements of inverse mass matrix:
# 0.00823525, 0.00831064, 0.00506377, 0.0101482, 0.0352222, 0.00484127, 0.0235141, 0.00841467, 0.0187899, 0.0492249, 0.00525503, 0.0311904, 0.0349681, 0.0388434, 0.034285, 0.0369364, 0.384098, 0.335143, 0.714888, 0.315817, 0.404468, 0.414424, 0.307821, 0.322045, 0.362181, 0.434596, 0.297516, 0.324628, 0.328258, 0.44096, 0.300852, 0.378479, 0.305275, 0.266188, 0.364182, 0.265277, 0.332359, 0.299044, 0.256028, 0.235149, 0.31429, 0.234087, 0.253174, 0.236548, 0.250383, 0.278423, 0.25626, 0.28639, 0.36208, 0.322901, 0.407868, 0.265659, 0.303035, 0.290466, 0.2663, 0.254821, 0.299579, 0.234992, 0.285027, 0.23573, 0.238364, 0.254583, 0.230891, 0.265667, 0.528014, 0.543576, 0.572085, 0.432902, 0.479875, 0.516013, 0.445856, 0.34272, 0.384941, 0.327689, 0.446861, 0.35797, 0.369353, 0.382769, 0.396414, 0.390491, 0.301328, 0.344306, 0.349911, 0.371822, 0.476641, 0.389623, 0.433207, 0.403621, 0.496159, 0.53208, 0.434448, 0.49381, 0.469173, 0.535419, 0.503204, 0.476067, 68.6311, 1133.83, 0.88707
-19650.515,0.98314012,0.00073059081,10,1023,0,19706.176,-0.077667841,-0.062237213,-0.12272248,-0.062174852,-0.080481876,-0.10727983,0.17671509,-0.1787748,-0.19651915,-0.28120888,-0.089708921,-0.081499316,-0.13848769,-0.14580258,-0.12065337,-0.22446982,0.089583628,0.065086667,0.020849521,0.065653606,0.12721952,0.029269132,0.44020841,0.28419147,0.085101185,0.16855321,0.12881684,0.17765365,0.84350647,0.32181739,0.21210448,0.20339486,-0.28373642,-0.87837603,1.4318701,-0.4144225,-0.35216226,-0.84182282,2.0513097,-1.2779714,1.2166623,-1.2308857,3.8179986,0.77125998,-0.27584342,-0.55887907,1.2523492,-2.1225769,0.65138389,-0.19255481,1.4978445,-1.2059487,-0.65003272,0.06546366,1.9891831,-1.7178115,-0.8136776,-0.61153294,-0.29272321,-1.0889107,0.29667997,0.25087195,1.0195319,-0.07575058,1.5844539,1.1459934,1.8675682,-0.6440724,1.3366322,0.87927655,1.832328,-0.1597058,-0.21218395,-0.67823675,0.68199905,-1.2575314,-0.47628677,-0.28711996,0.57962951,-1.7796493,0.12923519,0.067972822,0.27797383,-0.20686817,0.2163302,0.068995984,0.58118005,-0.49336455,0.075616977,-0.072640786,0.75217108,-1.4671306,0.44199931,0.52939901,0.97985314,-0.79047653,-7.7068966,33.060842,0.028743542,-0.10308598,-0.15635595,0.050604276,-0.11479331,-0.085158281,-0.11702865,0.071275696,-0.14541611,-0.097355653,-0.14838586,-0.043119037,-0.10664208,-0.080284968,-0.098867279,0.020046389,-0.20152968,0.0023868675,-0.10497861,0.11007318,-0.23390209,-0.12630573,-0.10536377,-0.049058171,-0.15755869,-0.18147262,-0.092486846,0.047855876,-0.30263257,-0.09446088,-0.10747913,0.11096747,-0.20030247,-0.061680248,-0.098993753,-0.037586881,-0.25133048,-0.055915223,-0.13300399,0.027635891,-0.30812781,-0.11704179,-0.17707723,-0.0018559597,-0.25170014,-0.1661134,-0.13250723,0.021473986,-0.39766052,-0.029476972,-0.081152174,0.095985034,-0.31298233,-0.076183757,-0.12359847,0.041231268,-0.30457587,-0.10461467,-0.13606081,0.03888548,-0.43183835,-0.13456943,-0.11679279,-0.02517273,-0.38524869,0.2458959,0.24443355,0.23978757,0.24535269
-19660.024,0.8646982,0.00073059081,10,1023,0,19725.38,-0.03952944,-0.05251521,-0.11810582,-0.079538751,-0.06295888,-0.086229323,0.1513748,-0.083154165,-0.17314656,-0.2968264,-0.09916398,-0.033010718,-0.026523037,-0.17740298,-0.10058322,-0.15486181,0.17325847,0.064845222,0.01637626,0.064501806,0.19303223,0.039533326,0.49904457,0.2303548,0.069069004,0.22138544,0.1000175,0.19624404,0.57150497,0.32913378,0.20247156,0.21387773,0.15794545,-0.77818965,0.064654738,-0.37804521,-0.3241338,-1.3296871,1.4331478,-1.2555931,1.6290374,-0.93191327,3.0172441,0.068282719,0.29286658,-0.4481242,1.5627211,-1.9263261,0.38465022,-0.35847681,0.88588128,-0.90987501,-1.3164866,0.73394346,1.3961282,-2.2125189,-0.68118353,-0.50420605,-0.13362389,-0.99235068,0.17769001,-0.17284363,0.27897242,-0.62149737,1.2169466,1.4408901,1.7662216,-1.1881309,1.0810667,0.79383096,1.6391835,-0.053422108,-0.33824518,-0.9635747,0.4476051,-1.2937832,-0.25281773,-0.60994294,0.077965747,-1.8639586,-0.031917218,-0.11499217,0.20803561,-0.63323568,0.39296484,0.28381433,0.70923905,-0.48235623,0.090051411,-0.27091297,0.71575987,-1.7053618,0.20679461,0.033862797,0.78167083,-1.0486851,-7.8814816,32.914799,0.086320805,-0.012164053,-0.17435739,-0.028327459,-0.10502898,-0.073533738,-0.13873907,0.040417574,-0.13393442,-0.091428278,-0.13336707,-0.068694646,-0.1169876,-0.060648328,-0.10844357,0.021259584,-0.20379026,0.01129101,-0.13215646,0.10804476,-0.23859408,-0.13827442,-0.057214097,-0.031035734,-0.17369756,-0.18856614,-0.10024649,0.084690528,-0.34385242,-0.042222417,-0.12296953,-0.018891528,-0.22631907,-0.08909327,-0.073625716,-0.051155394,-0.25520957,-0.057493968,-0.12108378,0.066064953,-0.30865327,-0.13299442,-0.19553831,-0.054395637,-0.22856494,-0.08262469,-0.15270838,-0.017710404,-0.39880148,-0.044763885,-0.092241633,0.092370349,-0.38842038,-0.048064977,-0.083990095,0.056031548,-0.33616271,-0.082350368,-0.15543539,0.044337802,-0.44587049,-0.11063305,-0.14761931,0.012320175,-0.3791522,0.24429027,0.24654585,0.24633305,0.25196733
-19645.12,0.99868826,0.00073059081,10,1023,0,19698.871,-0.015465905,-0.077696517,-0.11675379,-0.071022126,-0.073959228,-0.084424543,0.094139711,-0.066755124,-0.15671531,-0.31987346,-0.086108287,-0.081137271,0.029724011,-0.15209114,-0.09982958,-0.1966565,0.16419983,0.069651459,0.019872488,0.06208405,0.22090424,0.030884446,0.43209723,0.22199044,0.068490611,0.2248207,0.10841866,0.1814756,0.65475167,0.28851138,0.18970691,0.20547878,-0.33973875,-0.53373064,0.51935982,-0.56263403,-0.36966045,-1.1068213,1.4662942,-1.4168929,2.0408099,-0.88562233,2.5013536,0.27376003,-0.00099140131,-0.83575223,1.4773349,-1.5707098,0.33260355,-0.023174673,0.79518253,-0.57189246,-1.0537836,0.63470721,1.3479302,-2.1091754,-0.46862642,-0.47399458,-0.19849094,-0.92913185,-0.19434454,-0.14529856,0.37922398,-0.56671591,0.6535196,1.1974953,1.9625668,-1.1462496,1.1511537,0.71497895,1.4747586,-0.014645634,-0.38270767,-0.87083404,0.80565266,-1.2871014,-0.43106073,-0.47926572,0.14177012,-1.5691921,-0.094395044,-0.16350216,0.087384541,-0.56199608,0.3153597,0.15030347,0.68448832,-0.6471982,0.045005965,-0.3968512,0.6803651,-1.7657405,0.18366532,0.19887152,0.74940329,-0.93234665,-5.004355,22.269665,0.054398702,-0.071250951,-0.10310438,0.069812887,-0.10785032,-0.10344391,-0.15478824,0.024433016,-0.17638517,-0.076197818,-0.13435331,-0.06704567,-0.11131349,-0.071083676,-0.12290901,0.02069681,-0.16853815,-0.00048569568,-0.079078612,0.10169996,-0.2002927,-0.11697007,-0.064821962,-0.042794464,-0.14956526,-0.10835247,-0.11067203,0.0083723286,-0.30733558,-0.10989775,-0.099010015,0.017428976,-0.19256064,-0.11195536,-0.074698128,-0.022297919,-0.23522265,-0.061070295,-0.15913139,0.011682784,-0.3231661,-0.12760094,-0.18052295,0.0012394975,-0.2256541,-0.15936428,-0.16811231,-0.055409454,-0.36590735,-0.032081302,-0.077329299,0.086939186,-0.33824386,-0.061106275,-0.10872687,0.045391536,-0.33881518,-0.091291637,-0.17511499,0.02924038,-0.43480275,-0.15891718,-0.15579262,-0.042670029,-0.38823395,0.24438915,0.23695101,0.23771959,0.24388761
-19648.512,0.99975362,0.00073059081,10,1023,0,19702.452,-0.040490197,-0.083084044,-0.11818649,-0.10383546,-0.090110699,-0.10489574,0.076156939,-0.042071993,-0.14337187,-0.30551288,-0.09062966,-0.10158486,-0.031703906,-0.085691985,-0.051411291,-0.13851343,0.23586998,0.066126378,0.024995598,0.071500448,0.31710899,0.027289316,0.39403267,0.17418394,0.073900503,0.22654127,0.10582863,0.17835195,0.51867788,0.33937824,0.19009377,0.3429387,-0.1477775,-0.57373302,0.33925524,-0.18584065,-0.12873513,-0.929458,1.8862985,-1.220961,1.6967487,-1.4407964,2.5323384,0.20594988,-0.021459897,-0.43984329,1.9019021,-1.8889532,0.28558689,-0.10720112,0.49646184,-0.49971921,-1.1902998,0.38260909,2.1270277,-2.4772038,-0.5826648,-0.51779336,-0.11840987,-1.0179279,-0.14557817,-0.33554658,0.3652868,-0.84112745,0.32206052,1.1470525,1.5823906,-1.3560552,1.0414339,0.60759198,1.4792746,-0.07013823,-0.44122917,-0.51623183,0.099062177,-1.5880631,-0.039550252,-0.35796471,0.56041974,-1.6830842,0.021541114,-0.16762066,0.24441242,-0.58495912,0.053467354,-0.0074815494,0.46758805,-0.70138008,-0.25175181,-0.21069208,0.60747265,-1.833003,0.060690226,-0.075994467,0.35725811,-0.73000234,-3.7765952,16.869215,0.11766002,-0.075346472,-0.17581659,0.039529931,-0.084324427,-0.091596831,-0.14454573,0.041650041,-0.16382177,-0.075775242,-0.15420006,-0.054889177,-0.11303865,-0.10536985,-0.13528445,0.032151389,-0.23889646,0.00045147153,-0.12410514,0.067321812,-0.24857615,-0.13737821,-0.094454603,-0.046850612,-0.17249694,-0.15343203,-0.12787056,0.029499581,-0.32493991,-0.067429371,-0.10051882,0.0215551,-0.18858288,-0.11957143,-0.058604115,-0.026432407,-0.24358503,-0.069585131,-0.16786822,0.029603851,-0.32140209,-0.13732434,-0.14526177,-0.080146045,-0.2586922,-0.10863872,-0.16542856,-0.001632901,-0.40176622,-0.020531006,-0.11864504,0.095067411,-0.33510927,-0.067546328,-0.08823106,0.072997224,-0.32372512,-0.099267741,-0.091462542,0.064065475,-0.39985373,-0.11770041,-0.16457488,-0.015995801,-0.38885949,0.24243215,0.23934418,0.24093827,0.24632912
-19652.114,0.99595769,0.00073059081,10,1023,0,19708.026,-0.068114103,-0.078177854,-0.11268407,-0.093805965,-0.10287297,-0.093503925,0.15029784,-0.065734727,-0.14655937,-0.24076208,-0.086647979,-0.081263147,-0.047804274,-0.14842517,-0.12135257,-0.14996966,0.17645124,0.058562405,0.017063991,0.063406954,0.41709594,0.022441617,0.46618278,0.21228624,0.090915101,0.18835551,0.14210073,0.13903458,0.55745004,0.32873108,0.19882004,0.33579161,0.20175756,-0.28615554,0.65476375,-0.21474633,-0.23590084,-0.98902627,2.2380918,-1.6200819,1.2269736,-0.99132138,2.7485764,0.0028100126,-0.063636873,-0.54634793,2.1014804,-2.004889,0.23145012,0.034666975,0.4563567,-0.28827399,-1.5466026,0.48308456,2.0331432,-2.0909192,-0.6119031,-0.53630585,-0.29085712,-1.0362352,-0.30351598,-0.070820754,0.28816212,-0.56051533,0.89669573,0.90335548,1.304437,-1.2531926,0.95676186,0.65657302,1.4118163,-0.42890937,-0.60008805,-0.39255688,0.034922426,-0.88042642,-0.30585472,-0.3182727,0.29400714,-1.8591037,0.041362878,-0.12287397,0.20417857,-0.52974069,0.18687932,0.17333089,0.63709299,-0.51970755,0.37668263,-0.29349071,0.66917632,-1.5285659,0.014924797,0.016127284,0.28622251,-0.68625662,-6.6208324,28.035314,0.11154109,-0.032513731,-0.1186066,0.047419773,-0.10600636,-0.091992775,-0.13609761,0.052890184,-0.17305375,-0.091747002,-0.12959997,-0.065782388,-0.11263612,-0.097840985,-0.12844822,0.039442506,-0.22092987,-0.0063360708,-0.08841352,0.087471554,-0.22311089,-0.12821219,-0.082662726,-0.047876905,-0.14042753,-0.13496085,-0.099718716,0.014705254,-0.33277716,-0.13016699,-0.080768998,-0.0045618751,-0.18472442,-0.065036186,-0.064430714,-0.02796635,-0.2604935,-0.060550716,-0.11709294,0.025161289,-0.32154953,-0.17192093,-0.1424306,-0.081685477,-0.21175722,-0.12378753,-0.12551406,-0.040385986,-0.33974286,-0.024746536,-0.11630037,0.066015079,-0.34310824,-0.086992128,-0.09144592,0.061007095,-0.31926919,-0.046460515,-0.1797044,0.011693091,-0.42526209,-0.14495804,-0.14455425,-0.05385854,-0.38040887,0.24593777,0.24655645,0.2414008,0.2448339
-19641.57,0.99991781,0.00073059081,10,1023,0,19700.564,-0.060908471,-0.0717138,-0.11704961,-0.090599165,-0.17546876,-0.10650759,0.19524165,-0.030286978,-0.14241478,-0.20165491,-0.055947321,-0.058738661,-0.094142054,-0.20260063,-0.10146515,-0.12466939,0.14229785,0.058379273,0.017262766,0.048672026,0.30934698,0.020993866,0.45839788,0.23109398,0.059694424,0.19709476,0.16789257,0.19418905,0.4140147,0.26298027,0.2040008,0.4415354,-0.049586301,-0.72525271,0.72535232,-0.29008002,-0.19198415,-0.89607551,2.3353747,-1.2794097,1.3083827,-0.60272474,2.4480295,0.021481319,-0.24733376,-0.59580523,2.0606405,-1.9109783,0.51982065,0.14863353,0.86561569,-0.18504161,-1.6759942,0.41278228,2.7266121,-1.7161261,-0.74088931,-0.56688966,-0.31404745,-1.0702187,-0.26186943,-0.42447919,0.3312155,-0.74939249,0.62336124,1.0038022,1.5046465,-1.5533545,0.71351997,0.47600835,1.3376496,-0.54874529,-0.53754343,-0.64091236,0.38740242,-1.2317931,-0.35340163,-0.33967232,0.42404027,-1.6282349,0.16749293,-0.016740823,0.41211304,-0.62743214,0.62350193,0.38748631,0.85749878,-0.42697788,0.10657845,-0.23438442,0.9282778,-1.6220816,-0.049002081,-0.072784565,0.24255302,-0.59057705,-0.88472953,5.2395875,0.12485345,-0.067964496,-0.16411037,0.042307604,-0.10218623,-0.082921695,-0.12402604,0.064623678,-0.14640481,-0.09446331,-0.12745431,-0.074789854,-0.11667879,-0.1026374,-0.11959821,0.0096963825,-0.18361035,-0.014663816,-0.12948943,0.092306836,-0.23271083,-0.14169318,-0.097841692,-0.049265459,-0.14253571,-0.14438044,-0.064619365,0.051282968,-0.29534434,-0.090803426,-0.12838156,0.04625493,-0.20346707,-0.10520359,-0.08249338,-0.052595771,-0.23514138,-0.061023864,-0.10783616,0.061988815,-0.30980974,-0.14619687,-0.16355174,0.0090946651,-0.26275622,-0.12736539,-0.12469931,0.023605317,-0.37492406,-0.024797518,-0.101073,0.076478802,-0.35390818,-0.038631921,-0.10069937,0.022904635,-0.31488738,-0.079723059,-0.14927976,0.087904263,-0.4323711,-0.14630554,-0.15680635,-0.017573645,-0.38543007,0.24348753,0.25046788,0.2495603,0.24801932
