# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:05:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc6fed576c.json
# init = 2 (Default)
# random
#   seed = 1151753983
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200205-3-2ca586.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200205-3-0b12a5.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000760426
# Diagonal elements of inverse mass matrix:
# 0.0105231, 0.0160986, 0.0041554, 0.0149665, 0.0188431, 0.00760459, 0.0329689, 0.00882142, 0.0465058, 0.0195474, 0.0153403, 0.045899, 0.0339456, 0.0573908, 0.161039, 0.0183674, 0.390251, 0.479851, 0.534304, 0.324556, 0.284881, 0.411876, 0.341969, 0.329885, 0.506878, 0.249961, 0.436537, 0.372303, 0.291267, 0.349846, 0.471337, 0.302783, 0.383324, 0.23357, 0.315462, 0.266158, 0.312446, 0.316775, 0.348996, 0.295283, 0.225981, 0.270329, 0.294171, 0.301595, 0.301605, 0.330084, 0.264111, 0.250603, 0.491268, 0.27111, 0.33936, 0.263333, 0.315719, 0.310829, 0.328072, 0.291251, 0.229143, 0.248516, 0.294172, 0.293125, 0.259632, 0.304967, 0.274454, 0.240745, 0.606865, 0.510211, 0.479177, 0.512763, 0.428698, 0.516371, 0.512052, 0.509857, 0.278763, 0.376063, 0.586208, 0.399373, 0.459618, 0.455204, 0.33304, 0.361288, 0.400784, 0.29238, 0.321285, 0.371521, 0.465956, 0.380751, 0.630138, 0.448367, 0.601757, 0.42915, 0.435399, 0.57877, 0.413235, 0.488883, 0.659846, 0.536656, 79.1683, 1307.41, 0.893564
-19626.286,0.99997007,0.00076042592,10,1023,0,19683.057,-0.027800054,-0.060259627,-0.16100263,-0.063585602,-0.10629889,-0.075182539,0.6075799,-0.13702259,-0.085035797,-0.061108873,-0.18664641,-0.14062253,-0.30408109,0.11635318,-0.13456642,-0.14546308,0.18499679,0.085922764,0.097397414,0.18881737,0.14717883,0.081435547,0.67429986,0.16612037,0.077031189,0.35595996,0.084705414,0.12383375,0.35265325,0.35794996,0.21634102,0.7129917,-0.18897668,-0.56435208,0.68007448,-0.31116012,-0.40793463,-0.5885073,1.2345142,-0.89582911,0.55429884,-0.0033203179,1.4680284,0.27226412,0.061905127,-0.21340086,0.63027051,-0.78395116,0.71132868,-0.14641024,1.2689454,-0.85603575,-0.44459415,-0.44761926,0.64012098,-1.0036415,-1.1815917,-1.0480843,-0.85165046,-1.364818,0.71136865,0.051413232,1.1008458,-0.39061814,-0.18883924,0.54374973,1.4271396,-2.4121694,0.023675173,-0.20642173,0.31551736,-0.69003159,0.6574513,-0.035971487,1.7406776,-0.34255695,-0.20661877,-0.22057974,0.80743269,-1.7415347,0.77229694,0.48529655,1.0695694,-0.12377945,-0.49473206,-0.59287857,-0.21547905,-1.1734923,0.37583386,0.006848591,0.79340263,-1.2217104,0.0116893,0.010037781,0.18277252,-0.31260457,12.354139,-48.770163,0.044014615,-0.062760135,-0.13220338,0.098011543,-0.085363678,-0.095310498,-0.1108258,0.045813249,-0.13723174,-0.10701536,-0.16132602,-0.018020459,-0.13448481,-0.051896838,-0.10387939,0.055420418,-0.2116092,-0.0016063686,-0.12784738,0.080463004,-0.23228923,-0.11138831,-0.11163466,-0.023053936,-0.15691463,-0.18916719,-0.099143205,0.033312118,-0.31271668,-0.018849769,-0.12848181,0.045850322,-0.20191222,-0.099582308,-0.043150109,0.024898465,-0.27084807,-0.05268146,-0.13458675,0.051202674,-0.30673249,-0.13095673,-0.18969339,-0.039201592,-0.21566284,-0.16620891,-0.16793775,-0.040635109,-0.35628331,-0.031728072,-0.13293969,0.073106031,-0.34773232,-0.06073614,-0.09586768,0.039222463,-0.30369833,-0.053258139,-0.13308479,0.037079115,-0.39887251,-0.13712871,-0.13830623,-0.01514779,-0.36834754,0.24596894,0.24704235,0.24752911,0.24751542
-19638.423,0.99838421,0.00076042592,10,1023,0,19677.511,-0.021338792,-0.054107789,-0.12118874,-0.11440902,-0.11938625,-0.051245932,0.72619669,-0.17202064,-0.10944693,-0.078126235,-0.16467867,-0.089300492,-0.25781444,0.12562129,-0.15486489,-0.22341333,0.24228623,0.095955285,0.083399149,0.13817224,0.11849938,0.077509023,0.70555291,0.12289003,0.048333906,0.39345349,0.097742731,0.14535845,0.27283989,0.32393494,0.22716606,0.8297647,-0.025713303,-0.2577663,0.17675268,-0.38528068,-0.70135292,-0.60657639,1.4615072,-0.82615312,0.28818705,-0.16658514,1.1501123,0.21798974,-0.18010994,-0.14255939,1.2321857,-0.43166161,0.69840739,-0.31454977,1.6517347,-0.89955534,-0.75438942,-0.82079107,1.070336,-1.3510066,-1.1986445,-1.2136734,-0.98183675,-1.4992998,0.49358336,0.83614217,1.2188113,-0.043807599,-0.29059947,0.73976019,1.3381618,-2.2013751,0.042894197,-0.16119051,0.36565267,-0.59435701,0.43997454,0.12336942,1.8381741,-0.79632802,-0.33131173,-0.54849497,0.60964288,-2.0241621,0.82549886,0.50839015,1.2764915,-0.25403398,-0.59466462,-0.70366569,-0.35045591,-1.3305214,0.29034878,0.16945524,1.0088674,-1.0166685,0.12910898,0.08927154,0.22983843,-0.23465571,7.631355,-29.55369,0.029392708,-0.027568771,-0.083792016,0.021485949,-0.114687,-0.12140631,-0.112312,0.086131554,-0.13338155,-0.097154183,-0.1350818,-0.025270349,-0.10300858,-0.13929521,-0.13410677,0.055844842,-0.17405267,-0.036625401,-0.1566602,0.0763433,-0.225983,-0.10971792,-0.11486465,0.031714764,-0.15596114,-0.1195104,-0.13011408,0.033458912,-0.33163866,-0.11136416,-0.069267096,-0.022240875,-0.17740415,-0.12349274,-0.073691432,-0.044768345,-0.21584799,-0.061249363,-0.1415472,0.065741082,-0.31197807,-0.12167436,-0.15262021,0.01498948,-0.24251395,-0.13745945,-0.16902887,-0.00068374747,-0.38352956,-0.032585419,-0.11910532,0.090463376,-0.32712504,-0.067011356,-0.10232061,0.012096377,-0.30538108,-0.088907498,-0.11637041,0.074315552,-0.38581746,-0.11628326,-0.14933896,-0.032701515,-0.41812236,0.24701953,0.24705374,0.25103818,0.24501475
-19637.16,0.98614563,0.00076042592,10,1023,0,19689.108,-0.051808278,-0.073654067,-0.13034402,-0.092861224,-0.058767104,-0.07041025,0.73927954,-0.18090885,-0.090968169,-0.0176081,-0.1900197,-0.090127576,-0.25822161,0.14624065,-0.24224769,-0.27108825,0.24764408,0.079158192,0.091880255,0.1419575,0.11275825,0.080391919,0.71689763,0.095334889,0.054808717,0.416692,0.080159611,0.15196113,0.29230487,0.3265581,0.27293932,0.70852206,-0.13763352,-0.4974757,0.36201178,-0.17640177,-0.75310847,-0.615908,1.399143,-1.1434894,0.21973379,-0.39690176,1.235891,-0.026989249,0.050429464,-0.12893742,1.1187194,-0.58838199,0.69593068,-0.39438601,1.3753442,-1.1498656,-0.97460041,-0.75217273,1.3400476,-0.86164284,-1.222684,-1.1861341,-0.94353044,-1.470938,0.72006323,0.64241807,1.3014383,-0.25195015,-0.35973966,0.86597144,1.35088,-2.2808581,-0.10067052,-0.29699518,0.21005495,-0.76623629,0.40034458,0.1245252,1.5561723,-0.60338786,-0.26157994,-0.49976922,0.54437142,-1.8709138,0.76362961,0.54880028,1.2106917,-0.39862304,-0.56505432,-0.71306745,-0.23099331,-1.374369,0.43849939,0.26868178,1.1121228,-0.75099819,0.22394497,0.16206719,0.35450987,-0.23480168,5.3514342,-20.674215,0.043545973,-0.085892405,-0.17500519,0.037841798,-0.095493132,-0.13326877,-0.12240823,0.037099563,-0.16417062,-0.11015482,-0.16681145,-0.016790037,-0.1328238,-0.085702383,-0.11116486,0.065949386,-0.17638646,0.01970482,-0.10323738,0.096314294,-0.18842393,-0.14876025,-0.13087886,0.037318745,-0.13967937,-0.13725975,-0.11105721,0.062864806,-0.3152324,-0.1122617,-0.11966399,-0.056836375,-0.20492849,-0.11068504,-0.043505385,-0.01692817,-0.21597908,-0.059556699,-0.14136362,0.069920116,-0.33689263,-0.15792823,-0.18003781,-0.065277536,-0.23838704,-0.12987756,-0.16607307,-0.0074042793,-0.37443375,-0.035008959,-0.097804619,0.095669464,-0.37474107,-0.038282412,-0.086617301,0.070807917,-0.30257068,-0.12256397,-0.16891387,0.061294345,-0.44722463,-0.1124183,-0.15626007,-0.019910188,-0.43745042,0.24219871,0.24156593,0.24668715,0.24050989
-19634.248,0.98422755,0.00076042592,10,1023,0,19678.314,-0.03164103,-0.055776611,-0.11116525,-0.090087002,-0.093583533,-0.062226963,0.71821162,-0.14682546,-0.087525396,-0.028379387,-0.18313031,-0.071297517,-0.25207126,0.051235309,-0.23490366,-0.23402041,0.25683197,0.080957159,0.096065288,0.17920034,0.15895016,0.078618851,0.76194526,0.10968581,0.057583729,0.49806342,0.077983064,0.15615055,0.27492548,0.27839377,0.29191313,0.90934656,0.034203058,-0.35216956,0.27228948,-0.35436872,-0.80944557,-0.90559514,1.6441061,-1.0874272,0.16354633,-0.29704136,1.1889842,0.21924358,-0.052588527,0.02532865,0.68935301,-0.42465964,0.54110936,-0.31482822,1.2022704,-0.89928918,-0.95012299,-0.60644682,1.0500946,-0.9944735,-1.1240386,-1.074638,-0.8667592,-1.3586765,0.77621315,0.43084194,1.5248714,-0.016509602,-0.35908931,0.84615446,1.456195,-2.7472894,-0.076920673,-0.23494642,0.18090188,-0.56816277,0.78154652,0.20183243,1.7005435,-0.50316216,-0.19502004,-0.6139982,0.32140165,-1.9398688,0.84840044,0.4445154,1.2081056,-0.31766342,-0.44096534,-0.59702845,-0.14916785,-1.3983218,0.53818297,0.2789409,0.8355393,-0.818464,0.15134132,0.079213999,0.23761509,-0.14933923,1.5673616,-4.9866327,0.035953651,-0.022856591,-0.12208943,0.038291613,-0.12265425,-0.12130702,-0.12909102,0.077325544,-0.14381163,-0.095454128,-0.13970062,0.0030548569,-0.090103555,-0.099510884,-0.085548099,0.033445293,-0.16618615,-0.0075741143,-0.14362553,0.097517538,-0.23652569,-0.13692454,-0.10990511,0.02033027,-0.14041133,-0.13824422,-0.10060373,0.05778856,-0.31702546,-0.061685893,-0.099568215,0.020431294,-0.14863633,-0.1082031,-0.038800667,-0.0036722572,-0.24572456,-0.06669076,-0.1453976,0.061721223,-0.31136047,-0.12218292,-0.1673908,-0.050516721,-0.22236844,-0.10175,-0.16717368,-0.021110471,-0.37420911,-0.01882436,-0.12986265,0.08006775,-0.33940502,-0.071526693,-0.11497369,0.0097079089,-0.33804878,-0.077800986,-0.15347715,0.009001229,-0.47382405,-0.096398702,-0.16198743,-0.017945948,-0.36982152,0.24359912,0.24701596,0.24973299,0.2485265
-19636.736,0.99948219,0.00076042592,10,1023,0,19690.047,-0.093442819,-0.067177395,-0.12309776,-0.094374523,-0.085625052,-0.078986018,0.66237813,-0.18125489,-0.11227986,-0.059100381,-0.19438091,-0.062653662,-0.19968966,0.066516242,-0.13418926,-0.20959258,0.34065813,0.052139659,0.072364204,0.21271389,0.12974336,0.070872349,0.73608157,0.14109664,0.050531521,0.5342103,0.083680232,0.18496615,0.21034501,0.29684041,0.18935634,1.1253175,-0.11016857,-0.21974849,0.41684237,0.0096709741,-0.6537002,-0.79159664,2.5633774,-1.1285651,0.020946773,-0.3086366,1.1731495,-0.1258241,0.12758356,-0.23480682,0.97440568,-0.40167997,0.73455232,-0.5001967,0.88687279,-0.92404553,-0.62038814,-0.3208447,1.2957866,-1.1773613,-1.115083,-1.0491954,-0.9105886,-1.3158938,0.68029227,0.34830445,1.7214289,-0.34125498,-0.35688897,0.93186029,1.364031,-2.3760493,0.034769658,-0.14731937,0.23265257,-0.47194751,0.61255752,0.51488181,1.8741091,-0.40164405,-0.46240832,-0.36615177,-0.011744716,-1.840938,0.77490804,0.54020041,1.3144719,-0.59842869,-0.46117887,-0.63694779,-0.027476917,-1.3818337,0.28121196,-0.028720844,1.1863747,-1.4651597,0.078083605,0.031937267,0.19307345,-0.14638381,4.0158474,-14.832521,0.028472271,-0.13097264,-0.16830193,0.048557922,-0.090148323,-0.1012611,-0.10845097,0.066476227,-0.12602039,-0.12158197,-0.145432,-0.038203733,-0.13220292,-0.067235728,-0.14432119,0.1128951,-0.17981743,0.0096782363,-0.15052225,0.029440805,-0.20551383,-0.12295438,-0.10172504,0.012849421,-0.16242838,-0.15841388,-0.10991524,-0.0078893533,-0.306227,-0.085267939,-0.13211031,0.061632948,-0.22940482,-0.130314,-0.06519154,-0.043353298,-0.23234524,-0.040526072,-0.1377999,0.065185019,-0.3112196,-0.14312195,-0.15129548,-0.037555023,-0.22799058,-0.14818355,-0.13037934,-0.064826037,-0.40316487,-0.036691618,-0.086061199,0.076802951,-0.32556615,-0.070380284,-0.1225556,0.058359983,-0.34366786,-0.080939991,-0.13962773,0.090458312,-0.41162654,-0.12172373,-0.17365302,0.0076763547,-0.37432084,0.24839075,0.24655927,0.2519037,0.2459829
-19628.456,0.99259139,0.00076042592,10,1023,0,19676.517,-0.094176557,-0.093979131,-0.088708738,-0.10909999,-0.072524915,-0.089023954,0.73161494,-0.15834544,-0.11087955,-0.017698987,-0.21062427,-0.065194304,-0.21488675,0.040932347,-0.15003695,-0.22387602,0.38935136,0.06941799,0.068818213,0.20771965,0.14533867,0.056014379,0.79422465,0.12594597,0.059932052,0.5558537,0.12643197,0.17473496,0.23403701,0.23792528,0.18197979,0.95595224,0.16619794,-0.071248774,0.38845262,-0.035444236,-0.57226371,-0.83587703,2.4784271,-0.93690453,-0.045700696,-0.11430834,0.84079,-0.045159958,0.18276415,-0.18002988,0.69926016,-0.28051875,0.59323314,-0.20819733,1.1901867,-0.9553315,-0.44013927,-0.27512234,1.0611059,-1.0268517,-1.1345059,-1.017952,-0.8946672,-1.3309732,0.7445449,0.22532279,1.7467318,-0.26516532,-0.24767966,1.0227748,1.3380212,-2.3388576,-0.079471693,-0.20299869,0.15293993,-0.5638616,0.54377139,0.46789459,1.7008769,-0.52852415,-0.39206797,-0.55908186,0.26343496,-1.8763717,0.80336936,0.49688148,1.3503676,-0.74274788,-0.46471068,-0.66567761,-0.10771308,-1.4596616,0.20228429,-0.05917974,1.0455229,-1.5214901,0.085172477,0.077592225,0.25746434,-0.16236216,4.0005832,-14.947642,0.023964767,-0.029467165,-0.12191736,0.057067999,-0.10797682,-0.13370453,-0.15200403,0.078068299,-0.15901716,-0.091853778,-0.096575234,-0.030847072,-0.091816566,-0.071136279,-0.14649573,0.036150093,-0.16736924,0.013694802,-0.10278404,0.10045523,-0.21137152,-0.11367808,-0.10443476,-0.029586768,-0.14654242,-0.16943758,-0.076867604,0.021048188,-0.32547677,-0.064573003,-0.12996694,0.061648408,-0.19174194,-0.1257235,-0.049582565,-0.030689198,-0.25105209,-0.061873621,-0.13053656,0.06731324,-0.33112354,-0.14187418,-0.15146743,0.0044209477,-0.27744662,-0.13370228,-0.16288545,-0.019163008,-0.39306202,-0.026868587,-0.098598095,0.10114924,-0.38871725,-0.069634071,-0.11744918,0.015304684,-0.30635804,-0.1132253,-0.16080647,0.040227078,-0.42691741,-0.1424552,-0.14970156,0.022247591,-0.37908649,0.24352281,0.24547295,0.24891517,0.24412123
