# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:21:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc7c42d315.json
# init = 2 (Default)
# random
#   seed = 1586497787
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200221-1-5dfd6f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200221-1-1fe870.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00209887
# Diagonal elements of inverse mass matrix:
# 0.00774771, 0.0193973, 0.00753483, 0.0351756, 0.0389072, 0.00571278, 0.0248183, 0.012079, 0.0135449, 0.0368118, 0.0491215, 0.0132887, 0.0402718, 0.0637987, 0.0415476, 0.0237477, 0.359835, 0.445205, 0.852606, 0.48569, 0.303617, 0.31691, 0.348975, 0.444944, 0.440588, 0.356587, 0.516911, 0.263554, 0.32202, 0.36579, 0.300514, 0.321879, 0.311149, 0.278037, 0.423837, 0.254497, 0.31386, 0.331418, 0.246512, 0.260955, 0.243396, 0.326579, 0.322877, 0.219356, 0.258063, 0.326986, 0.321072, 0.255085, 0.391016, 0.361623, 0.535465, 0.249004, 0.300787, 0.309651, 0.250083, 0.24659, 0.239132, 0.271231, 0.313649, 0.211001, 0.241755, 0.293442, 0.289858, 0.24981, 0.486431, 0.480306, 0.500152, 0.537784, 0.457327, 0.577294, 0.399528, 0.483178, 0.329909, 0.527474, 0.554132, 0.302321, 0.38647, 0.438422, 0.467137, 0.367586, 0.305361, 0.386874, 0.386274, 0.330595, 0.428404, 0.38843, 0.479717, 0.321716, 0.531685, 0.388358, 0.462734, 0.50857, 0.450838, 0.528688, 0.46676, 0.456121, 33.8259, 544.977, 1.03455
-19632.317,0.99698325,0.0020988667,10,1023,0,19678.394,-0.0098164491,0.0066985303,-0.10338651,-0.014478112,-0.046198336,0.024875596,-0.16757716,-0.026275401,-0.076757488,-0.66723581,-0.19097987,0.23763877,-0.11789485,-0.27881864,-0.11181633,-0.10492351,0.16104398,0.25668845,0.069648918,0.29059647,0.1589326,0.15394072,0.20809216,0.089276109,0.097134481,0.55507308,0.070921241,0.39233566,0.14759911,0.35593352,0.30656397,0.22178352,-0.57242212,-0.92995255,0.46663603,-0.63494779,-0.25552623,-0.56642497,0.27198023,-0.66022346,-0.22169098,0.17364481,0.74494765,-0.34502273,-0.29245009,-0.32978457,0.35505054,-0.59559973,0.25128491,-0.74953374,0.75282725,-0.9758228,-0.56707458,-0.94084976,0.16034367,-1.2034046,0.035375878,0.25421086,0.77509796,-0.82402803,-0.32690612,-1.1872038,1.1994532,-1.7263007,-0.24063087,0.046583469,0.33012435,-1.6164434,1.1326002,0.91443976,1.2701473,0.63245358,0.013729996,0.75779971,1.8394788,-0.75278286,-0.97802093,-1.0130245,-0.67297031,-1.5795916,0.66557006,-0.0013149921,1.491793,-1.420036,0.68149888,0.46993512,0.84054295,-0.073915104,0.097439765,-0.25910599,0.33338726,-1.1412813,-0.20434855,-0.07925704,0.17245453,-1.3187053,1.7511189,-5.629836,0.037244809,-0.10200159,-0.15957971,0.065332477,-0.11207097,-0.058892101,-0.13869622,0.076512714,-0.16277321,-0.11882704,-0.091292332,-0.051501708,-0.12741697,-0.099463077,-0.11031234,0.088698324,-0.18755729,-0.0062609724,-0.16532368,0.073450457,-0.20128839,-0.062420274,-0.11995949,0.049559016,-0.16037738,-0.16021572,-0.11467788,-0.0062853548,-0.33905093,-0.055460307,-0.13226434,0.080807109,-0.18039281,-0.10013104,-0.072232627,-0.04469103,-0.23376988,-0.038559933,-0.15965492,0.037788775,-0.31617785,-0.19000612,-0.13723578,-0.060521752,-0.24436817,-0.14607372,-0.15980687,-0.026391481,-0.38209135,-0.019657309,-0.11808895,0.10229245,-0.3274909,-0.03625035,-0.11155298,0.020358767,-0.30512751,-0.081944804,-0.19124889,-0.0096118054,-0.46169205,-0.15024464,-0.12250141,-0.066675934,-0.3973906,0.25136332,0.25512112,0.26106691,0.23989419
-19639.061,0.77861688,0.0020988667,10,1023,0,19678.376,-0.038542276,-0.062840316,-0.096675723,-0.041199039,-0.085328538,-0.04794317,-0.3186792,-0.043858596,-0.096731673,-0.92718942,-0.15354107,0.30624596,-0.085241525,-0.20322098,-0.12035104,-0.2624829,0.094748275,0.19487328,0.04462588,0.21551475,0.16998835,0.14498368,0.35942483,0.11332335,0.11854347,0.57775074,0.087384942,0.76398157,0.14843047,0.13429312,0.16134076,0.22207225,-0.019029514,-1.1100466,1.0052756,-0.62745438,-0.1419257,-0.40077319,0.7453557,-0.4723703,-0.10564013,-1.1809454,1.8742935,-0.11158533,-0.30287474,-0.36609255,0.32475086,-0.73487375,0.4957728,-0.31487549,0.81098751,-0.71205151,-0.2583695,-0.63771072,0.16099056,-0.62726528,0.49256471,0.53672024,0.89375026,-0.089736918,-0.33185775,-0.48159492,0.51995108,-1.429828,0.14495214,-0.1845017,1.0991793,-1.4690097,1.5115928,1.4411185,1.7156837,1.0125542,0.67393032,-0.29284129,1.2053307,-0.95006644,-0.52671481,-0.55475016,-0.4295871,-0.87300133,0.28057908,-0.37495887,1.274335,-1.6975689,1.1418453,0.66232598,1.8860842,-0.97316851,0.24072528,0.14290006,1.2304901,-1.7416617,0.61787658,0.39137509,1.2642898,-0.64156438,0.96049849,-2.7717459,0.13634408,-0.040345289,-0.14371727,0.056705857,-0.097992496,-0.090497844,-0.1409403,0.082409593,-0.15489267,-0.10139001,-0.14937645,-0.013033727,-0.10165532,-0.10647301,-0.12009738,0.028789563,-0.19957517,-0.0010529373,-0.1388537,0.052529893,-0.206369,-0.085402529,-0.14040082,-0.024602167,-0.1388864,-0.14163921,-0.12576862,0.0025568364,-0.35093287,-0.081465826,-0.098434543,0.015064,-0.20589149,-0.079548542,-0.11860314,0.033568861,-0.27087319,-0.053865535,-0.094582169,0.064048098,-0.34218547,-0.094649712,-0.17913099,-0.048213317,-0.23656257,-0.096154455,-0.11757294,-0.021950674,-0.36071098,-0.043595041,-0.14089685,0.10390862,-0.33721248,-0.049879002,-0.11427515,0.050067163,-0.33391082,-0.081512239,-0.097295434,0.078177166,-0.40135206,-0.12526966,-0.17556935,0.018280783,-0.40495655,0.24832518,0.24531278,0.25917313,0.24165471
-19649.859,0.97767406,0.0020988667,10,1023,0,19692.575,-0.0538019,0.038346078,-0.10663921,-0.25994098,0.17090302,-0.039511842,-0.2634747,0.025196943,-0.11863244,-0.73999434,-0.18517219,0.38664003,0.011358583,-0.18777617,-0.21705158,-0.10476678,0.087848828,0.20909095,0.067677862,0.25197641,0.47060523,0.076389003,0.26882309,0.13702122,0.085485548,0.72125148,0.079676214,1.1418763,0.22716664,0.23623811,0.23574086,0.23473164,0.082123815,-0.88379791,1.3716944,-0.3668713,-0.73742013,-0.9229613,0.048146039,-0.92268626,-0.51157958,0.12938255,1.6344104,-0.51098051,0.78487546,0.38063595,1.1490488,0.20889481,-0.35480915,-0.50521056,-0.1970162,-0.9296176,-1.1552538,-0.82328685,0.11555604,-1.2493497,0.61985773,0.63809214,1.1507262,-0.17477027,-0.73689192,-1.258086,0.30282086,-1.4762311,0.21775608,0.61476696,0.89814243,-1.8623251,0.93240314,0.87753126,1.051695,0.60751126,-0.072567569,0.39877498,2.1729903,-0.87662331,-0.47395522,-0.46846457,-0.34159431,-0.75292018,-0.3201511,-0.67525609,0.35417853,-1.4931425,0.6127576,0.33513899,1.0147859,-0.61413669,0.36875478,0.37504535,1.0277773,-0.74912427,-0.11397584,-0.31259003,0.46507095,-1.1597764,3.5977092,-12.148367,0.30826446,-0.046587419,-0.13144251,0.066699845,-0.086031114,-0.1158418,-0.15463678,0.048412979,-0.15457927,-0.14126182,-0.097882877,0.0039741898,-0.14122128,-0.062170884,-0.1640297,0.02959221,-0.20730442,0.0039279834,-0.066851707,0.078186171,-0.26657989,-0.12776053,-0.1024019,-0.030684631,-0.13494842,-0.096842628,-0.091940798,0.045867069,-0.31045698,-0.075772885,-0.14718753,0.066689825,-0.17707804,-0.10001744,-0.066078752,-0.041854245,-0.27783433,-0.067497191,-0.10707362,0.018542227,-0.30182594,-0.1909541,-0.15339931,-0.012036553,-0.25501822,-0.15455821,-0.14828856,-0.0034184118,-0.47310169,-0.061369068,-0.14203707,0.09181613,-0.32783359,-0.043019477,-0.10860357,0.05195492,-0.33285867,-0.13012101,-0.12863806,0.025237534,-0.39365078,-0.13152051,-0.17814154,0.0044000893,-0.37700299,0.24510491,0.24109954,0.25794925,0.24482771
-19637.833,0.99908424,0.0020988667,10,1023,0,19688.062,-0.028463395,0.01754838,-0.10967272,-0.21474797,0.28252909,-0.014380146,-0.34978412,0.0068294054,-0.13660097,-0.87475965,-0.15321046,0.19632122,0.069813804,-0.12245502,-0.24143379,-0.14024244,0.16274068,0.18198725,0.037312015,0.16413511,0.46753866,0.093435213,0.25463237,0.12587731,0.090810726,1.0599745,0.062568782,0.78800519,0.27371492,0.34597085,0.19679116,0.33884701,-0.36976565,-0.53638591,0.49336056,-0.33250698,-0.59389957,-0.88874224,0.16393512,-0.93398446,0.12862109,-0.4204101,1.5375218,-0.41515955,0.60368082,0.92800303,1.7503407,0.26620946,-0.54967405,-0.97895496,-0.3644897,-1.1066491,-0.67107742,-0.77915136,0.5503786,-1.488645,0.80545547,1.0820568,1.4712889,0.1346215,-0.69882269,-0.87537815,-0.091289949,-1.8077185,0.93603763,0.39795384,1.1431129,-0.99310794,0.75257573,0.70079014,0.88151578,0.5747794,0.044113169,0.013278922,1.8276895,-1.0823982,-0.39524842,-0.397445,-0.29485903,-0.71745734,-0.41631821,-0.56070374,0.17960797,-1.426098,0.15986805,-0.053852896,0.43924629,-0.50139213,0.89694368,0.47149371,1.1986124,-0.92381983,-0.019532124,-0.052852492,0.38353874,-0.7271127,1.1557588,-2.8370516,0.24126619,-0.088639309,-0.1157552,0.051826438,-0.082575808,-0.09053377,-0.14419138,0.047382483,-0.15242489,-0.1048736,-0.12535906,-0.052304677,-0.12516315,-0.11566276,-0.062430096,0.072544392,-0.17105366,0.025535222,-0.1751702,0.11211606,-0.23487214,-0.077082407,-0.087180319,0.037044595,-0.15347201,-0.14468908,-0.074257425,0.024853676,-0.31550513,-0.081136517,-0.10336084,-0.0046619281,-0.22072134,-0.051598709,-0.10046249,-0.032794054,-0.22678582,-0.077048562,-0.13193997,0.059624603,-0.26550814,-0.15045035,-0.15237962,-0.038854157,-0.2209348,-0.11513659,-0.1168675,-0.036029225,-0.36903889,-0.044138699,-0.083659175,0.11897518,-0.32053048,-0.067145338,-0.14108655,0.029511388,-0.29592208,-0.064923199,-0.14864799,-0.0055574522,-0.42323336,-0.14686084,-0.15815135,-0.010281488,-0.3866224,0.2489395,0.26249421,0.25974282,0.23975572
-19639.568,0.9748023,0.0020988667,10,1023,0,19683.166,-0.038544418,0.031911702,-0.085750069,-0.1240028,0.21102531,-0.02986105,-0.23865301,0.013577447,-0.1394375,-0.92081633,-0.19332935,0.16334291,-0.051737298,-0.24350667,-0.26948848,-0.086889483,0.15375435,0.2348997,0.065794536,0.15504502,0.26990681,0.075288979,0.22908336,0.20019502,0.070368634,1.021617,0.071625138,0.60209128,0.21133349,0.48288772,0.16952675,0.39154736,-0.1500148,-1.1842013,0.48385956,-0.47271075,-0.37719219,-0.76554131,0.067013757,-0.72007901,-0.39639371,-0.42810983,1.9345675,-0.47414827,0.54088662,0.065656504,1.1495724,-0.34509481,-0.77177551,-1.0339678,-0.477076,-1.7062729,-1.3679945,-1.171688,-0.09906,-1.6053238,0.45719332,0.54003515,0.90233631,-0.48477289,-0.38880677,-0.81580961,0.36587062,-1.1252729,0.79308171,0.83238383,1.6218518,-1.3749009,0.86466622,0.77484615,0.96965821,0.56401403,0.4925123,0.25957943,1.7540272,-0.69222079,-0.43643079,-0.4752356,-0.31960458,-0.87504584,0.033196202,-0.184697,0.78950226,-1.2744857,0.32862051,0.23562186,0.64898549,-0.2484773,1.1496933,0.74305681,1.8663729,-1.1204857,-0.10889598,-0.16028452,0.021503589,-0.69629893,1.8114522,-5.9273396,0.057635233,-0.061609847,-0.22062051,0.035851095,-0.11122575,-0.056690629,-0.14791372,0.047653213,-0.13723464,-0.11183061,-0.11391736,0.0415339,-0.11694643,-0.040141023,-0.11382308,0.054232676,-0.17750803,0.0027178457,-0.06804965,0.082259251,-0.24950936,-0.13285596,-0.11807625,-0.037319176,-0.15072424,-0.13391762,-0.11493994,-0.031942774,-0.34970641,-0.064259734,-0.14974358,0.086822924,-0.21169659,-0.083629419,-0.080863783,-0.025310001,-0.23618739,-0.03745863,-0.12922034,0.069802969,-0.34461002,-0.15805309,-0.17473694,-0.067696912,-0.24290976,-0.099428267,-0.1227923,-0.029088226,-0.36351456,-0.044721829,-0.09076996,0.11511097,-0.32107881,-0.084819865,-0.12972777,0.06988045,-0.36349331,-0.07458472,-0.14352048,0.046911657,-0.45944079,-0.12952741,-0.14964846,-0.07846981,-0.35952349,0.24896878,0.2533537,0.25778762,0.24941334
-19640.856,0.94705135,0.0020988667,10,1023,0,19698.056,-0.01169124,0.012485063,-0.086693672,-0.19133794,0.087568457,-0.0012645424,-0.19404094,0.0043872151,-0.13836672,-1.0148958,-0.1836578,0.067613854,-0.14140562,-0.087519604,-0.30116538,-0.14256232,0.11973337,0.25936596,0.050507282,0.21109359,0.18068443,0.063509052,0.1903367,0.18227129,0.055076643,0.77848395,0.18245968,0.78448805,0.1807596,0.37536116,0.19128908,0.27428702,-0.49229609,-0.64960461,0.65416639,-0.85813429,-0.21220954,-0.62948845,0.14884934,-0.58847568,-0.30456904,-0.66689902,0.82313545,-0.44732694,0.32834808,0.60233583,1.2801147,0.05707927,-0.37841379,-0.85610095,-0.064770632,-1.6776619,-1.9123952,-1.3883661,0.20933721,-2.4646735,0.4156365,0.59262446,1.0190786,-0.68660059,-0.49532798,-0.3804288,0.21812801,-1.0998867,0.03226861,1.102491,2.1485603,-1.5979695,1.2713096,1.1480432,1.3959701,0.8483753,0.13980125,0.16695717,0.77610231,-0.2011613,-0.22211994,-0.26291223,-0.15508537,-0.59113219,0.58312024,0.21564032,1.2844562,-0.93808388,0.071236886,-0.10166022,0.40906873,-0.59415817,1.2637631,0.77970036,1.934887,-0.78320754,0.0018728972,-0.0381629,0.30090164,-0.79439149,-1.0832889,5.5521965,0.077665948,-0.070635508,-0.089470587,0.066634305,-0.11443855,-0.042554866,-0.15078281,0.051091514,-0.14014549,-0.10207663,-0.12037693,-0.045119338,-0.10928694,-0.12202576,-0.064188702,0.078886072,-0.17928887,0.019194977,-0.067115655,0.075865412,-0.21555892,-0.12271895,-0.089438357,0.012030265,-0.15779362,-0.11493006,-0.08124276,-7.2880946e-05,-0.32472623,-0.085896856,-0.064954033,0.044145689,-0.19609055,-0.13658947,-0.077645219,-0.020031233,-0.22637752,-0.025201686,-0.12116266,0.071844503,-0.35444929,-0.15814971,-0.15319485,-0.042050421,-0.22036162,-0.10663659,-0.13863765,-0.054048766,-0.39612229,-0.036001042,-0.10242657,0.090772166,-0.31097329,-0.060780044,-0.1256789,0.06602891,-0.3105435,-0.0594213,-0.15201721,0.06895737,-0.45098442,-0.14204861,-0.15302991,-0.060028908,-0.3604536,0.24733306,0.25035074,0.2536774,0.24642681
