# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:21:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc7c42d315.json
# init = 2 (Default)
# random
#   seed = 1586497787
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200221-2-5dfd6f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200221-2-1fe870.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00278453
# Diagonal elements of inverse mass matrix:
# 0.00601802, 0.0243312, 0.00414124, 0.00694061, 0.0187751, 0.00347534, 0.0233912, 0.0455221, 0.0121414, 0.0335107, 0.00774183, 0.0189388, 0.0349405, 0.0382616, 0.023636, 0.0194775, 0.290205, 0.431152, 0.939461, 0.282445, 0.36694, 0.31974, 0.282334, 0.466109, 0.295209, 0.283628, 0.269112, 0.287571, 0.30092, 0.401303, 0.311625, 0.285775, 0.348721, 0.252249, 0.4079, 0.253318, 0.235742, 0.349887, 0.199707, 0.463443, 0.229366, 0.329025, 0.323964, 0.293438, 0.240088, 0.256362, 0.188743, 0.269184, 0.435492, 0.31641, 0.429059, 0.258875, 0.274952, 0.372974, 0.201977, 0.501079, 0.219961, 0.313834, 0.311956, 0.283498, 0.238987, 0.233302, 0.170922, 0.264278, 0.546235, 0.424023, 0.470109, 0.532408, 0.34682, 0.455113, 0.306944, 0.468753, 0.303708, 0.431863, 0.448909, 0.409153, 0.331533, 0.379174, 0.304428, 0.377572, 0.336469, 0.322722, 0.431782, 0.364152, 0.485166, 0.463906, 0.339404, 0.758725, 0.326981, 0.475823, 0.440765, 0.596536, 0.504685, 0.393726, 0.411475, 0.407116, 28.6538, 460.575, 0.835296
-19639.466,0.9890376,0.0027845261,10,1023,0,19675.901,-0.077911976,-0.14070661,-0.12781819,-0.091742826,-0.0015841302,-0.094754935,-0.104995,0.16743267,-0.09778127,-0.12704786,-0.11362706,-0.27998038,-0.14234875,0.35632035,-0.13096963,-0.79357528,0.078366231,0.046790962,0.16010468,0.19128233,0.42354415,0.58079919,0.094570253,0.39677341,0.12549692,0.20778305,0.12520224,0.21447174,0.21407928,2.9016242,0.12394457,1.4560895,-0.0035844263,-1.2952529,1.6698178,-0.2816996,-0.53750182,0.16471071,2.975263,-0.57159861,-0.15325808,0.095847568,0.78359217,0.088370233,-0.097629776,-0.17943765,0.84687275,-0.26991686,-0.06648114,-0.18073279,0.14544977,-0.55281904,-0.034173546,-0.041104175,0.21515391,-0.11793964,-0.19984624,0.046893092,1.2257986,-2.1860193,-0.61496039,-0.77409051,-0.43047428,-0.93849396,-0.010912557,-0.040315369,0.74234361,-1.2784331,0.50565451,-0.22057403,0.76662442,-0.64615075,-0.3880897,-0.58114039,1.0145044,-1.0983739,0.71230429,0.63754143,1.2696385,-0.4989199,0.56259815,0.16659099,0.95520143,-0.97091351,-0.13725781,-0.15608615,-0.094846866,-0.2401782,0.62853102,-0.27069965,1.7307811,-2.2405008,0.44865226,0.43248884,0.53020207,0.27209469,9.3889793,-36.191518,0.25423,-0.078192874,-0.17941607,0.052945349,-0.099987713,-0.16585684,-0.13299964,-0.0014911898,-0.16745226,-0.15235553,-0.11247255,-0.0023614141,-0.1136697,-0.11041768,-0.12606608,0.070248966,-0.14337315,-0.029741828,-0.078132443,0.060020269,-0.2357274,-0.1146029,-0.11862821,0.030206282,-0.16325418,-0.12389451,-0.10056031,0.010929088,-0.3117274,-0.076567258,-0.13970586,-0.0033680752,-0.20493677,-0.099150763,-0.10284073,-0.0046194315,-0.2582207,-0.021981426,-0.17287941,0.032243697,-0.26130704,-0.16221676,-0.18638713,0.013391167,-0.25114592,-0.12721124,-0.14324576,-0.0076787879,-0.3869846,-0.021908142,-0.10668507,0.062140085,-0.35020121,-0.041950233,-0.096582993,0.081110383,-0.34058655,-0.053066623,-0.16452138,0.083551293,-0.40866754,-0.14029742,-0.16383281,-0.021553599,-0.39738105,0.25174452,0.25156813,0.25077867,0.23674751
-19645.063,0.9529728,0.0027845261,10,1023,0,19702.517,-0.10871696,-0.1342882,-0.15170028,-0.099090027,-0.12250861,-0.14628123,-0.076547549,0.10620403,-0.095645778,-0.076430732,-0.11559602,-0.24367876,-0.10171087,0.19582413,-0.10411831,-0.74743847,0.053803221,0.045443551,0.11770964,0.13071803,0.46011237,0.61068913,0.1073237,0.40803066,0.090499531,0.14341566,0.18999031,0.16880818,0.23086098,1.0105009,0.1221084,0.82372112,0.28863511,-0.70307496,2.1155744,0.042619363,0.33603096,-0.66542473,2.4587172,-1.0659963,0.66632,0.08472507,1.2062017,0.33199214,-0.085196674,-0.28062901,0.92781884,-0.67086233,0.19711551,-0.10412017,0.36665045,-0.24099218,0.10022733,0.039247327,0.24438984,0.0041059354,-0.18443347,-0.52392469,0.92017177,-2.0910021,-0.40113199,-0.67329799,-0.10181189,-0.71818271,0.082246202,0.14853969,1.2686564,-1.5243858,0.22068298,-0.39366743,0.31274613,-1.5521452,-0.048891772,-0.14150788,0.24050084,-0.61008811,0.61150335,0.55623437,1.2311522,-0.97669609,0.33143722,-0.091747745,0.80450148,-0.9957282,-0.27649203,-0.28591178,-0.14307581,-0.49465046,0.38894902,-0.14616499,1.1335243,-2.6517422,0.75550756,0.7175257,0.87364644,0.43566053,5.1917377,-18.220625,0.76523825,-0.093187463,-0.14654466,0.0051077573,-0.1064239,-0.11901776,-0.16452746,-0.022555362,-0.18273086,-0.073267993,-0.14172732,-0.0097187077,-0.11262161,-0.11022677,-0.1357733,0.022192625,-0.18678383,-0.031813323,-0.17041558,0.046191801,-0.23339209,-0.08507349,-0.12231332,0.0029649838,-0.14377378,-0.096341631,-0.13277708,0.022208687,-0.30096163,-0.057470117,-0.16852219,0.064661661,-0.18683653,-0.088202535,-0.082203005,0.019167035,-0.23360198,-0.044781336,-0.13288881,-0.031578038,-0.29903267,-0.12488499,-0.14248115,-0.069903195,-0.23150685,-0.14045199,-0.14978185,-0.035850197,-0.40855305,-0.025194944,-0.12289184,0.084017137,-0.33158566,-0.083571318,-0.093089986,0.051245891,-0.30402062,-0.056624371,-0.12196628,0.034294518,-0.4279183,-0.12511093,-0.1563974,-0.027797441,-0.38857569,0.25527771,0.25164253,0.26167894,0.24014139
-19629.013,0.98982152,0.0027845261,10,1023,0,19682.591,-0.10808507,-0.11730411,-0.15992405,-0.031411306,-0.29704625,-0.080853389,0.025767019,-0.014183108,-0.14546226,-0.085417642,-0.066320543,-0.12682889,-0.13850627,0.20626923,-0.086780101,-0.64240095,0.070636047,0.13711112,0.10650895,0.2223211,0.40784206,0.49540987,0.27292868,0.14284533,0.096174364,0.17563061,0.2441984,0.30972047,0.28046203,0.68222881,0.15609335,0.37837781,0.45887325,-0.46454037,1.2015053,-0.077293101,-0.29371936,-0.42753327,0.94691627,-0.42108824,0.6517868,0.13506445,1.363005,0.43185288,-0.23529072,-0.37861369,0.58498661,-0.66649656,0.66449833,0.47220226,0.90126427,0.1550948,-0.04509647,-0.074854278,0.19791626,-0.16112004,-0.50139959,-0.52081209,0.1496998,-1.2179961,-0.39003404,-0.91617433,0.083658917,-1.2491212,0.79603068,0.67720358,1.3865358,-1.2714949,0.015179624,-0.13892458,0.75324477,-0.96142543,-0.2619019,-0.4292973,-0.0010291133,-0.81227473,-0.04776708,-0.055846012,0.31798471,-0.79678046,0.46105035,0.17402093,0.83752438,-0.82196568,-0.38948836,-0.44523513,-0.24783667,-0.7953559,0.086531285,-0.37617955,0.64219503,-2.4540141,1.2164569,1.3101086,1.5816158,0.68321093,-0.58633816,4.0558482,0.30062899,-0.075672076,-0.14089836,-0.023215482,-0.11354475,-0.1575763,-0.17592368,0.012528643,-0.17503999,-0.090502924,-0.14553848,-0.014751822,-0.11392785,-0.083721398,-0.11558512,0.098643563,-0.17958756,-0.026035879,-0.10446231,0.070527226,-0.23379206,-0.10319463,-0.11793694,0.017196278,-0.16067385,-0.11107931,-0.11637753,0.066624386,-0.30665904,-0.06989765,-0.14505433,-0.0022328225,-0.19261423,-0.068904513,-0.080332633,-0.01211306,-0.26774747,-0.082751635,-0.10981705,0.046875199,-0.25427338,-0.13027657,-0.17115426,-0.066571851,-0.26467673,-0.14162333,-0.14412554,-0.028342518,-0.3736081,-0.009199155,-0.089700006,0.096387514,-0.36903643,-0.059450948,-0.097483001,0.037187916,-0.33634548,-0.073273143,-0.14549923,0.013462274,-0.46983539,-0.18212064,-0.14668494,-0.043952638,-0.3838891,0.2588406,0.25267346,0.25848588,0.23257678
-19627.385,0.99560938,0.0027845261,10,1023,0,19673.452,-0.17474497,-0.086105033,-0.17965567,-0.10036785,-0.34356936,-0.12062053,0.010009622,-0.10758617,-0.12151183,-0.014820774,-0.087213682,-0.073993522,-0.32359905,0.0072573858,-0.0273825,-0.9133977,0.16178378,0.070650025,0.067643669,0.15488861,0.6651072,0.24745837,0.39789559,0.070413812,0.10832023,0.15894619,0.21483495,0.86361727,0.58960489,0.49384803,0.26206993,0.59478354,0.33907356,0.15800413,1.0876804,0.42062888,-0.070283055,-0.95312961,1.516868,-1.319103,0.73004258,0.76671085,1.8788409,0.68457416,-0.09740763,-0.030102981,1.0707526,-0.4674012,0.49091964,0.35207778,0.63987361,0.11475028,0.072972321,0.0047571361,0.51448113,-0.16841077,-0.54583893,-0.25659612,-0.048177034,-0.85829353,0.080706076,-0.31901961,1.7989361,-1.2138562,0.53981937,0.14094964,1.2059049,-1.2613536,-0.27657593,-0.64465405,0.67123634,-2.1523164,-0.13149044,-0.32289627,0.24383375,-0.64369331,-0.043037642,-0.099925746,0.052317807,-0.3373489,0.47509949,0.32698959,0.66966066,-0.036172115,-0.12012856,-0.20613737,0.086570642,-0.65673889,-0.21446506,-0.43248001,0.076073378,-1.7000421,1.3317727,1.2316291,1.5116783,0.87187237,-6.2804382,26.694999,0.11217507,-0.11988837,-0.14918246,0.0012240779,-0.10669404,-0.091070533,-0.15344366,0.021061726,-0.17929969,-0.13027291,-0.12779253,-0.052563974,-0.13334856,-0.11545518,-0.10503046,0.065479529,-0.17276297,-0.017055171,-0.10939989,0.082015187,-0.26724812,-0.10256292,-0.11944334,0.0066921328,-0.16229518,-0.20717728,-0.092088845,-0.0091598075,-0.33150159,-0.10190335,-0.13004956,0.019083778,-0.19305841,-0.063038477,-0.10624414,0.0091120588,-0.25814194,-0.058781465,-0.11728608,0.091869684,-0.35692327,-0.11546242,-0.15658309,-0.034829671,-0.2255015,-0.11116157,-0.16029112,-0.02881096,-0.36533386,-0.043478063,-0.13080438,0.071236158,-0.3449263,-0.052067866,-0.094543147,0.050010127,-0.31707182,-0.083587344,-0.14072251,-0.0074459546,-0.47291241,-0.12128121,-0.18084501,-0.014276325,-0.39482237,0.24981045,0.2455692,0.2493341,0.24407534
-19622.198,0.99861283,0.0027845261,10,1023,0,19674.474,-0.16355134,-0.069852979,-0.14959164,-0.16914764,-0.26177956,-0.084325931,-0.18176056,-0.097520872,-0.13191683,-0.13402336,-0.10676203,-0.54395027,0.084133563,0.028557981,-0.051397026,-0.61699062,0.21302241,0.1285498,0.10879969,0.15920003,0.27275051,0.085752854,0.16232208,0.066250992,0.066520684,0.25984478,0.15497073,0.5297935,1.1916616,0.21424197,0.30233573,0.42086377,0.45420469,0.076274662,0.57934838,0.21098463,-0.54252874,-0.72694913,1.0822269,-0.79354431,0.48548219,0.13653581,1.214863,0.27853606,0.31192953,0.32258208,1.4442736,-0.18174721,0.93568181,0.5095365,1.2709743,0.021311449,-0.13146849,-0.44765554,1.1327058,-0.82728467,0.28758925,0.24293557,1.2137766,-0.76999577,0.45260875,-0.56003725,1.4515013,-1.6647605,0.34511976,0.77838663,1.4110225,-1.5572662,0.39753705,-0.0021636493,0.61207424,-0.82848523,-0.1614969,-0.37514638,0.52710843,-0.85963647,0.75325884,0.68382958,0.94517816,0.23718722,-0.10877541,-0.15950691,-0.00048603597,-0.32661255,-0.4161267,-0.64981363,0.18845543,-1.614783,-0.1294341,-0.28236076,0.4291491,-1.1785191,1.1145894,1.0970426,1.3611096,0.50164119,6.9610941,-26.347786,0.040304698,-0.066795559,-0.14730312,-0.040137148,-0.11860688,-0.13959494,-0.16330214,0.069267077,-0.17186294,-0.09677133,-0.13473659,-0.017414922,-0.11928701,-0.11948845,-0.11779256,0.060780772,-0.1980818,-0.006571868,-0.12280322,0.084879329,-0.25596685,-0.09559973,-0.12271367,0.012806824,-0.15526795,-0.13507847,-0.14232675,0.015262187,-0.30674787,-0.067535093,-0.1346239,-0.0013574735,-0.20781291,-0.10895923,-0.080138021,-0.03805465,-0.23550725,-0.030725427,-0.13458557,0.025020942,-0.34930092,-0.13178932,-0.16489874,-0.025075657,-0.23998052,-0.14487862,-0.18166179,-0.043201016,-0.41829002,-0.045489916,-0.1059447,0.083554372,-0.30507808,-0.060593821,-0.11065937,0.068933042,-0.3173963,-0.090529578,-0.13676477,0.078350082,-0.40770547,-0.14790031,-0.15528516,-0.044148892,-0.40586802,0.24755117,0.25314247,0.25445567,0.25032321
-19627.167,0.68349372,0.0027845261,10,1023,0,19679.404,-0.12985676,-0.055745677,-0.14713692,-0.19397835,-0.2689946,-0.10421414,-0.14700937,-0.12468829,-0.14698399,-0.084914201,-0.085491261,-0.44178524,0.062869126,0.16491871,-0.12351307,-0.52425644,0.19306422,0.161405,0.10615754,0.1466792,0.28700714,0.048905973,0.15690864,0.099339882,0.089668699,0.27180267,0.11550862,0.57323036,0.66924727,0.38329717,0.36634345,0.29035051,0.32656388,-0.17249651,0.7005661,0.30746577,-0.041002037,-0.44068567,0.63231573,-0.4839783,0.13885115,0.10267949,0.97494933,0.37883275,0.76178921,0.66412084,1.8438089,0.065570725,0.94880256,0.55024093,1.2530705,0.19746223,-0.53065123,0.60721685,1.1440493,-0.98877266,-0.12213665,0.25097906,0.83742958,-1.0626945,0.44427867,0.24559058,1.7644255,-0.78289867,0.40745799,0.82726054,1.8013059,-0.74597769,0.11634303,-0.15631025,0.43466189,-0.77866824,-0.70500762,-0.79176804,0.40126102,-1.1752985,0.54312869,0.46840101,0.65510682,0.086290507,-0.17949678,-0.27064355,0.024467833,-0.60529919,-0.60417047,-0.73235049,-0.25111331,-1.2336975,0.0029366023,-0.12773121,0.48976297,-0.89189702,1.3338461,1.2764962,1.7350005,0.52332134,2.0726993,-6.8558574,0.082740455,-0.066808955,-0.16315966,0.0053974921,-0.070496118,-0.062363611,-0.12687455,0.046313246,-0.1338622,-0.13239682,-0.13623671,-0.04363869,-0.10692096,-0.082239716,-0.096565635,0.076470062,-0.18436049,0.0033185044,-0.11107153,0.09064558,-0.21232153,-0.13016615,-0.074517606,-0.048263293,-0.15257102,-0.16617366,-0.10762859,-0.01560943,-0.31375532,-0.080553702,-0.10029135,0.050589528,-0.20246135,-0.11044777,-0.072804617,0.01453676,-0.21387484,-0.053291855,-0.12739974,0.033228061,-0.29655831,-0.16692572,-0.17694729,-0.039142156,-0.22124836,-0.13044738,-0.17328356,-0.066258119,-0.3923209,-0.057258604,-0.11825833,0.079244156,-0.3422257,-0.066658118,-0.11578916,0.068667693,-0.30795404,-0.12243726,-0.17030656,0.05590839,-0.4502537,-0.13697355,-0.15362512,-0.020498159,-0.37230982,0.24648338,0.24996343,0.25278234,0.23694935
