# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:38:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc38431990.json
# init = 2 (Default)
# random
#   seed = 1762227192
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200238-1-186c77.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200238-1-286246.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00246021
# Diagonal elements of inverse mass matrix:
# 0.00730024, 0.0235158, 0.00202919, 0.0235627, 0.0292184, 0.00861229, 0.0285892, 0.00718253, 0.0137872, 0.0195009, 0.0119905, 0.0261743, 0.0476656, 0.0212105, 0.0439519, 0.0260006, 0.383765, 0.477587, 0.638452, 0.445426, 0.338219, 0.413997, 0.384901, 0.325736, 0.343375, 0.281397, 0.423513, 0.362401, 0.320038, 0.280751, 0.30926, 0.267406, 0.267117, 0.261798, 0.366039, 0.306349, 0.271602, 0.321424, 0.226796, 0.290201, 0.321919, 0.240789, 0.214307, 0.26495, 0.308661, 0.269702, 0.284163, 0.266338, 0.363654, 0.271327, 0.374257, 0.307129, 0.278551, 0.325796, 0.217428, 0.271337, 0.330679, 0.240756, 0.216302, 0.251954, 0.299362, 0.24789, 0.247397, 0.264829, 0.497231, 0.610022, 0.489535, 0.485279, 0.39758, 0.553235, 0.328596, 0.469948, 0.405495, 0.351788, 0.435404, 0.421329, 0.433298, 0.406418, 0.443404, 0.374056, 0.284216, 0.295972, 0.317215, 0.464282, 0.426119, 0.369047, 0.578002, 0.356805, 0.600466, 0.471596, 0.346733, 0.436776, 0.532699, 0.466622, 0.428284, 0.45492, 31.914, 526.268, 0.724185
-19631.795,0.96751888,0.0024602144,10,1023,0,19671.161,-0.06416403,-0.05563742,-0.088670498,-0.13458394,0.060638828,-0.2870441,-0.3996581,0.0091757982,-0.091681137,-0.13820675,-0.033244659,-0.20080332,-0.12473085,0.043022538,-0.34961418,-0.13836225,0.19622582,0.13441001,0.050168657,0.15296136,0.17065567,0.25430231,0.19993338,0.2012681,0.073885353,0.15891693,0.12795522,0.4322646,0.12113659,0.2363581,0.31678734,0.17428288,0.083446144,-0.33899952,0.4658748,-0.15043846,-0.33862387,-0.53671137,0.90203542,-0.68957211,-0.31114003,-0.80287423,0.60599121,-0.85685283,0.31996942,-0.0050667503,1.4646721,-0.30665088,-0.27232738,-1.1737199,0.093323373,-1.7922881,0.75196624,0.72979271,1.210069,0.45163361,1.5479869,1.3923282,1.9744777,0.57288378,-0.36423252,-0.74214667,0.09973895,-1.0060431,0.31092267,-0.02468506,1.522988,-2.3245467,0.51369737,0.108844,1.2410544,-1.0971431,-1.0880097,-0.89043131,-0.32641267,-1.7018886,0.11433046,0.1412154,0.33390444,-0.38374867,0.63984071,-0.0077002281,1.9403281,-1.6098646,-0.39369481,-0.69198838,0.035942874,-1.5354874,0.91707094,0.69686006,1.2154768,-0.25817607,-0.13120532,-0.27663102,0.71667132,-1.3641525,-2.7360736,12.287141,0.053751694,-0.047789742,-0.13068449,0.027252634,-0.09368394,-0.10115186,-0.1277768,0.065605171,-0.14832282,-0.10427998,-0.12894962,-0.058268733,-0.13165765,-0.08564098,-0.13535896,0.089454303,-0.18148968,0.014164617,-0.13966313,0.07656499,-0.24522529,-0.095817348,-0.10145613,0.020679233,-0.17219263,-0.090163851,-0.12128523,-0.0048941018,-0.28511951,-0.064132587,-0.14019465,0.029250067,-0.19330859,-0.068708506,-0.093505001,0.020845367,-0.26343109,-0.05657154,-0.1209096,0.059017816,-0.31256136,-0.17246119,-0.14718,-0.075010865,-0.2510102,-0.15138231,-0.1397609,-0.056468254,-0.36668429,-0.047222727,-0.12566363,0.11031389,-0.31974436,-0.050030417,-0.12053452,0.051517928,-0.31990233,-0.05909772,-0.12885774,0.035433487,-0.43140109,-0.16122909,-0.1865743,-0.013458708,-0.37611066,0.24614826,0.25153675,0.24429269,0.24479432
-19640.312,0.89458006,0.0024602144,10,1023,0,19687.618,-0.03733953,-0.10233155,-0.062322957,-0.010229118,0.021655711,-0.15662269,-0.53390073,-0.065835833,-0.1940223,-0.23893228,-0.12778057,-0.16845868,-0.14836164,-0.021439909,-0.3134875,-0.16910242,0.048884268,0.10466593,0.064796136,0.20488485,0.13909191,0.4412999,0.4035581,0.1082454,0.087761222,0.40218667,0.074447438,0.10931208,0.16163673,0.17415057,0.37260533,0.11830358,-0.2922669,-2.3393409,2.0793896,-1.2772107,-0.12364584,-0.85895468,1.2210802,-0.44654031,-0.23328369,-1.062209,1.0335074,-0.62594374,-0.37169132,-0.59057634,0.457326,-0.84614891,-0.094196498,-1.0379054,0.36972098,-1.83944,0.18158665,0.1310848,0.40758652,0.049942327,0.81648682,1.0801123,1.4629635,0.45923549,-0.032046028,-0.49102698,0.79468845,-1.1841973,1.1639403,1.6060937,1.6469946,-0.96353916,0.4768767,0.24644156,0.63956426,-0.14259178,-0.49508523,-0.91368559,1.035607,-1.3769477,0.27996366,0.0096871118,1.3886502,-1.7693682,0.63377109,0.11425282,1.616893,-1.2100634,-0.17427124,-0.45053566,0.40955305,-1.626851,0.58650255,0.46448523,0.87117344,-0.20633861,0.29191774,-0.003489696,1.1238016,-1.7774325,0.81829256,-1.9046206,0.1813497,-0.051626783,-0.1516965,0.064309909,-0.09977504,-0.11527305,-0.19223484,0.025473955,-0.14906911,-0.077438839,-0.13115,0.0046443307,-0.10288169,-0.086383038,-0.13122926,0.083470051,-0.18359221,0.0085537405,-0.12270853,0.073080909,-0.23419551,-0.076488523,-0.098774985,0.023245195,-0.13458315,-0.20440086,-0.098012667,0.056490038,-0.34857253,-0.069304668,-0.11898724,0.020185533,-0.19401974,-0.091873476,-0.053069559,-0.049480045,-0.27858368,-0.047138829,-0.13981677,0.018291937,-0.2962808,-0.1646384,-0.19580212,-0.050682286,-0.2302908,-0.13785528,-0.16739977,-0.016662449,-0.36187199,-0.04592095,-0.12989418,0.11298766,-0.34395232,-0.051789344,-0.099900951,0.049883987,-0.30475694,-0.094953522,-0.14041782,0.01111637,-0.39037037,-0.1345675,-0.16951526,-0.036152659,-0.37937904,0.24553447,0.25583476,0.24645675,0.24732974
-19648.853,0.9861514,0.0024602144,10,1023,0,19690.15,-0.033564946,-0.086180352,-0.08795425,-0.17550397,0.085405766,-0.097479355,-0.57946343,-0.061207904,-0.16600412,-0.32593511,-0.12859406,-0.16455773,-0.1521894,-0.027055827,-0.34489247,-0.15634888,0.053119774,0.14330548,0.04152405,0.12933366,0.19130731,0.12441755,0.49297597,0.098961274,0.068515165,0.50115899,0.080600527,0.18132036,0.22018144,0.1891765,0.26899557,0.11767095,-0.56787528,-1.7105211,1.2665734,-1.4600574,-0.28481012,-0.23189088,0.66217796,-0.65849092,-0.16471969,-0.92842094,1.0128224,-0.41743111,0.4141947,0.2845855,1.9384208,-0.35262801,-0.28092779,-1.3946243,-0.068138259,-1.5314432,0.11895188,-0.16171306,0.77548458,-0.53550871,1.0018822,0.92023489,1.1921659,0.52279339,-0.17919421,-0.5897632,0.86521402,-1.1960672,1.8598634,0.99939656,2.0644946,-1.5011007,0.61402797,0.42034692,0.77346293,0.0013316486,-0.16560383,-0.32935709,0.54174197,-1.281815,0.129309,0.09977943,0.58679689,-1.2927579,0.3908934,0.097639478,1.1289202,-0.93332514,-0.11518237,-0.40366205,0.46329385,-1.5112675,0.88494034,0.70075081,1.3449789,-0.22363659,-0.14998527,0.10383341,0.64002091,-1.9346693,0.78303949,-2.1716895,0.088380519,-0.063730352,-0.12442744,0.033715148,-0.11112287,-0.1269952,-0.11941159,0.0087133817,-0.18054571,-0.094794079,-0.12650605,-0.04589776,-0.10528768,-0.12193466,-0.13869749,0.075199085,-0.22111064,0.031662227,-0.18139605,0.072370419,-0.20757051,-0.082679653,-0.1175993,-0.00099546408,-0.16410604,-0.085559569,-0.12580975,0.0082456888,-0.32173885,-0.078941191,-0.11957162,0.024414777,-0.17957224,-0.038575272,-0.0975303,-0.024554935,-0.26885229,-0.01820947,-0.11527447,0.061692792,-0.32526774,-0.14194181,-0.15514041,-0.084929369,-0.23190903,-0.14111138,-0.14646569,-0.058159514,-0.39896106,-0.066121924,-0.130691,0.096377871,-0.35769027,-0.048845625,-0.1034192,0.060588484,-0.31295212,-0.10684745,-0.15639361,0.0169009,-0.40504973,-0.17399778,-0.1441307,-0.081037007,-0.38400325,0.24403221,0.25731433,0.24695053,0.24660047
-19646.852,0.99533295,0.0024602144,10,1023,0,19709.996,-0.028521147,-0.10558108,-0.11619876,-0.14808762,0.076446669,-0.1071912,-0.41676369,-0.04883126,-0.13979551,-0.2794776,-0.11876375,-0.21608244,-0.11562795,-0.012607383,-0.46295288,-0.16884252,0.067195876,0.15815575,0.084762443,0.080509942,0.19689867,0.11012426,0.29012986,0.14130494,0.054157568,0.41196032,0.068873748,0.20319995,0.19964221,0.18232692,0.39250812,0.14496305,-0.41307635,-1.7721436,1.2982853,-1.1950505,-0.27918333,-0.54935449,1.1409939,-0.33005698,0.28600422,-0.79316757,1.3834933,-0.33227611,0.25400965,0.24165106,1.7581926,-0.5850506,-0.56813037,-0.8478281,0.24264116,-1.5102085,0.1124595,-0.1104085,0.88349971,-0.42409805,0.76867479,1.0824348,1.4803025,0.31738615,-0.16571153,-0.61829489,0.45330823,-1.3053804,1.0916021,0.66841239,2.0062241,-1.7238829,0.60548119,0.34741401,0.77293752,-0.13221204,-0.03348678,-0.57072424,1.0712826,-1.9572633,0.33761869,0.3154672,0.8876562,-0.89527302,0.62519495,0.1845691,1.0826151,-1.282279,-0.30009721,-0.53834847,0.26528018,-1.6243539,1.0171127,0.88806129,1.3168356,0.1951859,-0.05703844,0.13160153,0.7719535,-1.6864457,-2.5455103,11.401605,0.13498472,-0.056278174,-0.14760189,0.058718273,-0.10882361,-0.14973553,-0.19246466,0.074873663,-0.15778149,-0.091956343,-0.18342958,0.0010695148,-0.14436329,-0.12763732,-0.12863231,-0.0065356345,-0.19519001,-0.035417446,-0.090489557,0.12422239,-0.22091137,-0.094806683,-0.11934986,-0.0098964489,-0.15389469,-0.19374818,-0.10271703,0.012716249,-0.32468049,-0.072247118,-0.13619938,0.015223434,-0.23328796,-0.080676992,-0.10359592,-0.031143289,-0.23315682,-0.03004337,-0.13635681,0.038941993,-0.33394371,-0.12107011,-0.15807167,-0.044980505,-0.25356781,-0.14747834,-0.15197953,-0.035710752,-0.39800187,0.0091873507,-0.078780168,0.10050772,-0.37162497,-0.067323182,-0.1107628,0.035760334,-0.30877082,-0.063727889,-0.11438161,0.053915769,-0.38634083,-0.17711099,-0.14976517,-0.056937792,-0.41331483,0.24096867,0.24828001,0.24023626,0.24962205
-19652.33,0.99779166,0.0024602144,10,1023,0,19694.508,-0.049549498,-0.048072408,-0.10480406,-0.14484181,0.040145544,-0.1054326,-0.50529093,0.006680426,-0.13516722,-0.24366575,-0.1456695,-0.18784783,-0.059001225,-0.034753448,-0.40554552,-0.17105587,0.050346649,0.15723394,0.024542857,0.082215937,0.12501406,0.14772696,0.36358439,0.14104016,0.057869005,0.39173892,0.063779973,0.1992531,0.15645708,0.12832997,0.30869124,0.15608291,-0.051365964,-1.3760685,1.4647974,-1.229672,-0.025602865,-0.34615272,0.84717349,-0.73631342,0.070740933,-0.048844262,1.2448898,-0.013202687,0.64257207,0.58033138,2.0950883,-0.62897855,0.06161933,-1.3620644,0.22382308,-2.0245969,-0.031248983,-0.017025276,0.91133021,-0.3303436,0.93611449,1.1843136,1.5300721,0.4819085,-0.47608269,-0.7289757,0.35651205,-1.2365743,0.88866749,1.3944551,1.8535766,-1.8824443,0.48293265,0.36222282,0.8106036,-0.24958351,-0.18577358,0.43961738,1.3188878,-1.6466972,0.28099257,0.095427568,0.73327504,-0.85979152,0.26741148,-0.13807682,1.1193026,-1.7230117,-0.12152144,-0.5743977,0.56704749,-2.1784476,1.0384792,0.88927185,1.3863881,-0.13877894,0.15776402,-0.12006725,0.83623943,-1.5516571,4.16779,-15.466058,0.098499997,-0.052135603,-0.11882994,0.02419814,-0.11145936,-0.052098048,-0.10249936,0.085132017,-0.16384587,-0.10306788,-0.10600284,-0.07425091,-0.10512809,-0.092012143,-0.09712932,0.02740784,-0.19655387,0.047848827,-0.13013165,0.068126576,-0.21295753,-0.11004892,-0.10794769,0.029195444,-0.15423326,-0.16493432,-0.074692986,0.051019405,-0.33007652,-0.060466351,-0.096134422,0.056962942,-0.1677262,-0.083740917,-0.05447149,-0.027902589,-0.2441024,-0.054482235,-0.10176897,0.073879231,-0.34143732,-0.15751814,-0.11763072,-0.061550878,-0.25069581,-0.13185919,-0.16883359,-0.041740504,-0.35916396,-0.017162806,-0.080604322,0.11612159,-0.3285786,-0.05034829,-0.10846589,0.03801574,-0.31431356,-0.084976077,-0.13103509,0.022420361,-0.44838536,-0.1464316,-0.18979631,-0.040533187,-0.41324301,0.24196688,0.24915661,0.24106143,0.24595723
-19657.424,0.9499031,0.0024602144,10,1023,0,19723.003,-0.062821499,-0.10426667,-0.12747706,-0.12667051,0.012708316,-0.10863892,-0.41707606,-0.039683915,-0.16988136,-0.24775754,-0.15149932,-0.18442599,-0.054640772,-0.064989649,-0.49408051,-0.20684454,0.064442121,0.097740562,0.023015288,0.076721325,0.12815721,0.17742144,0.31127242,0.10427854,0.076438406,0.45157813,0.097441912,0.12933171,0.22049,0.10940427,0.41836892,0.16347283,-0.43249661,-1.5229737,1.9630629,-0.54034513,-0.10369603,-0.91999792,1.1712024,-0.21795246,0.27782199,-0.62863932,0.99223625,0.42053473,0.36429325,0.56933702,2.5928797,-0.83864505,-0.21844965,-0.98947836,0.91301522,-1.9975312,0.068846202,-0.036229399,0.43666892,-0.27226978,0.78747308,0.96789925,1.3402147,0.30952315,-0.52604318,-0.47020506,0.64806877,-1.0684034,1.0701637,1.057648,2.1736946,-1.0942867,0.42924472,0.24804972,0.65916183,-0.059686519,-0.37801732,-0.15400466,1.1981569,-0.91563619,-0.020687963,0.19444446,0.9050123,-1.3612257,0.19036444,-0.20258012,0.7185887,-1.2830063,-0.25412476,-0.56390916,0.93734017,-2.128567,1.0010184,0.92727705,1.2095345,0.2489061,0.23504822,0.48343583,0.97651826,-0.7908722,0.52871392,-1.177334,0.17154764,-0.090692498,-0.16096515,0.063682439,-0.097642486,-0.11440198,-0.19418779,0.010207305,-0.12556947,-0.1210829,-0.14194537,-0.10464045,-0.11779833,-0.098721449,-0.082990219,0.072258654,-0.19101247,-0.015287583,-0.11410047,0.1297178,-0.24328972,-0.096424129,-0.11506679,-0.031164492,-0.15694542,-0.17195741,-0.11579572,9.5796943e-05,-0.32073004,-0.094538931,-0.088716213,0.027895752,-0.15109547,-0.088079759,-0.089036435,-0.0037276172,-0.2535269,-0.053920013,-0.13574371,0.049905528,-0.27471067,-0.18833405,-0.16650583,-0.034748617,-0.24072066,-0.1871016,-0.15927815,-0.067379202,-0.36047563,-0.012667317,-0.099307664,0.10380085,-0.33753084,-0.092791982,-0.12668372,0.037559367,-0.29786397,-0.075285533,-0.10613662,0.01195112,-0.38994594,-0.16842055,-0.12781592,-0.047210338,-0.33613066,0.2378887,0.24805292,0.23938072,0.24748653
