# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:38:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc38431990.json
# init = 2 (Default)
# random
#   seed = 1762227192
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200238-2-186c77.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200238-2-286246.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00233461
# Diagonal elements of inverse mass matrix:
# 0.013529, 0.0591072, 0.00228952, 0.0209802, 0.0189774, 0.00592039, 0.0320891, 0.0112778, 0.0148741, 0.0706523, 0.015588, 0.0390493, 0.0272579, 0.0861884, 0.0350706, 0.0317088, 0.423625, 0.560497, 0.989959, 0.470741, 0.278544, 0.426544, 0.343062, 0.438752, 0.314944, 0.446808, 0.423671, 0.352306, 0.306843, 0.458455, 0.309309, 0.430076, 0.26704, 0.32337, 0.416815, 0.311308, 0.313679, 0.305818, 0.311443, 0.266334, 0.247582, 0.290555, 0.267233, 0.284618, 0.262682, 0.295529, 0.284988, 0.217187, 0.388543, 0.369702, 0.380656, 0.292471, 0.288534, 0.319122, 0.318668, 0.243559, 0.250994, 0.306846, 0.279163, 0.269397, 0.250594, 0.256635, 0.269149, 0.213908, 0.476647, 0.622512, 0.552549, 0.575426, 0.451151, 0.544246, 0.468554, 0.51265, 0.363353, 0.42379, 0.468566, 0.446513, 0.3999, 0.460675, 0.415371, 0.328309, 0.304213, 0.375503, 0.366663, 0.416335, 0.418231, 0.3616, 0.531529, 0.390982, 0.523057, 0.637831, 0.466136, 0.439352, 0.462267, 0.505217, 0.50741, 0.485203, 19.8082, 326.676, 0.771007
-19636.319,0.91236246,0.0023346104,10,1023,0,19695.323,-0.011597597,-0.16885112,-0.21194604,0.069193262,-0.025223031,0.089976737,-0.14209303,-0.10466432,-0.033300109,-0.17973798,-0.10691635,-0.20164598,-0.24061877,-0.068539276,-0.10853106,-0.093679194,0.079382643,0.23154662,0.15142042,0.20632364,0.12340067,0.39814186,0.098074874,0.22425533,0.15135225,0.18341812,0.10754712,0.29633545,0.67040144,0.19046884,0.18414156,0.12634779,-0.54559861,-1.8925469,0.7867609,-1.2465023,0.27036868,0.1082087,0.89728197,0.03887534,0.27820721,0.45737288,1.5245451,0.5784594,-0.78184344,-0.8620683,-0.23803558,-1.2232954,0.21792571,-0.59977556,1.3138516,-1.7761941,-0.43537523,-0.49767833,-0.31333004,-0.64101146,0.058910077,0.51749881,1.8795457,-1.4827868,0.13939888,-0.031322925,0.53320641,-0.36710852,-0.52917883,-0.2293685,0.10433628,-1.4831906,0.68359089,0.2008638,1.4161621,-0.67705628,-0.69389202,-0.59332132,0.37625681,-0.97388788,0.10492502,0.066161181,0.63205872,-0.65547819,0.33662882,0.24009177,0.5081054,-0.14242558,0.084180484,-0.21839144,0.40193316,-1.2910299,0.25035905,-0.23329054,1.0106542,-1.3068982,-0.19925803,-0.15760932,0.62004951,-2.0483424,-2.0060406,9.4995862,0.023599481,-0.054908657,-0.16183297,0.050857563,-0.11054824,-0.10624817,-0.14379576,0.038911482,-0.15984967,-0.16981978,-0.14269044,0.018901232,-0.12435547,-0.092119522,-0.10867181,0.020080895,-0.18320149,0.0016691472,-0.099235738,0.13690713,-0.24440658,-0.083364365,-0.10816984,-0.034773066,-0.16523675,-0.13631543,-0.091339397,0.042243177,-0.28751716,-0.07340338,-0.11168865,0.014910057,-0.18699036,-0.11339251,-0.068015547,-0.017508578,-0.25778434,-0.054355032,-0.14289592,0.080011805,-0.30392237,-0.18154244,-0.17072635,-0.066451015,-0.21165519,-0.17055298,-0.18204008,-0.014344578,-0.3958874,-0.014942327,-0.079660905,0.10001582,-0.33610108,-0.052505518,-0.11013604,0.0080164643,-0.31444024,-0.06242955,-0.15148954,0.077572386,-0.34918532,-0.118855,-0.11359278,-0.01533731,-0.35248273,0.24437338,0.24939677,0.23209502,0.24620295
-19630.413,0.99778525,0.0023346104,10,1023,0,19682.795,0.033228986,-0.13505207,-0.14671031,0.098343952,0.013589598,0.0063231176,-0.1924704,-0.060914867,-0.062138722,-0.20883519,-0.098959091,-0.16800255,-0.22645976,-0.086483388,-0.063415272,-0.12010723,0.098484002,0.19575484,0.14459384,0.29573142,0.11180113,0.25016418,0.12496174,0.28312282,0.15099703,0.16823151,0.10507187,0.19853119,0.42026729,0.095411327,0.20777585,0.14848697,-1.5982796,-1.6342551,0.29747093,-1.3729109,0.12995729,0.069690589,0.99699172,-0.10705275,0.63891583,0.18276643,0.67435917,0.086224984,-0.65698617,-0.69933563,-0.042276271,-0.95445139,0.13521219,-1.1457393,0.82770088,-2.0991181,-0.52345384,-0.50415885,0.11561238,-0.59345494,0.24330233,0.72200771,1.7568257,-1.1843618,0.0041252327,-0.12157981,0.37702221,-0.50141409,-0.01596796,-0.34726487,0.46452807,-1.2772495,0.98415292,0.43054438,1.4094358,-0.73109406,-0.3142927,-0.63461574,0.42268792,-1.0387469,0.13004952,-0.060566893,0.6495809,-1.1062001,0.39947469,0.31074449,0.7522316,-0.20718899,0.31201369,-0.11418832,1.0092654,-2.209369,0.0085370528,-0.21652404,0.62947764,-1.663433,0.040275616,-0.11581476,0.89858092,-1.732131,-1.7203722,8.3873637,0.067175449,-0.12417598,-0.127719,0.062525114,-0.10198078,-0.1096123,-0.1214098,0.060113887,-0.15600816,-0.054327021,-0.12028341,-0.049202132,-0.13424271,-0.095947502,-0.10847157,0.085841531,-0.18391732,0.028706473,-0.11450535,0.10612749,-0.22109417,-0.12462628,-0.11979936,0.035245193,-0.14213805,-0.16206692,-0.10224706,0.0270656,-0.34047032,-0.059746919,-0.095336886,0.045828725,-0.20287664,-0.064549837,-0.11457469,0.008003637,-0.25499961,-0.043269655,-0.13640406,0.028276322,-0.33182825,-0.13198241,-0.16563935,-0.05454648,-0.20810217,-0.14218367,-0.18002697,-0.039040488,-0.38761778,-0.05857362,-0.095864021,0.08967857,-0.31353452,-0.056713748,-0.097378247,0.0098119661,-0.29728222,-0.061641479,-0.10840374,0.067374982,-0.40903649,-0.11412682,-0.13730421,0.013320334,-0.3773061,0.2438518,0.25340449,0.23793181,0.2481951
-19637.423,0.98372126,0.0023346104,10,1023,0,19685.497,-0.051441481,-0.067020657,-0.10372273,-0.024866611,-0.026826838,-0.0028555528,-0.23456292,-0.12703502,-0.07765334,-0.23197857,-0.16665372,-0.23071832,-0.17814864,-0.061526367,-0.38158813,-0.087804828,0.056225585,0.15201228,0.044340538,0.11020841,0.20799544,0.13380448,0.27352552,0.15829089,0.080757857,0.15696598,0.072025267,0.43141975,0.14306076,0.38111497,0.80634212,0.22316145,0.46760845,-1.4543213,1.3667651,-0.89810557,0.0039885812,-0.60678615,0.83506917,-0.48064566,-0.59694211,-1.0919771,2.1342387,-0.66183556,-0.58692056,-0.97741942,0.47988736,-1.2802269,0.035124561,-0.24517875,0.51287302,-0.89917401,-0.85282136,-0.84504322,0.090556521,-1.2737375,0.38992976,0.28390336,0.86607415,-0.3905385,0.41100261,0.029093888,1.0595567,-0.43693896,0.04587056,-0.46941238,0.73063164,-1.9524125,0.91658628,0.64350382,1.9088448,-0.49468769,0.41060779,0.11431749,2.1944009,-1.1747217,0.2220435,0.22375757,0.46519379,-0.39161197,1.2392603,0.59135299,1.8610793,-1.3012631,-0.0061179499,-0.080725413,0.11199397,-0.67294838,0.32983064,0.26772281,0.5801465,-0.031118467,-0.14806703,-0.42912923,0.24168049,-1.4835651,-0.61232638,4.0466747,0.11830876,-0.025149923,-0.13321155,0.025405685,-0.10193799,-0.066414344,-0.1592596,0.059920107,-0.1400847,-0.13019147,-0.15214158,-0.0090894406,-0.13306888,-0.08955019,-0.13258645,0.02802101,-0.16595838,-0.019521089,-0.0778229,0.079848411,-0.21385093,-0.11696687,-0.11592612,0.0092613154,-0.17328734,-0.12790717,-0.1569081,0.0023304689,-0.34138516,-0.061977051,-0.12242972,0.040683147,-0.19619847,-0.073948932,-0.11556208,-0.018649095,-0.23532599,-0.088105708,-0.13097036,0.067645126,-0.30962771,-0.13707958,-0.15841997,-0.0086014019,-0.25126336,-0.13492437,-0.13418488,-0.030024529,-0.39966746,-0.00085911528,-0.093549229,0.088098779,-0.36430833,-0.06385801,-0.092292031,-0.018843789,-0.31799707,-0.11563179,-0.16571196,0.086208422,-0.40668027,-0.12084768,-0.18356993,-0.033871061,-0.41887937,0.24471393,0.2515484,0.23218361,0.24552459
-19646.765,0.98701252,0.0023346104,10,1023,0,19691.629,-0.079783749,-0.067124964,-0.10527015,0.14796594,-0.018844704,-0.074209453,-0.1288965,-0.096161705,-0.070586174,-0.26385182,-0.15919942,-0.24079271,-0.11965037,-0.070463322,-0.18050804,-0.090213209,0.14282418,0.3451225,0.042332072,0.2163447,0.17281323,0.073313513,0.22302347,0.092173754,0.065338673,0.20816383,0.078162562,0.86218974,0.16920221,0.090960501,0.34556793,0.10908052,-0.4288149,-0.74032561,1.0020153,-0.12027572,-0.14621578,-0.15151359,0.46468194,-0.14837079,-0.27434238,-0.88219168,1.8175267,-0.5825482,-1.030036,-1.2815251,-0.19585571,-1.4934226,0.07638288,-0.79425631,0.53265106,-1.0136708,0.079315316,-0.34305119,0.82064095,-1.1849712,-0.12537682,0.16095941,0.84887212,-0.87685496,0.23321943,-0.15157523,1.4437764,-1.2062084,-0.65250616,-0.29174348,0.5397441,-2.2815993,1.0690398,0.67771009,1.7234043,-0.21616824,-0.0074122762,0.10921805,1.8171206,-1.0522669,0.094261476,0.09961685,0.26211432,-0.20517291,0.73405919,0.15965917,1.1167451,-1.4277657,-0.21190893,-0.50502033,0.98301929,-2.4342193,0.29488497,0.13196163,0.56443781,-0.76722501,-0.17234935,-0.44002125,0.61541675,-2.6541302,2.411073,-8.1190959,0.1316323,-0.14102889,-0.18552015,0.063328267,-0.09696203,-0.11758732,-0.11941571,0.093247228,-0.11833106,-0.11688363,-0.14261515,-0.028330478,-0.12993062,-0.074876887,-0.12928522,0.1055936,-0.17512813,-0.0056447324,-0.1561027,0.073204444,-0.19402043,-0.068394568,-0.099359741,-0.014045382,-0.16108386,-0.15685847,-0.092998769,0.060421908,-0.32445573,-0.074664995,-0.11013296,0.036916582,-0.20734246,-0.11322006,-0.089648305,-0.03532001,-0.21966284,-0.0413164,-0.12277709,0.094898623,-0.30885023,-0.15977878,-0.15066266,-0.017168616,-0.24144729,-0.15952143,-0.15490408,-0.014800434,-0.41769069,0.0045540688,-0.092635684,0.069305375,-0.36123148,-0.089738664,-0.11640022,0.018952606,-0.29188113,-0.078605252,-0.13490633,0.014543566,-0.44563639,-0.10901317,-0.13821096,-0.023083229,-0.37972711,0.23605916,0.25133409,0.23887461,0.24881917
-19636.805,0.99513395,0.0023346104,10,1023,0,19693.249,-0.030900055,-0.084275651,-0.077420517,-0.050754613,-0.076697535,-0.13501722,0.1354198,-0.083405232,0.011843889,-0.1470205,-0.12497376,-0.096241199,-0.10109447,0.055603975,-0.13505266,-0.023828184,0.065066471,0.10992528,0.074977366,0.30249408,0.18368916,0.08072656,0.33171043,0.12517378,0.15102946,0.14945596,0.10866526,0.16067543,0.19362059,0.25044686,0.3256139,0.22672942,-0.1155042,-2.2118576,0.84469171,-1.5093773,0.20235564,-0.24951754,1.465314,-0.50998651,-0.28710235,-0.46052906,0.29875632,-0.5035032,0.012131254,-0.13785616,0.30893984,-0.4933175,0.27393288,-0.039423833,0.7857323,-0.8672524,0.39848319,0.54303212,1.050847,-0.3685035,-0.88612326,-0.69316242,-0.13537224,-1.4936128,-0.0045692449,-0.088514228,0.98548446,-0.8097333,-0.28508382,-0.65257942,0.10984627,-1.8618375,0.65455049,0.091319808,1.1063022,-1.0331246,0.052997517,-0.61141034,1.1250613,-1.0845616,-0.23846099,-0.34092362,0.37663861,-1.733564,0.33942214,-0.056528151,1.0212749,-1.2642507,-0.41390222,-0.77175299,-0.25219415,-1.4207669,0.10158519,-0.027075534,0.51312145,-0.93505474,-0.53947336,-0.55683203,-0.02205182,-1.6071121,-1.7248586,8.7344453,0.084543109,-0.038415506,-0.17481783,0.024061054,-0.12910991,-0.062031651,-0.11170394,0.076799396,-0.14033606,-0.098946695,-0.11194977,-0.055020555,-0.11517186,-0.04708498,-0.092455286,0.04269786,-0.19998024,-0.026379032,-0.083939266,0.067632975,-0.2360024,-0.10284904,-0.091180104,-0.050185959,-0.16476524,-0.15851653,-0.094509405,0.090515415,-0.36002715,-0.083977181,-0.094484892,0.03995158,-0.18476261,-0.031212168,-0.086714832,0.028433912,-0.26934843,-0.049194029,-0.13337221,0.018322953,-0.30142713,-0.11921477,-0.19141283,-0.0027186834,-0.24282793,-0.13455602,-0.15101925,-0.035724629,-0.37478233,-0.035375353,-0.11203948,0.096645381,-0.34587943,-0.048056537,-0.13767914,-0.0075572576,-0.30022265,-0.10197511,-0.14386883,0.032026821,-0.43951947,-0.14614267,-0.15007839,-0.02882798,-0.38820777,0.24792123,0.24476823,0.23729676,0.2487257
-19634.433,0.99742074,0.0023346104,10,1023,0,19687.96,-0.049735004,-0.097459903,-0.068022802,-0.02844713,0.01834756,-0.12561131,-0.032064375,-0.081364501,0.0063896419,-0.062846986,-0.17505947,0.1692013,-0.29258124,-0.099828583,-0.22154089,0.18926961,0.030999263,0.14803494,0.075236162,0.12011892,0.20444361,0.088218189,0.17929745,0.18617303,0.11568184,0.21240862,0.16915254,0.44221492,0.26028182,0.098424413,0.84594072,0.67142757,-0.10077745,-1.5951429,1.2600308,-1.7939943,0.046323985,-0.20021187,0.81290269,-0.41785296,-0.60116709,-0.56223476,0.95751757,-0.95517684,-0.38102607,-0.75038474,1.0498054,-1.2604866,-0.10379018,-0.57051544,0.28179966,-1.1174872,0.17074942,-0.14163748,1.3289144,-0.33772032,-0.44732036,-0.2692783,0.46458332,-1.7465127,-0.027189123,-0.32339087,0.54809907,-0.625344,-0.95426159,-0.63683732,-0.055389474,-2.4805698,0.097241447,-0.30996279,0.27502638,-1.1934686,-0.066557833,-0.0052641255,0.91462257,-0.2750746,-0.59231619,-0.76809839,-0.32249849,-1.2491983,0.94966908,0.72026234,1.5173525,-0.28902346,0.27905324,0.269678,1.3186088,-2.0201764,0.13832881,0.085460501,0.33388235,-0.24582929,-0.52190739,-0.52408885,-0.36859659,-0.89711646,-0.732487,4.5763575,0.10404055,-0.052859031,-0.099183259,-0.010674979,-0.1053475,-0.090602334,-0.12709825,0.022878098,-0.15931674,-0.11325231,-0.11032319,0.0040171446,-0.13988664,-0.074215569,-0.11858253,0.097654351,-0.17985541,-0.0028716792,-0.098290675,0.0759597,-0.21011556,-0.11054811,-0.13810632,-0.0083768886,-0.15540439,-0.11226777,-0.080345286,0.051234228,-0.34520964,-0.086426382,-0.14157116,0.020676765,-0.19778669,-0.10400109,-0.067280869,-1.7914209e-05,-0.28056723,-0.042192065,-0.12868575,-0.0044290133,-0.31635,-0.18631789,-0.17594991,-0.020348732,-0.22158903,-0.092729751,-0.17046326,0.02658766,-0.38321281,-0.045399646,-0.10511005,0.10235802,-0.36780879,-0.072362932,-0.073285685,0.029954712,-0.29866326,-0.10452291,-0.14924637,0.060903795,-0.4294979,-0.1611534,-0.16261809,-0.058216303,-0.41307912,0.24213524,0.25706357,0.24459631,0.24948569
