# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:56:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc7966a908.json
# init = 2 (Default)
# random
#   seed = 2087773004
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200256-1-5ebb1a.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200256-1-11af3b.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00308274
# Diagonal elements of inverse mass matrix:
# 0.00601528, 0.0188362, 0.0156444, 0.014973, 0.0163051, 0.00486636, 0.0253317, 0.0105069, 0.0196711, 0.0175423, 0.0168632, 0.0235257, 0.0393504, 0.0217496, 0.520547, 0.0734413, 0.363407, 0.44547, 0.7418, 0.351622, 0.319976, 0.392744, 0.352058, 0.378923, 0.422927, 0.361793, 0.473744, 0.288144, 0.347473, 0.325891, 0.570028, 0.450921, 0.238356, 0.306637, 0.424645, 0.332704, 0.294419, 0.320704, 0.236325, 0.302307, 0.340587, 0.231112, 0.314052, 0.27412, 0.241733, 0.251684, 0.241834, 0.287006, 0.329279, 0.339996, 0.308075, 0.332398, 0.282069, 0.273745, 0.237725, 0.278548, 0.353849, 0.209796, 0.326504, 0.268373, 0.227607, 0.226, 0.24705, 0.284168, 0.465655, 0.562115, 0.621929, 0.486272, 0.431784, 0.55275, 0.379626, 0.522198, 0.439751, 0.343811, 0.515654, 0.377065, 0.376773, 0.386792, 0.304916, 0.432185, 0.238728, 0.347442, 0.335819, 0.517257, 0.434959, 0.335194, 0.443248, 0.449086, 0.732328, 0.444106, 0.518641, 0.48513, 0.470989, 0.459145, 0.600245, 0.582335, 40.3468, 610.323, 0.929192
-19650.574,0.99369988,0.0030827355,10,1023,0,19699.52,-0.0022461633,-0.16595181,-0.10994317,-0.068648941,-0.035479503,-0.084662422,-0.090934792,-0.077897856,-0.056124459,-0.092843985,-0.075075861,-0.12151824,0.72434533,-0.15277908,-0.19224646,-0.69750265,0.36297623,0.15615537,0.024124988,0.067245182,0.09948294,0.23626189,0.1116016,0.053538627,0.082036423,0.1969938,0.11028484,0.084081115,1.7038485,0.23529042,0.12338037,1.3722151,-0.13697776,-0.4262241,0.22398063,-0.26106694,0.33578151,-0.056362944,1.4145723,0.22477586,-0.41930165,-1.5875036,1.4635598,0.15745342,-1.0976588,-0.68614352,2.01767,-1.4506322,0.02488154,-0.74614954,1.4994885,-1.8580435,0.058056083,-0.18815079,0.39827537,-0.27886453,-0.045320147,-0.016773865,1.2304895,-2.0935253,-0.012736908,-0.31003504,1.3072614,-2.2771594,-0.34158935,-0.23855472,0.18016475,-2.3362143,0.18836043,-0.26347036,0.859944,-1.0315266,-0.61509198,-1.0531722,0.27867159,-1.6997775,-0.26883036,0.19194956,0.75075363,-3.0187769,-0.45472684,-0.48109872,-0.37668495,-0.64272344,0.28380391,0.2513349,0.81145147,-0.73422715,0.75908919,0.40311749,1.5940567,-1.5435633,0.41224396,0.3875638,0.53615736,0.24329363,11.457275,-43.006171,0.14275663,-0.051965833,-0.15695538,0.079053481,-0.097007256,-0.11351772,-0.17475319,0.054941252,-0.13085185,-0.12005881,-0.14824167,-0.074634803,-0.1061446,-0.14246121,-0.11478879,0.067029645,-0.16619697,-0.033004215,-0.10970865,0.11369402,-0.22032314,-0.070945982,-0.12911528,0.0094348697,-0.15054748,-0.095992592,-0.092806782,0.046389794,-0.32457555,-0.078579773,-0.094496707,-0.0079088766,-0.19981384,-0.084147227,-0.075694634,-0.041344387,-0.24777912,-0.055738148,-0.14474601,0.076559651,-0.29604832,-0.14291118,-0.19122478,-0.04434261,-0.26253555,-0.1441218,-0.10537891,-0.058394038,-0.37534037,-0.050440313,-0.095373988,0.082531247,-0.37075803,-0.086002738,-0.093642383,0.038147682,-0.3255357,-0.098589756,-0.14250967,0.0044288423,-0.38269186,-0.13181529,-0.16568177,0.038220542,-0.36365146,0.25541295,0.25848238,0.25965323,0.25935493
-19650.522,0.97966253,0.0030827355,10,1023,0,19699.224,0.17727847,-0.13565158,-0.10259321,-0.18199347,-0.00508569,-0.061740031,-0.22620173,-0.075964389,-0.13686384,-0.080202079,-0.14427688,-0.26733054,1.4695771,-0.13636105,-0.16470186,-0.37262538,0.35259827,0.16134337,0.082063336,0.11444088,0.075297692,0.089902786,0.20941593,0.10608682,0.17174348,0.21629359,0.134292,0.16489948,1.3491566,0.22260269,0.27812816,0.19600384,-0.67406905,-0.9497939,-0.3190585,-0.80829719,0.23959436,0.055350446,0.75202129,-0.17456681,-0.26409628,0.43754351,0.62995163,-0.71083689,1.1035218,0.078294047,2.2882657,-0.022203157,0.16505131,-1.2956126,1.3536514,-3.0558795,-0.7246278,-0.53915975,0.70282384,-1.0234924,0.4280246,0.47027534,1.1197411,-0.72991077,-0.070460091,-0.71824101,0.83984436,-1.306812,0.71997508,0.1967874,0.62141385,-0.69798023,0.11349634,-0.18597034,0.44611741,-1.0485928,0.24615604,0.012623549,0.8430239,-0.75104573,0.62898088,0.6285199,1.0042896,-0.36665713,-1.1011209,-1.1947589,-1.0172819,-1.3655432,0.42611693,0.13201763,0.62927739,-0.88332594,0.31557466,0.14858053,0.88201139,-0.86980386,1.1594236,1.1157485,1.5526179,-0.045594526,4.0679678,-14.778624,0.046117713,-0.060397116,-0.15761722,0.064778991,-0.10772572,-0.096994615,-0.12672115,-0.014317925,-0.16381678,-0.12426583,-0.066686931,-0.050897278,-0.16092686,-0.055705459,-0.17303343,0.079877685,-0.18453442,0.0073422926,-0.10264233,0.096841139,-0.23518636,-0.12688609,-0.11021199,0.0014457906,-0.15375484,-0.13656656,-0.12771858,0.0082898962,-0.37905668,-0.083439276,-0.1521603,0.01313203,-0.21459992,-0.013212808,-0.10306688,-0.030140057,-0.25673739,-0.055653547,-0.12042627,0.016290255,-0.30700598,-0.11122009,-0.14258164,-0.03106551,-0.24513632,-0.16361192,-0.16368793,-0.10172371,-0.32779211,-0.016007405,-0.14233976,0.097104597,-0.37275445,-0.041506279,-0.10697357,0.0037177878,-0.33299179,-0.076931663,-0.12337743,0.080610342,-0.40661881,-0.1453739,-0.15393439,-0.068306299,-0.38156208,0.24838566,0.25360466,0.25660202,0.24857608
-19656.033,0.90649502,0.0030827355,10,1023,0,19710.395,0.17696294,-0.1316543,-0.12933672,-0.1743036,-0.04616453,-0.073913677,-0.21374698,-0.074928649,-0.11631548,-0.10791524,-0.18455043,-0.23457716,1.6169609,-0.15915095,-0.18617253,-0.33743122,0.28636465,0.26718151,0.068062758,0.089418584,0.10460839,0.049289457,0.15893739,0.083987103,0.15281832,0.17140993,0.18927435,0.13578864,1.8665351,0.2536582,0.16619482,0.29524039,-0.82658197,-1.1039733,-0.53692451,-0.99953014,0.32665056,0.042081497,0.65332857,-0.14842284,-0.0076896704,-0.99520193,1.2656118,0.35640584,0.83066726,1.1075103,3.092316,-0.36588523,0.53442736,-0.76126218,1.6472479,-1.4319935,-0.26979659,-1.1181484,1.8045685,-1.2037903,0.46759607,0.57670978,1.4041036,-0.50872793,0.086066549,-0.22469861,1.796163,-1.3285277,0.025408845,0.1821988,0.90959299,-0.67509836,0.2935915,-0.30620905,1.2780561,-1.3518277,0.16650273,0.12232423,1.1564768,-0.22733944,0.45310441,0.37621954,1.3412778,-0.91951748,-0.89205008,-0.90624065,-0.83018793,-1.0459178,0.4740886,0.22056046,0.66394537,-0.69702568,0.59527358,-0.098986734,1.2329212,-1.3579246,0.65644687,0.58661602,0.98344024,-0.14550073,-3.0772954,13.207747,0.069643296,-0.059740921,-0.13917599,0.023206738,-0.10926716,-0.044379309,-0.1204109,0.042903017,-0.17131014,-0.1298601,-0.19707291,-0.043195691,-0.10507876,-0.10002651,-0.075271595,0.10220692,-0.20702054,0.0097410584,-0.12579894,0.12615143,-0.19596307,-0.087211805,-0.12902661,0.015032523,-0.13324785,-0.13942848,-0.12208623,0.0094175737,-0.29460287,-0.067700169,-0.093800434,0.07592588,-0.18650784,-0.11243254,-0.08847216,0.022687,-0.21948288,-0.057590742,-0.16040251,0.11115627,-0.33963194,-0.15303574,-0.16139759,0.034340962,-0.22757996,-0.17305072,-0.18349082,-0.052446867,-0.35943719,-0.048081902,-0.074569093,0.067385985,-0.33528134,-0.038894492,-0.10320398,0.0092642353,-0.33595723,-0.087241144,-0.20262361,0.018732586,-0.41185257,-0.14362159,-0.16423847,-0.047079935,-0.38038891,0.24898381,0.26165771,0.25677648,0.26706717
-19644.436,0.99875559,0.0030827355,10,1023,0,19707.864,-0.0021900769,-0.053771248,-0.084999719,0.014237126,-0.20141988,-0.026057344,-0.28337566,0.024343818,0.16276712,-0.21083114,-0.1603362,-0.0332644,1.0810223,-0.15598691,-0.11801534,-0.21070179,0.19162521,0.080720539,0.033487343,0.14109828,0.17212141,0.10312483,0.15944568,0.3077876,0.22984877,0.1227735,0.19088081,0.22508604,1.4673273,0.090105463,0.14408695,0.30109248,-0.36663186,-0.69884082,0.18257889,-0.50934137,-0.21908859,-1.2058953,1.5885736,-1.078447,-0.06138642,0.15819808,1.3144125,-0.957086,-0.97765728,-0.67573437,0.21171656,-1.3894277,1.0870557,0.32408662,1.6198299,-0.024315714,-1.0151995,-0.50842369,0.35618957,-1.0754853,0.94980347,0.99182122,2.1024411,-0.23634767,-0.23779672,-0.4381754,0.042185556,-0.71628881,-1.1325222,-1.1186252,-0.50399768,-1.6496818,1.3527674,0.39946349,1.7095554,-0.76068407,0.13589254,-0.0999313,0.54295122,-0.48712051,-0.27957191,-0.37700651,-0.088053895,-1.4974254,-0.75298772,-0.81693636,-0.6562882,-0.9876561,1.0185142,0.37119658,2.0451078,-1.8643378,0.49542669,-0.16197145,0.96849245,-1.943254,0.17564324,0.29128933,0.60348654,-0.6554444,5.2701235,-18.851919,0.19977296,-0.072445983,-0.13610559,0.03279664,-0.099792723,-0.071456197,-0.15111177,0.074459273,-0.14082407,-0.087055387,-0.079702086,-0.040983537,-0.11704999,-0.12370863,-0.081107831,0.044109968,-0.18180873,-0.014314314,-0.14563763,0.077387537,-0.20560513,-0.13074962,-0.078488449,0.010674645,-0.13696658,-0.1319336,-0.12523405,0.051849496,-0.32106027,-0.048847063,-0.11052114,0.037328009,-0.196121,-0.097541707,-0.094347509,0.046923873,-0.2164102,-0.044747145,-0.16178761,-0.00094303404,-0.30422299,-0.13439693,-0.17941117,-0.056697237,-0.25331816,-0.096192132,-0.1181233,-0.053084102,-0.37031395,-0.023857165,-0.11769076,0.11803268,-0.3681925,-0.064213222,-0.12254007,0.02828847,-0.32397394,-0.046630822,-0.14135331,0.02153178,-0.39801288,-0.15781693,-0.12299677,-0.028996534,-0.40805117,0.24390938,0.25041407,0.26365348,0.26353525
-19649.478,0.97234325,0.0030827355,10,1023,0,19703.575,-0.073543266,-0.029977933,-0.10940169,0.034082612,-0.15990129,-0.093444967,-0.25131103,0.010745898,0.1027733,-0.11484717,-0.049850589,-0.069101691,0.71609912,-0.1870512,-0.31695979,-0.23638884,0.20251599,0.064995302,0.04577205,0.13281753,0.16115825,0.036609648,0.19721889,0.27445757,0.35733321,0.10587567,0.3156485,0.20313384,1.4233949,0.15881897,0.29856706,0.097903561,0.075919771,-0.41356883,0.77501971,-0.15081027,-0.64710392,-1.4163436,1.4625316,-1.6455465,-0.072630514,-1.2806104,1.6321865,-0.080525218,-1.1668522,-0.90702763,0.3116468,-1.6962145,0.96190523,0.39857465,1.4249096,-0.16321215,0.15117942,-1.3099879,1.7880399,-1.9751619,0.56465022,0.74050594,1.4633931,-0.39965264,-0.1733607,-0.44936641,-0.016510192,-0.80843217,-0.50885917,-0.46351021,-0.22348788,-1.0586651,0.58424214,-0.11744971,1.4833221,-1.459594,-0.26995056,-0.28474985,0.10208284,-0.59107824,-0.48426733,-0.54946475,0.25651664,-1.6222425,-0.53512,-0.62056125,-0.42779996,-0.73250117,0.86989857,0.61118136,1.5094033,-0.68889971,0.50898588,0.62716039,1.1362537,-0.41714101,0.96788028,1.016565,2.1522752,-1.1372538,9.4346092,-35.298901,0.50020304,-0.058168299,-0.15729757,0.083410615,-0.10408476,-0.072036648,-0.12203361,0.06507975,-0.13693072,-0.11272614,-0.16801786,-0.03469317,-0.1130875,-0.12089582,-0.086386557,0.075474769,-0.1912044,-0.0048823271,-0.095667698,0.069734644,-0.18620428,-0.087910342,-0.14140316,-0.027985456,-0.16575495,-0.13995134,-0.10526927,0.037297735,-0.33013008,-0.036834258,-0.11258611,0.0062145506,-0.21113443,-0.079058982,-0.06285429,0.022913657,-0.27552289,-0.05299014,-0.12728224,0.042200555,-0.26938266,-0.13506008,-0.13973145,-0.017628294,-0.23642355,-0.16747277,-0.18071658,-0.016994481,-0.39863403,-0.045587946,-0.16720459,0.10717084,-0.32653929,-0.048894809,-0.089984009,0.05267068,-0.29646155,-0.16499338,-0.12971036,0.022288123,-0.44150436,-0.14162991,-0.1368635,-0.02567343,-0.34773004,0.25339257,0.2582589,0.25831595,0.26240193
-19661.748,0.99991018,0.0030827355,10,1023,0,19707.766,-0.10069939,0.0012817392,-0.086053608,0.017767078,-0.19132683,-0.050264057,-0.36579554,-0.14925358,0.0010817438,-0.075878208,-0.14973613,-0.24121736,0.12014791,-0.20957901,-0.23144733,-0.3091176,0.071906535,0.071751682,0.033699749,0.1586945,0.16264437,0.07677604,0.18932451,0.088584138,0.085191816,0.10145205,0.083407401,0.11004233,0.38023285,0.48272334,0.21442873,0.35806223,0.26655642,-0.38077464,1.8781589,0.12230859,-1.5249137,-2.257323,0.91290939,-1.9997813,-1.2502068,-1.0955654,2.2390791,-1.8339208,-0.80095658,-0.68188942,0.50358925,-1.2775761,1.2348473,0.29931615,1.8808027,-0.38838003,-1.3141661,-0.59909001,0.37960286,-1.2931426,1.1585252,1.3749443,2.0841441,0.43582982,0.71745867,0.052618042,2.1430548,-0.64649949,-0.8662984,-0.97578815,-0.22621262,-2.5849175,0.13152158,-0.67056925,1.2882645,-2.3548801,-0.060775121,-0.4178164,1.1549058,-1.120777,0.81202695,0.66204604,2.0692211,-1.2710849,-0.39381139,-0.64475394,-0.054536651,-1.1998676,0.25295744,0.15466459,0.51803118,-0.18767619,0.70591415,0.6248074,1.3725997,-0.81825486,0.44347191,0.41526709,0.71622762,-0.19007203,27.777633,-108.04326,1.3157281,-0.081532239,-0.12807957,0.034352511,-0.0919046,-0.10813338,-0.16068498,0.066784523,-0.14220593,-0.12818526,-0.12297389,-0.010597202,-0.14785628,-0.10934032,-0.090445021,0.097683921,-0.18497722,0.00951413,-0.14264475,0.11457514,-0.25449466,-0.15116053,-0.096259816,-0.021119653,-0.14954642,-0.14645833,-0.10548489,0.028784008,-0.28328227,-0.085698125,-0.14459246,0.040587077,-0.20652318,-0.07271979,-0.082047421,-0.01818972,-0.21913207,-0.062535074,-0.14390883,0.054818863,-0.31478562,-0.15480522,-0.18458511,-0.053408437,-0.24321722,-0.15186003,-0.16836427,-0.013515454,-0.38109051,-0.02959212,-0.12500872,0.099411282,-0.33608118,-0.087470552,-0.1349188,0.040486733,-0.30017469,-0.080079062,-0.097470681,0.062877466,-0.40690468,-0.15032706,-0.16042614,-0.052663537,-0.37717521,0.24634282,0.25682883,0.2554249,0.27020334
