# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 01:56:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc7966a908.json
# init = 2 (Default)
# random
#   seed = 2087773004
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200256-2-5ebb1a.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200256-2-11af3b.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00269381
# Diagonal elements of inverse mass matrix:
# 0.00898744, 0.00673366, 0.00255961, 0.0147356, 0.0342654, 0.00548521, 0.0535715, 0.0105713, 0.0116671, 0.019723, 0.0216806, 0.0515737, 0.112785, 0.138743, 0.124436, 0.0348442, 0.44966, 0.264247, 0.986564, 0.367601, 0.33796, 0.304611, 0.495245, 0.344902, 0.323454, 0.222065, 0.465961, 0.371042, 0.437023, 0.420615, 0.684796, 0.31433, 0.301017, 0.242761, 0.347315, 0.292556, 0.297988, 0.320234, 0.261667, 0.319152, 0.282535, 0.300464, 0.228023, 0.291239, 0.238437, 0.413673, 0.214879, 0.308489, 0.431253, 0.230397, 0.55841, 0.308767, 0.373849, 0.319103, 0.268449, 0.32334, 0.28711, 0.265615, 0.236507, 0.291698, 0.212239, 0.370867, 0.227098, 0.299389, 0.560882, 0.454873, 0.457302, 0.496879, 0.379808, 0.488452, 0.453635, 0.521608, 0.422096, 0.402842, 0.382991, 0.370613, 0.371381, 0.601915, 0.317702, 0.416558, 0.323957, 0.228225, 0.378834, 0.464155, 0.608615, 0.389876, 0.566441, 0.487493, 0.43394, 0.397592, 0.47781, 0.534135, 0.403455, 0.409225, 0.71792, 0.575735, 16.2022, 245.366, 0.551075
-19641.593,0.99211155,0.0026938086,10,1023,0,19698.885,-0.04751861,-0.32287716,-0.084078208,-0.15911493,-0.24050682,-0.050575804,-0.16411835,-0.12496887,0.0057976009,-0.010829154,-0.1051076,1.081827,-0.074446493,-0.17900037,0.0030736966,-0.10020323,0.14782917,0.19301323,0.050889711,0.092323366,0.324911,0.10862208,0.12626132,0.065769099,0.20617441,0.31647744,0.16437411,1.0180466,0.13959893,0.19040488,0.18985216,0.38029037,0.16176792,-0.3640231,0.61734032,-0.38933723,1.1697185,0.96662936,1.8769326,0.97769136,-0.050690253,-0.78191478,0.31164903,-0.51311253,0.42566565,0.4415122,2.5446252,-0.37172957,0.63942944,0.46904168,1.014802,-0.0088566999,-0.44686969,-0.47831511,0.45329904,-0.91669667,-0.031264992,0.42252759,1.2808467,-1.1294612,1.1800246,0.35349125,1.7466956,-0.39432921,-0.47642802,-0.54389771,-0.067081912,-1.3951147,-0.10488982,-0.36114201,0.30670189,-1.0909985,-0.26543208,-0.13071683,0.12119701,-0.66919528,-1.2170968,-1.212535,-1.0905403,-1.5095986,0.43002837,-0.16253625,1.1889288,-1.909373,0.58741546,0.45067427,1.1194189,-0.67358686,-0.40493262,-0.86952417,0.034701615,-2.2031864,-0.15396514,-0.18483761,0.22453989,-0.71222343,0.22854047,0.36544223,0.036001439,-0.023604593,-0.10133184,0.043742298,-0.10507401,-0.097106012,-0.13630491,0.03939566,-0.1341698,-0.08665782,-0.12386963,-0.068218479,-0.11019036,-0.11981604,-0.11835303,0.07581344,-0.19343425,-0.032749161,-0.08811002,0.089213512,-0.24338446,-0.099115719,-0.10253139,-0.0013375193,-0.1501493,-0.16806591,-0.11076946,-0.0023969622,-0.30672562,-0.047359718,-0.10172007,-0.010090279,-0.15090355,-0.092429667,-0.10634019,-0.0080329731,-0.28183936,-0.044024416,-0.12512245,0.086235074,-0.35610558,-0.14873776,-0.12659407,-0.085185952,-0.21510598,-0.15723422,-0.15259013,-0.028393832,-0.45501471,-0.014414991,-0.09713638,0.091526694,-0.34099292,-0.0671536,-0.093189791,0.034142459,-0.3072546,-0.073803633,-0.16200734,0.0096618729,-0.415206,-0.15875469,-0.17049519,-0.014812871,-0.37105494,0.24277188,0.25966491,0.25162735,0.27048414
-19646.514,0.9764855,0.0026938086,10,1023,0,19706.483,-0.053730352,-0.25527147,-0.16972107,-0.14414784,-0.00023123739,0.099268692,-0.26931662,-0.096173695,-0.10172037,0.050332369,-0.21170827,0.50972687,-0.18612028,-0.33579056,-0.13584884,-0.16424679,0.07068321,0.13508086,0.12015464,0.098227439,0.098081332,0.21311264,0.2793164,0.052961633,0.11734086,0.15462504,0.059461877,1.1134759,0.39270913,0.21388788,0.46362186,0.18813321,-0.27732503,-0.70950958,1.1574781,-0.48748837,1.2164602,0.79235003,2.4625607,0.61713511,0.42468366,0.2255972,1.3823763,0.49201172,0.54311531,0.35093936,1.7694428,-0.20545904,0.15557006,-0.57653522,1.1495406,-2.3571876,-0.90149088,-0.91448739,-0.40196645,-1.1157269,0.43881014,0.40842144,1.1413766,-0.17089936,-0.1328065,-0.67749795,1.9685516,-1.8024786,0.36667642,0.26084847,0.96029998,-1.2896752,-0.63311195,-1.1074654,0.18728606,-2.3858617,0.80025158,0.78462965,1.9997032,-0.51093113,-0.60434126,-0.63845801,-0.49868668,-0.786715,0.41233425,0.18863362,0.76808715,-0.33822932,1.2470947,1.1473369,1.7131255,0.051253035,0.17281015,-0.0056643175,0.39619124,-0.54002307,0.13001399,0.20436221,0.89255793,-1.0175408,-0.12730508,1.7106044,0.088390876,-0.073332575,-0.10388077,0.028083918,-0.088187594,-0.090950976,-0.14824014,0.077373348,-0.17190832,-0.11869336,-0.14261452,-0.0036221453,-0.11060358,-0.090799014,-0.10967597,0.029659991,-0.16432956,0.015027281,-0.05677858,0.11251724,-0.23142734,-0.092850409,-0.095620129,0.013604561,-0.13850682,-0.14674976,-0.15523782,0.049488574,-0.31705162,-0.10320734,-0.13205509,0.008084011,-0.19163591,-0.058694244,-0.071112187,0.010962054,-0.25305196,-0.047562589,-0.1209095,0.079291482,-0.31858158,-0.16412381,-0.16505272,-0.092802168,-0.2420892,-0.16319256,-0.20118074,-0.045548735,-0.36626132,-0.024192853,-0.11204213,0.11551456,-0.31894602,-0.069052134,-0.090389115,0.030626202,-0.32482816,-0.055730278,-0.13847494,0.04783408,-0.38621534,-0.13978684,-0.12579947,0.003672995,-0.35568,0.24473998,0.24988277,0.2588726,0.25992501
-19644.612,0.98436972,0.0026938086,10,1023,0,19693.209,0.0071979812,-0.24331058,-0.16038407,-0.039303178,0.01358428,0.0088787392,-0.20194069,-0.078832118,-0.19709611,-0.010286482,-0.1601809,-0.0094761799,-0.1186557,-0.64557487,-0.00062268902,-0.071637965,0.19933897,0.16718256,0.16113225,0.17543426,0.092601781,0.13743249,0.10587988,0.12782987,0.13545094,0.27973458,0.096562783,0.42414507,0.13686514,0.39565501,0.20789728,0.19548947,-0.34524263,-0.48933894,0.45402309,-0.50170304,0.98734895,0.37772671,1.7629961,0.58628931,0.37037906,0.097725952,0.9316002,0.32226289,-0.35289428,-0.27158438,0.72705474,-0.84190456,0.046941447,-1.4144556,0.6860014,-2.7914865,-0.73414389,-0.83417416,-0.14633621,-1.0503588,0.82205559,0.8276754,2.1063503,-1.0574242,0.22980668,-0.23295811,0.56878252,-0.657195,0.82903459,0.71036101,1.5006074,-0.26325357,-0.044463564,-0.48081148,0.292999,-1.1069615,0.10892294,-0.32430232,1.9495056,-0.85273511,-0.26776037,-0.34186243,-0.062263151,-0.95358341,0.81678476,0.27356863,1.6441647,-1.6774994,1.4086533,1.455445,1.8398331,0.76403413,-0.55421907,-0.81199263,0.21208786,-2.1681924,-0.15153904,-0.30152761,0.23189587,-1.5804873,-0.69701593,3.8846976,0.035800038,-0.061622327,-0.090346337,0.097702475,-0.092810983,-0.078243049,-0.18016126,0.051431633,-0.14529323,-0.10070406,-0.14463727,-0.010273233,-0.10845712,-0.10121293,-0.086948384,0.088247134,-0.18700208,0.017931141,-0.11739683,0.077109231,-0.24491234,-0.092016484,-0.10576389,-0.01123261,-0.13547469,-0.11490154,-0.11430652,0.021079421,-0.31390063,-0.049455958,-0.10861112,-0.0061247197,-0.16284127,-0.084802598,-0.10087705,0.0061625709,-0.23275406,-0.022724478,-0.14478608,0.071675472,-0.3199419,-0.14966299,-0.19149643,0.028068793,-0.24252337,-0.12304542,-0.15447544,-0.035884788,-0.41393388,-0.0068663417,-0.081213691,0.10637313,-0.34824689,-0.088234143,-0.069720774,0.082364297,-0.34328094,-0.11584333,-0.16943375,0.043469801,-0.45138398,-0.10126225,-0.13058344,-0.026304764,-0.38060659,0.24970781,0.25701347,0.25503752,0.26940915
-19639.792,0.92982348,0.0026938086,10,1023,0,19695.432,0.036326475,-0.23231766,-0.18074205,-0.066327811,0.014551847,0.054186188,-0.133205,-0.051446766,-0.20223188,-0.033246596,-0.13660954,-0.023671576,-0.1554304,-0.52302126,-0.0026954631,-0.098094113,0.18349585,0.20920242,0.16216632,0.15911881,0.12929826,0.18484611,0.091292193,0.12295643,0.13899099,0.27498638,0.058078189,0.44177091,0.16191808,0.28829299,0.23055385,0.17503821,-0.46667553,-0.95191792,-0.11701111,-0.55306747,0.8140072,0.48125557,1.2445151,0.34872213,0.60336481,0.38238453,1.132273,0.45508107,-0.2090549,-0.3493216,0.60427754,-0.66397926,-0.39639162,-1.055758,0.51314655,-1.9559261,-0.88459518,-0.89373213,-0.13486502,-1.1279495,0.65091732,0.41225708,1.3026919,-2.0820769,0.33237378,-0.48134077,0.7586294,-1.0105409,0.97757939,0.81038848,1.438282,-0.40847256,-0.047690016,-0.18118983,0.25385427,-1.0967669,0.0093098529,-0.7963505,1.5862002,-1.3689818,-0.195249,-0.28243562,-0.033157179,-0.82209505,0.83662105,0.32477448,1.5127046,-1.2910897,1.5436984,1.4810667,1.9687818,0.60651831,-0.40391881,-0.70723968,0.12559682,-2.0004928,-0.35607285,-0.33015592,0.44080262,-1.5305041,-1.4603686,7.0527341,0.032089606,-0.049306549,-0.13834651,0.014855421,-0.065159111,-0.062025386,-0.13163783,0.028037906,-0.15936415,-0.082896597,-0.11873216,0.0028745041,-0.10694323,-0.099592377,-0.12191145,0.029824112,-0.1719794,-0.036700901,-0.12195583,0.080900804,-0.238346,-0.10932779,-0.11101672,0.029256914,-0.15431088,-0.073781331,-0.095569148,-0.014279403,-0.32328237,-0.010579271,-0.11063071,0.0418316,-0.17569927,-0.066357157,-0.089595187,-0.0023236418,-0.25900589,-0.046360701,-0.083071331,0.03655987,-0.33484254,-0.13606884,-0.18286014,-0.044485909,-0.21611753,-0.1099269,-0.14844342,-0.038319453,-0.38684925,-0.019966327,-0.10284354,0.089503822,-0.36448116,-0.077983836,-0.096040111,0.044564737,-0.34816628,-0.0958205,-0.16575229,0.026261367,-0.46391677,-0.16042047,-0.15588401,-0.02093681,-0.36599081,0.25908684,0.26163009,0.24931531,0.2655754
-19634.901,0.98242779,0.0026938086,10,1023,0,19698.175,-0.049973781,-0.047092329,-0.14226428,0.018392377,0.10240953,0.079274275,-0.12027317,-0.13307275,-0.18675364,-0.06996604,-0.062016509,-0.088855214,-0.47544912,-0.51822684,-0.26862925,-0.20594807,0.148874,0.13081723,0.075840847,0.17345192,0.18272128,0.20593396,0.2095485,0.060056587,0.15296415,0.2817359,0.10963309,0.20898551,1.3335357,0.41833566,0.41335168,0.11978502,0.050464287,-0.5059624,0.94468398,-0.37962258,-0.21984255,-0.58363053,0.80306178,-0.83699534,0.56282736,0.32089964,2.145001,0.41564577,-0.55917979,-0.73733776,0.53502747,-1.2085703,-0.7234828,-1.2499079,-0.15706154,-1.8003169,-0.83346369,-0.96317785,-0.40150141,-1.1317946,0.067730395,0.12643098,0.58030024,-0.79704427,0.79967913,0.1523068,3.1248744,-1.7423003,0.54856745,0.56297139,0.94355784,-0.39172626,0.098423604,-0.064417497,0.36554345,-0.8187491,-0.67661327,-0.24315571,0.19590697,-1.8102776,-0.25777688,-0.33061235,0.296369,-1.5530527,0.32865988,0.27425017,0.4307302,0.083492613,1.1200276,1.0333733,1.3125768,0.41693619,0.43100523,0.33000554,0.82583205,-0.28814625,0.50512697,0.37259119,1.4799926,-1.4797065,0.0071597166,1.2816173,0.10208191,-0.04246096,-0.12529843,0.090665104,-0.10648971,-0.075851522,-0.12344126,0.057961986,-0.15658574,-0.099578978,-0.11792698,0.020414412,-0.11074135,-0.078598432,-0.10950027,0.11119392,-0.19123647,-0.029786173,-0.12597524,0.073711046,-0.22654669,-0.092364203,-0.11907675,-0.0034084993,-0.15380066,-0.10608037,-0.093779749,0.0013278741,-0.2872926,-0.085046751,-0.12392572,0.054596542,-0.23770936,-0.10284249,-0.1006392,-0.042423117,-0.24667371,-0.042236577,-0.088114761,0.033020674,-0.30063705,-0.13619571,-0.088674421,-0.040538623,-0.26048283,-0.14272685,-0.1579484,-0.026918389,-0.41342072,-0.037169445,-0.10972673,0.098944965,-0.36410874,-0.049679375,-0.085929921,0.030870823,-0.34380757,-0.090472518,-0.13222091,0.07272981,-0.38773499,-0.14544142,-0.16131722,-0.028667127,-0.38319473,0.253733,0.2607679,0.24896604,0.2706732
-19638.483,0.98459314,0.0026938086,10,1023,0,19691.344,-0.051003192,-0.047185855,-0.15014436,0.014300475,0.11828351,0.068048889,-0.17053414,-0.1329995,-0.16953783,-0.104116,-0.069601203,-0.075132207,-0.3935335,-0.50053471,-0.21660171,-0.21461849,0.16742206,0.15256082,0.055957809,0.17406057,0.18199305,0.2149942,0.30651635,0.061339365,0.17384452,0.29114806,0.10601302,0.22342088,1.2521902,0.41896272,0.34830472,0.11265025,-0.19944794,-0.51396145,0.88303497,-0.4424745,-0.30017534,-0.62713332,0.88658881,-0.90251408,0.48631191,0.40584218,2.104662,0.36887209,-0.61381234,-0.55840586,0.37360604,-1.2385659,-0.59452753,-1.2648465,-0.26110465,-1.8239859,-0.8654935,-0.86978335,-0.31907334,-0.99694202,0.057483429,0.17792492,0.60796105,-0.52814629,0.70897797,0.16923637,3.1281687,-1.5953932,0.62516883,0.47600752,1.0275591,-0.20207827,0.01117877,-0.0086217089,0.54084496,-0.78854308,-0.56939736,-0.43715141,0.24285642,-1.9650905,-0.21860894,-0.29393687,0.39059594,-1.3217384,0.29849161,0.23155307,0.4196467,0.032386515,1.0240665,0.8886112,1.3193311,0.4841751,0.42919402,0.30862307,0.83287168,-0.5638514,0.74159519,0.42847373,1.2373294,-1.5339977,-0.13837537,2.0292663,0.13377041,-0.084395177,-0.13705168,0.096836341,-0.12508318,-0.092980851,-0.14286183,0.088072864,-0.18487415,-0.12293141,-0.12743432,-0.032372085,-0.12950308,-0.092540052,-0.082895969,0.079330556,-0.20128501,0.010083631,-0.11190975,0.070764277,-0.21366925,-0.11802719,-0.11894948,-0.00055002809,-0.14628786,-0.15291453,-0.11599724,0.015815861,-0.33241961,-0.089511242,-0.12261865,0.05888038,-0.2308599,-0.060855653,-0.08678653,0.0090976954,-0.20466803,-0.10086132,-0.10662619,0.05334996,-0.33369879,-0.12996474,-0.11594494,-0.043855261,-0.27792638,-0.12397401,-0.14080384,0.012135081,-0.37043616,-0.019765231,-0.10358502,0.13194398,-0.35297942,-0.071489013,-0.12823975,0.052215843,-0.2976834,-0.067111404,-0.10910684,0.073491431,-0.41299381,-0.13107761,-0.16635082,-0.075233025,-0.38742372,0.24148568,0.25423906,0.25197356,0.26097636
