# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 02:13:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cca676017.json
# init = 2 (Default)
# random
#   seed = 182633248
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200313-1-4cc2e0.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200313-1-3a3ae2.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00259464
# Diagonal elements of inverse mass matrix:
# 0.00644307, 0.0180352, 0.00477242, 0.00989731, 0.0172703, 0.00491148, 0.045087, 0.010054, 0.0513663, 0.0291757, 0.00737492, 0.0231472, 0.0292925, 0.0597774, 0.0343631, 0.0217119, 0.320068, 0.3661, 1.11088, 0.311442, 0.300826, 0.353218, 0.352844, 0.310103, 0.530638, 0.301489, 0.354937, 0.272789, 0.246379, 0.349543, 0.269703, 0.270235, 0.242531, 0.350421, 0.468021, 0.306661, 0.274154, 0.312472, 0.265257, 0.244359, 0.287282, 0.321558, 0.237682, 0.240222, 0.243455, 0.290766, 0.218976, 0.250316, 0.353127, 0.405442, 0.450289, 0.326962, 0.351709, 0.317601, 0.277986, 0.252563, 0.289321, 0.304052, 0.225352, 0.235792, 0.245804, 0.282554, 0.20777, 0.243897, 0.458003, 0.492583, 0.547438, 0.545509, 0.351677, 0.453248, 0.457488, 0.388862, 0.401635, 0.428965, 0.510977, 0.318438, 0.330851, 0.388794, 0.302265, 0.348253, 0.240981, 0.409599, 0.441679, 0.406558, 0.539136, 0.419206, 0.429695, 0.386839, 0.581313, 0.54512, 0.356936, 0.450385, 0.538644, 0.589172, 0.458311, 0.506024, 18.5645, 306.695, 1.2659
-19623.444,0.99905526,0.0025946394,10,1023,0,19670.216,-0.07903872,-0.12081574,-0.019397851,-0.1092513,-0.16923564,0.011110028,-0.23814981,0.33342143,-0.23159953,-0.2550598,-0.12059188,-0.17099882,0.0041534083,0.094464649,-0.14445252,-0.066790994,0.14919676,0.10289095,0.10314982,0.17867053,0.1419024,0.081939112,0.30263022,1.1413357,0.24957708,0.14216024,0.5111506,0.29464015,0.18095088,0.39292391,0.23659925,0.23315208,0.058243176,-0.82559117,0.8400524,-0.26232552,0.67860409,-0.23593084,1.9334987,-0.35180297,-0.91773338,-1.0862686,0.2166604,-0.89277372,-0.090249983,-0.18159501,0.98028294,-0.39009877,1.0607708,0.3851944,1.926171,-0.53850588,-1.2961304,-1.5676275,-0.38616595,-2.136215,0.22792325,0.58342555,0.88708612,-0.28241815,-0.34901088,-0.39946962,-0.26322871,-0.47023101,0.59436415,0.53959449,0.81402101,0.00044461091,1.3333507,1.0258948,2.2054304,-0.45642059,-0.097856311,-0.039432569,0.17317005,-0.22556839,0.22776767,0.020796945,0.49410373,-0.74797473,-0.15247997,-0.63101171,0.41188456,-1.9291061,-0.43691144,-0.54700617,-0.1475517,-1.0801719,0.14344238,-0.0095516363,0.6979258,-1.1167383,-0.30545246,-0.34708679,0.32829136,-1.388872,0.84157209,-2.4257684,0.31941762,-0.070349027,-0.20221425,0.046294375,-0.11817684,-0.050993519,-0.14509089,0.078123783,-0.15701308,-0.11406188,-0.13144626,0.0029506306,-0.1114873,-0.12537631,-0.14169698,0.065896375,-0.17895046,-0.018709722,-0.11457563,0.10409265,-0.24565092,-0.095093745,-0.11733998,-0.020532066,-0.16392953,-0.16917335,-0.061587608,0.030309255,-0.32361808,-0.064917137,-0.1225075,0.03298911,-0.20327,-0.083259856,-0.09692911,-0.028438537,-0.23148856,-0.065510343,-0.10921834,0.058464717,-0.31994466,-0.17061119,-0.14074786,-0.032075899,-0.2358913,-0.10388932,-0.1648712,-0.025416019,-0.39138221,-0.023437977,-0.11002871,0.07868428,-0.34492002,-0.0772083,-0.12046715,0.03648806,-0.32996072,-0.11051416,-0.14671243,0.020676205,-0.40867195,-0.13800787,-0.147715,0.009750818,-0.39060939,0.25663035,0.24128743,0.2415301,0.24668548
-19628.524,0.99304514,0.0025946394,10,1023,0,19675.482,-0.070455857,-0.11379589,-0.034940239,-0.10994792,-0.17587958,0.049383661,-0.19563741,0.3434538,-0.16749403,-0.25809772,-0.092776996,-0.13851936,-0.010952379,0.22936166,-0.10725402,-0.16311609,0.094863803,0.075595125,0.077298673,0.25304333,0.14711369,0.079076137,0.23675346,0.76666975,0.11889683,0.16443158,0.54470792,0.21720389,0.1778923,0.3143714,0.21317091,0.20839953,0.14605077,-0.9036836,0.77113434,-0.48260393,-0.008115769,-0.46928239,1.7110629,-0.58778699,-0.53066313,-1.3615263,0.30494896,-1.0187784,0.19513508,0.0020936039,0.59994548,-0.26182297,1.1827181,0.50819354,1.8619149,-0.41702243,-1.4110171,-1.9849565,-0.46535416,-2.5876876,0.32752901,0.5066023,0.9011451,-0.52965781,-0.50479235,-0.60503427,-0.40686384,-0.69110925,0.60311849,0.69809245,1.3213088,-0.48951247,1.3087486,0.68354053,1.7740686,-0.24513622,-0.13122316,-0.13625687,0.17419986,-0.25101872,-0.066350466,0.01809453,0.46572069,-1.210759,-0.15342818,-0.51404916,0.63155382,-1.9121923,-0.89183502,-1.0523319,-0.50213717,-1.7075352,0.046716428,-0.26244462,0.55861918,-1.4411296,0.12871074,0.033419315,0.45546513,-1.1262941,0.61594839,-1.2081947,0.36346128,-0.056600925,-0.15618272,0.0026968795,-0.1162375,-0.1144094,-0.14927135,0.015552127,-0.15822972,-0.075959795,-0.14018442,-0.011368089,-0.11369046,-0.06057029,-0.10941815,0.041864281,-0.17620047,-0.0018855564,-0.10111735,0.09803359,-0.23722929,-0.062194123,-0.10757903,0.012585251,-0.15524068,-0.11809379,-0.075697563,0.017711807,-0.32103573,-0.043555227,-0.12040767,0.031523603,-0.18639876,-0.09578516,-0.084493058,-0.010394609,-0.22569551,-0.042898114,-0.14570207,0.033615185,-0.29840585,-0.16425529,-0.16699719,0.0021110477,-0.22950888,-0.15293093,-0.13458915,-0.037363008,-0.40150093,-0.038246071,-0.10239777,0.10139618,-0.35111666,-0.051005763,-0.10146141,0.071504095,-0.30743857,-0.097295435,-0.16319958,0.011827342,-0.41446094,-0.13629283,-0.15615152,-0.068197368,-0.39783525,0.24334212,0.2493067,0.24529788,0.24542364
-19623.216,0.99931808,0.0025946394,10,1023,0,19675.663,-0.076604915,-0.084754216,-0.11635672,-0.12141212,-0.26516312,-0.082649114,-0.25617703,0.32476033,0.31295943,-0.28680675,-0.19221562,-0.13455626,0.06067173,0.015177044,-0.25805362,-0.093930397,0.096670238,0.16662313,0.080680056,0.30478429,0.4644465,0.064782033,0.3250542,0.92219391,0.77795369,0.13881522,0.12543109,0.1705674,0.22656428,1.0497931,0.31311287,0.22538303,-0.13810061,-0.62438251,0.5916357,-0.32568084,-0.28056066,-0.40188318,0.60588433,-0.41558911,0.67623604,-0.10935352,1.0333198,-0.052047373,0.1447726,-0.0022514043,0.52071579,-0.22976655,0.49697496,0.36434299,0.81099796,-0.061867173,-0.40655385,-0.37901043,0.81834829,-0.94971117,0.54494459,0.44406824,0.86039062,-0.16143535,-0.45080772,-0.48140273,-0.28705022,-0.56168415,-0.50972417,-0.48424029,-0.42355118,-0.75457054,1.5748756,1.0215992,2.3918257,-0.22877409,0.50368846,0.38537364,1.3103929,-0.30158839,0.056298205,-0.048811294,0.54283793,-1.7061877,-0.3999197,-0.8890449,0.27866026,-1.7749403,-0.075367241,-0.11686193,0.016325059,-0.31528288,0.6476212,0.35402956,0.95316745,-0.52212479,-0.22940051,-0.2869134,-0.0084306723,-1.195312,3.1296298,-11.500452,0.047994098,-0.089955134,-0.13696412,-0.019411351,-0.10808856,-0.13150211,-0.15171725,0.016200128,-0.15400097,-0.061797959,-0.12517937,-0.032988423,-0.1205559,-0.077287707,-0.12209832,0.037293872,-0.19144136,-0.034344841,-0.095945295,0.11150204,-0.29389711,-0.1089865,-0.10720218,-0.029634848,-0.14417333,-0.079040507,-0.11183079,0.023496548,-0.30865227,-0.090971798,-0.11918633,0.060044373,-0.19322137,-0.083582371,-0.06375709,-0.016543773,-0.27406151,-0.068190057,-0.14499324,0.045215049,-0.31856407,-0.12903743,-0.14387778,-0.027851612,-0.23004418,-0.12495362,-0.14288188,-0.041965811,-0.42557625,-0.029935789,-0.14075409,0.12380619,-0.34146634,-0.063942969,-0.10750381,0.032314979,-0.31580476,-0.055275091,-0.14720241,0.040395372,-0.42153761,-0.14563338,-0.15859581,-0.095830528,-0.36333344,0.24398102,0.24927487,0.24383935,0.23853246
-19626.259,0.92000929,0.0025946394,10,1023,0,19676.782,-0.047021445,-0.10145693,-0.23853908,-0.091502693,-0.16829211,-0.07451006,-0.43956826,0.22841969,0.01000545,-0.11947304,-0.1504917,-0.20056101,0.03715903,-0.12832803,-0.28132106,-0.17278119,0.12186229,0.10813398,0.095238963,0.41618083,0.27229806,0.16740568,0.51759103,0.86201766,0.18752038,0.12492751,0.14241481,0.17582318,0.25564689,0.27708754,0.26514118,0.13256047,-0.55024775,-0.78777853,0.17408264,-0.3906867,0.16512951,-0.55493841,1.4006691,-0.70758568,0.89724157,1.3255005,2.4160886,1.2743009,0.077198591,-0.023759028,0.38196619,-0.21565862,0.67021839,0.11703023,0.80432258,-0.14360988,-0.10530533,-0.12442733,0.31121421,-0.44667276,0.6305505,0.65055834,0.81477608,0.18245998,-0.38069821,-0.38185253,-0.20504952,-0.50075556,-0.47106674,-0.5641932,-0.056607053,-1.4952085,0.57576086,0.089426637,1.4561668,-1.5473477,-0.054747953,-0.13987315,1.0005405,-0.46314389,0.38218224,0.46567173,0.76840245,-1.3637847,-0.25118438,-0.69732047,0.2547462,-1.4967336,0.29150703,0.13663334,0.59445591,-0.71809337,0.77618928,0.58963704,1.2945476,-0.64178491,0.031210254,0.1172911,0.94920673,-1.606965,-2.3925628,11.361048,0.12615694,-0.11407589,-0.14302194,-0.025807337,-0.094631421,-0.083600813,-0.16146463,0.050002999,-0.17797098,-0.15308672,-0.11229978,-0.0084333059,-0.11717598,-0.059374119,-0.10139074,0.067464314,-0.18125567,0.014207057,-0.13642501,0.050723368,-0.2073968,-0.09213877,-0.095339901,-0.022411035,-0.14928562,-0.11320098,-0.1028451,-0.017847467,-0.34512861,-0.099748894,-0.10074394,0.051663386,-0.20324045,-0.078329167,-0.095792277,-0.00060952643,-0.27037662,-0.047544668,-0.10830119,0.062442255,-0.31277932,-0.15828862,-0.17041171,-0.0079999139,-0.21645025,-0.13336451,-0.11868512,-0.065458043,-0.44034598,-0.027055475,-0.14110878,0.1022841,-0.34547626,-0.047555066,-0.090468635,0.036388293,-0.32730276,-0.075521316,-0.124984,0.061916819,-0.45148467,-0.16864395,-0.15723303,-0.046953902,-0.38580123,0.24720335,0.25177041,0.23790937,0.24126146
-19616.395,0.99289179,0.0025946394,10,1023,0,19666.058,0.036490446,-0.1218744,-0.21339156,-0.09387117,-0.17572858,-0.089060083,-0.44267318,0.25417849,-0.046339282,-0.22072193,-0.085775491,-0.16983072,0.073433416,-0.053517158,-0.34653075,-0.14902948,0.13606175,0.11176407,0.11915563,0.2768127,0.25153588,0.072808115,0.63769053,0.94173799,0.11065346,0.13607759,0.20055871,0.1375506,0.39755854,0.24861138,0.53738655,0.18215316,-0.59407223,-1.2700863,0.056330182,-1.2493914,0.080185464,-0.41853434,1.3417822,-0.38659195,1.1162748,0.47332537,1.547629,0.64101125,0.062531496,-0.06940098,0.64659604,-0.36680552,0.74560247,0.17953419,0.96654375,-0.26361378,-0.31258829,-0.35214984,0.94344228,-0.99792143,0.51080975,0.49438983,0.73157941,0.20293657,-0.37363466,-0.40235057,-0.23137154,-0.47228082,-0.36115991,-0.21458767,0.45996956,-1.872939,1.2174031,0.4977572,1.9522822,-0.69517155,-0.28114206,-0.24757655,0.12132507,-0.78778698,0.15306687,0.16272732,0.79147071,-1.4335208,-0.20482218,-0.51011077,0.075962807,-1.1471546,0.044754381,-0.16995336,0.42659301,-1.1240713,0.56485958,0.35303982,0.69947403,-0.20243555,0.21303489,-0.040710308,0.82128669,-1.2985728,-2.2406551,10.552308,0.063905853,-0.044340064,-0.13631972,0.044154829,-0.13350394,-0.11291255,-0.1686515,0.028088634,-0.16508149,-0.080381123,-0.15699217,-0.028982849,-0.13701146,-0.076561658,-0.11308224,0.085114828,-0.1954076,0.011817196,-0.13056929,0.067391854,-0.2420369,-0.11181905,-0.11469945,-0.020369829,-0.16171686,-0.11693464,-0.12740546,0.023848082,-0.31326245,-0.09768746,-0.12473032,0.036287129,-0.19058629,-0.086302876,-0.070084151,0.0045579402,-0.25358646,-0.055060652,-0.15298833,0.044939935,-0.31531921,-0.14216098,-0.13542913,-0.061442692,-0.24377303,-0.14877628,-0.14744748,-0.060963452,-0.36701237,-0.0079953885,-0.12936548,0.10363308,-0.38262771,-0.042390709,-0.095769497,0.052538718,-0.33297407,-0.042982809,-0.1568119,0.029357181,-0.45531689,-0.1102245,-0.15644499,0.00057048851,-0.38556862,0.23904854,0.24987716,0.23548785,0.2530161
-19623.403,0.9417501,0.0025946394,10,1023,0,19674.332,0.083396004,-0.069831173,-0.079039659,0.0435014,-0.15485757,-0.07990405,-0.4225562,0.42532753,-0.11251593,-0.31911861,-0.11948183,-0.17859112,0.0088121696,-0.091023786,-0.33602771,-0.12407606,0.26225888,0.094045931,0.061541203,0.24604162,0.13673123,0.10887044,0.53200793,0.71461197,0.28703302,0.42671602,0.066919378,0.16746327,0.23926769,0.464372,0.27159764,0.15516975,-0.39035772,-0.8793874,-0.40382858,-0.83412784,-0.60987161,-1.2328735,1.2246649,-0.94612359,-1.0318746,-0.70388303,1.0467393,-0.93066681,-0.51965324,-0.59338255,0.099233087,-0.96194256,0.95477607,0.39063324,1.6855973,-0.67865401,-0.30653393,-0.47097209,0.82468806,-0.73810801,0.61740656,0.56137502,0.87611039,0.16174497,-0.67888536,-0.80826643,-0.54931046,-0.85962873,0.054925222,0.086765558,0.49843185,-0.42343504,0.59271585,0.4368151,0.84249178,-0.018113458,-0.47476046,-0.93467875,1.3514577,-1.8061766,0.17262333,0.12028255,0.54803843,-1.280938,-0.27768187,-0.39900204,0.31942422,-1.5406942,0.12185806,-0.0015321571,0.27589827,-0.53003762,0.91071438,0.62546817,1.3396812,-0.28156619,0.12217407,-0.11593686,0.7635433,-1.628578,-1.1529605,6.2941384,0.054008435,-0.018978773,-0.14723115,-0.022511625,-0.13536143,-0.12718712,-0.18577791,0.045343578,-0.15881025,-0.14254246,-0.12235747,-0.014622066,-0.13631401,-0.084354924,-0.1024954,0.067916869,-0.19317651,-0.024309866,-0.10144581,0.075616227,-0.24765077,-0.11327653,-0.13117899,0.009880102,-0.16026219,-0.094091021,-0.12390024,0.043541472,-0.33650659,-0.059812083,-0.15226934,0.032783697,-0.18897346,-0.096750573,-0.087611345,0.030550477,-0.23405577,-0.066197262,-0.13272261,0.040386125,-0.32684791,-0.1512525,-0.18202995,-0.029043124,-0.24035004,-0.14968306,-0.15844821,-0.086814814,-0.39310119,-0.057628129,-0.086656127,0.085240064,-0.35982616,-0.034436315,-0.091735277,0.037095647,-0.33715842,-0.088679839,-0.16615204,0.027826521,-0.41250043,-0.10511833,-0.14206595,-0.0055972285,-0.3767821,0.24005908,0.24728025,0.23013306,0.2465807
